mogert,	মগের্ট,	মোজার্ট,	
advanshd,	অ্যাডভান্ড,	অ্যাডভান্সড,	
landing,	ল্যান্ডিং,	ল্যান্ডিং,	
abheedhaaneek,	অভিধানিক,	অভিধানিক,	
shasankorta,	শাসনকর্তা,	শাসনকর্তা,	
brindabane,	বৃন্দবনে,	বৃন্দাবনে,	
beshirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
onkita,	অংকিত,	অঙ্কিতা,	
juboksaho,	যুবক্সাহ,	যুবকসহ,	
tarbine,	টার্বিনে,	টারবাইন,	
park,	পার্ক,	পার্ক,	
jillool,	জিল্লোল,	জিল্লুল,	
pratijogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
pushteer,	পুস্টির,	পুষ্টির,	
fareksa,	ফরেক্স,	ফরেক্স,	
maddhukkori,	মাধ্যকরী,	মাধুকরী,	
dharabahik,	ধারাবাহিক,	ধারাবাহিক,	
proshikkhane,	প্রশিক্ষনে,	প্রশিক্ষণে,	
sheshardhe,	শেষার্ধে,	শেষার্ধে,	
venish,	ভেনিজ,	ভেনিস,	
joonsa,	জোনশা,	জোন্স,	
kheley,	খেলে,	খেলে,	
cholochchitra,	চলচিত্র,	চলচ্চিত্র,	
masjidsaha,	মসসিদসহ,	মসজিদসহ,	
labanaktatar,	লবনাক্ততার,	লবণাক্ততার,	
gheshei,	ঘেষেই,	ঘেঁষেই,	
mawdeel,	মেডেল,	মডেল,	
licencedhari,	লিকেন্সেররি,	লাইসেন্সধারী,	
herisoner,	হেরিশোনের,	হ্যারিসনের,	
bolokarak,	বলকারক,	বলকারক,	
beeswasoo,	বিশ্বাসও,	বিশ্বাসও,	
harisher,	হরিসের,	হ্যারিসের,	
chedropathe,	চেদ্রপথে,	ছিদ্রপথে,	
eksapresana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
noditei,	নদীতেই,	নদীতেই,	
engrejder,	ইংরেজদের,	ইংরেজদের,	
ramonar,	রমনার,	রমনার,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
vittiei,	ভিটিই,	ভিত্তিই,	
samajik,	সামাজিক,	সামাজিক,	
nirupito,	নিরুপিত,	নিরূপিত,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
udvaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
playto,	প্লোত,	প্লেটো,	
protizogiira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
aminul,	আমিনুল,	আমিনুল,	
kheylechen,	খেলেছেন,	খেলেছেন,	
dajhya,	দাজ্য,	দাহ্য,	
jealand,	জিল্যান্ড,	জিল্যান্ড,	
blaker,	ব্লকের,	ব্ল্যাকের,	
icebarg,	এইএকার্জ,	আইসবার্গ,	
dhrubak,	ধ্রুবাক,	ধ্রুবক,	
benis,	বেনিস,	ভেনিস,	
bhugarbhe,	ভুগর্ভে,	ভূগর্ভে,	
laaisheesh,	লাইসিস,	লাইসেন্স,	
dera,	দেরা,	ডেরা,	
protishta,	প্রতিষ্ট,	প্রতিষ্টা,	
mugdha,	মুগ্ধ,	মুগ্ধ,	
gaddafi,	গাদ্দাফি,	গাদ্দাফী,	
pracharana,	প্রচারনা,	প্রচারণা,	
bheemsen,	ভীমেন,	ভীমসেন,	
kumari,	কুমারী,	কুমারী,	
ghamta,	গমমটা,	ঘোমটা,	
banger,	বঙ্গের,	ব্যাঙের,	
overview,	ওভার্ভিভ,	ওভারভিউ,	
rk,	এরকি,	আরকে,	
manober,	মানবের,	মানবের,	
borana,	বরানা,	বোরন,	
hitoishi,	হিটোিজি,	হিতৈষী,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
veedanta,	ভিদান্ত,	বেদান্ত,	
phakay,	ফাককে,	ফাকে,	
kormosongsthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
dale,	দলে,	ডালে,	
bhramankale,	ভ্রমণকালে,	ভ্রমণকালে,	
platee,	প্লেট,	প্লেট,	
kaner,	কানের,	কনের,	
kulim,	কুলিং,	কুলিং,	
sangkulan,	সংকুলান,	সংকুলান,	
homske,	হোমকে,	হোমসকে,	
totenhaamer,	তোটেনহামের,	টটেনহামের,	
hook,	হুক,	হুক,	
venise,	ভেনিজে,	ভেনিসে,	
skalastic,	স্কলাস্টিক,	স্কলাস্টিক,	
bhittiti,	ভিটিটি,	ভিত্তিটি,	
indr,	ইন্ড্র,	ইন্দ্র,	
byabaharkarir,	ব্যবহারকারির,	ব্যবহারকারীর,	
dito,	দ্বিত,	দিতো,	
marino,	মেরিনো,	মারিনো,	
shainyara,	সাইন্যার,	সৈন্যরা,	
allahabade,	আল্লাবাদে,	এলাহাবাদে,	
manjushree,	মঞযুুস্রী,	মঞ্জুশ্রী,	
aachhis,	আচিশ,	আছিস,	
shukraanu,	শুক্রাণু,	শুক্রানু,	
rena,	রেন,	রেনো,	
prokolpeo,	প্রকল্পেও,	প্রকল্পেও,	
asietic,	অ্যাসিটিক,	এশিয়াটিক,	
abheedhaanic,	অভিধানিক,	অভিধানিক,	
abasaney,	আবাসনে,	অবসানে,	
jeebonto,	জীবন্ত,	জীবন্ত,	
suraaropito,	সুরারোপিত,	সুরারোপিত,	
darjeeling,	ডার্জিলিং,	দার্জিলিং,	
palbangser,	পালবংসের,	পালবংশের,	
lajek,	লাজেক,	লজিক,	
hoola,	হোল,	হোল,	
alsaar,	আলসার,	আলসার,	
creedit,	ক্রিডিট,	ক্রেডিট,	
pouro,	পৌরো,	পৌর,	
sansthati,	সংস্থাটি,	সংস্থাটি,	
atyacharito,	অত্যাচারিত,	অত্যাচারিত,	
noiteekotabodh,	নৈতিকাতাধো,	নৈতিকতাবোধ,	
amanisha,	অমনিস,	অমানিশা,	
naagaaland,	নাগালান্দ,	নাগাল্যান্ড,	
dozo,	দজও,	ডোজো,	
akhandata,	আখন্দাতা,	অখণ্ডতা,	
mittrer,	মিট্রের,	মিত্রের,	
licencing,	লিসন্সেং,	লাইসেন্সিং,	
booth,	বুঠ,	বুথ,	
sausagee,	সশুগী,	সসেজ,	
farider,	ফরীদের,	ফরিদের,	
swarnali,	স্বর্ণীলি,	স্বর্ণালী,	
gandho,	গন্ধ,	গন্ধ,	
deeputi,	দীপুতি,	ডেপুটি,	
jamanor,	জামানোর,	জমানোর,	
adorso,	আদর্শ,	আর্দশ,	
plen,	প্লেযান,	প্লেন,	
utsahe,	উত্সাহে,	উৎসাহে,	
postke,	পোস্টকে,	পোস্টকে,	
caramics,	ক্যারেক্সিস,	সিরামিকস,	
shatan,	শতন,	শয়তান,	
aakabar,	আকাবার,	আকাবার,	
sangasthatir,	সংস্গাটির,	সংস্থাটির,	
barron,	ব্যারন,	ব্যারন,	
baharampurer,	বহরামপুরের,	বহরমপুরের,	
phutbolarra,	ফুটবললারা,	ফুটবলাররা,	
chalachchitrai,	চলচিত্রাই,	চলচ্চিত্রই,	
nesnos,	নেশনোস,	নেশনস,	
bosonte,	বসন্তে,	বসন্তে,	
koota,	কোট,	কোটা,	
uchchatara,	উচ্চতার,	উচ্চতর,	
horippur,	হরিপপুর,	হরিপুর,	
morathi,	মরাঠি,	মরাঠি,	
qinsa,	কিংস,	কিংস,	
bahaal,	বাহাল,	বহাল,	
obdee,	অব্দী,	অব্দি,	
aholla,	আহললা,	অহল্যা,	
bhiktara,	ভিক্টর,	ভিক্টর,	
novell,	নোভেল,	নভেল,	
suri,	সুরি,	সুরি,	
arjora,	আর্জরা,	আর্যরা,	
silvi,	সিলভি,	সিলভি,	
pabo,	পাব,	পাব,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
sarbhare,	সার্ভারে,	সার্ভারে,	
karim,	করিম,	করিম,	
udvabani,	উদ্ভাবনী,	উদ্ভাবনী,	
songostha,	সংস্ঠা,	সংস্থা,	
prokar,	প্রকার,	প্রকার,	
ovarview,	ওভারভিয়ে,	ওভারভিউ,	
beem,	বীম,	বিম,	
bbosben,	বসবেন,	বসবেন,	
akmato,	একমত,	একমত,	
jonoshomaj,	জনসমাজ,	জনসমাজ,	
roktokkhorone,	রক্তক্ষণে,	রক্তক্ষরণে,	
rilayensha,	রিলয়েন্স,	রিলায়েন্স,	
amstrang,	এমস্ট্রাজ,	আর্মস্ট্রং,	
debdebi,	দেবদেদীবী,	দেবদেবী,	
chhootir,	ছুটির,	ছুটির,	
cholochchitrake,	চলচিত্রাকে,	চলচ্চিত্রকে,	
ajeej,	অজিজ,	আজিজ,	
chocchitrei,	চকচিত্রেই,	চলচ্চিত্রেই,	
henna,	হেন্না,	হেনা,	
nazad,	নাজাদ,	নজদ,	
patjata,	পাতজাত,	পাটজাত,	
taunsheep,	টনউশিপ,	টাউনশিপ,	
dael,	ডেল,	ডেইল,	
seating,	সেটিং,	সিটিং,	
bhenasa,	ভেনাস,	ভেনাস,	
hyaloin,	হ্যালোন,	হ্যালোইন,	
suresh,	সুরেশ,	সুরেশ,	
spreeadshiit,	স্প্রেডিট,	স্প্রেডশীট,	
rabe,	রবে,	রবে,	
uipokar,	উইপকার,	উইপোকার,	
santani,	সন্তানি,	সনাতনী,	
oshamanno,	অসমান্য,	অসামান্য,	
monjurul,	মঞ্জুরুল,	মনজুরুল,	
byaasalt,	ব্যাসল্ট,	ব্যাসল্ট,	
sten,	স্টেন,	স্টেন,	
bisheshshyo,	বিশেষ্য,	বিশেষ্য,	
oshthad,	অস্থাদ,	ওস্তাদ,	
seet,	সেট,	সিট,	
times,	টাইমস,	টাইমস্,	
cathalic,	ক্যাথলিক,	ক্যাথলিক,	
ikbalke,	ইকবালেকে,	ইকবালকে,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
kyathalika,	ক্যাথলিক,	ক্যাথলিক,	
gronthoti,	গ্রন্থটি,	গ্রন্থটি,	
bonkey,	বনকে,	বনকে,	
directarate,	ডিরেক্টরেতে,	ডিরেক্টরেট,	
qredita,	ক্রেডিট,	ক্রেডিট,	
vittiteo,	ভিত্তিওেও,	ভিত্তিতেও,	
lajiker,	লাজিকের,	লজিকের,	
stationey,	স্টেশনে,	ষ্টেশনে,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
dokaneyi,	ডোকানেই,	দোকানেই,	
osontos,	অশন্ত,	অসন্তোষ,	
dharavahikeo,	ধারাভাহিকেও,	ধারাবাহিকেও,	
faase,	ফেজ,	ফাঁসে,	
baasake,	বাসাকে,	বাসাকে,	
credit,	ক্রেডিট,	ক্রেডিট,	
baju,	বাজু,	বাজু,	
estooniya,	এস্টোনিয়া,	এস্তোনিয়া,	
sawam,	সভম,	সাওম,	
byabosthar,	ব্যবস্থার,	ব্যবস্থার,	
muladee,	মুলাদী,	মুলাদি,	
byte,	বিটে,	বাইট,	
bachaikrito,	বাচাইকৃত,	বাছাইকৃত,	
bishasey,	বিশাষে,	বিশ্বাসে,	
muradpur,	মুরাদপুর,	মুরাদপুর,	
landin,	লন্দিন,	ল্যান্ডিং,	
bhittow,	ভিত্ত্ব,	ভিত্তিও,	
ujbekistan,	উজবেকিশ্তান,	উজবেকিস্তান,	
cherechhe,	চেরেছে,	ছেড়েছে,	
faltir,	ফলটির,	ফলটির,	
adorsho,	আদর্শ,	আর্দশ,	
aarakaner,	আরাকানের,	আরাকানের,	
konar,	কোনার,	কণার,	
tarunra,	তরুণরা,	তরুণরা,	
ekoghore,	একঘরে,	একঘরে,	
geejeeteeda,	গেজেটিড,	গেজেটেড,	
nirmaankaj,	নির্মাণকাজ,	নির্মাণকাজ,	
lisens,	লিসেন্স,	লাইসেন্স,	
moshzidshoho,	মসসিদ্হ,	মসজিদসহ,	
khuni,	খুনি,	খুনি,	
ceramiksh,	সেরেমিক্স,	সিরামিকস,	
anchaltite,	অঞ্চলতিতে,	অঞ্চলটিতে,	
chet,	চেত,	চ্যাট,	
bishshaash,	বিশ্বাস,	বিশ্বাস,	
kodguli,	কদদুলী,	কোডগুলি,	
gaafiloti,	গুফিলতটি,	গাফিলতি,	
chetonagato,	চেতনাগত,	চেতনাগত,	
gafeeloti,	গেফিলতি,	গাফিলতি,	
olpo,	অল্প,	অল্প,	
dajyo,	দাজ্য,	দাহ্য,	
jyeshtha,	জ্যেস্ট,	জ্যেষ্ঠা,	
qoda,	কোড,	কোড,	
gojano,	গজনা,	গজানো,	
saajanor,	সাজানোর,	সাজানোর,	
hotodoreedro,	হতদেরিদর,	হতদরিদ্র,	
provritike,	প্রভূতিকে,	প্রভৃতিকে,	
chalake,	চালাকে,	চালকে,	
shommoteete,	সম্মতিতে,	সম্মতিতে,	
bii,	বি,	বি,	
probesher,	প্রবেশের,	প্রবেশের,	
tukror,	টুকরার,	টুকরোর,	
kraim,	ক্রেম,	ক্রাইম,	
alaoler,	আলালের,	আলাওলের,	
pattarn,	প্যাটার্ন,	প্যাটার্ন,	
narikei,	নারীকেই,	নারীকেই,	
rohosyor,	রহস্যর,	রহস্যর,	
vastuvad,	বস্তুবাদ,	বস্তুবাদ,	
kailas,	কাইলস,	কৈলাস,	
paikgacha,	পাকগগা,	পাইকগাছা,	
swalpa,	স্বল্প,	স্বল্প,	
doneta,	দোনাটা,	ডোনাট,	
theland,	থেল্যান্ড,	থাইল্যান্ড,	
pathkrom,	পাঠক্রম,	পাঠক্রম,	
karkat,	কর্কত,	কর্কট,	
hoila,	হইল,	হইল,	
madelim,	মেডেলিং,	মডেলিং,	
plena,	প্লেন,	প্লেন,	
protizogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
korim,	করিম,	করিম,	
shadena,	সাদেনা,	সাডেন,	
kar,	কার,	কর,	
gostike,	গস্তিকে,	গোষ্ঠীকে,	
granthati,	গ্রন্থাটি,	গ্রন্থটি,	
diana,	ডায়ান,	ডায়না,	
rajtantro,	রাজতন্ত্র,	রাজতন্ত্র,	
sombhobonaow,	সম্ভবনাও,	সম্ভবনাও,	
mashtarsha,	মাস্টার্স,	মাস্টার্স,	
gajetted,	গজেজেটদ,	গেজেটেড,	
janomukhee,	জননমঝী,	জনমুখী,	
lyaataa,	লাযাট,	ল্যাটা,	
motar,	মোটর,	মুতার,	
nabom,	নবম,	নবম,	
juboksoho,	যুবক্ষ,	যুবকসহ,	
bechaa,	বেচা,	বেচা,	
susamo,	সুষম,	সুসম,	
projanankal,	প্রজননকলাল,	প্রজননকাল,	
lutheereen,	লুথিরিন,	লুথেরান,	
abosaney,	অবসানে,	অবসানে,	
siqhar,	শিখর,	শিকার,	
cheerkoot,	চিরকুট,	চিরকুট,	
ukeliptash,	উক্লিপিটেস,	ইউক্যালিপ্টাস,	
shithilotar,	সিথিলতার,	শিথিলতার,	
jommoo,	জম্ম,	জম্মু,	
routine,	রাউটিনে,	রুটিন,	
vittiti,	ভিটিটি,	ভিত্তিটি,	
tarunderke,	তরুণ্দেরকে,	তরুণদেরকে,	
hatodoridra,	হতদারিদ্রা,	হতদরিদ্র,	
nadigulo,	নাদিগুলো,	নদীগুলো,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
choudhurio,	চৌধুরিও,	চৌধুরীও,	
nathivooktir,	নথিভূক্তির,	নথিভুক্তির,	
olimpiker,	অলিম্পিকের,	অলিম্পিকের,	
korimer,	করিমের,	করিমের,	
dhwajbhango,	ধ্বভভঙ্গ,	ধ্বজভঙ্গ,	
kabutorer,	কবুতরের,	কবুতরের,	
oiteejyo,	ঐতিজ্য,	ঐতিহ্য,	
jaunatar,	যওনতার,	যৌনতার,	
prodip,	প্রদিপ,	প্রদীপ,	
teresha,	তেরেসা,	টেরেসা,	
joubonbotee,	যৌবনবতি,	যৌবনবতী,	
janate,	জানাতে,	জানাতে,	
ketechilo,	কেটেছিল,	কেটেছিল,	
nothivukteer,	নথিভূক্তির,	নথিভুক্তির,	
dharabhiko,	ধারাভিক,	ধারাবাহিকেও,	
voter,	ভোটের,	ভোটার,	
phikshim,	ফিক্সিম,	ফিক্সিং,	
baasa,	বাসা,	বাসা,	
bedanter,	বেদান্তের,	বেদান্তের,	
stoona,	স্টুনা,	স্টোন,	
bai,	বাই,	বাঈ,	
abdoone,	আবদুনে,	আবদুন,	
veenom,	ভিনোম,	ভেনম,	
raagei,	রাগেই,	রাগেই,	
porishongkhyanbid,	পরিসং্খল্যাদীদ,	পরিসংখ্যানবিদ,	
tafsirer,	তাফসিরের,	তাফসীরের,	
pakhirai,	পাখিরাই,	পাখিরাই,	
chheelonaa,	ছিলনা,	ছিলনা,	
ekpase,	একপাশে,	একপাশে,	
eparjonta,	এপার্জন্ত,	এপর্যন্ত,	
atak,	অটক,	আটক,	
carlos,	চার্লস,	কার্লোস,	
samsher,	সমশের,	সমশের,	
taalgaachh,	তালগাছ,	তালগাছ,	
nariider,	নারীদের,	নারীদের,	
basake,	বাসাকে,	বাসাকে,	
ganoporibahoner,	গণপরিবাহনের,	গণপরিবহনের,	
atmabishvashi,	আত্মবিব্বাসী,	আত্মবিশ্বাসী,	
madhuri,	মধুরি,	মাধুরী,	
olngkoron,	অলংকরণ,	অলঙ্করণ,	
toki,	টোকি,	তকি,	
gara,	গার,	গোর,	
aatmobishwasi,	আত্মবিব্বাসী,	আত্মবিশ্বাসী,	
oitijhyey,	ঐতিহ্যে,	ঐতিহ্যে,	
vageroi,	ভাগেরই,	ভাগেরই,	
seebiai,	সেবিই,	সিবিআই,	
shekender,	সেকেন্ডের,	সেকেন্ডের,	
inasiyinta,	এনসেয়েন্ট,	এনসিয়েন্ট,	
ghetu,	ঘেটু,	ঘেটু,	
samosto,	সমস্ত,	সমস্ত,	
plainey,	প্লেনে,	প্লেনে,	
amantrita,	আমন্ত্রিত,	আমন্ত্রিত,	
footbalarer,	ফুটবললের,	ফুটবলারের,	
sadbi,	সাববি,	সাধ্বী,	
porishromi,	পরিশ্রমী,	পরিশ্রমী,	
manobsomajer,	মানবসমাজের,	মানবসমাজের,	
vaisaha,	ভাইসহ,	ভাইসহ,	
jemske,	জেমকে,	জেমসকে,	
bujhleo,	বুঝলেও,	বুঝলেও,	
phemale,	ফেমলে,	ফিমেল,	
batikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
ingreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
panthaar,	পানাার,	পন্থার,	
kobutorer,	কবিতুরের,	কবুতরের,	
tochhnoch,	টচনচ,	তছনছ,	
nirarthok,	নিরার্থক,	নিরর্থক,	
iyaka,	ইয়াক,	ইয়াক,	
kaansaat,	কাঁসাত,	কানসাট,	
cheenja,	চিঞ্জ,	চেঞ্জ,	
murli,	মুর্লি,	মুরলী,	
shkora,	স্কোর,	স্কোর,	
bm,	বিএিএম,	বিএম,	
amorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
soinyoder,	সৈন্যদের,	সৈন্যদের,	
oindreela,	অইন্ড্রেল,	ঐন্দ্রিলা,	
segulor,	সেগুলোর,	সেগুলোর,	
bhabuk,	ভাবুক,	ভাবুক,	
shkirt,	স্কার্ট,	স্কার্ট,	
horiner,	হরিনের,	হরিণের,	
mandander,	মননদন্দের,	মানদণ্ডের,	
ruplal,	রূপ্লল,	রূপলাল,	
qingdom,	কিংড্ম,	কিংডম,	
juktorashtrosaha,	যুক্তরাস্টবসরহ,	যুক্তরাষ্ট্রসহ,	
gosthii,	গোস্ঠী,	গোষ্ঠীই,	
durgandho,	দুর্গন্ধ,	দুর্গন্ধ,	
baieq,	বাইক,	বাইক,	
sikar,	সিকার,	শিকার,	
itastatah,	ইতাসততাহ,	ইতস্ততঃ,	
serup,	শেরুপ,	সেরূপ,	
vorodwaj,	ভরদদ্যাজ,	ভরদ্বাজ,	
chotogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
meshar,	মেশার,	মেশার,	
artilary,	আর্টিলারি,	আর্টিলারি,	
bitlaser,	বিটলসের,	বিটলসের,	
notunatva,	নতুনত্ব,	নতুনত্ব,	
khaneker,	খননেকের,	খানেকের,	
ganjona,	গঞ্জনা,	গঞ্জনা,	
potochitro,	পততিচ্র,	পটচিত্র,	
raagee,	রাগি,	রাগী,	
parks,	পার্কস,	পার্কস,	
dupleks,	ডাপেল্ক্স,	ডুপ্লে,	
nariiderke,	নারীদেরকে,	নারীদেরকে,	
maadhoobir,	মাধবীর,	মাধবীর,	
model,	মোডেল,	মডেল,	
graambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
bage,	বাগে,	বাগে,	
siddhantoo,	সিদ্ধান্ত,	সিদ্ধান্তও,	
sammatite,	সম্মতিতে,	সম্মতিতে,	
ishpredshhiit,	ইসপ্রেসেট,	স্প্রেডশীট,	
nathibhooktir,	নথিভুক্তির,	নথিভুক্তির,	
pitthey,	পিঠে,	পীঠে,	
jesthotar,	জেষ্ঠ্যতার,	জ্যেষ্ঠতার,	
sahinsatar,	সাহিসংতার,	সহিংসতার,	
showte,	শটটে,	শোতে,	
atmobishvashi,	আত্মবীব্বাসী,	আত্মবিশ্বাসী,	
debdebyr,	দেবদেবীর,	দেবদেবীর,	
thawre,	থেয়ার,	থরে,	
treenda,	ট্রেন্ড,	ট্রেন্ড,	
teoyana,	টিওযান,	তাইওয়ান,	
vastubad,	বস্তুবাদ,	বস্তুবাদ,	
karu,	করু,	কারু,	
sotorkokaree,	সতর্ককারী,	সতর্ককারী,	
pachhi,	পাঁচি,	পাচ্ছি,	
sanaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
selina,	সেলিন,	সেলিনা,	
mokam,	মোকাম,	মোকাম,	
nyaper,	ন্যাপের,	ন্যাপের,	
abheedhanick,	অভিধানিক,	অভিধানিক,	
totenhamer,	টোটেনহামের,	টটেনহামের,	
isan,	আশন,	ঈশান,	
food,	ফুদ,	ফুড,	
rupdan,	রূপদান,	রুপদান,	
metrapalitan,	মেট্রোপিলটন,	মেট্রোপলিটন,	
heawy,	হেভি,	হেভি,	
dormitory,	ডরমেটরি,	ডরমিটরি,	
engil,	এঞ্জিল,	ইঞ্জিল,	
patthkrom,	পাঠক্রম,	পাঠক্রম,	
zockey,	জকে,	জকি,	
gaddaphii,	গাদ্দাফী,	গাদ্দাফী,	
sachetanvabe,	সচেতনভাবে,	সচেতনভাবে,	
debholopar,	ডেভললার,	ডেভলপার,	
moushumer,	মৌসুমের,	মৌসুমের,	
minishtarer,	মিনিস্টারের,	মিনিস্টারের,	
sector,	সেক্টর,	সেক্টর,	
bairey,	বেরে,	বাইরে,	
bidrup,	বিদ্রুপ,	বিদ্রূপ,	
nek,	নেক,	নেক,	
jubokera,	যুবকেরা,	যুবকেরা,	
muktilabh,	মুক্তিলাভ,	মুক্তিলাভ,	
saarbharti,	সার্ভর্তী,	সার্ভারটি,	
bishwashoi,	বিশ্বাসই,	বিশ্বাসই,	
ashocheton,	অসচেতন,	অসচেতন,	
maudeler,	মডিলের,	মডেলের,	
jhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
barbadoz,	বার্বাডোজ,	বার্বাডোজ,	
cheesa,	চেস,	চেস,	
loukikotaa,	লৌকিকতা,	লৌকিকতা,	
polashir,	পলাশির,	পলাশীর,	
dibaag,	দিবাগ,	ডিবাগ,	
paner,	পানের,	পানের,	
bissashe,	বিশ্বাসে,	বিশ্বাসে,	
pachtar,	পাচচার,	পাঁচটার,	
shomraatder,	সম্রাদদের,	সম্রাটদের,	
shkalashtika,	স্কলাস্টিক,	স্কলাস্টিক,	
purbancoler,	পূর্বাঙ্চলের,	পূর্বাঞ্চলের,	
tookrote,	টুকরততে,	টুকরোতে,	
manohputo,	মননসূত,	মনঃপুত,	
kanflikt,	কাঁফলিক্ট,	কনফ্লিক্ট,	
