digrike,	ডিগ্রীকে,	ডিগ্রিকে,	
chalochchitreer,	চলচিত্রীর,	চলচ্চিত্রের,	
chhatto,	ছত্য,	ছোট্ট,	
asaborno,	অসবর্ন,	অসবর্ণ,	
orthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
vedanta,	বেদন্ত,	বেদান্ত,	
solil,	সলিল,	সলিল,	
firozaa,	ফিরোজা,	ফিরোজা,	
ponchaasjon,	পঞ্চাজাঞ্ন,	পঞ্চাশজন,	
bajhyo,	বাঝ্য,	বাহ্য,	
diaraesa,	ড্যারাস,	ডিআরএস,	
gobeshonar,	গবেষণার,	গবেষনার,	
rothin,	রথিন,	রথীন,	
lishenshe,	লিসেস্স,	লাইসেন্স,	
abotaar,	অবতার,	অবতার,	
laaisheesh,	লাইসস,	লাইসেন্স,	
murrayir,	মার্রে,	ম্যারির,	
ajijer,	আজিজের,	আজিজের,	
gitikobitar,	গীতিকাতির,	গীতিকবিতার,	
inapharameshana,	ইনফর্মেশন,	ইনফরমেশন,	
prokolpoti,	প্রকলপতি,	প্রকল্পটি,	
aabarte,	আবারতে,	আবর্তে,	
jojyata,	যোযজাতা,	যোজ্যতা,	
zockey,	জকে,	জকি,	
akhaate,	আখাতে,	একহাতে,	
marjito,	মার্জিত,	মার্জিত,	
emarjensi,	এমর্জেন্সি,	এমার্জেন্সি,	
dada,	দাদ,	দাদা,	
vaibon,	ভৈবন,	ভাইবোন,	
asthisandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
oncholgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
choudhureeder,	চৌধুরিদের,	চৌধুরীদের,	
hazirhaat,	হারিজাহত,	হাজিরহাট,	
sonatani,	সোনাতনী,	সনাতনী,	
dunkan,	ডাঙকান,	ডানকান,	
rena,	রেন,	রেনো,	
siniyara,	সিনিয়র,	সিনিয়র,	
liceensing,	লিকেসিন্স,	লাইসেন্সিং,	
ixprission,	এক্সপ্রেশন,	এক্সপ্রেশন,	
sina,	সিনা,	সিনা,	
itostatoh,	ইতস্তত,	ইতস্ততঃ,	
nitikotha,	নীতিকথা,	নীতিকথা,	
showte,	শত,	শোতে,	
maudeler,	মাদেলের,	মডেলের,	
patthon,	পাঠথন,	পঠন,	
kamola,	কমলা,	কামলা,	
texaser,	টেকাসের,	টেক্সাসের,	
bhageri,	ভাগেরি,	ভাগেরই,	
homesh,	হামেশ,	হোমস,	
seeramiker,	সিরামীকের,	সিরামিকের,	
jaistha,	জৈষ্ঠা,	জ্যৈষ্ঠ,	
gardeen,	গার্ডিন,	গার্ডেন,	
ajeempoor,	অজিমপুর,	আজিমপুর,	
kiiborde,	কিবোর্ডে,	কীবোর্ড,	
soomee,	সুমী,	সুমি,	
baarnis,	বার্নিস,	বার্নিশ,	
karater,	করাতের,	কারাতের,	
greep,	গ্রীপ,	গ্রিপ,	
bhagini,	ভাগিনী,	ভগিনী,	
mausumer,	মৌসুমের,	মৌসুমের,	
kodguli,	কাগুলি,	কোডগুলি,	
srisri,	সৃষ্রি,	শ্রীশ্রী,	
tekno,	তেকনো,	টেকনো,	
mmeloborrner,	মেলাবরেরণের,	মেলবোর্নের,	
sampadonkari,	সম্পাদকারী,	সম্পাদনকারী,	
log,	লোগ,	লগ,	
deephineeshana,	ডেফিনিন,	ডেফিনেশন,	
barnis,	বার্নিস,	বার্নিশ,	
taims,	টাইমস,	টাইমস্,	
chintaikaree,	চিনতাইকারী,	ছিনতাইকারী,	
ruvbla,	রুবলা,	রুবল,	
yauth,	ইথ,	ইয়ুথ,	
toruner,	তরুনের,	তরুণের,	
ancholtite,	অঞ্চলতিতে,	অঞ্চলটিতে,	
flux,	ফ্লাক্স,	ফ্লাস্ক,	
harbore,	হারববরে,	হারবারে,	
apocheshta,	অপশেস্ট,	অপচেষ্টা,	
ekkoghore,	একোঘরে,	একঘরে,	
vushi,	ভাষী,	ভুষি,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
shaannaal,	সানানাল,	সান্যাল,	
degreer,	ডিগ্রীর,	ডিগ্রির,	
chandrima,	চন্দ্রিমা,	চন্দ্রিমা,	
moshion,	মশশন,	মোশন,	
pest,	পেস্ট,	পেষ্ট,	
deeliveer,	দেলিভার,	ডেলিভার,	
paitey,	পাতে,	পাইতে,	
cutie,	কুটি,	কিউটি,	
fiksing,	ফিকশিং,	ফিক্সিং,	
aatto,	আত্ব,	আত্ম,	
concerter,	কনসার্টার,	কানসাটের,	
dhauta,	ধাউটা,	ধৌত,	
pratistha,	প্রতিষ্ঠ,	প্রতিষ্টা,	
jathon,	যথন,	যথন,	
itastatah,	ইতস্তাস,	ইতস্ততঃ,	
metroopoolitan,	মেট্রোপলিটাল,	মেট্রোপলিটন,	
besirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
myakbeth,	ম্যাকবের,	ম্যাকবেথ,	
abasane,	আবাসনে,	অবসানে,	
shucharita,	সুচারিত,	সুচরিতা,	
teenti,	তিনটি,	তিনটি,	
ballabh,	বল্লভ,	বল্লভ,	
nikoter,	নিকটের,	নিকটের,	
chhilonaa,	ছিলনা,	ছিলনা,	
ibhara,	ইভারা,	এভার,	
ashangka,	অসাঙ্ক,	আশংকা,	
drishyagulote,	দৃষ্যগুলোতে,	দৃশ্যগুলোতে,	
footballerder,	ফুট্টারলেরদের,	ফুটবলারদের,	
kormosompadon,	কর্মসম্পন,	কর্মসম্পাদন,	
eder,	এঁদের,	এদের,	
bahati,	বাহাতি,	বাহাতি,	
agomoner,	অগমনের,	আগমনের,	
iispredshiit,	ইউডস্রেট্সি,	স্প্রেডশীট,	
dhaleshorii,	ধলেেশারী,	ধলেশ্বরী,	
guzob,	গুজব,	গুজব,	
dovar,	ডোভার,	ডোভার,	
chereche,	চেরেছে,	ছেড়েছে,	
premo,	প্রেম,	প্রিমো,	
assastikar,	অস্বস্তিকার,	অস্বস্তিকর,	
shikarke,	শীকরকে,	শিকারকে,	
natnikey,	নাটনীকে,	নাতনীকে,	
bishwashoi,	বিশ্বশাই,	বিশ্বাসই,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
divya,	দিব্য,	দিব্যা,	
cakee,	কেক,	কেকে,	
laesens,	লেসন্স,	লাইসেন্স,	
chaanoo,	চানু,	চানু,	
janogananar,	জনগণনার,	জনগণনার,	
pingnaa,	পিংনা,	পিংনা,	
cholocchitro,	চলচিত্র,	চলচ্চিত্র,	
adorsho,	আদর্শ,	আর্দশ,	
bahubar,	বহুবার,	বহুবার,	
manobmoner,	মানবমম্নের,	মানবমনের,	
landing,	ল্যান্ডিং,	ল্যান্ডিং,	
ingrezeeteo,	ইংরেজিতে,	ইংরেজিতেও,	
ankush,	আংকুশ,	অংকুশ,	
danata,	দানাতা,	ডোনাট,	
dibidh,	দিবিধ,	দ্বিবিধ,	
sikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
sbatantrota,	স্বতান্ত্রতা,	স্বতন্ত্রতা,	
elakaa,	এলাকা,	এলাকা,	
taufiq,	তৌফিক,	তৌফিক,	
siitei,	শীতেই,	শীতেই,	
nodiiti,	নদীতী,	নদীটি,	
hijrii,	হিজরি,	হিজরী,	
perry,	পেরি,	পেরি,	
manohar,	মনোহার,	মনোহর,	
scholastic,	স্কালস্টিক,	স্কলাস্টিক,	
ashshociatesh,	অ্যাসোসিয়েশ,	এসোসিয়েটস,	
porichhonnota,	পরিচান্নতা,	পরিচ্ছন্নতা,	
barack,	ব্যারাক,	বারাক,	
zubokra,	যুবকরা,	যুবকরা,	
esoosiyetasa,	এসুস্যাইটস,	এসোসিয়েটস,	
township,	তনউশিপ,	টাউনশিপ,	
dupleks,	ডাপলেক্স,	ডুপ্লে,	
dharati,	ধারতী,	ধারাটি,	
opargota,	অপরগগত,	অপারগতা,	
rk,	রক,	আরকে,	
upcharzo,	উচ্চর্য,	উপাচার্য,	
windos,	উইন্ডো,	উইন্ডোস,	
aakkaas,	আক্ষাস,	আককাস,	
graambashi,	গ্রামাবাসী,	গ্রামবাসী,	
kaalki,	কালকি,	কালকি,	
chaudhuriyo,	চৌধুরি,	চৌধুরীও,	
depooti,	দিপুটি,	ডেপুটি,	
uporitol,	উপরিতল,	উপরিতল,	
upobasee,	উপবিষী,	উপবাসী,	
sombhobonaow,	সম্ভাবনা,	সম্ভবনাও,	
nirbaahi,	নির্বাহী,	নির্বাহি,	
stane,	স্তন,	স্টোন,	
dijijer,	দিইজিজের,	ডিজিজের,	
sampadon,	সম্পাদন,	সম্পাদন,	
charrjito,	চার্জিত,	চার্জিত,	
gananatya,	গণণা্য,	গণনাট্য,	
bharma,	ভর্ম,	ভার্মা,	
sectar,	সেক্টর,	সেক্টর,	
abheedhaanic,	অভিধানিক,	অভিধানিক,	
boarana,	বররান,	বোরন,	
ekaatto,	একাত্ত,	একাত্ব,	
hotochokito,	হতচচকিত,	হতচকিত,	
jerujalem,	জেরুলোজামেল,	জেরুজালেম,	
aidin,	আইডিং,	এইদিন,	
atma,	আত্মা,	আত্ম,	
somaptir,	সমাপ্তির,	সমাপ্তির,	
ovidhaner,	অভিধানের,	অভিধানের,	
expose,	এক্সপোজ,	এক্সপোজ,	
moolgoto,	মুলগত,	মূলগত,	
saahocorrze,	সাজওচর্ের্ে,	সাহচর্যে,	
argho,	আর্ঘ,	অর্ঘ্য,	
samanwitovabe,	সমানবিতভাবে,	সমন্বিতভাবে,	
jocqey,	জকে,	জকি,	
dayitwa,	দৈত্য,	দায়িত্ব,	
blagarara,	ব্লাগারারা,	ব্লগাররা,	
homser,	হামসের,	হোমসের,	
utpatti,	উৎপত্তি,	উতপত্তি,	
shpreadshheet,	স্প্রেডিস্ট,	স্প্রেডশীট,	
casper,	ক্যাপার,	ক্যাসপার,	
ssikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
karmopontha,	কর্মপন্থ,	কর্মপন্থা,	
koreempoor,	করিপুর,	করিমপুর,	
laishensh,	লেইনস্স,	লাইসেন্স,	
doover,	দুভার,	ডোভার,	
atitkale,	অতীতকালে,	অতীতকালে,	
enginears,	এঞ্সিন্জার্স,	ইঞ্জিনিয়ার্স,	
sammatir,	সম্মতির,	সম্মতির,	
ogradut,	অগ্রাদুত,	অগ্রদূত,	
nariikei,	নারীকে,	নারীকেই,	
laala,	লালা,	লালা,	
nirbaho,	নির্বাহ,	নির্বাহ,	
wenom,	ভেননম,	ভেনম,	
vimsen,	ভিমসেন,	ভীমসেন,	
rinatmak,	ঋণাত্মক,	ঋনাত্মক,	
harja,	হার্জ,	হার্জ,	
debug,	দেবুগ,	ডিবাগ,	
shansthaner,	সংস্থানের,	সংস্থানের,	
astheesandhi,	অস্থিসন্ধী,	অস্থিসন্ধি,	
amerikar,	অ্যামেরিকার,	আমেরিকার,	
shainyara,	সৈনইয়ার,	সৈন্যরা,	
irana,	আইরন,	ইরান,	
chetonagoto,	চেতনাগত,	চেতনাগত,	
elakatikey,	এলাকাতিকে,	এলাকাটিকে,	
shten,	স্টেন,	স্টেন,	
estoniya,	এস্টনিয়া,	এস্তোনিয়া,	
baagica,	বাগিকা,	বাগিচা,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
durgotsabe,	দুর্গটসাবে,	দুর্গোৎসবে,	
somaazer,	সমাজের,	সমাজের,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
ustad,	আষততদ,	উস্তাদ,	
ghatity,	ঘাটিতি,	ঘাঁটিটি,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
nortoki,	নর্তকী,	নর্তকী,	
franco,	ফ্রাঙ্কো,	ফ্রাঙ্কো,	
gemi,	জেমই,	জেমি,	
uinndos,	উইন্ডোস,	উইন্ডোস,	
associatees,	অ্যাসোসিটেশ,	এসোসিয়েটস,	
aamudey,	আমুদে,	আমুদে,	
neemitto,	নিমিত্য,	নিমিত্ত,	
poschimae,	পশ্চিমা,	পশ্চিমে,	
merjito,	মের্জিত,	মার্জিত,	
gitikabitar,	গীতিকাতির,	গীতিকবিতার,	
sanghitar,	সংঘীতার,	সংহিতার,	
pretii,	প্রেতি,	প্রিটি,	
answereer,	আনসারির,	আনসারীর,	
jerujalemer,	জেরুজালামের,	জেরুজালেমের,	
byepass,	ব্যাপস,	বাইপাস,	
manushe,	মানুসে,	মানুষে,	
deqe,	দেক,	ডেকে,	
muphti,	মুফতী,	মুফতি,	
gonocheener,	গণচীেের,	গণচীনের,	
narafoka,	নারাফক,	নরফোক,	
nutunotto,	নতুনত্ব,	নতুনত্ব,	
deezni,	ডিজনি,	ডিজনী,	
pachak,	পাচক,	পাচক,	
moushumti,	মৌসুমটি,	মৌসুমটি,	
badaghat,	বাদাঘাতা,	বাদাঘাট,	
totenhamer,	ততনহাহেমের,	টটেনহামের,	
taat,	তাত,	তাত,	
kiutie,	কিউটি,	কিউটি,	
instant,	ইন্সট্যান্ট,	ইনস্ট্যান্ট,	
kathmaandu,	কা্মান্দু,	কাঠমান্ডু,	
chalesi,	চলেইস,	চলেছি,	
rayyalati,	রায়ালতাই,	রয়্যালটি,	
carzer,	কার্যার,	চার্জের,	
azaadir,	আযাদীর,	আজাদীর,	
porizon,	পরিজন,	পরিজন,	
pure,	পুরে,	পিওর,	
jokkher,	যক্ষের,	যক্ষের,	
licencer,	লিসেক্স্সের,	লাইসেন্সের,	
sookumari,	সুকুমারি,	সুকুমারী,	
faaj,	ফাজ,	ফাজ,	
gitikobita,	গীতিকাবিত,	গীতিকবিতা,	
niropeksh,	নিরপ্্কেষ,	নিরপেক্ষ,	
kormoi,	করমেই,	কর্মই,	
lohar,	লোহার,	লোহার,	
monjurul,	মঞ্জুরুল,	মনজুরুল,	
boikalya,	বৈকল্য,	বৈকল্য,	
madhuree,	মাধুরে,	মাধুরী,	
thanvi,	থান্ি,	থানভী,	
ponthar,	পন্থার,	পন্থার,	
skolastic,	স্কালটসিক,	স্কলাস্টিক,	
porishongkhanbid,	পরিষণখ্যাং,	পরিসংখ্যানবিদ,	
meloonborroner,	মেযান্ারেরণের,	মেলবোর্নের,	
bikaargrasto,	বিকর্রগস্ত,	বিকারগ্রস্ত,	
ragke,	রাগকে,	রাগকে,	
utkhaat,	উৎকাট,	উত্খাত,	
sonali,	সোনালি,	সোনালী,	
gatee,	গেট,	গ্যেটে,	
alngkoron,	অলংকরণ,	অলঙ্করণ,	
atyachari,	অত্যচচারী,	অত্যাচারী,	
gora,	গরা,	গোর,	
nadike,	নাদিকে,	নদীকে,	
tusho,	তুষ,	তুসো,	
amiratas,	অমিরাষাত,	এমিরেটাস,	
prasadhani,	প্রসাধানী,	প্রসাধনী,	
ramantik,	রাম্নটিক,	রোমান্টিক,	
roktokhoron,	রক্তখরণ,	রক্তক্ষরণের,	
dembakriti,	ডেম্বাকৃতি,	ডিম্বাকৃতি,	
parikshateo,	পরীক্ষাতাও,	পরীক্ষাতেও,	
anodhikaar,	অন্ধিকার,	অনধিকার,	
fase,	ফেজ,	ফাঁসে,	
zozyota,	যোযযতা,	যোজ্যতা,	
purbancoler,	পূর্বানকেলের,	পূর্বাঞ্চলের,	
saphalyar,	সফফল্যার,	সাফল্যের,	
selim,	সেলিম,	সেলিম,	
teentir,	তিনটির,	তিনটির,	
udvaboney,	উদ্যাবনে,	উদ্ভাবনে,	
probhritike,	প্রভাতীকে,	প্রভৃতিকে,	
pounchute,	পৌঁছুতে,	পৌঁছুতে,	
conservation,	কনসারভেশন,	কনসারভেশন,	
chhanee,	ছানই,	ছানি,	
avishangsan,	অবিশংসন,	অভিশংসন,	
promothesh,	প্রমথথেষ,	প্রমথেশ,	
ghumachchilo,	ঘুমছিলেল,	ঘুমাচ্ছিল,	
behrampurer,	বিরামপুরের,	বহরমপুরের,	
hiushtoner,	হিউস্তনের,	হিউস্টনের,	
saarbhaarti,	সর্ভার্তী,	সার্ভারটি,	
sansthatir,	সংস্থাটির,	সংস্থাটির,	
nabotom,	নবতম,	নবতম,	
nathivukto,	নথিভুক্ত,	নথিভুক্ত,	
jotinke,	জ্যুতিকে,	যতীনকে,	
hola,	হলা,	হোল,	
fishing,	ফিশিং,	ফিসিং,	
udbhabony,	উদ্ভাবনি,	উদ্ভাবনী,	
cheentai,	চিন্তাই,	ছিনতাই,	
malish,	মালিস,	মালিশ,	
qyanela,	ক্যানেল,	ক্যানেল,	
peto,	পেত,	পেত,	
taunashhipa,	টাউন্সিপ,	টাউনশিপ,	
clause,	ক্লাউজ,	ক্লজ,	
arik,	এরিক,	আরিক,	
ceramicer,	সেরামিকার,	সিরামিকের,	
janomukhi,	জনমুখী,	জনমুখী,	
khalidke,	খলিদকে,	খালিদকে,	
saafi,	সাফি,	সাফি,	
uindoos,	উইন্ডোজ,	উইন্ডোস,	
chhatroraai,	ছাত্রারই,	ছাত্ররাই,	
skyirt,	স্কার্ট,	স্কার্ট,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
kandy,	কান্ডি,	ক্যান্ডি,	
pratisthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
venna,	ভেন্না,	ভেন্না,	
jahns,	জাসস,	জন্স,	
armenian,	আরমেনিয়ান,	আর্মেনিয়ান,	
maudelke,	মাদলেকে,	মডেলকে,	
jaki,	জাকি,	জকি,	
vagno,	ভাগন,	ভগ্ন,	
daktikit,	ডক্তিকিত,	ডাকটিকিট,	
tiunara,	টিউনার,	টিউনার,	
mosharroph,	মোশাররফ,	মশাররফ,	
ghenshei,	ঘেঁসেই,	ঘেঁষেই,	
rubi,	রুবি,	রুবি,	
shrimati,	শ্রীমতী,	শ্রীমতি,	
sofy,	শফি,	সোফি,	
cholochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
sahoocorzoe,	সহজকর্য,	সাহচর্যে,	
shrichaitanyadeb,	শ্রীচৈতৈাদ্বনে,	শ্রীচৈতন্যদেব,	
hoolding,	হোল্ডিং,	হোল্ডিং,	
oitijhyey,	ঐতিহ্যে,	ঐতিহ্যে,	
poriikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
edipass,	এডিপাস,	ইডিপাস,	
jwaluk,	জ্বুলক,	জ্বলুক,	
uru,	ঊরু,	উরু,	
joones,	জোনস,	জোন্স,	
samanwitavabe,	সমানুতভাবে,	সমন্বিতভাবে,	
pnouchute,	পৌঁছতে,	পৌঁছুতে,	
tecnokryat,	টেকন্র্যট,	টেকনোক্র্যাট,	
tukrote,	টুকরতে,	টুকরোতে,	
korush,	কোরাস,	ক্রুশ,	
chiroharit,	চিরারািত,	চিরহরিৎ,	
uthey,	উঠে,	উঠে,	
dharavashyokar,	ধারাভাষ্কার,	ধারাভাষ্যকার,	
projanankaal,	প্রজননকাল,	প্রজননকাল,	
qaferderke,	কাদেরদেরকে,	কাফেরদেরকে,	
behramporer,	বিরামপুরের,	বহরমপুরের,	
nilkamal,	নিক্যামাল,	নীলকমল,	
dosha,	দশা,	দোসা,	
sorsa,	সর্ষ,	সোর্স,	
alaoler,	আলুলের,	আলাওলের,	
gajipur,	গাজীপুর,	গাজীপুর,	
auxfordey,	অক্সর্ডে,	অক্সফোর্ডে,	
ganochiener,	গণচীনের,	গণচীনের,	
mitrao,	মিত্রাও,	মিত্রও,	
folokti,	ফলকটি,	ফলকটি,	
bhiktara,	ভিক্টর,	ভিক্টর,	
laisensa,	লাইন্স,	লাইসেন্স,	
songosthaner,	সংস্থানের,	সংস্থানের,	
residance,	রেসিডান্স,	রেসিডেন্স,	
motkey,	মতটকে,	মতকে,	
thetcher,	থিচাের,	থ্যাচার,	
unit,	উনিত,	ইউনিট,	
shrichaitanyadev,	শ্রীচৈতৈা্যেব,	শ্রীচৈতন্যদেব,	
gobeshokgon,	গবেষকগণ,	গবেষকগণ,	
choudhooreeo,	চৌধুরি,	চৌধুরীও,	
netherlander,	নেযার্ল্যান্ডার,	নেদারল্যান্ডের,	
prottokhovabe,	প্রত্বক্ষভাবে,	প্রত্যক্ষভাবে,	
blyaqa,	ব্লাযাক,	ব্ল্যাক,	
foxer,	ফক্সের,	ফক্সের,	
poroborti,	পরবর্তী,	পরর্বতী,	
jacksoner,	জ্যাকসনের,	জ্যাকসনের,	
manjushree,	ম্যান্স্যু,	মঞ্জুশ্রী,	
forex,	ফরেক্স,	ফরেক্স,	
aidii,	আইডি,	আইডিই,	
militaryte,	মিলিটারীতে,	মিলিটারিতে,	
jerusalem,	জেরুশামেল,	জেরুসালেম,	
gononanatyo,	গণণাান্য,	গণনাট্য,	
qoda,	কোড,	কোড,	
ahalyar,	খলল্যার,	অহল্যার,	
dei,	দে,	দিই,	
tookroti,	টুকরতী,	টুকরোটি,	
nirmolota,	নির্মলতা,	নির্মলতা,	
shikhechi,	শিখেছি,	শিখেছি,	
samashtigata,	সমস্তিগত,	সমষ্টিগত,	
pashaner,	পাশনের,	পাষাণের,	
reshidence,	রেসিডেন্স,	রেসিডেন্স,	
aziza,	আজিজা,	আজিজা,	
maunjiley,	মঞ্জীলে,	মঞ্জিলে,	
janate,	জানাতে,	জানাতে,	
lompot,	লম্পট,	লম্পট,	
sow,	সব,	শো,	
emiratas,	এমিরাটাস,	এমিরেটাস,	
grambaasi,	গ্রামবাসী,	গ্রামবাসী,	
paadee,	পাদে,	পাড়ে,	
karechi,	করেছি,	করেছি,	
poddhotiteyi,	পদ্ধতিতেই,	পদ্ধতিতেই,	
jerushalema,	জেরুশালামাল,	জেরুসালেম,	
shansthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
vaabnar,	ভাবনার,	ভাবনার,	
deliver,	দেলীভের,	ডেলিভার,	
selina,	সেলিনা,	সেলিনা,	
associetes,	অ্যাসোসিসেট,	এসোসিয়েটস,	
residensa,	রেসিডেন্স,	রেসিডেন্স,	
orunima,	অরণীমমা,	অরুণিমা,	
ancholtike,	অঞ্চলিকে,	অঞ্চলটিকে,	
sompadon,	সম্পাদন,	সম্পাদন,	
pitth,	পিঠ,	পীঠ,	
kanda,	কান্ড,	কাণ্ড,	
amitrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
himi,	হিমি,	হিমি,	
halloin,	হলইউন,	হ্যালোইন,	
bandhuke,	বাঁধুকে,	বন্ধুকে,	
bahaati,	বাহাটি,	বাহাতি,	
sikara,	সিকারা,	শিকার,	
dajhya,	দেঝযা,	দাহ্য,	
shikhbey,	শিখভে,	শিখবে,	
note,	নটে,	নোটে,	
sotorkokaree,	সতকরকারী,	সতর্ককারী,	
kloud,	ক্লদ,	ক্লাউড,	
sirameeks,	সিরামেক্স,	সিরামিকস,	
artilery,	আর্টিরলির,	আর্টিলারি,	
shniper,	স্নিপুর,	স্নাইপার,	
asantos,	আশান্ত,	অসন্তোষ,	
chhotogolper,	ছোটোগল্পের,	ছোটগল্পের,	
ekshoti,	একশতি,	একশোটি,	
vugten,	ভাগতেন,	ভুগতেন,	
kor,	কোর,	কর,	
aqabar,	আকাবার,	আকাবার,	
rca,	রক,	আরসিএ,	
prokolpeo,	প্রকল্পেও,	প্রকল্পেও,	
cheettronnatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
ajeejer,	আজীজের,	আজিজের,	
nathibhukta,	নথিভিক্ত,	নথিভুক্ত,	
abahon,	আবাহন,	আবাহন,	
bhabaaponno,	ভবাপন্ন,	ভাবাপন্ন,	
turkyder,	তুর্কীদের,	তুর্কিদের,	
kushumba,	কুশুম্ব,	কুশুম্বা,	
obhishangsan,	অভিশংস্থন,	অভিশংসন,	
ooindo,	উইন্ডো,	উইন্ডো,	
pooroheetke,	পুরাহীতকে,	পুরোহিতকে,	
prokalpao,	প্রকল্পাও,	প্রকল্পও,	
bonshoke,	বংশকে,	বংশকে,	
heelse,	হিলসে,	হিলসে,	
ghoomachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
jarusalem,	জারুশালেম,	জেরুসালেম,	
akbakye,	একবক্যে,	একবাক্যে,	
pleena,	প্লেন,	প্লেন,	
songasthati,	সংস্থাটি,	সংস্থাটি,	
royalty,	রয়ালটটি,	রয়্যালটি,	
graambaaseeder,	গ্রামবাদীদের,	গ্রামবাসীদের,	
chhidropothe,	ছিদ্রপথে,	ছিদ্রপথে,	
carpetey,	কর্পেতে,	কার্পেটে,	
sooya,	শোয়া,	সোয়া,	
karpeter,	কর্পটতের,	কার্পেটে,	
itastato,	ইতস্তত,	ইতস্তত,	
titlee,	টিটলি,	টাইটেল,	
karmosansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
obolokon,	অবলককন,	অবলোকন,	
hoomes,	হুমস,	হোমস,	
aholya,	খলল্য,	অহল্যা,	
conistho,	কনসিষ্ঠ,	কনিষ্ঠ,	
raits,	রাইস,	রাইটস,	
manushtikey,	মনুষ্টিকে,	মানুষটিকে,	
roobi,	রবি,	রুবি,	
shithilota,	শীথিলতা,	শিথিলতা,	
sourse,	সরর্স,	সোর্স,	
shelim,	সেলিম,	সেলিম,	
daada,	ডাড,	দাদা,	
khambaa,	খেমবা,	খাম্বা,	
