laisensim,	লেইসেং্সিং,	লাইসেন্সিং,	
sekarone,	সেকারণে,	সেকারণে,	
nachiketa,	নাচিকেতা,	নচিকেতা,	
rahi,	রহি,	রাহী,	
kamti,	কমটি,	কমতি,	
shaluk,	শালুক,	শালুক,	
stationey,	স্টেশনে,	ষ্টেশনে,	
madla,	মদ্লা,	মাদলা,	
tirmizi,	তিরমিযী,	তিরমিজি,	
oitijjho,	ঐতিহ্য,	ঐতিহ্য,	
mukhobandho,	মুখবন্ধ,	মুখবন্ধ,	
varshon,	ভার্সন,	ভারশন,	
chikitsar,	চিকিৎসার,	চিকিত্সার,	
zones,	জোনস,	জোন্স,	
lohaar,	লোহার,	লোহার,	
saamaanyai,	সামান্যই,	সামান্যই,	
gagee,	গেগ,	গেজ,	
hariken,	হারিকেন,	হ্যারিকেন,	
chhani,	ছনি,	ছানি,	
graambasee,	গ্রামবাসী,	গ্রামবাসী,	
drishyotir,	দৃশ্যটির,	দৃশ্যটির,	
besirvagei,	বেশীরভাগেই,	বেশিরভাগেই,	
nevatey,	নেভাতে,	নেভাতে,	
kyaneela,	ক্যানেল,	ক্যানেল,	
kortam,	করতম,	করতাম,	
skalastic,	স্কলস্টিক,	স্কলাস্টিক,	
praman,	প্রমাণ,	প্রমান,	
majuter,	মজুতের,	মজুতের,	
ispredshit,	ইস্প্রডেশিট,	স্প্রেডশীট,	
jaak,	যাক,	জাঁক,	
bruklin,	ব্রুকলিন,	ব্রুকলিন,	
qulim,	কুলিম,	কুলিং,	
uporitale,	উপরিতলে,	উপরিতলে,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
teyt,	টেইট,	টেট,	
prodeeper,	প্রদিপের,	প্রদীপের,	
dakticketer,	ড্কাটিকেতের,	ডাকটিকিটের,	
aksathei,	একসাথেই,	একসাথেই,	
kaamij,	কামিজ,	কামিজ,	
sorting,	শর্টিং,	সর্টিং,	
bhoolapuka,	ভুলাপুকা,	ভোলাপুক,	
ashamarthita,	অসমর্থিত,	অসমর্থিত,	
astikota,	অস্তিকতা,	আস্তিকতা,	
osamanno,	অসামন্ন,	অসামান্য,	
uttar,	উত্তর,	উওর,	
female,	ফেমালে,	ফিমেল,	
mit,	মিত,	মিট,	
kyantana,	ক্যান্টান,	ক্যান্টন,	
onnkita,	অনকিত,	অঙ্কিতা,	
alngkoron,	অলঙকরণ,	অলঙ্করণ,	
ishpredshhit,	ইস্পরেডশিত,	স্প্রেডশীট,	
muktoome,	মুক্তমে,	মাকতুম,	
boudhher,	বৌদ্ধের,	বৌদ্ধের,	
adhyattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
sakar,	সকর,	সকার,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
uporital,	উপরিতল,	উপরিতল,	
jemy,	জেমি,	জেমি,	
shoshoa,	শোষা,	শশা,	
dhorer,	ধরের,	ধরের,	
patthkrom,	পাঠ্রক্ম,	পাঠক্রম,	
mumtaj,	মমতাজ,	মুমতাজ,	
fimela,	ফিমেল,	ফিমেল,	
metropoliton,	মেট্রোপলিটান,	মেট্রোপলিটন,	
duckticketer,	ডুক্তিকেতের,	ডাকটিকিটের,	
mehnotti,	মেহন্ট্,	মেহনতি,	
aminool,	আমিনিউল,	আমিনুল,	
dunkan,	দাঙকান,	ডানকান,	
badna,	বদনা,	বদনা,	
kando,	কান্দ,	কাণ্ড,	
code,	কোড,	কোড,	
goteehin,	গতিহীন,	গতিহীন,	
sedikei,	সেদিকেই,	সেদিকেই,	
lesens,	লেসেন্স,	লাইসেন্স,	
banijyikvittite,	বানিজ্যিক্তিতে,	বাণিজ্যিকভিত্তিতে,	
aviyojan,	অভিযোজন,	অভিযোজন,	
attar,	আত্মার,	আত্তার,	
sangosthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
kushoomba,	কুসম্বা,	কুশুম্বা,	
utkhat,	উৎখাত,	উত্খাত,	
sotorkobhabe,	সতর্কভাবে,	সতর্কভাবে,	
miley,	মিলে,	মাইলে,	
samanno,	সামান্ন,	সামান্য,	
sourse,	সোর্সে,	সোর্স,	
adhit,	অধিত,	অধীত,	
chorban,	চরবান,	চর্বন,	
ballabh,	বল্লাভ,	বল্লভ,	
shepherd,	শেফার্ড,	শেফার্ড,	
helly,	হেলি,	হিলি,	
canflikt,	ক্যালেক্ট,	কনফ্লিক্ট,	
poshchate,	পশ্চাতে,	পশ্চাতে,	
phox,	ফ্্ক্স,	ফক্স,	
chhaanee,	ছানে,	ছানি,	
soommitrar,	সুম্মিত্রার,	সুমিত্রার,	
kyamone,	কেমনে,	কেমনে,	
prakalpoo,	প্রকল্প,	প্রকল্পও,	
torokareer,	তরকারির,	তরকারীর,	
durgatsabe,	দুর্গতেবাে,	দুর্গোৎসবে,	
seekkhaarthirao,	শিক্ষার্থীরে,	শিক্ষার্থীরাও,	
abheedhaanick,	অভিধানিক,	অভিধানিক,	
doorotaumo,	দুরোতম,	দূরতম,	
mogert,	মোগার্ট,	মোজার্ট,	
karuna,	করুনা,	করুণা,	
quari,	কুরি,	কোয়েরি,	
atohar,	আতোহর,	আতহার,	
fox,	ফ্্ক্স,	ফক্স,	
creedit,	ক্রিডিট,	ক্রেডিট,	
directorete,	ডিরেক্টরেত,	ডিরেক্টরেট,	
taateo,	তাতেও,	তাতেও,	
saseeja,	সসিজা,	সসেজ,	
modelke,	মোদেলকে,	মডেলকে,	
diana,	ডিয়ানো,	ডায়না,	
credit,	ক্রিডিট,	ক্রেডিট,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
darada,	দরদ,	দারদা,	
byatari,	ব্যাটারি,	ব্যাটারী,	
upobaasher,	উপবাশের,	উপবাসের,	
nodiike,	নোদীকে,	নদীকে,	
uinndos,	উইন্ডোস,	উইন্ডোস,	
udbodhaney,	উদ্বোধনে,	উদ্বোধনে,	
scoree,	স্করি,	স্কোরে,	
jesa,	জেস,	জেস,	
orthoniti,	অর্থনিটি,	অর্থনীতির,	
hol,	হল,	হোল,	
dweepgoolo,	দ্বীপগুলো,	দ্বীপগুলো,	
gabhaskaar,	গভাষকার,	গাভাস্কার,	
saatzoner,	সাতজনের,	সাতজনের,	
bishesyer,	বিশেষের,	বিশেষ্যের,	
munsi,	মুন্সি,	মুন্সি,	
ropto,	রপ্ত,	রপ্ত,	
eesa,	এস,	আইএএস,	
consarvation,	কনসারভেশন,	কনসারভেশন,	
rajshri,	রাজশ্রী,	রাজশ্রী,	
nagarik,	নাগরিক,	নাগরিক,	
bbiswash,	বিশ্বাস,	বিশ্বাস,	
surti,	সুর্তি,	সুরটি,	
utsaha,	উত্সাহ,	উৎসাহ,	
pracharana,	প্রচারণা,	প্রচারণা,	
zojjyota,	যোজ্যতা,	যোজ্যতা,	
phareeksa,	ফরেক্স,	ফরেক্স,	
banijyikbhittik,	বানিজ্যিক্তিক,	বাণিজ্যিকভিত্তিতে,	
ingreziteo,	ইংরেজিতে,	ইংরেজিতেও,	
deembakreeti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
emiratas,	এমেরিটাস,	এমিরেটাস,	
antorvukto,	অর্ন্তভুক্ত,	অন্তর্ভুক্ত,	
chhilona,	ছিলনা,	ছিলনা,	
eukalyptush,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
machsaho,	মাচসহ,	মাছসহ,	
potthon,	পঠ্ন,	পঠন,	
naphisa,	নফিস,	নাফিসা,	
upobaaser,	উপবাসের,	উপবাসের,	
filipiner,	ফিলিপিনের,	ফিলিপাইনের,	
sirameeks,	সিরামিক্ষ,	সিরামিকস,	
gripa,	গ্রিপ,	গ্রিপ,	
biplobir,	বিপ্লবির,	বিপ্লবীর,	
