vedke,	ভেদকে,	বেদকে,	
ingrezeeteo,	ইংরেজিতেও,	ইংরেজিতেও,	
lajik,	লাজিক,	লজিক,	
lutharen,	লুঠারেন,	লুথেরান,	
atok,	অটোক,	আটক,	
satthik,	সাথিক,	সঠিক,	
gheshei,	ঘেষেই,	ঘেঁষেই,	
ujobekeestaner,	উজবেক্ষতানের,	উজবেকিস্তানের,	
antarktikar,	অন্তর্কতিকার,	অ্যান্টার্কটিকার,	
chirohorit,	চিরহরিত,	চিরহরিৎ,	
venkatesh,	ভেনকাতেশ,	ভেঙ্কটেশ,	
churger,	চুর্গের,	চার্জের,	
bishashke,	বিশাবকে,	বিশ্বাসকে,	
benish,	বেনিশ,	ভেনিস,	
rayyalati,	রেয়ালটি,	রয়্যালটি,	
doltagi,	দলতাগী,	দলত্যাগী,	
reshidence,	রেসিডেন্স,	রেসিডেন্স,	
phooloo,	ফুলো,	পোলো,	
shikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
obheegomon,	অভিগমন,	অভিগমন,	
peterkey,	পেতেরকে,	পিটারকে,	
scholastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
stylish,	স্টাইলিস,	স্টাইলিশ,	
rohosyo,	রহস্য,	রহস্য,	
jhalkathy,	ঝালকাঠি,	ঝালকাঠী,	
embeda,	এম্বিডা,	এম্বেড,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
crescenter,	ক্রেসেেন্টের,	ক্রিসেন্টের,	
commander,	কমান্ডার,	কমাণ্ডার,	
longhaner,	লঙ্ঘনের,	লংঘনের,	
laagche,	লাগছে,	লাগছে,	
sonatani,	সোনাটানি,	সনাতনী,	
labonaktotar,	লবণাক্ততার,	লবণাক্ততার,	
satarkabhabe,	সতর্কভাবে,	সতর্কভাবে,	
ballabh,	বল্লভ,	বল্লভ,	
ishpredshheet,	ইস্প্রদেষ্ঠ,	স্প্রেডশীট,	
beekargrasto,	বিকারগাস্ত,	বিকারগ্রস্ত,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
beca,	বেকা,	বেচা,	
bondhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
grawth,	গ্রথ,	গ্রোথ,	
tenisha,	টেনিস,	টেনিস,	
carlos,	কার্লস,	কার্লোস,	
prakalpoguli,	প্রকালপুলি,	প্রকল্পগুলি,	
priimo,	প্রীম,	প্রিমো,	
uinndos,	উইন্ডস,	উইন্ডোস,	
somonnitobhabe,	সমান্তভাবে,	সমন্বিতভাবে,	
kiiborder,	কীবোরদের,	কীবোর্ডের,	
koyari,	কোয়ারি,	কোয়েরি,	
bonaa,	বোনা,	বোনা,	
seekkhokder,	শিক্ষদের,	শিক্ষকদের,	
bishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
shcholastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
sabyastho,	সাব্যস্থ,	সাব্যস্থ,	
lesensa,	লেসেন্স,	লাইসেন্স,	
bisnuu,	বিশ্ণু,	বিষ্ণু,	
uthaney,	উঠানে,	উঠানে,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
thimke,	থিমকে,	থিমকে,	
qoyeri,	কোয়েরি,	কোয়েরি,	
khoja,	খোজা,	খোজা,	
koreemke,	করিমকে,	করিমকে,	
graambaseeo,	গ্রামবাসী,	গ্রামবাসীও,	
anchalke,	আঞচলকে,	অঞ্চলকে,	
safalyer,	সফল্যের,	সাফল্যের,	
basano,	বাসানো,	বসানো,	
purbanchole,	পূর্বাচলে,	পূর্বাঞ্চলে,	
durgandher,	দুর্গান্ধের,	দুর্গন্ধের,	
adhyatmikatar,	আধ্যাত্মিকার,	আধ্যাত্মিকতার,	
gage,	গাগে,	গেজ,	
korkotkraanti,	কর্কট্রান্তি,	কর্কটক্রান্তি,	
upobaasee,	উপবাসী,	উপবাসী,	
eshokol,	এসকল,	এসকল,	
carpet,	কারপেট,	কার্পেট,	
dhhabi,	ঢবি,	ঢাবি,	
daackticketer,	ডাক্িকেটের,	ডাকটিকিটের,	
chhai,	ছাই,	ছাই,	
gezetted,	গেজেটেড,	গেজেটেড,	
soomi,	সুমি,	সুমি,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
sooter,	সুটের,	শ্যুটার,	
olngkoron,	অলংকরণ,	অলঙ্করণ,	
potthon,	পোঠন,	পঠন,	
delivar,	দেলিভার,	ডেলিভার,	
amarendro,	আমরেন্দ্র,	অমরেন্দ্র,	
bamni,	বামনি,	বামনী,	
pooshtir,	পুষ্টির,	পুষ্টির,	
chalochchitroi,	চলচিত্রই,	চলচ্চিত্রই,	
sobchey,	সবচে,	সবচে,	
keram,	কেরাম,	কেরাম,	
suparahiroo,	সুপারহিরো,	সুপারহিরো,	
onnoroop,	অন্যরূপ,	অন্যরূপ,	
udbhaboney,	উদ্ভাবনে,	উদ্ভাবনে,	
inziniyarsa,	ইঞ্জিনের্স,	ইঞ্জিনিয়ার্স,	
tirmiji,	তিরমিী,	তিরমিজি,	
zinsa,	জিনসা,	জিন্স,	
bedanter,	বেদন্তের,	বেদান্তের,	
foreex,	ফরেক্স,	ফরেক্স,	
kona,	কোণ,	কোনা,	
surakarder,	সূরকরদের,	সুরকারদের,	
uthey,	উঠে,	উঠে,	
jwarer,	জ্যারের,	জ্বরের,	
gore,	গোরে,	গোর,	
cooling,	কোলিং,	কুলিং,	
tistar,	টিস্টার,	তিস্তার,	
shita,	সীতা,	সিট,	
musalmankey,	মুসলমানকে,	মুসলমানকে,	
daaraa,	ডারা,	দারা,	
chaanu,	চানু,	চানু,	
sima,	সিম,	সীমা,	
janagananar,	জনগণনার,	জনগণনার,	
antarbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
sqarta,	স্কার্ট,	স্কার্ট,	
machera,	মেচেরা,	মাছেরা,	
wenish,	ভিনিস,	ভেনিস,	
scholarsip,	স্কলারশিপ,	স্কলারশিপ,	
zess,	জেস,	জেস,	
vromoner,	ভ্রমণের,	ভ্রমণের,	
shoili,	সৈলি,	শৈলী,	
licensin,	লিসেন্সিন,	লাইসেন্সিং,	
myathiou,	ম্যাথিও,	ম্যাথিউ,	
strigon,	স্ত্রীগণ,	স্ত্রীগণ,	
estonia,	এস্টোনিয়া,	এস্তোনিয়া,	
oboshore,	অবশরে,	অবসরে,	
durgondho,	দুর্গন্ধ,	দুর্গন্ধ,	
porishrom,	পরিশ্রম,	পরিশ্রম,	
garora,	গারোরা,	গারোরা,	
rekhapat,	রেখাপাত,	রেখাপাত,	
anis,	আনিস,	আনিস,	
nadnadeer,	নদ্দনার,	নদনদীর,	
aakkash,	আককাশ,	আককাস,	
rajnaiteek,	রাজনৈতিক,	রাজনৈতীক,	
kattar,	কাটার,	কট্টর,	
eastar,	ইস্টার,	ইস্টার,	
bissonath,	বিশ্বনাথ,	বিশ্বনাথ,	
kredita,	ক্রেডিত,	ক্রেডিট,	
vittio,	ভিত্যিও,	ভিত্তিও,	
elakaatir,	এলাকাটির,	এলাকাটির,	
moshzidtir,	মস্দিদটির,	মসজিদটির,	
phood,	ফুড,	ফুড,	
spreadshiit,	স্প্রেডসিত,	স্প্রেডশীট,	
raunanganey,	রাঙাঙ্গনে,	রণাঙ্গনে,	
oedipus,	ঐডিপুস,	ইডিপাস,	
paltechey,	পালটেছে,	পাল্টেছে,	
serverer,	সার্ভারের,	সার্ভারের,	
ester,	এস্টার,	ইস্টার,	
abheedhaneeck,	অভিধানক,	অভিধানিক,	
paite,	পাইটে,	পাইতে,	
poster,	পোস্টার,	পোস্টের,	
sumita,	সুমিতা,	সুমিতা,	
uparzoner,	উপারজনের,	উপার্জনের,	
ala,	আলা,	আলা,	
vishnuu,	বিষ্ণু,	বিষ্ণু,	
swajaner,	স্বজনের,	স্বজনের,	
beekargrasta,	বিকারগ্রাস্ট,	বিকারগ্রস্ত,	
temonti,	টেমনটি,	তেমনটি,	
kutir,	কুটির,	কুটির,	
nothibhukto,	নথিভুক্ত,	নথিভুক্ত,	
deenes,	ডাইনেস,	দীনেশ,	
danaber,	ডানবের,	দানবের,	
bamona,	বামনা,	বামনা,	
tookrote,	টুকরতে,	টুকরোতে,	
vaisoho,	বাইসহ,	ভাইসহ,	
gobhornorer,	গভর্নরের,	গভর্ণরের,	
sumoo,	সুমু,	সুমো,	
khoka,	খোকো,	খোকা,	
jeten,	জেতেন,	জেতেন,	
duuma,	ডুমা,	দুমা,	
dokaan,	ডোকান,	দোকান,	
sooya,	সোয়া,	সোয়া,	
eenjeel,	ইঞ্জেল,	ইঞ্জিল,	
idaning,	ইডাইনিং,	ইদানীং,	
battery,	ব্যাটারি,	ব্যাটারী,	
moldowa,	মলোদওয়া,	মলদোভা,	
drishi,	দৃষি,	দৃশ্যই,	
maudeler,	মাউডেলের,	মডেলের,	
kartona,	কর্তনা,	করতনা,	
blacker,	ব্লকের,	ব্ল্যাকের,	
prokalpagulo,	প্রকালপুলো,	প্রকল্পগুলো,	
sangbadmadhyamgulote,	সংবাদমাধুমতে,	সংবাদমাধ্যমগুলোতে,	
arop,	অরোপ,	আরোপ,	
evar,	এভার,	এভার,	
nevate,	নেভাতে,	নেভাতে,	
heeja,	হেজ,	হেজ,	
hillse,	হিলসে,	হিলসে,	
ganaporibahaner,	গণপরিবহণের,	গণপরিবহনের,	
madraji,	মাদ্রাজী,	মাদ্রাজি,	
tahalei,	তাহালেই,	তাহলেই,	
sangkalanti,	সংকলনটি,	সংকলনটি,	
songkoloner,	সংকলনের,	সংকলনের,	
canal,	কানাল,	ক্যানেল,	
labanaktatar,	লবণাক্ততার,	লবণাক্ততার,	
noitikata,	নৈতিকতা,	নৈতিকতা,	
barbe,	বার্ব,	বাড়বে,	
manee,	মেন,	মানে,	
emarjensi,	এমার্জেনসি,	এমার্জেন্সি,	
akshoti,	একশতি,	একশোটি,	
jaksa,	যক্স,	যক্ষ,	
jibjantu,	জীবজন্তু,	জীবজন্তু,	
ralof,	রালফ,	রালফ,	
bonshi,	বংশি,	বংশী,	
tochhnoch,	তচ্ছন,	তছনছ,	
joistha,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
definisian,	ডেফিনিশন,	ডেফিনেশন,	
bhaibon,	ভাইবন,	ভাইবোন,	
byaran,	ব্যারণ,	ব্যারন,	
parijaner,	পরিজনের,	পরিজনের,	
ganachiner,	গণচীনের,	গণচীনের,	
byabaharkareederke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
sarjur,	সার্জুর,	সরযূর,	
shringe,	শৃঙ্গে,	শৃঙ্গে,	
darjiling,	ডার্জলিং,	দার্জিলিং,	
hizrii,	হিজরি,	হিজরী,	
shuter,	সুটের,	শ্যুটার,	
sadena,	সাডেন,	সাডেন,	
onchalgoolir,	অঞ্চালগুলির,	অঞ্চলগুলির,	
dephinition,	ডেফিনেশন,	ডেফিনেশন,	
nariikei,	নারীকেই,	নারীকেই,	
alpai,	আল্পা,	অল্পই,	
juboksoho,	যুবকসহ,	যুবকসহ,	
manjurul,	মাঞজুরুল,	মনজুরুল,	
gabhaskar,	গভাসকার,	গাভাস্কার,	
uporitol,	উপরিটল,	উপরিতল,	
natsi,	নাৎসি,	নাত্সি,	
metroopalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
sthaponakay,	স্থাপনাকে,	স্থাপনাকে,	
santa,	সানতা,	সান্তা,	
poschimae,	পশ্চিমা,	পশ্চিমে,	
aunti,	আউনটি,	আন্টি,	
gazee,	গাজী,	গেজ,	
abul,	আবুল,	আবুল,	
megher,	মেঘের,	মেঘের,	
heriser,	হেরিসের,	হ্যারিসের,	
leder,	লেডার,	লিডার,	
matrikar,	মাত্রিকার,	মাতৃকার,	
saajanor,	সাজানোর,	সাজানোর,	
chhaai,	ছাই,	ছাই,	
pattarn,	প্যাটর্ন,	প্যাটার্ন,	
mokam,	মকম,	মোকাম,	
shasankorta,	শাসনকর্তা,	শাসনকর্তা,	
antarvuktimulak,	অন্তর্ভূক্তমূলক,	অন্তর্ভুক্তিমূলক,	
dweepgoolotey,	দ্বিপগুলোতে,	দ্বীপগুলোতে,	
baasake,	বাসাকে,	বাসাকে,	
palestiner,	পালেস্টিনের,	প্যালেস্টাইনের,	
romancha,	রোমাঞ্চ,	রোমাঞ্চ,	
trayte,	ট্রেট,	ট্রেতে,	
mirakel,	মিরাকেল,	মিরাকেল,	
sibraz,	শিবরাজ,	শিবরাজ,	
khuni,	খুনি,	খুনি,	
armshtronj,	আর্মস্ট্রাং,	আর্মস্ট্রং,	
bholapuqa,	ভোলাপুক,	ভোলাপুক,	
locker,	লোকের,	লকের,	
militaryte,	মিলিটারিতে,	মিলিটারিতে,	
chho,	ছো,	ছোঁ,	
tomader,	তমাদের,	তোমাদের,	
horidware,	হরিদ্বরে,	হরিদ্বারে,	
utpotti,	উৎপত্তি,	উতপত্তি,	
gabhaaskaar,	গভাসকার,	গাভাস্কার,	
kortona,	কর্তনা,	করতনা,	
romonar,	রোমনার,	রমনার,	
roomantika,	রোমান্টিক,	রোমান্টিক,	
simons,	সিমনস,	সিমন্স,	
metropalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
kyanela,	ক্যানেলা,	ক্যানেল,	
aholya,	আহল্য,	অহল্যা,	
otiiteo,	অতিতেও,	অতীতেও,	
chargar,	চারগার,	চার্জার,	
claus,	ক্লাস,	ক্লজ,	
abhisongson,	অভিসংসন,	অভিশংসন,	
ummul,	উমমূল,	উম্মুল,	
notey,	নটে,	নোটে,	
dokanei,	দোকানেই,	দোকানেই,	
arthoneeti,	অর্থনীতি,	অর্থনীতির,	
hertj,	হার্জ,	হার্জ,	
rajtantrakey,	রাজতান্ত্রকে,	রাজতন্ত্রকে,	
hyariqena,	হ্যারিকেন,	হ্যারিকেন,	
chalochchitragulor,	চলচিত্রগুলোর,	চলচ্চিত্রগুলোর,	
iukyaliptasa,	ইউক্যাপলেস,	ইউক্যালিপ্টাস,	
taali,	তালি,	তালি,	
biphal,	বিফল,	বিফল,	
hola,	হোলা,	হোল,	
dhaleshorii,	ধালেশ্বরী,	ধলেশ্বরী,	
tottobar,	তত্ত্বর,	তওবার,	
mitrer,	মিত্রের,	মিত্রের,	
pitth,	পিঠ,	পীঠ,	
smarok,	স্মারক,	স্মারক,	
armeeniyana,	আর্মিনিয়ান,	আর্মেনিয়ান,	
rupert,	রূপার্ট,	রুপার্ট,	
bojhaar,	বোঝার,	বোঝার,	
elakaate,	এলাকাতে,	এলাকাতে,	
kaloniir,	কালনীর,	কালনীর,	
rilayensa,	রিলেন্স,	রিলায়েন্স,	
cholocchitroke,	চলচিত্রকে,	চলচ্চিত্রকে,	
uqeliptas,	উউকেলিপ্টাস,	ইউক্যালিপ্টাস,	
bhyatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
sayaneda,	সায়েন্ডা,	সায়ানাইড,	
grameroi,	গ্রেমারো,	গ্রামেরই,	
model,	মোডেল,	মডেল,	
asamonjasyopurno,	আসামানযোস্পর,	অসামঞ্জস্যপূর্ণ,	
gatrey,	গাত্রে,	গাত্রে,	
jak,	যাক,	জাঁক,	
masterer,	মাস্টারের,	মাস্টারের,	
sohingsotar,	সহিংসতার,	সহিংসতার,	
kalam,	কলম,	কালাম,	
ekhaate,	এখাতে,	একহাতে,	
patigoniter,	পতিগণিতের,	পাটিগণিতের,	
koommatei,	কমাতেই,	কমাতেই,	
bondhuderkey,	বন্ধুদেরকে,	বন্ধুদেরকে,	
sealvi,	সিলভি,	সিলভি,	
chomski,	চমসকি,	চমস্কি,	
faj,	ফজজ,	ফাজ,	
shudden,	সুদেন,	সাডেন,	
abasaney,	আবাসনে,	অবসানে,	
shikhra,	শিখ্র,	শিখরা,	
choudhoorio,	চৌধুরিও,	চৌধুরীও,	
nagorikra,	নাগরিকরা,	নাগরিকেরা,	
elaakai,	এলাকাই,	এলাকাই,	
tinage,	টিনেজ,	টিনেজ,	
aksharke,	আকশারকে,	অক্ষরকে,	
waal,	ওয়াল,	উল,	
nothibhookteer,	নথিভুক্তির,	নথিভুক্তির,	
kooyeri,	কুরি,	কোয়েরি,	
sotorkobhabey,	সতর্কভাবে,	সতর্কভাবে,	
anchalsamuho,	আঞ্চলসমূহ,	অঞ্চলসমূহ,	
drishyotir,	দৃশ্যটির,	দৃশ্যটির,	
animated,	আনিমাতেদ,	এনিমেটেড,	
icebarg,	ইসেবার্গ,	আইসবার্গ,	
karir,	কারীর,	কারীর,	
jotsna,	জোতসা,	জ্যোৎস্না,	
shhip,	শিপ,	শিপ,	
ibhila,	এভিল,	ইভিল,	
jemy,	জেমি,	জেমি,	
pisach,	পিসাচ,	পিশাচ,	
sulke,	শুলকে,	শুল্কে,	
qlauda,	ক্লাউড,	ক্লাউড,	
taalal,	তালাল,	তালাল,	
muzibur,	মুজিবুর,	মুজিবুর,	
besur,	বেসুর,	বেসুর,	
sobrokomer,	শব্রকমের,	সবরকমের,	
kheylechen,	খেলেছেন,	খেলেছেন,	
favorite,	ফভরিতে,	ফেভারিট,	
neermolota,	নির্মলতা,	নির্মলতা,	
rinatmok,	ঋণাত্মক,	ঋনাত্মক,	
bujhleo,	বুঝলেও,	বুঝলেও,	
mohiboor,	মহিবুর,	মহিবুর,	
biru,	বিরু,	বীরু,	
napper,	নাপের,	ন্যাপের,	
drissoke,	দৃশ্যকে,	দৃশ্যকে,	
fevarite,	ফেভারিতে,	ফেভারিট,	
somratra,	সম্রাত্র,	সম্রাটরা,	
code,	কোড,	কোড,	
mashajida,	মাজাজিদা,	মসজিদ,	
jyestthotar,	যেষ্ঠ্যতার,	জ্যেষ্ঠতার,	
zackson,	জক্সন,	জ্যাকসন,	
antarctika,	আন্টারটিক,	অ্যান্টার্কটিকা,	
coshon,	কোষন,	চোষণ,	
natneekey,	নাত্নীকে,	নাতনীকে,	
kanayi,	কানই,	কানাই,	
byetasamyan,	বেযাসম্যান,	ব্যাটসম্যান,	
tekno,	টেকনো,	টেকনো,	
kada,	কাডা,	কোড,	
wagadada,	ভাগাদাদা,	বাগদাদ,	
mayily,	মেলি,	মাইলি,	
eekbaler,	একবলের,	ইকবালের,	
dey,	দে,	ডে,	
gez,	গেজ,	গেজ,	
hugeke,	হুগেকে,	হিউজকে,	
sarder,	সর্দার,	সরদার,	
mukhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
abheedhanic,	অভিধানিক,	অভিধানিক,	
porijoner,	পরিজনের,	পরিজনের,	
pragresa,	প্রোগ্রেস,	প্রগ্রেস,	
samashtigata,	সমস্তিগত,	সমষ্টিগত,	
asirbad,	আশীর্বাদ,	আশির্বাদ,	
heenna,	হিন্না,	হেনা,	
shoori,	শুরি,	সুরি,	
shikshakramer,	শিক্ষাকরেম,	শিক্ষাক্রমের,	
ekoghore,	একঘরে,	একঘরে,	
stoonahenja,	স্টুনেহ্জ,	স্টোনহেঞ্জ,	
observer,	অবসারভের,	অবজার্ভার,	
kanthar,	কাঁঠার,	কাঁথার,	
pakhirai,	পাখিরাই,	পাখিরাই,	
kathhmandu,	কাঠমন্দু,	কাঠমান্ডু,	
bhittie,	ভিত্তি,	ভিত্তিই,	
mozdur,	মজদুর,	মজদুর,	
noitikatar,	নৈতিকতার,	নৈতিকতার,	
chaktir,	চক্তির,	চাকতির,	
rca,	রাকা,	আরসিএ,	
gandho,	গান্ধ,	গন্ধ,	
suraaropeeto,	সুরারপপিত,	সুরারোপিত,	
vaphara,	ভাফার,	বাফার,	
ddheke,	ঢেকে,	ঢেকে,	
pharna,	ফার্ন,	ফার্ন,	
dovaar,	দওবার,	ডোভার,	
serup,	সেরুপ,	সেরূপ,	
sollalaho,	সোলাল্লাহ,	সল্লাল্লাহু,	
manir,	মানির,	মনির,	
dinara,	ডাইনার,	ডিনার,	
kathmandu,	কাঠমন্ডু,	কাঠমান্ডু,	
nama,	নামা,	নমো,	
parshwer,	পারস্যের,	পার্শ্বের,	
moreecha,	মরিচা,	মরিচা,	
bhenise,	ভেনিসে,	ভেনিসে,	
sommotite,	সম্মতিতে,	সম্মতিতে,	
edii,	এদি,	আইডিই,	
parker,	পারকের,	পার্কের,	
dobhar,	দভার,	ডোভার,	
ekla,	একলা,	একলা,	
vabanir,	ভবনীর,	ভবানীর,	
charzara,	চারজারা,	চার্জার,	
monjushree,	মন্জুষ্রী,	মঞ্জুশ্রী,	
sathik,	সাথিক,	সঠিক,	
konroop,	কনোরুপ,	কোনরূপ,	
plata,	প্লট,	প্লেটো,	
shkalashtika,	স্কালসস্টিক,	স্কলাস্টিক,	
bimaataa,	বিমততা,	বিমাতা,	
land,	লন্ড,	ল্যান্ড,	
bhaisoho,	ভাইসহ,	ভাইসহ,	
kanflict,	কাংফলিক্ট,	কনফ্লিক্ট,	
hariner,	হ্যারিনার,	হরিণের,	
samaveshti,	সমাবেষ্টি,	সমাবেশটি,	
ashammatite,	আসমমাতিতে,	অসম্মতি,	
khappor,	খাপপোর,	খপ্পর,	
satthikota,	সাথিকতা,	সঠিকতা,	
soundorjyo,	সৌন্দর্য,	সৌর্ন্দয্য,	
omarjeeto,	অমার্জিত,	অমার্জিত,	
venom,	ভেনম,	ভেনম,	
shangsthati,	সংস্থাটি,	সংস্থাটি,	
thailandsoho,	থাইলান্ডসহ,	থাইল্যান্ডসহ,	
jibanto,	জীবন্ত,	জীবন্ত,	
rajpur,	রাজপুর,	রাজপুর,	
nagarikra,	নাগরিকরা,	নাগরিকরা,	
dibate,	দিবতে,	ডিবেট,	
floodlighter,	ফ্লাডলাইটের,	ফ্লাডলাইটের,	
mosjidkey,	মজিদদকে,	মসজিদকে,	
prakalpaguli,	প্রকালপুলি,	প্রকল্পগুলি,	
auxfordey,	অক্সোর্ডে,	অক্সফোর্ডে,	
aksathei,	একশাতেই,	একসাথেই,	
shaapholler,	সাফলের,	সাফল্যের,	
naazee,	নাজি,	নাত্সি,	
chabir,	ছাবির,	চাবির,	
iyanki,	ইয়াংকি,	ইয়াংকি,	
kode,	কোডে,	কোডে,	
ramjaner,	রামজানের,	রমযানের,	
jomkalo,	জম্কাল,	জমকালো,	
nirbachaker,	নির্বাচকের,	নির্বাচকের,	
duckticket,	ডাক্তিকেট,	ডাকটিকিট,	
janake,	জনকে,	জানাতে,	
eemarjeensi,	এমার্জেনসি,	এমার্জেন্সি,	
cal,	কোল,	চাল,	
khannkaj,	খননকাজ,	খননকাজ,	
chironton,	চিরন্তন,	চিরন্তন,	
loukikata,	লৌকিকতা,	লৌকিকতা,	
sotorko,	সতর্ক,	সতর্ক,	
diibug,	দিবুগ,	ডিবাগ,	
jameser,	জ্যামেসের,	জেমসের,	
ekok,	একক,	একক,	
rohasyer,	রহস্যের,	রহস্যের,	
rifleks,	রাইফেল্কস,	রিফ্লেক্স,	
baugey,	বাউজে,	বাগে,	
rubol,	রুবল,	রুবল,	
pari,	পারি,	পেরি,	
charchita,	চার্চিত,	চর্চিত,	
samajeri,	সমাজেরি,	সমাজেরই,	
difinisian,	ডিফিনিশন,	ডেফিনেশন,	
karleo,	কারলেও,	করলেও,	
jothartho,	যথার্থ,	যথার্থ,	
jonmat,	জন্মাত,	জন্মাত,	
marketing,	মার্কেটিং,	মার্কেটিং,	
benis,	বেনিস,	ভেনিস,	
chilona,	চিলোনা,	ছিলনা,	
pretty,	প্রেত্যি,	প্রিটি,	
aagera,	আগেরা,	আগোরা,	
gronthotyke,	গ্রন্থটিকে,	গ্রন্থটিকে,	
akpashe,	একপাশে,	একপাশে,	
koilaash,	কৈলাস,	কৈলাস,	
ganaporibahan,	গণপরিবহণ,	গণপরিবহন,	
rajbondi,	রাজবন্দী,	রাজবন্দী,	
mukkho,	মুক্ষ,	মুখ্য,	
shatjoner,	সাতজনের,	সাতজনের,	
parikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
olympik,	অলিম্পিক,	অলিম্পিক,	
turkeyder,	তুর্কীদের,	তুর্কিদের,	
nogore,	নগরে,	নগরে,	
jerusalem,	জেরুসলেম,	জেরুসালেম,	
kampito,	কম্পিত,	কম্পিত,	
dighol,	দিঘল,	দীঘল,	
aminar,	আমিনার,	আমিনার,	
chalochchitroke,	চলচিত্রকে,	চলচ্চিত্রকে,	
muhurta,	মুহূর্ত,	মুহুর্ত,	
kash,	কাস,	কাস,	
ajibon,	আজিবন,	আজীবন,	
niranjon,	নিরঞ্জন,	নিরঞ্জন,	
akhhunno,	অক্ষুণ্ন,	অক্ষুণ্ণ,	
pishach,	পিশাচ,	পিশাচ,	
gabeshonar,	গবেষণার,	গবেষনার,	
baaik,	ব্যাক,	বাইক,	
amontrito,	এমন্তৃত,	আমন্ত্রিত,	
gosthii,	গোষ্ঠী,	গোষ্ঠীই,	
set,	সেট,	সিট,	
ateetkale,	অতীতকালে,	অতীতকালে,	
horeepur,	হরিপুর,	হরিপুর,	
porizoner,	পরিজনের,	পরিজনের,	
totenhamer,	টোটেনহামের,	টটেনহামের,	
kins,	কিনস,	কিংস,	
soorti,	শূর্তি,	সুরটি,	
muhit,	মুহিত,	মুহিত,	
soourse,	সার্স,	সোর্স,	
gasthigulo,	গ্্ষ্তিগুলো,	গোষ্ঠীগুলো,	
patochitrer,	পতচিত্রের,	পটচিত্রের,	
planeti,	প্লেনটি,	প্লেনটি,	
dhauta,	ধৌতা,	ধৌত,	
braille,	ব্রেল,	ব্রেইল,	
naditir,	নদীতীর,	নদীটির,	
sthaponar,	স্থাপনার,	স্থাপনার,	
