zete,	জেতে,	যেতে,	
salmanke,	সালমানকে,	সালমানকে,	
pathkrome,	পাঠক্রমে,	পাঠক্রমে,	
arijin,	অরিজিন,	অরিজিন,	
abasarbhata,	অবসর্ভতা,	অবসরভাতা,	
lomosh,	লোমস,	লোমশ,	
hamer,	হামের,	হামের,	
den,	ডেন,	ডিন,	
muhurter,	মূহূর্তের,	মুহুর্তের,	
holdingse,	হল্ডিংসে,	হোল্ডিংস,	
sahojlovyo,	সহজলভ্,	সহজলভ্য,	
markeet,	মার্কিট,	মার্কেট,	
cholocchitrotir,	চলচিত্রটির,	চলচ্চিত্রটির,	
byatar,	ব্যাটার,	বেটার,	
bashir,	বাশির,	বাঁশির,	
ahongkari,	আহংকারী,	অহংকারী,	
aaisootoop,	আইসোটুপ,	আইসোটোপ,	
omorotwa,	ওমরত্বা,	অমরত্ব,	
chintashil,	চিন্তাশীল,	চিন্তাশীল,	
chirotani,	চিরতানী,	চিরন্তনী,	
samashtir,	সমস্তির,	সমষ্টির,	
chhaanar,	ছানার,	ছানার,	
ruti,	রুটি,	রুটি,	
susana,	সুশনা,	সুসান,	
dhari,	ধারি,	ধরি,	
bhromone,	ভ্রমণে,	ভ্রমণে,	
jotiin,	জটীন,	যতীন,	
kormokaando,	কর্মকান্ড,	কর্মকাণ্ড,	
shaarokti,	শারকটি,	স্মারকটি,	
gathik,	গঠিক,	গথিক,	
chalachchitrogulo,	চলাচিত্র,	চলচ্চিত্রগুলো,	
knowledje,	কাউলজে,	নলেজ,	
sakshya,	সাক্ষ্য,	সাক্ষ্য,	
mehnaz,	মেহনাজ,	মেহনাজ,	
janacchen,	জানাচ্ছেন,	জানাচ্ছেন,	
brasher,	ব্রাসের,	ব্রাশের,	
somraater,	সমরাতের,	সম্রাটের,	
bhobissotke,	ভবিষ্যতকে,	ভবিষ্যৎকে,	
chaudhurisaho,	চৌধুরিসহ,	চৌধুরীসহ,	
koordi,	কোর্ডি,	কুর্দি,	
drek,	ড্রেক,	ড্রেক,	
shikshak,	শিক্ষক,	শিক্ষক,	
belafasta,	বেলাফস্ত,	বেলফাস্ট,	
perthey,	পারথে,	পার্থে,	
februyari,	ফেব্রুয়ারি,	ফেব্রুয়ারী,	
pratijogir,	প্রতিযোগীর,	প্রতিযোগীর,	
seguloo,	সেগুলো,	সেগুলোও,	
pathocharyr,	পথচারির,	পথচারীর,	
ohangkaree,	ওহংকারী,	অহংকারী,	
jware,	জ্বারে,	জ্বরে,	
pujya,	পুজ্জা,	পূজ্য,	
masterkey,	মস্তেরকে,	মাস্টারকে,	
leetarasa,	লেটারস,	লেটারস,	
jaatgulo,	যাতগুলো,	জাতগুলো,	
monzeel,	মঞ্জিল,	মঞ্জিল,	
markeeta,	মার্কিট,	মার্কেট,	
sharokti,	শরকটি,	স্মারকটি,	
prakashonar,	প্রকাশনার,	প্রকাশনার,	
oslilotar,	অসলিলতার,	অশ্লীলতার,	
dovashee,	দোভাসী,	দোভাষী,	
chikitsa,	চিকিৎসা,	চিকিত্সা,	
rukhe,	রুখে,	রুখে,	
durvagyer,	দুর্ভাগ্যের,	দূর্ভাগ্যের,	
bhaai,	ভাই,	ভাই,	
dastaanaa,	দাস্তানা,	দস্তানা,	
christmase,	ক্রিস্টমাসে,	ক্রিসমাসে,	
paramanur,	পরমানুর,	পরমানুর,	
shikhon,	শিখন,	শিখন,	
boikhani,	বৈখানি,	বইখানি,	
foods,	ফুডস,	ফুডস,	
tuhin,	তিহীন,	তুহিন,	
thakteyi,	থাকতেই,	থাকতেই,	
onnyorayo,	অন্যরাও,	অন্যরাও,	
narsaarite,	নার্সারিতে,	নার্সারিতে,	
caakri,	চাকরি,	কুকরী,	
peka,	পেক,	পাইক,	
halkaa,	হালকা,	হালকা,	
rupantorito,	রূপান্তরিত,	রুপান্তরিত,	
agamani,	আগামানী,	আগমনী,	
ptalemy,	প্টালিমি,	টলেমি,	
okhondo,	অখন্ড,	অখণ্ড,	
danis,	ডানিশ,	ড্যানিশ,	
daar,	দার,	দার,	
ashochetonota,	অসচেতনাতা,	অসচেতনতা,	
naubonirbachito,	নবনির্বাচিত,	নবনির্বাচিত,	
honduruser,	হন্দুরাসের,	হন্ডুরাসের,	
dekhanor,	দেখানোর,	দেখানোর,	
shoshto,	ষষ্ত,	ষষ্ট,	
soommitra,	সুম্মিত্র,	সুমিত্রা,	
shikkhamoolok,	শিক্ষামুলক,	শিক্ষামূলক,	
cheerotar,	চিরতার,	চিরতার,	
tisee,	টিসি,	তিসি,	
nadiya,	নাডিয়া,	নদীও,	
palogshak,	পলোগসক,	পালংশাক,	
sqlerosisa,	স্ক্লেরসিস,	স্ক্লেরোসিস,	
samnwita,	সম্ন্বিতা,	সমন্বিত,	
monohorer,	মনোহরের,	মনোহরের,	
traap,	ট্রাপ,	ট্রাপ,	
ghatle,	ঘটলে,	ঘটলে,	
durgatoder,	দুর্গতনের,	দুর্গতদের,	
kaaminee,	কামিনী,	কামিনী,	
khulechilo,	খুলেছিল,	খুলেছিল,	
chalachchitratite,	চলচচিত্রটিতে,	চলচ্চিত্রটিতে,	
paaiq,	পাইক,	পাইক,	
gaabhaskarer,	গাভস্কারের,	গাভাস্কারের,	
jolatongko,	জলাতংক,	জলাতংক,	
kompo,	কম্প,	কম্প,	
ghantite,	ঘানটিতে,	ঘাঁটিতে,	
gamees,	গেমস,	জেমস,	
aaeeseeser,	আইসিসের,	আইসিসের,	
pure,	পুরে,	পিউর,	
nischita,	নিষ্চিতা,	নিশ্চিত,	
teentiyi,	তেনটিই,	তিনটিই,	
mashtarpiece,	মস্টারপিে,	মাস্টারপিস,	
parla,	পারল,	পার্ল,	
knowleedgee,	নাউলজি,	নলেজ,	
durgey,	দার্গে,	দুর্গে,	
kaalaamer,	কালামের,	কালামের,	
poshting,	পোস্টিং,	পোস্টিং,	
bbosobasroto,	বসবাসরত,	বসবাসরত,	
taheera,	তাহিরা,	তাহিরা,	
ekokvabe,	এককভাবে,	এককভাবে,	
projanme,	প্রজন্মে,	প্রজন্মে,	
velky,	ভেলকি,	ভেলকি,	
sarza,	সার্জ,	সার্জ,	
deqa,	ডেক,	দেকা,	
samajsebar,	সমাজসেবার,	সমাজসেবার,	
garaj,	গারাজ,	গ্যারাজ,	
kotreetto,	কতৃত্ব,	কতৃত্ব,	
osamajik,	অসামাজিক,	অসামাজিক,	
seekkhokera,	শিক্ষকেরা,	শিক্ষকেরা,	
chhatoker,	ছোটকের,	ছাতকের,	
bisringkholar,	বিশৃংখলার,	বিশৃঙ্খলার,	
puraton,	পুরান,	পুরাতন,	
dounee,	ডাউনি,	ডাউনি,	
bodhey,	বোধে,	বোধে,	
rage,	রাগে,	রাগে,	
drishyaguli,	দৃশ্যগুলি,	দৃশ্যগুলি,	
jivjontur,	জিবজন্তুর,	জীবজন্তুর,	
cethode,	চেথদে,	ক্যাথোড,	
dharar,	ধররর,	ধরার,	
ghantir,	ঘানটির,	ঘাঁটির,	
deeliveery,	ডিলিভারি,	ডেলিভারি,	
collegeye,	কলেজে,	কলেজে,	
akerpor,	আকেরপর,	একেরপর,	
harbourer,	হারবোরের,	হারবারের,	
atoker,	আতকের,	আটকের,	
cityzenship,	সিটিজেনশিপ,	সিটিজেনশিপ,	
childrener,	চিল্ড্রেনের,	চিলড্রেনের,	
footbalar,	ফুটবালার,	ফুটবলার,	
dhach,	ঢাঁ,	ধাঁচ,	
dibbo,	দিব্ব,	দিব্য,	
adhunikvabe,	আধুনিকভাবে,	আধুনিকভাবে,	
maithu,	মৈঠু,	ম্যাথু,	
afsari,	আফসারি,	আফসারী,	
spicha,	স্পিচ,	স্পিচ,	
aga,	আগা,	আজা,	
piusa,	পিউস,	পিউস,	
ateete,	আতিতে,	অতীতে,	
hotthaat,	হতাহাট,	হঠাৎ,	
dipti,	দিপ্তি,	দ্বীপটি,	
loopto,	লুপ্ত,	লুপ্ত,	
spokena,	স্পোকেন,	স্পোকেন,	
bosantapur,	বসন্তপুর,	বসন্তপুর,	
chaler,	চালের,	চালের,	
byaboharkareeder,	ব্যবহারকারীদের,	ব্যবহারকারীদের,	
phallsh,	ফললস,	ফলস,	
porisodh,	পরিসোধ,	পরিশোধ,	
apotito,	আপতিত,	ভূপতিত,	
engineer,	ইঞ্জিনির,	ইঞ্জিনিয়ার,	
napoli,	নাপলি,	নাপোলি,	
subadei,	সুবাদেই,	সুবাদেই,	
gathic,	গঠিক,	গথিক,	
mohanobi,	মহানবী,	মহানবী,	
qarlaila,	কার্লাইল,	কার্লাইল,	
guine,	গুইন,	গিনি,	
durantapana,	দুরান্তাপনা,	দুরন্তপনা,	
hallal,	হললাল,	হালাল,	
juktorastroke,	যুক্তরাস্ট্রকে,	যুক্তরাষ্ট্রকে,	
chalochchitrati,	চলচিত্রটি,	চলচ্চিত্রটি,	
mashtarapisha,	মস্টারপিস,	মাস্টারপিস,	
harinkey,	হরিনকে,	হরিণকে,	
diktetor,	ডিক্টেটর,	ডিক্টেটর,	
baards,	বার্ডস,	বার্ডস,	
shainyer,	সৈন্যের,	সৈন্যের,	
nabinbaran,	নবীনবরন,	নবীনবরণ,	
bishashti,	বিশাস্তি,	বিশ্বাসটি,	
ottabasyok,	অত্মবাশ্যক,	অত্যাবশ্যক,	
chomskir,	চমসকির,	চমস্কির,	
aparog,	অপারোগ,	অপারগ,	
dinvor,	দিনভোর,	দিনভর,	
dokaanke,	ডোকানকে,	দোকানকে,	
riting,	রিতিং,	রাইটিং,	
falgulo,	ফলগুলো,	ফলগুলো,	
seekkhoksaho,	শিক্ষকসহ,	শিক্ষকসহ,	
requisition,	রেকিউশিয়াশন,	রিকুইজিশন,	
mular,	মুলার,	মূলার,	
arthur,	অর্থুর,	আর্থার,	
sharbhara,	সার্ভার,	সার্ভার,	
morterer,	মর্তেরের,	মর্টারের,	
ingrez,	ইংগ্রেজ,	ইংরেজ,	
shipping,	শিপিং,	শিপিং,	
debdebyder,	দেবদেবিদের,	দেবদেবীদের,	
tre,	ট্রে,	ট্রে,	
moner,	মনের,	মনের,	
parishodhaner,	পরিসোধনের,	পরিশোধনের,	
olongkaroner,	অলংকরণের,	অলঙ্করণের,	
tichar,	টিচার,	টিচার,	
moreecher,	মরিচের,	মরিচের,	
jonglee,	জঙ্গিলী,	জংলী,	
gariber,	গরিবের,	গরিবের,	
pharma,	ফার্ম,	ফর্ম,	
kankon,	কঙ্কন,	কাঁকন,	
qyathoda,	ক্যাথোা,	ক্যাথোড,	
gebhara,	গেভার,	গেভারা,	
bodon,	বদন,	বদন,	
maashtarpeesh,	মাশতারপিশ,	মাস্টারপিস,	
tintyi,	তিনটি,	তিনটিই,	
naleeja,	নালিজা,	নলেজ,	
choicee,	চৈচ,	চয়েস,	
bekeeng,	বেকিং,	বেকিং,	
upanibeshbad,	উপনিবেশবাদ,	উপনিবেশবাদ,	
kameo,	কামেও,	কমেও,	
shuubarno,	শুবর্ণ,	সূবর্ণ,	
vata,	ভাটা,	ভাতা,	
kotiro,	কতিরও,	কোটিরও,	
mosholadar,	মশলাদার,	মশলাদার,	
mozut,	মজুত,	মজুত,	
prakarei,	প্রকারেই,	প্রকারেই,	
bongshodhara,	বংশোধারা,	বংশধারা,	
piqasso,	পিকাশ্,	পিকাসো,	
philipiney,	ফিলিপিনে,	ফিলিপাইনে,	
lona,	লোনা,	লোন,	
khamotaadhar,	ক্ষমতাধার,	ক্ষমতাধর,	
rah,	রাহ,	রাহ,	
vaike,	ভাইকে,	ভাইকে,	
iraane,	ইরানে,	ইরানে,	
sansthake,	সংস্থাকে,	সংস্থাকে,	
samajikvabe,	সামাজিকভাবে,	সামাজিকভাবে,	
bandidasha,	বন্দিদশ,	বন্দীদশা,	
jodu,	জদু,	যদু,	
bloggar,	ব্লগ্ঞার,	ব্লগার,	
piure,	পিউর,	পিউর,	
shusi,	সুশি,	সুসি,	
pipasa,	পিপস,	পিপাসা,	
birjopat,	বির্জপাত,	বীর্যপাত,	
uddyeshye,	উদ্দেশ্যে,	উদ্দ্যেশ্যে,	
abohito,	অবহিত,	অবহিত,	
brekim,	ব্রেকিং,	ব্রেকিং,	
category,	ক্যাটেগরি,	ক্যাটাগরি,	
aatakkrita,	আতাকৃত,	আটককৃত,	
carlel,	কার্লেল,	কার্লাইল,	
oxforder,	অক্সফোর্ডের,	অক্সফোর্ডের,	
olympas,	ওলিম্পাস,	অলিম্পাস,	
proceshor,	প্রসেসর,	প্রসেসর,	
dhaler,	ঢালের,	ঢালের,	
neejekeo,	নিজেকেও,	নিজেকেও,	
sahabi,	সহাবী,	সাহাবি,	
bojhatey,	বোঝাতে,	বোঝাতে,	
baangkarer,	বাংকারের,	বাংকারের,	
chalachchitrotite,	চলাচিত্রটিতে,	চলচ্চিত্রটিতে,	
homaarer,	হোমারের,	হোমারের,	
touba,	তৌউবা,	তওবা,	
kedarnath,	কেডারনাথ,	কেদারনাথ,	
kingdom,	কিংদম,	কিংডমের,	
atit,	অতিত,	অতীত,	
aroper,	আরপের,	আরোপের,	
ebhareshta,	ইভারেষ্ট,	এভারেস্ট,	
konati,	কোনাটি,	কণাটি,	
sleshshaar,	স্লেসসার,	শ্লেষ্মার,	
dadhi,	দাধি,	দধি,	
monhputo,	মন্পুত,	মনঃপূত,	
hail,	হাইল,	হাইল,	
raga,	রাগা,	রাগ,	
uparjupori,	উপর্জুপরি,	উপর্যুপরি,	
bhandarer,	ভান্ডারের,	ভাণ্ডারের,	
doonalda,	ডোনাল্ডা,	ডোনাল্ড,	
notasha,	নোটাস,	নোটস,	
skleerosisa,	স্ক্লেরোসিস,	স্ক্লেরোসিস,	
electian,	ইলেকশন,	ইলেকশন,	
vruner,	ভ্রানের,	ভ্রুনের,	
ghat,	ঘট,	ঘাট,	
avidhan,	অবিধান,	অভিধান,	
shroddhabodh,	শ্রদ্ধাবোধ,	শ্রদ্ধাবোধ,	
moithili,	মৈঠিলি,	মৈথিলী,	
dharatikey,	ধারতিকে,	ধারাটিকে,	
rachi,	রাচী,	রাঁচি,	
cholocchitrotite,	চলচিত্রটিতে,	চলচ্চিত্রটিতে,	
damm,	ডম,	ড্যাম,	
bharer,	ভারের,	ভরের,	
yeastrogen,	ইস্ট্রোজেন,	ইস্ট্রোজেন,	
boudhader,	বৌদ্ধাদের,	বৌদ্ধদের,	
uposthiti,	উপস্থিতি,	উপস্থিতি,	
banijjik,	বানিজ্যিক,	বাণিজ্যিক,	
serber,	সার্বের,	সার্ভার,	
byatel,	ব্যাটেল,	ব্যাটেল,	
manument,	মনুমেন্ট,	মনুমেন্ট,	
aaisotop,	আইসতপ,	আইসোটোপ,	
neutrinor,	নিউট্রিনোর,	নিউট্রিনোর,	
nirgamaner,	নির্গামনের,	নির্গমনের,	
bongobondhke,	বঙ্গবন্ধকে,	বঙ্গবন্ধুকে,	
shoez,	সুজ,	সুজ,	
ovinetara,	অভিনেতর,	অভিনেতারা,	
aarakne,	আরাকনে,	আরাকানে,	
asleel,	আসলিল,	অশ্লীল,	
talgacher,	তালগাছের,	তালগাছের,	
uponam,	উপনাম,	উপনাম,	
indrake,	ইন্ড্রাকে,	ইন্দ্রকে,	
asthisandhite,	অস্থিসন্ধিতে,	অস্থিসন্ধিতে,	
principal,	প্রিন্সিপাল,	প্রিন্সিপাল,	
jatke,	যাতকে,	জাতকে,	
abheedhaane,	অভিধানে,	অভিধানে,	
elaakagulote,	এলাকাগুলোতে,	এলাকাগুলোতে,	
khuzchilo,	খুজছিলো,	খুঁজছিল,	
bettaar,	বেতার,	বেটার,	
antor,	অন্তর,	আন্তর,	
saarahoke,	সারাহকে,	সারাহকে,	
aktana,	আকটানা,	একটানা,	
bolteo,	বলতেও,	বলতেও,	
prosthe,	প্রস্থে,	প্রস্থে,	
shplinter,	স্প্লিন্টের,	স্প্লিন্টার,	
ute,	উতে,	উটে,	
rupee,	রুপি,	রূপী,	
granthai,	গ্রন্থাই,	গ্রন্থই,	
pubic,	পুবিক,	পিউবিক,	
bornona,	বর্ণনা,	বর্ননা,	
jeemasa,	জেমস,	জেমস,	
pracharak,	প্রচারক,	প্রচারক,	
lister,	লিস্টার,	লিস্টের,	
paathalaji,	পাথালজি,	প্যাথলজি,	
aaminaake,	আমিনাকে,	আমিনাকে,	
keengdomer,	কিংদমের,	কিংডমের,	
doorge,	দর্গে,	দুর্গে,	
fuder,	ফুদের,	ফুডের,	
stari,	স্তারি,	স্টোরি,	
kaibarta,	কাইবার্ট,	কৈবর্ত,	
durgatader,	দুর্গতাদের,	দুর্গতদের,	
vorshar,	ভোর্সার,	ভরসার,	
aisha,	আইস,	আইস,	
anupate,	অনুপাতে,	অনুপাতে,	
prinshipala,	প্রিন্সিপল,	প্রিন্সিপাল,	
nadnodee,	নাদ্নদী,	নদনদী,	
tateyi,	তাটেই,	তাতেই,	
sohingsotake,	সহিংসতাকে,	সহিংসতাকে,	
dhhaalare,	ঢালারে,	ঢালের,	
nirob,	নিরব,	নিরব,	
mithe,	মিঠে,	মিঠে,	
asraful,	আসরাফুল,	আশরাফুল,	
bandhura,	বাঁধুরা,	বন্ধুরা,	
janachhen,	জানাচেন,	জানাচ্ছেন,	
bosontokale,	বসন্তকালে,	বসন্তকালে,	
ribhishana,	রিভিশন,	রিভিশন,	
moushumi,	মৌশূমি,	মৌসুমি,	
breaqing,	ব্রিকিং,	ব্রেকিং,	
bosuk,	বসুক,	বসুক,	
aropita,	আরোপিতা,	আরোপিত,	
jiant,	জিএন্ট,	জায়ান্ট,	
karmoker,	কর্মকের,	কর্মকার,	
elakagulote,	এলাকাগুলোতে,	এলাকাগুলোতে,	
porjotokera,	পর্যটকেরা,	পর্যটকেরা,	
flying,	ফ্লাইং,	ফ্লাইং,	
olngkoroner,	অলংকরণের,	অলঙ্করণের,	
jalaronge,	জলারে,	জলরঙে,	
shreepoor,	শ্রীপুর,	শ্রীপুর,	
parijat,	পরিজাত,	পারিজাত,	
quotar,	কুয়াটার,	কোটার,	
shapholle,	সাফলে,	সাফল্যে,	
samajikata,	সামাজিকতা,	সামাজিকতা,	
jatharthoi,	যথারথই,	যথার্থই,	
parthee,	পার্থি,	পার্থী,	
eduin,	এডউইন,	এডুইন,	
iijotop,	ইজতপ,	আইসোটোপ,	
segulir,	সেগুলির,	সেগুলির,	
shifter,	শিফটের,	শিফটের,	
univershal,	ইউনিভারসাল,	ইউনিভার্সাল,	
dalai,	দালাই,	দলাই,	
santosher,	সন্তোষের,	সন্তোষের,	
bidrohike,	বিদ্রহীকে,	বিদ্রোহীকে,	
onchol,	অঞ্চল,	অঞ্চল,	
komaar,	কমার,	কমার,	
doshbachhor,	দশবছর,	দশবছর,	
bossontopoor,	বসন্তপুর,	বসন্তপুর,	
musok,	মুশক,	মূসক,	
mortorer,	মর্তরের,	মর্টারের,	
ghai,	ঘাই,	ঘাই,	
sri,	স্রী,	শ্রী,	
dennis,	ডেনিস,	ডেনিস,	
samlachchy,	সামাল্চি,	সামলাচ্ছে,	
shikkhamulok,	শিক্ষামুলক,	শিক্ষামূলক,	
dokankey,	ডোকানকে,	দোকানকে,	
vata,	ভাটা,	ভাঁটা,	
saner,	সানের,	সানের,	
prochondovabe,	প্রচন্দভাবে,	প্রচণ্ডভাবে,	
sikarpore,	শিকারপরে,	শিকারপুর,	
asatorkotar,	অসতর্কতার,	অসতর্কতার,	
samajsebamulak,	সমাজসেবূলক,	সমাজসেবামূলক,	
folotoh,	ফলতঃ,	ফলতঃ,	
mahasunno,	মহাসুন্ন,	মহাশূন্য,	
donalder,	ডোনালদের,	ডোনাল্ডের,	
streelok,	স্ট্রীলোক,	স্ত্রীলোক,	
decision,	ডিসিশন,	ডিসিশন,	
satarkatamulak,	সতর্কতামূলক,	সতর্কতামূলক,	
beshirbhaager,	বেশিরভাগের,	বেশিরভাগের,	
niraanonda,	নিরানন্দ,	নিরানন্দ,	
ishotop,	ইসতপ,	আইসোটোপ,	
