santoshe,	সান্ত্ষে,	সন্তোষে,	
thaken,	থাকেন,	থাকেন,	
morathee,	মরাঠি,	মরাঠি,	
sanghorsheek,	সংঘর্ষিক,	সাংঘর্ষিক,	
sayaneda,	সায়নাড,	সায়ানাইড,	
futanta,	ফুটন্ত,	ফুটন্ত,	
potchitro,	পতচিত্র,	পটচিত্র,	
veenish,	ভিনিশ,	ভেনিস,	
somabeshti,	সমাবেশ্টি,	সমাবেশটি,	
superhiro,	সুপারহিরা,	সুপারহিরো,	
zozyota,	যোজ্যতা,	যোজ্যতা,	
sangrahak,	সংগ্রহক,	সংগ্রাহক,	
dajyo,	দাজও,	দাহ্য,	
zuktorastreo,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রেও,	
japaanira,	জাপানীরা,	জাপানিরা,	
aalkaatraa,	আলকাত্রা,	আলকাতরা,	
nuton,	নিটন,	নূতন,	
antarbhutto,	অর্তর্ভূক্ত,	অন্তর্ভুক্ত,	
fanser,	ফাঁসের,	ফাঁসের,	
sotorkokaree,	সতরককারী,	সতর্ককারী,	
sabrakomer,	সবরকমের,	সবরকমের,	
siiter,	সীতের,	শীতের,	
karmazog,	কর্যযগ,	কর্মযোগ,	
chaber,	চাবের,	চাবির,	
miraqela,	মিরকেল,	মিরাকেল,	
monzushree,	মন্যুস্রী,	মঞ্জুশ্রী,	
ghoomachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
shuri,	সুরি,	সুরি,	
bharote,	ভারতে,	ভারতে,	
prosadhoni,	প্রসাধনি,	প্রসাধনী,	
ghur,	ঘুর,	ঘুর,	
armenian,	আরমেনিয়ান,	আর্মেনিয়ান,	
abheedhanik,	আভিধানিক,	অভিধানিক,	
tinti,	তিনটি,	তিনটি,	
jomkaalo,	জম্কালো,	জমকালো,	
nogore,	নগরে,	নগরে,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
themeke,	থেমেকে,	থিমকে,	
logicer,	লোগিকের,	লজিকের,	
paira,	পাইর,	পাইরা,	
aazaan,	আজান,	আজান,	
ajibonoer,	আজিবনের,	আজীবনের,	
gunman,	জুনমান,	গুণমান,	
gostii,	গোষ্তি,	গোষ্ঠীই,	
yaaq,	যাক,	ইয়াক,	
rifleks,	রিফেল্কস,	রিফ্লেক্স,	
mosjidkey,	মস্জিদকে,	মসজিদকে,	
tecno,	টেকনো,	টেকনো,	
noditir,	নদীতির,	নদীটির,	
fiksa,	ফিক্স,	ফিক্স,	
apoharon,	অপহরণ,	অপহরন,	
angsogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
chalachchitrake,	চলচিত্রকে,	চলচ্চিত্রকে,	
sinake,	সিনাকে,	সিনাকে,	
matt,	ম্যাট,	ম্যাট,	
sarbharti,	সর্ভর্তি,	সার্ভারটি,	
bishwashe,	বিশ্বাসে,	বিশ্বাসে,	
paltechhey,	পালটেছে,	পাল্টেছে,	
anan,	আনযান,	আনান,	
chinto,	চিন্ত,	চিনতো,	
degreeke,	ডিগ্রিকে,	ডিগ্রিকে,	
dibeta,	দিবেতা,	ডিবেট,	
gabeshokgon,	গবেষকণ,	গবেষকগণ,	
agamanke,	আগামানে,	আগমনকে,	
sambhabonao,	সম্ভাবনাও,	সম্ভবনাও,	
ashonka,	আশঙ্ক,	আশঙ্কা,	
kantajir,	কান্তজীর,	কান্তজির,	
hosney,	হোসনে,	হোসনে,	
os,	ওস,	অস,	
duplee,	ডাপ্ল,	ডুপ্লে,	
shilbar,	শিলবার,	সিলভার,	
khamba,	খ্ষমবা,	খাম্বা,	
voter,	ভোটের,	ভোটার,	
dobhaar,	ডভার,	ডোভার,	
kiutie,	কিউটি,	কিউটি,	
giitikobitar,	গীতিকিতিতার,	গীতিকবিতার,	
oitijjhey,	ঐতিঝ্যে,	ঐতিহ্যে,	
biswash,	বিশ্বাস,	বিশ্বাস,	
monzooshree,	মঞ্জুশ্রী,	মঞ্জুশ্রী,	
dibi,	দিবি,	দিবি,	
cinematographer,	সিনেমোট্যাার,	সিনেমাটোগ্রাফার,	
khali,	খলি,	খালি,	
thechar,	থেচার,	থ্যাচার,	
sheema,	সেমা,	সীমা,	
philippiner,	ফিলিপিনের,	ফিলিপাইনের,	
gonosakkhorota,	গণসাক্ষতর,	গণসাক্ষরতা,	
shumo,	শুম,	সুমো,	
osthishondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
shaahaabaah,	সাহাবাহ,	সাহাবাহ,	
adbhanced,	আডভান্সেন,	অ্যাডভান্সড,	
chaudhoorir,	চৌধুরির,	চৌধুরীর,	
tthela,	ঠেলা,	ঠেলা,	
vaisaho,	ভাইসহ,	ভাইসহ,	
sucre,	সাক্রি,	সাকার,	
doltyagi,	দলত্যাগী,	দলত্যাগী,	
elaakaa,	এলাকা,	এলাকা,	
tafsherer,	তাফসেরের,	তাফসীরের,	
firozaa,	ফিরজা,	ফিরোজা,	
nagalyand,	নাগল্যান্ড,	নাগাল্যান্ড,	
nirorthok,	নীরার্থক,	নিরর্থক,	
varote,	ভারতে,	ভারতে,	
shiqar,	স্বীকার,	শিকার,	
swastir,	স্বস্তির,	স্বস্তির,	
ekbakke,	একবাককে,	একবাক্যে,	
dormitory,	ডরমেটরি,	ডরমিটরি,	
shatoker,	শতকের,	শতকের,	
chotto,	চত্ত,	ছোট্ট,	
keuoi,	কিউই,	কেউই,	
soshorire,	শশরীরে,	সশরীরে,	
bon,	বোন,	বন,	
seatey,	সিটে,	সিটে,	
hajeerhat,	হাজিরহাট,	হাজিরহাট,	
seconde,	সেকন্ডে,	সেকেন্ডে,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
dearas,	ডেরস,	ডিআরএস,	
turista,	তুরিষ্ট,	টুরিস্ট,	
parikha,	পরীক্ষ,	পরিখার,	
obosore,	অবসরে,	অবসরে,	
bastuvad,	বস্তুবাদ,	বস্তুবাদ,	
jor,	জোর,	জ্বর,	
kadam,	কাদাম,	কদম,	
quartar,	কার্টার,	কোয়ার্টার,	
danober,	দানবের,	দানবের,	
direektareeta,	ডিরেক্টেট,	ডিরেক্টরেট,	
potka,	পটকা,	পটকা,	
kaferder,	কাফেরদের,	কাফেরদের,	
drishyogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
turishta,	তুরিষ্ট,	টুরিস্ট,	
adhyattikota,	আধ্যাত্যতিত,	আধ্যাত্মিকতা,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
postake,	পোস্তাকে,	পোস্টকে,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
sikkhao,	শিক্ষাও,	শিক্ষাও,	
kattor,	কাট্তর,	কট্টর,	
siima,	সিমা,	সীমা,	
beekaargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
nondolal,	নন্দলাল,	নন্দলাল,	
chhatroraai,	ছাত্রইাই,	ছাত্ররাই,	
shasankarta,	শাসনকার্ত,	শাসনকর্তা,	
jeelyand,	জিল্যান্ড,	জিল্যান্ড,	
ancieent,	এনযান্সেন্ট,	এনসিয়েন্ট,	
parkasha,	পর্কশ,	পার্কস,	
abhidhanik,	আভিধানিক,	অভিধানিক,	
cheettronnattokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
bhaandar,	ভান্ডার,	ভাণ্ডার,	
aholya,	আহল্য,	অহল্যা,	
transformaarer,	ট্রান্সফারের,	ট্রান্সফরমারের,	
anish,	আনিশ,	আনিস,	
ghaghat,	ঘঘাত,	ঘাঘট,	
utsahamulok,	উতসামূলক,	উৎসাহমূলক,	
abartey,	আবর্তে,	আবর্তে,	
licenshing,	লিসেন্সিং,	লাইসেন্সিং,	
artilleri,	আর্টিলরার,	আর্টিলারি,	
jocqey,	জকি,	জকি,	
suparharo,	সুপারহার,	সুপারহিরো,	
karlosha,	কার্নস,	কার্লোস,	
ishter,	ইস্টার,	ইস্টের,	
pro,	প্রো,	প্রো,	
philipiner,	ফিলিপিনের,	ফিলিপাইনের,	
enamela,	এনামেল,	এনামেল,	
omittrakkhor,	অমিতাক্ষর,	অমিত্রাক্ষর,	
norfolk,	নরফল্ক,	নরফোক,	
abdi,	অ্দাদি,	অব্দি,	
ponjikar,	পঞ্জিকার,	পঞ্জিকার,	
elaakatite,	এলাকাতিতে,	এলাকাটিকে,	
zuktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
tolemyr,	টলেমির,	টলেমির,	
totenhaamer,	ততনহামের,	টটেনহামের,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
nilkomol,	নিলকমল,	নীলকমল,	
donaat,	ডোনাত,	ডোনাট,	
silbhi,	সিলভি,	সিলভি,	
baghdad,	বাঘদাদ,	বাগদাদ,	
ajibooner,	আজিবুনের,	আজীবনের,	
shef,	সেফ,	শেফ,	
uthhaane,	উঠানে,	উঠানে,	
goteebege,	গতিবেগে,	গতিবেগে,	
nagoriker,	নাগরিকের,	নাগরিকের,	
chomski,	চমশ্কি,	চমস্কি,	
amar,	আমার,	আমর,	
phimel,	ফিমেল,	ফিমেল,	
venkatesh,	ওয়েকটাটেস,	ভেঙ্কটেশ,	
shektara,	সেক্টার,	সেক্টর,	
sastra,	সাস্ত্র,	শাস্ত্র,	
anektayi,	অনেকটিই,	অনেকটাই,	
licencer,	লিসেন্সের,	লাইসেন্সের,	
ingreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
jhijhi,	ঝিঝি,	ঝিঝি,	
bajhyo,	বাঝ্য,	বাহ্য,	
korle,	করলে,	করলে,	
ragi,	রাগি,	রাগী,	
shainyara,	সৈন্যার,	সৈন্যরা,	
grambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
jammu,	জাম্মু,	জম্মু,	
embi,	এমবি,	এমবি,	
hoeel,	হইল,	হইল,	
desiseyer,	ডেসিসের,	ডিজিজের,	
debodebi,	দেবদেবী,	দেবদেবী,	
bhaider,	ভাইডের,	ভাইদের,	
rajballav,	রাজবল্লব,	রাজবল্লভ,	
silabhara,	সিলভার,	সিলভার,	
karlasa,	কার্লস,	কার্লোস,	
ghoshito,	ঘোষিত,	ঘোষিত,	
bamoni,	বামনি,	বামনী,	
khargoser,	খররগের,	খরগোসের,	
shhikha,	শিখা,	শিখ,	
forid,	ফরিদ,	ফরিদ,	
ekoirokom,	একৈরকম,	একইরকম,	
sucharita,	সুচরিত,	সুচরিতা,	
madrajer,	মাদরাজের,	মাদ্রাজের,	
sangosthagulo,	সংস্ঠাগুলো,	সংস্থাগুলো,	
naitikatabodh,	নৈতিকাবনোধ,	নৈতিকতাবোধ,	
paitey,	পাইতে,	পাইতে,	
black,	ব্লক,	ব্ল্যাক,	
dhabi,	ধাবি,	ঢাবি,	
nirdesika,	নির্দেশিকা,	নির্দেশিকা,	
brindaboney,	ব্রিদ্বনানে,	বৃন্দাবনে,	
aansarir,	আনসারির,	আনসারীর,	
rilayeensa,	রিলেয়েন্স,	রিলায়েন্স,	
bhatar,	ভাটার,	ভাতার,	
dee,	ডে,	ডে,	
kokhonoba,	কখনোবা,	কখনওবা,	
bonke,	বোনকে,	বনকে,	
hijri,	হিজরি,	হিজরী,	
daada,	দাদা,	দাদা,	
shotodha,	শতধা,	শতধা,	
ispreedshiit,	ইস্পেড্যিত,	স্প্রেডশীট,	
baaik,	বাইক,	বাইক,	
jesthatar,	যেষ্ঠ্তার,	জ্যেষ্ঠতার,	
nagare,	নগরে,	নগরে,	
balabhadra,	বলভাদ্র,	বলভদ্র,	
bashite,	ব্যাসিতে,	বাঁশিতে,	
gajipur,	গাজীপুর,	গাজিপুর,	
obeekol,	আবিকল,	অবিকল,	
besarkarikaran,	বেসরকারীকরণ,	বেসরকারিকরণ,	
aabarto,	আব্র্ত,	আবর্ত,	
laishensha,	লাইসেন্স,	লাইসেন্স,	
eder,	এদের,	এদের,	
neelkuthir,	নিলকুঠির,	নীলকুঠির,	
krita,	কৃত,	ক্রীট,	
durgotsab,	দুর্গতশব,	দুর্গোৎসব,	
esoosiyetasa,	এসোসিয়াস,	এসোসিয়েটস,	
atyachari,	অত্যচারী,	অত্যাচারী,	
abheedhaneek,	আভিধানিক,	অভিধানিক,	
saamaanya,	সাম্যান্য,	সামান্য,	
duplex,	ডুপ্লেক্স,	ডুপ্লে,	
naitikatavodh,	নৈতিকাভোধ,	নৈতিকতাবোধ,	
fotanor,	ফটানোর,	ফোটানোর,	
pleta,	প্লেট,	প্লেটো,	
gemi,	গেমি,	জেমি,	
evil,	এভিল,	ইভিল,	
chat,	চাট,	চ্যাট,	
ciima,	কিমা,	সীমা,	
biqe,	বিকে,	বাইক,	
graambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
model,	মডেল,	মডেল,	
shniper,	শ্নিপের,	স্নাইপার,	
utsahomulok,	উতসামমূলক,	উৎসাহমূলক,	
changee,	চঙ্গী,	চেঞ্জ,	
somosto,	সমস্ত্য,	সমস্ত,	
gandhiio,	গান্ধীও,	গান্ধীও,	
onurbar,	অনুর্বর,	অনুর্বর,	
sabhanetree,	সভানত্রী,	সভানেত্রী,	
kathmandute,	কঠমম্দুতে,	কাঠমান্ডুতে,	
prodeeper,	প্রদিপের,	প্রদীপের,	
duuma,	দূমা,	দুমা,	
loker,	লোকের,	লকের,	
mukhomaundoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
uruu,	উরু,	উরু,	
loukeek,	লৌকিক,	লৌকিক,	
sikkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
pratishta,	প্রতিষ্ট,	প্রতিষ্টা,	
jomaanor,	জমানোর,	জমানোর,	
bosante,	বসান্তে,	বসন্তে,	
nirgoon,	নির্গুণ,	নির্গুণ,	
taffsherer,	তাফসেরের,	তাফসীরের,	
sayid,	সাঈদ,	সাইদ,	
rajbandir,	রাজবন্দীর,	রাজবন্দীর,	
gostigoolo,	গোষ্তিগুলো,	গোষ্ঠীগুলো,	
kyantana,	ক্যান্টন,	ক্যান্টন,	
homser,	হমসের,	হোমসের,	
chhaai,	ছাই,	ছাই,	
biswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
