sahosikotar,	সহসিকতার,	সাহসিকতার,	
dale,	ডলে,	ডালে,	
dhhaaby,	ধাবি,	ঢাবি,	
damonmulok,	দমমনমুলক,	দমনমূলক,	
mukhamandol,	মুখনাদ্ল,	মুখমণ্ডল,	
karadonder,	কারাদন্দের,	কারাদণ্ডের,	
arshie,	আর্সি,	আরসিএ,	
veedanta,	ভেন্দ,	বেদান্ত,	
dhhaalur,	ঢালুর,	ঢালুর,	
drissogulote,	দৃষ্যগুলোতে,	দৃশ্যগুলোতে,	
faltir,	ফলটটির,	ফলটির,	
nyata,	ন্যাত,	ম্যাট,	
karadande,	কারাদ্যানে,	কারাদণ্ডে,	
through,	থ্রুঘ,	থ্রু,	
domonmoolok,	দমমনমুলক,	দমনমূলক,	
bishwashoi,	বিশ্বাসী,	বিশ্বাসই,	
piroojalee,	পিরোজলী,	পিরুজালী,	
lettere,	লেটটের,	লেটারে,	
jibanjapon,	জীবনজনপন,	জীবনযাপন,	
average,	অভারেে,	এভারেজ,	
adarsho,	আদর্শ,	আর্দশ,	
samanyai,	সাম্যাই,	সামান্যই,	
chire,	চির,	চিরে,	
taunashipa,	তানঃসিপ,	টাউনশিপ,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
meg,	মেগ,	মেগ,	
oshamanno,	অসামন্ন,	অসামান্য,	
turqmen,	তুর্মেন,	তুর্কমেন,	
prasadhaner,	প্রশাধনের,	প্রসাধনের,	
neshhanasha,	নেশানস,	নেশনস,	
protijogira,	প্রতিযোগির,	প্রতিযোগীরা,	
grambaashio,	গ্রমমাবিয়া,	গ্রামবাসীও,	
bonnypran,	বন্যপ্রান,	বন্যপ্রাণ,	
uponishod,	উপনিষদ,	উপনিষদ,	
bhalobase,	ভালবাসে,	ভালোবাসে,	
aqram,	একর্ম,	আকরাম,	
baik,	বিয়ক,	বাইক,	
aazadeer,	আজাদীর,	আজাদীর,	
totokhhon,	ততঃকোষণ,	ততক্ষন,	
sikhar,	শিখার,	শিকার,	
obe,	ওবে,	ওবিই,	
prakalpeo,	প্রকালপেও,	প্রকল্পেও,	
prachando,	প্রচন্দ,	প্রচণ্ড,	
mosjidtir,	মস্জিটির,	মসজিদটির,	
tukrotey,	তুকর্তে,	টুকরোতে,	
chowdhurir,	চৌধুরীর,	চৌধুরীর,	
parkim,	পার্কিং,	পার্কিং,	
uposthitir,	উপস্থিতির,	উপস্থিতির,	
azimpur,	আজিমপুর,	আজিমপুর,	
bauger,	বাগের,	বাগের,	
pacbbar,	পা্ববর,	পাঁচবার,	
dhoka,	ঢোকা,	ধোঁকা,	
shitey,	সিইটে,	শীতে,	
adhyatmikata,	অধ্যত্তিকতা,	আধ্যাত্মিকতা,	
krush,	ক্রুশ,	ক্রুশ,	
nagorikke,	নাররীকে,	নাগরিককে,	
vagirath,	ভাগররথ,	ভগীরথ,	
muhit,	মুহিত,	মুহিত,	
guzon,	গুজন,	গুজব,	
jacq,	জাক,	জ্যাক,	
anchalsaha,	অঞ্চলসা,	অঞ্চলসহ,	
raiter,	রাইটের,	রাইটের,	
chinito,	চিনিত,	চিনতো,	
naitikbhabey,	নাইিকভিবে,	নৈতিকভাবে,	
elaakao,	এলাকা,	এলাকাও,	
nafisa,	নফিস,	নাফিসা,	
hili,	হিলি,	হিলি,	
vittiteo,	ভিততেতেও,	ভিত্তিতেও,	
shaannaal,	শান্যাল,	সান্যাল,	
lyandim,	ল্যান্ডিং,	ল্যান্ডিং,	
moshjidti,	মসজিদি,	মসজিদটি,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
jolbe,	জলবে,	জ্বলবে,	
prajanankal,	প্রজননকাল,	প্রজননকাল,	
sanaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
uttar,	উত্তর,	উওর,	
itastatah,	ইতাস্থাত,	ইতস্ততঃ,	
atohar,	অতহার,	আতহার,	
karmazog,	কর্মজাগ,	কর্মযোগ,	
qinsa,	কিংস,	কিংস,	
shootar,	শুটার,	শ্যুটার,	
aamudey,	আমদে,	আমুদে,	
commander,	কমান্ডার,	কমাণ্ডার,	
ghoomachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
bboponer,	বপনের,	বপনের,	
abhidhaneek,	অভিযোধিক,	অভিধানিক,	
pleeta,	প্লেট,	প্লেট,	
muhammader,	মুহামমাদের,	মুহম্মদের,	
shahocharje,	শাহার্যে,	সাহচর্যে,	
routiner,	রাউনিরের,	রুটিনের,	
panni,	পান্ি,	পন্নী,	
khijir,	খিজির,	খিজির,	
malish,	মালিশ,	মালিশ,	
gonocheen,	গননচীন,	গণচীন,	
sainyasoho,	সৈন্যসহহ,	সৈন্যসহ,	
toki,	টোকি,	তকি,	
faaser,	ফাসের,	ফাঁসের,	
aholya,	আলো্যা,	অহল্যা,	
rohosyor,	রহস্্র,	রহস্যর,	
nabotom,	নাটম,	নবতম,	
ajauno,	অযানো,	অযৌন,	
janoikaa,	জনিকা,	জনৈকা,	
nirmalata,	নির্মলা,	নির্মলতা,	
mosjidtikey,	মস্জিতিকে,	মসজিদটিকে,	
transhform,	ট্রান্সপোর্স,	ট্রান্সফর্ম,	
shansthatir,	সাস্থঠাটির,	সংস্থাটির,	
neeshanasa,	নিশাসা,	নেশনস,	
shyooter,	শ্যুতের,	শ্যুটার,	
anshograhone,	অংশগ্রহণে,	অংশগ্রহনের,	
showtey,	সৌটে,	শোতে,	
jhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
graambaaseer,	গ্রামাবাসীর,	গ্রামবাসীর,	
beshirbhagi,	বেশিরভাগী,	বেশিরভাগই,	
reshidensha,	রেজিনেডস,	রেসিডেন্স,	
jeebonjapon,	জীবনজ্ঞান,	জীবনযাপন,	
elaakaao,	এলাকা,	এলাকাও,	
monjeele,	মঞ্জিলে,	মঞ্জিলে,	
pattarn,	পাট্যার্ন,	প্যাটার্ন,	
definisian,	ডিফিনিনশন,	ডেফিনেশন,	
aboshorer,	অবশরের,	অবসরের,	
jonmato,	জন্মাত,	জন্মাত,	
pluck,	প্লক,	প্ল্যাক,	
palteche,	পাল্টে,	পাল্টেছে,	
pulse,	পুলসে,	পালস,	
sakar,	সাকার,	সকার,	
laaisheesh,	লিসেস,	লাইসেন্স,	
kushomva,	কুষম্ব,	কুশুম্বা,	
besirvagei,	বেশিরভাগে,	বেশিরভাগেই,	
durgotsab,	দুরদগত্ব,	দুর্গোৎসব,	
highcomissione,	হিহোমিনেশ,	হাইকমিশনে,	
cloud,	ক্লোড,	ক্লাউড,	
stana,	স্টন,	স্টোন,	
aarakaner,	আরাকনের,	আরাকানের,	
oncholgulir,	অঞ্চলগুরির,	অঞ্চলগুলির,	
deep,	ডিপ,	দীপ,	
sumo,	সুমো,	সুমো,	
sonmukh,	সম্মুখ,	সন্মুখ,	
apadan,	অপাদন,	অপাদান,	
sangasthaner,	সংস্থানের,	সংস্থানের,	
gondhe,	গন্ধে,	গন্ধে,	
chalai,	চালেই,	চালাবে,	
nuhas,	নুহাস,	নুহাশ,	
mirakeela,	মিরাকিল,	মিরাকেল,	
toufeek,	টুফিক,	তৌফিক,	
qaferderke,	কারারেকরে,	কাফেরদেরকে,	
oparogota,	অপরগতা,	অপারগতা,	
daver,	দভের,	ডোভার,	
shamuker,	সামুকের,	শামুকের,	
nagarikra,	নারীরকা,	নাগরিকরা,	
coner,	কোনের,	কনের,	
doonata,	দুনতা,	ডোনাট,	
fand,	ফা্্ড,	ফান্ড,	
soomee,	সুমি,	সুমি,	
sooter,	সুটের,	শ্যুটার,	
reejideencee,	রেজিনেড্স,	রেসিডেন্স,	
amarendra,	অমেরেন্দর,	অমরেন্দ্র,	
solil,	সলিল,	সলিল,	
protizogiir,	প্রতিযোগির,	প্রতিযোগীতার,	
urur,	উরুর,	উরুর,	
naagaalyand,	নালাযান্যা,	নাগাল্যান্ড,	
thai,	থাই,	থাই,	
antorvuktimulak,	অন্তর্যুকূলিক,	অন্তর্ভুক্তিমূলক,	
bamoni,	বামনী,	বামনী,	
dristihin,	দৃষ্টিহীন,	দৃষ্টিহীন,	
vaisaho,	ভাইসহ,	ভাইসহ,	
madeelim,	ম্যাডিলিম,	মডেলিং,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
juktorashtre,	যুক্তর্য্তের,	যুক্তরাষ্ট্রে,	
sharok,	শারক,	স্মারক,	
mitre,	মিত্র,	মিত্র,	
aashtikotaa,	আস্টিকাত,	আস্তিকতা,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
tinhazar,	তিনাসাজার,	তিনহাজার,	
utsahomulok,	উৎসাহমূলক,	উৎসাহমূলক,	
quartar,	কায়ার্টার,	কোয়ার্টার,	
torunke,	তরুণকে,	তরুণকে,	
degreeke,	দেগ্রেেক,	ডিগ্রিকে,	
franko,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
jeebonjaapon,	জীবনজাপন,	জীবনযাপন,	
heavi,	হিভ,	হেভি,	
damanmulak,	দমমমুলক,	দমনমূলক,	
hijri,	হিজরি,	হিজরী,	
neelfamarir,	নিলফারির,	নীলফামারীর,	
allahabadey,	আল্লাহাদে,	এলাহাবাদে,	
armastram,	অর্মস্্রম,	আর্মস্ট্রং,	
uddhritto,	উদ্ধৃত্ব,	উদ্ধৃত,	
clintoner,	ক্লিনটননের,	ক্লিনটনের,	
pratishhta,	প্রতিস্ট,	প্রতিষ্টা,	
iraner,	ইরননের,	ইরানের,	
ganochiner,	গণনিচের,	গণচীনের,	
boikolyo,	বৈকল্য,	বৈকল্য,	
sahopathike,	সহাপঠিকে,	সহপাঠীকে,	
faase,	ফাসে,	ফাঁসে,	
expression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
monjhostho,	মন্ভস্থ,	মঞ্চস্থ,	
kade,	কাডে,	কোড,	
nebhatey,	নেভাতে,	নেভাতে,	
omarjeeto,	অমর্যিত,	অমার্জিত,	
smaraker,	স্মরকের,	স্মারকের,	
byabaharkareeke,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
sumeeta,	সুমিতা,	সুমিতা,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
mesenjar,	মেসেন্জার,	মেসেঞ্জার,	
leaders,	লিডার্স,	লিডার্স,	
kayartara,	কায়ার্টর,	কোয়ার্টার,	
chedon,	চেদন,	ছেদন,	
ingrezraa,	ইংরেজ্র,	ইংরেজরা,	
afzal,	আফজাল,	আফজল,	
rubyo,	রুব্য,	রুবিও,	
ghoorsen,	ঘুর্ষেন,	ঘুরেছেন,	
ummool,	উম্মুল,	উম্মুল,	
kiutie,	কিউটি,	কিউটি,	
primo,	প্রিম,	প্রিমো,	
paikar,	পাইকার,	পাইকার,	
janaar,	জানার,	জানার,	
temonti,	টেমন্টি,	তেমনটি,	
sina,	সিনা,	সিনা,	
homske,	হোস্কে,	হোমসকে,	
capsule,	কপ্পুলে,	ক্যাপসুল,	
bonshoke,	বংশকে,	বংশকে,	
harbor,	হর্বর,	হারবার,	
masjidke,	মাজাজিকে,	মসজিদকে,	
nariikeyi,	নারিকেই,	নারীকেই,	
rajon,	রজন,	রাজন,	
kriita,	ক্রিতা,	ক্রীট,	
shrimoti,	শ্রীমটি,	শ্রীমতি,	
baasake,	বাসাকে,	বাসাকে,	
dumaa,	ডুমা,	দুমা,	
muhmmoder,	মুহম্মদের,	মুহম্মদের,	
nilfamarir,	নিলফারীর,	নীলফামারীর,	
pancbaar,	পাঁ্বার,	পাঁচবার,	
nirvahi,	নির্বাহী,	নির্বাহি,	
elakatay,	এলাকতাই,	এলাকাতে,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
paira,	পাইরা,	পাইরা,	
gutano,	গুটো,	গুটানো,	
graambaasheeo,	গ্রমমাব্যা,	গ্রামবাসীও,	
muktilabh,	মুক্তিভাব,	মুক্তিলাভ,	
sahinsatar,	সাহিসনতার,	সহিংসতার,	
poriskoron,	পরিস্করণ,	পরিষ্করণ,	
mukhobandho,	মূখবন্ধ,	মুখবন্ধ,	
itastata,	ইটসাটটা,	ইতস্ততঃ,	
taholo,	তলহো,	তাহলো,	
residensa,	রেসিডেন্স,	রেসিডেন্স,	
noditi,	নদীতি,	নদীটি,	
dholeshwari,	ধলেশবারী,	ধলেশ্বরী,	
areek,	আরিক,	আরিক,	
torokareer,	তরকারীর,	তরকারীর,	
eling,	এলিং,	ইলিং,	
sbajan,	স্যাজন,	স্বজন,	
shithilatar,	শিথলতার,	শিথিলতার,	
nilkuthir,	নিলকুরির,	নীলকুঠির,	
simons,	সিমন্স,	সিমন্স,	
sima,	সিমা,	সীমা,	
elaakaate,	এলাকতা,	এলাকাতে,	
venus,	ভিনাস,	ভেনাস,	
shcholarshhip,	স্লারপশিপ,	স্কলারশিপ,	
samanya,	সামন্য,	সামান্য,	
shucre,	সাক্রে,	সাকার,	
shaahaab,	সাহাব,	সাহাব,	
cheere,	চিরে,	চিরে,	
mathews,	ম্যাথিস,	ম্যাথিউস,	
bhogiroth,	ভগীরথ,	ভগীরথ,	
stanahenja,	স্ত্যানেজন,	স্টোনহেঞ্জ,	
gafeeloti,	গ্যালেটি,	গাফিলতি,	
charger,	চারগের,	চার্জের,	
daalu,	ডালু,	ডালু,	
anchalei,	অঞছলেই,	অঞ্চলেই,	
bishwaashshoi,	বিশ্বসাসই,	বিশ্বাসই,	
korush,	কারুস,	ক্রুশ,	
karmoke,	কর্মকে,	কর্মকে,	
thore,	থরে,	থরে,	
parry,	প্যারি,	পেরি,	
nirbahe,	নির্বাহে,	নির্বাহে,	
pyaleshtainer,	প্যালেসনেটের,	প্যালেস্টাইনের,	
rk,	রায়া,	আরকে,	
darji,	দার্জি,	দরজি,	
shektore,	সেকটরে,	সেক্টরে,	
quata,	কুটো,	কোটা,	
servere,	সার্ভারে,	সার্ভারে,	
papri,	প্পরি,	পাপরি,	
skirt,	স্কির্ট,	স্কার্ট,	
longghoner,	লঙ্গনের,	লংঘনের,	
stoona,	স্তুনা,	স্টোন,	
economeeks,	একোনেমিক্স,	ইকোনমিকস,	
daaun,	ডাউন,	ডাউন,	
casper,	কাসসের,	ক্যাসপার,	
mukhomandol,	মুখনম্লা,	মুখমণ্ডল,	
celinar,	সিলেনার,	সেলিনার,	
pachok,	পচঁক,	পাচক,	
grambaasider,	গ্রামাবাদীরের,	গ্রামবাসীদের,	
saamaanyai,	সামান্যই,	সামান্যই,	
pannee,	পান্নি,	পন্নী,	
zonite,	জনিতে,	যোনীতে,	
vedke,	ভেডে,	বেদকে,	
bachchaner,	বাচ্চাের,	বচ্চনের,	
aazadir,	আজাদীর,	আজাদীর,	
nothivukteer,	নথিযুক্তির,	নথিভুক্তির,	
dailee,	ডেলি,	ডেইলি,	
gaj,	গাজ,	গেজ,	
dhojobhongo,	ধহভঙ্গ,	ধ্বজভঙ্গ,	
yaach,	যাচ,	ইয়াক,	
plate,	প্লেট,	প্লেট,	
jubokshoho,	যুবকস্থ,	যুবকসহ,	
ghomta,	ঘোতটা,	ঘোমটা,	
shipa,	সিপা,	শিপ,	
dana,	ডানা,	ডায়না,	
dhyanastha,	ধ্যানস্থা,	ধ্যানস্থ,	
uuipoka,	উইউপকা,	উইপোকা,	
shamooker,	শামুকের,	শামুকের,	
karkatkranti,	কারকক্তন্রি,	কর্কটক্রান্তি,	
abheedhaneeck,	অভিযোধিক,	অভিধানিক,	
vimshen,	ভিমেন,	ভীমসেন,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
promosioney,	প্রমসনেে,	প্রোমোশনে,	
udbodhani,	উদ্ধবনী,	উদ্বোধনী,	
khannkaj,	খানকাজ,	খননকাজ,	
haphej,	হাফেজ,	হাফেয,	
longghon,	লঙ্গন,	লংঘন,	
nirvaha,	নির্বাহ,	নির্বাহ,	
ches,	চেস,	চেস,	
ojouno,	ওয়নো,	অযৌন,	
asocietes,	অসস্যাইট,	এসোসিয়েটস,	
uchchotara,	উচ্চতার,	উচ্চতর,	
manob,	মানব,	মানব,	
ganaparibahaner,	গণপরিবারণের,	গণপরিবহনের,	
chalochchitrotike,	চলচ্ছিত্রকেই,	চলচ্চিত্রটিকে,	
domonmulok,	দমমনুলক,	দমনমূলক,	
sukkha,	সুখ্ষা,	সুক্ষ্ম,	
pashchatey,	পাশ্চাতে,	পশ্চাতে,	
besharkarikarone,	বেসরকরণীকের,	বেসরকারিকরণ,	
sangkulaan,	সংকুলান,	সংকুলান,	
siddharther,	সিদ্ধার্থের,	সিদ্ধার্থের,	
idaningkale,	দৈনিনালে,	ইদানীংকালে,	
sikare,	শিকারে,	শিকারে,	
sikkhagata,	শিক্ষাগা,	শিক্ষাগত,	
basaa,	বাসা,	বাসা,	
okritakarja,	অক্রিক্রাক,	অকৃতকার্য,	
leetteer,	লিটটার,	লেটার,	
abarta,	আবর্তা,	আবর্ত,	
patthon,	পাঠন,	পঠন,	
bafal,	বাফল,	বিফল,	
kredit,	ক্রেডিট,	ক্রেডিট,	
biswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
superhero,	সুপেরেরও,	সুপারহিরো,	
dijnii,	দিজনি,	ডিজনী,	
moorali,	মূরালি,	মুরলী,	
ghetu,	ঘেটু,	ঘেটু,	
jhalkathi,	ঝাখাঠি,	ঝালকাঠী,	
mononiitoder,	মনননীতের,	মনোনীতদের,	
dormetoree,	ডর্মেরি,	ডরমিটরি,	
cheerota,	চিরত,	চিরতা,	
parichchhannata,	পরিচ্ছান্তা,	পরিচ্ছন্নতা,	
hunayn,	হুনান,	হুনাইন,	
horir,	হরির,	হরির,	
nirdesika,	নির্দেশিক,	নির্দেশিকা,	
basake,	বাসাকে,	বাসাকে,	
soomita,	সুমিতা,	সুমিতা,	
harta,	হার্ট,	হার্ট,	
ganonatyo,	গণনাত্য,	গণনাট্য,	
smaroker,	স্মরকের,	স্মারকের,	
vogiroth,	ভগীরথ,	ভগীরথ,	
gujob,	গুজব,	গুজব,	
joubanbotii,	যবানববতী,	যৌবনবতী,	
bhyaatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
jar,	জার,	জ্বর,	
sniper,	স্পিয়ার,	স্নাইপার,	
namo,	নামো,	নমো,	
advansed,	অ্যাডভান্সে,	অ্যাডভান্সড,	
kraima,	ক্রেয়াম,	ক্রাইম,	
shomostigoto,	সমস্তিগত,	সমষ্টিগত,	
patochitrer,	পাতিত্রের,	পটচিত্রের,	
kortaam,	কর্তাম,	করতাম,	
pushtee,	পুষ্টি,	পুষ্টি,	
jubokder,	যুবদকের,	যুবকদের,	
dayitto,	দৈত্য,	দায়িত্ব,	
mastarsa,	মাস্টার্স,	মাস্টার্স,	
cruce,	ক্রায়ে,	ক্রুশ,	
asantosh,	আসন্তাস,	অসন্তোষ,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
dolu,	দল,	ডলু,	
oiteejyer,	ঐতিজ্যের,	ঐতিহ্যের,	
unitshoho,	ইউনিৎস,	ইউনিটসহ,	
dhwajbhanga,	ধ্বভঙ্গ,	ধ্বজভঙ্গ,	
gronthotike,	গ্রন্থাতিকে,	গ্রন্থটিকে,	
modelti,	মদেল্টি,	মডেলটি,	
ohang,	অহং,	অহং,	
shasankorta,	শাসনক্তর,	শাসনকর্তা,	
ghatleo,	ঘটেল,	ঘটলেও,	
sthapanagulo,	স্থাপনগুলো,	স্থাপনাগুলো,	
tenys,	টেনিস,	টেনিস,	
meghe,	মেঘে,	মেঘে,	
parbottyo,	পর্বত্ব,	পার্বত্য,	
rapto,	রপ্ত,	রপ্ত,	
peeth,	পিথ,	পীঠ,	
goolen,	গুলেন,	গুলেন,	
mojdoor,	মজদুর,	মজদুর,	
udbhabony,	উদ্ভবনী,	উদ্ভাবনী,	
bibade,	বিবদে,	বিবাদে,	
sektara,	সেক্টর,	সেক্টর,	
gosthiti,	গস্থিতি,	গোষ্ঠীটি,	
euror,	এউরোর,	ইউরোর,	
jatak,	যাটক,	জাতক,	
purbancoler,	পূর্বাংশেলের,	পূর্বাঞ্চলের,	
pitth,	পিঠ,	পীঠ,	
bishad,	বিষদ,	বিষদ,	
kaferder,	কারারের,	কাফেরদের,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
dadader,	দাদাদের,	দাদাদের,	
dharavahiker,	ধারাাাহীকের,	ধারাবাহিকের,	
sahokaree,	সহকারী,	সহকারী,	
valobasey,	ভালবাসে,	ভালোবাসে,	
satjoner,	সাটনের,	সাতজনের,	
jonmaat,	জন্মাত,	জন্মাত,	
desiseyer,	ডেসেসির,	ডিজিজের,	
bufar,	বুফার,	বাফার,	
dang,	ডাং,	ডং,	
asthisandhi,	অস্বিস্ধিন,	অস্থিসন্ধি,	
athar,	আথার,	আতহার,	
nowel,	নইভ,	নভেল,	
grambaseer,	গ্রামাবাসীর,	গ্রামবাসীর,	
obeekol,	অবিকল,	অবিকল,	
satthikata,	সাটিকাতা,	সঠিকতা,	
chatrorai,	ছাতররই,	ছাত্ররাই,	
treend,	ট্রেন্ড,	ট্রেন্ড,	
suchanakal,	সূনাচনকাল,	সূচনাকাল,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
protijogita,	প্রতিযোগিত,	প্রতিযোগীতা,	
timothi,	টিমোথি,	টিমোথি,	
maile,	মেলে,	মাইল,	
monzhoshtho,	মনোস্থ,	মঞ্চস্থ,	
parishromi,	পরিস্রীম,	পরিশ্রমী,	
laishensha,	লেসেন্স,	লাইসেন্স,	
uipoka,	উইপোকা,	উইপোকা,	
byatikromi,	ব্যাতির্মী,	ব্যতিক্রমী,	
horiddare,	হরিদারে,	হরিদ্বারে,	
asociatis,	অসস্যাসিট,	এসোসিয়েটস,	
sikhbe,	শিছ্বে,	শিখবে,	
utpatti,	উৎপত্তি,	উতপত্তি,	
prakar,	প্রাকার,	প্রকার,	
eparjanta,	অপযাপা্্ত,	এপর্যন্ত,	
koota,	কোট,	কোটা,	
palta,	পাল্ট,	পালটা,	
adhyattikota,	অধ্যত্তিকতা,	আধ্যাত্মিকতা,	
victor,	ভিক্টর,	ভিক্টর,	
apochesta,	অপসেচ্ট,	অপচেষ্টা,	
crescenter,	ক্রিসেস্টার,	ক্রিসেন্টের,	
chilahaati,	চিলাহিত,	চিলাহাটি,	
bocchoner,	বচ্চনের,	বচ্চনের,	
brindabone,	ব্রিনবনদে,	বৃন্দাবনে,	
ballroom,	বালাম,	বলরুম,	
janoika,	জননিকা,	জনৈকা,	
siramikasa,	সিরামিসাস,	সিরামিকস,	
mawdeel,	ম্যালেল,	মডেল,	
seekkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
pratijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
ganona,	গণনা,	গণনা,	
beetloser,	বিটলসের,	বিটলসের,	
rilayensha,	রিলান্স,	রিলায়েন্স,	
bupher,	বাফের,	বাফার,	
sammatir,	সম্মতির,	সম্মতির,	
creedit,	ক্রিডিট,	ক্রেডিট,	
gunje,	গুঞ্জে,	গুঁজে,	
ekroop,	একর্প,	একরূপ,	
siddhantei,	সিদ্ধান্তেই,	সিদ্ধান্তেই,	
patiganiter,	পতিগানীতের,	পাটিগণিতের,	
maradeha,	মারাদেহ,	মরদেহ,	
ancholti,	অঞ্চলটি,	অঞ্চলটি,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
phorex,	ফরেস্স,	ফরেক্স,	
bizito,	বিজিত,	বিজিত,	
tecnokret,	টেকনোক্রেট,	টেকনোক্র্যাট,	
tigre,	টিগ্রে,	টাইগার,	
kathmandutey,	কারামন্ডে,	কাঠমান্ডুতে,	
munshi,	মুন্সি,	মুন্সী,	
rigthter,	রিগ্টের,	রাইটের,	
footbalarer,	ফুটবারের,	ফুটবলারের,	
shift,	সিফ্ট,	শিফট,	
zyaka,	জ্যাকা,	জ্যাক,	
jomaanor,	জমানোর,	জমানোর,	
poper,	পপের,	পোপের,	
gavaskar,	গোবাসকার,	গাভাস্কার,	
konisttha,	কনিস্থ,	কনিষ্ঠ,	
mookhomaundoler,	মুখনুম্যুের,	মুখমণ্ডলের,	
antarbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
kaaleo,	কালেও,	কালেও,	
zuktorastrer,	যুক্তরস্ত্রের,	যুক্তরাষ্ট্রের,	
bishwash,	বিশ্বাস,	বিশ্বাস,	
dhas,	ধাব,	ধস,	
monhputo,	মুোপ্ুত,	মনঃপুত,	
alubokhara,	অলুলাবরা,	আলুবোখারা,	
iukyaliptasa,	ইউএ্যাসিয়াস,	ইউক্যালিপ্টাস,	
safalyer,	সফলের,	সাফল্যের,	
naitikatavodh,	নাইকতিতাবা,	নৈতিকতাবোধ,	
batikromshali,	ব্যাতিরাশ্লী,	ব্যতিক্রমধর্মী,	
sheramiksh,	সেরামিস্স,	সিরামিকস,	
yukeliptash,	ইউক্িিফেস,	ইউক্যালিপ্টাস,	
vabna,	ভাবনা,	ভাবনা,	
masjidsaha,	মাসবিজহা,	মসজিদসহ,	
odhuna,	অধুনা,	অধুনা,	
wenish,	ভেনিস,	ভেনিস,	
uponishad,	উপনিষদ,	উপনিষদ,	
pravuder,	প্রভূদের,	প্রভুদের,	
nirupita,	নিরুতিতা,	নিরূপিত,	
nesons,	নেসস্স,	নেশনস,	
bibad,	বিবদদ,	বিবাদ,	
kemone,	কেমনে,	কেমনে,	
dhyanastho,	ধ্যানস্থ,	ধ্যানস্থ,	
ekhate,	এখাতে,	একহাতে,	
shithilata,	শিথিলা,	শিথিলতা,	
