phulkapi,	ফুলকাপি,	ফুলকপি,	
adhyatmik,	আধ্যাত্মিক,	আধ্যাত্মিক,	
battery,	ব্যাটারি,	ব্যাটারী,	
keuoi,	কিউই,	কেউই,	
telakucha,	তেলাকুছা,	তেলাকুচা,	
promothesh,	প্রমথেস,	প্রমথেশ,	
stonaheenja,	স্তনাহিং্য,	স্টোনহেঞ্জ,	
eidaning,	এইডানিং,	ইদানীং,	
kaantojir,	কান্তজীর,	কান্তজির,	
kaareer,	কারীর,	কারীর,	
subade,	সুবাদে,	সুবাদে,	
bharadwaja,	ভারাদ্বাজা,	ভরদ্বাজ,	
shikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
vaibonera,	ভাইবনেরা,	ভাইবোনেরা,	
karaa,	কারা,	কারো,	
sabhanetree,	সভানেত্রী,	সভানেত্রী,	
sollallhu,	সো্লাল্লু,	সল্লাল্লাহু,	
kiiborde,	কিবর্ডে,	কীবোর্ড,	
kaner,	কানের,	কনের,	
dakope,	ডাকপে,	দাকোপ,	
asoociates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
obhishangsan,	অভিসংসনশন,	অভিশংসন,	
ispreedshiit,	এস্প্রেডসিট,	স্প্রেডশীট,	
rotheen,	রথিন,	রথীন,	
konake,	কোনকে,	কণাকে,	
patigoniter,	পাতিগণিতের,	পাটিগণিতের,	
zess,	জেস,	জেস,	
komti,	কমটি,	কমতি,	
nischitbhabe,	নিঃ্চিতভাবে,	নিশ্চিতভাবে,	
hosheyin,	হোসেইন,	হোসেইন,	
niurolaji,	নিউরোলজি,	নিউরোলজি,	
kinsa,	কিংস,	কিংস,	
ranodeep,	রণদীপ,	রণদীপ,	
suraarop,	সুরারোপ,	সুরারোপ,	
omeettrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
promosioney,	প্রমোশনে,	প্রোমোশনে,	
kormokarer,	কর্মকারের,	কর্মকারের,	
chapol,	চ্যাপল,	চপল,	
ixprission,	এক্সপ্রেশন,	এক্সপ্রেশন,	
kokein,	কোকেন,	কোকেইন,	
taalgachh,	তালগাছ,	তালগাছ,	
tafaat,	তফাট,	তফাৎ,	
bhumir,	ভূমির,	ভূমির,	
chhattrorai,	ছাত্ররাই,	ছাত্ররাই,	
hydra,	হিদ্রা,	হাইড্রা,	
swarthe,	স্বার্থে,	স্বার্থে,	
shooknaa,	শুকনা,	শুকনা,	
ide,	আদে,	আইডিই,	
orthonitir,	অর্থনীতির,	অর্থনীতির,	
shombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
nuton,	নাটন,	নূতন,	
proteestha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
janatey,	জাতাতে,	জানাতে,	
prabhu,	প্রভূ,	প্রভু,	
konaan,	কোনান,	কোনান,	
dadaa,	দাদা,	দাদা,	
kheley,	খেলে,	খেলে,	
mitrata,	মিত্রটট,	মিত্রতা,	
governerer,	গভর্নরের,	গভর্ণরের,	
treebhuj,	ত্রিভুজ,	ত্রিভূজ,	
pholo,	ফলো,	পোলো,	
noitikatavodh,	নৈতিকতাভোধ,	নৈতিকতাবোধ,	
routiner,	রাউটেন,	রুটিনের,	
beam,	বীম,	বিম,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
daebug,	দাবিয়,	ডিবাগ,	
dayraa,	ডেরা,	ডেরা,	
nyata,	ম্যত,	ম্যাট,	
pachak,	পাচক,	পাচক,	
kata,	কাটা,	কোটা,	
attar,	আত্মর,	আত্তার,	
bosten,	বস্টেন,	বসতেন,	
zoubonkal,	যৌবনকাল,	যৌবনকাল,	
mugdhata,	মুগধাতা,	মুগ্ধতা,	
futanta,	ফুটান্ত,	ফুটন্ত,	
labanaktatar,	লবনাক্ততার,	লবণাক্ততার,	
janagononar,	জনগণনার,	জনগণনার,	
pancbaar,	পাঁচবার,	পাঁচবার,	
prothar,	প্রথার,	প্রথার,	
laaishheshh,	লাইসেস,	লাইসেন্স,	
bissashii,	বিশ্বাসী,	বিশ্বাসী,	
recondishon,	রেকন্ডিসন,	রিকন্ডিশন,	
parks,	পার্কস,	পার্কস,	
arekdol,	আরেকদল,	আরেকদল,	
chorchito,	চর্চিত,	চর্চিত,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
kodti,	কদটি,	কোডটি,	
gardeen,	গার্ডেন,	গার্ডেন,	
gabhaskaar,	গভাসকার,	গাভাস্কার,	
phashtara,	ফসস্টার,	ফস্টার,	
marketin,	মার্কেটিন,	মার্কেটিং,	
anchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
saarbhaarer,	সার্ভারের,	সার্ভারের,	
ancholtitey,	অঞ্চলতিতে,	অঞ্চলটিতে,	
enamela,	ইনামেলা,	এনামেল,	
vip,	ভীপ,	ভিআইপি,	
phanda,	ফান্ড,	ফান্ড,	
angkush,	অ্যাংকুশ,	অংকুশ,	
gasthi,	গাস্ঠী,	গোষ্ঠী,	
leader,	লিডার,	লিডার,	
bedkey,	বেদকে,	বেদকে,	
pretishta,	প্রেতিষ্ট,	প্রতিষ্টা,	
fimel,	ফাইমল,	ফিমেল,	
azibon,	আজীবন,	আজীবন,	
silbhi,	সিলভী,	সিলভি,	
natneekey,	নাটনীকে,	নাতনীকে,	
sudhui,	সুধুই,	শুধুই,	
dayna,	ডাইন,	ডায়না,	
khalid,	খালিদ,	খালিদ,	
deebatee,	দিবাতি,	ডিবেট,	
baju,	বাজু,	বাজু,	
sanghorsheek,	সাংভর্ষিক,	সাংঘর্ষিক,	
eder,	এদের,	এদের,	
bedanter,	বেদান্তের,	বেদান্তের,	
qirq,	কার্ক,	কার্ক,	
musalmanra,	মুসলমনর,	মুসলমানরা,	
jahar,	জাহর,	জহর,	
hijritey,	হিজরিতে,	হিজরীতে,	
billaho,	বিলাহ,	বিল্লাহ,	
nesnos,	নেশনোস,	নেশনস,	
kanflikt,	কামাফলিক্ট,	কনফ্লিক্ট,	
valobasey,	ভালোবাসে,	ভালোবাসে,	
grambaseeo,	গ্রামবাসীও,	গ্রামবাসীও,	
godabori,	গদাবরী,	গোদাবরী,	
ciima,	সীম,	সীমা,	
jameser,	জামসের,	জেমসের,	
karir,	কারির,	কারীর,	
khude,	খুডে,	ক্ষুদে,	
spenser,	স্পেন্সের,	স্পেন্সার,	
shoilee,	শৈলি,	শৈলী,	
bisnuu,	বিষ্ণু,	বিষ্ণু,	
muchir,	মুছির,	মুচির,	
kona,	কোন,	কণা,	
snipar,	স্নিপার,	স্নাইপার,	
ashongkai,	অসংকেই,	আশঙ্কাই,	
apocheshta,	অপচেষ্ট,	অপচেষ্টা,	
meghe,	মেঘে,	মেঘে,	
stena,	স্টেন,	স্টেন,	
prastutkarak,	প্রস্তুতকরক,	প্রস্তুতকারক,	
sothikata,	সথিকতা,	সঠিকতা,	
fax,	ফ্যাক্স,	ফক্স,	
shasankarta,	শাসনকর্তা,	শাসনকর্তা,	
siima,	সীম,	সীমা,	
qingdom,	কিংদম,	কিংডম,	
utsahi,	উতসহাহী,	উৎসাহী,	
petenter,	পটটেন্টের,	পেটেন্টের,	
nagarikkey,	নাগীককে,	নাগরিককে,	
fevarite,	ফেভারিতে,	ফেভারিট,	
gaadha,	গাধা,	গাধা,	
seet,	সীত,	সিট,	
pouro,	পৌর,	পৌর,	
aholar,	অহলার,	অহল্যার,	
inafarameshana,	ইনফররমেশন,	ইনফরমেশন,	
noter,	নতের,	নোটের,	
donat,	দোনাত,	ডোনাট,	
mugdha,	মুগ্ধ,	মুগ্ধ,	
nikela,	নিকেলা,	নিকেল,	
militaryte,	মিলিটারীটে,	মিলিটারিতে,	
balakarak,	বালককারক,	বলকারক,	
drishyogulotey,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
oncholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
procharona,	প্রচারণা,	প্রচারণা,	
songbadmadhyomer,	সংবাদমাধ্যমের,	সংবাদমাধ্যমের,	
shaajaano,	সাজান,	সাজানো,	
planey,	প্ল্যানি,	প্লেনে,	
dokaan,	ডোকান,	দোকান,	
saphallyar,	সাফল্যার,	সাফল্যের,	
subader,	সুবাদের,	সুবাদে,	
booth,	বুথ,	বুথ,	
ishtone,	ইস্টনে,	স্টোন,	
songasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
byaboharkarikey,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
juddhahoto,	যুদ্ধাহত,	যুদ্ধাহত,	
armastram,	অর্মস্ত্রম,	আর্মস্ট্রং,	
adhatik,	আধাযাতিক,	আধ্যাত্মিক,	
pharn,	ফোর্ন,	ফার্ন,	
sanaktokoroner,	সনাক্তকরণের,	সনাক্তকরণের,	
chetna,	চেতনা,	চেতনা,	
fiksing,	ফিক্সিং,	ফিক্সিং,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
annimated,	অনিমাতেদ,	এনিমেটেড,	
shaahaabiike,	সাহাবীকে,	সাহাবীকে,	
irish,	আইরিশ,	আইরিস,	
naagaalyand,	নগগ্যাল্যান্ড,	নাগাল্যান্ড,	
musalmanderkey,	মুসল্মন্দেরকে,	মুসলমানদেরকে,	
tikka,	তিক্ক,	টিক্কা,	
baron,	বারণ,	ব্যারন,	
hastantar,	হস্তান্তর,	হস্তান্তর,	
ketechhilo,	কেটেছিল,	কেটেছিল,	
antorbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
nederlande,	নেডারল্যান্ডে,	নেদারল্যান্ডে,	
kanader,	কানাডের,	কণাদের,	
masazida,	মাসজীদা,	মসজিদ,	
korkotkraanti,	কর্কটক্র্টি,	কর্কটক্রান্তি,	
nathivooktir,	নথিভুক্তির,	নথিভুক্তির,	
byke,	বিকে,	বাইক,	
seat,	সেট,	সিট,	
peterkey,	পিটারকে,	পিটারকে,	
laaishenshh,	লাইসেন্স,	লাইসেন্স,	
bossonto,	বসস্ত,	বসন্ত,	
soomee,	সুমি,	সুমি,	
hariken,	হারিকেন,	হ্যারিকেন,	
chalochchitrotike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
bagey,	বাগে,	বাগে,	
thaakte,	থাকতে,	থাকতে,	
prettii,	প্রেত্টি,	প্রিটি,	
peengnaa,	পিঙ্না,	পিংনা,	
prokolpogulor,	প্রকল্পগুলোর,	প্রকল্পগুলোর,	
thanvee,	থাঁভী,	থানভী,	
sikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
archimedeser,	আর্কিমেসের,	আর্কিমিডিসের,	
chapal,	চ্যাপাল,	চপল,	
kushomva,	কুসম্ভ,	কুশুম্বা,	
abhidhaanick,	আভিধানিক,	অভিধানিক,	
arina,	এরিনা,	এরিনা,	
bhardwaj,	ভার্ডওয়াজ,	ভরদ্বাজ,	
teteyer,	তেটের,	টেটের,	
hoilo,	হইল,	হইল,	
kaaferderke,	কাফরদেরকে,	কাফেরদেরকে,	
gor,	গর,	গোর,	
torabganj,	তোরাবগঞ্জ,	তোরাবগঞ্জ,	
kaferderke,	কাফরদেরকে,	কাফেরদেরকে,	
kamti,	কমটটি,	কমতি,	
poonch,	পুঁচ,	পুঞ্চ,	
uparzoner,	উপার্জনের,	উপার্জনের,	
jarmaniteo,	জার্মানিতেও,	জার্মানিতেও,	
tarbiner,	তারবিনের,	টারবাইনের,	
fern,	ফার্ন,	ফার্ন,	
jaj,	যাজ,	জাজ,	
cholochchitroi,	চলচ্চিত্রই,	চলচ্চিত্রই,	
satarkabhabey,	সতারকভাবে,	সতর্কভাবে,	
ganachiner,	গণচীনের,	গণচীনের,	
nilphamarir,	নিলফামারীর,	নীলফামারীর,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
porishromi,	পরিস্রমী,	পরিশ্রমী,	
enginiirs,	এঞ্জিনির্স,	ইঞ্জিনিয়ার্স,	
prakar,	প্রকার,	প্রকার,	
hijriite,	হিজরিতে,	হিজরীতে,	
mahajote,	মহাজতে,	মহাজোট,	
jamjamat,	জামামত,	জমজমাট,	
istonia,	ইস্টনিয়া,	এস্তোনিয়া,	
goojober,	গুজবের,	গুজবের,	
baharampoorer,	বাহারম্পুরের,	বহরমপুরের,	
clause,	ক্লাউস,	ক্লজ,	
railliner,	রেলিনের,	রেললাইনের,	
rilayensa,	রিলয়েন্স,	রিলায়েন্স,	
maudelke,	মাউডেলকে,	মডেলকে,	
daakticket,	ডাক্তিকেত,	ডাকটিকিট,	
ikbalke,	ইকবলকে,	ইকবালকে,	
granthe,	গ্রন্থে,	গ্রন্থে,	
venkotesh,	ভেঙককটেস,	ভেঙ্কটেশ,	
bosstonto,	বস্ত্তন্ত,	বসন্ত,	
soores,	সুরেশ,	সুরেশ,	
pishach,	পিসাচ,	পিশাচ,	
sombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
oholyar,	অহল্যার,	অহল্যার,	
loukikataa,	লৌকিকতা,	লৌকিকতা,	
opochesta,	অপচেষ্ট,	অপচেষ্টা,	
diznii,	দিজনি,	ডিজনী,	
teestaar,	তিস্টার,	তিস্তার,	
onkar,	অঙ্কার,	ওঙ্কার,	
spreeadsheet,	স্প্রেডসেট,	স্প্রেডশীট,	
udbodhaner,	উদ্বোধনের,	উদ্বোধনের,	
choudhooreeo,	চৌধুরিও,	চৌধুরীও,	
nadnodeer,	নদ্নদীর,	নদনদীর,	
vromoner,	ভ্রমণের,	ভ্রমণের,	
ustaad,	উষ্টাদ,	উস্তাদ,	
karmokerer,	কর্মকেরের,	কর্মকারের,	
chalochchitro,	চলচিত্র,	চলচ্চিত্র,	
rites,	রাইটস,	রিতেশ,	
oitijjha,	ঐতিহ্য,	ঐতিহ্য,	
bytes,	বাইটেস,	বাইটস,	
jerujaleme,	জেরুজালেম,	জেরুসালেমে,	
silvi,	সিলভী,	সিলভি,	
shtena,	স্টেন,	স্টেন,	
rijur,	ঋজুর,	রিজুর,	
show,	শাও,	শো,	
vittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
kode,	কোদে,	কোডে,	
daayitto,	দৈত্য,	দায়িত্ব,	
mitrota,	মিত্রটা,	মিত্রতা,	
cathalic,	কাথালিক,	ক্যাথলিক,	
sane,	সান,	সনে,	
everage,	এভারেজ,	এভারেজ,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
carymb,	কারিম্ব,	করিম,	
saramiks,	সারামিক্স,	সিরামিকস,	
timoothi,	তিমথথি,	টিমোথি,	
bed,	বেড,	বেদ,	
satjan,	সৎজন,	সাতজন,	
kando,	কাঁদ,	কাণ্ড,	
elakai,	এলাকাই,	এলাকাই,	
ipl,	আপল,	আইপিএল,	
atyacharito,	অত্যাচারিত,	অত্যাচারিত,	
phising,	ফিশিং,	ফিসিং,	
samratder,	সম্রতদের,	সম্রাটদের,	
shorifer,	শরীফের,	শরিফের,	
eidin,	এদিন,	এইদিন,	
inamil,	ইনামিল,	এনামেল,	
machsoho,	মাসসহ,	মাছসহ,	
foxcon,	ফক্সন,	ফক্সকন,	
senabahineeow,	সেনাবাহিনীও,	সেনাবাহিনীও,	
overviu,	অভারভিউ,	ওভারভিউ,	
phox,	ফো্স,	ফক্স,	
seector,	সেক্টর,	সেক্টর,	
manhputo,	মানফুত,	মনঃপুত,	
sohokaree,	সহকারী,	সহকারী,	
bijito,	বিজিত,	বিজিত,	
pretii,	প্রেতি,	প্রিটি,	
eshtoniya,	এস্টনিিয়া,	এস্তোনিয়া,	
format,	ফরমাট,	ফরম্যাট,	
tourist,	টরিস্ট,	টুরিস্ট,	
uponishoder,	উপনিষদের,	উপনিষদের,	
lotharan,	লাথারন,	লুথেরান,	
halding,	হালডিং,	হোল্ডিং,	
ghoor,	ঘুর,	ঘুর,	
jemi,	জেমি,	জেমি,	
khele,	খেলে,	খেলে,	
jeevjontu,	জীবজন্তু,	জীবজন্তু,	
sushikkhar,	শুশিক্ষার,	সুশিক্ষার,	
ghatla,	ঘটললা,	ঘটল,	
drissogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
licenshing,	লিসেস্টিং,	লাইসেন্সিং,	
jeerusaleema,	জিরুসালিম,	জেরুসালেম,	
janar,	জানার,	জানার,	
barron,	ব্যারন,	ব্যারন,	
mile,	মিলে,	মাইল,	
aansarir,	আনসারির,	আনসারীর,	
tochnoch,	তচ্নচ,	তছনছ,	
sachetanotamulok,	সচেতানতামূলক,	সচেতনতামূলক,	
vageri,	ভাগেরি,	ভাগেরই,	
godabari,	গদাবরী,	গোদাবরী,	
damdor,	দমদর,	দামদর,	
estonia,	এস্টোনিয়া,	এস্তোনিয়া,	
komaatei,	কমাতেই,	কমাতেই,	
probhur,	প্রভূর,	প্রভুর,	
istara,	ইস্টার,	ইস্টার,	
nodiiti,	নদীতী,	নদীটি,	
abasarer,	অবসরের,	অবসরের,	
jonoshongjog,	জনসং্োগ,	জনসংযোগ,	
omkar,	অমকার,	ওঙ্কার,	
grambasio,	গ্রামবাসীও,	গ্রামবাসীও,	
toranganj,	তরঙ্গঞ্জ,	তোরাবগঞ্জ,	
ganaporibahan,	গণপরিবহন,	গণপরিবহন,	
akhhunno,	অখ্যুন্ন,	অক্ষুণ্ণ,	
eucalyptus,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
ghantiti,	ঘানটিটি,	ঘাঁটিটি,	
elakaa,	এলাকা,	এলাকা,	
prajanankal,	প্রজননকাল,	প্রজননকাল,	
longhon,	লঙ্ঘন,	লংঘন,	
minister,	মিনিস্টার,	মিনিস্টার,	
keke,	কেকে,	কেকে,	
technocrat,	টেকনোক্রেট,	টেকনোক্র্যাট,	
srabosty,	স্রবস্তি,	শ্রাবস্তী,	
beekargrasto,	বিকরগগ্রস্ত,	বিকারগ্রস্ত,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
shekarone,	সেকারণে,	সেকারণে,	
thishisher,	থিসিসের,	থিসিসের,	
shotokei,	শতকেই,	শতকেই,	
pleta,	প্লট,	প্লেট,	
nagariker,	নগরীকের,	নাগরিকের,	
dhormee,	ধর্মি,	ধর্মী,	
miley,	মিলে,	মাইলি,	
armeeniyana,	অর্মেনিয়ান,	আর্মেনিয়ান,	
onodhikaar,	অনধিকার,	অনধিকার,	
nyaper,	ন্যাপের,	ন্যাপের,	
chho,	ছো,	ছোঁ,	
poojito,	পূজিত,	পুজিত,	
