chhatogalpe,	ছটটোগল্পে,	ছোটগল্পে,	
monzile,	মঞ্জেলে,	মঞ্জিলে,	
porjotoker,	পর্যটকের,	পর্যটকের,	
rajtantro,	রাজতন্ত্র,	রাজতন্ত্র,	
udbhabani,	উদ্ভাবনী,	উদ্ভাবনী,	
tyunar,	টুনার,	টিউনার,	
ches,	চেষ,	চেস,	
vandar,	ভান্ডার,	ভাণ্ডার,	
jansa,	জনস,	জোন্স,	
pari,	পারী,	পেরি,	
brinde,	ব্রিন্ডে,	বৃন্দ,	
jilyanda,	জিল্যান্ড,	জিল্যান্ড,	
batikromee,	বাতিক্রমী,	ব্যতিক্রমী,	
foksher,	ফক্ষের,	ফক্সের,	
venkates,	ভেনকাটেস,	ভেঙ্কটেশ,	
gejetade,	জেজেটাদে,	গেজেটেড,	
rupert,	রূপার্ট,	রুপার্ট,	
governorer,	গভর্নরের,	গভর্ণরের,	
turkey,	তুর্কে,	তুর্কি,	
madaul,	মদলাল,	মাদল,	
dianes,	ডায়েন,	ডিএনএস,	
scholarsip,	স্কলারশিপ,	স্কলারশিপ,	
satjaner,	সৎজনের,	সাতজনের,	
paripakey,	পরিপাকে,	পরিপাকে,	
janoikaa,	জনৈকা,	জনৈকা,	
iukyaliptasa,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
charger,	চার্গের,	চার্জের,	
modeeling,	মডডিলিং,	মডেলিং,	
kaatbey,	কাটবে,	কাটবে,	
jyestthotar,	জ্যিষ্ঠতার,	জ্যেষ্ঠতার,	
tennise,	টেনিস,	টেনিসে,	
ustad,	উষ্টাদ,	উস্তাদ,	
kana,	কানা,	কণা,	
tahalo,	তাহালো,	তাহলো,	
otorkeitey,	অটর্কিতে,	অতর্কিতে,	
shatan,	শতন,	শয়তান,	
footonto,	ফুন্ত,	ফুটন্ত,	
malaika,	মালকা,	মালাইকা,	
nothibhookta,	নথিভুক্ত,	নথিভুক্ত,	
elakatikay,	এলাকাটকে,	এলাকাটিকে,	
eucalyptus,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
jakso,	যক্স,	যক্ষ,	
kuarter,	কোর্টের,	কোয়ার্টার,	
peerry,	পেরি,	পেরি,	
voterer,	ভোতেরের,	ভোটারের,	
cakee,	কেক,	কেকে,	
baarder,	বার্ডের,	বার্ডের,	
nartakike,	নার্তাকিকে,	নর্তকীকে,	
shomrat,	শমরত,	সম্রাট,	
icebarg,	ইসেবার্গ,	আইসবার্গ,	
cholochchitroi,	চলচিত্র,	চলচ্চিত্রই,	
jeerusaleema,	জেরুসোলেম,	জেরুসালেম,	
aansaareer,	আনসারির,	আনসারীর,	
bardhitaanas,	বার্ধিতেনাস,	বর্ধিতাংশ,	
stanehenge,	স্ট্যানেহ্গে,	স্টোনহেঞ্জ,	
defineshana,	ডেফিনেশন,	ডেফিনেশন,	
dearas,	ডিরাস,	ডিআরএস,	
injiniyarsa,	ইন্জিয়ের্স,	ইঞ্জিনিয়ার্স,	
poripakey,	পরিপাকে,	পরিপাকে,	
onekeryi,	অনেকেরই,	অনেকেরই,	
hyundai,	হায়ান্ডে,	হুন্দাই,	
nirontar,	নিরন্তর,	নিরন্তর,	
shomsti,	শমস্তি,	সমষ্টি,	
bhogirath,	ভগিরথ,	ভগীরথ,	
garjan,	গারজন,	গর্জন,	
raiter,	রাইটের,	রাইটের,	
sangkulaan,	সংক্লুলন,	সংকুলান,	
kodti,	কদটি,	কোডটি,	
prapokke,	প্রপক্কে,	প্রাপককে,	
aksathe,	একসথে,	একসাথে,	
aiisa,	আইস,	আইএএস,	
ponjjikar,	পঞজ্জিকার,	পঞ্জিকার,	
paschimey,	পশ্চিমে,	পশ্চিমে,	
ramzaner,	রমজানের,	রমযানের,	
gasthii,	গোষ্ঠী,	গোষ্ঠীই,	
upobasi,	উপবাসী,	উপবাসী,	
bibek,	বিবেক,	বিবেক,	
divya,	দিব্য,	দিব্যা,	
mandanda,	মানদন্দ,	মানদণ্ড,	
parinoti,	পরিনতি,	পরিণতি,	
bifal,	বিফল,	বিফল,	
sorboshoktiman,	সর্বস্কতিমান,	সর্বশক্তিমান,	
jati,	জাতি,	যাতি,	
aanis,	আনিস,	আনিস,	
shomostigoto,	শমস্তিগত,	সমষ্টিগত,	
peeri,	পেরী,	পেরি,	
bamona,	বামোা,	বামনা,	
kamla,	কমলা,	কামলা,	
geza,	গেজ,	গেজ,	
sangostha,	সংগোষ্ঠ,	সংস্থা,	
teestaar,	টেস্টার,	তিস্তার,	
baugey,	বৌগে,	বাগে,	
falkati,	ফলককটি,	ফলকটি,	
donata,	দোনতা,	ডোনাট,	
ranangane,	রণাঙ্গনে,	রণাঙ্গনে,	
uposthit,	উপস্থিত,	উপস্থিত,	
rupdaan,	রূপদান,	রুপদান,	
suri,	সুরি,	সুরি,	
heje,	হেজে,	হেজ,	
pathkromer,	পাঠক্রমের,	পাঠক্রমের,	
dooburira,	দুবুরীরা,	ডুবুরিরা,	
dharmantar,	ধর্মন্তর,	ধর্মান্তর,	
chanu,	চান,	চানু,	
obikol,	অবিকল,	অবিকল,	
gotibege,	গতিবেগে,	গতিবেগে,	
kadarer,	কাদারের,	কদরের,	
mirakel,	মিরাকেল,	মিরাকেল,	
xpresion,	ক্রসিউশন,	এক্সপ্রেশন,	
vittiow,	ভিটিও,	ভিত্তিও,	
jockei,	জককেই,	জকি,	
fostar,	ফোস্টার,	ফস্টার,	
bbosben,	বসবেন,	বসবেন,	
durga,	দুর্গা,	দুর্গ,	
gaandaas,	গান্ডাস,	জ্ঞানদাস,	
oholya,	অল্যা,	অহল্যা,	
niurolaji,	নিউরোলজি,	নিউরোলজি,	
patisapta,	পতিসাপ্ত,	পাটিসাপটা,	
madhuree,	মধুরি,	মাধুরী,	
bhabanipur,	ভবানীপুর,	ভবানীপুর,	
prakalpotike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
nothivuktir,	নথিভূক্তির,	নথিভুক্তির,	
mache,	মেচে,	মাছে,	
mozlishpur,	মজলিস্পুর,	মজলিশপুর,	
nutan,	নতুন,	নূতন,	
kraima,	ক্রাম,	ক্রাইম,	
siima,	সীম,	সীমা,	
eshtoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
homshke,	হোমসকে,	হোমসকে,	
bulan,	বুলন,	বুলান,	
proteesthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
chyata,	চ্যাত,	চ্যাট,	
lobbytey,	লব্বীতে,	লবিতে,	
ekshotee,	একশটটি,	একশোটি,	
prostut,	প্রস্তুত,	প্রস্ত্তত,	
jyaqasana,	জ্যাকশন,	জ্যাকসন,	
daaktikiter,	ডাক্তিকিতের,	ডাকটিকিটের,	
sheramiksh,	শেরারিক্স,	সিরামিকস,	
shoreefpur,	শরীপপুর,	শরিফপুর,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
bolechiley,	বলেছিলে,	বলেছিলে,	
jess,	জেস,	জেস,	
rk,	রিক্,	আরকে,	
parijaner,	পরিজনের,	পরিজনের,	
ajeemke,	আজিমকে,	আজিমকে,	
qibord,	কিবোর্ড,	কীবোর্ড,	
kanda,	কান্দ,	কাণ্ড,	
dokaangulotey,	দাকানগুলোতে,	দোকানগুলোতে,	
mukhomandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
sajanor,	সাজানোর,	সাজানোর,	
shikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
bulano,	বুলনো,	বুলান,	
teoyana,	টিওনায়,	তাইওয়ান,	
gajano,	গাজন,	গজানো,	
narider,	নারীদের,	নারীদের,	
priimo,	প্রীম,	প্রিমো,	
ogovir,	অগভীর,	অগভীর,	
charzara,	চার্জার,	চার্জার,	
daoon,	ডাউন,	ডাউন,	
udvaboney,	উদ্ভবনে,	উদ্ভাবনে,	
nathivuktir,	নথিভূক্তির,	নথিভুক্তির,	
prothakey,	প্রথাকে,	প্রথাকে,	
prime,	প্রাইম,	প্রাইম,	
torun,	ত্রুন,	তরুন,	
duplee,	ডাপলি,	ডুপ্লে,	
trayte,	ট্রেট,	ট্রেতে,	
noitikatavodh,	নৈতিকাতবাধ,	নৈতিকতাবোধ,	
asantosh,	অশান্তস,	অসন্তোষ,	
srabosty,	শ্রবস্তি,	শ্রাবস্তী,	
odoore,	অদুরে,	অদুরে,	
average,	অ্যাভারেজ,	এভারেজ,	
niutrino,	নিউট্রিন,	নিউট্রিনো,	
hundayi,	হান্ডই,	হুন্দাই,	
boother,	বুঠের,	বুথের,	
thare,	দেয়ার,	থরে,	
adbhanced,	অ্যাডভান্ডে,	অ্যাডভান্সড,	
teto,	তে,	তেতো,	
vobotarini,	ভববারিনী,	ভবতারিণী,	
narsaari,	নার্সারী,	নার্সারি,	
install,	ইনস্টল,	ইন্সটল,	
zoubankal,	যৌবনকাল,	যৌবনকাল,	
heart,	হার্ট,	হার্ট,	
bishnuu,	বিষ্ণু,	বিষ্ণু,	
tennis,	টেননিস,	টেনিস,	
dweepgoolo,	দ্বীপগুলো,	দ্বীপগুলো,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
diares,	ডায়েরস,	ডিআরএস,	
farid,	ফরিদ,	ফরিদ,	
nirupita,	নিরূপিতা,	নিরূপিত,	
alaol,	আলল,	আলাওল,	
emargency,	এমার্জ্যান্সি,	এমার্জেন্সি,	
pratiyogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
jacksoner,	জ্যাকসনের,	জ্যাকসনের,	
roomantika,	রোমান্টিক,	রোমান্টিক,	
poorbancholer,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
monzooshree,	মন্জশ্রী,	মঞ্জুশ্রী,	
ganoporibahan,	গণপরিবহণ,	গণপরিবহন,	
ohollar,	ওললার,	অহল্যার,	
flask,	ফ্ল্স্ক,	ফ্লাস্ক,	
ingrezder,	ইংরেজ্ডের,	ইংরেজদের,	
seo,	সিওও,	সেও,	
aachhis,	আছিস,	আছিস,	
sohinsotar,	সহিষ্ণতার,	সহিংসতার,	
sunagarik,	সুনাগারিক,	সুনাগরিক,	
uindoo,	উইন্ডো,	উইন্ডো,	
idaning,	ইডনিং,	ইদানীং,	
sanaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
chotto,	চট্ব,	ছোট্ট,	
istonia,	ই্টোনিয়া,	এস্তোনিয়া,	
skarrt,	স্কার্ট,	স্কার্ট,	
botgach,	বটগাচ,	বটগাছ,	
eenameel,	এনেমেল,	এনামেল,	
kibord,	কিবোর্ড,	কীবোর্ড,	
agenda,	আজেন্দা,	এজেন্ডা,	
amudey,	আমুদে,	আমুদে,	
maddhukkori,	মধ্যক্রী,	মাধুকরী,	
teemplatee,	টেমপ্লেট,	টেম্পলেট,	
aidii,	আইড,	আইডিই,	
pacchi,	পাচ্চি,	পাচ্ছি,	
mugdhata,	মুগধাটা,	মুগ্ধতা,	
postkay,	পোস্টকে,	পোস্টকে,	
associates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
caaling,	ক্যালিং,	কুলিং,	
baruklin,	ব্যারকলিন,	ব্রুকলিন,	
enamela,	ইনামেল,	এনামেল,	
yukeliptas,	ইউকেলিপ্তাস,	ইউক্যালিপ্টাস,	
birishiritey,	বিরিসীতিতে,	বিরিশিরিতে,	
tochhnoch,	টক্ন,	তছনছ,	
transfarm,	ট্রান্সফার্ম,	ট্রান্সফর্ম,	
mayily,	মেলি,	মাইলি,	
taki,	টাকি,	তকি,	
ting,	টিং,	টিং,	
sinaake,	সিন্কাকে,	সিনাকে,	
sangosthaner,	সংগ্ঠানের,	সংস্থানের,	
lambate,	লম্বাতে,	লম্বাটে,	
manushtikey,	মনস্তিকে,	মানুষটিকে,	
kaaru,	কারু,	কারু,	
muhammader,	মুহাম্মাদের,	মুহম্মদের,	
choudhurio,	চৌধুরিও,	চৌধুরীও,	
chamsky,	চেমসিক,	চমস্কি,	
kaptai,	কপ্তাই,	কাপ্তাই,	
antarbhutto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
gosthi,	গষ্ঠী,	গোষ্ঠী,	
mononiitoder,	মনোনীতদের,	মনোনীতদের,	
lyataa,	ল্যাট,	ল্যাটা,	
ewer,	ইভার,	এভার,	
kkomatei,	কমাতেই,	কমাতেই,	
domonmulok,	দমনমূলক,	দমনমূলক,	
grooth,	গ্রুথ,	গ্রোথ,	
bhenise,	ভেনিসে,	ভেনিসে,	
engil,	এঞ্জেল,	ইঞ্জিল,	
ganoparibahaner,	গণপরিবহণের,	গণপরিবহনের,	
alauler,	আললউর,	আলাওলের,	
durotaumo,	দুরতমম,	দূরতম,	
zerusalem,	জেরুসালেম,	জেরুসালেম,	
jalarong,	জ্যালারং,	জলরঙ,	
soorti,	সূর্তি,	সুরটি,	
anshograhone,	অংশগ্রহণে,	অংশগ্রহনের,	
pratista,	প্রতিষ্ট,	প্রতিষ্টা,	
pratisthanikvabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
cheph,	চেফ,	শেফ,	
hantte,	হাঁততে,	হাঁটতে,	
shakara,	শককর,	সাকার,	
bishwashke,	বিশ্বাসকে,	বিশ্বাসকে,	
veenis,	ভেনিস,	ভেনিস,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
janosangyog,	জনসংব্য,	জনসংযোগ,	
dojo,	দজ,	ডোজো,	
dolgulo,	দলগুলো,	দলগুলোও,	
habshi,	হবশী,	হাবশী,	
hatochokito,	হতচকিত,	হতচকিত,	
siite,	সীটে,	শীতে,	
ingrejeeteo,	ইংরেজিতেও,	ইংরেজিতেও,	
aagost,	আগস্ট,	আগষ্ট,	
shatjoner,	সতজনের,	সাতজনের,	
kumarir,	কুমারির,	কুমারীর,	
karlosh,	কার্লস,	কার্লোস,	
protul,	প্রতুল,	প্রতুল,	
ingreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
ghesei,	ঘেষেই,	ঘেঁষেই,	
protizogiira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
koyeri,	কৈয়েরি,	কোয়েরি,	
kale,	কালে,	কালে,	
loukikotaa,	লৌকিকতা,	লৌকিকতা,	
abolokon,	অবলোক,	অবলোকন,	
planeti,	প্লানীটি,	প্লেনটি,	
bamander,	বামন্দের,	বামনদের,	
mauhajote,	মহাজতে,	মহাজোট,	
purbanchale,	পূর্বাঞ্চলে,	পূর্বাঞ্চলে,	
evar,	ইভার,	এভার,	
sampadan,	সম্পাদন,	সম্পাদন,	
sharther,	শর্থের,	স্বার্থের,	
mele,	মেলে,	মাইল,	
elaakaatir,	এলাকাটির,	এলাকাটির,	
isahak,	ইসহাক,	ইসাহাক,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
melbourner,	মেলবার্নের,	মেলবোর্নের,	
jorury,	জরুরী,	জরূরী,	
shukraanoo,	শুক্রাণু,	শুক্রানু,	
queri,	কুরি,	কোয়েরি,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
dharabhiko,	ধারাভিক,	ধারাবাহিকেও,	
raktaksharaner,	রক্তকসরণের,	রক্তক্ষরণের,	
juktorashtrasaha,	যুক্তরাস্ত্রসহ,	যুক্তরাষ্ট্রসহ,	
roktokhoron,	রক্তকরণ,	রক্তক্ষরণের,	
arina,	এরিন,	এরিনা,	
homesh,	হোমস,	হোমস,	
notunatva,	নতুনত্ব,	নতুনত্ব,	
pachhi,	পাচি,	পাচ্ছি,	
metropolitan,	মেট্রোপলিটান,	মেট্রোপলিটন,	
monmoth,	মন্ম,	মন্মথ,	
segulor,	সেগুলোর,	সেগুলোর,	
protisthasoho,	প্রতিষ্ঠাসহ,	প্রতিষ্ঠাসহ,	
istoniya,	ই্টোনিয়া,	এস্তোনিয়া,	
degreeo,	ডিগ্রীও,	ডিগ্রিও,	
ashocheton,	অসচেতন,	অসচেতন,	
enginiirs,	ইঙ্গিনের্স,	ইঞ্জিনিয়ার্স,	
tottenhamer,	তটটেহ্যামের,	টটেনহামের,	
shapholler,	সাফল্লের,	সাফল্যের,	
debug,	দেবুগ,	ডিবাগ,	
matorom,	মাতরম,	মাতরম,	
vatar,	ভাতার,	ভাতার,	
chhed,	ছেদ,	ছেদ,	
jatotaa,	যতটা,	যতোটা,	
dhos,	ধোষ,	ধস,	
gafilati,	গেফলাটি,	গাফিলতি,	
shommoteete,	সম্মতিতে,	সম্মতিতে,	
bard,	বার্ড,	বার্ড,	
madraji,	মাদ্রজী,	মাদ্রাজি,	
hugh,	হুঘ,	হিউজ,	
kaash,	কাশ,	কাস,	
showti,	শৌটি,	শোটি,	
zonsa,	জনস,	জোন্স,	
maryir,	মেরির,	ম্যারির,	
nodigulo,	নদিগুলো,	নদীগুলো,	
birishirite,	বিরিসীতিতে,	বিরিশিরিতে,	
prokolpoguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
bhittimool,	ভিট্তুমল,	ভিত্তিমূল,	
shoo,	শু,	শো,	
armenan,	আর্মেন,	আর্মেনিয়ান,	
lutharen,	লুথারেন,	লুথেরান,	
barbaadoj,	বার্বাদোজ,	বার্বাডোজ,	
aiiub,	আইউভ,	আইইউবি,	
butha,	বুথ,	বুথ,	
ameerika,	আমেরিকা,	আমেরিকা,	
satarkakari,	সতর্কারারী,	সতর্ককারী,	
zubokder,	যুবকদের,	যুবকদের,	
haluder,	হালুদের,	হলুদের,	
bedanto,	বেদান্ত,	বেদান্ত,	
dwipke,	দ্বীপকে,	দ্বীপকে,	
swarthe,	স্বার্থে,	স্বার্থে,	
sina,	সিন্গা,	সিনা,	
michir,	মিচির,	মিচির,	
ko,	কো,	কেও,	
chaudhurider,	চৌধুরিদের,	চৌধুরীদের,	
rudrer,	রুদ্রের,	রুদ্রের,	
kormyi,	কর্মই,	কর্মই,	
karadanda,	কারাদন্ড,	কারাদণ্ড,	
totokhon,	ততক্ষণ,	ততক্ষন,	
gavaskar,	গভষ্কার,	গাভাস্কার,	
yukeliptash,	ইউকেলিপ্তাস,	ইউক্যালিপ্টাস,	
kortonaa,	কর্তনা,	করতনা,	
sho,	শো,	শো,	
hili,	হিলি,	হিলি,	
pushtee,	পুষ্টি,	পুষ্টি,	
sikkhokder,	শিক্ষকদের,	শিক্ষকদের,	
sausaje,	সৌজেজ,	সসেজ,	
piruzali,	পিরুজলী,	পিরুজালী,	
dhyana,	ধ্যান,	ধ্যান,	
naobihar,	নববিহার,	নৌবিহার,	
jahora,	জাহরা,	যাহরা,	
tecnocrat,	টেকনোর্ট,	টেকনোক্র্যাট,	
harz,	হার্জ,	হার্জ,	
krisenter,	ক্রিসেট্নের,	ক্রিসেন্টের,	
faaj,	ফাজ,	ফাজ,	
modeling,	মোডিলিং,	মডেলিং,	
choudhoorider,	চৌধুরিদের,	চৌধুরীদের,	
qraima,	ক্রাম,	ক্রাইম,	
sampadaner,	সম্পাদনের,	সম্পাদনের,	
nebhatey,	নেভাতে,	নেভাতে,	
khele,	খেলে,	খেলে,	
poscater,	পশ্চাতের,	পশ্চাতের,	
jons,	জনস,	জোন্স,	
dacope,	ডাকোপ,	দাকোপ,	
graambasee,	গ্রামবাসী,	গ্রামবাসী,	
steena,	স্টেন,	স্টেন,	
oviyojan,	অভিযোজন,	অভিযোজন,	
abasane,	আবাসনে,	অবসানে,	
bhabna,	ভাবনা,	ভাবনা,	
pyaleshtainer,	প্লেসট্যাইনের,	প্যালেস্টাইনের,	
amstrong,	আমস্ট্রোং,	আর্মস্ট্রং,	
mumtazer,	মমতাজের,	মুমতাজের,	
turista,	তুরিষ্ট,	টুরিস্ট,	
homser,	হোমসের,	হোমসের,	
brindabaner,	বৃর্দবানের,	বৃন্দাবনের,	
asbar,	আসবার,	আসবার,	
aaireesh,	আইরিশ,	আইরিস,	
khatgosher,	খাত্ষোষের,	খরগোসের,	
venicey,	ভেনিসে,	ভেনিসে,	
agovir,	অগভীর,	অগভীর,	
gaafiloti,	গাফিলোটি,	গাফিলতি,	
diznii,	দিজনী,	ডিজনী,	
amiratas,	অ্যামিরাস,	এমিরেটাস,	
mitrata,	মিত্রতা,	মিত্রতা,	
lat,	লাট,	লাট,	
rikondison,	রিকন্ডসিশন,	রিকন্ডিশন,	
instant,	ইনস্ট্যান্ট,	ইনস্ট্যান্ট,	
streegan,	স্ত্রীগণ,	স্ত্রীগণ,	
kooda,	কোড,	কোড,	
timathy,	টিমাথী,	টিমোথি,	
hart,	হার্ট,	হার্ট,	
nirmolota,	নির্মলতা,	নির্মলতা,	
dabarer,	দাবারের,	দাবারের,	
aazeez,	আজিজ,	আজিজ,	
asammati,	অসাম্মতি,	অসম্মতি,	
wenice,	ভেনিস,	ভেনিস,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
soinyoder,	সৈন্যদের,	সৈন্যদের,	
ghomta,	ঘমমটা,	ঘোমটা,	
jeesa,	জেস,	জেস,	
provritir,	প্রভূতির,	প্রভৃতির,	
wault,	ভল্ট,	ভল্ট,	
maszid,	মাসজিদ,	মসজিদ,	
ganachin,	গানাছীন,	গণচীন,	
akla,	অকলা,	একলা,	
