tukror,	টুকরার,	টুকরোর,	
chandrimaa,	চন্দ্রামা,	চন্দ্রিমা,	
porishongkhanbid,	পরিসংখ্যাবিদ,	পরিসংখ্যানবিদ,	
anchalkey,	অঞ্চলকে,	অঞ্চলকে,	
oboshore,	অবশরে,	অবসরে,	
prabhritite,	প্রভূতিতে,	প্রভৃতিতে,	
farmat,	ফারমট,	ফরম্যাট,	
aatmobishwasi,	আত্মবিশ্মাসী,	আত্মবিশ্বাসী,	
ganokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
zyaka,	জ্যাক,	জ্যাক,	
sipht,	সিফট,	শিফট,	
panthaar,	পাঁথার,	পন্থার,	
suparichito,	সুপারিচিত,	সুপরিচিত,	
ganana,	গানান,	গণনা,	
melborne,	মেলবর্ণে,	মেলবোর্নে,	
fal,	ফাল,	ফল,	
torup,	তরুপ,	ট্রুপ,	
agom,	আগম,	আগম,	
land,	লণ্ড,	ল্যান্ড,	
aiiub,	আইউব,	আইইউবি,	
kriseenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
lesense,	লেসেন্স,	লাইসেন্স,	
dara,	ড্বারা,	দারা,	
shikshakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
kaando,	কান্ড,	কাণ্ড,	
monzooshree,	মঞ্জুরী,	মঞ্জুশ্রী,	
jwolbe,	জুলবে,	জ্বলবে,	
bruklin,	ব্রুকলিন,	ব্রুকলিন,	
uchchataro,	উচ্চতর,	উচ্চতর,	
shilpojat,	শিল্পজাত,	শিল্পজাত,	
oitijjo,	ঐতিজ্য,	ঐতিহ্য,	
sambhabonao,	সম্ভানাও,	সম্ভবনাও,	
baarnis,	বার্নিস,	বার্নিশ,	
dadar,	দাদার,	দাদার,	
moushum,	মৌসুম,	মৌসুম,	
asamanyo,	অসমান্য,	অসামান্য,	
pat,	পট,	পেত,	
aamude,	আমুদে,	আমুদে,	
duple,	ডাপল,	ডুপ্লে,	
chon,	চন,	ছোঁ,	
dankan,	দানকান,	ডানকান,	
phirtee,	ফিরতি,	ফিরতি,	
agamaner,	আগামানের,	আগমনের,	
porikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
muradkey,	মুরাদকে,	মুরাদকে,	
ingrejraa,	ইংরেজ্রা,	ইংরেজরা,	
choudhoorike,	চৌধুরিকে,	চৌধুরীকে,	
ekai,	একই,	একাই,	
parshwer,	পারস্যের,	পার্শ্বের,	
sangkalaney,	সংকলনে,	সংকলনে,	
pronoti,	প্রণতি,	প্রণতি,	
monjhoshtho,	মন্যস্থ,	মঞ্চস্থ,	
laeshesh,	লেইস,	লাইসেন্স,	
balabhadra,	বলভদ্র,	বলভদ্র,	
install,	ইনস্টল,	ইন্সটল,	
shahocharjo,	শাহচার্য,	সাহচর্য,	
metropalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
garjon,	গর্জন,	গর্জন,	
istonia,	ইস্টোনিয়া,	এস্তোনিয়া,	
jaygata,	জৈজত,	জায়গাটা,	
bondii,	বন্দি,	বন্দী,	
nesons,	নেসনস,	নেশনস,	
hamburger,	হামবুরাগের,	হামবুর্গের,	
dovaar,	দোবার,	ডোভার,	
aakabaar,	আকাবার,	আকাবার,	
prachin,	প্রাচীন,	প্রাচীন,	
bulano,	বুলানো,	বুলান,	
feemalee,	ফেমালী,	ফিমেল,	
vabanipur,	ভবানীপুর,	ভবানীপুর,	
prokolpeo,	প্রকল্পেও,	প্রকল্পেও,	
kiiborde,	কিবোর্ডে,	কীবোর্ড,	
jackshan,	জক্ষণ,	জ্যাকসন,	
jathaartho,	যথার্থ,	যথার্থ,	
gheshei,	ঘেষেই,	ঘেঁষেই,	
sanghitar,	সংহিতর,	সংহিতার,	
jyaqa,	জ্যাক,	জ্যাক,	
goreeb,	গরীব,	গরিব,	
joqy,	জকি,	জকি,	
tikta,	টিকটা,	তিক্ত,	
hiragaana,	হিরাগান,	হিরাগানা,	
taap,	টুপ,	ট্যাপ,	
faltu,	ফল্টু,	ফালতু,	
associetes,	অ্যাসোসিসেট,	এসোসিয়েটস,	
reshidence,	রেসিডেন্স,	রেসিডেন্স,	
siddhantoo,	সিদ্বান্ত,	সিদ্ধান্তও,	
tthela,	ঠেল,	ঠেলা,	
sollallhoo,	সোলাল্লাহু,	সল্লাল্লাহু,	
tokey,	তোকে,	ত্বকেই,	
leta,	লেট,	ল্যাটা,	
boudher,	বৌদের,	বৌদ্ধের,	
laatimer,	লাটিমের,	লাটিমের,	
capshule,	ক্যাপসুল,	ক্যাপসুল,	
casper,	ক্যাপের,	ক্যাসপার,	
durgatir,	দুর্গতির,	দুর্গটির,	
sanmukh,	সন্মুখ,	সন্মুখ,	
skarrt,	স্কার্ট,	স্কার্ট,	
bitlaser,	বিটলসের,	বিটলসের,	
seeramiks,	সিরামিক্স,	সিরামিকস,	
duckticketer,	ডাক্তিকেতের,	ডাকটিকিটের,	
ujobekeestan,	উজবেকস্তান,	উজবেকিস্তান,	
rights,	রাইটস,	রাইটস,	
funding,	ফান্ডিং,	ফান্ডিং,	
dobhar,	দোবার,	ডোভার,	
chhattroraai,	ছাত্ররাই,	ছাত্ররাই,	
khelafatey,	খেলাফতে,	খেলাফতে,	
mmadhobbir,	মাধবীর,	মাধবীর,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
masjidke,	মাসজিদকে,	মসজিদকে,	
jotinkey,	জটিনকে,	যতীনকে,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
kortaam,	কর্তাম,	করতাম,	
antarctica,	অন্টর্টেকি,	অ্যান্টার্কটিকার,	
debdebeer,	দেবদেবির,	দেবদেবীর,	
raits,	রাইট,	রাইটস,	
melbourney,	মেলবূর্নে,	মেলবোর্নে,	
gajano,	গাজন,	গজানো,	
bojhe,	বহে,	বোঝে,	
janalo,	জানালো,	জানালো,	
senior,	সেনিওর,	সিনিয়র,	
tenish,	টেনিস,	টেনিস,	
chaalke,	চালকে,	চালকে,	
omorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
drishi,	দৃশি,	দৃশ্যই,	
gemser,	গেমসের,	জেমসের,	
bufer,	বাফার,	বাফার,	
enginears,	ইঞ্জিনার্স,	ইঞ্জিনিয়ার্স,	
bee,	বি,	বি,	
baitsh,	বাইস,	বাইটস,	
tyuner,	টিউনের,	টিউনার,	
ajiban,	আজিবান,	আজীবন,	
armstrang,	আর্স্ট্রাং,	আর্মস্ট্রং,	
nisad,	নিষদদ,	নিষাদ,	
graambaasi,	গ্রাম্বাসী,	গ্রামবাসী,	
hook,	হোক,	হুক,	
thanvi,	থাঁভী,	থানভী,	
pooroheetke,	পুরোহতিকে,	পুরোহিতকে,	
machti,	মাছটি,	মাছটি,	
mosjidkey,	মস্জিদকে,	মসজিদকে,	
mithener,	মিঠেনের,	মিথেনের,	
agahir,	আগাহীর,	অগভীর,	
emarjenshi,	এমার্জেন্সি,	এমার্জেন্সি,	
udbodhone,	উদ্বোধনে,	উদ্বোধনে,	
poroborti,	পরবর্তী,	পরর্বতী,	
chalochchitreei,	চলচিত্রি,	চলচ্চিত্রেই,	
banijyikvittey,	বানিজিকিত্তিতে,	বাণিজ্যিকভিত্তিতে,	
bisnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
satyaky,	সত্যকি,	সাত্যকি,	
durgotsab,	দুর্গতসব,	দুর্গোৎসব,	
shukna,	শুকনা,	শুকনা,	
homeser,	হোমেশের,	হোমসের,	
olongkaron,	অলংকরণ,	অলঙ্করণ,	
nandolal,	নন্দলল,	নন্দলাল,	
spreedashita,	স্প্রাডাসিট,	স্প্রেডশীট,	
gosthike,	গোষ্ঠীকে,	গোষ্ঠীকে,	
mmeloborrne,	মেলবর্ণে,	মেলবোর্নে,	
bodh,	বধ,	বোধ,	
gavashkar,	গভাষকার,	গাভাস্কার,	
gabeshona,	গবেষণা,	গবেষনা,	
valobasar,	ভালবাসার,	ভালোবাসার,	
shoilee,	শৈলী,	শৈলী,	
yatharthabhabe,	যথার্থভাবে,	যথার্থভাবে,	
juktorastrey,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
hole,	হলে,	হোল,	
adarsho,	আদর্শ,	আর্দশ,	
valobasey,	ভালবাসে,	ভালোবাসে,	
soourse,	সোর্স,	সোর্স,	
ghotol,	ঘটল,	ঘটল,	
rifleks,	রাইফেলক্স,	রিফ্লেক্স,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
dilam,	ডিলাম,	দিলাম,	
chorchito,	চর্চিত,	চর্চিত,	
aastikota,	অস্তিকতা,	আস্তিকতা,	
spreadsiit,	স্প্রেডসাট,	স্প্রেডশীট,	
abhidhanik,	অভিধানিক,	অভিধানিক,	
daaoon,	দাউন,	ডাউন,	
laagche,	লাগচে,	লাগছে,	
byabaharkareeke,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
bohal,	বহল,	বহাল,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
utsahi,	উত্সাহী,	উৎসাহী,	
rohosyoti,	রহস্যটি,	রহস্যটি,	
debdebee,	দেবদেবি,	দেবদেবী,	
tuku,	টুকু,	টুকু,	
visnu,	ভিষ্ণু,	বিষ্ণু,	
jes,	যেশ,	জেস,	
beem,	বীম,	বিম,	
pana,	পানা,	পানা,	
dhouto,	ধুত,	ধৌত,	
uchchotaro,	উচ্চতর,	উচ্চতর,	
paira,	পাইরা,	পাইরা,	
rejidence,	রেজিডেন্স,	রেসিডেন্স,	
aaminar,	আমিনার,	আমিনার,	
ispredshit,	ইসপ্রেডসিট,	স্প্রেডশীট,	
satarkata,	সর্তকতা,	সতর্কতা,	
maailkhanek,	মাইলখানক,	মাইলখানেক,	
timothy,	তিমথি,	টিমোথি,	
sangkoolan,	সংকুলন,	সংকুলান,	
breakthraugh,	ব্রেক্রাাগ,	ব্রেকথ্রু,	
inapharameshana,	ইনফরেমশন,	ইনফরমেশন,	
sima,	সীম,	সীমা,	
whole,	হোলে,	হোল,	
arke,	অর্কে,	আরকে,	
shulkey,	শুলকে,	শুল্কে,	
shiqha,	শিখা,	শিখ,	
quari,	কোয়ারি,	কোয়েরি,	
observer,	অবশের্ভের,	অবজার্ভার,	
vaibonera,	ভাইবনেরা,	ভাইবোনেরা,	
informeshon,	ইনফর্মেশন,	ইনফরমেশন,	
jyakashana,	জ্যাকশন,	জ্যাকসন,	
zubokshoho,	যুবসকহ,	যুবকসহ,	
balokarok,	বালকরাক,	বলকারক,	
jaaluk,	জালুক,	জ্বলুক,	
elakatike,	এলাকাতিকে,	এলাকাটিকে,	
haripur,	হরিপুর,	হরিপুর,	
sirameeks,	শিরামিক্স,	সিরামিকস,	
tinhajar,	তিনহাজার,	তিনহাজার,	
daankan,	ডানকান,	ডানকান,	
jatee,	জাতি,	যাতি,	
nothivookta,	নথিভুক্ত,	নথিভুক্ত,	
bronze,	ব্র্জ,	ব্রোঞ্জ,	
militaryte,	মিলিটারিতে,	মিলিটারিতে,	
meloonborroner,	মেলনবর্ণের,	মেলবোর্নের,	
nabam,	নবম,	নবম,	
pustir,	পুস্তির,	পুষ্টির,	
gronthao,	গ্রন্থাও,	গ্রন্থও,	
elaakate,	এলাকাতে,	এলাকাতে,	
ragei,	রাগেই,	রাগেই,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
mitro,	মিত্রো,	মিত্র,	
chalachchitrai,	চলচিত্রে,	চলচ্চিত্রই,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
bhaskor,	ভাস্কর,	ভাস্কর,	
leetteer,	লেটটর,	লেটার,	
qyanela,	ক্যানেল,	ক্যানেল,	
bishnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
raunanganey,	রণাঙ্গনে,	রণাঙ্গনে,	
aziz,	আজিজ,	আজিজ,	
shatoke,	শাতকে,	শতকে,	
kiirti,	কীরটি,	কীর্তি,	
kyashpar,	ক্যাসপার,	ক্যাসপার,	
chhutee,	ছুটি,	ছুটি,	
keraam,	কেরাম,	কেরাম,	
jathan,	যথন,	যথন,	
simaa,	সীমা,	সীমা,	
stena,	স্টেন,	স্টেন,	
basakey,	বসাকে,	বাসাকে,	
remacry,	রেমকারি,	রেমাক্রী,	
aunti,	অ্যান্টি,	আন্টি,	
scare,	স্কার,	স্কোর,	
abhidhaanik,	আভিধানিক,	অভিধানিক,	
taroni,	তারণই,	তরণী,	
choudhurir,	চৌধুরির,	চৌধুরীর,	
turisht,	টুরিস্ট,	টুরিস্ট,	
udbodhoni,	উদ্বোধনী,	উদ্বোধনী,	
uposthitir,	উপস্থিতির,	উপস্থিতির,	
aholya,	আহলো,	অহল্যা,	
baipasa,	বাইপোস,	বাইপাস,	
kortona,	কর্তনা,	করতনা,	
lesensa,	লেসেন্স,	লাইসেন্স,	
tikka,	টিক্ক,	টিক্কা,	
kartona,	কর্টনা,	করতনা,	
jyestha,	জ্যেস্থ,	জ্যেষ্ঠা,	
chedon,	চিদন,	ছেদন,	
kloj,	ক্লোজ,	ক্লজ,	
dee,	দে,	ডে,	
niutrina,	নিউট্রিন,	নিউট্রিনো,	
ongshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
bhumija,	ভূমিজা,	ভূমিজ,	
prostutkarak,	প্রস্তুতকারক,	প্রস্তুতকারক,	
kheley,	খেলে,	খেলে,	
hafez,	হাফেজ,	হাফেয,	
grambashi,	গ্রাম্াাসী,	গ্রামবাসী,	
aasirbaad,	আশীর্বাদ,	আশির্বাদ,	
kaatbey,	কাটবে,	কাটবে,	
gaadha,	গাধা,	গাধা,	
sofier,	সফির,	সোফির,	
ganonatya,	গণনাত্য,	গণনাট্য,	
tochnochh,	তচনন,	তছনছ,	
chenza,	চেঞ্জ,	চেঞ্জ,	
fareksa,	ফরেক্স,	ফরেক্স,	
duuma,	দমা,	দুমা,	
admiral,	অ্যামমিরাল,	এডমিরাল,	
ateeteo,	আতিতেও,	অতীতেও,	
lombate,	লম্বাতে,	লম্বাটে,	
joneser,	জোনসের,	জোন্সের,	
pchok,	ছক,	পাচক,	
ganakantho,	গণকণ্ঠ,	গণকণ্ঠ,	
lampat,	ল্যাপ্টা,	লম্পট,	
sikkhartheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
shoori,	শুরি,	সুরি,	
pratijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
assastikar,	অস্বশ্তিকার,	অস্বস্তিকর,	
ajeempoor,	অজিমপুর,	আজিমপুর,	
kokeyin,	কোকেন,	কোকেইন,	
pingnaa,	পিঙ্গ,	পিংনা,	
kingdam,	কিংগম,	কিংডম,	
gadhaa,	গাধা,	গাধা,	
parijaner,	পরিজনের,	পরিজনের,	
baysharkarikarone,	বেসরকারীকরণ,	বেসরকারিকরণ,	
avinetar,	অভিনেতার,	অভিনেতার,	
groth,	গ্রথ,	গ্রোথ,	
ajijur,	আজিজুর,	আজিজুর,	
hoomes,	হোমেস,	হোমস,	
progress,	প্রোগ্রেস,	প্রগ্রেস,	
di,	ডি,	দিই,	
norpholk,	নর্ফল্ক,	নরফোক,	
sudhui,	শুধুই,	শুধুই,	
manonitader,	মনননততের,	মনোনীতদের,	
salafeta,	সলাফেট,	সালফেট,	
philipiner,	ফিলিপিনের,	ফিলিপাইনের,	
protul,	প্রতুল,	প্রতুল,	
harja,	হার্জ,	হার্জ,	
mayily,	মেলি,	মাইলি,	
stone,	স্তনে,	স্টোন,	
debholapar,	ডেভলপার,	ডেভলপার,	
romantik,	রোমান্তিক,	রোমান্টিক,	
commander,	কমান্ডের,	কমাণ্ডার,	
manab,	মানব,	মানব,	
bhogiroth,	ভগগীর,	ভগীরথ,	
beildaar,	বিল্দার,	বিল্ডার,	
hugeke,	হুগকে,	হিউজকে,	
sherup,	শেরুপ,	সেরূপ,	
bonbhumite,	বনভূমিতে,	বনভূমিতে,	
said,	সেড,	সাইদ,	
peto,	পেটো,	পেত,	
telakucha,	তেলাকুচা,	তেলাকুচা,	
torunra,	তরুনা,	তরুণরা,	
korkotkraantee,	কর্তক্রান্তি,	কর্কটক্রান্তি,	
paikgacha,	পৈকগাছা,	পাইকগাছা,	
lisens,	লিসেন্স,	লাইসেন্স,	
dormitory,	ডরমেটরি,	ডরমিটরি,	
pleta,	প্লেট,	প্লেটো,	
teksuser,	টেক্সুসের,	টেক্সাসের,	
bona,	বোনা,	বোনা,	
jworer,	জুরের,	জ্বরের,	
phala,	ফাল,	পোলো,	
rekhapat,	রেখাপত,	রেখাপাত,	
bordhitangsho,	বর্ধিতংস,	বর্ধিতাংশ,	
stalin,	স্তালিন,	স্টালিন,	
meghkey,	মেঘকে,	মেঘকে,	
notunatva,	নতুনত্ব,	নতুনত্ব,	
paite,	পাতে,	পাইতে,	
chhon,	ছন,	ছোঁ,	
toroonra,	তরুনা,	তরুণরা,	
maadhoori,	মাধুরি,	মাধুরী,	
dobhaar,	দোভার,	ডোভার,	
temon,	টেমন,	তেমন,	
nothibhookta,	নথিভুক্ত,	নথিভুক্ত,	
sangbadmadhyome,	সংবাদধম্যে,	সংবাদমাধ্যমে,	
samratder,	সমরদদ্ের,	সম্রাটদের,	
jacqson,	জ্যাকশন,	জ্যাকসন,	
scoore,	স্কোর,	স্কোর,	
sibiai,	সিবিয়ে,	সিবিআই,	
uthhe,	উঠে,	উঠে,	
dipti,	দীপ্তি,	ডেপুটি,	
iyaqa,	ইয়ক,	ইয়াক,	
nitikotha,	নীতিকথা,	নীতিকথা,	
kolahol,	কলাহোল,	কোলাহল,	
rakhtokkharoner,	রক্তখরণের,	রক্তক্ষরণের,	
asamonjasyopurno,	অসমানস্যূপূণ্ণ,	অসামঞ্জস্যপূর্ণ,	
kiiborder,	কীবোরদের,	কীবোর্ডের,	
jonomukhi,	জনমুখী,	জনমুখী,	
labanaktatar,	লবনাক্ততা,	লবণাক্ততার,	
hunayn,	হানাইন,	হুনাইন,	
eute,	ইউটি,	ইইউতে,	
bagdady,	বাগদদী,	বাগদাদী,	
teemothy,	তেমথি,	টিমোথি,	
asamonjoshyopurno,	অসমসন্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
shommotite,	সম্মতিতে,	সম্মতিতে,	
tennise,	টেনিস,	টেনিসে,	
cholochchitraeei,	চলচিত্রেই,	চলচ্চিত্রেই,	
eidaning,	এডডনিং,	ইদানীং,	
armstrong,	আর্স্ট্রাং,	আর্মস্ট্রং,	
shaajaanor,	সাজানোর,	সাজানোর,	
uposhthitir,	উপস্থিতির,	উপস্থিতির,	
rinatmok,	ঋণাত্মক,	ঋনাত্মক,	
degreeke,	ডিগ্রীকে,	ডিগ্রিকে,	
karo,	কারও,	কারো,	
asammati,	অসম্মতি,	অসম্মতি,	
durotomm,	দূরোতম,	দূরতম,	
silwar,	সিলভার,	সিলভার,	
roktokhoron,	রক্তচরণ,	রক্তক্ষরণের,	
proshikkhone,	প্রশিক্ষণে,	প্রশিক্ষণে,	
artillery,	আর্টিলারি,	আর্টিলারি,	
ganochiner,	গণচিনের,	গণচীনের,	
chaudhurider,	চৌধুরিদের,	চৌধুরীদের,	
nathibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
ooipoka,	উইপকো,	উইপোকা,	
dwip,	দ্বীপ,	দীপ,	
vushito,	ভূষিত,	ভূষিত,	
basinay,	বাসিনে,	বেসিনে,	
uchchatara,	উচ্চতারা,	উচ্চতর,	
serverer,	সার্ভারের,	সার্ভারের,	
reejur,	রেজুর,	রিজুর,	
pattern,	প্যাটার্ন,	প্যাটার্ন,	
nowel,	নেভেল,	নভেল,	
canton,	ক্যান্টন,	ক্যান্টন,	
dajjho,	দজ্য,	দাহ্য,	
boarana,	বোরান,	বোরন,	
choudhooreeo,	চৌধুরিও,	চৌধুরীও,	
loukikataa,	লৌকিকতা,	লৌকিকতা,	
shitei,	শিটেই,	শীতেই,	
hobu,	হবু,	হবু,	
prabhuder,	প্রভূদের,	প্রভুদের,	
phareqsa,	ফোরেক্স,	ফরেক্স,	
eskol,	এসকল,	এসকল,	
bhaangchur,	ভাঙচুর,	ভাংচুর,	
prasadhaner,	প্রসাধানের,	প্রসাধনের,	
majdur,	মজদুর,	মজদুর,	
akhaate,	আখাতে,	একহাতে,	
grambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
chitranatyakar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
sangbadmadhyomgulote,	সংবাদদম্গলততে,	সংবাদমাধ্যমগুলোতে,	
dharavahiktite,	ধারাভাভিত্তি,	ধারাবাহিকটিতে,	
pratijogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
aalaa,	আলা,	আলা,	
puncho,	পুঞ্চ,	পুঞ্চ,	
hertj,	হার্টজ,	হার্জ,	
nariider,	নারীদের,	নারীদের,	
baarakpur,	ব্যারাকপুর,	বারাকপুর,	
nikater,	নিকটের,	নিকটের,	
kemonay,	কেমনে,	কেমনে,	
ancieent,	অ্যানেসন্ট,	এনসিয়েন্ট,	
abheedhaaneec,	অভিধানিক,	অভিধানিক,	
onkush,	অঙ্কুশ,	অংকুশ,	
gazipore,	গজিপুর,	গাজীপুর,	
directorate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
khudey,	খুদে,	ক্ষুদে,	
shcholastiq,	স্কলাস্তিক,	স্কলাস্টিক,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
onektai,	অনেকটাই,	অনেকটাই,	
shaahaabaah,	সাহাবাহ,	সাহাবাহ,	
advansed,	অ্যাডভানেস,	অ্যাডভান্সড,	
chaka,	চোক,	চাকা,	
rubidiyaam,	রুবিডিয়াম,	রুবিডিয়াম,	
bonshi,	বংশী,	বংশী,	
mookhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
porisromii,	পরিস্রামী,	পরিশ্রমী,	
diznee,	দিজনী,	ডিজনী,	
eenjil,	এঞ্জেল,	ইঞ্জিল,	
lokhindare,	লকিষ্ণারে,	লখিন্দরের,	
puddin,	পুদদীন,	পুডিং,	
prokare,	প্রকারে,	প্রকারে,	
nodigulo,	নদিগুলো,	নদীগুলো,	
gonesh,	গণেস,	গণেশ,	
drishyagulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
chaudhurio,	চৌধুরিও,	চৌধুরীও,	
ekspression,	এক্সপ্রেশন,	এক্সপ্রেশন,	
doobate,	দুবতে,	ডুবাতে,	
benis,	বেনিস,	ভেনিস,	
danut,	দানউট,	ডোনাট,	
goori,	গুরি,	গোরি,	
daakope,	ডাকোপে,	দাকোপ,	
gondhe,	গন্ধে,	গন্ধে,	
akjoge,	একোোগে,	একযোগে,	
firoza,	ফিরজা,	ফিরোজা,	
mojlishpur,	মজলিস্পুর,	মজলিশপুর,	
osontos,	অসন্তস,	অসন্তোষ,	
everage,	এভারেজ,	এভারেজ,	
gandhiio,	গান্ধীও,	গান্ধীও,	
shaahocharjo,	সাহচর্য,	সাহচর্য,	
pharna,	ফারন,	ফার্ন,	
cloud,	ক্লদ,	ক্লাউড,	
bheenama,	ভেনাম,	ভেনম,	
ikbaaler,	একবালের,	ইকবালের,	
songasthagulo,	সংস্তাগুলো,	সংস্থাগুলো,	
craze,	ক্রেজ,	ক্রেজ,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
sattoki,	সত্যকি,	সাত্যকি,	
bishwasho,	বিশ্বাস,	বিশ্বাসও,	
haldim,	হালদিং,	হোল্ডিং,	
nyaper,	ম্যাপের,	ন্যাপের,	
ponni,	পন্নী,	পন্নী,	
shite,	শীটে,	শীতে,	
