dibeta,	দিবিতা,	ডিবেট,	
prity,	প্রীতি,	প্রিটি,	
mozdur,	মজ্দুর,	মজদুর,	
hoole,	হুলে,	হোল,	
muhurtoti,	মূহুর্তি,	মুহুর্তটি,	
ajeemke,	অ্যামামকে,	আজিমকে,	
ayantarqatiqa,	অ্যান্টারকেট,	অ্যান্টার্কটিকা,	
adhyatmik,	আধ্যাত্মিক,	আধ্যাত্মিক,	
sabyastha,	সাব্যস্ত,	সাব্যস্থ,	
pustir,	পুস্টির,	পুষ্টির,	
times,	টিইমস,	টাইমস্,	
macho,	মাচ,	মাছও,	
dail,	ডেল,	ডেইল,	
skarrt,	স্কার্ট,	স্কার্ট,	
letara,	লেটারা,	লেটার,	
chatoke,	ছাটকে,	ছাতকে,	
manir,	মণির,	মনির,	
totokshon,	ততক্ষণ,	ততক্ষন,	
rajpurohit,	রাজপুরীহুত,	রাজপুরোহিত,	
mekbeth,	মেকবেথ,	ম্যাকবেথ,	
bharma,	ভারমা,	ভার্মা,	
nesanasa,	নেশাসন,	নেশনস,	
jamkaalo,	জামকাল,	জমকালো,	
onupater,	অনুপতের,	অনুপাতের,	
phood,	ফুদ,	ফুড,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
sangbadmadhyome,	সংবাদমধম্যম,	সংবাদমাধ্যমে,	
sector,	সেক্টর,	সেক্টর,	
thaii,	থাই,	থাই,	
satan,	সাতন,	শয়তান,	
rajatta,	রাজত্ব,	রাজত্ব,	
gitikobita,	গীতিকাবিত,	গীতিকবিতা,	
oitijhyey,	ঐতিহ্যে,	ঐতিহ্যে,	
pharanyata,	ফরর্যাত,	ফরম্যাট,	
meghacchonno,	মেগাছছন্ন,	মেঘাচ্ছন্ন,	
chalta,	চলত,	চালতা,	
tochnoch,	তোচন,	তছনছ,	
karmake,	কর্মকে,	কর্মকে,	
kheylechen,	খেলেছেন,	খেলেছেন,	
paramartha,	পরামর্থ,	পরমার্থ,	
turkider,	তুর্কীদের,	তুর্কিদের,	
soundarja,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
maaktume,	মাককুম,	মাকতুম,	
baffer,	বাফের,	বাফার,	
grambasio,	গ্রামসাসিও,	গ্রামবাসীও,	
prastutkarak,	প্রস্তুতকারক,	প্রস্তুতকারক,	
pratisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
shkalashtika,	স্কলসাটিক,	স্কলাস্টিক,	
siddhantoo,	সিদ্ধনট্,	সিদ্ধান্তও,	
azaadeer,	আজাদীর,	আজাদীর,	
cooling,	কুলিং,	কুলিং,	
spreadshiit,	স্প্রেসসি,	স্প্রেডশীট,	
loukikota,	লৌকিকতা,	লৌকিকতা,	
kemaney,	কেমনে,	কেমনে,	
probeshkari,	প্রবেশকারী,	প্রবেশকারী,	
footballerder,	ফুটবললেদের,	ফুটবলারদের,	
otyacharita,	অত্যাচারিত,	অত্যাচারিত,	
sheekarke,	শিকারকে,	শিকারকে,	
ghaghat,	ঘাঘত,	ঘাঘট,	
atohar,	আতাহর,	আতহার,	
hert,	হার্ট,	হার্ট,	
garur,	গরুর,	গরুর,	
kaanaai,	কানাই,	কানাই,	
sarbhare,	সাররভাে,	সার্ভারে,	
iub,	ইউউি,	আইইউবি,	
harisoner,	হারিসনের,	হ্যারিসনের,	
doulaa,	দলা,	দৌলা,	
madraji,	মাদরাজি,	মাদ্রাজি,	
bonoshri,	বনশ্রী,	বনশ্রী,	
hizritey,	হিজরিতে,	হিজরীতে,	
shoodhooi,	সুধুই,	শুধুই,	
dadaa,	ডাডা,	দাদা,	
bedanto,	বেদন্ত,	বেদান্ত,	
turkmeen,	টার্কমীন,	তুর্কমেন,	
bamon,	বামন,	বামন,	
mutar,	মুটার,	মুতার,	
abdoor,	আব্দুর,	আবদুর,	
horidar,	হরিদার,	হরিদ্বার,	
windos,	উইন্ডোজ,	উইন্ডোস,	
akritakarjo,	আক্রেকার্া,	অকৃতকার্য,	
zerusalemer,	জিরুজালেম,	জেরুজালেমের,	
mitroder,	মিত্রদের,	মিত্রদের,	
prokolpeo,	প্রকল্পেও,	প্রকল্পেও,	
shaater,	সাতের,	শ্যুটার,	
marjito,	মার্জিত,	মার্জিত,	
olangkoron,	অলঙ্করণ,	অলঙ্করণ,	
biphal,	বিফল,	বিফল,	
koushalgato,	কৌশলগত,	কৌশলগত,	
jyaqasana,	জ্যাকশন,	জ্যাকসন,	
shaapholler,	সাফল্যের,	সাফল্যের,	
uponishod,	উপনিষদ,	উপনিষদ,	
madhobike,	মাধবীকে,	মাধবীকে,	
maaktoome,	মক্তমম,	মাকতুম,	
avishangson,	অভিসংস,	অভিশংসন,	
chaaka,	চাকা,	চাকা,	
antorvuktimulok,	অন্তর্ভূক্তমলক,	অন্তর্ভুক্তিমূলক,	
konruup,	কনরুপ,	কোনরূপ,	
kormyi,	কর্মী,	কর্মই,	
nyeta,	ন্যাট,	ম্যাট,	
gostigoolo,	গস্তিগুলো,	গোষ্ঠীগুলো,	
naker,	নাকের,	নেকের,	
sotorkota,	সর্তকতা,	সতর্কতা,	
vageryi,	ভাগেরই,	ভাগেরই,	
jetei,	জেতেই,	যেতেই,	
udbhabane,	উদ্ভাবনে,	উদ্ভাবনে,	
piroojalee,	পিরোজালী,	পিরুজালী,	
muktilabh,	মুক্তিলভভ,	মুক্তিলাভ,	
vangey,	ভাঙে,	ভাঙ্গে,	
vorpur,	ভরপুর,	ভরপুর,	
manohar,	মনোহার,	মনোহর,	
choudhureer,	চৌধুরির,	চৌধুরীর,	
shelina,	শেলিনা,	সেলিনা,	
asamorik,	আসামররক,	অসামরিক,	
oopohoron,	অপহরণ,	অপহরন,	
tofat,	তফাট,	তফাৎ,	
qloud,	ক্লাউড,	ক্লাউড,	
iling,	এলিং,	ইলিং,	
sikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
ragi,	রাগি,	রাগী,	
nongra,	নংগরা,	নোংরা,	
besharkarikarone,	বেসরকারীকরণ,	বেসরকারিকরণ,	
noiteek,	নৈতিক,	নৈতিক,	
gaujano,	গৌজনা,	গজানো,	
amarendro,	অমরেন্দ্র,	অমরেন্দ্র,	
nirorthok,	নিরোর্থক,	নিরর্থক,	
chalochchitroke,	চলচিত্রককে,	চলচ্চিত্রকে,	
sawam,	সাভ,	সাওম,	
hugheke,	হুগেকে,	হিউজকে,	
nirdeshika,	নির্দেশিকা,	নির্দেশিকা,	
diaraesha,	ডাই়রশ,	ডিআরএস,	
cheess,	চিস,	চেস,	
jyestha,	জেস্ঠা,	জ্যেষ্ঠা,	
maddhuri,	মাধুরি,	মাধুরী,	
shikshakke,	শিক্ষককে,	শিক্ষককে,	
bhalobasar,	ভালবাসার,	ভালোবাসার,	
prokare,	প্রকারে,	প্রকারে,	
byabaharkareei,	ব্যবহারকারি,	ব্যবহারকারীই,	
ronodeep,	রণোদীপ,	রণদীপ,	
beshirvagei,	বেশিরভাগে,	বেশিরভাগেই,	
debeting,	ডেবেটিং,	ডিবেটিং,	
gitikobitar,	গীতিকাবিত,	গীতিকবিতার,	
kiuti,	কিউটি,	কিউটি,	
shaahocharjo,	সাহচর্য,	সাহচর্য,	
muhit,	মুহিত,	মুহিত,	
evaner,	ইভানের,	ইভানের,	
onodhikaar,	অনধিকার,	অনধিকার,	
vugoley,	ভুগললে,	ভূগোলে,	
shahocharjo,	শহচর্্,	সাহচর্য,	
shastra,	সাস্ট্র,	শাস্ত্র,	
shoreef,	শরীফ,	শরিফ,	
dupleex,	ডাপ্লিক্স,	ডুপ্লে,	
chalachchitrei,	চালাচ্তেরেই,	চলচ্চিত্রেই,	
thanvi,	থান্ভি,	থানভী,	
bissashe,	বিশ্বাসে,	বিশ্বাসে,	
loukeekotaa,	লৌকিকা,	লৌকিকতা,	
choity,	চৈতি,	চৈতি,	
bikretaara,	বিক্রেটার,	বিক্রেতারা,	
aagom,	আগম,	আগম,	
kranti,	ক্রান্টি,	ক্রান্তি,	
vishnuu,	বিষ্ণু,	বিষ্ণু,	
mekong,	মেযাঙ,	মেকং,	
laiseensim,	লেসিসিং,	লাইসেন্সিং,	
jibanjapon,	জীবাঞানাপুন,	জীবনযাপন,	
ajeempur,	অজিমপুর,	আজিমপুর,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
daakteekite,	ডাকতিটিতে,	ডাকটিকিটে,	
dembakriti,	ডেম্বাকৃতি,	ডিম্বাকৃতি,	
paksenaara,	পাকশেনার,	পাকসেনারা,	
kompekt,	কমপ্কেক্ট,	কমপ্যাক্ট,	
romancha,	রোমাঞ্চা,	রোমাঞ্চ,	
saahosikotar,	সাহিকততার,	সাহসিকতার,	
reetesh,	রীটেস,	রিতেশ,	
ashamarthita,	অসমবর্রিত,	অসমর্থিত,	
agovir,	অগুীর,	অগভীর,	
bhaskor,	ভাস্কর,	ভাস্কর,	
antarbhuttirmulok,	অন্তর্ভূক্তমূলল,	অন্তর্ভুক্তিমূলক,	
baraak,	বারক,	বারাক,	
disney,	ডিজনে,	ডিজনী,	
uposthit,	উপস্থিত,	উপস্থিত,	
shektara,	সেক্টার,	সেক্টর,	
brekathru,	ব্রেকাাুর্,	ব্রেকথ্রু,	
ajuhat,	অজুহাথ,	অজুহাত,	
kkunti,	কুনটি,	কুন্তী,	
sainyo,	সৈননয,	সৈন্য,	
agom,	অগম,	আগম,	
nirmol,	নির্মল,	নির্মল,	
seekkhokke,	শিক্ষককে,	শিক্ষককে,	
gasthigulo,	গ্যাস্থ্গুলো,	গোষ্ঠীগুলো,	
bashoborty,	বাসবোর্টি,	বশবর্তী,	
sohingsotar,	সহিংস্টার,	সহিংসতার,	
chironton,	চিরন্তন,	চিরন্তন,	
taala,	তালা,	তালা,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
ashankai,	অসঙঙ্কাই,	আশঙ্কাই,	
ddheela,	ঢেলা,	ঢিলা,	
omkar,	অমকার,	ওঙ্কার,	
abarto,	অবর্ত,	আবর্ত,	
temoni,	টেমনি,	তেমনই,	
amitrakkhor,	আমিত্রক্ষার,	অমিত্রাক্ষর,	
prostototo,	প্রস্তততত,	প্রস্ত্তত,	
vagni,	ভাগ্নি,	ভগ্নী,	
armastram,	আররমস্টার,	আর্মস্ট্রং,	
roktokshoroney,	রক্তকশণরে,	রক্তক্ষরণে,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
jatok,	যাতক,	জাতক,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
byan,	ব্যান,	ব্যাং,	
charban,	চর্বান,	চর্বন,	
restuarant,	রেস্টুরেন্ট,	রেষ্টুরেন্ট,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
sumitrar,	সুমিট্রার,	সুমিত্রার,	
gardena,	গার্ডেন,	গার্ডেন,	
hool,	হুল,	হুল,	
muhammad,	মুহাম্মাদ,	মুহম্মদ,	
chapol,	চাপল,	চপল,	
karpeter,	কর্পটের,	কার্পেটের,	
bhalobass,	ভালবাস,	ভালোবাসা,	
aasirbaad,	আশির্বাদ,	আশির্বাদ,	
antarctikar,	অন্তর্কিক্তর,	অ্যান্টার্কটিকার,	
noitikatabodh,	নৈতিকাটবোধ,	নৈতিকতাবোধ,	
ovisongson,	অভিসংস,	অভিশংসন,	
hajjirhat,	হাজিরহাট,	হাজিরহাট,	
abikal,	অবিকাল,	অবিকল,	
panctaar,	পাঁচটার,	পাঁচটার,	
niketon,	নিকেটন,	নিকেতন,	
mugdha,	মুগধ্,	মুগ্ধ,	
lesens,	লেসিন্স,	লাইসেন্স,	
bbiswash,	বিশ্বাস,	বিশ্বাস,	
melborner,	মেলবর্ণের,	মেলবোর্নের,	
enginears,	ইঞ্জিনের্স,	ইঞ্জিনিয়ার্স,	
janaganonar,	জনগননার,	জনগণনার,	
sotorkobhabey,	সতর্াভাবে,	সতর্কভাবে,	
cheettronnatyokar,	চিত্রনাত্যকাতার,	চিত্রনাট্যকার,	
kathmaandu,	কামমান্দু,	কাঠমান্ডু,	
karmasansthaner,	কর্মসনস্থানের,	কর্মসংস্থানের,	
arthanitir,	অর্থনীতির,	অর্থনীতির,	
sangkulan,	সংকুলন,	সংকুলান,	
guzober,	গুজবের,	গুজবের,	
benj,	বেযাজ,	বেঞ্জ,	
sofier,	সফির,	সোফির,	
prottokhovabe,	প্রত্যাখভাবে,	প্রত্যক্ষভাবে,	
antorbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
indr,	ইন্ডির,	ইন্দ্র,	
noubihar,	নৌবিহার,	নৌবিহার,	
beeseshyer,	বিশেষের,	বিশেষ্যের,	
addabaj,	আদ্বাব,	আড্ডাবাজ,	
bupher,	বুফের,	বাফার,	
mousum,	মৌসম,	মৌসুম,	
gora,	গরা,	গোর,	
chowdhurir,	চৌধুরির,	চৌধুরীর,	
jomjamat,	জমমামম,	জমজমাট,	
ajeejer,	অজিজের,	আজিজের,	
azaan,	আজান,	আজান,	
olimpiker,	অলিম্পীকের,	অলিম্পিকের,	
scall,	স্কল,	এসকল,	
postar,	পোস্টার,	পোস্টের,	
shomoshto,	সমস্ত্,	সমস্ত,	
floodlighter,	ফ্লুইটটির,	ফ্লাডলাইটের,	
chitranattakar,	চিত্রনাত্যকর,	চিত্রনাট্যকার,	
longhan,	লঙ্ঘন,	লংঘন,	
kumarir,	কুমারীর,	কুমারীর,	
allah,	আল্লাহ,	আল্লাহ্,	
troop,	ট্রুপ,	ট্রুপ,	
tarkarir,	তরকারীর,	তরকারীর,	
cholochchitreer,	চলচিত্রের,	চলচ্চিত্রের,	
iranayer,	ইরানের,	ইরানের,	
ekshor,	একশর,	একশোর,	
uponishad,	উপনিশাদ,	উপনিষদ,	
gemser,	গেমসের,	জেমসের,	
foks,	ফোস্স,	ফক্স,	
kas,	কাস,	কাস,	
dakten,	ডাকতেন,	ডাকতেন,	
dunkan,	ডাঙকান,	ডানকান,	
purohitke,	পুরোহিতকে,	পুরোহিতকে,	
nagorikra,	নগরীকরা,	নাগরিকেরা,	
sangbadmadhyamer,	সংবাদমধম্যমের,	সংবাদমাধ্যমের,	
darjiling,	ডার্জিলিং,	দার্জিলিং,	
karim,	কারিম,	করিম,	
shiqar,	শিকার,	শিকার,	
kooyartara,	কোয়ার্টার,	কোয়ার্টার,	
zoubonkal,	যৌবনকাল,	যৌবনকাল,	
pra,	প্রা,	প্রো,	
harir,	হ্যারির,	হরির,	
shrishree,	শ্রীশ্রী,	শ্রীশ্রী,	
bidghootey,	বিঘগুতে,	বিদঘুটে,	
sweety,	সুইটি,	সুইটি,	
noitikotabodh,	নৈতিকাটবোধ,	নৈতিকতাবোধ,	
farna,	ফার্না,	ফার্ন,	
fokskon,	ফক্কন,	ফক্সকন,	
grambasider,	গ্রামসাসিদের,	গ্রামবাসীদের,	
plate,	প্লেট,	প্লেট,	
teenti,	তিনটি,	তিনটি,	
daebug,	ডাবিগ,	ডিবাগ,	
lyand,	ল্যান্ড,	ল্যান্ড,	
chhuti,	ছুটি,	ছুটি,	
mail,	মেল,	মাইল,	
jolatanko,	জলাতন্ত,	জলাতঙ্ক,	
nirabata,	নিরবতা,	নিরবতা,	
zommu,	জম্মু,	জম্মু,	
cal,	চাল,	চাল,	
graambashi,	গ্রামাাসী,	গ্রামবাসী,	
dephineshhana,	ডেফিনিশন,	ডেফিনেশন,	
sulfete,	সালফেটে,	সালফেট,	
chashe,	চাষে,	চেস,	
nathibhookta,	নথিভূক্ত,	নথিভুক্ত,	
akpashe,	একপাশে,	একপাশে,	
dhila,	ঢিলা,	ঢিলা,	
nilkamal,	নিলকমল,	নীলকমল,	
forma,	ফরমা,	ফর্মা,	
suparahiro,	সুপারহহির,	সুপারহিরো,	
artharer,	অর্থারের,	আর্থারের,	
sanatani,	স্যাননটি,	সনাতনী,	
paade,	পাদে,	পাড়ে,	
teemothee,	তিমথথী,	টিমোথি,	
khannkaj,	খননকাজ,	খননকাজ,	
asthisandhi,	অস্থিষ্ঠানধি,	অস্থিসন্ধি,	
thesiser,	ঠেসিসের,	থিসিসের,	
ghetu,	ঘেতু,	ঘেটু,	
groowth,	গ্রুথ,	গ্রোথ,	
anchalsamuha,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
dologulo,	দলগুলো,	দলগুলো,	
rajtantrakey,	রাজনাতান্ত্রে,	রাজতন্ত্রকে,	
baasaa,	বাসা,	বাসা,	
ostheesandhi,	অস্থিষনাথি,	অস্থিসন্ধি,	
tikto,	টিক্ত,	তিক্ত,	
masto,	মাসত,	মাস্ত,	
kolahol,	কলাহ,	কোলাহল,	
melbourney,	মেলবার্নে,	মেলবোর্নে,	
pradeep,	প্রাডেপ,	প্রদীপ,	
ddebet,	ড্বেত,	ডিবেট,	
paltechey,	পাল্টেছে,	পাল্টেছে,	
jatata,	জতটা,	যতোটা,	
duplee,	ডুপলি,	ডুপ্লে,	
chamski,	চামসক্কী,	চমস্কি,	
nutan,	নুটন,	নূতন,	
sangasthatir,	সংস্থটটির,	সংস্থাটির,	
veedanta,	বীদন্ত,	বেদান্ত,	
gez,	গেজ,	গেজ,	
abheedhaanick,	অভিধানিক,	অভিধানিক,	
sakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
tintike,	তিনটিকে,	তিনটিকে,	
erina,	এরিন,	এরিনা,	
natunatva,	নতুনত্ব,	নতুনত্ব,	
tiunara,	টিউনার,	টিউনার,	
robot,	রোবট,	রোবোট,	
jank,	জাঁক,	জাঁক,	
parijaner,	পরিজনের,	পরিজনের,	
halloween,	হালউল়িন,	হ্যালোইন,	
munshi,	মুনশী,	মুন্সী,	
milton,	মিল্টন,	মিলটন,	
necker,	নেকের,	নেকের,	
steeit,	স্টেট,	স্টেইট,	
golakriti,	গ্লাক্রিতি,	গোলাকৃতি,	
oedipush,	অদিপুপ,	ইডিপাস,	
nirantar,	নিরান্তর,	নিরন্তর,	
ibhila,	এভিল,	ইভিল,	
shikarke,	শিকারকে,	শিকারকে,	
morathi,	মরাথী,	মরাঠি,	
paab,	পাব,	পাব,	
choudhooreeo,	চৌধুরিও,	চৌধুরীও,	
governerer,	গভর্নরের,	গভর্ণরের,	
deembakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
choudhooreeke,	চৌধুরিকে,	চৌধুরীকে,	
shaajaanor,	সাজানোর,	সাজানোর,	
nirvachokder,	নির্বাদকদের,	নির্বাচকদের,	
songbadmadhyome,	সংবাদ্ধমামে,	সংবাদমাধ্যমে,	
manjurul,	মঞ্জুরুল,	মনজুরুল,	
istara,	ইস্টার,	ইস্টার,	
enginearing,	ইঞ্জিনিরিং,	ইঞ্জিনিয়ারিং,	
salmaaner,	সালমানের,	সালমানের,	
roopdaan,	রূপদান,	রুপদান,	
rajballabh,	রাজললবাল,	রাজবল্লভ,	
sarbopori,	সর্বোপরি,	সর্বোপরী,	
joones,	জোনিস,	জোন্স,	
beem,	বিম,	বিম,	
skolarship,	স্কলারশিপ,	স্কলারশিপ,	
teennis,	টিনিস,	টেনিস,	
shiropar,	শিরোপার,	শিরোপার,	
turkamena,	তুর্কমেনা,	তুর্কমেন,	
osthishondhi,	অস্থিষ্ঠন্ধি,	অস্থিসন্ধি,	
jerusalem,	জিরুজালেম,	জেরুজালেম,	
kaash,	কাশ,	কাস,	
krantikale,	ক্র্যান্কালালে,	ক্রান্তিকালে,	
siit,	সীট,	শীত,	
madhabike,	মাধাবীকে,	মাধবীকে,	
upobasee,	উপবাসী,	উপবাসী,	
chalochchitrai,	চলচিত্রাই,	চলচ্চিত্রই,	
korecho,	করেছো,	করেছো,	
gaddaafee,	জাদ্দাফী,	গাদ্দাফী,	
antorvuktimulak,	অন্তর্ভূক্তমলক,	অন্তর্ভুক্তিমূলক,	
taimas,	টাইমস,	টাইমস্,	
jonosonjog,	জনসংযো,	জনসংযোগ,	
shikhra,	শিখরা,	শিখরা,	
plack,	প্লক,	প্ল্যাক,	
sone,	সোনে,	সনে,	
dai,	ডাই,	দিই,	
eshoshiyetasha,	এসোসিশেশ,	এসোসিয়েটস,	
peshto,	পেষ্ট,	পেষ্ট,	
nagaland,	নাগালন্দ,	নাগাল্যান্ড,	
brander,	ব্র্যান্ডের,	ব্রান্ডের,	
jaki,	জাকি,	জকি,	
betsman,	বেটসম্যান,	ব্যাটসম্যান,	
lesense,	লেসিেন্স,	লাইসেন্স,	
jeebonto,	জীবনত,	জীবন্ত,	
byabaharkarir,	ব্যবহারকারির,	ব্যবহারকারীর,	
plus,	প্লাস,	প্লাস,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
konorup,	কনরুপ,	কোনরূপ,	
devolopar,	ডেভলপার,	ডেভলপার,	
alpakichudin,	অল্পকিনিদিহীন,	অল্পকিছুদিন,	
granthao,	গ্রন্থাও,	গ্রন্থও,	
chhotto,	ছোট,	ছোট্ট,	
azim,	অ্যাম,	আজিম,	
ahalya,	অহলা,	অহল্যা,	
pacbar,	পাঁবর,	পাঁচবার,	
ponni,	পন্যি,	পন্নী,	
potocheetro,	পতচ্চিত্র,	পটচিত্র,	
longghon,	লঙ্ঘন,	লংঘন,	
gandhiyo,	গান্ধিও,	গান্ধীও,	
istoon,	ইস্তুন,	স্টোন,	
biprodas,	বিপ্রদাশ,	বিপ্রদাস,	
dayra,	ডেরা,	ডেরা,	
sangkoolan,	সংকুলন,	সংকুলান,	
geza,	গেজ,	গেজ,	
porizoner,	পরিজনের,	পরিজনের,	
patthkrom,	পাঠক্রম,	পাঠক্রম,	
azijer,	অজিজের,	আজিজের,	
agoora,	অগুরা,	আগোরা,	
moonshi,	মুনশী,	মুন্সি,	
nilphamarir,	নিলফামারীর,	নীলফামারীর,	
samosto,	সমস্ত্,	সমস্ত,	
liseensee,	লিসেস্সি,	লাইসেন্স,	
breaqthrough,	ব্রেকফার,	ব্রেকথ্রু,	
jotharthovabey,	যথারথাথে,	যথার্থভাবে,	
shahocharje,	শাহর্্যে,	সাহচর্যে,	
pooroheetke,	পুরোহিতকে,	পুরোহিতকে,	
aoki,	অকি,	এওকি,	
anchaltitey,	অঞ্চলিতে,	অঞ্চলটিতে,	
doobhara,	ডুভার,	ডোভার,	
ooeepokar,	উপপকার,	উইপোকার,	
jatharthobhabe,	যথারথাভে,	যথার্থভাবে,	
pratisthanikvabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
qaferderke,	কাফেরদেরকে,	কাফেরদেরকে,	
alaol,	আলাল,	আলাওল,	
pleeta,	প্লেট,	প্লেট,	
kunti,	কুন্টি,	কুন্তী,	
cho,	চো,	ছোঁ,	
ashangka,	অসঙ্কা,	আশংকা,	
direektareeta,	ডিরেক্টরিতা,	ডিরেক্টরেট,	
jansha,	জানস,	জন্স,	
shreeshri,	শ্রেশ্রি,	শ্রীশ্রী,	
ostader,	অষ্টাদের,	ওস্তাদের,	
set,	সেট,	সিট,	
parqing,	পার্কিং,	পার্কিং,	
vishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
uparjan,	উপরর্জন,	উপার্জন,	
ogradut,	অগ্রাদুড,	অগ্রদূত,	
graambaasee,	গ্রামবাসী,	গ্রামবাসী,	
conistho,	কনিষ্ঠ,	কনিষ্ঠ,	
jathaartho,	যথার্থ,	যথার্থ,	
byaboharkareeke,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
nondolaal,	নন্দলাল,	নন্দলাল,	
jonoikaa,	জোনিকা,	জনৈকা,	
nirbaha,	নির্বাহ,	নির্বাহ,	
marpit,	মার্পিত,	মারপিট,	
ula,	উলা,	উল,	
gujab,	গুজব,	গুজব,	
faser,	ফাঁসের,	ফাঁসের,	
angkita,	অংকিত,	অঙ্কিতা,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
woter,	ওোটের,	ভোটার,	
fol,	ফল,	ফল,	
saptahokal,	সপ্তাহকল,	সপ্তাহকাল,	
