chalachchitrei,	চলচচচত্রে,	চলচ্চিত্রেই,	
tikka,	তিক্ক,	টিক্কা,	
ganesher,	গণেেরর,	গণেশের,	
monjurul,	মঞ্জুরু,	মনজুরুল,	
madhuree,	মাধুর,	মাধুরী,	
sojja,	সজজয,	সজ্জা,	
dhonyi,	ধনন,	ধন্যি,	
decke,	ডেকক,	ডেকে,	
ganjona,	গঞ্জা,	গঞ্জনা,	
qaro,	কারো,	কারো,	
anchalti,	অঞচচলি,	অঞ্চলটি,	
gaaddaafee,	গাদ্দাফী,	গাদ্দাফী,	
surke,	সুরকে,	সুরকে,	
tuleche,	তুলছে,	তুলেছে,	
asoociates,	অসয্সসস়েেে,	এসোসিয়েটস,	
mit,	মিত,	মিট,	
avijojan,	অভিযোজা,	অভিযোজন,	
karmoke,	কর্মকে,	কর্মকে,	
anti,	আনটি,	আন্টি,	
kingdom,	কিং্ো,	কিংডম,	
ganesh,	গণে,	গণেশ,	
gujaber,	গুযবের,	গুজবের,	
bosonto,	বসন্ত,	বসন্ত,	
asaborno,	অসবর্ণ,	অসবর্ণ,	
bamander,	ব্যান্ডেে,	বামনদের,	
tamplate,	ট্যমপপললেে,	টেম্পলেট,	
eksathei,	একসাথেই,	একসাথেই,	
byabaharkariyi,	ব্যাহাররার,	ব্যবহারকারীই,	
ula,	উলা,	উল,	
shikshakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
pronoti,	প্রণতি,	প্রণতি,	
maroofer,	মারুফে,	মারুফের,	
dorun,	দরুণ,	দরুণ,	
veenish,	ভেনিস,	ভেনিস,	
yathaarthabhaabe,	যথার্থভাবে,	যথার্থভাবে,	
raha,	রহহ,	রঃ,	
siropar,	সিরপার,	শিরোপার,	
samashti,	সমস্টি,	সমষ্টি,	
byaboharkari,	ব্যবহররকার,	ব্যবহারকারীই,	
goodamjato,	গুদমাত,	গুদামজাত,	
adbhut,	অদযভভভ,	অদ্ভুত,	
vaabnar,	ভাবনার,	ভাবনার,	
gootano,	গুটানো,	গুটানো,	
dece,	ডেসে,	ডেকে,	
gostii,	গোস্টি,	গোষ্ঠীই,	
godavari,	গদভারী,	গোদাবরী,	
manabmaner,	মাাবা্নের,	মানবমনের,	
moochi,	মুচি,	মুচি,	
potchitro,	পতচচি্র,	পটচিত্র,	
varma,	ভারমা,	ভার্মা,	
dreestiheen,	দৃষ্টিহী,	দৃষ্টিহীন,	
damone,	দামন,	দমনে,	
arthanitike,	অর্থননতিকে,	অর্থনীতিকে,	
sausage,	সৌসগে,	সসেজ,	
nirarthok,	নিরার্ক,	নিরর্থক,	
shochindro,	শচীন্দ্র,	শচীন্দ্র,	
otyachari,	অত্যাচার,	অত্যাচারী,	
meghnadbodh,	মেঘনাবব্ধ,	মেঘনাদবধ,	
bhogiroth,	ভগগরো,	ভগীরথ,	
langhon,	লং্ঘ,	লংঘন,	
ostad,	অস্তাড,	ওস্তাদ,	
aakik,	আকিক,	আকিক,	
modelin,	মোডেলি,	মডেলিং,	
aksathe,	একসাথে,	একসাথে,	
jeebonnogor,	জীবননগর,	জীবননগর,	
nickeel,	নিক্লে,	নিকেল,	
otitkaley,	অতিককালে,	অতীতকালে,	
sniper,	স্নীপের,	স্নাইপার,	
damdor,	দা্দর,	দামদর,	
parkasa,	পারককস,	পার্কস,	
chilahaati,	চিলাতিতি,	চিলাহাটি,	
dibbay,	ডিববে,	দিব্যা,	
ddhila,	ঢিলা,	ঢিলা,	
siddhantei,	সিদ্ধান্ত,	সিদ্ধান্তেই,	
heavi,	হেভি,	হেভি,	
shashoto,	শাসত,	শাশ্বত,	
shiniyara,	সিনিয়া,	সিনিয়র,	
mekbeth,	মেকবেে,	ম্যাকবেথ,	
folokti,	ফলককটি,	ফলকটি,	
nishader,	নিশাদের,	নিষাদের,	
milea,	মিলে,	মাইলে,	
harbur,	হারবুর,	হারবার,	
duburira,	দুবুরীরা,	ডুবুরিরা,	
moorali,	মুরালী,	মুরলী,	
dharabahikvabey,	ধারাাাককাবব,	ধারাবাহিকটি,	
neshnosh,	নেশ্স,	নেশনস,	
ganochiener,	গণচিণের,	গণচীনের,	
orhan,	ওরহান,	ওরহান,	
kaaleo,	কালেও,	কালেও,	
karore,	কারের,	কারোর,	
lakkheryo,	লক্ষ্রের,	লক্ষেরও,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
keke,	কেক,	কেকে,	
nathivukto,	নথিভুভ্ত,	নথিভুক্ত,	
thela,	থেলা,	ঠেলা,	
ayadabhansada,	অ্যাডভননডড,	অ্যাডভান্সড,	
japanira,	জাপানীর,	জাপানিরা,	
gonona,	গণনা,	গণনা,	
shaarthe,	সার্থে,	স্বার্থে,	
daada,	দাড,	দাদা,	
sakkhatkarer,	সাক্ষাকককারর,	সাক্ষাৎকারের,	
sachetanvabe,	সচেতানভবে,	সচেতনভাবে,	
jahor,	যাহর,	জহর,	
gazipore,	গাজীপরে,	গাজিপুর,	
eideen,	আইডিন,	এইদিন,	
bardhitansh,	বর্ধিিত্স,	বর্ধিতাংশ,	
ruteen,	রুটিন,	রুটিন,	
ghumachche,	ঘুমাছ্ছ,	ঘুমাচ্ছে,	
kanasarabheshana,	কনসরররেে,	কনসারভেশন,	
nabatamo,	নবতাম,	নবতম,	
sangbadmadhyome,	সংবাধ্ধম্েে,	সংবাদমাধ্যমে,	
moshleh,	মসললহ,	মোসলেহ,	
dinifition,	ডিনিফিশ,	ডেফিনেশন,	
nikate,	নিকাতে,	নিকটে,	
akbakke,	আকবককক,	একবাক্যে,	
letterey,	লেটাটার,	লেটারে,	
dolguloo,	দলগুলো,	দলগুলোও,	
dekhbaar,	দেখবার,	দেখবার,	
aajeej,	আজিজ,	আজিজ,	
pitthe,	পিঠে,	পীঠে,	
qirq,	কির্ক,	কার্ক,	
vooter,	ভূটের,	ভোটার,	
pure,	পুরে,	পিওর,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
jatinke,	জাতিনে,	যতীনকে,	
naagaalyand,	নাগাযন্্্ড,	নাগাল্যান্ড,	
poorohitder,	পুরহিতদের,	পুরোহিতদের,	
sip,	সিপ,	শিপ,	
oncholgulote,	অঞ্চগুলোতে,	অঞ্চলগুলোতে,	
drissogulote,	দৃশ্শগুলোতে,	দৃশ্যগুলোতে,	
cholesi,	চলেেি,	চলেছি,	
bhenom,	ভেনম,	ভেনম,	
monmotho,	মন্মথ,	মন্মথ,	
ssumitrar,	সুমিত্রার,	সুমিত্রার,	
nagarikra,	নাগররকরা,	নাগরিকরা,	
rohoshyor,	রহস্যর,	রহস্যর,	
kinto,	কিন্ত,	কিনত,	
barbadoz,	বারববাোজ,	বার্বাডোজ,	
golakritir,	গোলাকৃতির,	গোলাকৃতির,	
gobeshakgon,	গবেষকণণণ,	গবেষকগণ,	
obhidhanik,	অভিধানিক,	অভিধানিক,	
riphleeksa,	রিফ্্কক্,	রিফ্লেক্স,	
sangrahak,	সংগ্রহহ,	সংগ্রাহক,	
amarika,	আমররকক,	আমেরিকা,	
joubanbatee,	যৌবনাতত,	যৌবনবতী,	
bachhaikrito,	বাছাক্তত,	বাছাইকৃত,	
baagica,	বাগিকা,	বাগিচা,	
kota,	কোট,	কোটা,	
bagdhara,	বাগধার,	বাগধারা,	
spredashiita,	স্প্রেডেশি,	স্প্রেডশীট,	
sikkhao,	শিক্ষাও,	শিক্ষাও,	
moithili,	মৈঠিল,	মৈথিলি,	
abhidhanic,	অভিধানিক,	অভিধানিক,	
enginiiring,	এন্গিনারিং,	ইঞ্জিনিয়ারিং,	
tophaat,	তোফা,	তফাৎ,	
dosheeder,	দশীদেে,	দোষীদের,	
emarjenshi,	এজারজজেসস,	এমার্জেন্সি,	
sikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
domonmoolok,	দমমন্ললক,	দমনমূলক,	
jolrang,	জলরর,	জলরঙ,	
musolmanra,	মুসম্্্্র,	মুসলমানরা,	
enjineers,	এনজজিন্র্স,	ইঞ্জিনিয়ার্স,	
nagarikera,	নাগারকরর,	নাগরিকেরা,	
ranadeep,	রাণাডিপ,	রণদীপ,	
rachonakal,	রচনকলল,	রচনাকাল,	
protishta,	প্রতিষ্ত,	প্রতিষ্টা,	
jonoshomaj,	জনসাজ,	জনসমাজ,	
hazarer,	হারারর,	হাজারের,	
arekdal,	আরেককল,	আরেকদল,	
zackson,	জ্কাক্,	জ্যাকসন,	
jatinkey,	জাতিনে,	যতীনকে,	
sosa,	সোস,	শশা,	
jolbe,	জলবে,	জ্বলবে,	
dorjee,	দর্জি,	দরজি,	
ekoirokom,	একররক,	একইরকম,	
jyotsna,	জ্যোৎ্া,	জ্যোৎস্না,	
rabeta,	রবেত,	রাবেতা,	
chaber,	ছববের,	চাবির,	
pleta,	প্লেট,	প্লেটো,	
crecenter,	ক্রেসেনেটের,	ক্রিসেন্টের,	
koreempoor,	করিম্ুর,	করিমপুর,	
superheira,	সুপারেরার,	সুপারহিরো,	
ssumita,	সুমিত,	সুমিতা,	
jonmaat,	জন্মাত,	জন্মাত,	
chhatroraai,	ছাত্রাা,	ছাত্ররাই,	
kormokarer,	কর্মকারের,	কর্মকারের,	
ingrezra,	ইংরেজের,	ইংরেজরা,	
shikkhakbrinda,	শিক্ষাবক্রৃ্্,	শিক্ষকবৃন্দ,	
meghnadbadh,	মেঘনাবাাধ,	মেঘনাদবধ,	
asavya,	অসভ্য,	অসভ্য,	
gostike,	গো্তিকে,	গোষ্ঠীকে,	
tecno,	টেক্ন,	টেকনো,	
shreeshri,	শ্রীশরী,	শ্রীশ্রী,	
nabyota,	নবযযত,	নাব্যতা,	
skalastic,	স্কালকসটটক,	স্কলাস্টিক,	
sohingsotar,	সহিসসাতর,	সহিংসতার,	
shukna,	সুক্ন,	শুকনা,	
aanish,	আনিস,	আনিস,	
praapoker,	প্রাপকের,	প্রাপকের,	
deepon,	ডিপনন,	দীপন,	
laaz,	লাজ,	লাজ,	
akmat,	একমা,	একমত,	
mumtaz,	মুমতাজ,	মুমতাজ,	
chaudhoorir,	চৌধরররর,	চৌধুরীর,	
mahindra,	মহিন্দ্র,	মাহিন্দ্রা,	
ghurtey,	ঘুর্ে,	ঘুরতে,	
rifleks,	রিফক্ককস,	রিফ্লেক্স,	
foloshrutite,	ফলস্রুততত,	ফলশ্রুতিতে,	
pooloo,	পুলো,	পোলো,	
irana,	ইরান,	ইরান,	
masters,	মাস্টার্স,	মাস্টার্স,	
sarbopori,	সর্বপরর,	সর্বোপরী,	
oitihye,	ঐতিহ্য,	ঐতিহ্যে,	
bisshasi,	বিশ্বাসী,	বিশ্বাসী,	
bhuushito,	ভুষিি,	ভূষিত,	
robot,	রবত,	রোবোট,	
bonkey,	বংকে,	বনকে,	
nirapekkho,	নিরাপেক্,	নিরপেক্ষ,	
fimela,	ফিমেল,	ফিমেল,	
indro,	ইন্দ্র,	ইন্দ্র,	
shkalastic,	স্কালাককককক,	স্কলাস্টিক,	
shasankarta,	সাসককর্ত,	শাসনকর্তা,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
salafeta,	সললেট,	সালফেট,	
jamjomat,	জজজমা,	জমজমাট,	
nothibhookta,	নথিভুক্ত,	নথিভুক্ত,	
loukeek,	লৌকিক,	লৌকিক,	
jes,	জেস,	জেস,	
sambhabanaow,	সম্ভভাবও,	সম্ভবনাও,	
karkatkranti,	করকককক্্্ত,	কর্কটক্রান্তি,	
unitgulo,	উনিতগগলো,	ইউনিটগুলো,	
porishkaron,	পরিষ্করণ,	পরিষ্করণ,	
aazaadeer,	আজাদীর,	আজাদীর,	
graambasheeo,	গ্রামবাসী,	গ্রামবাসীও,	
bhittitei,	ভিত্তিতই,	ভিত্তিতেই,	
bonoshri,	বনস্র,	বনশ্রী,	
dor,	দর,	দোর,	
agrodut,	অগ্রুুত,	অগ্রদূত,	
shalook,	শালুক,	শালুক,	
bandhuke,	বন্ধুক,	বন্ধুকে,	
huka,	হুকা,	হুক,	
khanankaj,	খননাকজ,	খননকাজ,	
netions,	নেযাযস,	নেশনস,	
hantte,	হাঁতে,	হাঁটতে,	
huge,	হুগে,	হিউজ,	
ajimpoor,	আজিমপপর,	আজিমপুর,	
juktarashtrasaha,	যুক্রররসসসসস,	যুক্তরাষ্ট্রসহ,	
ashor,	আসরর,	আসর,	
monjhoshtho,	মঞ্সস্,	মঞ্চস্থ,	
gajipur,	গাজিপর,	গাজিপুর,	
poripaker,	পরিপককর,	পরিপাকের,	
proteesthasoho,	প্রতিষ্ঠাস,	প্রতিষ্ঠাসহ,	
niketoner,	নিকেতেের,	নিকেতনের,	
parry,	প্যার,	পেরি,	
ptolemir,	প্টেমির,	টলেমির,	
bipradas,	বিপ্রাাস,	বিপ্রদাস,	
annimated,	অন্মিটেট,	এনিমেটেড,	
shrichaitanyadev,	স্রীচীত্্ত্তে,	শ্রীচৈতন্যদেব,	
raktaksharaner,	রক্তককষষণের,	রক্তক্ষরণের,	
azadeer,	আজাদীর,	আজাদীর,	
uparzoner,	উপারজেরর,	উপার্জনের,	
jerakam,	জেরকা,	যেরকম,	
songkoloney,	সংকললেে,	সংকলনে,	
ajimke,	আজিমকে,	আজিমকে,	
dharagulo,	ধারাগুলো,	ধারাগুলো,	
haran,	হার,	হারান,	
drishyake,	দৃষ্যকে,	দৃশ্যকে,	
swapad,	স্বপপদ,	শ্বাপদ,	
torabgunj,	তরাাগঞঞজ,	তোরাবগঞ্জ,	
doshider,	দোশদদে,	দোষীদের,	
tuku,	তুকু,	টুকু,	
gej,	গেজ,	গেজ,	
kana,	কান,	কণা,	
shivraj,	শিভ্রজ,	শিবরাজ,	
chat,	চা,	চ্যাট,	
safalyer,	সফফলের,	সাফল্যের,	
upobaashee,	উপবাসী,	উপবাসী,	
fevarite,	ফেভারিত,	ফেভারিট,	
moldowa,	মোলডডা,	মলদোভা,	
basate,	বাসাত,	বাসাতে,	
timur,	তিমুর,	তিমুর,	
korecha,	করেছ,	করেছ,	
samoshtike,	সমস্তিকে,	সমষ্টিকে,	
abotaar,	অবতার,	অবতার,	
maszid,	মস্জি,	মসজিদ,	
netherland,	নেথার্যায্্ড,	নেদারল্যান্ড,	
bissashe,	বিশ্বাসে,	বিশ্বাসে,	
booroon,	বুরণ,	বোরন,	
narikei,	নারিকে,	নারীকেই,	
rohosyo,	রহস্য,	রহস্য,	
dajjha,	দাঝ্,	দাহ্য,	
choudhureer,	চৌধুরীর,	চৌধুরীর,	
kaferderkey,	কাফারকেকে,	কাফেরদেরকে,	
ooipokar,	ঐপককর,	উইপোকার,	
hock,	হক,	হুক,	
alankaron,	আলকককরণ,	অলঙ্করণ,	
notunatwa,	নতুনত্ব,	নতুনত্ব,	
duckticketer,	ডিক্কিিকটের,	ডাকটিকিটের,	
sahazlabhbhotar,	সহহললভভতরর,	সহজলভ্যতার,	
sectar,	সেক্টার,	সেক্টর,	
akkhunno,	অক্ষুণ্,	অক্ষুণ্ণ,	
rajtantro,	রাজততন্্র,	রাজতন্ত্র,	
bagdad,	বাগদা,	বাগদাদ,	
karecho,	করেছ,	করেছো,	
parikha,	পরিখা,	পরিখার,	
rooshod,	রুসদ,	রুশদ,	
nikataner,	নিকাতনরর,	নিকেতনের,	
mononiitoder,	মননীীতের,	মনোনীতদের,	
chalochchitro,	চলচচতিতর,	চলচ্চিত্র,	
garora,	গারার,	গারোরা,	
dajhya,	দাঝ্য,	দাহ্য,	
postkay,	পোস্কক,	পোস্টকে,	
jonoikaa,	জৈনাকা,	জনৈকা,	
nojod,	নজজ,	নজদ,	
bhogno,	ভগ্ন,	ভগ্ন,	
gasthi,	গাষ্ঠী,	গোষ্ঠী,	
akshoti,	অক্ষতি,	একশোটি,	
shaahocharjo,	সাহচার্য,	সাহচর্য,	
vageri,	ভাগেরি,	ভাগেরই,	
dhyaan,	ধ্যান,	ধ্যান,	
loombinee,	লুম্বিন,	লুম্বিনী,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
farider,	ফরিিেের,	ফরিদের,	
soomo,	সুম,	সুমো,	
fund,	ফান্ড,	ফান্ড,	
alsaara,	আলসার,	আলসার,	
ddebet,	ড্বেট,	ডিবেট,	
uchchataro,	উচ্চতরর,	উচ্চতর,	
gonona,	গণনা,	গননা,	
manabmoner,	মাাব্্েে,	মানবমনের,	
byaboharkarikey,	ব্যবহাররককক,	ব্যবহারকারীকে,	
sangbadmadhyamer,	সংবাধধধধ্মের,	সংবাদমাধ্যমের,	
satarkabhabe,	সতারককভাে,	সতর্কভাবে,	
hiiragana,	হীরগান,	হিরাগানা,	
chheelonaa,	ছিলনা,	ছিলনা,	
tarunra,	তরুন্র,	তরুণরা,	
eshokol,	এসকল,	এসকল,	
jyaishtha,	জ্যাষ্ঠ,	জ্যৈষ্ঠ,	
elakatikay,	এলাকটিকক,	এলাকাটিকে,	
cheess,	চেস,	চেস,	
