poshchater,	পশচাতের,	পশ্চাতের,	
sheekare,	শিকারে,	শিকারে,	
samajer,	সমাজের,	সমাজের,	
songkulan,	সংকুলান,	সংকুলান,	
korkotkrantee,	কর্কতকরণ্টি,	কর্কটক্রান্তি,	
thailandsaho,	থাইলানসন্,	থাইল্যান্ডসহ,	
manu,	মানু,	মনু,	
samajeekotar,	সামাজিকেতর,	সামাজিকতার,	
bidghootey,	বিধুতে,	বিদঘুটে,	
manhputo,	মন্পুত,	মনঃপুত,	
kanuner,	কানুনার,	কানুনের,	
dhonni,	ধননি,	ধন্যি,	
chondrima,	চন্দ্রম,	চন্দ্রিমা,	
bhadaka,	ভাদক,	ভদকা,	
mosharroph,	মশশারোফ,	মশাররফ,	
ashonka,	আসংকা,	আশংকা,	
khappor,	খপপার,	খপ্পর,	
prity,	প্রীতি,	প্রিটি,	
ajibon,	অজিবন,	আজীবন,	
udbhaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
pretii,	প্রেতি,	প্রিটি,	
darzi,	দর্জি,	দরজি,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
choudhurio,	চৌধুরু,	চৌধুরীও,	
ganosachetanata,	গণশচ্ছাতনা,	গণসচেতনতা,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
thar,	থার,	থর,	
soundorjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
itostato,	ইতস্তত,	ইতস্ততঃ,	
suma,	সুম,	সুমো,	
bhaangchoor,	ভাংচুর,	ভাংচুর,	
deilee,	ডেলি,	ডেইলি,	
ghotleyo,	ঘটটেও,	ঘটলেও,	
juktarashtreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
vodka,	ভদকা,	ভদকা,	
daap,	ডাপ,	ড্যাপ,	
noubihar,	নৌবিহার,	নৌবিহার,	
vabanipur,	ভবনীপুর,	ভবানীপুর,	
riphleksha,	রিফলল্কস,	রিফ্লেক্স,	
bhumir,	ভূমির,	ভূমির,	
aazaan,	আযান,	আজান,	
difinisian,	ডিফিনিশন,	ডেফিনেশন,	
dakticketer,	ডক্তিকেতের,	ডাকটিকিটের,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
maradeho,	মারাদেহ,	মরদেহ,	
mesenjarer,	মেসেন্জারের,	মেসেঞ্জারের,	
neelfamarir,	নিলফলারির,	নীলফামারীর,	
qrita,	কৃত,	ক্রীট,	
omanisa,	অমানিস,	অমানিশা,	
jonite,	যোনিতে,	যোনীতে,	
safi,	সাফি,	সাফি,	
laaisens,	লাইস্স,	লাইসেন্স,	
chyata,	চ্যাট,	চ্যাট,	
sqalastiqa,	স্কলস্তিক,	স্কলাস্টিক,	
onchalgoolir,	অঞ্চলুলুর,	অঞ্চলগুলির,	
suraaropeeto,	সুরারোপিত,	সুরারোপিত,	
spredasita,	স্পারেডসিত,	স্প্রেডশীট,	
dharatir,	ধারতির,	ধারাটির,	
amar,	আমার,	আমর,	
mehonoti,	মেহনতি,	মেহনতি,	
shuperhero,	সুপেরেরও,	সুপারহিরো,	
sudha,	সুধ্ধা,	সুধা,	
korim,	করিম,	করিম,	
sanaktokaraner,	সনক্তকরণের,	সনাক্তকরণের,	
sommoteer,	সম্মতির,	সম্মতির,	
gandhio,	গানধিও,	গান্ধীও,	
roobi,	রুবি,	রুবি,	
jaubanbati,	যৌবনবাতি,	যৌবনবতী,	
gosthi,	গোষ্ঠী,	গোষ্ঠী,	
abotaar,	অবতর,	অবতার,	
dajyo,	দজ্য,	দাহ্য,	
baman,	বামান,	বামন,	
bidrohiderkey,	বিদ্রাহীদেরকে,	বিদ্রোহীদেরকে,	
longhaner,	লঙ্ঘনের,	লংঘনের,	
shkalastic,	স্কালস্টিক,	স্কলাস্টিক,	
shkalarashhipa,	স্কালরাশিপ,	স্কলারশিপ,	
kunty,	কুনটি,	কুন্তী,	
prajanankal,	প্রজননকাল,	প্রজননকাল,	
hoomes,	হোমেস,	হোমস,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
antarbhuttirmulok,	অন্তর্ভততূরক,	অন্তর্ভুক্তিমূলক,	
lagto,	লাগট,	লাগতো,	
saseza,	সসজেজ,	সসেজ,	
siramiqasa,	সিরামিকাস,	সিরামিকস,	
manjushree,	ম্যান্যরসী,	মঞ্জুশ্রী,	
falkser,	ফালকসের,	ফক্সের,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
prodiper,	প্রদিপীর,	প্রদীপের,	
gezeteda,	গেজেটেড,	গেজেটেড,	
taphaat,	টাফট,	তফাৎ,	
shoccer,	সক্সের,	সকার,	
surkarder,	সুর্কারদের,	সুরকারদের,	
mahasabha,	মহাসাভা,	মহাসভা,	
jomaanor,	জমানোর,	জমানোর,	
jaanaar,	জানার,	জানার,	
bamon,	বামন,	বামন,	
amorendra,	অমরেন্দ্র,	অমরেন্দ্র,	
chiraharit,	চিরহরিত,	চিরহরিৎ,	
asif,	আশিফ,	আসিফ,	
shniper,	সিনপের,	স্নাইপার,	
eekbalke,	এক্কালকে,	ইকবালকে,	
mile,	মিলে,	মাইল,	
pratisthanikvabey,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
elakaao,	এলাকাও,	এলাকাও,	
babylon,	ব্যাবলন,	ব্যাবিলন,	
bm,	বিএমএ,	বিএম,	
pade,	পদে,	পাড়ে,	
mosjidkey,	মস্জিদকে,	মসজিদকে,	
sahab,	সাহাব,	সাহাব,	
rohasyati,	রহস্যাটি,	রহস্যটি,	
zeland,	জেল্যান্ড,	জিল্যান্ড,	
ibhila,	ইভিল,	ইভিল,	
johor,	জোহর,	জহর,	
pyore,	প্যোরে,	পিওর,	
bisshonath,	বিশ্বনাথ,	বিশ্বনাথ,	
uporital,	উপরিতাল,	উপরিতল,	
roopa,	রূপা,	রুপা,	
soomi,	সুমি,	সুমি,	
naphisa,	নাফিস,	নাফিসা,	
sabaner,	সবানের,	সাবানের,	
park,	পার্ক,	পার্ক,	
jatti,	যাতটি,	জাতটি,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
shaahaabiike,	সাহাবীকে,	সাহাবীকে,	
gronthotyke,	গ্রন্থিতকে,	গ্রন্থটিকে,	
abodamoner,	অবদামনের,	অবদমনের,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
skarrt,	স্কার্ট,	স্কার্ট,	
muhurtati,	মুহুরততি,	মুহুর্তটি,	
grotha,	গ্রথ,	গ্রোথ,	
jonomukhi,	জনমুখী,	জনমুখী,	
carlo,	কার্লো,	কার্লো,	
pathkramer,	পাকক্রমের,	পাঠক্রমের,	
hafez,	হাফেজ,	হাফেয,	
tovnship,	টাউন্সিপ,	টাউনশিপ,	
meloonborroner,	মেলোজ্নবররে,	মেলবোর্নের,	
myathiou,	ম্যাথিও,	ম্যাথিউ,	
shite,	শিটে,	শীতে,	
prokar,	প্রকার,	প্রকার,	
jatok,	যতক,	জাতক,	
kodom,	কদম,	কদম,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
chargito,	চর্গিত,	চার্জিত,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
remacri,	রেমক্রি,	রেমাক্রী,	
octane,	অক্তনে,	অকটেন,	
naagaalyand,	নাওললান্ড,	নাগাল্যান্ড,	
ever,	এভের,	এভার,	
conservetion,	কনসারভেশন,	কনসারভেশন,	
orgho,	অর্ঘ,	অর্ঘ্য,	
pratishthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
bolatkar,	বলতকার,	বলাৎকার,	
bishesyer,	বিশেষের,	বিশেষ্যের,	
probhura,	প্রভূরা,	প্রভুরা,	
fiks,	ফিক্স,	ফিক্স,	
ummul,	উমমমুল,	উম্মুল,	
basaa,	বসা,	বাসা,	
khalidkay,	খালিদকে,	খালিদকে,	
sansthatir,	সংস্থাটির,	সংস্থাটির,	
choudhureeo,	চৌধুরুও,	চৌধুরীও,	
dekhbaar,	দেখবার,	দেখবার,	
songosthati,	সংস্থাটি,	সংস্থাটি,	
khodeza,	খোদেজ,	খোদেজা,	
jees,	জিস,	জেস,	
ptolemir,	প্রলমীর,	টলেমির,	
roshider,	রশীদের,	রশিদের,	
elakaasoho,	এলাকাসহ,	এলাকাসহ,	
jwolbe,	জ্বলবে,	জ্বলবে,	
seramiqs,	সারামিক্স,	সিরামিকস,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
rajnoiteek,	রাজনৈতিক,	রাজনৈতীক,	
ojuhat,	অযুহাত,	অজুহাত,	
vabnake,	ভববনাকে,	ভাবনাকে,	
towbar,	টবার,	তওবার,	
itostatoh,	ইতসসতত,	ইতস্ততঃ,	
aviyojan,	অভিযোজন,	অভিযোজন,	
depooti,	দিপতি,	ডেপুটি,	
vaibon,	ভাইবন,	ভাইবোন,	
bo,	বো,	বু,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
kokein,	কোকেন,	কোকেইন,	
paikgacha,	পামগাছচ,	পাইকগাছা,	
netherlande,	নেদারল্যান্ডে,	নেদারল্যান্ডে,	
paksenara,	পক্সেনার,	পাকসেনারা,	
lande,	ল্যান্ডে,	ল্যান্ডে,	
bhenkates,	ভেনককেটস,	ভেঙ্কটেশ,	
oviyojan,	অভিযোজন,	অভিযোজন,	
playto,	প্লাইট,	প্লেটো,	
beshirvagei,	বেশিরভাগেই,	বেশিরভাগেই,	
chalachchitro,	চলচিত্র,	চলচ্চিত্র,	
mirakel,	মিরককেল,	মিরাকেল,	
oiteejyo,	ঐতিজ্য,	ঐতিহ্য,	
jaatte,	যাততে,	জাতটি,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
bhalobasake,	ভালবাসকা,	ভালোবাসাকে,	
saaed,	সাইড,	সাইদ,	
kanasarabheshana,	কনসাবারেশন,	কনসারভেশন,	
asietic,	অ্যাশেটিক,	এশিয়াটিক,	
spreadsheet,	স্প্রেডসিত,	স্প্রেডশীট,	
akai,	আকেই,	একাই,	
obhishangson,	অভিসংসন,	অভিশংসন,	
kanflikt,	কনফললিক্ট,	কনফ্লিক্ট,	
emergenci,	এমেরজেন্সি,	এমার্জেন্সি,	
soras,	সরাস,	সরস,	
dologulo,	দলগুলো,	দলগুলো,	
lyata,	ল্যাট,	ল্যাটা,	
loukeekota,	লৌককিতা,	লৌকিকতা,	
tiunar,	টিউনার,	টিউনার,	
proshtot,	প্রস্তত,	প্রস্ত্তত,	
yankee,	ইনককি,	ইয়াংকি,	
gaugee,	গৌগী,	গেজ,	
ispredsit,	ইস্টারসেট,	স্প্রেডশীট,	
naarsari,	নার্সারি,	নার্সারি,	
cholochchitreer,	চলচিত্রের,	চলচ্চিত্রের,	
gasthi,	গ্যস্থি,	গোষ্ঠী,	
pader,	পদের,	প্যাডের,	
gosthyti,	গোষ্থিতি,	গোষ্ঠীটি,	
oxfordey,	অক্সপোর্ডে,	অক্সফোর্ডে,	
mulaadi,	মুলাদী,	মুলাদি,	
mootar,	মুটর,	মুতার,	
sunagarik,	সুনাগারিক,	সুনাগরিক,	
bulano,	বুলানো,	বুলান,	
sombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
setitey,	সেটিতে,	সেটিতে,	
evereste,	ইভারেস্টে,	এভারেস্টে,	
baibosthar,	ব্যবস্থার,	ব্যবস্থার,	
modeel,	মোদেল,	মডেল,	
niurolazi,	নিউরোলজি,	নিউরোলজি,	
ooindo,	উইন্ড,	উইন্ডো,	
victar,	ভিক্টর,	ভিক্টর,	
bishesyo,	বিশেষও,	বিশেষ্য,	
