tokei,	তোকেই,	ত্বকেই,	
kode,	কোদে,	কোডে,	
ceramiks,	সার্মাকিস,	সিরামিকস,	
pluse,	প্লাস,	প্লাসে,	
spredasita,	স্প্রদেশিত,	স্প্রেডশীট,	
shangsthati,	সংস্থাটি,	সংস্থাটি,	
saainyo,	সাইন্য,	সৈন্য,	
meghkey,	মেঘকে,	মেঘকে,	
jaistho,	জৈস্থ,	জ্যৈষ্ঠ,	
kuchir,	কুচির,	কুচির,	
hamburge,	হাম্ব্রোজ,	হামবুর্গে,	
nirapekkhotaar,	নিরেপক্ষতার,	নিরপেক্ষতার,	
monhputa,	মন্ফপুটা,	মনঃপুত,	
ponjeekaar,	পঞ্জিকার,	পঞ্জিকার,	
bhushi,	ভূষি,	ভুষি,	
rajpur,	রাজপুর,	রাজপুর,	
janmat,	জন্মাত,	জন্মাত,	
karmoke,	কর্মকে,	কর্মকে,	
astikra,	অস্তিকরা,	আস্তিকতা,	
koyartara,	কোয়ার্টার,	কোয়ার্টার,	
suparahiroo,	সুপারীহুরো,	সুপারহিরো,	
lutharen,	লুঠারেন,	লুথেরান,	
nabyota,	নাব্যতা,	নাব্যতা,	
sahapatheekey,	সহাপথীকে,	সহপাঠীকে,	
ghoshito,	ঘষিত,	ঘোষিত,	
augustin,	আগস্টিন,	অগাস্টিন,	
oshthad,	অষ্ঠাদ,	ওস্তাদ,	
vushi,	ভুষি,	ভুষি,	
ishtara,	ইস্টার,	ইস্টার,	
phund,	ফাউন্ড,	ফান্ড,	
gorrer,	গোরের,	গোরের,	
matorom,	মাটরোম,	মাতরম,	
dharabhiko,	ধারাভিকো,	ধারাবাহিকেও,	
sabbir,	সববীর,	সাব্বির,	
moogdal,	মুগদল,	মুগডাল,	
sharifpur,	শরীপুর,	শরিফপুর,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
jwoluk,	জ্বলুক,	জ্বলুক,	
highcomissione,	হাইকমিশনে,	হাইকমিশনে,	
uparjaner,	উপার্জনের,	উপার্জনের,	
aakkaas,	আকাশা,	আককাস,	
talaal,	তালাল,	তালাল,	
cholesi,	চলেছি,	চলেছি,	
adhunikkale,	আধুনিককালে,	আধুনিককালে,	
abikal,	অবিকাল,	অবিকল,	
brindo,	বৃর্ন্ড,	বৃন্দ,	
jolatanko,	জলতাঙ্ক,	জলাতঙ্ক,	
transhapharma,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
daaloo,	ডালু,	ডালু,	
injiniyarsa,	ইন্জিনিয়ার্স,	ইঞ্জিনিয়ার্স,	
bufar,	বুফার,	বাফার,	
shaahaabaah,	সাহাবাহ,	সাহাবাহ,	
superhiro,	সুপাহীরা,	সুপারহিরো,	
mohisho,	মহীশ,	মহিষ,	
ancholtikey,	আঞ্চলিকে,	অঞ্চলটিকে,	
bahubar,	বাহুবর,	বহুবার,	
gaje,	গাে,	গেজ,	
roktokshoroner,	রক্তকর্ষণের,	রক্তক্ষরণের,	
dhaleshorii,	ধালেশরী,	ধলেশ্বরী,	
aakik,	আকিক,	আকিক,	
cholocchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
roomantik,	রোমান্টিক,	রোমান্টিক,	
chidropothe,	চিদ্রপথে,	ছিদ্রপথে,	
maunjiley,	মঞ্জিলে,	মঞ্জিলে,	
provura,	প্রভূরা,	প্রভুরা,	
shaahocharje,	শাহচর্যে,	সাহচর্যে,	
deraa,	দেরা,	ডেরা,	
chalochchitreeo,	চলচিত্রীও,	চলচ্চিত্রেও,	
gonona,	গণনা,	গণনা,	
berubar,	বেরুবার,	বেরুবার,	
bodhir,	বধির,	বধির,	
konroop,	কনরুপ,	কোনরূপ,	
prachin,	প্রাচীন,	প্রাচীন,	
parishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
laishensh,	ল্যান্স,	লাইসেন্স,	
chalachchitra,	চালচিত্র,	চলচ্চিত্র,	
tenis,	টেনিস,	টেনিস,	
khoor,	ক্ষোর,	ক্ষুর,	
sobchey,	সবছে,	সবচে,	
prakalpoo,	প্রকালপু,	প্রকল্পও,	
lajek,	লাজেক,	লজিক,	
coode,	কোড,	কোড,	
soheensotar,	সহিনসতার,	সহিংসতার,	
mandanda,	মানদন্ড,	মানদণ্ড,	
saabbir,	সাবির,	সাব্বির,	
chilahatee,	চিলাহিত,	চিলাহাটি,	
categoryr,	ক্যাটোগরির,	ক্যাটাগরির,	
firozaa,	ফিরোজা,	ফিরোজা,	
otyacharito,	অত্যাচারিত,	অত্যাচারিত,	
apadan,	আপাদান,	অপাদান,	
zerusalem,	জেরুসলেম,	জেরুজালেম,	
bhowanipur,	ভভানিপুর,	ভবানীপুর,	
samanyoi,	সামান্যই,	সামান্যই,	
amarendro,	অমরেন্দ্র,	অমরেন্দ্র,	
bonyopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
bongshokey,	বংশকে,	বংশকে,	
hossne,	হসনে,	হোসনে,	
siddhantai,	সিদ্ধনটি,	সিদ্ধান্তই,	
thailand,	থাইল্যান্ড,	থাইল্যান্ড,	
jesthatar,	যেষ্ঠতার,	জ্যেষ্ঠতার,	
saahosikotar,	সাহিসকতার,	সাহসিকতার,	
toubar,	তাউবার,	তওবার,	
jeshtha,	জেষ্ঠ,	জ্যেষ্ঠা,	
kokhonoba,	কখনোবা,	কখনওবা,	
mukhabandho,	মুখবন্ধ,	মুখবন্ধ,	
maniktola,	মনিকটকটা,	মানিকতলা,	
juktorastreo,	যুক্তরাস্টেও,	যুক্তরাষ্ট্রেও,	
pudinn,	পুদিন,	পুডিং,	
toubaar,	তাউবার,	তওবার,	
aastikota,	আস্তিকতা,	আস্তিকতা,	
jarool,	জারুল,	জারুল,	
grambaasee,	গ্রামাবাসী,	গ্রামবাসী,	
antarvuktimulok,	অন্ত্রভূক্তমূলক,	অন্তর্ভুক্তিমূলক,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
romancha,	রোমাঞ্চ,	রোমাঞ্চ,	
moshjidke,	মস্বিদকে,	মসজিদকে,	
karo,	কারও,	করো,	
shartho,	স্বর্থ,	স্বার্থ,	
qaferder,	কাফারদের,	কাফেরদের,	
jilyanda,	জিল্যান্ড,	জিল্যান্ড,	
emargency,	এমার্জেন্সি,	এমার্জেন্সি,	
dhhalur,	ঢালুর,	ঢালুর,	
larson,	লার্সন,	লারসন,	
jyaka,	য্যাক,	জ্যাক,	
banijyikvittey,	বানিজ্যিকভিতে,	বাণিজ্যিকভিত্তিতে,	
kunti,	কুনটি,	কুন্তী,	
prosadhaner,	প্রসাধানের,	প্রসাধনের,	
pushteer,	পুস্তির,	পুষ্টির,	
dhrubok,	ধ্রুবক,	ধ্রুবক,	
footbalarra,	ফুটলাররা,	ফুটবলাররা,	
sachetanatamulok,	সচ্ছেতনামূলক,	সচেতনতামূলক,	
himi,	হিমি,	হিমি,	
bukhari,	বুখারী,	বুখারি,	
nothibhukta,	নথিভুক্ত,	নথিভুক্ত,	
saseza,	সাসেজা,	সসেজ,	
turkmen,	তুরক্্মিন,	তুর্কমেন,	
sayaneda,	সায়নেদ,	সায়ানাইড,	
gonosakkhorota,	গণস্করষা,	গণসাক্ষরতা,	
bahal,	বহল,	বহাল,	
seekkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
granther,	গ্রন্থের,	গ্রন্থের,	
janaganonar,	জনগণনোর,	জনগণনার,	
conshervation,	কনসারভেশন,	কনসারভেশন,	
nirapattamulak,	নির্তাপূমূলক,	নিরাপত্তামূলক,	
uponishod,	উপনিষদ,	উপনিষদ,	
byabaharkareei,	ব্যবহারকারী,	ব্যবহারকারীই,	
udbodhonee,	উদ্বধোনী,	উদ্বোধনী,	
adarsho,	আদর্শ,	আর্দশ,	
sibraz,	শিবরাজ,	শিবরাজ,	
udbhaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
grantha,	গ্রন্থ,	গ্রন্থ,	
jaistha,	জৈস্থ,	জ্যৈষ্ঠ,	
turkii,	তুর্কী,	তুর্কি,	
byaboharkareer,	ব্যবহারকারির,	ব্যবহারকারীর,	
sangrahak,	সংগ্রহক,	সংগ্রাহক,	
societyke,	সোকিতে,	সোসাইটিকে,	
laesens,	ল্যান্স,	লাইসেন্স,	
dijijer,	ডিজিজের,	ডিজিজের,	
bamoni,	বামনী,	বামনী,	
prokolpogulor,	প্রক্লপুগোলোর,	প্রকল্পগুলোর,	
jonoshongjog,	জনসংযোগ,	জনসংযোগ,	
visnu,	ভিষ্ণু,	বিষ্ণু,	
ebhara,	ইভার,	এভার,	
dolguloo,	দলগুলো,	দলগুলোও,	
mojlis,	মজলিস,	মজলিশ,	
spredashita,	স্প্রদেশিত,	স্প্রেডশীট,	
petrol,	পেট্রোল,	পেট্রোল,	
nagorikderke,	নগরীকদেরকে,	নাগরিকদেরকে,	
naitikatavodh,	নৈতিকতভাদ,	নৈতিকতাবোধ,	
konishtho,	কণিষ্ঠ,	কনিষ্ঠ,	
pracharana,	প্রচারনা,	প্রচারণা,	
jubokra,	যুবক্র,	যুবকরা,	
erina,	এরিন,	এরিনা,	
kemane,	কেমনে,	কেমনে,	
abdur,	আব্দুর,	আবদুর,	
sattweo,	সত্ত্বেও,	সত্ত্বেও,	
dibeting,	ডিবেটিং,	ডিবেটিং,	
degree,	ডিগ্রী,	ডিগ্রি,	
iyanqi,	ই্যাংকি,	ইয়াংকি,	
ghetoo,	ঘেতু,	ঘেটু,	
itostato,	ইতোস্টট,	ইতস্তত,	
katbe,	কাটবে,	কাটবে,	
america,	এ্যামেরিকা,	আমেরিকা,	
smaroker,	স্মারকের,	স্মারকের,	
satarko,	সত্রকো,	সতর্ক,	
arakaner,	আরাকানের,	আরাকানের,	
shomrat,	সমরত,	সম্রাট,	
sulke,	সালকে,	শুল্কে,	
rushd,	রুশদ,	রুশদ,	
patengar,	পতেঙ্গার,	পতেঙ্গার,	
shkolashtic,	স্কলসাটিক্স,	স্কলাস্টিক,	
ostader,	অস্তাদের,	ওস্তাদের,	
prokalpatikey,	প্রক্লপাতিকে,	প্রকল্পটিকে,	
bonnopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
batsmanei,	বৎসমানেই,	ব্যাটসম্যানই,	
ekoghore,	একঘোরে,	একঘরে,	
thela,	ঠেলা,	ঠেলা,	
niketan,	নিকেতন,	নিকেতন,	
aarcia,	আর্কিয়া,	আরসিএ,	
choudhurider,	চৌধুরিদের,	চৌধুরীদের,	
granthoti,	গ্রন্থটি,	গ্রন্থটি,	
methaner,	মেথনের,	মিথেনের,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
chowdhurir,	চৌধুরির,	চৌধুরীর,	
gronthati,	গ্রন্থটি,	গ্রন্থটি,	
laaisens,	লাইন্স,	লাইসেন্স,	
mosjidsaha,	মসিদিসসা,	মসজিদসহ,	
natians,	নেটিয়ান্স,	নেশনস,	
estania,	এস্টানিয়া,	এস্তোনিয়া,	
plack,	প্লক,	প্ল্যাক,	
muphti,	মুফতি,	মুফতি,	
chaalabi,	চালাবি,	চালাবে,	
shamook,	সামুক,	শামুক,	
phala,	ফাল,	পোলো,	
byapokotor,	ব্যাপকতর,	ব্যাপকতর,	
kheylechen,	খেলেছেন,	খেলেছেন,	
nirmaankaj,	নির্মাণাজক,	নির্মাণকাজ,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
heeli,	হেলি,	হিলি,	
karmakandeo,	কর্মকান্দে,	কর্মকাণ্ডেও,	
phutbolarder,	ফুট্যারদের,	ফুটবলারদের,	
dwipgulote,	দ্বীগগুলোতে,	দ্বীপগুলোতে,	
soinyo,	সৈন্য,	সৈন্য,	
upobashii,	উপবাসী,	উপবাসী,	
gardeena,	গার্ডেন,	গার্ডেন,	
ghenshe,	ঘেঁসে,	ঘেঁষে,	
dayra,	ডেয়ার,	ডেরা,	
babilon,	ব্যাবিনোন,	ব্যাবিলন,	
pragress,	প্রগ্রেস,	প্রগ্রেস,	
bopon,	বপন,	বপন,	
abahon,	আবহন,	আবাহন,	
chetanagato,	ছেতানগত,	চেতনাগত,	
manonitader,	মনোনীদের,	মনোনীতদের,	
nagorikkey,	নাগরিককে,	নাগরিককে,	
chopol,	চপুল,	চপল,	
aksathei,	একসাথেই,	একসাথেই,	
chalachchitrogulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
parikshateo,	পরীক্ষেতাও,	পরীক্ষাতেও,	
jens,	জেন্স,	জিন্স,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
benj,	বেঞ্জ,	বেঞ্জ,	
ohollar,	অহলার,	অহল্যার,	
homsher,	হমসের,	হোমসের,	
pade,	পেডে,	পাড়ে,	
mokhmoley,	মখমলে,	মখমলে,	
bosanta,	বসন্ত,	বসন্ত,	
hajeerhatt,	হাজীরহাট,	হাজিরহাট,	
brindaa,	বৃর্না,	বৃন্দা,	
ropto,	রপ্ত,	রপ্ত,	
shoori,	শুরি,	সুরি,	
karmosampadan,	কর্মসম্পদন,	কর্মসম্পাদন,	
zacksan,	যাকশন,	জ্যাকসন,	
swatantrata,	স্বাতন্ত্রতা,	স্বতন্ত্রতা,	
janaar,	জানার,	জানার,	
jyaqasana,	জ্যাকশন,	জ্যাকসন,	
duplee,	ডুপলি,	ডুপ্লে,	
pragreesa,	প্রগ্রেস,	প্রগ্রেস,	
jater,	যাতের,	জাতের,	
teenisa,	টেনিস,	টেনিস,	
nebhatey,	নেভাতে,	নেভাতে,	
mahajote,	মহাজতে,	মহাজোট,	
bosontokke,	বসন্তককে,	বসন্তকে,	
chon,	চন,	ছোঁ,	
grambaasider,	গ্রাম্বাসীদের,	গ্রামবাসীদের,	
kurdider,	কুর্দীদের,	কুর্দিদের,	
sahajlabhbhotar,	সহজভ্লভাতার,	সহজলভ্যতার,	
sharif,	শেরিফ,	শরিফ,	
vittimul,	ভীতিমুল,	ভিত্তিমূল,	
klaud,	ক্লদ,	ক্লাউড,	
cbi,	সিবি,	সিবিআই,	
oitihyer,	ঐতিহ্যের,	ঐতিহ্যের,	
adhuna,	অধুনা,	অধুনা,	
puddin,	পুদ্দিন,	পুডিং,	
sucre,	সুক্র,	সাকার,	
ekaar,	একার,	একার,	
paikar,	পাইকার,	পাইকার,	
stonehenge,	স্তেনহেগ্নে,	স্টোনহেঞ্জ,	
shalook,	সালুক,	শালুক,	
thakani,	ঠকানি,	থাকেনি,	
zonsa,	জনসা,	জোন্স,	
aqramer,	আকরামের,	আকরামের,	
ranadeep,	রণনদীপ,	রণদীপ,	
gosthyi,	গোষ্ঠী,	গোষ্ঠীই,	
superhero,	সুপেরেরও,	সুপারহিরো,	
sakkhatkarer,	সাক্ষাতকারের,	সাক্ষাৎকারের,	
ummool,	উম্মুল,	উম্মুল,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
sahoocorzoe,	সহসকর্যে,	সাহচর্যে,	
abheedhaaneec,	অভিধানিক,	অভিধানিক,	
eshhiyatika,	এস্যাটিক,	এশিয়াটিক,	
gananatya,	গণনাত্য,	গণনাট্য,	
sudhuyi,	সুধুই,	শুধুই,	
upobasi,	উপবাসী,	উপবাসী,	
nirdeshika,	নির্দেশিকা,	নির্দেশিকা,	
prokolpeo,	প্রকল্পেও,	প্রকল্পেও,	
khalid,	খলিদ,	খালিদ,	
shekender,	সেকেন্ডার,	সেকেন্ডের,	
beca,	বেকা,	বেচা,	
anyoroop,	অন্যরূপ,	অন্যরূপ,	
oswasteekor,	অস্বাস্তিকর,	অস্বস্তিকর,	
steeit,	স্টেইট,	স্টেইট,	
kareer,	কারীর,	কারীর,	
ankita,	অংকিত,	অঙ্কিতা,	
groth,	গ্রথ,	গ্রোথ,	
prokolpou,	প্রকল্পও,	প্রকল্পও,	
ghamta,	ঘামটা,	ঘোমটা,	
asovya,	অসভ্য,	অসভ্য,	
chaalta,	চাল্টা,	চালতা,	
bolatkar,	বলাৎকার,	বলাৎকার,	
maktum,	মক্তম,	মাকতুম,	
zubokera,	যুবকেরা,	যুবকেরা,	
granthaty,	গ্রন্থাটি,	গ্রন্থটি,	
sommoteer,	সম্মতির,	সম্মতির,	
uper,	উপার,	আপের,	
cool,	কুল,	কুল,	
masazida,	মাজাসিদ,	মসজিদ,	
faaser,	ফাসের,	ফাঁসের,	
sulphate,	সালফাটে,	সালফেট,	
debodebi,	দেবদেবি,	দেবদেবী,	
nothivookto,	নথিভুক্ত,	নথিভুক্ত,	
ayantarketika,	আন্যাটর্কটিক,	অ্যান্টার্কটিকা,	
oholyar,	অহল্যার,	অহল্যার,	
sahocorrze,	সহচর্রে,	সাহচর্যে,	
gronthoti,	গ্রন্থটি,	গ্রন্থটি,	
gor,	গর,	গোর,	
cheesa,	চেস,	চেস,	
obhiyojan,	অভিযোজন,	অভিযোজন,	
gajano,	গাজনও,	গজানো,	
nariider,	নারীদের,	নারীদের,	
kaner,	কানের,	কনের,	
mogert,	মগার্ট,	মোজার্ট,	
huqar,	হুকার,	হুকার,	
nirapekkhotar,	নিরেপক্ষতার,	নিরপেক্ষতার,	
ukeliptash,	উকেলিপেল্টাস,	ইউক্যালিপ্টাস,	
tennise,	টেনিস,	টেনিসে,	
pooshteer,	পুস্তির,	পুষ্টির,	
kreedita,	ক্রেডিত,	ক্রেডিট,	
aminar,	আমিনার,	আমিনার,	
hock,	হক,	হুক,	
sharther,	স্র্থের,	স্বার্থের,	
aagera,	আগেরা,	আগোরা,	
attobishwasi,	আত্তববিশ্বাসী,	আত্মবিশ্বাসী,	
dipon,	ডিপোন,	দীপন,	
rajtontrokey,	রাজততন্তকে,	রাজতন্ত্রকে,	
institutioner,	ইন্সটিটিউশনের,	ইনস্টিটিউশনের,	
jatak,	যতক,	জাতক,	
hirani,	হিরানী,	হিরানি,	
ruplal,	রূপলাল,	রূপলাল,	
bandhubhabaponno,	বন্ধুবাভুন্ন,	বন্ধুভাবাপন্ন,	
byaboharkariderkey,	ব্যবহারকারিকে,	ব্যবহারকারীদেরকে,	
mucus,	মুকাশ,	মিউকাস,	
durotaumo,	দুরতাম,	দূরতম,	
laaj,	লাজ,	লাজ,	
leder,	লেডার,	লিডার,	
songbadmadhyame,	সংবাদদ্ধমে,	সংবাদমাধ্যমে,	
zeland,	জেল্যান্ড,	জিল্যান্ড,	
phormat,	ফরমমট,	ফরম্যাট,	
soourse,	সূর্সে,	সোর্স,	
bidrup,	বিদ্রুপ,	বিদ্রূপ,	
asocheton,	অসচেতন,	অসচেতন,	
oncholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
udbhabone,	উদ্ভাবনে,	উদ্ভাবনে,	
orghyo,	অর্ঘ্য,	অর্ঘ্য,	
moreecha,	মরিচা,	মরিচা,	
tirmizi,	তিরমিযী,	তিরমিজি,	
agom,	আগম,	আগম,	
garjon,	গর্জন,	গর্জন,	
jahar,	জহার,	জহর,	
songostha,	সংগোস্থ,	সংস্থা,	
ogrodut,	অগ্রদূত,	অগ্রদূত,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
hijri,	হিজরি,	হিজরী,	
teresa,	তেরেসা,	টেরেসা,	
dharavahik,	ধারাভাভিক,	ধারাবাহিক,	
antarctica,	অন্তর্কটিকা,	অ্যান্টার্কটিকার,	
benke,	বেঁকে,	বেঁকে,	
janogananar,	জনগণনার,	জনগণনার,	
biplabeer,	বিপ্লবীর,	বিপ্লবীর,	
protistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
mondope,	মন্ডপে,	মন্ডপে,	
paripaker,	পরিপকের,	পরিপাকের,	
oncholshomuh,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
madhabi,	মাধাবী,	মাধবী,	
fanser,	ফাঁসের,	ফাঁসের,	
udvabaker,	উদ্ভাবকের,	উদ্ভাবকের,	
toroon,	তরুণ,	তরুন,	
chhutee,	ছুটি,	ছুটি,	
birishirite,	বিরীষিরিতে,	বিরিশিরিতে,	
prokar,	প্রকার,	প্রকার,	
monjooshree,	মন্জুসরী,	মঞ্জুশ্রী,	
laisensim,	লেইসন্সিং,	লাইসেন্সিং,	
jalrang,	জলরাং,	জলরঙ,	
roktokkhorone,	রক্তকর্ষণে,	রক্তক্ষরণে,	
gujaber,	গুজবের,	গুজবের,	
ganachin,	গানাচিং,	গণচীন,	
toder,	তোদের,	তদের,	
volapuk,	ভোলাপুক,	ভোলাপুক,	
kalnir,	কালনীর,	কালনীর,	
sahokari,	সহকারি,	সহকারী,	
orthoneeti,	অর্থনীতি,	অর্থনীতির,	
wault,	ওয়েট,	ভল্ট,	
aminool,	এমিনুল,	আমিনুল,	
aatmobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
makang,	ম্যাকাং,	মেকং,	
saatzoner,	সাতজনের,	সাতজনের,	
bardhitansh,	বর্ধিতনাস,	বর্ধিতাংশ,	
hajartee,	হাজরটি,	হাজারটি,	
bhaabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
jeevjontu,	জীবনন্তু,	জীবজন্তু,	
gobeshona,	গবেষণা,	গবেষনা,	
temanbhabe,	তেমানভাবে,	তেমনভাবে,	
ostad,	অস্তাদ,	ওস্তাদ,	
manushsaho,	মনুসসহ,	মানুষসহ,	
bisnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
koilash,	কৈলাশ,	কৈলাস,	
definision,	ডেফিনিশন,	ডেফিনেশন,	
panjikar,	পাঞজিকর,	পঞ্জিকার,	
carlas,	চার্লস,	কার্লোস,	
charukala,	চারুকালা,	চারুকলা,	
ssahocorze,	সাহকর্যে,	সাহচর্যে,	
birder,	বীর্দের,	বার্ডের,	
veemsen,	ভিমসেন,	ভীমসেন,	
faridi,	ফরীদি,	ফরিদী,	
sushikkhar,	সুশিক্ষর,	সুশিক্ষার,	
pletoo,	পলেটো,	প্লেটো,	
transfarm,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
sookumari,	সুকুমারী,	সুকুমারী,	
jiland,	জিল্যান্ড,	জিল্যান্ড,	
graambaseeo,	গ্রামাবাসীও,	গ্রামবাসীও,	
prachurzer,	প্রাচুর্যের,	প্রাচুর্যের,	
palkee,	পলকি,	পাল্কি,	
lutheren,	লুডারেন,	লুথেরান,	
majlish,	মজলিস,	মজলিশ,	
porissrom,	পরিস্রোম,	পরিশ্রম,	
eshiyetika,	এসিয়েটিক,	এশিয়াটিক,	
jonesh,	জনেস,	জোন্স,	
kanasarabhesana,	কনসারভেশন,	কনসারভেশন,	
routine,	রাউটিন,	রুটিন,	
jatee,	জাতি,	যাতি,	
muscat,	মাসকাট,	মাস্কাট,	
bhejano,	ভেজানো,	ভেজানো,	
niropekshtar,	নিরপেক্ষাতার,	নিরপেক্ষতার,	
taalaal,	তালাল,	তালাল,	
santa,	সন্ত,	সান্তা,	
deke,	দেকে,	ডেকে,	
poderthobid,	পদার্থবিদ,	পদার্থবিদ,	
karpet,	কর্পট,	কার্পেট,	
mast,	মোস্ট,	মাস্ত,	
ghamtaa,	ঘামটা,	ঘোমটা,	
kanthar,	কণ্ঠর,	কাঁথার,	
onekeri,	অনেকেরী,	অনেকেরই,	
jestha,	জেষ্ঠ,	জ্যেষ্ঠা,	
mayily,	মেলি,	মাইলি,	
parishromi,	পরিশ্রমী,	পরিশ্রমী,	
nischitabhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
bolechile,	বলেছিলে,	বলেছিলে,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
fartha,	ফার্থ,	ফার্থ,	
shikhar,	শিখার,	শিকার,	
sahosikotaar,	সহসিকতার,	সাহসিকতার,	
skalastic,	স্কলস্টিক,	স্কলাস্টিক,	
bonbhumi,	বনভূমি,	বনভূমি,	
angkita,	অংকিত,	অঙ্কিতা,	
taler,	তলের,	তালের,	
sthaponakey,	স্থাপনাকে,	স্থাপনাকে,	
achis,	অচিস,	আছিস,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
bbosonte,	বসন্তে,	বসন্তে,	
billah,	বিলোহ,	বিল্লাহ,	
jhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
osontos,	অসন্তুষ,	অসন্তোষ,	
gezeted,	গেজেটেড,	গেজেটেড,	
sorbopori,	সর্বোপরি,	সর্বোপরী,	
shukraanoo,	শুক্রাণু,	শুক্রানু,	
torabganj,	তোরাগবঞ্জ,	তোরাবগঞ্জ,	
alpoi,	আলপই,	অল্পই,	
sheepha,	সেফ,	শেফ,	
thaakte,	থাকতে,	থাকতে,	
inapharameshhana,	ইনফরমেশন,	ইনফরমেশন,	
santaa,	সন্তা,	সান্তা,	
dhauta,	ধাউটা,	ধৌত,	
sangostha,	সংগোস্থ,	সংস্থা,	
abheedhaanic,	অভিধানিক,	অভিধানিক,	
wenice,	ভেনিস,	ভেনিস,	
inphormation,	ইনফারমেশন,	ইনফরমেশন,	
kark,	কার্ক,	কার্ক,	
asabhya,	অসভ্য,	অসভ্য,	
rananganey,	রণাঙ্গনে,	রণাঙ্গনে,	
jansa,	জনসা,	জোন্স,	
koushalgato,	কৌসঙগগত,	কৌশলগত,	
