ghumato,	ঘুমত,	ঘুমাতো,	
dharagulo,	ধারাগুলো,	ধারাগুলো,	
prokolpogulo,	প্রক্্পলগুলো,	প্রকল্পগুলো,	
nepchooner,	নেপছছেনের,	নেপচুনের,	
ronangane,	রণাঙ্গনে,	রণাঙ্গনে,	
jubokey,	যুবকে,	যুবকে,	
pari,	প্যারি,	পেরি,	
sanbadmadhyame,	সংবাদমধ্যমে,	সংবাদমাধ্যমে,	
patenter,	পটেন্টর,	পেটেন্টের,	
sunagorik,	সুনাগরিক,	সুনাগরিক,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
ponni,	পণ্নি,	পন্নী,	
chowdhuryder,	চৌুধিরীদের,	চৌধুরীদের,	
decke,	ডেকে,	ডেকে,	
dakshinangsha,	দক্ষিণাংশ,	দক্ষিণাংশ,	
nodiiti,	নদীতি,	নদীটি,	
valobasa,	ভালবাসা,	ভালোবাসা,	
ghesei,	ঘেসেই,	ঘেঁষেই,	
treend,	ট্রেন্ড,	ট্রেন্ড,	
saaralya,	সরোল্য,	সারল্য,	
kabutorer,	কাবুটেরর,	কবুতরের,	
balbo,	বাবো,	বলবো,	
shamuker,	শামুকের,	শামুকের,	
strigon,	স্ত্রীগণ,	স্ত্রীগণ,	
anhu,	অহনু,	আনহু,	
istonia,	ইস্টননিয়া,	এস্তোনিয়া,	
dweepgoolotey,	দ্বিপগুলোতে,	দ্বীপগুলোতে,	
mozlishpur,	মজলিসুর,	মজলিশপুর,	
tinti,	তিনটি,	তিনটি,	
sushukkhar,	শুশুক্ষার,	সুশিক্ষার,	
kromo,	ক্রম,	ক্রম,	
baffer,	বাফার,	বাফার,	
bibecchyo,	বিবেচ্ছ,	বিবেচ্য,	
dovaar,	দবার,	ডোভার,	
bronze,	ব্রঞ্জে,	ব্রোঞ্জ,	
odhito,	অধিত,	অধীত,	
munshi,	মুনসী,	মুন্সি,	
potthon,	পথ্যন,	পঠন,	
ahalyar,	অহল্যার,	অহল্যার,	
nama,	নামা,	নমো,	
spencer,	স্পেন্সের,	স্পেন্সার,	
abhishangson,	অভিশাংশন,	অভিশংসন,	
masajida,	মসাজিদা,	মসজিদ,	
byabostha,	ব্যবস্থা,	ব্যাবস্থা,	
ganonatya,	গণনত্্,	গণনাট্য,	
spredshiit,	স্প্রেশ্দিস,	স্প্রেডশীট,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
vabnake,	ভবনাকে,	ভাবনাকে,	
oshovyo,	অশভ্য,	অসভ্য,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
shukraanoo,	শুক্রাণু,	শুক্রানু,	
soinyoder,	সৈন্যদের,	সৈন্যদের,	
philippiner,	ফিলিপিনের,	ফিলিপাইনের,	
pravura,	প্রভারা,	প্রভুরা,	
jesha,	যেস,	জেস,	
allah,	আল্লাহ,	আল্লাহ্,	
aarcie,	আর্সি,	আরসিএ,	
taufiq,	তৌফিক,	তৌফিক,	
graambaaseeder,	গ্রামসাবীদের,	গ্রামবাসীদের,	
protyokkhovabey,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
myathious,	ম্যাযাউজস,	ম্যাথিউস,	
shhow,	শো,	শো,	
ajiban,	আজিবান,	আজীবন,	
expressian,	এক্সপ্রেশন,	এক্সপ্রেশন,	
rephlex,	রাইফ্লক,	রিফ্লেক্স,	
hizriite,	হিজরীতে,	হিজরীতে,	
baraakpur,	বারপকুপুর,	বারাকপুর,	
pachhen,	পাঁছেন,	পাচ্ছেন,	
markeeting,	মার্কেটিং,	মার্কেটিং,	
rohosyo,	রহস্য,	রহস্য,	
muhommoder,	মুহম্মদের,	মুহম্মদের,	
oshthad,	অষ্থাদ,	ওস্তাদ,	
cholochchitro,	চলচিত্র,	চলচ্চিত্র,	
geeja,	গেজা,	গেজ,	
atohar,	অটোহার,	আতহার,	
bhaider,	ভাইডের,	ভাইদের,	
uposhthitir,	উপস্থিতির,	উপস্থিতির,	
korkotkranti,	কর্কষাটর্টি,	কর্কটক্রান্তি,	
maadla,	মডলা,	মাদলা,	
bhangle,	ভাংলে,	ভাঙলে,	
shikarey,	শিকারে,	শিকারে,	
elaakaa,	এলাকা,	এলাকা,	
shaleha,	সালেহ,	সালেহা,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
dibating,	ডিবটিং,	ডিবেটিং,	
charrjar,	চার্জার,	চার্জার,	
taiteela,	টেটেল,	টাইটেল,	
sudhui,	সুধুই,	শুধুই,	
bodka,	বোডা,	ভদকা,	
khargosher,	খার্গাসের,	খরগোসের,	
toroon,	তরুণ,	তরুন,	
okhondota,	অখ্নদ্ততা,	অখণ্ডতা,	
venis,	ভেনিস,	ভেনিস,	
vabnakey,	ভবনাকে,	ভাবনাকে,	
mukhomondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
shilpojaat,	শিল্পোজাত,	শিল্পজাত,	
parkasa,	পার্কস,	পার্কস,	
madraji,	মাদ্রাজী,	মাদ্রাজি,	
pyatarna,	প্যাটার্ন,	প্যাটার্ন,	
vugoley,	ভূগলে,	ভূগোলে,	
juktorashtrosaha,	যুক্তরাস্ট্রস,	যুক্তরাষ্ট্রসহ,	
pooshti,	পুষ্টি,	পুষ্টি,	
karmasampadan,	কর্মসম্পদান,	কর্মসম্পাদন,	
noiteekota,	নৈতকতা,	নৈতিকতা,	
tawnship,	তব্্িশ,	টাউনশিপ,	
khalidke,	খলিদিকে,	খালিদকে,	
shotodha,	শতোধা,	শতধা,	
evil,	এভিল,	ইভিল,	
durotamo,	দুরতত,	দূরতম,	
kyathalika,	ক্যাথালিক,	ক্যাথলিক,	
sahopatheeke,	সহপপীকে,	সহপাঠীকে,	
veenish,	ভিনিস,	ভেনিস,	
kakhnoba,	কখন্নবা,	কখনওবা,	
abosane,	অবসানে,	অবসানে,	
mitroder,	মিত্রদের,	মিত্রদের,	
safiin,	সফিিন,	সাফিন,	
uchchotara,	উচ্চতারা,	উচ্চতর,	
ciima,	সাইম,	সীমা,	
kande,	কান্ডে,	কাণ্ডে,	
protijogi,	প্রতিযোগি,	প্রতিযোগী,	
petrol,	পেটরোল,	পেট্রোল,	
taphaat,	টফফট,	তফাৎ,	
sangkulan,	সংকুলন,	সংকুলান,	
granthati,	গ্রন্থাটি,	গ্রন্থটি,	
jockey,	জকে,	জকি,	
female,	ফেমলে,	ফিমেল,	
aalaaoler,	আলাালের,	আলাওলের,	
duplee,	দুপলী,	ডুপ্লে,	
kolkarkhana,	কলকার্ান,	কলকারখানা,	
bhootara,	ভোটার,	ভোটার,	
venuser,	ভাইনাসের,	ভেনাসের,	
krush,	ক্রাশ,	ক্রুশ,	
saccar,	সচকার,	সকার,	
gujab,	গুজাব,	গুজব,	
halloween,	হালউইন,	হ্যালোইন,	
transformarer,	ট্রান্সপোরারের,	ট্রান্সফরমারের,	
ixprission,	এক্সপ্রেশন,	এক্সপ্রেশন,	
postkay,	পোস্টকে,	পোস্টকে,	
chetnagato,	চেতনগত,	চেতনাগত,	
bashite,	বাসিতে,	বাঁশিতে,	
brooklyn,	ব্রকলান,	ব্রুকলিন,	
sotorkobhabey,	সরতকভাবে,	সতর্কভাবে,	
uparjaner,	উপারজনের,	উপার্জনের,	
zzojyota,	যোজ্যতা,	যোজ্যতা,	
mahey,	মহে,	মাহে,	
baait,	ব্যাট,	বাইট,	
pacchen,	পাঁচেন,	পাচ্ছেন,	
daily,	ডাইলি,	ডেইলি,	
zhalokatthi,	ঝালাঠাঠি,	ঝালকাঠী,	
oviyojan,	অভিযোজন,	অভিযোজন,	
gafiloti,	গফফিলতি,	গাফিলতি,	
chhatogalper,	ছটটোলেপর,	ছোটগল্পের,	
elaakaate,	এলাকাতে,	এলাকাতে,	
through,	থ্রুঘ,	থ্রু,	
udvabon,	উদ্ভবন,	উদ্ভাবন,	
skolastic,	স্কোলাসিক,	স্কলাস্টিক,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
hijri,	হিজরী,	হিজরী,	
janalo,	জানাল,	জানালো,	
gonohottar,	গণহত্তার,	গণহত্যার,	
abdi,	আব্দি,	অব্দি,	
shithilatar,	সিথীলতার,	শিথিলতার,	
chatrorai,	ছাত্রাই,	ছাত্ররাই,	
ostad,	অসতাদ,	ওস্তাদ,	
meghe,	মেঘে,	মেঘে,	
ghatleo,	ঘাটলেও,	ঘটলেও,	
hebhee,	হেভী,	হেভি,	
hatochokito,	হতচকিত,	হতচকিত,	
sohokari,	সহকারী,	সহকারী,	
soorti,	শূর্টি,	সুরটি,	
uindos,	উইন্ডোস,	উইন্ডোস,	
pouchhute,	পৌঁছুতে,	পৌঁছুতে,	
hukar,	হুকার,	হুকার,	
dhanni,	ধনবনি,	ধন্যি,	
siddhantogulo,	সিধ্ধতন্তলো,	সিদ্ধান্তগুলো,	
jeten,	জেটেন,	জেতেন,	
itastato,	ইৎসট্ট,	ইতস্ততঃ,	
karuna,	কারুনা,	করুণা,	
bhumijo,	ভূমিজ,	ভূমিজ,	
graambaaseeo,	গ্রামসাবেই,	গ্রামবাসীও,	
phixing,	ফিকিং,	ফিক্সিং,	
shaahocharje,	সাহাচার্যে,	সাহচর্যে,	
iura,	ইউরা,	ইউরো,	
nodimatrik,	নদিমাত্রিক,	নদীমাতৃক,	
shangkalone,	সংকালনে,	সংকলনে,	
direektareeta,	ডিরেক্টিরেট,	ডিরেক্টরেট,	
keengdom,	কিংমড,	কিংডম,	
ajiboner,	আজিবনের,	আজীবনের,	
dey,	দে,	ডে,	
gatee,	গেট,	গ্যেটে,	
sarbhaarti,	সর্বর্তী,	সার্ভারটি,	
mukhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
shommotite,	সম্মতিতে,	সম্মতিতে,	
sainyasoho,	সৈন্যসহ,	সৈন্যসহ,	
rubio,	রুবিও,	রুবিও,	
segulor,	সেগুলোর,	সেগুলোর,	
hyarikeena,	হ্যারিকেন,	হ্যারিকেন,	
akram,	আকরমম,	আকরাম,	
nartan,	নর্টন,	নর্টন,	
nodiitike,	নদীতীকে,	নদীটিকে,	
taki,	টাকি,	তকি,	
nazi,	নজি,	নাত্সি,	
towbaar,	তবার,	তওবার,	
messenjer,	মেসেনেজর,	মেসেঞ্জার,	
antarctikar,	অন্টারটিকটার,	অ্যান্টার্কটিকার,	
kirti,	কীর্তি,	কীর্তি,	
dharabahikotitey,	ধারাবাহিতিকে,	ধারাবাহিকটিতে,	
sangkalaney,	সংকললনে,	সংকলনে,	
transcom,	ট্রাস্সম,	ট্রান্সকম,	
keo,	কেও,	কেউ,	
masjidke,	মস্জিদকে,	মসজিদকে,	
olympic,	অলমিপ্িক,	অলিম্পিক,	
remacri,	রিমা্্রীকি,	রেমাক্রী,	
shreemati,	শ্রীমতি,	শ্রীমতি,	
heavy,	হেভি,	হেভি,	
aqramer,	আক্রমের,	আকরামের,	
serverey,	সার্ভারে,	সার্ভারে,	
taaims,	টাইমস,	টাইমস্,	
ghumachchilo,	ঘুমাচিলি,	ঘুমাচ্ছিল,	
daakteekite,	দাক্তিকেতে,	ডাকটিকিটে,	
soranor,	সরানোর,	সরানোর,	
dhormi,	ধর্মি,	ধর্মী,	
codeti,	কডেটি,	কোডটি,	
chalachchitroi,	চলচ্ছিত্রী,	চলচ্চিত্রই,	
janachhe,	জনাচ্ছে,	জানাচ্ছে,	
koyartara,	কোয়ার্টার,	কোয়ার্টার,	
timoothi,	টিমুথি,	টিমোথি,	
balokarak,	বালকারক,	বলকারক,	
nathivookteer,	নথিভূক্তির,	নথিভুক্তির,	
argho,	অর্ঘ্য,	অর্ঘ্য,	
nandolal,	নন্দলাল,	নন্দলাল,	
pannee,	পণ্যে,	পন্নী,	
potocheetrer,	পতচিচ্রের,	পটচিত্রের,	
tookrokey,	তুকরকে,	টুকরোকে,	
bongshokey,	বংশকে,	বংশকে,	
mulgato,	মুলগত,	মূলগত,	
vishnu,	বিষ্ণু,	বিষ্ণু,	
tirmiji,	তিরমিজী,	তিরমিজি,	
baruklin,	বারুকলিিন,	ব্রুকলিন,	
drissoi,	দৃশ্যেই,	দৃশ্যই,	
maudelti,	মাডেলটি,	মডেলটি,	
buffer,	বাফার,	বাফার,	
carlos,	কার্লস,	কার্লোস,	
gori,	গরি,	গোরি,	
adhyatmik,	আধ্যাত্মিক,	আধ্যাত্মিক,	
janake,	জনকে,	জানাতে,	
bashoborty,	বাসববর্তী,	বশবর্তী,	
maladabha,	মালদাভা,	মলদোভা,	
emiretus,	এমেরিটাস,	এমিরেটাস,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
marier,	মেরির,	ম্যারির,	
toufik,	তৌফিক,	তৌফিক,	
lutheeran,	লুঠারণ,	লুথেরান,	
poricchonnota,	পরিচ্ঞনন্তা,	পরিচ্ছন্নতা,	
shelim,	সেলিং,	সেলিম,	
shasonkorta,	শাসনকর্তা,	শাসনকর্তা,	
sheekar,	শিকার,	শিকার,	
abodamaner,	অবদামানের,	অবদমনের,	
tarabaina,	তারববাইন,	টারবাইন,	
hoomes,	হোমস,	হোমস,	
koyeri,	কো়রি,	কোয়েরি,	
ajimpoor,	আজিমপুর,	আজিমপুর,	
manzurul,	মঞ্জুরুল,	মনজুরুল,	
somsher,	সমমের,	সমশের,	
nischitarupey,	নিষ্টিচরূপে,	নিশ্চিতরূপে,	
grambaseeder,	গ্রামসাবীদের,	গ্রামবাসীদের,	
tiunar,	টিউনার,	টিউনার,	
dhwajbhango,	ধ্বভাঙ্গ,	ধ্বজভঙ্গ,	
sthapanar,	স্থাপনার,	স্থাপনার,	
janagananar,	জনগননার,	জনগণনার,	
mangoleek,	মাঙ্গোলক,	মাঙ্গলিক,	
reliance,	রিলিন্স,	রিলায়েন্স,	
haipar,	হাইপার,	হাইপার,	
taffsherer,	তফসরের,	তাফসীরের,	
amittrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
kortonaa,	কর্তনা,	করতনা,	
agomonke,	আগমনকে,	আগমনকে,	
zojjyota,	যোজ্যতা,	যোজ্যতা,	
juktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
drissoke,	দৃশ্যকে,	দৃশ্যকে,	
depooti,	দেপুটি,	ডেপুটি,	
sharther,	শর্থ্যের,	স্বার্থের,	
baikalya,	বৈকল্য,	বৈকল্য,	
asavyo,	অসব্য,	অসভ্য,	
nathibhooktir,	নথিভূক্তির,	নথিভুক্তির,	
marmaara,	মার্মার,	মারমারা,	
jaater,	যাঁতের,	জাতের,	
tenishe,	টাইনিস,	টেনিসে,	
dipgulo,	দীপগুলো,	দ্বীপগুলো,	
hajjarer,	হাজ্রের,	হাজারের,	
sothik,	সথিক,	সঠিক,	
firth,	ফির্থ,	ফার্থ,	
oswasteekor,	অস্বাস্তিকর,	অস্বস্তিকর,	
nabam,	নবাম,	নবম,	
paikar,	পাযাকার,	পাইকার,	
khilafat,	খিলাফাত,	খিলাফত,	
protishtan,	প্রতিষ্টান,	প্রতিষ্টান,	
vumij,	ভূমিজ,	ভূমিজ,	
beshirvagei,	বেশীরভাগেই,	বেশিরভাগেই,	
fasi,	ফসি,	ফাঁসী,	
preety,	প্রীতি,	প্রিটি,	
dheke,	ঢেঁকি,	ঢেকে,	
niketan,	নিকেটন,	নিকেতন,	
godabori,	গদাবরী,	গোদাবরী,	
timothy,	টিমথি,	টিমোথি,	
shphingtar,	স্ফিন্টার,	স্ফিংটার,	
shiropa,	শিরপা,	শিরোপা,	
procharonamoolok,	প্রচারণামূলক,	প্রচারণামূলক,	
enjineers,	এনজিনার্স,	ইঞ্জিনিয়ার্স,	
giitikobitar,	গীকিিিতবার,	গীতিকবিতার,	
somraat,	সম্রাত,	সম্রাট,	
songosthatir,	সংস্থাটির,	সংস্থাটির,	
durgotir,	দুর্গতির,	দুর্গটির,	
prettii,	প্রেত্টি,	প্রিটি,	
ateeteo,	অতিতেও,	অতীতেও,	
tarkarir,	তরকারীর,	তরকারীর,	
pattern,	পাট্রান,	প্যাটার্ন,	
mirakeela,	মারিকাল,	মিরাকেল,	
gonohotyakey,	গণহত্যাকে,	গণহত্যাকে,	
tanight,	টানিথট,	টুনাইট,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
tatira,	ততীরা,	তাঁতিরা,	
kaalaam,	কালাম,	কালাম,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
shaahoshikataar,	সাসহিকাতার,	সাহসিকতার,	
tukrote,	টুক্রতে,	টুকরোতে,	
doulaa,	দৌলা,	দৌলা,	
abarta,	আবর্ত,	আবর্ত,	
kharaar,	খারার,	খরার,	
shektor,	সেকটর,	সেক্টর,	
breq,	ব্রেক,	ব্রেক,	
uinndos,	উইন্ডস,	উইন্ডোস,	
bai,	বাই,	বাঈ,	
barbe,	বর্বে,	বাড়বে,	
santani,	সন্তানী,	সনাতনী,	
gyandas,	গ্ঞ্ডাসস,	জ্ঞানদাস,	
saccer,	স্যাক্সার,	সকার,	
vishad,	বিষাদ,	বিষদ,	
obhidhanik,	অভিধানিক,	অভিধানিক,	
nagorikra,	নাগীরকরা,	নাগরিকরা,	
sangrahok,	সংগ্রহক,	সংগ্রাহক,	
debdebier,	দেবদীবীর,	দেবদেবীর,	
aap,	আপ,	আপ,	
keraam,	কেরম,	কেরাম,	
sangbadmadhyamgulote,	সংবাদমধগ্ললোতে,	সংবাদমাধ্যমগুলোতে,	
opohoron,	অপহহণ,	অপহরন,	
itastato,	ইৎসট্ট,	ইতস্তত,	
neshnosh,	নেশনস,	নেশনস,	
bisheshyo,	বিশেষ্য,	বিশেষ্য,	
conan,	কোনন,	কোনান,	
juddhahato,	যুদ্ধহত,	যুদ্ধাহত,	
onnyorup,	অন্যপরূপ,	অন্যরূপ,	
bujhechilo,	বুঝেছিল,	বুঝেছিল,	
cholochchitreeo,	চলচ্ছিত্রী,	চলচ্চিত্রেও,	
mashjid,	মস্জিদ,	মসজিদ,	
bed,	বেড,	বেদ,	
fatakeshto,	ফটকক্ট,	ফাটাকেষ্ট,	
shtonahenja,	স্তানাহিন্জ,	স্টোনহেঞ্জ,	
hepara,	হ্যাপার,	হাইপার,	
keyu,	কেউ,	কেউ,	
definitian,	ডেফিনিশনন,	ডেফিনেশন,	
torunra,	তরুণার,	তরুণরা,	
uindoos,	উইন্ডোস,	উইন্ডোস,	
neemeette,	নিমিত্ে,	নিমিত্তে,	
smaraker,	স্মরকের,	স্মারকের,	
partha,	পার্থা,	পার্থ,	
leaders,	লিডারস,	লিডার্স,	
hurricane,	হারিকেন,	হ্যারিকেন,	
eucalyptushh,	ইউকালিউটাস,	ইউক্যালিপ্টাস,	
pothnatok,	পথনাতক,	পথনাটক,	
khilafot,	খিলাফত,	খিলাফত,	
meghnadbadh,	মেনবাধ্ধা,	মেঘনাদবধ,	
jony,	জনি,	জনি,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
dokaneyi,	দোকানেই,	দোকানেই,	
khelafate,	খেলাফাতে,	খেলাফতে,	
germanyteo,	জার্মানিতে,	জার্মানিতেও,	
chopol,	চোপল,	চপল,	
prokalpatikey,	প্রকল্পটিকে,	প্রকল্পটিকে,	
dipgulote,	দিপগুলোতে,	দ্বীপগুলোতে,	
pathkram,	পাঠ্রম,	পাঠক্রম,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
gabhaaskar,	গভাষ্কার,	গাভাস্কার,	
nimitto,	নিমিত্ব,	নিমিত্ত,	
ghateer,	ঘটির,	ঘাটির,	
kamti,	কমমটি,	কমতি,	
debagg,	দেবাগ্,	ডিবাগ,	
skarrt,	স্কার্ট,	স্কার্ট,	
yucalyptush,	উযকালিপাটস,	ইউক্যালিপ্টাস,	
crime,	ক্রিম,	ক্রাইম,	
bhabanipur,	ভবানীপুর,	ভবানীপুর,	
pulse,	পালসে,	পালস,	
plate,	প্লাটে,	প্লেটে,	
transform,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
suchonakal,	সূচনাকাল,	সূচনাকাল,	
marmaraa,	মার্মারা,	মারমারা,	
eshhiyatika,	এশেটিয়াক,	এশিয়াটিক,	
donut,	দনন,	ডোনাট,	
maney,	মানে,	মানে,	
mozlish,	মজলিস,	মজলিশ,	
bojhaar,	বোঝার,	বোঝার,	
sangkalaner,	সংকললনের,	সংকলনের,	
udbhaban,	উদ্ভবান,	উদ্ভাবন,	
addhattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
qyathaliqa,	ক্যাথলিক,	ক্যাথলিক,	
lesens,	লেসেন্স,	লাইসেন্স,	
gonona,	গণনা,	গননা,	
ajija,	অজিজা,	আজিজা,	
shiqara,	শিকারা,	শিকার,	
bonoshree,	বনস্রী,	বনশ্রী,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
schalastic,	স্কলাস্টিক,	স্কলাস্টিক,	
sift,	শিফ্ট,	শিফট,	
uparjoner,	উপার্জনের,	উপার্জনের,	
mozdur,	মজুদর,	মজদুর,	
zubokder,	যুবকদের,	যুবকদের,	
lutheereen,	লুঠারিন,	লুথেরান,	
bahya,	বহ্য,	বাহ্য,	
futanta,	ফুতন্ত,	ফুটন্ত,	
saramiks,	সারামিক্স,	সিরামিকস,	
totenhamer,	টটেনহামের,	টটেনহামের,	
arsie,	আর্সি,	আরসিএ,	
bhaangchoor,	ভাঙচুর,	ভাংচুর,	
tunar,	টুনার,	টিউনার,	
onnoroop,	অন্যরূপ,	অন্যরূপ,	
naitikata,	নাইক্তা,	নৈতিকতা,	
lokeson,	লোকেশন,	লোকেশন,	
bulano,	বুলানো,	বুলান,	
rajashri,	রাজস্বীর,	রাজশ্রী,	
pnouchute,	পৌঁছুতে,	পৌঁছুতে,	
chandrimaa,	চন্দ্রীমা,	চন্দ্রিমা,	
kunntee,	কুন্টি,	কুন্তী,	
taanteera,	তান্তররা,	তাঁতিরা,	
elaakaai,	এলাকাই,	এলাকাই,	
uddhrita,	উদ্ধৃত,	উদ্ধৃত,	
harbar,	হার্বার,	হারবার,	
oparogota,	অপারগত,	অপারগতা,	
boudha,	বৌদ,	বৌদ্ধ,	
manahputo,	মানাফুত,	মনঃপুত,	
chhayi,	ছাই,	ছাই,	
renoo,	রেনো,	রেনো,	
magical,	ম্যামিকাল,	ম্যাজিকাল,	
chedon,	ছেদন,	ছেদন,	
bhaandare,	ভান্ডারে,	ভাণ্ডারে,	
shulfate,	সালফাতে,	সালফেট,	
torkaryr,	তরকারীর,	তরকারীর,	
pronoti,	প্রনাটি,	প্রণতি,	
oporishodhito,	অপরিসাধিত,	অপরিশোধিত,	
manohar,	মনোার,	মনোহর,	
fulkopi,	ফুলকপপি,	ফুলকপি,	
bharote,	ভারতে,	ভারতে,	
judge,	জজ,	জাজ,	
hocker,	হকের,	হুকার,	
rohosyoti,	রহস্যটি,	রহস্যটি,	
gajetted,	গেজেটাদ,	গেজেটেড,	
madrasi,	মাদ্রসী,	মাদ্রাজি,	
peengna,	পিং,	পিংনা,	
heawy,	হেভি,	হেভি,	
manushi,	মানুসি,	মানুষী,	
leader,	লেডার,	লিডার,	
totenhaamer,	টটেনহামের,	টটেনহামের,	
sarbharer,	সর্বারের,	সার্ভারের,	
victar,	ভিক্টার,	ভিক্টর,	
upobaaser,	উপবাসের,	উপবাসের,	
postke,	পোস্টকে,	পোস্টকে,	
cholochchitrer,	চলচ্ছিত্রের,	চলচ্চিত্রের,	
daalu,	ডালু,	ডালু,	
bakhyateet,	বাক্যাসিত,	ব্যাখ্যাতীত,	
soras,	সরাস,	সরস,	
bohal,	বহল,	বহাল,	
machder,	ম্যাডডের,	মাছদের,	
phood,	ফোড,	ফুড,	
bizito,	বিজিত,	বিজিত,	
mitro,	মিত্রো,	মিত্রও,	
growth,	গ্রুথ,	গ্রোথ,	
ibhila,	ইভিলা,	ইভিল,	
bholapuka,	ভলাপুকো,	ভোলাপুক,	
bosturyi,	বস্তুরিই,	বস্তুরই,	
kiibord,	কিবোর্ড,	কীবোর্ড,	
marpit,	মর্পিত,	মারপিট,	
karmazog,	কর্মযোগ,	কর্মযোগ,	
kalkarkhana,	কলকার্খনা,	কলকারখানা,	
aaziz,	আজিজ,	আজিজ,	
sarano,	সরানো,	সরানো,	
shikshakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
harbur,	হার্বুর,	হারবার,	
oocchoseeto,	উচ্চসিত,	উচ্ছসিত,	
nilphamarir,	নিলফামারীর,	নীলফামারীর,	
sambhabonao,	সম্ভবনাও,	সম্ভবনাও,	
danckan,	ডাঁকন,	ডানকান,	
kanshat,	কংসাা,	কানসাট,	
naker,	নাকের,	নেকের,	
gaaddafee,	গাদ্ডফী,	গাদ্দাফী,	
janomukhee,	জনমুখী,	জনমুখী,	
kadam,	কাদ,	কদম,	
anyoroop,	অন্যরূপ,	অন্যরূপ,	
gaaddaafee,	গাদ্ধাফী,	গাদ্দাফী,	
praapokke,	প্রাপককে,	প্রাপককে,	
swartho,	স্বর্থ্য,	স্বার্থ,	
utsahamulak,	উৎসামূলক,	উৎসাহমূলক,	
teestaar,	টিস্টার,	তিস্তার,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
taholo,	তাহল,	তাহলো,	
iranayer,	ইরানের,	ইরানের,	
chitronattakar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
elakatite,	এলাকাতিে,	এলাকাটিকে,	
gyandaas,	গ্ঞ্ডাসস,	জ্ঞানদাস,	
firti,	ফিরটি,	ফিরতি,	
panjikar,	পঞ্জিকার,	পঞ্জিকার,	
kredita,	ক্রেডিট,	ক্রেডিট,	
shikshakke,	শিক্ষককে,	শিক্ষককে,	
