nirarthak,	নিরর্থ,	নিরর্থক,	
expose,	এক্সপে,	এক্সপোজ,	
alexandarkey,	আলেলন্দারকে,	আলেকজান্ডারকে,	
reshidensha,	রেসিডেন্স,	রেসিডেন্স,	
shombhobonao,	সম্ভভান,	সম্ভবনাও,	
abheedhaaneec,	অভিধানিক,	অভিধানিক,	
maadhookori,	মাধুকরী,	মাধুকরী,	
qoyeri,	কোয়েরি,	কোয়েরি,	
ganakantho,	গণনাক্ঠ,	গণকণ্ঠ,	
steit,	স্টেই,	স্টেইট,	
dooborira,	দুবরীর,	ডুবুরিরা,	
mohammadi,	মহামাদি,	মুহাম্মদী,	
kakhanyoba,	কাখ্যাব্য,	কখনওবা,	
bodqa,	বোদা,	ভদকা,	
hepatitish,	হেপাটিশি,	হেপাটাইটিস,	
aarakani,	আরাকানি,	আরাকানী,	
khilaphat,	খিলাফ,	খিলাফত,	
sachetonvabe,	সাচ্তেনভাবে,	সচেতনভাবে,	
sthapanar,	স্থাপনার,	স্থাপনার,	
bonnypran,	বন্ন্পরণ,	বন্যপ্রাণ,	
poddhotiteyi,	পদ্ধতিতেই,	পদ্ধতিতেই,	
habshee,	হাবি,	হাবশী,	
rupert,	রূপার্ট,	রুপার্ট,	
nothivukteer,	নথিভুক্তির,	নথিভুক্তির,	
hishaber,	হিসবের,	হিসাবের,	
aastikotaa,	আস্তিকা,	আস্তিকতা,	
henna,	হেন্ন,	হেনা,	
jakso,	জাক্স,	যক্ষ,	
onker,	অঙ্কের,	ওঙ্কার,	
quarter,	কুর্টের,	কোয়ার্টার,	
rajtontre,	রাজন্ত্্রে,	রাজতন্ত্রে,	
boudher,	বৌধের,	বৌদ্ধের,	
cheelona,	চিললন,	ছিলনা,	
panthar,	পাঁ্থার,	পন্থার,	
chetanagoto,	চেতানগত,	চেতনাগত,	
concerter,	কন্সার্টের,	কানসাটের,	
loukeekota,	লুককিত,	লৌকিকতা,	
jeellul,	জিল্লুল,	জিল্লুল,	
parisankhyanbid,	পরিষ্ণ্যান্বী,	পরিসংখ্যানবিদ,	
esiyatika,	এসিয়িক,	এশিয়াটিক,	
upobaser,	উপবাসের,	উপবাসের,	
matte,	মাত্যে,	ম্যাট,	
mela,	মেল,	মাইল,	
jonosamaj,	জনসমাজ,	জনসমাজ,	
liseens,	লিসেন্স,	লাইসেন্স,	
ivil,	ইভিল,	ইভিল,	
beetlaser,	বিটললসের,	বিটলসের,	
kando,	কা্ড,	কাণ্ড,	
rokibul,	রকিবিল,	রকিবুল,	
thraugh,	ঠ্রাগু,	থ্রু,	
zeebonnogor,	জীবন্গগর,	জীবননগর,	
rajotwo,	রাজ্ত্ব,	রাজত্ব,	
bhenkates,	ভেনকেট,	ভেঙ্কটেশ,	
matthew,	মাঠে,	ম্যাথিউ,	
ayantarqatiqa,	আযান্্রাটিক,	অ্যান্টার্কটিকা,	
maailkhanek,	মাইলখেন,	মাইলখানেক,	
nagarik,	নাগরিক,	নাগরিক,	
pratisthanikvabe,	প্রতিষ্ঠিনভাকাবে,	প্রাতিষ্ঠানিকভাবে,	
russad,	রুসাদ,	রুশদ,	
clause,	ক্লাউসে,	ক্লজ,	
railliner,	রাইললেনের,	রেললাইনের,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
ukeliptash,	উকলিপ্্্ট,	ইউক্যালিপ্টাস,	
vageri,	ভাগেরি,	ভাগেরই,	
proshikkhone,	প্রশিক্ষণে,	প্রশিক্ষণে,	
shniper,	স্নীপের,	স্নাইপার,	
tarbiner,	তার্বীনের,	টারবাইনের,	
keuoi,	কেইও,	কেউই,	
gratha,	গ্রাথ,	গ্রোথ,	
dor,	দর,	দোর,	
janamukhi,	জনমুখি,	জনমুখী,	
janaalo,	জানালো,	জানালো,	
smarak,	স্মার,	স্মারক,	
janagononar,	জনাগনার,	জনগণনার,	
jolatanko,	জলাাানক,	জলাতঙ্ক,	
parishkaron,	পরিষ্কাণ,	পরিষ্করণ,	
eiling,	এইলিং,	ইলিং,	
mosan,	মোসন,	মোশন,	
vabnakey,	ভবন্কে,	ভাবনাকে,	
kaareer,	কারির,	কারীর,	
nirabata,	নিরবাত,	নিরবতা,	
oncholti,	অঞ্চলি,	অঞ্চলটি,	
satyaky,	সত্যাকি,	সাত্যকি,	
windos,	ইইন্ডস,	উইন্ডোস,	
azim,	আজিম,	আজিম,	
makhmoley,	মাখমলে,	মখমলে,	
jibjantu,	জিব্যান্ত,	জীবজন্তু,	
donut,	দনুত,	ডোনাট,	
sanghorsheek,	সংহ্রিষ,	সাংঘর্ষিক,	
sovanetree,	সভান্ত্রে,	সভানেত্রী,	
ujbekistan,	উজবেক্ষ্টান,	উজবেকিস্তান,	
gorur,	গরুর,	গরুর,	
nikeela,	নিকেল,	নিকেল,	
bhenicer,	ভেনিসের,	ভেনিসের,	
mulbhitti,	মুলভিতি,	মূলভিত্তি,	
qyanela,	ক্যানেল,	ক্যানেল,	
bibek,	বিবেক,	বিবেক,	
bhramaner,	ভ্রমণের,	ভ্রমণের,	
abarto,	অবর্ত,	আবর্ত,	
bojhe,	বজে,	বোঝে,	
jerushalema,	জুরুসলেমা,	জেরুসালেম,	
nyeta,	ন্যাট,	ম্যাট,	
judge,	যুদ্,	জাজ,	
romonar,	রোমার,	রমনার,	
sotorkota,	সতরকতা,	সতর্কতা,	
meetropalitana,	মিত্রপিলিতন,	মেট্রোপলিটন,	
chamsky,	চাম্কি,	চমস্কি,	
roktokkhon,	রক্তক্ষণ,	রক্তক্ষরণের,	
steitt,	স্টিয়,	স্টেইট,	
shaahaabaah,	সাহাবা,	সাহাবাহ,	
sushukkhar,	সুশুক্ষার,	সুশিক্ষার,	
amarika,	আমারিক,	আমেরিকা,	
romjaner,	রমজানের,	রমযানের,	
naabbota,	নাববত,	নাব্যতা,	
platoo,	প্লত,	প্লেটো,	
vagadada,	ভাগদাদ,	বাগদাদ,	
kharaar,	খারার,	খরার,	
crete,	ক্রেটে,	ক্রীট,	
gonohottake,	গোহত্যকে,	গণহত্যাকে,	
shoili,	শলি,	শৈলী,	
oncholgulir,	অন্চলুলির,	অঞ্চলগুলির,	
emarjenshi,	এমর্জনেনি,	এমার্জেন্সি,	
purbancole,	পূর্বান্লে,	পূর্বাঞ্চলে,	
chalechi,	চলেছি,	চলেছি,	
jesthaa,	জেস্থ,	জ্যেষ্ঠা,	
ajimpur,	আজিমপুর,	আজিমপুর,	
sthaponagulo,	স্পাাাগুলো,	স্থাপনাগুলো,	
protijogiitamulok,	প্রতিযাগিমিতূমল,	প্রতিযোগীতামূলক,	
kachakachi,	কাচাচা,	কাছাকাছি,	
bisheshshyo,	বিশেষ্য,	বিশেষ্য,	
prasadhani,	প্রসাধানী,	প্রসাধনী,	
anekeri,	অনেকেরী,	অনেকেরই,	
bafar,	বাফার,	বাফার,	
risort,	রিসর্ট,	রিসোর্ট,	
bibad,	বিবাদ,	বিবাদ,	
sangasthatike,	সংস্্থাতিকে,	সংস্থাটিকে,	
ongshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
bhenisa,	ভেনিস,	ভেনিস,	
donate,	দোনাতে,	ডোনাট,	
tokey,	তকে,	ত্বকেই,	
grauth,	গ্রাথ,	গ্রোথ,	
scoore,	স্কোরে,	স্কোর,	
bibecchyo,	বিবেচ্য,	বিবেচ্য,	
credit,	ক্রেডিট,	ক্রেডিট,	
bonduk,	বন্দুক,	বন্দুক,	
ispredsiit,	ইস্প্রদিসিত,	স্প্রেডশীট,	
nyata,	ন্যা,	ম্যাট,	
moomtajer,	মুম্তাজের,	মুমতাজের,	
lombate,	লম্বাতে,	লম্বাটে,	
wault,	বাল্ট,	ভল্ট,	
dharavahikbhabey,	ধারাভিকভাবে,	ধারাবাহিকভাবে,	
sohopatheekey,	সহাপািকে,	সহপাঠীকে,	
steeit,	স্টিই,	স্টেইট,	
mekon,	মেকন,	মেকং,	
dharatir,	ধারতির,	ধারাটির,	
saafi,	সাফি,	সাফি,	
avisongson,	অভিষংসন,	অভিশংসন,	
ekkoghore,	এককগরে,	একঘরে,	
shalook,	সালুক,	শালুক,	
bondhuderke,	বন্ধুদেরে,	বন্ধুদেরকে,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
zeebonjapon,	জীবজ্জনপ,	জীবনযাপন,	
jokkher,	যক্ষের,	যক্ষের,	
nepchooner,	নিপুচনের,	নেপচুনের,	
qiuti,	কিউটি,	কিউটি,	
dormetoree,	দর্মতিরে,	ডরমিটরি,	
digrio,	দিগ্রি,	ডিগ্রিও,	
naarsaari,	নারসারি,	নার্সারি,	
manushe,	মানুসে,	মানুষে,	
sunagorik,	সুনারগিক,	সুনাগরিক,	
dana,	ডান,	ডায়না,	
staylish,	স্টালিশ,	স্টাইলিশ,	
jotota,	জততা,	যতোটা,	
dala,	ডাল,	দলা,	
bhaangchoor,	ভাংচুর,	ভাংচুর,	
soinyora,	সৈন্যার,	সৈন্যরা,	
khambaa,	খাম্ব,	খাম্বা,	
karmosampadan,	কর্মস্পদান,	কর্মসম্পাদন,	
uindoos,	উউন্দুস,	উইন্ডোস,	
satarkakari,	সতরকাকারী,	সতর্ককারী,	
masjidtir,	মাস্দিতির,	মসজিদটির,	
joones,	জুনেস,	জোন্স,	
gronthatike,	গ্রন্থাতিকে,	গ্রন্থটিকে,	
summi,	সূমি,	সুমি,	
augustine,	আগুস্টিনে,	অগাস্টিন,	
carzer,	কার্জের,	চার্জের,	
bosturyi,	বস্তুরি,	বস্তুরই,	
radhanagar,	রাধাগার,	রাধানগর,	
bhyatikaaner,	ভ্যাতিকের,	ভ্যাটিকানের,	
shhcholashtik,	স্লল্যাক্টি,	স্কলাস্টিক,	
qyantana,	ক্যান্ট,	ক্যান্টন,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
dormetori,	দর্মতির,	ডরমিটরি,	
astikota,	অস্তিকো,	আস্তিকতা,	
apadan,	আপদান,	অপাদান,	
miley,	মিলে,	মাইলে,	
gronthoo,	গ্রণ্থ,	গ্রন্থও,	
breakthrough,	ব্র্ক্ষূরু,	ব্রেকথ্রু,	
roktokkoron,	রক্তক্রণ,	রক্তক্ষরণের,	
phund,	ফান্ড,	ফান্ড,	
kyapasula,	ক্যাসপুল,	ক্যাপসুল,	
chhootee,	ছুটি,	ছুটি,	
sulfate,	সুলফতে,	সালফেট,	
armstronz,	আর্ম্ট্রজ্জ,	আর্মস্ট্রং,	
munshi,	মুন্সি,	মুন্সি,	
hotochokeeto,	হতকোকিত,	হতচকিত,	
lande,	লা্ডে,	ল্যান্ডে,	
naraphooka,	নারাফক,	নরফোক,	
joluk,	জলুক,	জ্বলুক,	
internship,	ইন্টার্শিপ,	ইন্টার্নশিপ,	
horidar,	হরিদার,	হরিদ্বার,	
risorte,	রিসর্তে,	রিসোর্টে,	
enjineerinj,	এন্জিজিঞ্জি,	ইঞ্জিনিয়ারিং,	
oteeteo,	অতিতে,	অতীতেও,	
monzeele,	মন্জিলে,	মঞ্জিলে,	
langhan,	লংঘন,	লংঘন,	
coner,	কোনের,	কনের,	
aazaadeer,	আজাদীর,	আজাদীর,	
grambasir,	গ্রাম্বাসীর,	গ্রামবাসীর,	
armshtrong,	আর্ষ্টরং,	আর্মস্ট্রং,	
heelser,	হিলসের,	হিলসের,	
iispredshiit,	ইসিপ্রদিশিত,	স্প্রেডশীট,	
sloker,	স্লকের,	শ্লোকের,	
chalachchitrai,	চললচ্ত্রী,	চলচ্চিত্রই,	
pratisthanikvabey,	প্রতিষ্ঠিনভাকাবে,	প্রাতিষ্ঠানিকভাবে,	
baibasthaar,	ব্যবস্থার,	ব্যবস্থার,	
bolovodro,	বললোদ্র,	বলভদ্র,	
di,	দি,	দিই,	
hafej,	হাফেজ,	হাফেয,	
songkulan,	সংকুললন,	সংকুলান,	
jaygata,	যযগগত,	জায়গাটা,	
zonite,	জনিতে,	যোনীতে,	
graambaasir,	গ্রাম্বাসীর,	গ্রামবাসীর,	
sommotite,	সমমতিতে,	সম্মতিতে,	
ashachetan,	অসাচেত,	অসচেতন,	
perther,	পার্থের,	পার্থের,	
rushd,	রুষ্ড,	রুশদ,	
durgo,	দূর্গ,	দুর্গ,	
brindaaboner,	বৃর্দনবনের,	বৃন্দাবনের,	
obhigomon,	অভিগমম,	অভিগমন,	
lakkheryo,	লক্ষের্য,	লক্ষেরও,	
jounatar,	যৌনাতার,	যৌনতার,	
bhromonkale,	ভ্রমণকলে,	ভ্রমণকালে,	
vasturyi,	বস্তুরি,	বস্তুরই,	
besirbhaagi,	বিশ্রভাগী,	বেশিরভাগই,	
prodiiper,	প্রদিপের,	প্রদীপের,	
idaning,	ইডানিং,	ইদানীং,	
sitting,	সিটিং,	সিটিং,	
neutrinoo,	নিত্রিন,	নিউট্রিনো,	
parkim,	পার্কিম,	পার্কিং,	
karmosampadon,	কর্মসমপদদন,	কর্মসম্পাদন,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
tanoo,	তানু,	তনু,	
thai,	থাই,	থাই,	
tauki,	তাউকি,	তকি,	
reesideencee,	রেসিডেন্সি,	রেসিডেন্স,	
majlishpur,	মাজিল্পুর,	মজলিশপুর,	
modelkey,	মদেলকে,	মডেলকে,	
hafez,	হাফেজ,	হাফেয,	
bhenuser,	ভেনুসের,	ভেনাসের,	
moshzidti,	মস্যিদিত,	মসজিদটি,	
itostatah,	ইতস্তাহ,	ইতস্ততঃ,	
licensedhari,	লিলেন্সাহীর,	লাইসেন্সধারী,	
fishing,	ফিসিং,	ফিসিং,	
moshjidshoho,	মহ্সিস্ধ,	মসজিদসহ,	
torunra,	তরুন্রা,	তরুণরা,	
thailandshoho,	থালান্্স,	থাইল্যান্ডসহ,	
baire,	বারে,	বাইরে,	
konorup,	কোরুপু,	কোনরূপ,	
nischitorupey,	নিশ্ষিতূরূপে,	নিশ্চিতরূপে,	
samanno,	সম্নন,	সামান্য,	
jyestha,	জ্যেস্থ,	জ্যেষ্ঠা,	
vejano,	ভেজন,	ভেজানো,	
udvabone,	উদ্ববনে,	উদ্ভাবনে,	
aqabar,	আকবার,	আকাবার,	
ragke,	রাগে,	রাগকে,	
sangasthatir,	সংস্ঠাতির,	সংস্থাটির,	
torabgonj,	তরবাগগ্জ,	তোরাবগঞ্জ,	
taap,	তাপ,	ট্যাপ,	
pratijogitamulak,	প্রতিযাগিমুমাল,	প্রতিযোগীতামূলক,	
tempaleta,	টেম্পলে,	টেম্পলেট,	
shomostigoto,	সমস্তিত,	সমষ্টিগত,	
swajan,	স্বজান,	স্বজন,	
michilti,	মিচিলি,	মিছিলটি,	
soori,	সুরি,	সুরি,	
teenisa,	টেনিস,	টেনিস,	
nartana,	নর্তন,	নর্টন,	
duburyra,	দুবরিরা,	ডুবুরিরা,	
chandrimaa,	চন্দ্রিম,	চন্দ্রিমা,	
societykey,	সোযেটিকে,	সোসাইটিকে,	
pravritike,	প্রভিতিকে,	প্রভৃতিকে,	
bujhleo,	বুলেল,	বুঝলেও,	
muhamad,	মুহামদ,	মুহাম্মদ,	
taholei,	তালেই,	তাহলেই,	
rupantorer,	রূপন্তরের,	রুপান্তরের,	
nothibhuktir,	নথিভূক্তির,	নথিভুক্তির,	
qraima,	ক্রাইম,	ক্রাইম,	
ipl,	ইপল,	আইপিএল,	
haitasha,	হাইস,	হাইটস,	
prothati,	প্রথাতি,	প্রথাটি,	
choson,	চোষন,	চোষণ,	
vushi,	ভুষি,	ভুষি,	
ragei,	রাগেই,	রাগেই,	
patjata,	পা্জতা,	পাটজাত,	
gosthyi,	গষ্ঠি,	গোষ্ঠীই,	
zerusalema,	জারুসলেমা,	জেরুসালেম,	
obharabhiu,	অভারাভি,	ওভারভিউ,	
ansareer,	অন্সরীর,	আনসারীর,	
iuqyaliptasa,	ইউক্লিপ্্স,	ইউক্যালিপ্টাস,	
volapuk,	ভলাপুক,	ভোলাপুক,	
gostike,	গোস্তিকে,	গোষ্ঠীকে,	
osocheton,	অসচেত,	অসচেতন,	
pratimar,	প্রতিমার,	প্রতিমার,	
groth,	গ্রথ,	গ্রোথ,	
domone,	দমনে,	দমনে,	
manushsoho,	মানুসসহ,	মানুষসহ,	
rakhtokkharoner,	রাখ্্যক্রণের,	রক্তক্ষরণের,	
ajeeja,	অজিজ,	আজিজা,	
siddhantogulo,	সিদ্দ্যাগুলো,	সিদ্ধান্তগুলো,	
manir,	মানির,	মনির,	
iyutha,	ইয়ুথ,	ইয়ুথ,	
fartha,	ফার্থ,	ফার্থ,	
uinndo,	উইন্্ড,	উইন্ডো,	
digrike,	দিগরিকে,	ডিগ্রিকে,	
jarul,	জারুল,	জারুল,	
postac,	পোস্ট,	পোস্টকে,	
bhange,	ভাঙ্গে,	ভাঙ্গে,	
bhabotarini,	ভাবতরীী,	ভবতারিণী,	
chaabir,	চাবির,	চাবির,	
shepha,	সেফ,	শেফ,	
aashor,	আশর,	আসর,	
sooresh,	সুরেস,	সুরেশ,	
dhanni,	ধান্ি,	ধন্যি,	
chargar,	চার্গার,	চার্জার,	
agamane,	অগামনে,	আগমনে,	
sumitrar,	সুমিত্রার,	সুমিত্রার,	
boney,	বনে,	বনে,	
pooshteer,	পুষ্টির,	পুষ্টির,	
cuti,	কুটি,	কিউটি,	
jatharthobhabe,	যাথর্থভাবে,	যথার্থভাবে,	
ganokantho,	গণনক্্,	গণকণ্ঠ,	
gabhaaskaar,	গভাষকার,	গাভাস্কার,	
tistaar,	টিস্টার,	তিস্তার,	
chaudhurio,	চৌদুরিও,	চৌধুরীও,	
hamburger,	হাম্বর্গের,	হামবুর্গের,	
bonaa,	বোনা,	বোনা,	
dheke,	ঢেকে,	ঢেকে,	
nabhela,	নাভেল,	নভেল,	
gage,	গাজ,	গেজ,	
bishnuu,	বিষ্ণু,	বিষ্ণু,	
chootite,	চুটিতে,	ছুটিতে,	
swastir,	স্বস্তির,	স্বস্তির,	
provura,	প্রভূর,	প্রভুরা,	
badaghat,	বাদাঘ,	বাদাঘাট,	
bhenis,	ভেনিস,	ভেনিস,	
durger,	দুর্গের,	দুর্গের,	
deeputy,	দিপূতি,	ডেপুটি,	
kadorer,	কাদরের,	কদরের,	
obhiyojan,	অভিযযান,	অভিযোজন,	
janoganonar,	জনগানার,	জনগণনার,	
minishtar,	মিনিস্টার,	মিনিস্টার,	
nodike,	নদিকে,	নদীকে,	
senabahinikey,	সেনাবাহীনীকে,	সেনাবাহিনীকে,	
koro,	করো,	করো,	
relance,	রেলান্স,	রিলায়েন্স,	
kormozog,	কর্মযোগ,	কর্মযোগ,	
basano,	বাসন,	বসানো,	
stoneeheengee,	স্তাহেহিংগ্,	স্টোনহেঞ্জ,	
timoothi,	তিমূহি,	টিমোথি,	
korkatkranti,	কর্কার্ন্তি,	কর্কটক্রান্তি,	
shomoshto,	সমম্ত,	সমস্ত,	
advut,	অদ্বুত,	অদ্ভুত,	
allahabade,	আল্লাাবাদে,	এলাহাবাদে,	
bhalobasen,	ভালবাসেন,	ভালোবাসেন,	
dai,	দাই,	দিই,	
bijit,	বিজিত,	বিজিত,	
kantajir,	কান্জজির,	কান্তজির,	
gore,	গরে,	গোর,	
estonia,	এস্টনিয়া,	এস্তোনিয়া,	
nothivukto,	নথিভূক্ত,	নথিভুক্ত,	
everestey,	এভেরেস্টে,	এভারেস্টে,	
poroborti,	পরবর্তী,	পরর্বতী,	
sten,	স্টেন,	স্টেন,	
ramdhonu,	রাম্ধুন,	রামধনু,	
panchashjan,	পঞ্চশ্যান,	পঞ্চাশজন,	
yucalyptus,	উয়াল্প্যাস,	ইউক্যালিপ্টাস,	
trend,	ট্রেন্ড,	ট্রেন্ড,	
bishnoo,	বিষ্ণ,	বিষ্ণু,	
raeets,	রেটিস,	রাইটস,	
vabanipur,	ভবাণীপুর,	ভবানীপুর,	
pleto,	প্লেট,	প্লেটো,	
niurolaji,	নিরুলাজি,	নিউরোলজি,	
korkot,	কর্কট,	কর্কট,	
moushumti,	মৌসূমি,	মৌসুমটি,	
armstrang,	আর্মস্ট্র,	আর্মস্ট্রং,	
odhuna,	অধুন,	অধুনা,	
jonmaat,	জন্মাত,	জন্মাত,	
sachetan,	সাচেন,	সচেতন,	
punch,	পুঁচ,	পুঞ্চ,	
shasonkorta,	শাসক্র্ত,	শাসনকর্তা,	
horas,	হরাস,	হোরাস,	
ardasho,	আর্দাশ,	আর্দশ,	
jaksa,	জক্ষ,	যক্ষ,	
patochitrer,	পাচচিত্রের,	পটচিত্রের,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
roi,	রোই,	রায়,	
shkalastic,	স্কাল্সিক্টি,	স্কলাস্টিক,	
tukroke,	তুকরে,	টুকরোকে,	
hajareebag,	হাজারীবা,	হাজারিবাগ,	
nirmolota,	নির্মলত,	নির্মলতা,	
samashtike,	সমসাতিকে,	সমষ্টিকে,	
wrighter,	বৃরিতের,	রাইটের,	
azimke,	আজিমকে,	আজিমকে,	
eute,	ইউটে,	ইইউতে,	
priitii,	প্রীতি,	প্রিটি,	
udbhaban,	উদ্ববন,	উদ্ভাবন,	
ganonatyo,	গণনাত্য,	গণনাট্য,	
sammatite,	সমমতিতে,	সম্মতিতে,	
jojyata,	জজ্যা,	যোজ্যতা,	
soholovyotar,	সহলভ্যযার,	সহজলভ্যতার,	
asietic,	অসযাসিক,	এশিয়াটিক,	
shikshakbrinda,	শিক্ষাব্রীণ্,	শিক্ষকবৃন্দ,	
akbakke,	আকবকে,	একবাক্যে,	
godabori,	গদবরী,	গোদাবরী,	
ancholgulir,	অঞ্চলুলির,	অঞ্চলগুলির,	
cheettronnattokar,	চিত্রন্ত্যাাকর,	চিত্রনাট্যকার,	
nilabha,	নিলভা,	নীলাভ,	
milekhanek,	মিলেখনে,	মাইলখানেক,	
omkar,	অম্কার,	ওঙ্কার,	
touraat,	তুরাত,	তওরাত,	
bibechyo,	বিবেছ্য,	বিবেচ্য,	
voterer,	ভতরেরের,	ভোটারের,	
elakaate,	এলাকাতে,	এলাকাতে,	
temoni,	টেমনি,	তেমনই,	
rajashri,	রাজাস্রী,	রাজশ্রী,	
nagorikderke,	নারগীদকেরে,	নাগরিকদেরকে,	
sansthaner,	সংস্থানের,	সংস্থানের,	
nogonno,	নগ্ন,	নগণ্য,	
shpredashhita,	স্প্রদিশিত,	স্প্রেডশীট,	
sabchey,	সবেছে,	সবচে,	
brindabaner,	বৃর্দনবাের,	বৃন্দাবনের,	
