zoneete,	জনিতে,	যোনীতে,	
fatakesto,	ফাটাক্ট,	ফাটাকেষ্ট,	
addhattikotar,	অধ্যততততাতার,	আধ্যাত্মিকতার,	
patenter,	পাটেন্টের,	পেটেন্টের,	
kanai,	কানাই,	কানাই,	
chamoski,	চাস্কি,	চমস্কি,	
falashruti,	ফালস্রাটি,	ফলশ্রুতি,	
tukrowti,	তুক্রততি,	টুকরোটি,	
adorso,	অদর্স,	আর্দশ,	
prokare,	প্রকারে,	প্রকারে,	
astikra,	আস্টিকার,	আস্তিকতা,	
rushod,	রুশদ,	রুশদ,	
durotamo,	দূরতমম,	দূরতম,	
nabbata,	নাবতত,	নাব্যতা,	
canflikt,	কান্লিকক,	কনফ্লিক্ট,	
sahopathike,	সহপাথিকে,	সহপাঠীকে,	
chhooteete,	ছোতিতে,	ছুটিতে,	
karmasampadon,	কর্ম্মপপনন,	কর্মসম্পাদন,	
puncho,	পঞচচ,	পুঞ্চ,	
vageryi,	ভাগারিই,	ভাগেরই,	
rudrake,	রুদ্রকে,	রুদ্রকে,	
musharraf,	মুসার্ফা,	মশাররফ,	
oncoleo,	অন্চললে,	অঞ্চলেও,	
suparheiro,	সুপররের,	সুপারহিরো,	
jwolbe,	জ্বব্বে,	জ্বলবে,	
bhange,	ভাঙগে,	ভাঙ্গে,	
up,	উপ,	আপ,	
melbourney,	মেলাল্্নেন,	মেলবোর্নে,	
gaafiloti,	গালিলতি,	গাফিলতি,	
obheegomon,	অভিগমন,	অভিগমন,	
antorvukta,	অন্ত্য্র্ত্ত,	অন্তর্ভুক্ত,	
bongraam,	বংগ্রম,	বনগ্রাম,	
jatak,	জাতাক,	জাতক,	
pab,	পাব,	পাব,	
hebhi,	হেভি,	হেভি,	
shefard,	সেফ্র্ড,	শেফার্ড,	
nathivookteer,	নথিযাকিত্র,	নথিভুক্তির,	
fuzz,	ফুজ,	ফাজ,	
udvaboni,	উদ্বাবন,	উদ্ভাবনী,	
nariiderke,	নারিদেরকে,	নারীদেরকে,	
krisenta,	ক্রিস্টন,	ক্রিসেন্ট,	
digree,	দিগ্রী,	ডিগ্রি,	
zojyota,	জজ্যতা,	যোজ্যতা,	
bostubad,	বস্ত্ববদ,	বস্তুবাদ,	
shaakaar,	শাকার,	সাকার,	
abhidhaanik,	অভিধানিক,	অভিধানিক,	
abotaar,	অবতার,	অবতার,	
phareksha,	ফার্কেস,	ফরেক্স,	
cholochchitra,	চলচচচত্র,	চলচ্চিত্র,	
graambashee,	গ্রামাসসী,	গ্রামবাসী,	
ceramics,	ক্রামিক,	সিরামিকস,	
udichi,	উদিছি,	উদীচী,	
vogno,	ভোগন,	ভগ্ন,	
prokalpagulo,	প্রকালপলললল,	প্রকল্পগুলো,	
wenus,	উযেনিশ,	ভেনাস,	
vagadada,	ভাগাদা,	বাগদাদ,	
nirarthak,	নির্রাক,	নিরর্থক,	
batsmaner,	ব্যাসমাের,	ব্যাটসম্যানের,	
inapharameshhana,	ইন্পোরেশন,	ইনফরমেশন,	
karlei,	কারললি,	করলেই,	
hiranee,	হিরানি,	হিরানি,	
tenish,	টেনিস,	টেনিস,	
ancieent,	আন্যান্টেন,	এনসিয়েন্ট,	
nyaper,	ন্যাপের,	ন্যাপের,	
manoharpur,	মানাপররর,	মনোহরপুর,	
fridom,	ফ্রিডম,	ফ্রীডম,	
cheerokoomari,	চিরকারমী,	চিরকুমারী,	
narsaari,	নারসারী,	নার্সারি,	
meghkey,	মেহকে,	মেঘকে,	
phiqsa,	ফিক্স,	ফিক্স,	
oshamorik,	আস্মরিক,	অসামরিক,	
porjotoker,	পর্ততকের,	পর্যটকের,	
taphaat,	টাফট,	তফাৎ,	
murad,	মুরদ,	মুরাদ,	
moushumei,	মৌসমমে,	মৌসুমেই,	
elakatir,	এলকাটির,	এলাকাটির,	
bishnu,	বিশ্ণু,	বিষ্ণু,	
avetar,	অভেতার,	অবতার,	
petenter,	পেটেন্টের,	পেটেন্টের,	
rothin,	রথিন,	রথীন,	
samanyo,	সম্যা,	সামান্য,	
bheenisa,	ভিনিস,	ভেনিস,	
syutara,	স্তুতার,	শ্যুটার,	
cholchhe,	চলচে,	চলছে,	
deeputi,	দিপতি,	ডেপুটি,	
reeliancee,	রেলিল্সি,	রিলায়েন্স,	
shreechoitonyodeb,	শ্রিক্ননাবন্বে,	শ্রীচৈতন্যদেব,	
cakee,	কাকি,	কেকে,	
orthonitir,	অর্থনিতির,	অর্থনীতির,	
shomser,	সম্মের,	সমশের,	
baaik,	বাইক,	বাইক,	
ekroop,	এক্রপ,	একরূপ,	
soinyoder,	সন্যদের,	সৈন্যদের,	
rapto,	রাপ্ত,	রপ্ত,	
jamjamat,	জম্মমত,	জমজমাট,	
taffsherer,	তফফের,	তাফসীরের,	
shuperheiro,	সপপররে,	সুপারহিরো,	
kode,	কদে,	কোড,	
boner,	বনের,	বনের,	
garner,	গর্নের,	গার্নার,	
chhatroraai,	ছাত্রাই,	ছাত্ররাই,	
choudhureeder,	চৌধ্রদের,	চৌধুরীদের,	
version,	ভারেশন,	ভারশন,	
sumeeta,	সুমিত,	সুমিতা,	
nirgaman,	নির্জামন,	নির্গমন,	
durga,	দুর্গ,	দুর্গ,	
upobaser,	উপপাসের,	উপবাসের,	
rajnoiteek,	রাজনিতিক,	রাজনৈতীক,	
samajeekotar,	সম্মাকতার,	সামাজিকতার,	
engreziteo,	এন্গগিতেতে,	ইংরেজিতেও,	
beeswasi,	বিশ্বাসি,	বিশ্বাসই,	
nothivookta,	নথিভকততা,	নথিভুক্ত,	
rupert,	রোপর্ট,	রুপার্ট,	
parikkhateo,	পরিক্ষাতে,	পরীক্ষাতেও,	
liseensee,	লিইস্নিং,	লাইসেন্স,	
ganoparibahan,	গণপাবীান,	গণপরিবহন,	
mosan,	মোসন,	মোশন,	
machsoho,	মাসচ,	মাছসহ,	
bhognee,	ভগনী,	ভগ্নী,	
jaater,	জাটের,	জাতের,	
skalarasipa,	স্লাকারিপ,	স্কলারশিপ,	
pothnirdeshona,	পন্থেরশেশন,	পথনির্দেশনা,	
asamorik,	আসামরিক,	অসামরিক,	
shekarone,	শেকারে,	সেকারণে,	
manushsaho,	মনশসুহ,	মানুষসহ,	
engineers,	ইন্গিনিস্র,	ইঞ্জিনিয়ার্স,	
gonohotyakey,	গন্তাতকে,	গণহত্যাকে,	
fareksa,	ফার্কেস,	ফরেক্স,	
germanyteo,	জানানিতে,	জার্মানিতেও,	
munsi,	মনস্সি,	মুন্সি,	
quary,	কুউরি,	কোয়েরি,	
neurolojy,	নিউগোলি,	নিউরোলজি,	
chutochuti,	চুচুতি,	ছুটোছুটি,	
bhugole,	ভুগলে,	ভূগোলে,	
poper,	পপের,	পোপের,	
bede,	বেডে,	বেদে,	
ekpase,	একপাসে,	একপাশে,	
sikkhokder,	শিক্ষক্দের,	শিক্ষকদের,	
lutheereen,	লুটরিন,	লুথেরান,	
praman,	প্রমান,	প্রমান,	
mousumei,	মৌসমমে,	মৌসুমেই,	
abasane,	আবসানে,	অবসানে,	
dhwajbhango,	দ্যাগগগগ,	ধ্বজভঙ্গ,	
fatakeshto,	ফাটাক্ট,	ফাটাকেষ্ট,	
milekhaanek,	মিলাকেকন,	মাইলখানেক,	
gonocheener,	গোনেনের,	গণচীনের,	
manushgulor,	মনশুগুলোর,	মানুষগুলোর,	
zuktorastroshoho,	যুক্তররস্থহহ,	যুক্তরাষ্ট্রসহ,	
abahon,	অবাহন,	আবাহন,	
grambasee,	গ্রামাসসী,	গ্রামবাসী,	
korush,	করুশ,	ক্রুশ,	
byabasthar,	ব্যবস্থার,	ব্যবস্থার,	
arke,	আর্কে,	আরকে,	
internship,	ইন্টান্পিপ,	ইন্টার্নশিপ,	
stonaheenja,	স্ত্নান্যান,	স্টোনহেঞ্জ,	
emarjensi,	এম্রান্জিস,	এমার্জেন্সি,	
mahasava,	মহাসাভ,	মহাসভা,	
diniphition,	ডিনিনিনিন,	ডেফিনেশন,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
jackey,	যাযাকে,	জকি,	
seekkhaarthirao,	শিক্ষার্থার,	শিক্ষার্থীরাও,	
ajeempoor,	আজিমপপর,	আজিমপুর,	
ejenda,	এজেন্ড,	এজেন্ডা,	
bbosben,	ব্ববেন,	বসবেন,	
kantajir,	কানতাজির,	কান্তজির,	
daja,	দাজ,	ডোজো,	
rephlex,	রেফফল,	রিফ্লেক্স,	
cheenja,	চিন্জ,	চেঞ্জ,	
falkser,	ফালক্সের,	ফক্সের,	
kobutorer,	কবততরের,	কবুতরের,	
ghatir,	ঘটির,	ঘাটির,	
odurey,	অদুরে,	অদুরে,	
advanced,	অদ্যান্দে,	অ্যাডভান্সড,	
indro,	ইন্দ্র,	ইন্দ্র,	
somaazer,	সমমাজের,	সমাজের,	
degree,	দেগ্রি,	ডিগ্রি,	
manushe,	মনুসে,	মানুষে,	
soommo,	সম্ম,	সুমো,	
arena,	আরেন,	এরিনা,	
samajer,	সমমাজের,	সমাজের,	
jarool,	জারুল,	জারুল,	
temon,	টেমন,	তেমন,	
khamba,	খা্ম্ব,	খাম্বা,	
gaaddafee,	গাদাদি,	গাদ্দাফী,	
ojuhat,	অগুহত,	অজুহাত,	
jounotar,	জৌনতার,	যৌনতার,	
poorohitke,	পৌর্তিকে,	পুরোহিতকে,	
ekoghore,	একোরে,	একঘরে,	
bohudeen,	বহ্দিন,	বহুদিন,	
yuro,	উরোর,	ইউরো,	
cheere,	চিরে,	চিরে,	
dakop,	ডাকপ,	দাকোপ,	
categoryr,	কাযাগগরির,	ক্যাটাগরির,	
hughke,	হুগকে,	হিউজকে,	
bishashke,	বিশ্ষাকে,	বিশ্বাসকে,	
defineshana,	ডেফিননন,	ডেফিনেশন,	
bibechyo,	বিবেচ্য,	বিবেচ্য,	
dey,	ডেই,	ডে,	
provritike,	প্রতিতিকে,	প্রভৃতিকে,	
goore,	গোরে,	গোর,	
jerusalemer,	জিরসমালের,	জেরুজালেমের,	
hugheke,	হুগেকে,	হিউজকে,	
neurology,	নেফোগোলি,	নিউরোলজি,	
veedanta,	ভিদন্ত,	বেদান্ত,	
turkyder,	তুর্কদের,	তুর্কিদের,	
vagirath,	ভাগিরথ,	ভগীরথ,	
tantira,	তান্টির,	তাঁতিরা,	
orthanitike,	অর্থানিকেকে,	অর্থনীতিকে,	
amarendro,	আমান্র্ডের,	অমরেন্দ্র,	
khoja,	খোজা,	খোজা,	
chinito,	চিনিত,	চিনতো,	
qoda,	কদড,	কোডা,	
poscate,	পাস্টা,	পশ্চাতে,	
shucharita,	সুচররত,	সুচরিতা,	
poscime,	পাস্মিম,	পশ্চিমে,	
daale,	ডালল,	ডালে,	
geja,	জেজ,	গেজ,	
soource,	সুর্ক্স,	সোর্স,	
aholla,	আহললা,	অহল্যা,	
jhankaar,	জানকার,	ঝঙ্কার,	
builder,	বিল্ডের,	বিল্ডার,	
doneta,	দোনেট,	ডোনাট,	
hoomasa,	হোমাস,	হোমস,	
hyarikena,	হ্যারিকেন,	হ্যারিকেন,	
tunaita,	তুনাতি,	টুনাইট,	
kas,	কাস,	কাস,	
jaanalo,	জানাল,	জানালো,	
temanbhabe,	তেমানভাবে,	তেমনভাবে,	
lecense,	লেকন্সে,	লাইসেন্স,	
foloshruti,	ফল্সররতি,	ফলশ্রুতি,	
nirikhe,	নিরিখে,	নিরিখ,	
kingdam,	কিন্জম,	কিংডম,	
narafoka,	নারফাক,	নরফোক,	
peoples,	পেপেল্স,	পিপলস্,	
ovisongson,	অভিশসন,	অভিশংসন,	
dhabi,	ধবি,	ঢাবি,	
saras,	সারস,	সরস,	
state,	স্টাতে,	স্টেইট,	
chalochchitratike,	চলচচচচচ্তেতে,	চলচ্চিত্রটিকে,	
volapuq,	ভালাপুক,	ভোলাপুক,	
lutheerana,	লুটারন,	লুথেরান,	
veenis,	ভিনিস,	ভেনিস,	
akatwa,	একত্ব,	একাত্ব,	
plete,	প্লেটে,	প্লেট,	
foks,	ফোক্স,	ফক্স,	
bhoolapuka,	ভুলুপাক,	ভোলাপুক,	
maudelgulo,	মাদিলুললো,	মডেলগুলো,	
ingrezeeteo,	ইং্গিগেতে,	ইংরেজিতেও,	
bimaataa,	বিমাতা,	বিমাতা,	
abhidhaneeck,	অভিধনককক,	অভিধানিক,	
shahocharjo,	সহচার্য্য,	সাহচর্য,	
ponchaasjon,	পঞ্যানান,	পঞ্চাশজন,	
uttar,	উত্তার,	উওর,	
nagorik,	নগরিক,	নাগরিক,	
lutharan,	লুটার,	লুথেরান,	
bondii,	বন্দি,	বন্দী,	
zeans,	জেন্স,	জিন্স,	
biswashi,	বিশ্বাশী,	বিশ্বাসই,	
chherechhe,	চেরেছে,	ছেড়েছে,	
juktarashtrosaha,	জুক্তর্রসসাহ,	যুক্তরাষ্ট্রসহ,	
chorban,	চর্বান,	চর্বন,	
antorvuktimulak,	অন্ত্য্য্বক্বকক,	অন্তর্ভুক্তিমূলক,	
gobhornorer,	গভরনের,	গভর্ণরের,	
laaisens,	লাইন্সে,	লাইসেন্স,	
nirvahi,	নির্ভাহী,	নির্বাহি,	
roja,	রোজা,	রোযা,	
kharaar,	খারার,	খরার,	
aatok,	আতক,	আটক,	
noitikatar,	নৈতিকতার,	নৈতিকতার,	
odhito,	অধিত,	অধীত,	
sofie,	সফি,	সোফি,	
dharmi,	ধর্মি,	ধর্মী,	
ameettrakkhor,	অমিম্রক্রর,	অমিত্রাক্ষর,	
doover,	দুভের,	ডোভার,	
ekhaate,	একাতে,	একহাতে,	
satjoner,	সত্জেের,	সাতজনের,	
aembed,	আম্মেব,	এম্বেড,	
fanse,	ফান্স,	ফাঁসে,	
herpher,	হেরফের,	হেরফের,	
drisser,	দ্রশের,	দৃশ্যের,	
pashan,	পাসন,	পাষাণ,	
wedanta,	উডেদন্ত,	বেদান্ত,	
mokam,	মোকাম,	মোকাম,	
adhito,	অধিত,	অধীত,	
totokhhon,	ততককন,	ততক্ষন,	
kyathlikder,	ক্যাতিক্দের,	ক্যাথলিকদের,	
stonahenja,	স্ত্নানভান,	স্টোনহেঞ্জ,	
bhyaatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
aansareer,	আনসারীর,	আনসারীর,	
motabolombira,	মত্ববলমম্র,	মতাবলম্বীরা,	
mukhmondole,	মুখ্নলললে,	মুখমণ্ডলে,	
gej,	গেজ,	গেজ,	
laesens,	লেইনস,	লাইসেন্স,	
janatey,	জানতে,	জানাতে,	
baarnis,	বার্নিং,	বার্নিশ,	
oitijje,	অতিজজে,	ঐতিহ্যে,	
shudden,	সুদ্দেন,	সাডেন,	
muhammad,	মহ্মমম্য,	মুহম্মদ,	
marier,	মারির,	ম্যারির,	
mukhomandoley,	মুখ্মানললে,	মুখমণ্ডলে,	
monur,	মনুর,	মনুর,	
hiragaana,	হিরজান,	হিরাগানা,	
drishyagulote,	দৃষ্রগগতললে,	দৃশ্যগুলোতে,	
moushumer,	মৌসমমের,	মৌসুমের,	
ingrejraa,	ইং্গ্রগাজার,	ইংরেজরা,	
pallar,	পললার,	পাল্লার,	
hijriite,	হিজ্রিতে,	হিজরীতে,	
salmaaner,	সল্মানের,	সালমানের,	
ekshoti,	একসতি,	একশোটি,	
basuki,	বাসুকি,	বাসুকি,	
agamane,	অগামনে,	আগমনে,	
sommoteer,	সম্মিতের,	সম্মতির,	
land,	লান্ড,	ল্যান্ড,	
mirakel,	মিরাকেল,	মিরাকেল,	
besharkarikarone,	বিশাকররণেকে,	বেসরকারিকরণ,	
aidin,	আইডিন,	এইদিন,	
shangkaloner,	সংকলালেের,	সংকলনের,	
matrikar,	মাত্রিকার,	মাতৃকার,	
bongshokey,	বংশককে,	বংশকে,	
karlosh,	কাল্ল,	কার্লোস,	
ralf,	রালফ,	রালফ,	
osthisandhi,	অস্ষিস্নিন,	অস্থিসন্ধি,	
bhaandare,	ভান্দার,	ভাণ্ডারে,	
institutioney,	ইন্সিতিতিননেন,	ইনস্টিটিউশনে,	
diphinishion,	ডিফিনিশন,	ডেফিনেশন,	
horas,	হররস,	হোরাস,	
nagarikderkey,	নাগ্রিককেকে,	নাগরিকদেরকে,	
taiteela,	তাইটেল,	টাইটেল,	
thelaa,	টেলা,	ঠেলা,	
neutrina,	নিট্রিন,	নিউট্রিনো,	
browser,	ব্রসের,	ব্রাউজার,	
bhaisaha,	ভৈষাহ,	ভাইসহ,	
khorshed,	খর্ষেদ,	খোরশেদ,	
jakrit,	জাক্রিত,	যকৃৎ,	
samoshtike,	সম্্তিকে,	সমষ্টিকে,	
samosher,	সমসের,	সমশের,	
soceitytey,	স্যেতেতে,	সোসাইটিতে,	
loukeekotaa,	লুককততা,	লৌকিকতা,	
uinndos,	উইন্ড্ড,	উইন্ডোস,	
mit,	মিত,	এমআইটি,	
phixing,	ফেইংিং,	ফিক্সিং,	
infarmatian,	ইন্পার্টেশন,	ইনফরমেশন,	
shukna,	শুক্ন,	শুকনা,	
alkatra,	আলকাত্র,	আলকাতরা,	
mag,	মাগ,	এমএজি,	
senior,	সেনের,	সিনিয়র,	
pratisthanikbhabe,	প্রতিষ্তানিকাবাবে,	প্রাতিষ্ঠানিকভাবে,	
jatee,	জাটি,	যাতি,	
utsaha,	উৎসাহ,	উৎসাহ,	
uthaney,	উঠানে,	উঠানে,	
porikkhateo,	পরিক্ষাতে,	পরীক্ষাতেও,	
nischitorupey,	নিসিচ্রপপপে,	নিশ্চিতরূপে,	
sangostha,	সংস্ঠা,	সংস্থা,	
bosstonto,	বস্ত্তন,	বসন্ত,	
abhidhaneec,	অভিধানিক,	অভিধানিক,	
uzbekistan,	উব্বেক্টেশন,	উজবেকিস্তান,	
varotey,	ভারতে,	ভারতে,	
sorting,	সর্তিং,	সর্টিং,	
wrighter,	অগ্রিতের,	রাইটের,	
chhootir,	ছোতির,	ছুটির,	
parking,	পার্কিং,	পার্কিং,	
dooborira,	দুবরির,	ডুবুরিরা,	
jockei,	যোকেই,	জকি,	
shayetana,	সেযেতা,	শয়তান,	
dhonni,	ধননি,	ধন্যি,	
tuku,	তুকু,	টুকু,	
sanaktakaraner,	সংক্তানের,	সনাক্তকরণের,	
toder,	তোদের,	তদের,	
ganaporibahan,	গাপপারীধান,	গণপরিবহন,	
udvabane,	উদ্ভাবনে,	উদ্ভাবনে,	
tanu,	তাঁু,	তনু,	
debdebeer,	দেববিবীর,	দেবদেবীর,	
qibord,	কিবার্ড,	কীবোর্ড,	
break,	ব্রেক,	ব্রেক,	
pet,	পেট,	পেত,	
langhaner,	লাঙানের,	লংঘনের,	
graambasir,	গ্রামাসবীর,	গ্রামবাসীর,	
madrasa,	মাদ্রস,	মাদ্রাসা,	
hazat,	হাজত,	হজত,	
biseshyer,	বিশ্ষের,	বিশেষ্যের,	
durgotsave,	দুর্তভাবে,	দুর্গোৎসবে,	
bhyatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
twoei,	ত্বাই,	ত্বকেই,	
kuley,	কুলে,	কুলে,	
juktorastre,	জুক্তর্ত্রে,	যুক্তরাষ্ট্রে,	
samashti,	সমস্তি,	সমষ্টি,	
chilona,	চিলনা,	ছিলনা,	
coolin,	কললিন,	কুলিং,	
ministar,	মিনিস্টার,	মিনিস্টার,	
ray,	রাই,	রায়,	
gronthe,	গ্রথথে,	গ্রন্থে,	
granthati,	গ্রানথতি,	গ্রন্থটি,	
anano,	আনন,	আনানো,	
plane,	প্লানে,	প্লেন,	
diiptii,	ডিপ্টি,	ডেপুটি,	
swosti,	স্বস্টি,	স্বস্তি,	
societytey,	স্যিক্টে,	সোসাইটিতে,	
militarir,	মিলিতারির,	মিলিটারির,	
sthaponake,	স্থাপনকে,	স্থাপনাকে,	
chhooti,	ছুতি,	ছুটি,	
injeel,	ইন্জিল,	ইঞ্জিল,	
stona,	স্টান,	স্টোন,	
osshoshtikor,	অস্ষ্কিককর,	অস্বস্তিকর,	
bhumijo,	ভূমিজ,	ভূমিজ,	
chat,	চাত,	চ্যাট,	
azimkey,	আজিমকে,	আজিমকে,	
saaed,	সাডেড,	সাইদ,	
biplobir,	বিপ্ববলির,	বিপ্লবীর,	
pushtee,	পুষ্টি,	পুষ্টি,	
patjata,	পত্তা,	পাটজাত,	
uchhoshito,	উচ্ষিত,	উচ্ছসিত,	
buffar,	বুফার,	বাফার,	
developer,	ডেভেলপের,	ডেভলপার,	
gosthi,	গোষ্ঠি,	গোষ্ঠী,	
paksenara,	প্কাকনের,	পাকসেনারা,	
krita,	কৃতত,	ক্রীট,	
umedpoor,	উম্পপুর,	উমেদপুর,	
prodiip,	প্রদিপ,	প্রদীপ,	
deepan,	ডিপন,	দীপন,	
rilayensha,	রেলেল্ন,	রিলায়েন্স,	
grambasider,	গ্রামাসাসদের,	গ্রামবাসীদের,	
tusho,	তুস,	তুসো,	
sangosthagulo,	সংস্গগগুল,	সংস্থাগুলো,	
somabeshke,	সমবাকেকে,	সমাবেশকে,	
everage,	ইভেরগে,	এভারেজ,	
obhidhanik,	অভিধনকক,	অভিধানিক,	
komti,	কম্তি,	কমতি,	
johor,	জহর,	জহর,	
tanteera,	তান্টার,	তাঁতিরা,	
naubihar,	নাবিহার,	নৌবিহার,	
jaksa,	জাক্স,	যক্ষ,	
obhishangson,	অভিশসনন,	অভিশংসন,	
chalochchitrer,	চলচচচ্তের,	চলচ্চিত্রের,	
modelti,	মদেলটি,	মডেলটি,	
coda,	কদড,	কোডা,	
suresh,	সুরেশ,	সুরেশ,	
grambaasio,	গ্রাম্সাস,	গ্রামবাসীও,	
niro,	নিরো,	নির,	
rinatmok,	রিন্তমম,	ঋনাত্মক,	
shotokeo,	সতকে,	শতকেও,	
parker,	পার্কের,	পার্কের,	
oodoore,	অদোরে,	অদুরে,	
suparichiti,	সুপর্চিতি,	সুপরিচিতি,	
kunntee,	কুন্তি,	কুন্তী,	
whole,	উভ্ললে,	হোল,	
spenser,	স্পেন্সের,	স্পেন্সার,	
sainyader,	সান্যাদের,	সৈন্যদের,	
uddhritto,	উদ্ধ্রত্ত,	উদ্ধৃত,	
loukeek,	লুককিক,	লৌকিক,	
indrer,	ইন্ডের,	ইন্দ্রের,	
aswastikor,	অস্বস্তিকক,	অস্বস্তিকর,	
muhmmoder,	মহ্মমের,	মুহম্মদের,	
silvee,	সিলিভি,	সিলভি,	
bishod,	বিশদ,	বিষদ,	
enginears,	ইন্গিনিসার,	ইঞ্জিনিয়ার্স,	
daakteekiter,	দাক্তিকেতের,	ডাকটিকিটের,	
hiushtoner,	হিস্টনের,	হিউস্টনের,	
lutheeran,	লুটারন,	লুথেরান,	
rathin,	রথিন,	রথীন,	
oncholgulir,	অন্চললললির,	অঞ্চলগুলির,	
tuso,	তুস,	তুসো,	
bronze,	ব্র্জাজ,	ব্রোঞ্জ,	
deepon,	দিপন,	দীপন,	
kalnir,	কালনির,	কালনীর,	
gostigulo,	গ্যতিগুলো,	গোষ্ঠীগুলো,	
sudrishya,	সুদ্দ্য,	সুদৃশ্য,	
angsogrohone,	অংশগগগণে,	অংশগ্রহনের,	
sqolastic,	স্ল্লাসটিট,	স্কলাস্টিক,	
sansthatike,	সংস্তাতকে,	সংস্থাটিকে,	
dharabahik,	ধারাবাহিক,	ধারাবাহিক,	
kool,	কোল,	কুল,	
elaakaa,	এলকাক,	এলাকা,	
jamkaalo,	জামালল,	জমকালো,	
paner,	পানের,	পানের,	
ekghare,	এক্গারে,	একঘরে,	
konflict,	কন্যলকিক,	কনফ্লিক্ট,	
proshadhoni,	প্রশাননি,	প্রসাধনী,	
kortaa,	কর্তা,	করতা,	
soceitykey,	স্যেকেকে,	সোসাইটিকে,	
jyeshthaa,	জ্যেস্থা,	জ্যেষ্ঠা,	
syfy,	স্যি,	সাইফাই,	
hajeerhat,	হাজিরতা,	হাজিরহাট,	
shikare,	শিকারে,	শিকারে,	
haraten,	হারাটেন,	হারাতেন,	
somoodrotote,	সম্দরততে,	সমুদ্রতটে,	
raia,	রাই়,	রায়,	
horidware,	হরিদ্রা,	হরিদ্বারে,	
lyaand,	ল্যান্ড,	ল্যান্ড,	
ghumachhe,	ঘুমচচে,	ঘুমাচ্ছে,	
raeets,	রাটিস,	রাইটস,	
rahi,	রহহি,	রাহী,	
thakani,	তাকানি,	থাকেনি,	
breakthrough,	ব্র্ক্রার্গ,	ব্রেকথ্রু,	
kushoomba,	কুশম্বা,	কুশুম্বা,	
ajouno,	অজনো,	অযৌন,	
armeenian,	আর্মিননন,	আর্মেনিয়ান,	
somraatder,	সম্্তদের,	সম্রাটদের,	
madhobike,	মধ্বিকেক,	মাধবীকে,	
stane,	স্টানে,	স্টোন,	
samudratatey,	সম্প্রতততে,	সমুদ্রতটে,	
ajijur,	আজিজুর,	আজিজুর,	
torcarir,	তর্কররর,	তরকারীর,	
dakten,	ডাক্টেন,	ডাকতেন,	
sakshatkarer,	সাক্ষাকারের,	সাক্ষাৎকারের,	
kanasarabheeshana,	কানাাবেশন,	কনসারভেশন,	
voterer,	ভতেরের,	ভোটারের,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
godabari,	গোবাারী,	গোদাবরী,	
rachonakal,	রাচনাকাল,	রচনাকাল,	
protimake,	প্রতিমামে,	প্রতিমাকে,	
rubidium,	রবিদিম,	রুবিডিয়াম,	
deejeejer,	দিজিজের,	ডিজিজের,	
bite,	বিতে,	বাইট,	
