keke,	কেক,	কেকে,	
pravur,	প্রভূর,	প্রভুর,	
chalochchitratike,	চলচ্চিত্রিকে,	চলচ্চিত্রটিকে,	
aziz,	আজিজ,	আজিজ,	
canflict,	কান্লিক্ট,	কনফ্লিক্ট,	
maahe,	মাহে,	মাহে,	
sorano,	সরাণো,	সরানো,	
degreeke,	ডিগ্রীকে,	ডিগ্রিকে,	
jeten,	জেতেন,	জেতেন,	
koilaash,	কৈলাশ,	কৈলাস,	
dorji,	দর্জি,	দরজি,	
atmabiswasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
uper,	উপের,	আপের,	
chetanagato,	চেতানগত,	চেতনাগত,	
hatochakito,	হতচককিত,	হতচকিত,	
techno,	তেচনো,	টেকনো,	
ghur,	ঘুর,	ঘুর,	
odurey,	অদুরে,	অদুরে,	
inziniyarim,	ইনজিনিনারিং,	ইঞ্জিনিয়ারিং,	
definishhion,	ডেফিনিশন,	ডেফিনেশন,	
bisheshyo,	বিশেষ,	বিশেষ্য,	
blagaarara,	ব্লগারার,	ব্লগাররা,	
grambashee,	গ্রাম্বাসী,	গ্রামবাসী,	
idaning,	ইদনিং,	ইদানিং,	
monjhoshtho,	মঞ্যস্থ,	মঞ্চস্থ,	
difinishion,	ডিফিনিশন,	ডেফিনেশন,	
bisshaso,	বিশ্বাস,	বিশ্বাসও,	
mozlishpoor,	মজিল্পুর,	মজলিশপুর,	
elakaate,	এলাকাতে,	এলাকাতে,	
cuti,	কুটি,	কিউটি,	
mojdur,	মজদুর,	মজদুর,	
natunatva,	নতুনত্ব,	নতুনত্ব,	
parinoti,	পরিনতি,	পরিণতি,	
khalidke,	খালদে,	খালিদকে,	
shoti,	শতী,	শোটি,	
prodan,	প্রদান,	প্রদাণ,	
chalochchitraeer,	চলচিত্রের,	চলচ্চিত্রের,	
troup,	ট্রুপ,	ট্রুপ,	
faranyata,	ফরান্যত,	ফরম্যাট,	
bamni,	ব্যান্নী,	বামনী,	
dijnii,	ডিজনী,	ডিজনী,	
bhangchoor,	ভাঙচুর,	ভাংচুর,	
durgatsob,	দুর্গতসব,	দুর্গোৎসব,	
pothnatok,	পথনতকক,	পথনাটক,	
matriroop,	মত্রীপূ,	মাতৃরূপ,	
maladoobha,	মালাদোভা,	মলদোভা,	
heart,	হার্ট,	হার্ট,	
abikal,	অবিকল,	অবিকল,	
jank,	জাযক,	জাঁক,	
maddhuri,	মধুরি,	মাধুরী,	
saleha,	সালেহ,	সালেহা,	
uchhoshito,	উচ্ছশিত,	উচ্ছসিত,	
okhondota,	অখন্দতা,	অখণ্ডতা,	
vagadada,	ভাগাদা,	বাগদাদ,	
jotsna,	যোৎসনা,	জ্যোৎস্না,	
rabeta,	রবেটা,	রাবেতা,	
bhyatikaaner,	ভ্যিকানের,	ভ্যাটিকানের,	
korkotkraantee,	কর্কত্রান্টী,	কর্কটক্রান্তি,	
hock,	হ্ক,	হুক,	
anchalsamuha,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
bheenama,	ভীনাম,	ভেনম,	
omarendro,	অমরেন্দর,	অমরেন্দ্র,	
elakao,	এলাকাও,	এলাকাও,	
yeaster,	ইয়্সটের,	ইস্টের,	
chhani,	ছানী,	ছানি,	
otyacharer,	অত্যাচারের,	অত্যাচারের,	
shastra,	শাস্ত্র,	শাস্ত্র,	
chironton,	চির্ন্তন,	চিরন্তন,	
manoharpur,	মনোহাপুর,	মনোহরপুর,	
aakabaar,	আকাবার,	আকাবার,	
niropekkhotaar,	নিরেক্ষ্তার,	নিরপেক্ষতার,	
shommotite,	সম্মতিতে,	সম্মতিতে,	
damanmulok,	দমন্মূলোক,	দমনমূলক,	
chanu,	চানু,	চানু,	
hoshein,	হোসেন,	হোসেইন,	
durgatir,	দুর্গতির,	দুর্গটির,	
bishrinkhala,	বিশৃখ্খলা,	বিশৃঙ্খলা,	
meghachonno,	মেঘান্ন,	মেঘাচ্ছন্ন,	
kromo,	ক্রোম,	ক্রম,	
maney,	মানে,	মানে,	
shaajaanor,	সাজানোর,	সাজানোর,	
credit,	ক্রিডিট,	ক্রেডিট,	
mastars,	মাস্টার্স,	মাস্টার্স,	
shoochonakal,	সূচনাকাল,	সূচনাকাল,	
torabgonj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
konaa,	কোনা,	কোনা,	
markete,	মার্কেটে,	মার্কেটে,	
chhutir,	ছুটির,	ছুটির,	
graambaasio,	গ্রামবাসিও,	গ্রামবাসীও,	
philipiner,	ফিলিপনের,	ফিলিপাইনের,	
lecense,	লেসেন্স,	লাইসেন্স,	
rejidence,	রেজিডেন্সে,	রেসিডেন্স,	
poripaker,	পরিপকের,	পরিপাকের,	
daqop,	ডাক,	দাকোপ,	
atitkale,	অতীতকালে,	অতীতকালে,	
gor,	গর,	গোর,	
aembed,	আম্বেদ,	এম্বেড,	
papri,	পাপ্রি,	পাপরি,	
uporital,	উপরিতাল,	উপরিতল,	
ghatlo,	ঘটল,	ঘটল,	
nodiitei,	নদীতেই,	নদীতেই,	
artherer,	অর্থারের,	আর্থারের,	
chetna,	চেত্ন,	চেতনা,	
marketing,	মার্কেটিং,	মার্কেটিং,	
kommppito,	কম্পিত,	কম্পিত,	
shattoki,	সাত্বকী,	সাত্যকি,	
jyaka,	য্যাক,	জ্যাক,	
hooldim,	হোল্ডিং,	হোল্ডিং,	
amantrita,	আমন্তৃত,	আমন্ত্রিত,	
shikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
fatakasto,	ফটকাষ্ট,	ফাটাকেষ্ট,	
byaboharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
addhatikota,	অধ্যাতিকতা,	আধ্যাত্মিকতা,	
syfy,	সিফি,	সাইফাই,	
teemothi,	তেমোথি,	টিমোথি,	
elaakate,	এলাকাতে,	এলাকাতে,	
chirontan,	চিরন্তন,	চিরন্তন,	
ayantarketika,	অ্যান্টরোকেটিক,	অ্যান্টার্কটিকা,	
lakkheryo,	লক্ষের্য,	লক্ষেরও,	
becha,	বেচা,	বেচা,	
olimpiker,	অলিম্পিকের,	অলিম্পিকের,	
chirkut,	চির্কুট,	চিরকুট,	
monmotho,	মনমথ,	মন্মথ,	
seelbhee,	শিলভী,	সিলভি,	
wictor,	ভিক্টর,	ভিক্টর,	
eenasiyeenta,	এনসেয়েন্ট,	এনসিয়েন্ট,	
veemsen,	ভিমসেন,	ভীমসেন,	
pashchatey,	পাশ্চাতে,	পশ্চাতে,	
pushti,	পুষ্টি,	পুষ্টি,	
sanghitar,	সংঘিতার,	সংহিতার,	
daaradaa,	দারদা,	দারদা,	
emergenci,	এমেরগন্সী,	এমার্জেন্সি,	
jakso,	যক্ষ্য,	যক্ষ,	
madhabike,	মাধবিকে,	মাধবীকে,	
narider,	নারীদের,	নারীদের,	
natshi,	নাৎশী,	নাত্সি,	
azimke,	আজিমকে,	আজিমকে,	
ingrezraa,	ইংরেজারা,	ইংরেজরা,	
yak,	য়াক,	ইয়াক,	
chanake,	চানকে,	ছানাকে,	
starc,	স্টার্ক,	স্টার্ক,	
kyapasula,	ক্যাপসূল,	ক্যাপসুল,	
noter,	নটের,	নোটের,	
akkhunno,	অক্ষুন্ন,	অক্ষুণ্ণ,	
forex,	ফরেক্স,	ফরেক্স,	
archimedeser,	আর্চিমেদেসের,	আর্কিমিডিসের,	
sharif,	শেরিফ,	শরিফ,	
sarbharer,	সর্ভারের,	সার্ভারের,	
doorotaumo,	দূরততম,	দূরতম,	
udbhaban,	উদ্ভাবন,	উদ্ভাবন,	
cholocchitroke,	চলচিত্র্কে,	চলচ্চিত্রকে,	
ghursen,	ঘুরসেন,	ঘুরেছেন,	
uponishoder,	উপনিষদের,	উপনিষদের,	
rahh,	রাহ,	রঃ,	
ashonka,	আসংকা,	আশংকা,	
gacher,	গাছের,	গাছের,	
porishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
byabaharkari,	ব্যবহাকারারী,	ব্যবহারকারী,	
vejjanno,	ভেজযান্য,	ভেজানো,	
eporjonta,	অপর্যন্ট,	এপর্যন্ত,	
oncholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
swatantrata,	স্বাতন্ত্রতা,	স্বতন্ত্রতা,	
durbhagya,	দুর্ভাগ্য,	দূর্ভাগ্য,	
naaji,	নাজি,	নাত্সি,	
hepetitis,	হেইপটিটিস,	হেপাটাইটিস,	
musalmani,	মুসল্মানী,	মুসলমানই,	
pattern,	পাট্র্যান,	প্যাটার্ন,	
fala,	ফল,	পোলো,	
turky,	টুর্কি,	তুর্কি,	
vittiteo,	ভিত্তিওে,	ভিত্তিতেও,	
ancholsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
korkotkrantee,	কর্কত্রান্টী,	কর্কটক্রান্তি,	
taruner,	তরুনের,	তরুণের,	
samashtigata,	সমস্তিগত,	সমষ্টিগত,	
donat,	দোনাত,	ডোনাট,	
beshirbhaagei,	বেশিরভাইই,	বেশিরভাগেই,	
siddhantoo,	সিদ্ধান্ত,	সিদ্ধান্তও,	
lazika,	লাজিক,	লজিক,	
haitasha,	হাইতাস,	হাইটস,	
graameroi,	গ্রামারেই,	গ্রামেরই,	
pettern,	পেট্রার্ন,	প্যাটার্ন,	
pouro,	পৌরো,	পৌর,	
tafsherer,	তাসফেরের,	তাফসীরের,	
hul,	হুল,	হুল,	
maudelti,	মডেলটি,	মডেলটি,	
motabolombiira,	মতবালম্বীরা,	মতাবলম্বীরা,	
hili,	হিলি,	হিলি,	
cetholic,	ক্থললিক,	ক্যাথলিক,	
ancholeo,	অঞ্চলেও,	অঞ্চলেও,	
debdebyr,	দেবদেবির,	দেবদেবীর,	
nothivukta,	নথিভূক্ত,	নথিভুক্ত,	
ganakantho,	গণকণ্ঠ,	গণকণ্ঠ,	
buth,	বুথ,	বুথ,	
baitsh,	বাইটস,	বাইটস,	
mashjid,	মাশিদ,	মসজিদ,	
samanyai,	সমান্যই,	সামান্যই,	
arthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
vatar,	ভাটার,	ভাতার,	
reesideencee,	রেসিডেন্স,	রেসিডেন্স,	
kas,	কাস,	কাস,	
pratijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
rca,	এর্ক,	আরসিএ,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
juktorashtrosaha,	যুক্তরাস্টসাহ,	যুক্তরাষ্ট্রসহ,	
anciint,	অ্যান্সিন্ট,	এনসিয়েন্ট,	
parbatmala,	পর্বত্তলাা,	পর্বতমালা,	
deputii,	ডিপুটি,	ডেপুটি,	
qaferder,	কফেরদার,	কাফেরদের,	
elakashaho,	এলাকাশ,	এলাকাসহ,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
bhagirath,	ভাগীরথ,	ভগীরথ,	
jyestha,	জ্যাস্থ,	জ্যেষ্ঠা,	
mitro,	মিত্র,	মিত্র,	
chapol,	চাপল,	চপল,	
gandho,	গা্ধ,	গন্ধ,	
phutbolarer,	ফুটবলারের,	ফুটবলারের,	
transapharma,	ট্রান্সফার্ম,	ট্রান্সফর্ম,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
ashor,	আসর,	আসর,	
promoshone,	প্রমোশনে,	প্রোমোশনে,	
shaarthe,	সার্থে,	স্বার্থে,	
saaed,	সাইড,	সাইদ,	
asor,	অসর,	আসর,	
ruby,	রুবি,	রুবী,	
holdeeng,	হলডিং,	হোল্ডিং,	
debdebier,	দেবদেবির,	দেবদেবীর,	
lagche,	লাগছে,	লাগছে,	
hugheke,	হুগেকে,	হিউজকে,	
alpoi,	আল্পই,	অল্পই,	
oholla,	ওহলা,	অহল্যা,	
prachandota,	প্রচন্দতা,	প্রচণ্ডতা,	
uposhthit,	উপস্থিত,	উপস্থিত,	
uporitale,	উপরিতেলে,	উপরিতলে,	
faaj,	ফাজ,	ফাজ,	
janasangjog,	জনসংযগ,	জনসংযোগ,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
snepara,	স্ন্পার,	স্নাইপার,	
poorbancholer,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
baikalyo,	বাইকাল্য,	বৈকল্য,	
vobanir,	ভবানীর,	ভবানীর,	
jatti,	যাটি,	জাতটি,	
ingrejder,	ইংরেদের,	ইংরেজদের,	
showti,	শৌতি,	শোটি,	
machgulo,	মাছগুলো,	মাছগুলো,	
merjito,	মেরজিত,	মার্জিত,	
sikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
gatirodh,	গতিরোধ,	গতিরোধ,	
teknokrat,	টেকনক্রট,	টেকনোক্র্যাট,	
gobeshana,	গবেষণা,	গবেষনা,	
elakasoho,	এলাকাসহ,	এলাকাসহ,	
plate,	প্লেট,	প্লেট,	
vaphara,	ভাফার,	বাফার,	
aanis,	আনিশ,	আনিস,	
pujit,	পুজিত,	পুজিত,	
hajarti,	হারটটি,	হাজারটি,	
keyboard,	কিয়ার্ড,	কীবোর্ড,	
gandharir,	গান্ধারীর,	গান্ধারীর,	
panni,	পানি,	পন্নী,	
mukhabandha,	মুখবন্ধ,	মুখবন্ধ,	
nischay,	নিশ্ছে,	নিশ্চয়,	
haajarer,	হাজারের,	হাজারের,	
tukrowti,	টিকরুটি,	টুকরোটি,	
ummool,	উম্মল,	উম্মুল,	
wodka,	উদকা,	ভদকা,	
naditei,	নদীতেই,	নদীতেই,	
nowel,	নোভেল,	নভেল,	
fall,	ফল,	ফল,	
naobihar,	নৌবিহার,	নৌবিহার,	
pratyokkhobhabe,	প্রত্যাক্ষভাবে,	প্রত্যক্ষভাবে,	
ganonatya,	গণনাত্য,	গণনাট্য,	
shcholastic,	স্কলাস্টিক,	স্কলাস্টিক,	
pacbar,	পাঁবার,	পাঁচবার,	
itostatah,	ইতস্তাা,	ইতস্ততঃ,	
utsahomulok,	উৎস্তামূলক,	উৎসাহমূলক,	
kaando,	কান্ড,	কাণ্ড,	
soleel,	সলীল,	সলিল,	
loombinee,	লুম্বিনী,	লুম্বিনী,	
sachetanbhabe,	স্বেতনভাবে,	সচেতনভাবে,	
vangchur,	ভাঙচুর,	ভাংচুর,	
shrabosti,	শ্রবাষ্টী,	শ্রাবস্তী,	
nothivookteer,	নথিভক্তির,	নথিভুক্তির,	
jeebonnogor,	জীবননগগের,	জীবননগর,	
vor,	ভর,	ভর,	
carymb,	ক্যারিম,	করিম,	
safi,	সাফী,	সাফি,	
schalarship,	স্কলারশিপ,	স্কলারশিপ,	
karir,	কারির,	কারীর,	
fostar,	ফোস্টার,	ফস্টার,	
ishpredshhit,	এস্পের্ডশি,	স্প্রেডশীট,	
pyaleshtainer,	প্যালেস্টানের,	প্যালেস্টাইনের,	
taffsher,	তাফসের,	তাফসীর,	
artillary,	অর্টিলারা,	আর্টিলারি,	
mit,	মিত,	মিট,	
aswasteekor,	অস্ব্তিকর,	অস্বস্তিকর,	
gronthatike,	গ্রনথাটিকে,	গ্রন্থটিকে,	
engrezer,	ইংরেজের,	ইংরেজের,	
shhooter,	শুটের,	শ্যুটার,	
ballabh,	বল্লভ,	বল্লভ,	
tukroke,	টুক্রকে,	টুকরোকে,	
kaamla,	কমলা,	কামলা,	
nathibhookta,	নথিভুক্ত,	নথিভুক্ত,	
shomrat,	সম্রাত,	সম্রাট,	
nischitabhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
surakarder,	সুরককদের,	সুরকারদের,	
mandondo,	মানদন্ড,	মানদণ্ড,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
osthisondhi,	অস্থিসন্ধী,	অস্থিসন্ধি,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
gobeshokgan,	গবেষকগণ,	গবেষকগণ,	
mukhamandaley,	মুখমণ্ডলে,	মুখমণ্ডলে,	
arkimidish,	আর্কিমিডিস,	আর্কিমিডিস,	
samanno,	সমান্য,	সামান্য,	
pravuder,	প্রভাদের,	প্রভুদের,	
atto,	আত্ম,	আত্ম,	
haak,	হাক,	হুক,	
nartaki,	নার্তাকী,	নর্তকী,	
chamski,	চমসকি,	চমস্কি,	
pratimake,	প্রতিমাকে,	প্রতিমাকে,	
maail,	মেল,	মাইল,	
wenice,	বয়নিস,	ভেনিস,	
oiteejyer,	ঐতিয্যের,	ঐতিহ্যের,	
utsaha,	উত্সাহ,	উৎসাহ,	
rayalty,	রেযালটি,	রয়্যালটি,	
samratder,	সম্রাতদের,	সম্রাটদের,	
shreechoitonyodeb,	শ্রীচৈতন্যদেব,	শ্রীচৈতন্যদেব,	
graambasee,	গ্রামবাসী,	গ্রামবাসী,	
arjara,	অর্জার,	আর্যরা,	
dharavahikeo,	ধারাাহিকেও,	ধারাবাহিকেও,	
tokee,	টোকি,	তকি,	
dhwajbhanga,	ধ্বজাঙ্গ,	ধ্বজভঙ্গ,	
sahokaree,	সহকারী,	সহকারী,	
michhilti,	মিচিলটি,	মিছিলটি,	
aajiboner,	আজিবনের,	আজীবনের,	
aieesha,	আইএস,	আইএএস,	
qindama,	কিন্ডম,	কিংডম,	
nilkamol,	নিলকমল,	নীলকমল,	
keyuyi,	কেইই,	কেউই,	
prakalpao,	প্রকল্পা,	প্রকল্পও,	
drissogoolote,	দৃশ্গগুলোতে,	দৃশ্যগুলোতে,	
korimke,	করিমকে,	করিমকে,	
orohan,	অরোহন,	ওরহান,	
aabahon,	আবাহন,	আবাহন,	
armstronz,	আর্ম্ট্রর্জ,	আর্মস্ট্রং,	
shaahaabiike,	সাহাবীকে,	সাহাবীকে,	
boarana,	বোরণা,	বোরন,	
tovnship,	টান্সিপ,	টাউনশিপ,	
jatata,	যততা,	যতোটা,	
cholochchitrai,	চলচ্ত্রই,	চলচ্চিত্রই,	
jeten,	জেতেন,	যেতেন,	
kormoi,	করমই,	কর্মই,	
laat,	লাট,	লাট,	
chaakaa,	চাকা,	চাকা,	
chalachchitragulor,	চলচ্চিত্গুলোর,	চলচ্চিত্রগুলোর,	
atohar,	আতাহার,	আতহার,	
eporzonto,	অপর্যন্ত,	এপর্যন্ত,	
zibonto,	জীবন্ত,	জীবন্ত,	
stanehenge,	স্টেনেহেন্গে,	স্টোনহেঞ্জ,	
muladee,	মুলাদী,	মুলাদি,	
dibating,	ডিবটিং,	ডিবেটিং,	
baraak,	বারাক,	বারাক,	
gudamjato,	গুদামজত,	গুদামজাত,	
bhalobass,	ভালবাস,	ভালোবাসা,	
dancan,	ডান্কান,	ডানকান,	
jaanar,	জানার,	জানার,	
dollu,	ডললু,	ডলু,	
joni,	যোনি,	জনি,	
chhootochhuti,	ছুটুছুটি,	ছুটোছুটি,	
beetloser,	বিটলসের,	বিটলসের,	
skara,	স্কার,	স্কোর,	
beem,	বীম,	বিম,	
stylish,	স্টালিস,	স্টাইলিশ,	
pooshteer,	পোষ্টির,	পুষ্টির,	
gaddafi,	গাদাফী,	গাদ্দাফী,	
deefinishion,	ডেফিনিশন,	ডেফিনেশন,	
dhanyi,	ধানই,	ধন্যি,	
direectoratee,	ডিরেক্টরাটে,	ডিরেক্টরেট,	
nothibhukto,	নথিভূক্ত,	নথিভুক্ত,	
falashrutiti,	ফলস্রুটিি,	ফলশ্রুতি,	
