sofir,	শফীর,	সোফির,	
bondhutto,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
haphsa,	হাফস,	হাফসা,	
asbab,	আসবাব,	আসবাব,	
edaning,	এডানিং,	ইদানিং,	
shanta,	শান্ত,	সান্তা,	
gaugee,	গৌগী,	গেজ,	
grambaasi,	গ্রামবাসী,	গ্রামবাসী,	
nutoner,	নতুনের,	নূতনের,	
jibanto,	জীবন্ত,	জীবন্ত,	
abheedhanick,	আভিধানিক,	অভিধানিক,	
gorur,	গরুর,	গরুর,	
desiseyer,	ডিসিসির,	ডিজিজের,	
masajida,	মাসজিদ,	মসজিদ,	
modelin,	মোডেনিল,	মডেলিং,	
ddheke,	ঢেঁকি,	ঢেকে,	
oncoleo,	অঞ্চলেও,	অঞ্চলেও,	
brindaboney,	বৃর্ডাবনে,	বৃন্দাবনে,	
oncholeo,	অঞ্চলেও,	অঞ্চলেও,	
granthao,	গ্রন্থাও,	গ্রন্থও,	
khoja,	খোজ,	খোজা,	
nicqel,	নিকেল,	নিকেল,	
raunanganey,	রৌণঙ্গনে,	রণাঙ্গনে,	
parqs,	পার্কস,	পার্কস,	
temani,	তেমনি,	তেমনই,	
inziniyarim,	ইনজিনিয়ারিং,	ইঞ্জিনিয়ারিং,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
shaddhii,	সাধাই,	সাধ্বী,	
duckticketer,	ডাক্তিকেটের,	ডাকটিকিটের,	
ajibonoer,	অজিবনের,	আজীবনের,	
mausumei,	মৌসমেই,	মৌসুমেই,	
mashtarsha,	মাস্টার্স,	মাস্টার্স,	
alsar,	আলসার,	আলসার,	
shelim,	সেলিম,	সেলিম,	
boudhheer,	বৌদ্ধীর,	বৌদ্ধের,	
konan,	কোনন,	কোনান,	
bocchoner,	বচ্চনের,	বচ্চনের,	
pramathesh,	প্রমথেশ,	প্রমথেশ,	
uponeesoder,	উপনিশদের,	উপনিষদের,	
sombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
iksaprishana,	এক্সপ্রেসেন,	এক্সপ্রেশন,	
prothakey,	প্রথাকে,	প্রথাকে,	
lohaar,	লাহার,	লোহার,	
kooyartara,	কোয়ার্টার,	কোয়ার্টার,	
jar,	যার,	জ্বর,	
bisshonath,	বিশ্ণাথ,	বিশ্বনাথ,	
lettar,	ল্যাটার,	লেটার,	
thailandsoho,	তালানসহ,	থাইল্যান্ডসহ,	
dimbakriti,	দিম্বাকৃতি,	ডিম্বাকৃতি,	
muphti,	মুফতী,	মুফতি,	
sotorkokari,	সত্তরকারী,	সতর্ককারী,	
zubokshoho,	যুবকখ,	যুবকসহ,	
arjora,	অর্জরা,	আর্যরা,	
reshidensha,	রেসিডেন্স,	রেসিডেন্স,	
oitijjo,	ঐতিজ্য,	ঐতিহ্য,	
hud,	হাড,	হুড,	
schalastic,	স্কলশিস্টিক,	স্কলাস্টিক,	
hoeel,	হইল,	হইল,	
amorendra,	আমরেন্দ্র,	অমরেন্দ্র,	
miracle,	মিরাকল,	মিরাকেল,	
obie,	অবি,	ওবিই,	
shattoki,	সাত্যকি,	সাত্যকি,	
spancer,	স্পান্সার,	স্পেন্সার,	
palestiner,	পলেস্টিনের,	প্যালেস্টাইনের,	
iuro,	ইউরো,	ইউরো,	
militaryte,	মিলিটারেতে,	মিলিটারিতে,	
antarktika,	আন্তর্কিতকা,	অ্যান্টার্কটিকা,	
bosonto,	বসন্ত,	বসন্ত,	
uporostho,	উপরস্থ,	উপরস্থ,	
loker,	লোকের,	লকের,	
jansa,	জন্স,	জন্স,	
parishromi,	পরিস্রমী,	পরিশ্রমী,	
pachhen,	পছছেন,	পাচ্ছেন,	
bufar,	বুফার,	বাফার,	
hights,	হাইটস,	হাইটস,	
amontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
nirbahe,	নির্বাহে,	নির্বাহে,	
byabaharkareer,	ব্যবহারকারির,	ব্যবহারকারীর,	
babilon,	বাবিলন,	ব্যাবিলন,	
charrjar,	চার্যার,	চার্জার,	
ardasho,	আর্দস,	আর্দশ,	
growth,	গ্রথ,	গ্রোথ,	
abodamaner,	অবদানারের,	অবদমনের,	
lokeson,	লোকেশন,	লোকেশন,	
gandhikey,	গান্ধীকে,	গান্ধীকে,	
biplobi,	বিপ্লবি,	বিপ্লবী,	
siramiqs,	সিরিমক্ব,	সিরামিকস,	
otitkaley,	অতীতকালে,	অতীতকালে,	
chhattroraai,	ছাত্ররাই,	ছাত্ররাই,	
itastatah,	ইতস্তত,	ইতস্ততঃ,	
uruu,	উরু,	উরু,	
atyacharita,	অত্যাচরিতা,	অত্যাচারিত,	
lesens,	লেসেস্স,	লাইসেন্স,	
priimoo,	প্রিমৌ,	প্রিমো,	
stonaheenja,	স্টানহীহ্ন,	স্টোনহেঞ্জ,	
keyboarder,	কেবোরদের,	কীবোর্ডের,	
azaadir,	অজাদির,	আজাদীর,	
barbe,	বারবে,	বাড়বে,	
bagichar,	বাগিচার,	বাগিচার,	
chalachchitragulor,	চলাচ্ছিত্রগুলোর,	চলচ্চিত্রগুলোর,	
shtone,	স্টনে,	স্টোন,	
drishyogulote,	দৃশ্যুগলোতে,	দৃশ্যগুলোতে,	
nomo,	নম,	নমো,	
ashamorthito,	অসমর্থীত,	অসমর্থিত,	
chiraharit,	চিরাররিত,	চিরহরিৎ,	
cholocchitroi,	চলচিত্রী,	চলচ্চিত্রই,	
sharok,	শর্ক,	স্মারক,	
lajikar,	লাজিকার,	লজিকের,	
longhan,	লঙ্ঘন,	লংঘন,	
aakkaash,	আকাশ,	আককাস,	
bondikey,	বন্দিকে,	বন্দীকে,	
associatis,	অ্যাসোসিয়েসি,	এসোসিয়েটস,	
brekthrough,	ব্রক্রযগ,	ব্রেকথ্রু,	
chhootir,	ছুটির,	ছুটির,	
shasonkarta,	শাসনকর্তা,	শাসনকর্তা,	
cocaine,	কোকেন,	কোকেইন,	
prashikkhane,	প্রশিক্ষনে,	প্রশিক্ষণে,	
pravritike,	প্রভূতিকে,	প্রভৃতিকে,	
cheettronnattokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
liseens,	লিসেন্স,	লাইসেন্স,	
shource,	সরর্স,	সোর্স,	
sollallhu,	সোলাল্লু,	সল্লাল্লাহু,	
thakey,	থাকে,	থাকে,	
superhera,	সুপারাইরা,	সুপারহিরো,	
gatibege,	গতিবেগে,	গতিবেগে,	
israiler,	ইসরাইলের,	ইসরাঈলের,	
semai,	সেমাই,	সেমাই,	
deputii,	দেপুিটি,	ডেপুটি,	
charukala,	চারুকালা,	চারুকলা,	
aansarir,	আনসারির,	আনসারীর,	
siddhantai,	সিদ্বান্তই,	সিদ্ধান্তই,	
shiramiksh,	শিরিমক্ষ,	সিরামিকস,	
showti,	শূতি,	শোটি,	
duplee,	ডাপলি,	ডুপ্লে,	
abhidhaneek,	আভিধানিক,	অভিধানিক,	
beshirbhaagei,	বেশীরভাগেই,	বেশিরভাগেই,	
samoshtike,	সমস্তিকে,	সমষ্টিকে,	
miley,	মিলে,	মাইলি,	
sangkulan,	সংকুলান,	সংকুলান,	
lambate,	লম্বাতে,	লম্বাটে,	
loukikota,	লৌকিকাা,	লৌকিকতা,	
byboshthar,	ব্যসস্থার,	ব্যাবস্থার,	
akabar,	একাবার,	আকাবার,	
upobasi,	উপবাসী,	উপবাসী,	
papri,	পপপ্র,	পাপরি,	
bharma,	ভারমা,	ভার্মা,	
bhaandaare,	ভান্ডারে,	ভাণ্ডারে,	
shobnom,	শব্ন,	শবনম,	
kachhakaachhi,	কাছকাছি,	কাছাকাছি,	
emerjency,	ইমেরজেন্সি,	এমার্জেন্সি,	
qanaphliqta,	কনফাল্ক্ট,	কনফ্লিক্ট,	
chalachchitratike,	চলচ্চিত্রাতিকে,	চলচ্চিত্রটিকে,	
lendl,	লেন্ডল,	লেন্ডল,	
shorif,	শরীফ,	শরিফ,	
onnyorup,	অন্যরূপ,	অন্যরূপ,	
oodoore,	অডূরে,	অদুরে,	
gabhaskar,	গভাসকার,	গাভাস্কার,	
jwaluk,	জ্বালুক,	জ্বলুক,	
bhootara,	বোতার,	ভোটার,	
elakaatir,	এলাকাটির,	এলাকাটির,	
naubotom,	নবোতম,	নবতম,	
valobasen,	ভালবাসেেন,	ভালোবাসেন,	
bonovumi,	বনভূমি,	বনভূমি,	
dinesh,	ডিনেশ,	দীনেশ,	
kodguli,	কগমুলি,	কোডগুলি,	
kaansaater,	কানসাতের,	কানসাটের,	
gabeshokgon,	গবেষকগণ,	গবেষকগণ,	
shreeshri,	শ্রেশরি,	শ্রীশ্রী,	
bapokotor,	ব্যাকোটর,	ব্যাপকতর,	
muhurto,	মুহূর্ত,	মুহুর্ত,	
bhramaner,	ভ্রামানের,	ভ্রমণের,	
birder,	বীরদের,	বার্ডের,	
beshirvagei,	বেশীরভাগেই,	বেশিরভাগেই,	
shashtra,	শাস্ত্র,	শাস্ত্র,	
sajano,	সাজানো,	সাজানো,	
temoni,	তেমনি,	তেমনই,	
siddhantoi,	সিদ্বান্তই,	সিদ্ধান্তই,	
fal,	ফল,	ফল,	
cholocchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
shayanaida,	সায়াইড,	সায়ানাইড,	
rezidens,	রেজিডেন্স,	রেসিডেন্স,	
neelkuthir,	নীলকুঠির,	নীলকুঠির,	
laboni,	লাবণী,	লাবনী,	
neurologi,	নিরোলজি,	নিউরোলজি,	
songbadmadhyamgulote,	সংবাদমন্মগূলকে,	সংবাদমাধ্যমগুলোতে,	
ghamta,	ঘামটা,	ঘোমটা,	
post,	পোস্ট,	পোষ্ট,	
taale,	তালে,	তালে,	
shotokey,	শতকে,	শতকে,	
apargota,	অপরগতা,	অপারগতা,	
betsman,	বেসসম্যান,	ব্যাটসম্যান,	
injiniyarsha,	ইনজিনিয়ারশ,	ইঞ্জিনিয়ার্স,	
footbalarra,	ফুটবলরারা,	ফুটবলাররা,	
ganakantho,	গণকান্থ,	গণকণ্ঠ,	
uponisod,	উপনিবদ,	উপনিষদ,	
vittiei,	ভিত্যাই,	ভিত্তিই,	
obharbheeu,	অভরর্বু,	ওভারভিউ,	
bonyopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
salphat,	সল্ফট,	সালফেট,	
veenom,	ভিনম,	ভেনম,	
bbs,	বিবিস,	বিবিএস,	
peterke,	পেটারকে,	পিটারকে,	
meetropolitan,	মিত্রোপলিটান,	মেট্রোপলিটন,	
pathkrom,	পাক্রম,	পাঠক্রম,	
tooku,	টুকু,	টুকু,	
mukherjee,	মুখার্জি,	মুখার্জী,	
shikkhakbrinda,	শিক্ষাব্রীন্দ,	শিক্ষকবৃন্দ,	
ajeeboner,	অজিবনের,	আজীবনের,	
kormokarke,	কর্মকরকে,	কর্মকারকে,	
aakabaar,	আকাবার,	আকাবার,	
caramiks,	ক্যারিমিক্স,	সিরামিকস,	
kredit,	ক্রেডিট,	ক্রেডিট,	
pragress,	প্রগ্রেস,	প্রগ্রেস,	
srisri,	শ্রীশরি,	শ্রীশ্রী,	
bagdadii,	বাগদাদী,	বাগদাদী,	
robe,	রবে,	রবে,	
bongshoke,	বংশকে,	বংশকে,	
poonch,	পাঞ্চ,	পুঞ্চ,	
konagoolo,	কোনগুলো,	কণাগুলো,	
sathikata,	সাথিকতা,	সঠিকতা,	
onupater,	অনুপতের,	অনুপাতের,	
baikalyo,	বৈকল্য,	বৈকল্য,	
avisongson,	অভিসংসন,	অভিশংসন,	
bhejano,	ভেজানো,	ভেজানো,	
antarctika,	আন্টর্টিক,	অ্যান্টার্কটিকা,	
faser,	ফসের,	ফাঁসের,	
byaboharkariderke,	ব্যবহারকারিকেরকে,	ব্যবহারকারীদেরকে,	
machhti,	মাছটি,	মাছটি,	
brake,	ব্র্যাক,	ব্রেক,	
ved,	ভেদ,	বেদ,	
informeshon,	ইনফর্মেশন,	ইনফরমেশন,	
harbore,	হররবে,	হারবারে,	
chalo,	চাল,	চলো,	
shucre,	সাক্রে,	সাকার,	
masto,	মস্্ত,	মাস্ত,	
peterkay,	পেটারকে,	পিটারকে,	
gronthotike,	গ্রন্থিটিকে,	গ্রন্থটিকে,	
manaber,	মানবের,	মানবের,	
ghatity,	ঘটিতি,	ঘাঁটিটি,	
credit,	ক্রেডিট,	ক্রেডিট,	
jonee,	যোনি,	জনি,	
besirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
hari,	হ্যারি,	হরি,	
hooldim,	হোলদমিং,	হোল্ডিং,	
kloud,	ক্লদ,	ক্লাউড,	
idaningkale,	ইডানিন্াকেল,	ইদানীংকালে,	
wodka,	ওড্কা,	ভদকা,	
swostir,	স্বস্তির,	স্বস্তির,	
shuperheiro,	সুপারহাইরও,	সুপারহিরো,	
klauda,	ক্লদ,	ক্লাউড,	
baasaate,	বাসাতে,	বাসাতে,	
cholochchitreo,	চলচিত্রেও্রেও,	চলচ্চিত্রেও,	
moushumei,	মৌসমেই,	মৌসুমেই,	
dhruboker,	ধ্রুবকের,	ধ্রুবকের,	
muhammader,	মুহাম্মদের,	মুহম্মদের,	
nathibhukteer,	নথিওভ্কতির,	নথিভুক্তির,	
sorano,	সরাণ,	সরানো,	
bondhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
khuni,	খুনী,	খুনি,	
shekarone,	সেকারণে,	সেকারণে,	
madeling,	ম্যাডিনিং,	মডেলিং,	
bossoben,	বসবেন,	বসবেন,	
cheph,	চেফ,	শেফ,	
bjp,	বিজিপি,	বিজেপি,	
shpreadshhiit,	স্প্রেশ্যিট,	স্প্রেডশীট,	
definitian,	ডেফিনিশন,	ডেফিনেশন,	
akmato,	একমাত,	একমত,	
merjito,	মের্জিত,	মার্জিত,	
bachai,	বাঁচাই,	বাছাই,	
porichhonnota,	পরিচন্নতা,	পরিচ্ছন্নতা,	
tusho,	তুস,	তুসো,	
shasankarta,	শাসনকর্তা,	শাসনকর্তা,	
ghatkey,	ঘাটকে,	ঘাটকে,	
taala,	তালা,	তালা,	
hailo,	হইল,	হইল,	
chittronatyokar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
orghyo,	অর্ঘ্য,	অর্ঘ্য,	
sithilota,	শিথীলতা,	শিথিলতা,	
engil,	এঞ্জেল,	ইঞ্জিল,	
wault,	ওয়াল্ট,	ভল্ট,	
aalkatra,	আলকাত্র,	আলকাতরা,	
spreadsheet,	স্প্রেশেট,	স্প্রেডশীট,	
horas,	হরাস,	হোরাস,	
chirontan,	চিরতন্তান,	চিরন্তন,	
omanisa,	অমানিসা,	অমানিশা,	
horidar,	হরিদার,	হরিদ্বার,	
provuder,	প্রভূদের,	প্রভুদের,	
bagda,	বাগদা,	বাগদা,	
mukhobandho,	মুখবন্ধ,	মুখবন্ধ,	
moshjid,	মস্িদ,	মসজিদ,	
chilona,	চিলনা,	ছিলনা,	
khizir,	খিজির,	খিজির,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
onkeeta,	অংকেতা,	অঙ্কিতা,	
sayanaida,	সায়ানয়েড,	সায়ানাইড,	
kommatei,	কমাতেই,	কমাতেই,	
konfleekt,	কনফাকেট,	কনফ্লিক্ট,	
parks,	পার্কস,	পার্কস,	
seema,	সীম,	সীমা,	
faltir,	ফলটটর,	ফলটির,	
agrodoot,	অগ্রোড,	অগ্রদূত,	
source,	সরর্স,	সোর্স,	
bosten,	বসতেন,	বসতেন,	
lampot,	ল্যামপত,	লম্পট,	
promotioney,	প্রমোশনে,	প্রোমোশনে,	
kemane,	কেমনে,	কেমনে,	
niutrino,	নিউট্রিন,	নিউট্রিনো,	
relance,	রিল্যান্স,	রিলায়েন্স,	
konar,	কোণার,	কণার,	
baireyo,	বারেও,	বাইরেও,	
nirmaankaj,	নির্মাণকা,	নির্মাণকাজ,	
nilav,	নীলভ,	নীলাভ,	
pratyokkhobhabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
monjhostho,	মন্যস্থ,	মঞ্চস্থ,	
roktokkoron,	রক্তকরণ,	রক্তক্ষরণের,	
ankush,	অঙ্কুশ,	অংকুশ,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
makhmaley,	মখখলে,	মখমলে,	
ralapha,	রালাফ,	রালফ,	
megh,	মেঘ,	মেঘ,	
soceitykey,	সোিটাইকে,	সোসাইটিকে,	
aiisa,	আইএস,	আইএএস,	
muhammad,	মুহাম্মদ,	মুহাম্মদ,	
provura,	প্রভূরা,	প্রভুরা,	
halding,	হালদিং,	হোল্ডিং,	
obikol,	অবিকল,	অবিকল,	
shikshakder,	শিক্ষাকেদের,	শিক্ষকদের,	
bhezano,	ভেজানো,	ভেজানো,	
chhaanee,	ছাননি,	ছানি,	
barbaadoj,	বারবাদজ,	বার্বাডোজ,	
kiiborde,	কীবোর্ডে,	কীবোর্ড,	
sidiul,	সিডিউল,	শিডিউল,	
proteesthasoho,	প্রতিস্ঠাসহ,	প্রতিষ্ঠাসহ,	
paare,	পারে,	পাড়ে,	
janosanjog,	জনসংজজ,	জনসংযোগ,	
governorer,	গভর্নরের,	গভর্ণরের,	
bairer,	বেরের,	বাইরের,	
deepon,	দ্বপন,	দীপন,	
hingsar,	হিংসার,	হিংসার,	
anchalsamuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
abhidhanik,	আভিধানিক,	অভিধানিক,	
puddin,	পুদ্দিন,	পুডিং,	
mat,	মট,	ম্যাট,	
sorboshoktiman,	সর্বস্কতমীনান,	সর্বশক্তিমান,	
srichoitonnodeb,	শ্রীচৈতন্যতেব,	শ্রীচৈতন্যদেব,	
chhootite,	ছুটিতে,	ছুটিতে,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
mozlishpoor,	মজলিসপুর,	মজলিশপুর,	
tyapa,	ট্যাপ,	ট্যাপ,	
pragresha,	প্রগ্রেস,	প্রগ্রেস,	
jeebonto,	জীবন্ত,	জীবন্ত,	
suchanakal,	সূচনাকাল,	সূচনাকাল,	
nischitrupe,	নিশ্চিত্রপু,	নিশ্চিতরূপে,	
sanghorshik,	সংংর্ষিক,	সাংঘর্ষিক,	
uddhritto,	উদ্ধৃত্য,	উদ্ধৃত,	
cool,	কুল,	কুল,	
abdune,	আবদুনে,	আবদুন,	
abartey,	আবর্তে,	আবর্তে,	
favorite,	ফভরীতে,	ফেভারিট,	
anchaltike,	আঞ্চলিকে,	অঞ্চলটিকে,	
gauge,	গৌগে,	গেজ,	
inashtyanta,	ইনস্ট্যান্ট,	ইনস্ট্যান্ট,	
sotorkotar,	সর্তকতার,	সতর্কতার,	
objarvar,	অব্ারভার,	অবজার্ভার,	
atak,	অ্যাক,	আটক,	
sukna,	শুক্ন,	শুকনা,	
tukrote,	তুকরোতে,	টুকরোতে,	
oncholo,	অঞ্চল,	অঞ্চলও,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
muhurtoti,	মুহূর্তটি,	মুহুর্তটি,	
palbangser,	পাল্বংসের,	পালবংশের,	
doorger,	দর্গের,	দুর্গের,	
afjal,	আফজাল,	আফজল,	
shcholastiq,	স্কলশিস্টিক,	স্কলাস্টিক,	
janosangyog,	জনসংগ্যাগ,	জনসংযোগ,	
ameriqa,	অমেরিকা,	আমেরিকা,	
kara,	কার,	কর,	
shoilee,	শৈলী,	শৈলী,	
hames,	হামেস,	হোমস,	
phox,	ফক্স,	ফক্স,	
deeyenes,	ডিএেনিস,	ডিএনএস,	
flux,	ফ্লাক,	ফ্লাস্ক,	
dharabahikvabey,	ধারাাবিকভাবে,	ধারাবাহিকটি,	
resorte,	রেষোর্টে,	রিসোর্টে,	
ghumachhilo,	ঘুমাঞ্চিল,	ঘুমাচ্ছিল,	
sotorkokaree,	সত্তরকারী,	সতর্ককারী,	
angurer,	অঙুরেরের,	আঙ্গুরের,	
cholochchitraeeo,	চলচিত্রীত্যে,	চলচ্চিত্রেও,	
pronoti,	প্রণোটি,	প্রণতি,	
neshnosh,	নেশনস,	নেশনস,	
kade,	কাদে,	কোড,	
skalarasipa,	স্কলারশিপ,	স্কলারশিপ,	
