chirohorit,	চিহরিত,	চিরহরিৎ,	
pratiyogi,	প্রতিযোগই,	প্রতিযোগী,	
grambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
elaakaa,	এলাকা,	এলাকা,	
samudrotate,	সমুদ্রতরে,	সমুদ্রতটে,	
sampadonkari,	সম্পাদনকারী,	সম্পাদনকারী,	
besirbhagi,	বেশিরভাগই,	বেশিরভাগই,	
morathi,	মরাঠি,	মরাঠি,	
pratijogi,	প্রতিযোগই,	প্রতিযোগী,	
madhobikey,	মাধবিকে,	মাধবীকে,	
protista,	প্রতিষ্টা,	প্রতিষ্টা,	
choopi,	চুপি,	চুপি,	
bonovumi,	বনভূমি,	বনভূমি,	
ajibon,	আজিবন,	আজীবন,	
shatoke,	শাতকে,	শতকে,	
mmadhobbir,	মাধব্যীর,	মাধবীর,	
kushumba,	কুসুম্ব,	কুশুম্বা,	
uipokar,	উইপকার,	উইপোকার,	
obharabhiu,	অভারভিয়ু,	ওভারভিউ,	
bihar,	বিহার,	বিহার,	
nirapattamulok,	নিরাপততমূলক,	নিরাপত্তামূলক,	
swartha,	স্বর্থ,	স্বার্থ,	
basaa,	বাসা,	বাসা,	
poschimae,	পশ্চিমাই,	পশ্চিমে,	
graambaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
samosto,	সমস্ত,	সমস্ত,	
vor,	ভোর,	ভর,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
marekting,	মের্কেটিং,	মার্কেটিং,	
baireo,	বৈরিও,	বাইরেও,	
lidars,	লিডার্স,	লিডার্স,	
bodhirta,	বোধির্ত,	বধিরতা,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
chhatto,	ছাত্ত,	ছোট্ট,	
abhidhaaner,	অভিধানের,	অভিধানের,	
soceitykey,	সোকিতকে,	সোসাইটিকে,	
miitar,	মিটার,	মিত্র,	
artherer,	অর্থারের,	আর্থারের,	
provuder,	প্রভূদের,	প্রভুদের,	
abhidhaneek,	আভিধানিক,	অভিধানিক,	
euror,	ইউরোর,	ইউরোর,	
chopal,	ছোপাল,	চপল,	
sthaponagulo,	স্থাপনগুলো,	স্থাপনাগুলো,	
hughes,	হাঘেস,	হিউজেস,	
petrol,	পেট্রোল,	পেট্রোল,	
vagni,	ভাগ্নি,	ভগ্নী,	
dharavahikbhabey,	ধারাবিকভাবে,	ধারাবাহিকভাবে,	
ministara,	মিনিস্টার,	মিনিস্টার,	
koyeri,	কয়েরি,	কোয়েরি,	
poschimey,	পশ্চিমে,	পশ্চিমে,	
itastatah,	ইতাস্তত,	ইতস্ততঃ,	
naniir,	নানীর,	নানীর,	
karim,	করিম,	করিম,	
timothi,	তিমথি,	টিমোথি,	
kadam,	কাদাম,	কদম,	
bibhonno,	বিভন্য,	বিভন্ন,	
brindo,	বৃণ্দ,	বৃন্দ,	
madhobir,	মাধবীর,	মাধবীর,	
nopdnodir,	নপ্দনদির,	নদনদীর,	
bhaangchur,	ভাঙচুর,	ভাংচুর,	
dhoorer,	ধূরের,	ধরের,	
jaubanbati,	যৌবনবতি,	যৌবনবতী,	
karka,	করক,	কার্ক,	
towbaar,	তাবার,	তওবার,	
asantosh,	অসন্তোষ,	অসন্তোষ,	
taimas,	টাইমাস,	টাইমস্,	
vittiow,	ভিটিও,	ভিত্তিও,	
sahabah,	সহাব,	সাহাবাহ,	
koro,	কোরও,	কর,	
potchitra,	পথিত্র,	পটচিত্র,	
kolahal,	কলাহাল,	কোলাহল,	
pothchari,	পথচারী,	পথচারী,	
eucalyptushh,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
dakhbaar,	দাখবার,	দেখবার,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
dokaan,	ডোকান,	দোকান,	
beeswaske,	বিশ্বাসকে,	বিশ্বাসকে,	
satarkabhabe,	সতর্কভাবে,	সতর্কভাবে,	
tooku,	টুকু,	টুকু,	
laatimer,	লাটিমের,	লাটিমের,	
bishesyer,	বিশেষের,	বিশেষ্যের,	
duuma,	দুমা,	দুমা,	
karmakarer,	কর্মকারের,	কর্মকারের,	
itostata,	ইতোস্টোট,	ইতস্তত,	
moshjidti,	মস্জিদটি,	মসজিদটি,	
ancholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
pyatarne,	প্যাটারনে,	প্যাটার্নে,	
asaciates,	অ্যাসিসেট,	এসোসিয়েটস,	
bedke,	বেদকে,	বেদকে,	
cholocchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
nodnodir,	নদ্নদির,	নদনদীর,	
aunty,	অ্যান্টি,	আন্টি,	
byaran,	ব্যারন,	ব্যারন,	
garur,	গরুর,	গরুর,	
carymb,	কেরিম্ব,	করিম,	
satarkota,	সর্তকতা,	সতর্কতা,	
plus,	প্লাস,	প্লাস,	
jakkho,	যক্ষ,	যক্ষ,	
kada,	কাদা,	কোড,	
bohudin,	বহুদিন,	বহুদিন,	
nagarikata,	নাগরিকতা,	নাগরিকতা,	
ghoshito,	ঘোষিত,	ঘোষিত,	
kanooner,	কানুনের,	কানুনের,	
nirdesika,	নির্দেশিকা,	নির্দেশিকা,	
boikollyo,	বৈকল্য,	বৈকল্য,	
balatkar,	বালাকার,	বলাৎকার,	
duckticket,	ডাক্তিকেট,	ডাকটিকিট,	
bhittiteow,	ভিত্তিতেও,	ভিত্তিতেও,	
cholochchitreei,	চলচ্তিত্রেই,	চলচ্চিত্রেই,	
ajeej,	আজিজ,	আজিজ,	
pravritir,	প্রভৃতির,	প্রভৃতির,	
abasare,	অবসারে,	অবসরে,	
herfer,	হার্ফার,	হেরফের,	
matrirup,	মাত্রীরূপ,	মাতৃরূপ,	
kortonaa,	কর্তনা,	করতনা,	
abarto,	আবর্ত,	আবর্ত,	
babilon,	বাবিলন,	ব্যাবিলন,	
grambashi,	গ্রাম্বাসি,	গ্রামবাসী,	
khaaneker,	খানেকের,	খানেকের,	
rekhapat,	রেখাপাত,	রেখাপাত,	
shukranoo,	শুক্রাণু,	শুক্রানু,	
nagalyand,	নগল্যান্ড,	নাগাল্যান্ড,	
oshamorik,	আসামরিক,	অসামরিক,	
teknokret,	টেকনক্রেট,	টেকনোক্র্যাট,	
modele,	মোডেল,	মডেলে,	
baarbadoj,	বার্বাডোজ,	বার্বাডোজ,	
ekshotee,	একশটি,	একশোটি,	
qingdom,	কিঙ্দম,	কিংডম,	
tatey,	তাতে,	তাতে,	
durger,	দুর্গের,	দুর্গের,	
shlok,	স্লোক,	শ্লোক,	
shepha,	সেফ,	শেফ,	
kalniir,	কালনীর,	কালনীর,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
gandhike,	গানধিকে,	গান্ধীকে,	
diyi,	দিই,	দিই,	
tukrotey,	টুকরোতে,	টুকরোতে,	
kormosongsthan,	কর্মসংস্থান,	কর্মসংস্থান,	
iuroo,	ইউরো,	ইউরো,	
stoona,	স্টন,	স্টোন,	
chalochchitroi,	চলচিত্রই,	চলচ্চিত্রই,	
somraatder,	সমরাতদের,	সম্রাটদের,	
sikkhaou,	শিক্ষাও,	শিক্ষাও,	
oitijjhey,	ঐতিয্যে,	ঐতিহ্যে,	
hili,	হিলি,	হিলি,	
nirvachaker,	নির্বাচকের,	নির্বাচকের,	
defineshana,	ডিফিনেশন,	ডেফিনেশন,	
dipgulote,	দিপগুলোতে,	দ্বীপগুলোতে,	
narikei,	নারীকেই,	নারীকেই,	
seniar,	সেনিয়ার,	সিনিয়র,	
palbangsher,	পালবাংশের,	পালবংশের,	
shahab,	সাহাব,	সাহাব,	
mukhamandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
bidghute,	বিধুতে,	বিদঘুটে,	
tanteera,	তান্তিরা,	তাঁতিরা,	
milton,	মিল্টন,	মিলটন,	
bosontey,	বসন্তে,	বসন্তে,	
shastro,	শাস্ত্র,	শাস্ত্র,	
mukhya,	মূখ্য,	মুখ্য,	
aashanka,	আসাঙককা,	আশংকা,	
rashider,	রাশিদের,	রশিদের,	
agoora,	আগুরা,	আগোরা,	
songkoloner,	সংকলনের,	সংকলনের,	
asamanno,	অসমান্য,	অসামান্য,	
uparjon,	উপার্জন,	উপার্জন,	
sharther,	সার্থের,	স্বার্থের,	
taorat,	তারাত,	তওরাত,	
shadena,	সাদেনা,	সাডেন,	
male,	মেল,	মালে,	
kromo,	ক্রম,	ক্রম,	
pab,	পাব,	পাব,	
deaubande,	ডিউবন্ডে,	দেওবন্দে,	
arop,	আরপ,	আরোপ,	
nironjan,	নিরঞ্জান,	নিরঞ্জন,	
maniktala,	মনিক্টলা,	মানিকতলা,	
sectore,	সেক্টর,	সেক্টরে,	
komaanndar,	কমান্ডার,	কমাণ্ডার,	
pathanirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
dhaleshorii,	ধালেশ্বরী,	ধলেশ্বরী,	
bonovumite,	বনভূমিতে,	বনভূমিতে,	
eshtoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
chalchhee,	চলছি,	চলছে,	
formet,	ফরমেট,	ফরম্যাট,	
addabaaj,	আদ্যাবাজ,	আড্ডাবাজ,	
shhikara,	শিকার,	শিকার,	
kodorer,	কদরের,	কদরের,	
zerusalema,	জেরুসলাইম,	জেরুসালেম,	
raits,	রেটস,	রাইটস,	
chitranatyakar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
akjoge,	একযোগে,	একযোগে,	
maudelti,	মাডেলটি,	মডেলটি,	
olongkoron,	অলঙ্করণ,	অলঙ্করণ,	
qaferder,	কাফারদের,	কাফেরদের,	
protizogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
taitela,	টাইটেল,	টাইটেল,	
ghumacche,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
aporishodhito,	অপরিশোধিত,	অপরিশোধিত,	
jacqsan,	জক্সান,	জ্যাকসন,	
dera,	দেরা,	ডেরা,	
odhito,	অধিত,	অধীত,	
jounatar,	যৌনতার,	যৌনতার,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
jotota,	যতটা,	যতোটা,	
samany,	সামানি,	সামান্য,	
marmaara,	মার্মার,	মারমারা,	
atitkaale,	অতীতকালে,	অতীতকালে,	
cholche,	চলছে,	চলছে,	
shikshakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
abheedhaaner,	অভিধানের,	অভিধানের,	
zeebonto,	জীবন্ত,	জীবন্ত,	
addhattik,	আধ্যাত্তিক,	আধ্যাত্মিক,	
bhowanipur,	ভবানিপুর,	ভবানীপুর,	
kanflikt,	কানফলিক্ট,	কনফ্লিক্ট,	
onkar,	অঙ্কার,	ওঙ্কার,	
bisshonath,	বিশ্বনাথ,	বিশ্বনাথ,	
potthon,	পাঠন,	পঠন,	
sabaner,	সবানের,	সাবানের,	
jockei,	জকি,	জকি,	
mukhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
parry,	প্যারি,	পেরি,	
masazida,	মাসাজিদ,	মসজিদ,	
restuarant,	রেস্টুরাঁ,	রেষ্টুরেন্ট,	
mat,	মাট,	ম্যাট,	
rajballav,	রাজবাল্লব,	রাজবল্লভ,	
biru,	বিরু,	বীরু,	
graambaasi,	গ্রাম্বাসি,	গ্রামবাসী,	
bagichar,	বেগিচার,	বাগিচার,	
candy,	কন্ডি,	ক্যান্ডি,	
chhatoke,	ছাটকে,	ছাতকে,	
doloo,	দলু,	ডলু,	
abosan,	অবসান,	অবসান,	
dhanche,	ধাঁচে,	ধাঁচে,	
saras,	সারস,	সরস,	
plena,	প্লেন,	প্লেন,	
pluck,	প্লক,	প্ল্যাক,	
prokalpagulor,	প্রকলপালগুলোর,	প্রকল্পগুলোর,	
bolovodro,	বলভদ্র,	বলভদ্র,	
byabaharkareei,	ব্যবহারকারী,	ব্যবহারকারীই,	
saamaanya,	সামান্যা,	সামান্য,	
joni,	যোনি,	জনি,	
shikhar,	শিখার,	শিকার,	
tookroti,	তুকরতি,	টুকরোটি,	
footbalarra,	ফুটবলররর,	ফুটবলাররা,	
valapuk,	ভলপুক,	ভোলাপুক,	
ooeepokar,	উইপাকার,	উইপোকার,	
samabeshti,	সমবেষ্টি,	সমাবেশটি,	
heriken,	হিরিকেন,	হ্যারিকেন,	
pothnirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
showte,	সওতে,	শোতে,	
bhittie,	ভিটি,	ভিত্তিই,	
basiney,	বাসিনে,	বেসিনে,	
planee,	প্লেন,	প্লেন,	
jerusalem,	জেরুসোলেম,	জেরুজালেম,	
jerusalemer,	জেরুসলাইমের,	জেরুজালেমের,	
alkatra,	আলকাত্রা,	আলকাতরা,	
shalapheta,	সালফেট,	সালফেট,	
snipper,	স্নিপার,	স্নাইপার,	
temanbhabe,	তেমনভাবে,	তেমনভাবে,	
sahopathike,	সহপাঠিকে,	সহপাঠীকে,	
elaaka,	এলাকা,	এলাকা,	
obodamoner,	অবদামনের,	অবদমনের,	
vaisoho,	ভৈসহ,	ভাইসহ,	
basake,	বসাকে,	বাসাকে,	
paripakey,	পরিপাকে,	পরিপাকে,	
dharavahiker,	ধারাবাহিকের,	ধারাবাহিকের,	
sten,	স্টেন,	স্টেন,	
arjora,	অর্জরা,	আর্যরা,	
kamiz,	কমিজ,	কামিজ,	
jeshh,	যেস,	জেস,	
assoociates,	অ্যাসোসিয়েটস,	এসোসিয়েটস,	
himi,	হিমি,	হিমি,	
shoccer,	সক্সের,	সকার,	
jess,	জেস,	জেস,	
pratistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
paddhatiteo,	পদ্ধতিতে,	পদ্ধতিতেই,	
prothakey,	প্রথাকে,	প্রথাকে,	
juboksoho,	যুবকসহ,	যুবকসহ,	
soundorjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
sohopatheekey,	সহপাঠিকে,	সহপাঠীকে,	
nothivukto,	নথিভূক্ত,	নথিভুক্ত,	
nabbata,	নব্বত,	নাব্যতা,	
mukhabandha,	মুখবন্ধ,	মুখবন্ধ,	
tamplate,	টম্পল্টেট,	টেম্পলেট,	
dibidh,	দিবিধ,	দ্বিবিধ,	
nationsh,	নেশন,	নেশনস,	
soori,	সুরি,	সুরি,	
aakaabaar,	আকাবার,	আকাবার,	
sarboshaktimaan,	সর্বসক্তিস্তান,	সর্বশক্তিমান,	
ateetkale,	অতিতকালে,	অতীতকালে,	
chhatogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
dey,	দে,	ডে,	
chikittsar,	চিকিৎসার,	চিকিত্সার,	
garden,	গার্ডান,	গার্ডেন,	
oncholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
jonoika,	জনকিকা,	জনৈকা,	
jaygata,	জেগত,	জায়গাটা,	
sharthe,	সর্থে,	স্বার্থে,	
ovishangsan,	অভিসংসান,	অভিশংসন,	
koner,	কোণের,	কনের,	
garmanyteo,	জার্মানিতে,	জার্মানিতেও,	
elakai,	এলাকাই,	এলাকাই,	
prabhura,	প্রভূর,	প্রভুরা,	
proshtutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
chirantan,	চিরান্তন,	চিরন্তন,	
pracharana,	প্রচারনা,	প্রচারণা,	
hyper,	হাইপার,	হাইপার,	
silvee,	সিলভি,	সিলভি,	
shrabosty,	শ্রবস্তি,	শ্রাবস্তী,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
chalachchitrotike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
asamonjoshyopurno,	অসাসম্যসূর্ণ,	অসামঞ্জস্যপূর্ণ,	
naajee,	নাজি,	নাত্সি,	
kaareer,	কারির,	কারীর,	
gadha,	গাধা,	গাধা,	
annimated,	অনিনিতেদ,	এনিমেটেড,	
hoila,	হইল,	হইল,	
she,	সে,	সে,	
canton,	ক্যান্টন,	ক্যান্টন,	
gobeshonagar,	গবেষণাগার,	গবেষনাগার,	
caaling,	কালিং,	কুলিং,	
anshograhone,	অংশগ্রহণে,	অংশগ্রহনের,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
parisankhyanbid,	পরিসংখ্যানবিদ,	পরিসংখ্যানবিদ,	
toufeek,	তৌফিক,	তৌফিক,	
dhanchey,	ধাঁচে,	ধাঁচে,	
asirbad,	আশির্বাদ,	আশির্বাদ,	
protijogiira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
jerujalemer,	জিরুজলামের,	জেরুজালেমের,	
gunje,	গুঁজে,	গুঁজে,	
nirdeshika,	নির্দেশিকা,	নির্দেশিকা,	
gauge,	গৌ,	গেজ,	
karmasansthaner,	কর্মসস্থানের,	কর্মসংস্থানের,	
metrapalitana,	মেট্রোপালিটান,	মেট্রোপলিটন,	
eidin,	এইডিং,	এইদিন,	
boney,	বোনে,	বনে,	
nabyota,	নব্যতা,	নাব্যতা,	
hyarikeena,	হ্যারিকেন,	হ্যারিকেন,	
venice,	ভেনিকে,	ভেনিস,	
vobanipur,	ভবানিপুর,	ভবানীপুর,	
chaalke,	চালকে,	চালকে,	
akram,	একরাম,	আকরাম,	
koommandar,	কমান্ডার,	কমাণ্ডার,	
laat,	লাট,	লাট,	
tegara,	টেগার,	টাইগার,	
okritokarjo,	অকৃতকার্য,	অকৃতকার্য,	
kiuti,	কিউটি,	কিউটি,	
drishyotir,	দৃশ্যটির,	দৃশ্যটির,	
nogonyo,	নগন্য,	নগণ্য,	
dhauta,	ধাউটা,	ধৌত,	
miley,	মিলে,	মাইলি,	
saafi,	সাফি,	সাফি,	
agovir,	আগাবীর,	অগভীর,	
harbour,	হার্বর,	হারবার,	
oindrila,	আইন্ড্রিল,	ঐন্দ্রিলা,	
elakate,	এলাকাতে,	এলাকাতে,	
avinetar,	অভিনেতর,	অভিনেতার,	
plain,	প্লেন,	প্লেন,	
shaakaar,	শাকার,	সাকার,	
oitijhya,	ঐতিহ্য,	ঐতিহ্য,	
noditei,	নদীতেই,	নদীতেই,	
kathmaandu,	কাঠমন্ডু,	কাঠমান্ডু,	
pronoti,	প্রণতি,	প্রণতি,	
khelafate,	খেলাফাতে,	খেলাফতে,	
firoz,	ফিরজ,	ফিরোজ,	
drishyogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
hundayi,	হান্ডি,	হুন্দাই,	
ponthaar,	পন্থার,	পন্থার,	
itastato,	ইতাস্তত,	ইতস্তত,	
hisaber,	হিসাবের,	হিসাবের,	
prakar,	প্রকার,	প্রকার,	
eshiyetika,	এসিজেটিক,	এশিয়াটিক,	
choudhureer,	চৌধুরির,	চৌধুরীর,	
upobaashee,	উপবাসী,	উপবাসী,	
bhashik,	ভাষিক,	ভাষিক,	
