hitaishi,	হিটাইসই,	হিতৈষী,	
jameser,	জ্যামেসের,	জেমসের,	
eksapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
sthaponakey,	স্থাপনাকে,	স্থাপনাকে,	
manonitader,	মনিনতদের,	মনোনীতদের,	
santani,	সন্তানী,	সনাতনী,	
chanake,	চানাকে,	ছানাকে,	
sinaake,	সিনাকে,	সিনাকে,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
score,	স্কোর,	স্কোর,	
totokson,	ততক্ষণ,	ততক্ষন,	
bhogno,	ভগ্ন,	ভগ্ন,	
parqing,	পার্কিং,	পার্কিং,	
atyacharito,	অট্যাচারিত,	অত্যাচারিত,	
surti,	সূর্তি,	সুরটি,	
shoreef,	শরীফ,	শরিফ,	
lumbini,	লুম্বিনী,	লুম্বিনী,	
lat,	ল্যাট,	লাট,	
gosthike,	গোষ্ঠীকে,	গোষ্ঠীকে,	
pratisthanikvabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
pathkramer,	পাঠক্রমের,	পাঠক্রমের,	
goore,	গুরে,	গোর,	
khelafate,	খেলাফাতে,	খেলাফতে,	
raagei,	রাগেই,	রাগেই,	
gemi,	জেমি,	জেমি,	
bopoon,	বোপুন,	বপন,	
bandhutwo,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
mojlishpur,	মোলিসপুলোর,	মজলিশপুর,	
pratisthasaho,	প্রতিষ্ঠাস,	প্রতিষ্ঠাসহ,	
uthhe,	উঠে,	উঠে,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
holuder,	হলদের,	হলুদের,	
bigepi,	বিগেপি,	বিজেপি,	
johor,	জোহর,	জহর,	
nations,	ন্যাশন্স,	নেশনস,	
advansed,	অ্যাডভান্সড,	অ্যাডভান্সড,	
shiropa,	শিরোপা,	শিরোপা,	
sambhabanaow,	সম্ভাবনাও,	সম্ভবনাও,	
babyloney,	বাবলিলনে,	ব্যাবিলনে,	
madhumati,	মধুমতি,	মধুমতী,	
mokhmoley,	মখ্মলে,	মখমলে,	
pooroheetke,	পুরোহিতককে,	পুরোহিতকে,	
sammatir,	সম্মতির,	সম্মতির,	
hukar,	হুকার,	হুকার,	
pushti,	পুষ্টি,	পুষ্টি,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
bed,	বেড,	বেদ,	
sqolastic,	স্কলাস্টিক,	স্কলাস্টিক,	
deraa,	দেরা,	ডেরা,	
sur,	সুর,	সুর,	
orbit,	অর্বিত,	অরবিট,	
agenda,	আজেন্ড,	এজেন্ডা,	
machti,	মাছটি,	মাছটি,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
venis,	ভেনিস,	ভেনিস,	
ceramiqs,	সিরারিক্স,	সিরামিকস,	
sulke,	সুলকে,	শুল্কে,	
taioyana,	টাওয়য়ন,	তাইওয়ান,	
rajnoiteek,	রাজনৈতিক,	রাজনৈতীক,	
gatee,	গতি,	গ্যেটে,	
licenser,	লাইসেন্সের,	লাইসেন্সের,	
jwor,	জুর,	জ্বর,	
syfy,	সিফি,	সাইফাই,	
shadena,	সাদেন,	সাডেন,	
streegan,	স্ত্রীগণ,	স্ত্রীগণ,	
haj,	হাজ,	হয,	
abosaney,	আবসনে,	অবসানে,	
soya,	শোয়া,	সোয়া,	
sikkhakbrinda,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
kana,	কান,	কণা,	
bheemsen,	ভিমসন,	ভীমসেন,	
ganohatyar,	গণহাত্যার,	গণহত্যার,	
parshe,	পার্সে,	পার্শ্বে,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
bomkesh,	বম্কেশ,	ব্যোমকেশ,	
eshtoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
pathachari,	পথচারী,	পথচারী,	
amanisa,	অমানিস,	অমানিশা,	
rato,	রত,	রত,	
motar,	মোটর,	মুতার,	
nirmalata,	নির্মালতা,	নির্মলতা,	
enginiirs,	এঞ্জিনার্স,	ইঞ্জিনিয়ার্স,	
ragke,	রাগকে,	রাগকে,	
mulgoto,	মুলগত,	মূলগত,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
gaj,	গজ,	গেজ,	
firojer,	ফিরজের,	ফিরোজের,	
mosjidsaho,	মজিদসহস,	মসজিদসহ,	
naitikbhabey,	নাইটিকভাবে,	নৈতিকভাবে,	
pratisthanikvabey,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
kkhur,	ক্ষুর,	ক্ষুর,	
indro,	ইন্দ্রো,	ইন্দ্র,	
hatodoridra,	হতোরীদর্া,	হতদরিদ্র,	
kattar,	কাটার,	কট্টর,	
mohisho,	মহিশ,	মহিষ,	
hijrite,	হিজরিতে,	হিজরীতে,	
bukhari,	বুখারই,	বুখারি,	
skora,	স্কোর,	স্কোর,	
chho,	ছো,	ছোঁ,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
safi,	সফি,	সাফি,	
bissashii,	বিশ্বাসী,	বিশ্বাসী,	
ispredsiit,	স্প্রেসর্ডেট,	স্প্রেডশীট,	
milekhanek,	মিলেখানক,	মাইলখানেক,	
moshjidshoho,	মশিদসহস,	মসজিদসহ,	
banduk,	বণ্ডুক,	বন্দুক,	
bhaisoho,	ভাইসহ,	ভাইসহ,	
ranodeep,	রণদীপ,	রণদীপ,	
ancholtike,	অ্যাঞ্লটিকে,	অঞ্চলটিকে,	
debdeby,	দেবদেবী,	দেবদেবী,	
steena,	স্টেন,	স্টেন,	
modelling,	মডেললিং,	মডেলিং,	
rezidens,	রেজিডেন্স,	রেসিডেন্স,	
ghatol,	ঘটতল,	ঘটল,	
kode,	কোদ,	কোড,	
koyartara,	কোয়ার্টার,	কোয়ার্টার,	
daaloo,	ডালু,	ডালু,	
uindo,	উইন্ডো,	উইন্ডো,	
matorom,	মাটরোম,	মাতরম,	
sarbopori,	সর্বোপরি,	সর্বোপরী,	
upobashii,	উপবাসী,	উপবাসী,	
ovishangson,	অভিষংসন,	অভিশংসন,	
bolovodro,	বলভদ্র,	বলভদ্র,	
karmoi,	কর্মই,	কর্মই,	
orthoneeti,	অর্থনীতি,	অর্থনীতির,	
pooshteer,	পুষ্টির,	পুষ্টির,	
muradpur,	মুরাদপুর,	মুরাদপুর,	
durgotsave,	দূর্গতস্বে,	দুর্গোৎসবে,	
lutheereen,	লুঠারনন,	লুথেরান,	
jansha,	জনস,	জন্স,	
parbotto,	পার্বত্ব,	পার্বত্য,	
karmopantha,	কর্মপণ্থ,	কর্মপন্থা,	
shansthati,	সংস্থটি,	সংস্থাটি,	
zhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
dormetori,	ডরমেটরি,	ডরমিটরি,	
chaudhurio,	চৌধুরিও,	চৌধুরীও,	
arena,	আরেন,	এরিনা,	
hebhi,	হেভি,	হেভি,	
yaq,	যক,	ইয়াক,	
ghoorchen,	ঘুরছেন,	ঘুরেছেন,	
qinsa,	কিন্স,	কিংস,	
sofi,	সফি,	সোফি,	
pouchute,	পৌঁছতে,	পৌঁছুতে,	
bheenasa,	ভেনস,	ভেনাস,	
choudhurio,	চৌধুরিও,	চৌধুরীও,	
evar,	ইভার,	এভার,	
ashonka,	আশঙ্ক,	আশংকা,	
beatleser,	বিটলসের,	বিটলসের,	
tamplate,	টম্প্লেট,	টেম্পলেট,	
duuma,	ডাম,	দুমা,	
chidropothe,	চিদ্রপথে,	ছিদ্রপথে,	
qyanela,	ক্যানেল,	ক্যানেল,	
bhowanipur,	ভবানীপুর,	ভবানীপুর,	
developer,	ডেভেলপার,	ডেভলপার,	
nagorikra,	নাগরিকরা,	নাগরিকেরা,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
asamonjoshyopurno,	অসমাস্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
gejeteda,	গেজেটেড,	গেজেটেড,	
parishram,	পরিশ্রাম,	পরিশ্রম,	
khilafot,	খিলাফৎ,	খিলাফত,	
shulke,	সুলকে,	শুল্কে,	
jaqi,	জাকি,	জকি,	
jaruri,	জরুরী,	জরূরী,	
alexandarkey,	আলেকল্্ার্ডকে,	আলেকজান্ডারকে,	
porishongkhyanbid,	পরিসংবন্যবিদ,	পরিসংখ্যানবিদ,	
template,	ট্ম্পাইলটে,	টেম্পলেট,	
firth,	ফার্থ,	ফার্থ,	
bildara,	বিলদার,	বিল্ডার,	
militarite,	মিলিটারীতে,	মিলিটারিতে,	
cheenja,	চিঞ্জ,	চেঞ্জ,	
maailkhanek,	মাইলখানক,	মাইলখানেক,	
soleel,	সলিল,	সলিল,	
palestiner,	পলল্টিস্নের,	প্যালেস্টাইনের,	
laisensim,	লাইসেন্সিং,	লাইসেন্সিং,	
sanbadmadhyamgulote,	সংবদদমত্বমুলোতে,	সংবাদমাধ্যমগুলোতে,	
sorsa,	সর্ষ,	সোর্স,	
eshiyetika,	এসিভেটিক,	এশিয়াটিক,	
naitikatar,	নাইটিকতার,	নৈতিকতার,	
sampadankari,	সম্পাদনকারী,	সম্পাদনকারী,	
naubotom,	নৌবতম,	নবতম,	
vabna,	ভবনা,	ভাবনা,	
aagera,	আগেরা,	আগোরা,	
nothibhukta,	নথিভুক্ত,	নথিভুক্ত,	
duburira,	দুবরীরা,	ডুবুরিরা,	
bhenna,	ভেন্ন,	ভেন্না,	
baraakpur,	ব্যারাকপুর,	বারাকপুর,	
youth,	ইউথ,	ইয়ুথ,	
azaadeer,	আজাদির,	আজাদীর,	
dhauta,	ধাউত,	ধৌত,	
mausumti,	মৌসুমটি,	মৌসুমটি,	
times,	টাইমস,	টাইমস্,	
sikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
procharonamoolok,	প্রচারানমূলক,	প্রচারণামূলক,	
lishensh,	লাইসেন্স,	লাইসেন্স,	
chintai,	চিন্তাই,	ছিনতাই,	
durgotsab,	দূর্গসতব,	দুর্গোৎসব,	
abarte,	আবর্তে,	আবর্তে,	
iranayer,	ইরানেয়ার,	ইরানের,	
dael,	ডেল,	ডেইল,	
abolokon,	অবলোকন,	অবলোকন,	
kyatagorir,	ক্যাটগরির,	ক্যাটাগরির,	
rajotwa,	রাজত্ব,	রাজত্ব,	
aairish,	আইরিশ,	আইরিস,	
helloin,	হেলোইন,	হ্যালোইন,	
truup,	ট্রুপ,	ট্রুপ,	
agamane,	আগামানে,	আগমনে,	
michiler,	মিশিলের,	মিছিলের,	
ekshor,	একশর,	একশোর,	
laishenshe,	লাইলেস্সে,	লাইসেন্স,	
loukikota,	লৌকিকতা,	লৌকিকতা,	
seekkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
aswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
shrabostee,	শ্রববটি,	শ্রাবস্তী,	
suparharo,	সুপারহার,	সুপারহিরো,	
shho,	শো,	শো,	
shlok,	শ্লক,	শ্লোক,	
idaning,	আডোনিং,	ইদানীং,	
tatira,	ততিরা,	তাঁতিরা,	
apochesta,	অপচেষ্ট,	অপচেষ্টা,	
nederland,	নেডারল্যান্ড,	নেদারল্যান্ড,	
bamni,	বাম্নী,	বামনী,	
schalarship,	স্কলারশিপ,	স্কলারশিপ,	
zeebonnogor,	জীবন্যগর,	জীবননগর,	
cholochchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
onodhikaar,	অনোধিকার,	অনধিকার,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
proshikkhone,	প্রশিক্ষণে,	প্রশিক্ষণে,	
skara,	স্কার,	স্কোর,	
bagdadi,	বাগদদি,	বাগদাদী,	
vedanta,	বিদানতা,	বেদান্ত,	
jaj,	জজ,	জাজ,	
gaddaphii,	গাদ্ফাই,	গাদ্দাফী,	
poorohitder,	পুরুহিদের,	পুরোহিতদের,	
nodnodir,	নদ্নদির,	নদনদীর,	
injiniyarsha,	ইন্জিনিয়র্স,	ইঞ্জিনিয়ার্স,	
toranganj,	তরঙ্গঞ্জ,	তোরাবগঞ্জ,	
vangchur,	ভাঙচুর,	ভাংচুর,	
aazaan,	আজন,	আজান,	
aunty,	অ্যানটি,	আন্টি,	
abhishangsan,	অভিষংসন,	অভিশংসন,	
jeebjontu,	জীবন্যুত,	জীবজন্তু,	
elaakaao,	ইলাকাও,	এলাকাও,	
hartz,	হার্ট,	হার্জ,	
bhaangchur,	ভাঙচুর,	ভাংচুর,	
phaqsa,	ফক্স,	ফক্স,	
eucalyptush,	ইউক্লালিপটাস,	ইউক্যালিপ্টাস,	
dhan,	ধন,	ধ্যান,	
bitlaser,	বিটলসের,	বিটলসের,	
loukik,	লৌকিক,	লৌকিক,	
shayetana,	সয়াটন,	শয়তান,	
shahocharjo,	শাচ্চর্য,	সাহচর্য,	
nirontar,	নিরন্তর,	নিরন্তর,	
liceencee,	লিসেন্স,	লাইসেন্স,	
besirbhagei,	বেশীরভাগই,	বেশিরভাগেই,	
chironton,	চিরন্টন,	চিরন্তন,	
dhanchey,	ঢাঁছে,	ধাঁচে,	
oiteejye,	ঐতিহ্যে,	ঐতিহ্যে,	
kaamla,	কাললা,	কামলা,	
korkatkranti,	কর্কক্তানটি,	কর্কটক্রান্তি,	
assaciates,	অ্যাসাসেটেস,	এসোসিয়েটস,	
roktokhoron,	রক্তক্রণ,	রক্তক্ষরণের,	
grambaasider,	গ্রামসাদের,	গ্রামবাসীদের,	
unitgulo,	ইউনিতগুলো,	ইউনিটগুলো,	
karmosampadon,	কর্মসম্পদন,	কর্মসম্পাদন,	
thishisher,	ঠিশিষের,	থিসিসের,	
aajeej,	আজিজ,	আজিজ,	
eeraner,	ইরানের,	ইরানের,	
vodka,	ভোঁকা,	ভদকা,	
skyirt,	স্কায়ার্ট,	স্কার্ট,	
