aatto,	আত্ত্ব,	আত্ম,	
sheramiksh,	শেরামিক্স,	সিরামিকস,	
labonaktotar,	লবনাক্ততা,	লবণাক্ততার,	
brittakarey,	বৃত্তকের,	বৃত্তাকারে,	
zommoo,	জ্মোমো,	জম্মু,	
fasi,	ফাঁসি,	ফাঁসী,	
dharabiktir,	ধারাব্তির,	ধারাবাহিকটির,	
pooroheetder,	পুরোহিদ্রের,	পুরোহিতদের,	
sabhanetree,	সভানতত্রী,	সভানেত্রী,	
abheedhaneek,	অভিধানক,	অভিধানিক,	
kadam,	কাদাম,	কদম,	
baasate,	বাসাতে,	বাসাতে,	
naneer,	নানির,	নানীর,	
baharampurer,	বাহারম্পুরের,	বহরমপুরের,	
oncholti,	অঞ্চলতি,	অঞ্চলটি,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
zuktorastreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
moshzidti,	মস্জিদটি,	মসজিদটি,	
nagnyo,	না্্ন্য,	নগণ্য,	
besorkarikoron,	বেসরকারীকরণ,	বেসরকারিকরণ,	
themeke,	থেমেকে,	থিমকে,	
phoxkon,	ফক্কন,	ফক্সকন,	
kakhonyoba,	কখন্যব,	কখনওবা,	
netherlande,	নেদফার্্ডাজ,	নেদারল্যান্ডে,	
marmaara,	মার্মার,	মারমারা,	
prasadhoner,	প্রসাধানের,	প্রসাধনের,	
suparahiro,	সুপারহার,	সুপারহিরো,	
dey,	দে,	ডে,	
upobaaser,	উপবাযাসের,	উপবাসের,	
gitikabita,	গীতিকাবিত,	গীতিকবিতা,	
solil,	সলিল,	সলিল,	
byakhyatito,	ব্যাখ্যাটিত,	ব্যাখ্যাতীত,	
odurey,	অদূরে,	অদুরে,	
batikromee,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
vangley,	ভাঙ্গে,	ভাঙলে,	
methaner,	মেঠানের,	মিথেনের,	
ekpaase,	একপাশে,	একপাশে,	
veda,	ভেদা,	বেদ,	
hoonayin,	হোনাই,	হুনাইন,	
abheedhaaneec,	অভিধানক,	অভিধানিক,	
gazee,	গাজী,	গেজ,	
taalaal,	তালাল,	তালাল,	
granthotike,	গ্রন্থাতিকে,	গ্রন্থটিকে,	
bolokarok,	বলকারক,	বলকারক,	
semai,	সেমাই,	সেমাই,	
porinoti,	পরিনতি,	পরিণতি,	
jansa,	জনস,	জন্স,	
janaalo,	জানালো,	জানালো,	
dhhaloor,	ঢালুর,	ঢালুর,	
gandhiio,	গান্ধিয়া,	গান্ধীও,	
ekpaashe,	একপাশে,	একপাশে,	
saaralya,	সার্ল্যা,	সারল্য,	
vabuk,	ভাবুক,	ভাবুক,	
elaakaatike,	এলাকাতিকে,	এলাকাটিকে,	
mulvitti,	মূল্বিত্তি,	মূলভিত্তি,	
snipper,	সিন্পের,	স্নাইপার,	
lampat,	লম্পাত,	লম্পট,	
ishtara,	ইস্টার,	ইস্টার,	
idipas,	এদিপস,	ইডিপাস,	
bikargrosto,	বিকর্গস্থ,	বিকারগ্রস্ত,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
nondolal,	নন্দলালা,	নন্দলাল,	
fund,	ফাণ্ড,	ফান্ড,	
ragke,	রাগকে,	রাগকে,	
elakatike,	এলাকাতিকে,	এলাকাটিকে,	
bisnu,	বিষ্ণু,	বিষ্ণু,	
tobey,	তবে,	টবে,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
seeramiker,	সিরামীকের,	সিরামিকের,	
granthe,	গ্রন্থে,	গ্রন্থে,	
shource,	সার্স,	সোর্স,	
wenis,	ওয়েনিস,	ভেনিস,	
phikshim,	ফিক্সিং,	ফিক্সিং,	
pachchen,	পাচছেন,	পাচ্ছেন,	
saras,	সারস,	সরস,	
dibaag,	দিবাগ,	ডিবাগ,	
ishpredshhit,	ইসপ্রেশ্যে,	স্প্রেডশীট,	
joubonbotee,	যৌবনব্তী,	যৌবনবতী,	
ssikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
pushtee,	পুষ্টি,	পুষ্টি,	
superheroo,	সুপারহরও,	সুপারহিরো,	
sarbhaare,	সর্ভারে,	সার্ভারে,	
mukharji,	মুখার্জি,	মুখার্জী,	
nimitte,	নিমিত্তে,	নিমিত্তে,	
sthaponakay,	স্থাপনকে,	স্থাপনাকে,	
chhotogalpe,	ছোটোগলতে,	ছোটগল্পে,	
graambaseeo,	গ্রাম্বিহা,	গ্রামবাসীও,	
karmasampadon,	কর্মস্মপদন্ড,	কর্মসম্পাদন,	
uul,	উলল,	উল,	
shooknaa,	শুকনা,	শুকনা,	
khalidkay,	খালিদকে,	খালিদকে,	
subir,	সুবির,	সুবীর,	
ghoor,	ঘুর,	ঘুর,	
timothi,	তিম্থি,	টিমোথি,	
vugol,	ভুগল,	ভূগোল,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
mojlish,	মজলিস,	মজলিশ,	
hazat,	হাজাত,	হজত,	
sidiul,	সিডিউল,	শিডিউল,	
faltir,	ফলটির,	ফলটির,	
mahasava,	মহাসব,	মহাসভা,	
rajballav,	রাজবললভ,	রাজবল্লভ,	
caramiks,	কারামাক্স,	সিরামিকস,	
sushiksar,	সুশিক্ষার,	সুশিক্ষার,	
bosonte,	বসন্তে,	বসন্তে,	
avetar,	অভাতর,	অবতার,	
anchaltite,	অঞ্চলতিতে,	অঞ্চলটিতে,	
sheekarder,	শিকর্দদের,	শিকারদের,	
sakar,	সকর,	সাকার,	
mahasabha,	মহাসব,	মহাসভা,	
manushder,	মানুষদের,	মানুষদের,	
franco,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
feemalee,	ফেমালী,	ফিমেল,	
orbeet,	অর্বিত,	অরবিট,	
aastikota,	আস্তিকতা,	আস্তিকতা,	
shilvar,	শিলভার,	সিলভার,	
graambasio,	গ্রাম্বিহ,	গ্রামবাসীও,	
fanser,	ফাঁসের,	ফাঁসের,	
siddhanter,	সিদ্ধান্তের,	সিদ্ধান্তের,	
sikara,	শিকার,	শিকার,	
grambaashee,	গ্রামবাসী,	গ্রামবাসী,	
deul,	ডিউল,	দেউল,	
amarika,	আমর্কিয়া,	আমেরিকা,	
vortuki,	ভর্তুকী,	ভর্তুকি,	
abolokon,	অবলককন,	অবলোকন,	
abahon,	আবাহন,	আবাহন,	
keyboarder,	কেবোর্ডের,	কীবোর্ডের,	
uipokar,	উইপকার,	উইপোকার,	
asammati,	অসম্মতি,	অসম্মতি,	
sangkulaan,	সংকগুন,	সংকুলান,	
onodhikar,	অনধধিকার,	অনধিকার,	
makang,	মক্কাং,	মেকং,	
rupert,	রূপার্ট,	রুপার্ট,	
madeling,	ম্যাডেল্ং,	মডেলিং,	
tate,	ততট,	তাতে,	
naubihar,	নৌবহহার,	নৌবিহার,	
megh,	মেঘ,	মেঘ,	
euror,	ইউরর,	ইউরোর,	
baugey,	বাগে,	বাগে,	
marodeha,	মারারেহ,	মরদেহ,	
chalachchitreo,	চলচ্চ্ত্র,	চলচ্চিত্রেও,	
ajuhat,	অজাহত,	অজুহাত,	
mojlis,	মজলিস,	মজলিশ,	
bhalobass,	ভালোবাস,	ভালোবাসা,	
choudhureer,	চৌধুরির,	চৌধুরীর,	
laesens,	লেজেন্স,	লাইসেন্স,	
naraphooka,	নরফূকো,	নরফোক,	
dholeshori,	ধালেশরী,	ধলেশ্বরী,	
venice,	ভেনিকে,	ভেনিস,	
premo,	প্রেম,	প্রিমো,	
judge,	জজ,	জাজ,	
abheedhaneec,	অভিধানক,	অভিধানিক,	
songbadmadhyome,	সংবাদ্যমাধকে,	সংবাদমাধ্যমে,	
parjataker,	পর্যাতকের,	পর্যটকের,	
hori,	হরি,	হরি,	
aairese,	আইরেসে,	আইরেসে,	
mondopey,	মন্ডপে,	মন্ডপে,	
parser,	পার্সের,	পার্শ্বের,	
gojano,	গজনন,	গজানো,	
mukhamandal,	মুখমন্ডল,	মুখমণ্ডল,	
shikhra,	শিখ্রা,	শিখরা,	
debholapar,	ডেভলপার,	ডেভলপার,	
heeja,	হেজ,	হেজ,	
seo,	সিও,	সেও,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
futbolarer,	ফুটবলরের,	ফুটবলারের,	
mirakeela,	মিরকেল,	মিরাকেল,	
prostutkarok,	প্রস্তুতকর্ক,	প্রস্তুতকারক,	
paite,	পেই,	পাইতে,	
kinto,	কিন্ত,	কিনত,	
rephlex,	রেফলেস,	রিফ্লেক্স,	
bhramankale,	ভ্রমণকালে,	ভ্রমণকালে,	
biplabee,	বিপ্লবী,	বিপ্লবী,	
fiksing,	ফিক্সিং,	ফিক্সিং,	
station,	স্টেশন,	ষ্টেশন,	
chomke,	চামকে,	চমকে,	
kaash,	কাশ,	কাস,	
bisnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
maladabha,	মালদাব,	মলদোভা,	
ayadabhansada,	অ্যাডভোব্যান,	অ্যাডভান্সড,	
baard,	বার্ড,	বার্ড,	
abarta,	আবার্তা,	আবর্ত,	
grambashio,	গ্রাম্বাহ,	গ্রামবাসীও,	
hochchilo,	হচ্ছিল,	হচ্ছিলো,	
kuley,	কূলে,	কুলে,	
seating,	স্যেটিং,	সিটিং,	
trivuj,	ত্রিভুজ,	ত্রিভূজ,	
neermol,	নির্মল,	নির্মল,	
podarthobid,	পদার্থবিদ,	পদার্থবিদ,	
orthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
aqramer,	একরামের,	আকরামের,	
panchashjon,	পঞ্চাশোঞ্জা,	পঞ্চাশজন,	
daankaan,	ডাঁকান,	ডানকান,	
atitkale,	অতীতকালে,	অতীতকালে,	
masjidtir,	মস্গীদটির,	মসজিদটির,	
laisensa,	লেনসন্স,	লাইসেন্স,	
shyutara,	স্যাটার,	শ্যুটার,	
brindo,	বৃদ্য,	বৃন্দ,	
dokaangulotey,	দোকনগুলোতে,	দোকানগুলোতে,	
bamonder,	বামন্ডের,	বামনদের,	
protista,	প্রতিষ্ট,	প্রতিষ্টা,	
ghoomachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
ejenda,	এজেন্ড,	এজেন্ডা,	
chaudhurio,	চৌধুরিত,	চৌধুরীও,	
marketin,	মার্কেতিন,	মার্কেটিং,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
oshthad,	অস্থাদ,	ওস্তাদ,	
melobborne,	মেলবব্রে,	মেলবোর্নে,	
shcholastik,	স্কাল্সস্টিক,	স্কলাস্টিক,	
khelafate,	খেলাতে,	খেলাফতে,	
gaaddafee,	গাদ্দালী,	গাদ্দাফী,	
bhardwaj,	ভার্য্যা,	ভরদ্বাজ,	
alexander,	আলেক্সান্ডার,	আলেকজান্ডার,	
chanake,	চাণাকে,	ছানাকে,	
dokaangulote,	দোকনগুলোতে,	দোকানগুলোতে,	
roobi,	রুবি,	রুবি,	
afzal,	আফজাল,	আফজল,	
abadamoner,	অবদমনের,	অবদমনের,	
chhootochhuti,	ছুটুচুতি,	ছুটোছুটি,	
thaakte,	থাকতে,	থাকতে,	
risort,	রিসর্ট,	রিসোর্ট,	
stationer,	স্টেশনের,	ষ্টেশনের,	
chotogolper,	চোটোগলের,	ছোটগল্পের,	
modelke,	মোদেলকে,	মডেলকে,	
chocchitrei,	চকচ্ছেত্রে,	চলচ্চিত্রেই,	
gaj,	গজ,	গেজ,	
uthaney,	উঠানে,	উঠানে,	
probhu,	প্রভূ,	প্রভু,	
charger,	চার্গের,	চার্জের,	
kkhur,	ক্ষুর,	ক্ষুর,	
phoksher,	ফক্ষের,	ফক্সের,	
bhabanipur,	ভবানীপুর,	ভবানীপুর,	
carlas,	কার্লস,	কার্লোস,	
bhugten,	ভুগতেন,	ভুগতেন,	
shahab,	সাহাব,	সাহাব,	
jonoshomaj,	জনসম্য,	জনসমাজ,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
pathanirdeshona,	পথনির্দেশন,	পথনির্দেশনা,	
confliqt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
chalche,	চালচে,	চলছে,	
zoonite,	যোনিতে,	যোনীতে,	
abheedhaneeck,	অভিধানকি,	অভিধানিক,	
piruzali,	পিরুজালী,	পিরুজালী,	
peterkey,	প্টারাক,	পিটারকে,	
rohosyer,	রহস্যের,	রহস্যের,	
tecnocrat,	টেকনকর্ট,	টেকনোক্র্যাট,	
steeit,	স্টেইট,	স্টেইট,	
anupater,	অনুপতের,	অনুপাতের,	
vaisaho,	ভৈশহ,	ভাইসহ,	
jya,	জ্যা,	জ্যা,	
sammatir,	সম্মতির,	সম্মতির,	
ronodeep,	রনদীদ,	রণদীপ,	
ankeeta,	অংকেত,	অঙ্কিতা,	
bohudeen,	বহুদিন,	বহুদিন,	
postke,	পোস্তকে,	পোস্টকে,	
mugdhota,	মুগধরা,	মুগ্ধতা,	
embaed,	এম্বেইড,	এম্বেড,	
bagichar,	বাগিছার,	বাগিচার,	
pratisthasoho,	প্রতিষ্ঠাস,	প্রতিষ্ঠাসহ,	
economics,	ইকোনমিক্স,	ইকোনমিকস,	
nake,	নাকে,	নেক,	
jerujaleme,	জিরজালেমে,	জেরুসালেমে,	
bufar,	বাফার,	বাফার,	
godabari,	গদাবরি,	গোদাবরী,	
lishensh,	লিসনেস,	লাইসেন্স,	
ikbaler,	ইকালের,	ইকবালের,	
neshnosh,	নেশন্যস,	নেশনস,	
bishesyer,	বিশেষের,	বিশেষ্যের,	
elaakatite,	এলাকততিতে,	এলাকাটিকে,	
jolbe,	জলবে,	জ্বলবে,	
shrabosti,	শ্রবস্তী,	শ্রাবস্তী,	
khoka,	কোকা,	খোকা,	
locker,	লকের,	লকের,	
gatrey,	গতত্রে,	গাত্রে,	
enamela,	এনোমেল,	এনামেল,	
utpotti,	উৎপত্তি,	উতপত্তি,	
khodeza,	খোদেজা,	খোদেজা,	
shikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
murali,	মুরালি,	মুরলী,	
shringo,	শ্রীঙ্গ,	শৃঙ্গ,	
municipal,	মুনিক্যাপ,	মিউনিসিপ্যাল,	
post,	পোস্ট,	পোষ্ট,	
queery,	কুয়ারি,	কোয়েরি,	
sohinsotar,	সহিংসাতর,	সহিংসতার,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
chitranatyakar,	চিত্রনাট্যার,	চিত্রনাট্যকার,	
chhuti,	ছুটি,	ছুটি,	
aunty,	অ্যান্টি,	আন্টি,	
kaptai,	কপপ্তই,	কাপ্তাই,	
tetela,	টেটলে,	টাইটেল,	
monjushri,	মঞ্জুসরি,	মঞ্জুশ্রী,	
dharabhiko,	ধারাভিক,	ধারাবাহিকেও,	
pro,	প্রো,	প্রো,	
noren,	নরেন,	নরেন,	
delivar,	ডেলিভার,	ডেলিভার,	
olympiker,	অলিম্পিকের,	অলিম্পিকের,	
turkamena,	তূর্কমেন,	তুর্কমেন,	
bollov,	বল্লব,	বল্লভ,	
dibug,	দিব্গুগ,	ডিবাগ,	
graambaashee,	গ্রামবাসী,	গ্রামবাসী,	
horidwar,	হরিদ্বর,	হরিদ্বার,	
otiiteo,	অতিতেও,	অতীতেও,	
bolobhodro,	বলবগ্র,	বলভদ্র,	
shikkhakder,	শিক্ষামদের,	শিক্ষকদের,	
hari,	হ্যারি,	হরি,	
chaalke,	চালকে,	চালকে,	
charzara,	চার্যার,	চার্জার,	
prosadhoni,	প্রসাধ্নই,	প্রসাধনী,	
byaboharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
udvaboni,	উদ্ভবনী,	উদ্ভাবনী,	
plack,	প্লক,	প্ল্যাক,	
daalu,	ডালু,	ডালু,	
nathivookteer,	নথিকুভিত্রী,	নথিভুক্তির,	
rooshod,	রসুদ,	রুশদ,	
janes,	জননস,	জোন্স,	
roktokkhon,	রক্তক্ষণ,	রক্তক্ষরণের,	
ralof,	রলফ,	রালফ,	
shhip,	শীি,	শিপ,	
sothikata,	সথিকতা,	সঠিকতা,	
ghetu,	ঘেতু,	ঘেটু,	
abhidhaaneek,	অভিধানিক,	অভিধানিক,	
byomkes,	ব্যামকেস,	ব্যোমকেশ,	
vasturyi,	বস্তুরী,	বস্তুরই,	
eideen,	এদেন,	এইদিন,	
ssumoo,	সসমো,	সুমো,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
gabhaaskar,	গভাসক্র,	গাভাস্কার,	
byabaharkariderke,	ব্যবহারকারোদীরে,	ব্যবহারকারীদেরকে,	
bayi,	বেই,	বাঈ,	
sahojlabhbhatar,	সহযোগ্যাস্থার,	সহজলভ্যতার,	
bohal,	বহল,	বহাল,	
grambaasi,	গ্রামবাসী,	গ্রামবাসী,	
bidrohiderkey,	বিদ্রোধিদকের,	বিদ্রোহীদেরকে,	
silvi,	সিলভি,	সিলভি,	
hud,	হাদ,	হুড,	
