nesnos,	নেন্নস,	নেশনস,	
pirujali,	পিরুজালি,	পিরুজালী,	
dologuloo,	দলগুলো,	দলগুলোও,	
tookroti,	টুকরটি,	টুকরোটি,	
aarekdal,	আরেকদল,	আরেকদল,	
goori,	গুরি,	গোরি,	
jeebnagore,	জীবনাগরে,	জীবননগর,	
udbhabani,	উদ্ভাবনী,	উদ্ভাবনী,	
aholla,	আহলা,	অহল্যা,	
venishh,	ভেনিশ,	ভেনিস,	
lettere,	লেটার,	লেটারে,	
ever,	এভার,	এভার,	
edmiral,	এড্ডিরর,	এডমিরাল,	
osommotite,	অসম্তিতে,	অসম্মতি,	
second,	সেকন্ড,	সেকেণ্ড,	
prrajanankaal,	প্রজননককাল,	প্রজননকাল,	
ikbalke,	ইকবলকে,	ইকবালকে,	
heerani,	হিরানি,	হিরানি,	
graambaseeo,	গ্রামবাসীও,	গ্রামবাসীও,	
shilver,	শিলভার,	সিলভার,	
taler,	তেলের,	তালের,	
nojoder,	নজদের,	নজদের,	
falkser,	ফলকেশর,	ফক্সের,	
byaboharkaree,	ব্যবহারকারী,	ব্যবহারকারী,	
horeepur,	হরিপুর,	হরিপুর,	
pituni,	পিতুনী,	পিটুনি,	
sqalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
ramantika,	রামন্টিক,	রোমান্টিক,	
nariikei,	নারীকেই,	নারীকেই,	
manohar,	মানহর,	মনোহর,	
jammu,	জম্মু,	জম্মু,	
crescent,	ক্রিসেেন্ট,	ক্রিসেন্ট,	
moithili,	মৈঠিলি,	মৈথিলি,	
baffer,	বাফের,	বাফার,	
teuning,	টিউনিং,	টিউনিং,	
lompot,	লম্পট,	লম্পট,	
pingnaa,	পিঙ্া,	পিংনা,	
dharmantar,	ধর্মন্তর,	ধর্মান্তর,	
agamaner,	আগামানের,	আগমনের,	
shotodha,	শতোধা,	শতধা,	
timathi,	তিমাথি,	টিমোথি,	
deebatee,	দীবতী,	ডিবেট,	
eparjanta,	এপর্যন্ত,	এপর্যন্ত,	
deool,	ডিউল,	দেউল,	
heedgee,	হেজ,	হেজ,	
shulfate,	সালফাট,	সালফেট,	
dormitori,	ডরমেটরি,	ডরমিটরি,	
laiseensa,	লাইসেন্স,	লাইসেন্স,	
bamnii,	বামনী,	বামনী,	
sulfatee,	সালফেট,	সালফেট,	
tyunar,	টিউনার,	টিউনার,	
jonee,	যোনি,	জনি,	
jwoluk,	জ্বলুক,	জ্বলুক,	
rigthter,	রিগটের,	রাইটের,	
elaakao,	এলাকাও,	এলাকাও,	
daja,	দাজা,	ডোজো,	
schalastic,	স্কালাস্টিক,	স্কলাস্টিক,	
kraanti,	ক্রান্টি,	ক্রান্তি,	
venush,	ভেনুস,	ভেনাস,	
oporeeshodhito,	অপরিষোধিত,	অপরিশোধিত,	
neurolojy,	নিউরোলজি,	নিউরোলজি,	
samashti,	সমসটি,	সমষ্টি,	
harja,	হার্জ,	হার্জ,	
aro,	এরো,	আরও,	
murali,	মুরালী,	মুরলী,	
obhidhaner,	অভিধানের,	অভিধানের,	
chalachchitrotike,	চালচচিত্রকিতে,	চলচ্চিত্রটিকে,	
mosjidkey,	মস্জিদকে,	মসজিদকে,	
builder,	বিল্ডার,	বিল্ডার,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
casper,	ক্ষাপের,	ক্যাসপার,	
besirbhagi,	বেশীরভাগই,	বেশিরভাগই,	
fimela,	ফিমেল,	ফিমেল,	
moshzidtike,	মশ্জিদ্তকে,	মসজিদটিকে,	
romantiq,	রামান্টিক,	রোমান্টিক,	
trans,	ট্রান্স,	ট্রান্স,	
aakabaar,	আকাবার,	আকাবার,	
udvaban,	উদ্ভবন,	উদ্ভাবন,	
dwipei,	দ্বিপেই,	দ্বীপেই,	
gudamjaato,	দুদুমজাত,	গুদামজাত,	
edii,	এডি,	আইডিই,	
suma,	সুমা,	সুমো,	
chet,	ছেত,	চ্যাট,	
osamorik,	অসামরিক,	অসামরিক,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
cheerontan,	চিরন্তান,	চিরন্তন,	
monjhostho,	মঞ্ধস্থ,	মঞ্চস্থ,	
bhaandar,	ভান্ডার,	ভাণ্ডার,	
donaat,	ডোনাত,	ডোনাট,	
batikromee,	ব্যাতিক্রমে,	ব্যতিক্রমী,	
jaanachhe,	জানাচ্ছে,	জানাচ্ছে,	
osamarik,	ওসামারিক,	অসামরিক,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
adhyatmikata,	আধ্যাত্মিকতা,	আধ্যাত্মিকতা,	
swartho,	স্বার্থ,	স্বার্থ,	
protishta,	প্রতিষ্টা,	প্রতিষ্টা,	
karoo,	কারু,	কারো,	
akik,	একিক,	আকিক,	
projononkal,	প্রজনককাল,	প্রজননকাল,	
pretii,	প্রেতি,	প্রিটি,	
oodoore,	উদরে,	অদুরে,	
kemonay,	কেমনে,	কেমনে,	
shikhar,	শিখর,	শিকার,	
avatar,	ওভাতার,	অবতার,	
sadeena,	সাদেন,	সাডেন,	
ovishongshon,	অভিশংশন,	অভিশংসন,	
stonahenza,	স্ট্নাহেঞ্জা,	স্টোনহেঞ্জ,	
onnkita,	অঙ্কিত,	অঙ্কিতা,	
shorifer,	শরীফের,	শরিফের,	
chaanoo,	চানু,	চানু,	
soshorire,	শশরীরে,	সশরীরে,	
bifol,	বিফল,	বিফল,	
shreemati,	শ্রীমতী,	শ্রীমতি,	
obheegomon,	অভিগোমন,	অভিগমন,	
parther,	পার্থার,	পার্থের,	
barbe,	বারবে,	বাড়বে,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
vangle,	ভাঙ্গেল,	ভাঙলে,	
hert,	হার্ট,	হার্ট,	
addabaaj,	আদ্যাবাজ,	আড্ডাবাজ,	
mokam,	মোকাম,	মোকাম,	
cholochchitraeer,	চালচিত্রের,	চলচ্চিত্রের,	
chapal,	চাপাল,	চপল,	
shrabosti,	শ্রবসটি,	শ্রাবস্তী,	
durbhagya,	দুর্ভাগ্য,	দূর্ভাগ্য,	
goore,	গুরে,	গোর,	
quata,	কোয়াট,	কোটা,	
raia,	রাই,	রায়,	
ajeempoor,	আজিমপুর,	আজিমপুর,	
nirbahi,	নির্বাহী,	নির্বাহি,	
soorti,	সূর্তি,	সুরটি,	
zeebonto,	জীবন্ত,	জীবন্ত,	
serverti,	শেরভরটি,	সার্ভারটি,	
bangyer,	বঙ্গের,	ব্যাঙের,	
obharbhiu,	অভার্ভি,	ওভারভিউ,	
ponjeekar,	পঞ্জিকার,	পঞ্জিকার,	
moreecha,	মরিচা,	মরিচা,	
tottoraat,	তত্ররাট,	তওরাত,	
fix,	ফিক্স,	ফিক্স,	
ancieent,	এন্াইন্ট,	এনসিয়েন্ট,	
ghatlo,	ঘটল,	ঘটল,	
jahar,	জহহার,	জহর,	
ghosito,	ঘোষিত,	ঘোষিত,	
engrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
oindreela,	ইন্ড্রেলা,	ঐন্দ্রিলা,	
songkoloner,	সংকলনের,	সংকলনের,	
prachandota,	প্রচন্ডতা,	প্রচণ্ডতা,	
onurbor,	অনুর্বর,	অনুর্বর,	
nartan,	নর্তন,	নর্টন,	
songrahak,	সংগ্রহক,	সংগ্রাহক,	
iraner,	আইরনের,	ইরানের,	
shainyara,	সৈন্যর,	সৈন্যরা,	
armshtronj,	আর্মত্রজ্জ,	আর্মস্ট্রং,	
shringo,	শ্রীঙ্গ,	শৃঙ্গ,	
hugheske,	হুঁহেসকে,	হিউজকে,	
ishtara,	ইস্টার,	ইস্টার,	
iuro,	ইউরো,	ইউরো,	
daktickete,	ডাকটিকেটে,	ডাকটিকিটে,	
hoonayin,	হোনাইন,	হুনাইন,	
graambaasee,	গ্রামবাসী,	গ্রামবাসী,	
jaaygata,	জেগত,	জায়গাটা,	
definishian,	ডেফিনিশন,	ডেফিনেশন,	
ballrum,	বলরুম,	বলরুম,	
dokaneyi,	দোকানেই,	দোকানেই,	
orthanitite,	অর্থনিতিতে,	অর্থনীতিতে,	
rotheen,	রথিন,	রথীন,	
potchitrer,	পতচিত্রের,	পটচিত্রের,	
ghatleo,	ঘটলেও,	ঘটলেও,	
lendol,	লেন্ডল,	লেন্ডল,	
taaims,	টাইমস,	টাইমস্,	
antarbhutto,	অন্তর্ভূত্ত,	অন্তর্ভুক্ত,	
manushti,	মনুষটটি,	মানুষটি,	
shikare,	শিকারে,	শিকারে,	
rinatmok,	ঋণাত্মক,	ঋনাত্মক,	
mousumeo,	মাসুমেও,	মৌসুমেও,	
ovigomon,	অভিগোমন,	অভিগমন,	
sointoder,	সৈন্তদের,	সৈন্যদের,	
timothy,	তিমথি,	টিমোথি,	
chorchita,	চার্িিত,	চর্চিত,	
oteeteo,	ওতিতেও,	অতীতেও,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
godamjat,	গদমজাত,	গুদামজাত,	
rubidiyam,	রোবিডিয়াম,	রুবিডিয়াম,	
salafeta,	সলফেট,	সালফেট,	
anshograhone,	অংশগ্রহণে,	অংশগ্রহনের,	
ongkita,	অংকিত,	অঙ্কিতা,	
shikshakder,	শিক্ষকদের,	শিক্ষকদের,	
dokaan,	ডোকান,	দোকান,	
pab,	পাব,	পাব,	
aabahon,	আবাহন,	আবাহন,	
shuter,	শুটার,	শ্যুটার,	
saatzon,	সাতজন,	সাতজন,	
cholochchitreei,	চলচিচ্ত্রেই,	চলচ্চিত্রেই,	
porbotmala,	পর্বত্মলা,	পর্বতমালা,	
gavaskar,	গভাস্কার,	গাভাস্কার,	
woter,	ওয়াটার,	ভোটার,	
starc,	স্টার্ক,	স্টার্ক,	
donata,	দোনাটা,	ডোনাট,	
dharmantor,	ধর্মন্তর,	ধর্মান্তর,	
natunatva,	নতুনত্ব,	নতুনত্ব,	
shhikha,	শিখা,	শিখ,	
gabeshanagar,	গবেষণাগার,	গবেষনাগার,	
sookkho,	সুক্ষ,	সুক্ষ্ম,	
