suiti,	স্যুটি,	সুইটি,	
itastatoh,	ইতাস্তাহ,	ইতস্ততঃ,	
chanoo,	চানু,	চানু,	
baagica,	বাগিকা,	বাগিচা,	
niropekshtar,	নিরপেক্ষতার,	নিরপেক্ষতার,	
rotheen,	রথিন,	রথীন,	
sabrakomer,	সব্রকমের,	সবরকমের,	
kara,	করা,	কারো,	
alpai,	আলপাই,	অল্পই,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
upobaasee,	উপবাসী,	উপবাসী,	
maryir,	মেরির,	ম্যারির,	
ponjikar,	পঞ্জিকার,	পঞ্জিকার,	
protimake,	প্রতিমাকে,	প্রতিমাকে,	
bajite,	বাজিতে,	বাজিতে,	
akeeb,	একীব,	আকিব,	
corymb,	ক্যাম,	করিম,	
koyartara,	কোয়ার্টার,	কোয়ার্টার,	
jothon,	যথন,	যথন,	
mitar,	মিটার,	মিত্র,	
atohar,	আতহার,	আতহার,	
uddhrita,	উদ্ধৃত,	উদ্ধৃত,	
zhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
korecha,	করেছা,	করেছ,	
pashchatey,	পাশ্চাত্যে,	পশ্চাতে,	
suchanakal,	সূচনাকাল,	সূচনাকাল,	
biqe,	বিকে,	বাইক,	
graambaaseeo,	গ্রামবাসী,	গ্রামবাসীও,	
bem,	বেম,	বিম,	
mohit,	মোহিত,	মুহিত,	
monzooshree,	মন্জুশরী,	মঞ্জুশ্রী,	
edmeeral,	এডমেরাল,	এডমিরাল,	
chai,	চাই,	ছাই,	
spashtatai,	স্পেশতাতেই,	স্পষ্টতই,	
qor,	কোর,	কর,	
neurologi,	নিউরোলজি,	নিউরোলজি,	
asbar,	আসবার,	আসবার,	
jeebonnogor,	জীবনযোগর,	জীবননগর,	
shhashtra,	শাষ্ট্র,	শাস্ত্র,	
gandhiike,	গানধিকে,	গান্ধীকে,	
badei,	বাদেই,	বাদেই,	
sachetonbhabe,	সচেতনভাবে,	সচেতনভাবে,	
khanonkaj,	খানকাজ,	খননকাজ,	
phalah,	ফালাহ,	ফালাহ,	
eucalyptushh,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
madhobir,	মাধবীর,	মাধবীর,	
rigthter,	রিজটের,	রাইটের,	
bhabanir,	ভবানীর,	ভবানীর,	
panthar,	পাঁথার,	পন্থার,	
santani,	সন্তানী,	সনাতনী,	
sulfatee,	সুলফাতি,	সালফেট,	
bonbhumi,	বনভূমি,	বনভূমি,	
beda,	বেদা,	বেদ,	
onektai,	অনেকটাই,	অনেকটাই,	
dharai,	ধারাই,	ধারাই,	
ashociatesh,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
selinar,	সেলিনার,	সেলিনার,	
ajeeja,	অজিজা,	আজিজা,	
prothake,	প্রথাকে,	প্রথাকে,	
prostutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
internship,	ইন্টার্নশীপ,	ইন্টার্নশিপ,	
chaity,	চাইতি,	চৈতি,	
ancholtitey,	অঞ্চলটিতে,	অঞ্চলটিতে,	
omitrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
capshule,	ক্যাসলুল,	ক্যাপসুল,	
jeebjontu,	জীবজন্তু,	জীবজন্তু,	
edaningkale,	এডানিকালে,	ইদানীংকালে,	
rohosyoti,	রহশ্যটি,	রহস্যটি,	
graambaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
cholochchitrai,	চলচ্চিত্রই,	চলচ্চিত্রই,	
azim,	আজিম,	আজিম,	
treend,	ট্রেন্ড,	ট্রেন্ড,	
jons,	জোনস,	জোন্স,	
thore,	থোরে,	থরে,	
tennish,	টেনিস,	টেনিস,	
romantik,	রোমান্তিক,	রোমান্টিক,	
jatak,	যাটক,	জাতক,	
germanyteo,	জার্মানিতেও,	জার্মানিতেও,	
alkatra,	আলকাত্র,	আলকাতরা,	
debholopar,	ডেভলপার,	ডেভলপার,	
janasamaj,	জনসমাজ,	জনসমাজ,	
rubidiyaam,	রুবিদিয়াম,	রুবিডিয়াম,	
mautke,	মতকে,	মতকে,	
antarktika,	আন্তর্কটিক,	অ্যান্টার্কটিকা,	
times,	টাইমস,	টাইমস্,	
koda,	কোদা,	কোড,	
narsari,	নার্সারী,	নার্সারি,	
mmadhuri,	মধুরি,	মাধুরী,	
fiksim,	ফিক্সিং,	ফিক্সিং,	
siddhantoi,	সিদ্বান্তই,	সিদ্ধান্তই,	
anuchcheder,	অনুচ্ছেদের,	অনুচ্ছেদের,	
jolrong,	জলরর,	জলরঙ,	
janagononar,	জনগণনার,	জনগণনার,	
tikto,	টিকতো,	তিক্ত,	
brooklyn,	ব্রোকলিন,	ব্রুকলিন,	
spenser,	স্পেনসের,	স্পেন্সার,	
sansthagulo,	সংশ্ঠালগুলো,	সংস্থাগুলো,	
koda,	কোদা,	কোডা,	
minister,	মিনিস্টার,	মিনিস্টার,	
kredita,	ক্রেডিত,	ক্রেডিট,	
hoteelti,	হটিলটি,	হোটেলটি,	
lainde,	লাইন্ডে,	ল্যান্ডে,	
manushi,	মানুসী,	মানুষী,	
laiseensa,	লাইসেন্স,	লাইসেন্স,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
aasar,	আসার,	আসর,	
tooku,	টুকু,	টুকু,	
estaniya,	ইস্টেনিয়া,	এস্তোনিয়া,	
zoneser,	জোনিসের,	জোন্সের,	
liceencee,	লিসেন্স,	লাইসেন্স,	
associatees,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
ekeerokom,	একরকম,	একইরকম,	
antorvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
leetteer,	লেটার,	লেটার,	
muradkey,	মুরাদকে,	মুরাদকে,	
farna,	ফার্ন,	ফার্ন,	
sanaktokaran,	সনকক্তকরণ,	সনাক্তকরণ,	
oshthad,	অস্থাদ,	ওস্তাদ,	
mesenjjar,	মেজেনজার,	মেসেঞ্জার,	
phirti,	ফিরটি,	ফিরতি,	
robot,	রোবট,	রোবোট,	
manhputo,	মানহুত,	মনঃপুত,	
totokkhon,	ততক্ষণ,	ততক্ষন,	
hafsa,	হফসা,	হাফসা,	
pathanirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
gobhornorer,	গভর্নরের,	গভর্ণরের,	
bhromoner,	ভ্রমণের,	ভ্রমণের,	
monur,	মনুর,	মনুর,	
godavari,	গদাারি,	গোদাবরী,	
banger,	বঙ্গের,	ব্যাঙের,	
angshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
dankaan,	ডানকান,	ডানকান,	
planea,	প্লেনে,	প্লেনে,	
maldava,	মালদাভা,	মলদোভা,	
shhepha,	সেফ,	শেফ,	
natshi,	নাসি,	নাত্সি,	
sabrakamer,	সব্রকমের,	সবরকমের,	
prachuryer,	প্রাচুর্যের,	প্রাচুর্যের,	
aksharke,	আক্ষরকে,	অক্ষরকে,	
jerujaleme,	জেরুজলমামে,	জেরুসালেমে,	
porisromii,	পরিশ্রমী,	পরিশ্রমী,	
dipan,	দিপিন,	দীপন,	
sucharita,	সুচারিত,	সুচরিতা,	
banduk,	বানদুক,	বন্দুক,	
liseens,	লিসেন্স,	লাইসেন্স,	
sooraarop,	সুরারোপ,	সুরারোপ,	
abotaar,	অবতার,	অবতার,	
bharma,	ভর্মা,	ভার্মা,	
siddhantoke,	সিদ্বান্তকে,	সিদ্ধান্তকে,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
janate,	জানাতে,	জানাতে,	
shomrat,	সমরাট,	সম্রাট,	
voter,	ভোটের,	ভোটার,	
zeebonjapon,	জীবনজাপন,	জীবনযাপন,	
agahir,	আগাহীর,	অগভীর,	
shilpojato,	শিল্পজাত,	শিল্পজাত,	
oteeteo,	অতিতেও,	অতীতেও,	
juktarashtreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
durtomo,	দূর্তম,	দূরতম,	
cloud,	ক্লাও,	ক্লাউড,	
debaag,	দেবাগ,	ডিবাগ,	
sointoder,	সৈন্তদের,	সৈন্যদের,	
euro,	ইউরো,	ইউরো,	
peeth,	পিথ,	পীঠ,	
matrirup,	মাত্রীপ,	মাতৃরূপ,	
ghosito,	ঘোষিত,	ঘোষিত,	
karmakarke,	কর্মকারকে,	কর্মকারকে,	
danckan,	ডানকান,	ডানকান,	
parkasha,	পার্কস,	পার্কস,	
cetholic,	চেথলিক,	ক্যাথলিক,	
astikota,	অস্তিকতা,	আস্তিকতা,	
masters,	মাস্টারস,	মাস্টার্স,	
vittiteow,	ভিত্তিতেও,	ভিত্তিতেও,	
ralf,	রফ,	রালফ,	
taholo,	তহল,	তাহলো,	
arjara,	অর্জারা,	আর্যরা,	
sikkhaou,	শিক্ষাও,	শিক্ষাও,	
grauth,	গ্রথ,	গ্রোথ,	
folo,	ফলও,	পোলো,	
laaishenshh,	লাইসেন্স,	লাইসেন্স,	
somosto,	সমস্ত,	সমস্ত,	
pravritir,	প্রভৃতির,	প্রভৃতির,	
sukkho,	সুক্ষ,	সুক্ষ্ম,	
poricchonnota,	পরিচ্ছন্নতা,	পরিচ্ছন্নতা,	
meetropolitan,	মেট্রোপলিটান,	মেট্রোপলিটন,	
oitijhyer,	ঐতিহ্যের,	ঐতিহ্যের,	
toroonderke,	তরুনদেরকে,	তরুণদেরকে,	
dupleks,	ডাপ্লেক্স,	ডুপ্লে,	
koilaash,	কৈলাশ,	কৈলাস,	
dipon,	দিপন,	দীপন,	
niro,	নিরো,	নির,	
dharabhashyakar,	ধরাভাস্যকার,	ধারাভাষ্যকার,	
naitikatavodh,	নাতিকাযবধ,	নৈতিকতাবোধ,	
janapoth,	জনপথ,	জনপথ,	
abheedhanick,	অভিধানিক,	অভিধানিক,	
daroda,	দারদা,	দারদা,	
muhammada,	মুহাম্মদ,	মুহাম্মদ,	
harza,	হার্জ,	হার্জ,	
laesens,	লেসেনস,	লাইসেন্স,	
oppohoron,	অপহরণ,	অপহরন,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
america,	অ্যামেরিকা,	আমেরিকা,	
antorvuktimulok,	অন্তর্ভূমূলক,	অন্তর্ভুক্তিমূলক,	
batikromshali,	ব্যাতিক্রমশীলী,	ব্যতিক্রমধর্মী,	
chorban,	চর্বান,	চর্বন,	
aipiela,	এপিল,	আইপিএল,	
pala,	পাল,	পোলো,	
longghon,	লঙ্ঘন,	লংঘন,	
somabeshke,	সমাবেশকে,	সমাবেশকে,	
ishan,	আইন,	ঈশান,	
chhani,	চানি,	ছানি,	
gorrer,	গোরের,	গোরের,	
aashirbad,	আশীর্বাদ,	আশির্বাদ,	
chaakaa,	চাকা,	চাকা,	
shommoteer,	সম্মতির,	সম্মতির,	
roja,	রোজা,	রোযা,	
nyaper,	ম্যাপের,	ন্যাপের,	
nodnadir,	নদ্নদীর,	নদনদীর,	
nodiigulo,	নদীগুলো,	নদীগুলো,	
hypar,	হাইপার,	হাইপার,	
dharavahik,	ধারাবাহিক,	ধারাবাহিক,	
grambaasheeo,	গ্রামবাসী,	গ্রামবাসীও,	
bhaider,	ভাদের,	ভাইদের,	
romantiqa,	রোমান্টিক,	রোমান্টিক,	
hoilo,	হইলো,	হইল,	
zojjyota,	যজ্যতা,	যোজ্যতা,	
songosthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
dwipgulote,	দ্বিপগুলোতে,	দ্বীপগুলোতে,	
keui,	কিউই,	কেউই,	
saazanor,	সাজানোর,	সাজানোর,	
jaanate,	জানাতে,	জানাতে,	
hiragana,	হিরগান,	হিরাগানা,	
gate,	গেট,	গ্যেটে,	
servere,	সারভারে,	সার্ভারে,	
korecho,	করেছো,	করেছ,	
abosorer,	আবসরের,	অবসরের,	
chowdhuryke,	চৌধুরিকে,	চৌধুরীকে,	
deejijer,	ডিজিজের,	ডিজিজের,	
phala,	ফাল,	পোলো,	
phareqsa,	ফরেক্স,	ফরেক্স,	
samanya,	সামান্য,	সামান্য,	
gonona,	গণনা,	গণনা,	
cholochchitraeer,	চলচিত্রের,	চলচ্চিত্রের,	
korush,	কোরাস,	ক্রুশ,	
kushoomba,	কুশমম্ব,	কুশুম্বা,	
kanayi,	কানাই,	কানাই,	
oitijhyo,	ঐতিহ্য,	ঐতিহ্য,	
taoonship,	তানশ্বীপ,	টাউনশিপ,	
maailey,	মাইলে,	মাইলে,	
chhai,	চাই,	ছাই,	
cocaine,	কোকেন,	কোকেইন,	
eutey,	ইউটে,	ইইউতে,	
naditir,	নদীতীর,	নদীটির,	
kaansaat,	কাঁসাট,	কানসাট,	
shreeshree,	শ্রীশরি,	শ্রীশ্রী,	
hoolding,	হোল্ডিং,	হোল্ডিং,	
chhootir,	ছুটির,	ছুটির,	
koordider,	কুর্দিদের,	কুর্দিদের,	
aoki,	অকি,	এওকি,	
arakdal,	আরকদল,	আরেকদল,	
unitgulo,	ইউনিজগুলো,	ইউনিটগুলো,	
kokein,	কোকেইন,	কোকেইন,	
parikshateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
machher,	মাছের,	মাছের,	
fansi,	ফাঁসি,	ফাঁসী,	
chetonagato,	চেতনাগত,	চেতনাগত,	
antorbhuktimulak,	অন্তর্ভূমূলক,	অন্তর্ভুক্তিমূলক,	
eshiyatika,	এসিয়েটিক,	এশিয়াটিক,	
chalochchitrotike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
sangbadmadhyamer,	সংবাদমধধামের,	সংবাদমাধ্যমের,	
pulse,	পালসে,	পালস,	
kindom,	কিন্দম,	কিংডম,	
modelke,	মোদেলকে,	মডেলকে,	
udbhabony,	উদ্ভাবনী,	উদ্ভাবনী,	
joonsa,	জোনসা,	জোন্স,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
grambashi,	গ্রামবাসী,	গ্রামবাসী,	
attobishwasi,	আত্মবিশাবী,	আত্মবিশ্বাসী,	
torangunj,	তরঙ্গঞ্জ,	তোরাবগঞ্জ,	
uinndos,	উইন্ডোস,	উইন্ডোস,	
nopdnodir,	নদ্নদির,	নদনদীর,	
ulcer,	উল্সের,	আলসার,	
deebating,	দেবতিং,	ডিবেটিং,	
swajan,	স্বজন,	স্বজন,	
brookolin,	ব্রোকোলিন,	ব্রুকলিন,	
zzonite,	যোনিতে,	যোনীতে,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
roza,	রোজা,	রোযা,	
bongraam,	বংগ্রাম,	বনগ্রাম,	
israiler,	ইসরাইলের,	ইসরাঈলের,	
brindabane,	ব্রিন্দবানে,	বৃন্দাবনে,	
asaborno,	অসবর্ন,	অসবর্ণ,	
sikkhokke,	শিক্ষককে,	শিক্ষককে,	
utsahamulok,	উৎসমাহূমক,	উৎসাহমূলক,	
ekghorey,	একঘরে,	একঘরে,	
sahocorjo,	সহচর্য,	সাহচর্য,	
jeesh,	জিস,	জেস,	
gonona,	গণনা,	গননা,	
dolguloo,	দলগুলো,	দলগুলোও,	
songrahok,	সংগ্রাহক,	সংগ্রাহক,	
kaloniir,	কালোনীর,	কালনীর,	
chaloke,	চালকে,	চালকে,	
shikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
bhaisaho,	ভৈসহ,	ভাইসহ,	
asociatees,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
ongkita,	অংকিত,	অঙ্কিতা,	
chal,	চল,	চাল,	
anektayi,	অনেকটই,	অনেকটাই,	
brittakare,	বৃত্তাকারে,	বৃত্তাকারে,	
ganachin,	গননাচীন,	গণচীন,	
grooth,	গ্রুথ,	গ্রোথ,	
udbhabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
boonot,	বুনত,	বুনট,	
jacker,	জকের,	জ্যাকের,	
chaanoo,	চানু,	চানু,	
angshogragon,	অংশগ্রগণ,	অংশগ্রহন,	
jerushalema,	জেরুসলমম,	জেরুসালেম,	
horippur,	হরিপুর,	হরিপুর,	
toler,	তলের,	তালের,	
ancholsomuho,	আঞ্চলসমূহ,	অঞ্চলসমূহ,	
dibug,	দিবুগ,	ডিবাগ,	
planeti,	প্লেনটি,	প্লেনটি,	
amar,	আমার,	আমর,	
pragresha,	প্রগ্রেস,	প্রগ্রেস,	
soomo,	সোমো,	সুমো,	
elaakao,	এলাকাও,	এলাকাও,	
source,	সার্স,	সোর্স,	
obhishangsan,	অভিষাংশন,	অভিশংসন,	
pattarn,	প্যাটার্ন,	প্যাটার্ন,	
habshi,	হবশী,	হাবশী,	
vishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
pro,	প্র,	প্রো,	
anisha,	আনিশা,	আনিস,	
labanaktatar,	লবনাক্ততার,	লবণাক্ততার,	
gage,	গেগ,	গেজ,	
dhan,	ধন,	ধ্যান,	
lidara,	লিডার,	লিডার,	
kooyartara,	কোয়ার্টার,	কোয়ার্টার,	
masajida,	মাসাজিদা,	মসজিদ,	
ghumata,	ঘুমতা,	ঘুমাতো,	
banijyikvittey,	বানিজিযিক্তে,	বাণিজ্যিকভিত্তিতে,	
gojano,	গজন,	গজানো,	
bohoodeen,	বহুদিন,	বহুদিন,	
parijaner,	পরিজনের,	পরিজনের,	
shhip,	শিপ,	শিপ,	
monu,	মনু,	মনু,	
bhagirath,	ভগীরথ,	ভগীরথ,	
machsoho,	মাচসহ,	মাছসহ,	
residance,	রেসিডেন্স,	রেসিডেন্স,	
granthoti,	গ্রন্থটি,	গ্রন্থটি,	
ghumachchilo,	ঘুমাছ্য,	ঘুমাচ্ছিল,	
ganjana,	গানজননা,	গঞ্জনা,	
prodiip,	প্রদিপ,	প্রদীপ,	
dosider,	দশীদের,	দোষীদের,	
adhattik,	আধ্যাত্তিক,	আধ্যাত্মিক,	
sikkhokder,	শিক্ষকদের,	শিক্ষকদের,	
debdeby,	দেবদেবী,	দেবদেবী,	
sahopatheeke,	সহপাঠীকে,	সহপাঠীকে,	
andamana,	আন্দমানা,	আন্দামান,	
udvabon,	উদ্ভাবন,	উদ্ভাবন,	
letter,	লেটার,	লেটার,	
patisapta,	পতিসপ্ত,	পাটিসাপটা,	
bonnypran,	বনিপ্রাণ,	বন্যপ্রাণ,	
nagorikderkey,	নাগরীকদেরকে,	নাগরিকদেরকে,	
thawre,	থারে,	থরে,	
horash,	হরাস,	হোরাস,	
samabeshke,	সমবেশকে,	সমাবেশকে,	
cs,	সিএস,	সিএস,	
protizogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
machsaho,	মাচসাহ,	মাছসহ,	
charchita,	চার্িিত,	চর্চিত,	
deeputi,	দিপুতি,	ডেপুটি,	
baaraak,	বারাক,	বারাক,	
kareer,	কেরীর,	কারীর,	
agam,	আগাম,	আগম,	
alpo,	আল্প,	অল্প,	
naubom,	নবম,	নবম,	
kade,	কেড,	কোড,	
lagchhe,	লাগছে,	লাগছে,	
laagche,	লাগছে,	লাগছে,	
floodliter,	ফ্লাডলিটের,	ফ্লাডলাইটের,	
sakaar,	সাকার,	সকার,	
tarbiner,	টারবিনের,	টারবাইনের,	
logicer,	লুগিকের,	লজিকের,	
khagen,	খাগেন,	খগেন,	
bhagini,	ভাগিনী,	ভগিনী,	
shringa,	শ্রীঙ্গ,	শৃঙ্গ,	
valapuk,	ভালাপুক,	ভোলাপুক,	
futbolarder,	ফুটবলারদের,	ফুটবলারদের,	
vobotarini,	ভবতারিণী,	ভবতারিণী,	
bhaabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
deefinition,	ডিফিনিশন,	ডেফিনেশন,	
daily,	দৈলি,	ডেইলি,	
vagini,	ভাগিনী,	ভগিনী,	
soolke,	সুলকে,	শুল্কে,	
khoka,	খোকা,	খোকা,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
beetloser,	বিটলসের,	বিটলসের,	
oindrila,	ঐন্দ্রিল,	ঐন্দ্রিলা,	
donat,	দোনত,	ডোনাট,	
everage,	এভারেজ,	এভারেজ,	
prokolpogulo,	প্রকল্পলুলো,	প্রকল্পগুলো,	
gronthoti,	গ্রন্থটি,	গ্রন্থটি,	
bronze,	ব্রঞ্জ,	ব্রোঞ্জ,	
sardar,	সর্দার,	সরদার,	
golakrity,	গোলকৃতি,	গোলাকৃতি,	
uporitale,	উপরিতালে,	উপরিতলে,	
aswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
gatee,	গেট,	গ্যেটে,	
bagdhara,	বাঘধারা,	বাগধারা,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
phokser,	ফক্সের,	ফক্সের,	
nobom,	নবম,	নবম,	
gaddaphii,	গাদ্দাফি,	গাদ্দাফী,	
baataree,	বাটারি,	ব্যাটারী,	
mumtazer,	মুমতজাজের,	মুমতাজের,	
elaakasoho,	এলাকাসহ,	এলাকাসহ,	
chire,	চিরে,	চিরে,	
chutochuti,	চুটছুটি,	ছুটোছুটি,	
sammatir,	সম্মতির,	সম্মতির,	
messenger,	মেসেং,	মেসেঞ্জার,	
byataree,	ব্যাটারী,	ব্যাটারী,	
sangbadmadhyamgulote,	সংবাদমধধমূলতে,	সংবাদমাধ্যমগুলোতে,	
tinage,	টিনেজ,	টিনেজ,	
aarakani,	আরাকানী,	আরাকানী,	
breaqthrough,	ব্রেক্রাাঘ,	ব্রেকথ্রু,	
bhangley,	ভাঙলে,	ভাঙলে,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
sabchey,	সবচে,	সবচে,	
sahochorjey,	সহচর্যে,	সাহচর্যে,	
hocker,	হকের,	হুকার,	
hajarer,	হজরের,	হাজারের,	
ankeeta,	অংকীত,	অঙ্কিতা,	
starcer,	স্টার্কের,	স্টার্কের,	
akatwa,	একত্ব,	একাত্ব,	
bboponer,	বপনের,	বপনের,	
lagic,	লাগিক,	লজিক,	
aarmstrong,	আর্মস্টোর,	আর্মস্ট্রং,	
ba,	বা,	বু,	
madhoori,	মধুরি,	মাধুরী,	
neermolotaa,	নির্মলতা,	নির্মলতা,	
bagach,	বাগচ,	বটগাছ,	
bhyaatikaaner,	ভ্যিতিকানের,	ভ্যাটিকানের,	
joistha,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
deebatee,	দিবতি,	ডিবেট,	
rajotwo,	রাজত্ব,	রাজত্ব,	
aaireesh,	আইরিশ,	আইরিস,	
dhhaalur,	ঢালুর,	ঢালুর,	
artilari,	আর্টিলারি,	আর্টিলারি,	
bharadwaj,	ভারাদ্যাজ,	ভরদ্বাজ,	
sector,	সেক্টর,	সেক্টর,	
somonnitobhabe,	সমান্নিতভাবে,	সমন্বিতভাবে,	
dormitory,	ডরমেটরি,	ডরমিটরি,	
parqim,	পারকিম,	পার্কিং,	
metere,	মেটরে,	মিটারে,	
bibechya,	বিবেচ্য,	বিবেচ্য,	
nodigulir,	নদিগুলির,	নদীগুলির,	
sahocorje,	সহকর্যে,	সাহচর্যে,	
sohopatheekey,	সহপাঠীকে,	সহপাঠীকে,	
aarke,	আরকে,	আরকে,	
bachai,	বাঁচাই,	বাছাই,	
byapoktor,	ব্যাপকততর,	ব্যাপকতর,	
eskol,	এসল,	এসকল,	
ballrum,	বলরুম,	বলরুম,	
akram,	একরাম,	আকরাম,	
prabhur,	প্রভূর,	প্রভুর,	
nathibhooktir,	নথিভুক্তির,	নথিভুক্তির,	
shomostigoto,	সমস্তিগত,	সমষ্টিগত,	
woter,	ওটের,	ভোটার,	
porijon,	পরিজন,	পরিজন,	
satjan,	সতজন,	সাতজন,	
tanight,	টানিট,	টুনাইট,	
hisaber,	হিসাবের,	হিসাবের,	
