nagarikderkey,	নগরীকদ্রে,	নাগরিকদেরকে,	
nadnodir,	নদ্দদির,	নদনদীর,	
cho,	চো,	ছোঁ,	
pachok,	পাচক,	পাচক,	
zoubonkal,	যৌবনকাল,	যৌবনকাল,	
gore,	গরে,	গোর,	
korlei,	করলেই,	করলেই,	
sbajaner,	স্বজনের,	স্বজনের,	
purohitra,	পুরহহিত্র,	পুরোহিতরা,	
makhmaley,	মাখমালে,	মখমলে,	
daap,	দাপ,	ড্যাপ,	
homshke,	হমশকে,	হোমসকে,	
goteerodh,	গতিরোধ,	গতিরোধ,	
ponjikar,	পঞ্জিকার,	পঞ্জিকার,	
samudrotatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
shoodhooi,	সুধুই,	শুধুই,	
ghoorte,	ঘুর্তে,	ঘুরতে,	
prastutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
khanankaj,	খননকাজ,	খননকাজ,	
aoki,	আকি,	এওকি,	
prety,	প্রেতি,	প্রিটি,	
chaiti,	চাইতি,	চৈতি,	
codeti,	কোডটি,	কোডটি,	
ajeej,	আজিজ,	আজিজ,	
townshhip,	তানশিপ,	টাউনশিপ,	
rajpurohit,	রাজপুরিহুত,	রাজপুরোহিত,	
alaul,	আলাল,	আলাওল,	
porobortii,	পরবর্তী,	পরর্বতী,	
gandhir,	গান্ধীর,	গান্ধীর,	
komtee,	কমটি,	কমতি,	
taap,	টাপ,	ট্যাপ,	
saazano,	সাজান,	সাজানো,	
shannal,	সান্নাল,	সান্যাল,	
rooshod,	রুশদ,	রুশদ,	
pratisthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
charukala,	চারুকালা,	চারুকলা,	
thyachar,	থ্যাচার,	থ্যাচার,	
kaloniir,	কালনীর,	কালনীর,	
grambashee,	গ্রাম্বসী,	গ্রামবাসী,	
azizer,	আজিজের,	আজিজের,	
monmoth,	মন্মথ,	মন্মথ,	
napper,	নাপের,	ন্যাপের,	
majlishpur,	মাজলিস্পুর,	মজলিশপুর,	
musalmanderke,	মুসলামদন্ডেে,	মুসলমানদেরকে,	
udbhaban,	উদ্ভাবন,	উদ্ভাবন,	
sangbadmadhyome,	সংবাদধম্ধমে,	সংবাদমাধ্যমে,	
asietic,	অ্যাসিটিক,	এশিয়াটিক,	
potochitrer,	পতচচিত্রের,	পটচিত্রের,	
kaalengaa,	কালেঙ্গ,	কালেঙ্গা,	
juktarashtreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
lumbinee,	লুম্বিনী,	লুম্বিনী,	
loha,	লোহা,	লোহা,	
karore,	কারও,	কারোর,	
bhaskar,	ভাষ্কার,	ভাস্কর,	
proshadhoni,	প্রশাধনী,	প্রসাধনী,	
pashan,	পাশান,	পাষাণ,	
byomkes,	ব্যামকেস,	ব্যোমকেশ,	
tader,	তাদের,	তদের,	
