alauler,	আলালের,	আলাওলের,	
roktokkhon,	রক্তক্ষণ,	রক্তক্ষরণের,	
jati,	যাটি,	যাতি,	
chhootochhooti,	ছোতুছটি,	ছুটোছুটি,	
bibhinno,	বিভিন্ন,	বিভন্ন,	
pooshteer,	পুষ্টির,	পুষ্টির,	
lobbyte,	লবিতে,	লবিতে,	
conphlict,	কনফালিক্ট,	কনফ্লিক্ট,	
sheo,	শিও,	সেও,	
dokangulote,	দকানগুলোতে,	দোকানগুলোতে,	
codeti,	কোেটি,	কোডটি,	
pleta,	প্লেট,	প্লেটো,	
crime,	ক্রিম,	ক্রাইম,	
recondition,	রেকনডডিনিশ,	রিকন্ডিশন,	
dharavassokar,	ধারাবস্কর,	ধারাভাষ্যকার,	
chalaabi,	চালাবি,	চালাবে,	
cuti,	কুটি,	কিউটি,	
aiees,	আইএস,	আইএএস,	
duburira,	দুবুরীরা,	ডুবুরিরা,	
bhyaatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
abosan,	অবসন,	অবসান,	
protul,	প্রতুল,	প্রতুল,	
sift,	সিফট,	শিফট,	
nariderke,	নারিদেরকে,	নারীদেরকে,	
maudeler,	মোদেলের,	মডেলের,	
stonaheenja,	স্তনাহেহ্জ,	স্টোনহেঞ্জ,	
lakkheryo,	লক্ষেরও,	লক্ষেরও,	
jakkho,	যক্ষ,	যক্ষ,	
horippur,	হরিপপুর,	হরিপুর,	
horidware,	হরিদ্বরে,	হরিদ্বারে,	
kanaphlikta,	কানাফ্ল্ট,	কনফ্লিক্ট,	
jonosanjog,	জনসাযোগ,	জনসংযোগ,	
seektara,	সেক্টার,	সেক্টর,	
sthaponakay,	স্থাপনাকে,	স্থাপনাকে,	
manohputa,	মনোসূগত,	মনঃপুত,	
gosthyi,	গোষ্থী,	গোষ্ঠীই,	
lotharan,	লোথারন,	লুথেরান,	
saatzon,	সাত্জন,	সাতজন,	
uposhthitir,	উপস্থিতির,	উপস্থিতির,	
utsaho,	উৎসহ,	উৎসাহ,	
karmakandeo,	কর্মকাণ্ডে,	কর্মকাণ্ডেও,	
ghantiti,	ঘন্টিতি,	ঘাঁটিটি,	
kompito,	কম্পিত,	কম্পিত,	
gaje,	গজে,	গেজ,	
abasan,	অবসন,	অবসান,	
reejur,	রিজুর,	রিজুর,	
khilafat,	খিলাফাত,	খিলাফত,	
ghoorchen,	ঘুর্ছেন,	ঘুরেছেন,	
janmaat,	জন্মত,	জন্মাত,	
skalastic,	স্কালাস্টিক,	স্কলাস্টিক,	
koontee,	কুনটি,	কুন্তী,	
augustine,	অগুস্টিনে,	অগাস্টিন,	
eideen,	এডিন,	এইদিন,	
anyarup,	অন্যরূপ,	অন্যরূপ,	
prostototo,	প্রস্ততত,	প্রস্ত্তত,	
udbodhoney,	উদ্বধনে,	উদ্বোধনে,	
bem,	বেম,	বিম,	
utsaahe,	উৎসাহে,	উৎসাহে,	
gosthii,	গোষ্থী,	গোষ্ঠীই,	
metropalitana,	ম্যার্টোপেলনন,	মেট্রোপলিটন,	
kaash,	কাশ,	কাস,	
pathkram,	পাঠকরাম,	পাঠক্রম,	
malaika,	মালাইক,	মালাইকা,	
gostigoolo,	গোস্তিগুলো,	গোষ্ঠীগুলো,	
murali,	মুরালি,	মুরলী,	
naditi,	নদীতি,	নদীটি,	
calabe,	কলাবে,	চালাবে,	
dharavashyokar,	ধারাবশ্যকর,	ধারাভাষ্যকার,	
paksenara,	পক্সেনার,	পাকসেনারা,	
mozart,	মোজার্ট,	মোজার্ট,	
lutheeran,	লুথরেন,	লুথেরান,	
kattar,	কাটার,	কট্টর,	
tarunra,	তারুরা,	তরুণরা,	
lajiker,	লাজিকের,	লজিকের,	
kalam,	কালাম,	কালাম,	
lambaate,	লম্বাতে,	লম্বাটে,	
madhobikey,	মাধবিকে,	মাধবীকে,	
donaat,	দনাত,	ডোনাট,	
mitrer,	মিত্রের,	মিত্রের,	
abdoone,	আব্দনে,	আবদুন,	
vashik,	ভাষিক,	ভাষিক,	
dinnar,	ডিন্নার,	ডিনার,	
economeeks,	একোনমিক্স,	ইকোনমিকস,	
behramporer,	বিহার্পরের,	বহরমপুরের,	
ekirokom,	একেরকম,	একইরকম,	
akpashe,	আকপাশে,	একপাশে,	
moogdal,	মুগ্ডল,	মুগডাল,	
parjataker,	পর্যাতকের,	পর্যটকের,	
ddhake,	ঢাকে,	ঢেকে,	
jamkalo,	জামকাল,	জমকালো,	
potochitro,	পতচিত্র,	পটচিত্র,	
shiropadhari,	শীরোপাধারী,	শিরোপাধারী,	
asovarno,	অসবার্ণ,	অসবর্ণ,	
jyaqa,	জ্যাক,	জ্যাক,	
qaferderkey,	কারেডারকে,	কাফেরদেরকে,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
chhatogalpe,	ছোটাগল্পে,	ছোটগল্পে,	
pituni,	পিটুনি,	পিটুনি,	
abikol,	অবিকল,	অবিকল,	
konake,	কোনাকে,	কণাকে,	
neerbahe,	নির্বাহে,	নির্বাহে,	
safiin,	সাফিন,	সাফিন,	
shobnom,	সবন্ম,	শবনম,	
plus,	প্লাস,	প্লাস,	
jya,	জ্য,	জ্যা,	
bishnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
tale,	টেল,	তালে,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
manushey,	মানুসে,	মানুষে,	
teresa,	টেরেস,	টেরেসা,	
phareksha,	ফারেক্স,	ফরেক্স,	
samaveshke,	সমাভেষকে,	সমাবেশকে,	
jesthaa,	যেষ্থা,	জ্যেষ্ঠা,	
laisens,	লাইসেন্স,	লাইসেন্স,	
pooroheetder,	পুরহিত্দের,	পুরোহিতদের,	
bagda,	বাগ্ডা,	বাগদা,	
seeramiks,	সিরামিক,	সিরামিকস,	
qulim,	কুলিম,	কুলিং,	
thake,	থাকে,	থাকে,	
ekatto,	একাত্য,	একাত্ব,	
doneta,	দোনেতা,	ডোনাট,	
thanvee,	ঠানভী,	থানভী,	
prodiip,	প্রদীপ,	প্রদীপ,	
fartha,	ফার্থ,	ফার্থ,	
zuktorastroshoho,	যুক্ত্রস্তরসহ,	যুক্তরাষ্ট্রসহ,	
laj,	লাজ,	লাজ,	
bigepi,	বিগেপি,	বিজেপি,	
marpit,	মারপিট,	মারপিট,	
kansat,	কানসট,	কানসাট,	
kyapashula,	ক্যাসপুলা,	ক্যাপসুল,	
nirdesika,	নির্দেশিকা,	নির্দেশিকা,	
gitikobita,	গিতিকিবিত,	গীতিকবিতা,	
shhashtra,	শ্বা্ত্র,	শাস্ত্র,	
minishtarer,	মিনিস্টারের,	মিনিস্টারের,	
chhootee,	ছুটি,	ছুটি,	
sikhbe,	শিখ্বে,	শিখবে,	
parry,	প্যারি,	পেরি,	
loukikata,	লুকিকতা,	লৌকিকতা,	
chalachchitro,	চলাচিত্র,	চলচ্চিত্র,	
samley,	সামলে,	সামলে,	
shhipa,	শিপ,	শিপ,	
sontoshpur,	সন্ত্ষপুর,	সন্তোষপুর,	
kemonay,	কেমোনে,	কেমনে,	
vangchur,	ভাঙচুর,	ভাংচুর,	
cool,	কোল,	কুল,	
jomjomat,	যোমমযাত,	জমজমাট,	
kamij,	কামিজ,	কামিজ,	
pujito,	পুজিত,	পুজিত,	
vittiow,	ভিটিও,	ভিত্তিও,	
foltir,	ফলটির,	ফলটির,	
bhabatarini,	ভাবাটরিনী,	ভবতারিণী,	
bamona,	বামানা,	বামনা,	
shloker,	স্লোকের,	শ্লোকের,	
gorib,	গরিব,	গরিব,	
nadimatrik,	নাদীমাত্রিক,	নদীমাতৃক,	
chutite,	চুটিতে,	ছুটিতে,	
bagmara,	বাগমারা,	বাগমারা,	
shov,	সব,	শো,	
hunayn,	হুনান,	হুনাইন,	
susamo,	সুসম,	সুসম,	
tirmizi,	তির্মীজী,	তিরমিজি,	
nirmankaj,	নির্মনকাল,	নির্মাণকাজ,	
qoda,	কোড,	কোডা,	
upostheetir,	উপস্থিতির,	উপস্থিতির,	
daaloo,	ডালু,	ডালু,	
sainyo,	সানিয়,	সৈন্য,	
doonut,	দুনুত,	ডোনাট,	
naitikbhabey,	নাইতিকভাবে,	নৈতিকভাবে,	
yukeliptas,	ইকুলিকেপ্ট,	ইউক্যালিপ্টাস,	
masjidsaha,	মাদিদসহ,	মসজিদসহ,	
naditei,	নাদীতেই,	নদীতেই,	
nodiiti,	নদীতি,	নদীটি,	
grambaasheeo,	গ্রাম্বাশী,	গ্রামবাসীও,	
anchalo,	অঞ্চল,	অঞ্চলও,	
dipgulo,	দিপগুলো,	দ্বীপগুলো,	
shrabosti,	শ্রবস্তী,	শ্রাবস্তী,	
jaunatar,	যৌনার,	যৌনতার,	
mirakeela,	মেরাকেল,	মিরাকেল,	
amstrong,	অম্স্ট্রং,	আর্মস্ট্রং,	
prabhritir,	প্রবরিতির,	প্রভৃতির,	
chamoski,	চমস্কী,	চমস্কি,	
dakticketer,	ডাক্টিকেটের,	ডাকটিকিটের,	
loombinee,	লুমিিন,	লুম্বিনী,	
thakey,	থাকে,	থাকে,	
pathanirdeshana,	পথন্দরিদেশনা,	পথনির্দেশনা,	
debodebir,	দেবদেবীর,	দেবদেবীর,	
difinisian,	ডিফিনিশন,	ডেফিনেশন,	
chhaanee,	ছানে,	ছানি,	
ancholti,	অঞ্চলি,	অঞ্চলটি,	
qaroo,	কারু,	কারো,	
township,	টাউংসিপ,	টাউনশিপ,	
uparzoner,	উপর্জনের,	উপার্জনের,	
pab,	পাব,	পাব,	
samosher,	সমসের,	সমশের,	
ganokantha,	গণকান্থ,	গণকণ্ঠ,	
gauge,	গৌগে,	গেজ,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
teenisa,	টেনিস,	টেনিস,	
gonona,	গণনা,	গননা,	
shapad,	সাপাদ,	শ্বাপদ,	
jatota,	যতত,	যতোটা,	
jeesh,	জিস,	জেস,	
nuhas,	নুহাস,	নুহাশ,	
bhangchur,	ভাঙচুর,	ভাংচুর,	
economics,	একোনমিক্স,	ইকোনমিকস,	
beshirbhaagei,	বেশিরভাগেই,	বেশিরভাগেই,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
daakteekite,	দাক্তিকিতে,	ডাকটিকিটে,	
ekmot,	একমট,	একমত,	
chalochchitraeeo,	চলচিত্রেয়া,	চলচ্চিত্রেও,	
superheror,	সুপেরহরর,	সুপারহিরোর,	
daawn,	ডাউন,	ডাউন,	
kanthar,	কাঁঠার,	কাঁথার,	
janosangjog,	জনসংযোগ,	জনসংযোগ,	
aameenaar,	আমিনার,	আমিনার,	
dharavahikbhabey,	ধারাহাবিকভাবে,	ধারাবাহিকভাবে,	
rubyo,	রুব্য,	রুবিও,	
parqim,	পার্কিং,	পার্কিং,	
bedanta,	বেদন্ত,	বেদান্ত,	
ancholtike,	অঞ্চলিতকে,	অঞ্চলটিকে,	
atwabishvashi,	অত্তবিব্শাসী,	আত্মবিশ্বাসী,	
shrabasti,	শ্রবস্তী,	শ্রাবস্তী,	
jomjamat,	জোমামাত,	জমজমাট,	
parinoti,	পরিনটি,	পরিণতি,	
torun,	তরুন,	তরুন,	
neshnosh,	নেশনস,	নেশনস,	
cholocchitro,	চলচিত্র,	চলচ্চিত্র,	
gajiipur,	গজীরুর,	গাজীপুর,	
hitokar,	হিতাকার,	হিতকর,	
ralapha,	রোলফ,	রালফ,	
charjara,	চার্যার,	চার্জার,	
karadanda,	কারাদন্ড,	কারাদণ্ড,	
tottoraat,	তত্তরাত,	তওরাত,	
ishter,	ইস্টার,	ইস্টের,	
bipojjanak,	বিপজজনাক,	বিপজ্জনক,	
lohar,	লোহার,	লোহার,	
kathmaandu,	কানান্দু,	কাঠমান্ডু,	
oncolei,	অঁকলেই,	অঞ্চলেই,	
safin,	সাফিন,	সাফিন,	
neurology,	নিওরললি,	নিউরোলজি,	
basuki,	বাসুকি,	বাসুকি,	
nikate,	নিকাতে,	নিকটে,	
dakkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
homes,	হোমেস,	হোমস,	
pratistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
snipar,	সিঙপার,	স্নাইপার,	
turkameena,	তুরককমিনা,	তুর্কমেন,	
soranor,	সরানোর,	সরানোর,	
dibeta,	দিবেতা,	ডিবেট,	
chomoski,	চমস্কী,	চমস্কি,	
growth,	গ্রাথ,	গ্রোথ,	
ishpredshhit,	ভিপ্র্শেমিট,	স্প্রেডশীট,	
esasiyetasa,	এসেসিয়েস,	এসোসিয়েটস,	
tunar,	টুনার,	টিউনার,	
brooklyn,	ব্রুকলিন,	ব্রুকলিন,	
pharanyata,	ফরান্যটা,	ফরম্যাট,	
bondi,	বন্দি,	বন্দী,	
qraima,	ক্রেম,	ক্রাইম,	
jotinkey,	জতিনকে,	যতীনকে,	
fridom,	ফ্রিডম,	ফ্রীডম,	
manbe,	মানবে,	মানবে,	
hugheske,	ঘুহেসকে,	হিউজকে,	
samoshtigato,	সমস্তিগত,	সমষ্টিগত,	
gavaskar,	গোবাস্কার,	গাভাস্কার,	
odhit,	অধিত,	অধীত,	
emarjenshi,	এমার্জেন্সি,	এমার্জেন্সি,	
tafasir,	টাফাসির,	তাফসীর,	
wenus,	ভেনাস,	ভেনাস,	
dhos,	ধোস,	ধস,	
rajtontro,	রাজতন্ত্র,	রাজতন্ত্র,	
shoreef,	শরীফ,	শরিফ,	
bondhuderkey,	বন্ধুদেরকে,	বন্ধুদেরকে,	
prokalpao,	প্রকালপাও,	প্রকল্পও,	
dimbacriti,	ডিম্বারিটি,	ডিম্বাকৃতি,	
teemur,	টিমুর,	তিমুর,	
ispreedshit,	ইস্প্রেশিত,	স্প্রেডশীট,	
joki,	যোকি,	জকি,	
namo,	নামো,	নমো,	
sommotite,	সম্মটিতে,	সম্মতিতে,	
bauger,	বাগের,	বাগের,	
shikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
akmot,	একমত,	একমত,	
faksa,	ফক্স,	ফক্স,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
gandhir,	গণ্ধীর,	গান্ধীর,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
jillul,	জিল্লুল,	জিল্লুল,	
langhon,	লঙ্ঘন,	লংঘন,	
blaker,	ব্লেকার,	ব্ল্যাকের,	
bajite,	বাজিতে,	বাজিতে,	
paikgachha,	পাইকগচা,	পাইকগাছা,	
songosthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
kushoomba,	কুষম্বা,	কুশুম্বা,	
bhenus,	ভেনাস,	ভেনাস,	
vaisaho,	ভাইসহ,	ভাইসহ,	
durgoto,	দুর্গত,	দূর্গত,	
shahabah,	শাহাবাহ,	সাহাবাহ,	
snepara,	সেপ্নার,	স্নাইপার,	
songhitar,	সংঘিতার,	সংহিতার,	
naazi,	নাজি,	নাত্সি,	
bhromonkale,	ভ্রমণকালে,	ভ্রমণকালে,	
yeaster,	ইয়াস্টার,	ইস্টের,	
torooner,	তরুনের,	তরুণের,	
siite,	সিইটে,	শীতে,	
kanader,	কানাদের,	কণাদের,	
phood,	ফুড,	ফুড,	
enamela,	এনমেল,	এনামেল,	
taronee,	তারণী,	তরণী,	
fax,	ফ্যাক্স,	ফক্স,	
gayichhey,	গেইছে,	গাইছে,	
annarup,	অন্যরূপ,	অন্যরূপ,	
tochnochh,	তক্ছো,	তছনছ,	
natnikey,	নাটনিকে,	নাতনীকে,	
randeep,	রণ্ডীপ,	রণদীপ,	
velcome,	ভেলকমে,	ওয়েলকাম,	
patenter,	পটেন্টের,	পেটেন্টের,	
jakkher,	যক্ষের,	যক্ষের,	
ishan,	ইসন,	ঈশান,	
asoociates,	অসযাসোয়েসেট,	এসোসিয়েটস,	
ba,	বা,	বু,	
shrimati,	শ্রীমতি,	শ্রীমতি,	
ajijoor,	আজিজুর,	আজিজুর,	
uindos,	উইন্ডোস,	উইন্ডোস,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
narsaari,	নারসারী,	নার্সারি,	
skalastika,	স্কালস্টিক,	স্কলাস্টিক,	
antarbhutto,	অন্তর্ভূত্ত,	অন্তর্ভুক্ত,	
inashtyanta,	ইনস্ত্যন্ত,	ইনস্ট্যান্ট,	
choudhooreeo,	চৌধুরিও,	চৌধুরীও,	
bhenom,	ভেনম,	ভেনম,	
nadnodir,	নানদদীর,	নদনদীর,	
parishram,	পরিশ্রম,	পরিশ্রম,	
nabhela,	নাভেল,	নভেল,	
thailandsoho,	তাইলনদসহ,	থাইল্যান্ডসহ,	
jeellool,	জিল্লুল,	জিল্লুল,	
shoti,	সটি,	শোটি,	
tottobar,	তত্ত্বাবার,	তওবার,	
prai,	প্রাই,	প্রায়,	
lyaata,	ল্যাট,	ল্যাটা,	
modelder,	মোদলেদের,	মডেলদের,	
uporitaler,	উপরিতালের,	উপরিতলের,	
kaas,	কাশ,	কাস,	
definision,	ডেফিনিশন,	ডেফিনেশন,	
bidghootey,	বিদ্ঘততে,	বিদঘুটে,	
suporichita,	সুপরিচিত,	সুপরিচিত,	
angshogragon,	অংশগ্রগণ,	অংশগ্রহন,	
monjhostho,	মঞ্জস্থ,	মঞ্চস্থ,	
firozaa,	ফিরোজা,	ফিরোজা,	
chotogolper,	চটগোলপের,	ছোটগল্পের,	
pyetarna,	প্যাটার্ন,	প্যাটার্ন,	
moshzid,	মোসলিদ,	মসজিদ,	
ingrezeeteo,	ইংরেজিতেও,	ইংরেজিতেও,	
elaakaai,	এলাকাই,	এলাকাই,	
otyacharer,	অত্যাচারের,	অত্যাচারের,	
arjara,	অর্জার,	আর্যরা,	
artillary,	আর্টিলোর,	আর্টিলারি,	
saatzoner,	সাতজেন,	সাতজনের,	
turki,	তুর্কি,	তুর্কি,	
debdebir,	দেবেদীবীর,	দেবদেবীর,	
holdeeng,	হলিং,	হোল্ডিং,	
nothibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
durgotsav,	দুর্তৎসভ,	দুর্গোৎসব,	
bhuushito,	ভূষিষ,	ভূষিত,	
aalkaatra,	আলকতার্,	আলকাতরা,	
potka,	পটকা,	পটকা,	
joisttho,	যৈষ্ঠ,	জ্যৈষ্ঠ,	
nomo,	নম,	নমো,	
kaloniir,	কালনীর,	কালনীর,	
mitroyo,	মিত্রওও,	মিত্রও,	
xpresion,	ল্ক্প্রেশন,	এক্সপ্রেশন,	
emergenci,	এমার্েন্সি,	এমার্জেন্সি,	
sina,	সিন,	সিনা,	
aairis,	আইরিশ,	আইরিস,	
laishensh,	লেসেন্স,	লাইসেন্স,	
osommotite,	অসম্তিতে,	অসম্মতি,	
mojdoor,	মজদুর,	মজদুর,	
sthapanagulo,	স্থানাপগুলো,	স্থাপনাগুলো,	
shaatjon,	সাত্জন,	সাতজন,	
probeshan,	প্রবেশন,	প্রবেশন,	
lombate,	লম্বটে,	লম্বাটে,	
mirakela,	মেরাকেল,	মিরাকেল,	
stoone,	স্টুন,	স্টোন,	
turkamena,	তুর্কমেন,	তুর্কমেন,	
thraugh,	থ্রুঘ,	থ্রু,	
yucalyptush,	অ্যাকলিপ্টাস,	ইউক্যালিপ্টাস,	
tateo,	টাইও,	তাতেও,	
mitre,	মিট্রে,	মিত্র,	
beildaar,	বেল্ডার,	বিল্ডার,	
moomtaj,	মুম্তাজ,	মুমতাজ,	
jounotar,	যৌনতার,	যৌনতার,	
adhattikota,	আধাত্তিকতা,	আধ্যাত্মিকতা,	
baugey,	বাগে,	বাগে,	
tiunara,	টিউনার,	টিউনার,	
shekender,	সেকেন্ডের,	সেকেন্ডের,	
oncoleo,	অ্যাকোো,	অঞ্চলেও,	
donat,	দোনাত,	ডোনাট,	
metrapalitan,	ম্যার্টোপিলান,	মেট্রোপলিটন,	
harbore,	হার্বরে,	হারবারে,	
bikretara,	বিক্রেটার,	বিক্রেতারা,	
oiteejyer,	ঐতিযেের,	ঐতিহ্যের,	
dekhbaar,	দেখবার,	দেখবার,	
rokshonbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
caramics,	কার্মিক,	সিরামিকস,	
sipa,	সিপ,	শিপ,	
johny,	জন্,	জনি,	
akmato,	আকমত,	একমত,	
korleyi,	করলেই,	করলেই,	
jak,	যাক,	জাঁক,	
vandar,	ভান্ডার,	ভাণ্ডার,	
kanooner,	কাননের,	কানুনের,	
poriskoron,	পরিস্করণ,	পরিষ্করণ,	
noren,	নরেন,	নরেন,	
claus,	ক্লাউস,	ক্লজ,	
hazat,	হাজাত,	হজত,	
konruup,	কনরুপু,	কোনরূপ,	
pretti,	প্রেটটি,	প্রিটি,	
bike,	বিকে,	বাইক,	
granther,	গ্রন্থের,	গ্রন্থের,	
bondhubhabapanno,	বন্ধুবাবন্প,	বন্ধুভাবাপন্ন,	
abasare,	আবাসরে,	অবসরে,	
caramiks,	কারামিক্স,	সিরামিকস,	
porishrom,	পরিশ্রম,	পরিশ্রম,	
noditi,	নদীতি,	নদীটি,	
dacop,	ডাকপ,	দাকোপ,	
saurse,	সার্স,	সোর্স,	
tarani,	তারানি,	তরণী,	
ashammatite,	আসমমাতিতে,	অসম্মতি,	
oboshore,	অবশরে,	অবসরে,	
vasturyi,	বাস্তুরি,	বস্তুরই,	
bishad,	বিষাদ,	বিষদ,	
cholochchitrai,	চলচিত্রাই,	চলচ্চিত্রই,	
saamaanyai,	সামান্যই,	সামান্যই,	
mumtajer,	মুম্তেজের,	মুমতাজের,	
garden,	গার্ডেন,	গার্ডেন,	
asbab,	আসবাব,	আসবাব,	
keo,	কেও,	কেও,	
akhandota,	আখন্দতা,	অখণ্ডতা,	
adhyatmikata,	অধ্যাতিকতা,	আধ্যাত্মিকতা,	
grantho,	গ্রন্থ,	গ্রন্থ,	
hizrite,	হিজরিতে,	হিজরীতে,	
stylish,	স্টাইলিস,	স্টাইলিশ,	
mukhamandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
gujober,	গুজবের,	গুজবের,	
grambaseeder,	গ্রাম্াসেদের,	গ্রামবাসীদের,	
granthotike,	গ্রন্থথিকে,	গ্রন্থটিকে,	
favourite,	ফভৌরিতে,	ফেভারিট,	
shikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
prajanankal,	প্রজননকাল,	প্রজননকাল,	
mulor,	মুলোর,	মুলোর,	
santaa,	সান্তা,	সান্তা,	
quoota,	কুউটা,	কোটা,	
gor,	গর,	গোর,	
shikkhao,	শিক্ষাও,	শিক্ষাও,	
dibaag,	দিবাগ,	ডিবাগ,	
parshwer,	পারস্যের,	পার্শ্বের,	
eshokol,	এসকল,	এসকল,	
giitikobita,	গিতিকিবিত,	গীতিকবিতা,	
oholla,	অহল্া,	অহল্যা,	
yaak,	যাক,	ইয়াক,	
saazanor,	সাজানোর,	সাজানোর,	
bypass,	ব্যাপস,	বাইপাস,	
utshahi,	উৎসাহী,	উৎসাহী,	
abosorer,	অবসরের,	অবসরের,	
batsmanyi,	বাসমান্যী,	ব্যাটসম্যানই,	
sobchey,	সবছে,	সবচে,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
karadando,	কারাদন্দ,	কারাদণ্ড,	
alexandar,	আলেকশন্দার,	আলেকজান্ডার,	
franko,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
vorodwaj,	ভোরোব্যা,	ভরদ্বাজ,	
abhidhaneec,	অভিধানিক,	অভিধানিক,	
mitrader,	মিত্রাদের,	মিত্রদের,	
breakthraugh,	ব্রেক্ষরগু,	ব্রেকথ্রু,	
sifi,	সিফি,	সাইফাই,	
loukeekota,	লুকিকতা,	লৌকিকতা,	
dwip,	দিবিপ,	দীপ,	
madla,	মাল্,	মাদলা,	
asar,	আসার,	আসর,	
proshadhoni,	প্রশাধানী,	প্রসাধনী,	
gheshei,	ঘেষেই,	ঘেঁষেই,	
rakhtokkharoner,	রক্তা্ষকরণের,	রক্তক্ষরণের,	
evereste,	ইভেরসেট,	এভারেস্টে,	
chhanake,	ছানাকে,	ছানাকে,	
sotorkobhabey,	সতরককভাবে,	সতর্কভাবে,	
mesenjarer,	মেসেনাজারের,	মেসেঞ্জারের,	
prime,	প্রিম,	প্রাইম,	
radhanogor,	রাধানগর,	রাধানগর,	
noditikey,	নদীতিকে,	নদীটিকে,	
bamoni,	বামনি,	বামনী,	
jaki,	যাকি,	জকি,	
janes,	জেনস,	জোন্স,	
oitijhya,	ঐতিহ্য,	ঐতিহ্য,	
gandogol,	গণ্ডগোল,	গন্ডগোল,	
dinesh,	ডিনেশ,	দীনেশ,	
shikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
toronee,	তরনী,	তরণী,	
chiroharit,	চিরহরিত,	চিরহরিৎ,	
gonocheen,	গণছীন,	গণচীন,	
augustin,	অগুস্টিন,	অগাস্টিন,	
sachetanatamulak,	সােটানাাম্তলল,	সচেতনতামূলক,	
poste,	পোস্টে,	পোস্টে,	
nirbachoker,	নির্বাচকের,	নির্বাচকের,	
sachetanvabe,	সাচেতনাাবে,	সচেতনভাবে,	
nikel,	নিকেল,	নিকেল,	
chiraharit,	চিরহারিত,	চিরহরিৎ,	
pouch,	পৌচ,	পাউচ,	
eiling,	এলিং,	ইলিং,	
chalachchitratike,	চলাচিত্রাতিকে,	চলচ্চিত্রটিকে,	
baitsh,	বাইট,	বাইটস,	
cholo,	চলো,	চলো,	
bosantake,	বসনাত্কে,	বসন্তকে,	
bijito,	বিজিত,	বিজিত,	
gazetted,	গ্যাজেট্বেড,	গেজেটেড,	
arshie,	আর্সি,	আরসিএ,	
poricchonnota,	পরিচ্ষননতা,	পরিচ্ছন্নতা,	
gabhaaskaar,	গভবষকার,	গাভাস্কার,	
musalmankey,	মুসলম্নকে,	মুসলমানকে,	
