anekeri,	অনেকেরী,	অনেকেরই,	
aedipus,	এডিপাউজ,	ইডিপাস,	
kantojir,	কান্তজীর,	কান্তজির,	
rah,	রহ,	রঃ,	
cilahati,	চিলাহটি,	চিলাহাটি,	
buffar,	বুফার,	বাফার,	
bisshasi,	বিশ্বাসী,	বিশ্বাসী,	
ajeemke,	আজিমকে,	আজিমকে,	
hud,	হুদ,	হুড,	
bea,	বি,	বি,	
progreshsh,	প্রোগ্রসস,	প্রগ্রেস,	
seat,	সেট,	সিট,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
bonvumite,	বনভূমিতে,	বনভূমিতে,	
patzat,	পাৎজাত,	পাটজাত,	
totenhaamer,	টটোনহ্যামের,	টটেনহামের,	
siramiqasa,	সিরামিকসা,	সিরামিকস,	
roopa,	রূপা,	রুপা,	
byabaharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
goolen,	গুলেন,	গুলেন,	
nederlande,	নেডারল্যান্ডে,	নেদারল্যান্ডে,	
bamni,	বাম্নী,	বামনী,	
haitasha,	হাইসা,	হাইটস,	
thyachar,	থ্যাচার,	থ্যাচার,	
kunti,	কুনটি,	কুন্তী,	
santoshe,	সানতাসে,	সন্তোষে,	
horash,	হরাস,	হোরাস,	
sectar,	সেক্টার,	সেক্টর,	
kingsh,	কিংস,	কিংস,	
baasaate,	বাসাতে,	বাসাতে,	
prasadhoni,	প্রসাধনী,	প্রসাধনী,	
xpose,	এক্সপোজাস,	এক্সপোজ,	
sanghorshik,	সংহর্ষিক,	সাংঘর্ষিক,	
palbangsher,	পালবাংশের,	পালবংশের,	
prottokhovabe,	প্রত্যক্ষাভাবে,	প্রত্যক্ষভাবে,	
karo,	কারও,	কারো,	
through,	থ্রাফ,	থ্রু,	
gaandas,	গ্ঞান্ডস,	জ্ঞানদাস,	
ekjoge,	একযোগে,	একযোগে,	
direqtareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
raeets,	রেটস,	রাইটস,	
dollu,	ডল্লু,	ডলু,	
nirdeshika,	নির্দেশিকা,	নির্দেশিকা,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
debeting,	ডেবেটিং,	ডিবেটিং,	
sahocorje,	সহচর্যে,	সাহচর্যে,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
bondira,	বন্দিরা,	বন্দীরা,	
idaning,	আডনিং,	ইদানিং,	
bongsho,	বংশ,	বংশ,	
uporitole,	উপরিতলে,	উপরিতলে,	
chotogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
jatee,	জাতি,	যাতি,	
maheendra,	মহীন্দ্র,	মাহিন্দ্রা,	
sombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
hook,	হোক,	হুক,	
bhaandaar,	ভান্ডার,	ভাণ্ডার,	
victar,	ভিক্টার,	ভিক্টর,	
tottorat,	তত্তরাত,	তওরাত,	
mahibur,	মহিবুর,	মহিবুর,	
valobase,	ভালবাসে,	ভালোবাসে,	
ancholgoolote,	অঞ্চলজগুলে,	অঞ্চলগুলোতে,	
akabar,	একাবার,	আকাবার,	
prapoker,	প্রপককের,	প্রাপকের,	
pudinn,	পুদিন,	পুডিং,	
foltir,	ফলটির,	ফলটির,	
edipass,	এডিপাস,	ইডিপাস,	
pactar,	পাঁচার,	পাঁচটার,	
soinyoder,	সৈন্যদের,	সৈন্যদের,	
gronthoo,	গ্রন্থা,	গ্রন্থও,	
godamjat,	গদমাজাত,	গুদামজাত,	
nariiderke,	নারীদেরকে,	নারীদেরকে,	
nodnodeer,	নদনদীর,	নদনদীর,	
grambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
matt,	ম্যাট,	ম্যাট,	
se,	সে,	সে,	
shomostike,	সমস্তিকে,	সমষ্টিকে,	
colahol,	কলাহল,	কোলাহল,	
durbhagya,	দুর্ভাগ্য,	দূর্ভাগ্য,	
melborne,	মেলবরণে,	মেলবোর্নে,	
shoili,	শৈলি,	শৈলী,	
komaatei,	কমাতেই,	কমাতেই,	
associatis,	অ্যাসোসিটিস,	এসোসিয়েটস,	
jees,	জিস,	জেস,	
dreeshtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
markeeting,	মার্কেটিং,	মার্কেটিং,	
nagorikke,	নাগরিকে,	নাগরিককে,	
thelyanda,	থেল্যান্ড,	থাইল্যান্ড,	
deebug,	দেবুগ,	ডিবাগ,	
sinakey,	সিনাকে,	সিনাকে,	
showte,	শোতে,	শোতে,	
eeksapreeshana,	এক্সপ্রেশে,	এক্সপ্রেশন,	
gandhiike,	গান্ধীকে,	গান্ধীকে,	
aamor,	আমর,	আমর,	
proshtotto,	প্রস্তত্ত্ব,	প্রস্ত্তত,	
bipozzonok,	বিপজজ্জনক,	বিপজ্জনক,	
durgotshober,	দুর্গসতবের,	দুর্গোৎসবে,	
chetonagato,	চিতনাগত,	চেতনাগত,	
tempaleta,	টেম্পললটট,	টেম্পলেট,	
faj,	ফাজ,	ফাজ,	
bonbhumite,	বনভূমিতে,	বনভূমিতে,	
uindos,	উইন্ডোস,	উইন্ডোস,	
koomari,	কোমারি,	কুমারী,	
utshahi,	উৎ্সাহী,	উৎসাহী,	
bhramaner,	ভ্রামণের,	ভ্রমণের,	
parksh,	পার্কস,	পার্কস,	
chaabir,	চাবীর,	চাবির,	
mousum,	মসুম,	মৌসুম,	
kobootorer,	কবুটরের,	কবুতরের,	
heepataitisa,	হেপোটাটিস,	হেপাটাইটিস,	
lutheran,	লুথেরন,	লুথেরান,	
dhanche,	ঢঞ্চে,	ধাঁচে,	
ponchaasjon,	পঞ্চাস্বন,	পঞ্চাশজন,	
nogorey,	নগরে,	নগরে,	
houstoner,	হোস্টনের,	হিউস্টনের,	
tersa,	টার্স,	টেরেসা,	
shikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
mmesenjar,	মেসেঞ্জার,	মেসেঞ্জার,	
shombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
pitthe,	পিঠে,	পীঠে,	
vagna,	ভগ্না,	ভগ্ন,	
agora,	অগরা,	আগোরা,	
bibader,	বিবাদের,	বিবাদের,	
agomone,	অগোমনে,	আগমনে,	
maarmader,	মার্মাদের,	মারমাদের,	
bonobhumi,	বনভূমি,	বনভূমি,	
antorbhuktimulak,	অন্তর্ভূত্মিলক,	অন্তর্ভুক্তিমূলক,	
futanta,	ফুটান্ট,	ফুটন্ত,	
soomi,	সুমি,	সুমি,	
opohoronn,	অপহরণ,	অপহরন,	
aabahon,	আবাহন,	আবাহন,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
battery,	ব্যাটারি,	ব্যাটারী,	
moshjidke,	মস্িদকে,	মসজিদকে,	
hirani,	হীরানী,	হিরানি,	
ganohotyake,	গণহোত্যাকে,	গণহত্যাকে,	
pratijogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
sovanetri,	সভানেত্রী,	সভানেত্রী,	
dimbacriti,	ডিম্বাক্রিটি,	ডিম্বাকৃতি,	
mesenjarer,	মেসেঞ্জারের,	মেসেঞ্জারের,	
miley,	মিলে,	মাইলি,	
lyaandeeng,	ল্যানডিং,	ল্যান্ডিং,	
sikkhaou,	শিক্ষাও,	শিক্ষাও,	
raiter,	রাতের,	রাইটের,	
ankita,	অঙ্কিত,	অঙ্কিতা,	
byabaharkariderke,	ব্যবহারকারীকের,	ব্যবহারকারীদেরকে,	
oviyojan,	অভিযোজনা,	অভিযোজন,	
udbodhonee,	উদ্বোধনী,	উদ্বোধনী,	
thyachara,	থ্যাচার,	থ্যাচার,	
songhitar,	সংহিতার,	সংহিতার,	
shaahaabaah,	সাহাবাহ,	সাহাবাহ,	
sakar,	সাকার,	সাকার,	
banijyikvittite,	বানিজ্যিকভিতে,	বাণিজ্যিকভিত্তিতে,	
panctaar,	পাঁচার,	পাঁচটার,	
pravritite,	প্রভৃতিতে,	প্রভৃতিতে,	
korkotkranti,	কর্কতর্্্রন্তি,	কর্কটক্রান্তি,	
depootee,	ডিপুটি,	ডেপুটি,	
vumija,	ভূমিজা,	ভূমিজ,	
kormosongsthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
kade,	কাদে,	কোড,	
shringga,	শ্রীঘা,	শৃঙ্গ,	
ingreziteo,	ইংরেজিতে,	ইংরেজিতেও,	
naabyota,	নাব্যটা,	নাব্যতা,	
nirbachaker,	নির্বাচকের,	নির্বাচকের,	
metropoliton,	মেট্রোপলিট,	মেট্রোপলিটন,	
vabnakey,	ভবনাকে,	ভাবনাকে,	
shoreefpur,	শরীফপুর,	শরিফপুর,	
maudeley,	ম্যাডেলে,	মডেলে,	
muhit,	মুহিত,	মুহিত,	
kloj,	ক্লোজ,	ক্লজ,	
tukroti,	টুকক্রটি,	টুকরোটি,	
chesha,	চেস,	চেস,	
orthonitikey,	অর্থনীতিকে,	অর্থনীতিকে,	
ajeempoor,	আজিমপুর,	আজিমপুর,	
sqora,	স্কর,	স্কোর,	
rupa,	রূপা,	রুপা,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
alexandar,	অলেকান্ডার,	আলেকজান্ডার,	
tafsherer,	তাফসেরের,	তাফসীরের,	
rahee,	রহী,	রাহী,	
nesans,	নেসন্স,	নেশনস,	
parishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
keo,	কিও,	কেও,	
boarana,	বোরানা,	বোরন,	
ponjikaar,	পঞ্জিকার,	পঞ্জিকার,	
jerusalemer,	জেরুসুলের,	জেরুজালেমের,	
mastarsa,	মস্তার্স,	মাস্টার্স,	
roopdaan,	রূপদান,	রুপদান,	
pure,	পুরে,	পিওর,	
plen,	প্লেন,	প্লেন,	
jolrang,	জোরাং,	জলরঙ,	
reejur,	রিজুর,	রিজুর,	
maladoobha,	মালাদুভা,	মলদোভা,	
break,	ব্রিক,	ব্রেক,	
wool,	উল,	উল,	
cholochchitreo,	চলচিত্রেও,	চলচ্চিত্রেও,	
turki,	টুর্কি,	তুর্কি,	
manabsamajer,	মানবসমাজের,	মানবসমাজের,	
roomantic,	রোমান্টিক,	রোমান্টিক,	
byaboharkariyi,	ব্যবহারকারি,	ব্যবহারকারীই,	
abosore,	অবসরে,	অবসরে,	
angkita,	অংকিত,	অঙ্কিতা,	
ovinetar,	অভিনেতর,	অভিনেতার,	
poschimae,	পশ্চিমা,	পশ্চিমে,	
mag,	মগ,	এমএজি,	
brittakare,	বৃত্যকারে,	বৃত্তাকারে,	
totokson,	ততক্ষণ,	ততক্ষন,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
konflict,	কনফিল্ক,	কনফ্লিক্ট,	
talaal,	তালাল,	তালাল,	
suparichiti,	সুপরিচিটি,	সুপরিচিতি,	
hights,	হাইটস,	হাইটস,	
vip,	ভীপ,	ভিআইপি,	
sookkho,	সূক্ষ্ম,	সুক্ষ্ম,	
reejideens,	রেজিডেন্স,	রেসিডেন্স,	
bayshorkarikarone,	বেসরকারীকরণ,	বেসরকারিকরণ,	
durgotsabe,	দূর্গসতভবে,	দুর্গোৎসবে,	
hilse,	হিলসে,	হিলসে,	
bikretader,	বিক্তেদের,	বিক্রেতাদের,	
ajijer,	আজিজের,	আজিজের,	
robotic,	রোবটিক,	রোবোটিক,	
prokolpoti,	প্রকলপপতি,	প্রকল্পটি,	
elakaate,	এলাকাতে,	এলাকাতে,	
uthey,	উঠে,	উঠে,	
rajotwa,	রাজত্ব,	রাজত্ব,	
bhittiti,	ভিত্তিটি,	ভিত্তিটি,	
bohoodin,	বহুদিন,	বহুদিন,	
deenesh,	ডানেস,	দীনেশ,	
stalin,	স্টালিন,	স্টালিন,	
obosorer,	অবসরের,	অবসরের,	
ekkoghore,	একঘরে,	একঘরে,	
heriser,	হেরিসের,	হ্যারিসের,	
akkash,	এক্যাস,	আককাস,	
bhittio,	ভিত্ত,	ভিত্তিও,	
venkatesh,	ভেনকেট,	ভেঙ্কটেশ,	
buffer,	বাফার,	বাফার,	
konphlikt,	কনফেল্কিট,	কনফ্লিক্ট,	
baik,	বাইক,	বাইক,	
reeno,	ঋণ,	রেনো,	
jaanalo,	জানালো,	জানালো,	
byabaharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
heze,	হেজে,	হেজ,	
hunine,	হানিন,	হুনাইন,	
nitikatha,	নীতিকথা,	নীতিকথা,	
gyate,	গ্যাতে,	গ্যেটে,	
dwibidha,	দ্বিবিধা,	দ্বিবিধ,	
shilpojato,	শিল্পজতত,	শিল্পজাত,	
aidin,	এডিন,	এইদিন,	
elakasoho,	এলাকাসহ,	এলাকাসহ,	
sarsa,	সর্ষ,	সোর্স,	
shniper,	স্নিপের,	স্নাইপার,	
sukkho,	সূক্ষ্ম,	সুক্ষ্ম,	
laaisens,	লাইেন্স,	লাইসেন্স,	
steen,	স্টিন,	স্টেন,	
servere,	সার্ভারে,	সার্ভারে,	
swostir,	স্বস্তির,	স্বস্তির,	
torokareer,	তরকারীর,	তরকারীর,	
chhotto,	ছট্,	ছোট্ট,	
harysher,	হরিসের,	হ্যারিসের,	
parisankhyanvid,	পরিসংখ্যানদি,	পরিসংখ্যানবিদ,	
ghatir,	ঘটির,	ঘাটির,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
apargota,	অপর্গতা,	অপারগতা,	
title,	টিইল,	টাইটেল,	
tenish,	টেনিস,	টেনিস,	
gudamjato,	গুদম্জাত,	গুদামজাত,	
arekdal,	অরেকদল,	আরেকদল,	
lyaataa,	ল্যাট,	ল্যাটা,	
motabolombiira,	মতামবলম্বীরা,	মতাবলম্বীরা,	
ashok,	আশোক,	আশোক,	
pratishthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
naraphooka,	নররফক,	নরফোক,	
maadhoori,	মাধুরী,	মাধুরী,	
drishi,	দৃষি,	দৃশ্যই,	
sumita,	সুমিতা,	সুমিতা,	
durgondho,	দুর্গন্ধ,	দুর্গন্ধ,	
mayili,	মেইলি,	মাইলি,	
phund,	ফাউন্ড,	ফান্ড,	
naagaaland,	নাগালান্দ,	নাগাল্যান্ড,	
plato,	প্লাট,	প্লেটো,	
istara,	ইস্টার,	ইস্টার,	
gyandaas,	জ্ঞান্ডাস,	জ্ঞানদাস,	
fand,	ফাঁদ,	ফান্ড,	
ap,	আপ,	আপ,	
basaake,	বাসাকে,	বাসাকে,	
chirkoot,	চিরকাত,	চিরকুট,	
modeler,	মোদেলের,	মডেলের,	
atma,	আত্মা,	আত্ম,	
phoksher,	ফক্ষের,	ফক্সের,	
ramantik,	রামান্টিক,	রোমান্টিক,	
cinematographar,	সিনেমারাফারার,	সিনেমাটোগ্রাফার,	
baire,	বেয়ার,	বাইরে,	
footonto,	ফুটন্ট,	ফুটন্ত,	
sikkhartheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
sithilota,	সীথিলতা,	শিথিলতা,	
debate,	দেবাতে,	ডিবেট,	
akai,	একই,	একাই,	
somraatder,	সম্রাতদের,	সম্রাটদের,	
vaabna,	ভাবনা,	ভাবনা,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
jathaartho,	যথার্থ,	যথার্থ,	
abodamoner,	অবদামনের,	অবদমনের,	
grot,	গ্রাট,	গ্রোথ,	
ujbekistaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
chalochchitroi,	চলচিত্রই,	চলচ্চিত্রই,	
muktoome,	মুক্তমে,	মাকতুম,	
gabeshonar,	গবেষণার,	গবেষনার,	
dubaate,	দুবাতে,	ডুবাতে,	
anchaltikey,	অঞ্চলটিকে,	অঞ্চলটিকে,	
jothon,	যথন,	যথন,	
vumir,	ভূমির,	ভূমির,	
avetara,	অভাতরা,	অবতার,	
golpokar,	গল্পকার,	গল্পকার,	
chhotogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
goore,	গুরে,	গোর,	
udvaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
potochitrer,	পতচিত্রের,	পটচিত্রের,	
summi,	সুমি,	সুমি,	
daakten,	ডাকতেন,	ডাকতেন,	
refleks,	রাইফেক্স,	রিফ্লেক্স,	
basinay,	বাসিনে,	বেসিনে,	
shayatana,	সায়টটন,	শয়তান,	
hajat,	হজত,	হজত,	
cetholic,	ক্যাথলিক,	ক্যাথলিক,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
nothivukteer,	নথিভুক্তির,	নথিভুক্তির,	
bandhuderke,	বাঁধুদেরকে,	বন্ধুদেরকে,	
shaddhii,	সাধ্যি,	সাধ্বী,	
teter,	টিটের,	টেটের,	
korle,	করলে,	করলে,	
hossain,	হোসাইন,	হোসেইন,	
oedipus,	এদিপাস,	ইডিপাস,	
sofie,	সফফি,	সোফি,	
yukeliptas,	ইউক্যেপিল্টাস,	ইউক্যালিপ্টাস,	
aswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
caaling,	ক্যালিং,	কুলিং,	
uttar,	উত্তর,	উওর,	
tirmizi,	তিরমিজী,	তিরমিজি,	
somsher,	সমসের,	সমশের,	
sporsher,	স্পররশের,	স্পর্শের,	
chalachchitratike,	চলাচাত্রিতিকে,	চলচ্চিত্রটিকে,	
somaazer,	সমাজের,	সমাজের,	
voolapuk,	ভোলাপুক,	ভোলাপুক,	
itostato,	ইতস্তাত,	ইতস্ততঃ,	
ameettrakkhor,	অমিত্রক্ষার,	অমিত্রাক্ষর,	
buth,	বুঠ,	বুথ,	
jins,	জিন্স,	জিন্স,	
decke,	ডেকে,	ডেকে,	
jerujaleme,	জেরুজামেলে,	জেরুসালেমে,	
kareer,	কারির,	কারীর,	
loukikotaa,	লৌকিকতা,	লৌকিকতা,	
jhankaar,	ঝংকার,	ঝঙ্কার,	
tennish,	টেনিস,	টেনিস,	
uper,	উপের,	আপের,	
bhabanipur,	ভবানীপুর,	ভবানীপুর,	
bulano,	বুলানো,	বুলান,	
dharmee,	ধর্মী,	ধর্মী,	
thaakeni,	থাকেনি,	থাকেনি,	
dubureer,	দুবুরীর,	ডুবুরির,	
bhittiei,	ভিতিই,	ভিত্তিই,	
juktorastrosoho,	যুক্তরস্তরসহ,	যুক্তরাষ্ট্রসহ,	
ponero,	পনেরো,	পনের,	
domonmoolok,	দমনমূলক,	দমনমূলক,	
korimer,	করিমের,	করিমের,	
eporzonto,	এপর্যন্ত,	এপর্যন্ত,	
reeliancee,	রিলিয়েন্স,	রিলায়েন্স,	
bhenasa,	ভেনস,	ভেনাস,	
vishhnu,	বিষ্ণু,	বিষ্ণু,	
cholochchitro,	চলচিত্র,	চলচ্চিত্র,	
bage,	বাগে,	বাগে,	
soranor,	সরানোর,	সরানোর,	
byaran,	ব্যারন,	ব্যারন,	
kormoyi,	কর্মই,	কর্মই,	
mukharji,	মুখার্জি,	মুখার্জী,	
hepetaitisa,	হেপেটাটিট,	হেপাটাইটিস,	
satarkabhabe,	সতারকভাবে,	সতর্কভাবে,	
jonosomaj,	জনসমাজ,	জনসমাজ,	
koyeri,	কোয়রি,	কোয়েরি,	
chalachchitrer,	চালচচ্তিত্রের,	চলচ্চিত্রের,	
taali,	তালি,	তালি,	
sadhwi,	সাধ্ধী,	সাধ্বী,	
hoteeltite,	হটিলটিতে,	হোটেলটিতে,	
bijepi,	বিজেপী,	বিজেপি,	
ujbekistan,	উজবেকিস্তান,	উজবেকিস্তান,	
zojjyota,	যোজ্যতা,	যোজ্যতা,	
gatrey,	গেত্রে,	গাত্রে,	
chaiti,	চৈইটি,	চৈতি,	
beekargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
sarjur,	সার্জুর,	সরযূর,	
ssikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
dharavahiktite,	ধারাভাকিত্তি,	ধারাবাহিকটিতে,	
janate,	জনতে,	জানাতে,	
ekoghore,	একঘরে,	একঘরে,	
yaq,	য্যাক,	ইয়াক,	
siropar,	শিরপার,	শিরোপার,	
totenhamer,	টটোনহ্মামের,	টটেনহামের,	
addhattikotar,	অধ্যাতিতকার,	আধ্যাত্মিকতার,	
cn,	সিএন,	সিএন,	
dorun,	দরুন,	দরুণ,	
bhangey,	ভঙ্গে,	ভাঙ্গে,	
aarcie,	আর্সি,	আরসিএ,	
gonoporeebohoner,	গণপরিবহণের,	গণপরিবহনের,	
nikote,	নিকটে,	নিকটে,	
shikhbe,	শিখবে,	শিখবে,	
arakaner,	আরকেনের,	আরাকানের,	
gostii,	গোস্তী,	গোষ্ঠীই,	
turista,	তুরিষ্ট,	টুরিস্ট,	
score,	স্কর,	স্কোর,	
udvabone,	উদ্ভাবনে,	উদ্ভাবনে,	
fiksa,	ফিক্স,	ফিক্স,	
matrikar,	মাত্রিকার,	মাতৃকার,	
lyataa,	ল্যাট,	ল্যাটা,	
teteyer,	তেযার,	টেটের,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
brindo,	বৃণ্ড,	বৃন্দ,	
aazadir,	আজাদির,	আজাদীর,	
shcholastiq,	স্কলাস্তিক,	স্কলাস্টিক,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
kingdom,	কিংম্যা,	কিংডম,	
kurdira,	কুর্দিরা,	কুর্দিরা,	
skalastika,	স্কলাস্টিক,	স্কলাস্টিক,	
chalai,	চালাই,	চালাবে,	
deil,	ডেল,	ডেইল,	
chaka,	চাকা,	চাকা,	
bamon,	ব্যামন,	বামন,	
kattor,	কাত্তর,	কট্টর,	
seelbhee,	সিলভী,	সিলভি,	
swajaner,	স্বজনের,	স্বজনের,	
osoborno,	অসবর্ন,	অসবর্ণ,	
hundai,	হাঁদাই,	হুন্দাই,	
kanaflikta,	কানাফ্লিক্ট,	কনফ্লিক্ট,	
akeeb,	একিব,	আকিব,	
haryken,	হারিকেন,	হ্যারিকেন,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
shoo,	শো,	শো,	
patjato,	পাতজাত,	পাটজাত,	
oncholeo,	অঞ্চলেও,	অঞ্চলেও,	
thor,	থোর,	থর,	
poscate,	পশশাতে,	পশ্চাতে,	
paner,	পানের,	পনের,	
superheror,	সুপারহের,	সুপারহিরোর,	
anchaleo,	অঞ্চলেও,	অঞ্চলেও,	
moreecha,	মরিচা,	মরিচা,	
jeten,	জেতেন,	জেতেন,	
dhache,	ঢাচে,	ধাঁচে,	
madrasakey,	মদ্রাসাকে,	মাদ্রাসাকে,	
mohammadi,	মহাম্মাদী,	মুহাম্মদী,	
jakkho,	যক্ষ্,	যক্ষ,	
perther,	পার্থের,	পার্থের,	
shudden,	শুদ্দেন,	সাডেন,	
huqar,	হুকার,	হুকার,	
moomtajer,	মম্তাজের,	মুমতাজের,	
mookhomaundol,	মুখমান্ডল,	মুখমণ্ডল,	
ustaad,	আস্তাদ,	উস্তাদ,	
hajarti,	হজরটি,	হাজারটি,	
bhugol,	ভূগল,	ভূগোল,	
naji,	নাজি,	নাত্সি,	
pituni,	পিটুনি,	পিটুনি,	
antarbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
samajer,	সমাজের,	সমাজের,	
opohoron,	অপহরণ,	অপহরন,	
loha,	লোহা,	লোহা,	
shanstha,	সংস্থ,	সংস্থা,	
suporichita,	সুপরিচিত,	সুপরিচিত,	
probhu,	প্রভূ,	প্রভু,	
shhkolashtic,	স্কলাস্টিক,	স্কলাস্টিক,	
dhwajbhango,	ধ্বভভঙ্গ,	ধ্বজভঙ্গ,	
tennis,	টেনিস,	টেনিস,	
rejidensh,	রেজিডেন্স,	রেসিডেন্স,	
pooloo,	পুলু,	পোলো,	
aatok,	আটক,	আটক,	
shoow,	শো,	শো,	
bahyo,	বহ্য,	বাহ্য,	
pooroheetke,	পুরহিটেে,	পুরোহিতকে,	
shobnom,	শবনম,	শবনম,	
swajan,	স্বজান,	স্বজন,	
routine,	রাউটিন,	রুটিন,	
dibbay,	ডিববে,	দিব্যা,	
naazii,	নাজী,	নাত্সি,	
chirata,	চিরত,	চিরতা,	
sommoteete,	সম্মতিতে,	সম্মতিতে,	
spencer,	স্পেন্সের,	স্পেন্সার,	
arik,	এরিক,	আরিক,	
sangosthati,	সংস্থাটি,	সংস্থাটি,	
shrichaitanyadeb,	শ্রীচিতনাদ্যে,	শ্রীচৈতন্যদেব,	
bosobben,	বসবেন,	বসবেন,	
jatook,	যতুক,	জাতক,	
abhigomon,	অভিগোমন,	অভিগমন,	
jaatti,	যাত্তি,	জাতটি,	
manikya,	মানিক্যা,	মানিক্য,	
nursery,	নার্সারি,	নার্সারি,	
niutrina,	নিউট্রিন,	নিউট্রিনো,	
tourist,	টরিস্ট,	টুরিস্ট,	
rajtontro,	রাজ্তন্ত্র,	রাজতন্ত্র,	
alsar,	আলসার,	আলসার,	
mesenjar,	মেসেঞ্জার,	মেসেঞ্জার,	
damonmulok,	দামন্মূলক,	দমনমূলক,	
hole,	হলে,	হোল,	
osamanno,	অসমান্ন,	অসামান্য,	
deep,	ডীপ,	দীপ,	
bayii,	বেই,	বাঈ,	
kachakachi,	কচ্চাকাছি,	কাছাকাছি,	
