estoniya,	এস্টনিয়া,	এস্তোনিয়া,	
nirabota,	নিরবতা,	নিরবতা,	
vogni,	ভোগ্নী,	ভগ্নী,	
ispredsit,	ইস্পের্সিত,	স্প্রেডশীট,	
chetna,	চেতনা,	চেতনা,	
hyarikena,	হ্যারিকেন,	হ্যারিকেন,	
oichchhik,	ঐচ্ছিক,	ঐচ্ছিক,	
jathaartho,	যথার্থ,	যথার্থ,	
lat,	লাট,	লাট,	
bojhey,	বজে,	বোঝে,	
agomoney,	আগমনে,	আগমনে,	
ardasha,	আর্ডাস,	আর্দশ,	
ramantika,	রামান্টিক,	রোমান্টিক,	
rabo,	রব,	রব,	
mausumer,	মৌসমের,	মৌসুমের,	
bifol,	বিফল,	বিফল,	
maladobha,	মালাদোভা,	মলদোভা,	
concert,	কনসার্ট,	কানসাট,	
shiramikasha,	শিরামিকাস,	সিরামিকস,	
artilery,	আর্টিলারি,	আর্টিলারি,	
akhandota,	আখন্দতা,	অখণ্ডতা,	
chamoski,	চামসিক,	চমস্কি,	
gejeteda,	গেজেটাদ,	গেজেটেড,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
nothivookta,	নথিভুক্ত,	নথিভুক্ত,	
madhyastho,	মধ্যস্থ,	মধ্যস্থ,	
atitkaale,	অতীতকালে,	অতীতকালে,	
arakani,	আরাকানী,	আরাকানী,	
ovinetar,	অভিনেতর,	অভিনেতার,	
sathikata,	সাথিকতা,	সঠিকতা,	
oncholgulote,	অঞ্চলগুতে,	অঞ্চলগুলোতে,	
bhejano,	ভেজানো,	ভেজানো,	
smaroker,	স্মররককের,	স্মারকের,	
sohojlovyotar,	সহজভোলতার,	সহজলভ্যতার,	
poricchonnota,	পরিচ্ছন্ত,	পরিচ্ছন্নতা,	
patenter,	পটেনটের,	পেটেন্টের,	
elaakati,	এলাকাটি,	এলাকাটি,	
militari,	মিলিটারী,	মিলিটারি,	
seater,	সিটের,	সিটের,	
gitikabita,	গীতিকাবিত্যা,	গীতিকবিতা,	
nathibhookto,	নাঠিভুক্ত,	নথিভুক্ত,	
manushsaho,	মনুসহ্,	মানুষসহ,	
shangsthatikey,	সাংসাথিতিকে,	সংস্থাটিকে,	
shoshar,	শোষার,	সকার,	
timathy,	তিমথি,	টিমোথি,	
jyoistho,	জ্যোষ্ঠ,	জ্যৈষ্ঠ,	
kaaru,	কারু,	কারু,	
tiunara,	টিউনার,	টিউনার,	
brinde,	ব্রিন্ডে,	বৃন্দ,	
bamnii,	বাম্নী,	বামনী,	
prodan,	প্রদান,	প্রদাণ,	
carzer,	কার্জার,	চার্জের,	
pretti,	প্রেতি,	প্রিটি,	
jeten,	জেতেন,	জেতেন,	
gadhaa,	গাধাা,	গাধা,	
soheensotar,	সহিনসততার,	সহিংসতার,	
tinej,	টিনেজ,	টিনেজ,	
mag,	মগ,	এমএজি,	
samle,	সামলে,	সামলে,	
aashtikotaa,	আস্তিকতা,	আস্তিকতা,	
prakalpao,	প্রকালপু,	প্রকল্পও,	
siiter,	সীটের,	শীতের,	
maudeley,	মোডেলে,	মডেলে,	
bishnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
gyate,	গ্ঞাতে,	গ্যেটে,	
chaity,	চাইটি,	চৈতি,	
janosomaj,	জনসমাজ,	জনসমাজ,	
tolemy,	তলেমি,	টলেমির,	
sthapanagulo,	স্থাপনগুলো,	স্থাপনাগুলো,	
dosa,	দোসা,	দোসা,	
xpresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
basuki,	বাসুকী,	বাসুকি,	
sommotir,	সম্মটির,	সম্মতির,	
eute,	ইউটে,	ইইউতে,	
suri,	সুরি,	সুরি,	
hajarti,	হজরটি,	হাজারটি,	
bondiike,	বন্দিকে,	বন্দীকে,	
dharavassyokar,	ধারাভাষ্যকার,	ধারাভাষ্যকার,	
platee,	প্লেট,	প্লেট,	
janosangyog,	জনসঙ্গাগ,	জনসংযোগ,	
duburir,	দুবুরীর,	ডুবুরির,	
janaganonar,	জনগণনার,	জনগণনার,	
bondhuvabaponyo,	বন্ধুবাপ্ন,	বন্ধুভাবাপন্ন,	
kormopontha,	কর্মপন্থা,	কর্মপন্থা,	
rooshod,	রুষদ,	রুশদ,	
bbiseshyo,	বিশেষ্য,	বিশেষ্য,	
daaloo,	ডালু,	ডালু,	
promothesh,	প্রমথেশ,	প্রমথেশ,	
agrodut,	অগ্রদুত,	অগ্রদূত,	
taala,	তালা,	তালা,	
shikarke,	শিকারকে,	শিকারকে,	
anchaleo,	আঞচালেও,	অঞ্চলেও,	
jillool,	জিল্লুল,	জিল্লুল,	
bamna,	বামনা,	বামনা,	
purbanchale,	পূর্বাঞচলে,	পূর্বাঞ্চলে,	
chhed,	ছেদ,	ছেদ,	
emeritus,	এমেরিটাস,	এমিরেটাস,	
chaabir,	ছাবির,	চাবির,	
nariikei,	নারীকেই,	নারীকেই,	
jaak,	যাক,	জাঁক,	
chidropothe,	চিদ্রপথে,	ছিদ্রপথে,	
animated,	অনিমাতেদ,	এনিমেটেড,	
kamti,	কমটি,	কমতি,	
moushumeo,	মৌুমেও,	মৌসুমেও,	
karmapantha,	কর্মপন্থা,	কর্মপন্থা,	
schalarship,	স্কলারশিপ,	স্কলারশিপ,	
karo,	কারও,	কারো,	
addabaj,	আদ্াব্যাজ,	আড্ডাবাজ,	
daktickete,	ডাক্তিকেত,	ডাকটিকিটে,	
algorithm,	অ্যালগরিদম,	এলগরিদম,	
sangosthatir,	সংস্থটির,	সংস্থাটির,	
jyestha,	যেষ্ঠা,	জ্যেষ্ঠা,	
chheelona,	ছিলানা,	ছিলনা,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
armeenian,	আরমেনিয়ান,	আর্মেনিয়ান,	
haze,	হাজে,	হেজ,	
jwarer,	যারের,	জ্বরের,	
mukkho,	মুখ্ষ,	মুখ্য,	
iqbalke,	ইকবালকে,	ইকবালকে,	
lyaata,	ল্যাট,	ল্যাটা,	
juktorastrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
bosontokke,	বসন্তকে,	বসন্তকে,	
agibon,	আগিবন,	আজীবন,	
teyt,	টেই,	টেট,	
masti,	মাসটি,	মাস্তি,	
sqalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
bhumijo,	ভূমিজ,	ভূমিজ,	
atto,	আত্ম,	আত্ম,	
bosonto,	বসন্ত,	বসন্ত,	
zoubonkal,	যৌবনকাল,	যৌবনকাল,	
akjoge,	একযোগে,	একযোগে,	
muktilav,	মুক্তিলাভা,	মুক্তিলাভ,	
elakatike,	এলাকাটিকে,	এলাকাটিকে,	
parqing,	পার্কিং,	পার্কিং,	
manshe,	মানসে,	মানুষে,	
sahozlabhbhotar,	সহজভাভততার,	সহজলভ্যতার,	
dhabi,	ধাবি,	ঢাবি,	
prity,	প্রীতি,	প্রিটি,	
foreks,	ফরেক্স,	ফরেক্স,	
jonosonjog,	জনস্যাগ্গ,	জনসংযোগ,	
parishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
rayalty,	রযয়েটি,	রয়্যালটি,	
janosamaj,	জনসমাজ,	জনসমাজ,	
upobasi,	উপবাসী,	উপবাসী,	
hatochakito,	হতচকিত,	হতচকিত,	
anciint,	অন্সিন,	এনসিয়েন্ট,	
kloud,	ক্লড,	ক্লাউড,	
bosante,	বসন্তে,	বসন্তে,	
akmat,	একমাত,	একমত,	
romnar,	রোমার,	রমনার,	
muradke,	মুরাদকে,	মুরাদকে,	
diana,	ডায়ান,	ডায়না,	
sikar,	শিকার,	শিকার,	
daebug,	দেবুগ,	ডিবাগ,	
sushri,	সুশ্রী,	সুশ্রী,	
timothi,	তিমথি,	টিমোথি,	
kale,	কালে,	কালে,	
keo,	কিও,	কেউ,	
dhauta,	ধাত,	ধৌত,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
mesenjarer,	মেশেন্জারের,	মেসেঞ্জারের,	
asiph,	আসিফ,	আসিফ,	
chamke,	চামকে,	চমকে,	
juktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
shakara,	শাকার,	সাকার,	
netherlandey,	নেথারল্যান্ডে,	নেদারল্যান্ডে,	
planee,	প্লেন,	প্লেন,	
karmakandeo,	কর্মকান্ডেও,	কর্মকাণ্ডেও,	
vabanipur,	ভবানীপুর,	ভবানীপুর,	
zojyota,	যোজ্যতা,	যোজ্যতা,	
bhimsen,	ভিম্সেন,	ভীমসেন,	
bishrinkhala,	বিশৃংখল,	বিশৃঙ্খলা,	
byabostho,	ব্যবস্থ,	ব্যাবস্থা,	
gaandaas,	গান্ডাস,	জ্ঞানদাস,	
addhattikotar,	আধ্যাতিকতার,	আধ্যাত্মিকতার,	
holdin,	হোলডিং,	হোল্ডিং,	
avatara,	অভতর,	অবতার,	
palestinea,	পালেস্টিনে,	প্যালেস্টাইনে,	
foksher,	ফক্সের,	ফক্সের,	
nirvachaker,	নির্বাচকের,	নির্বাচকের,	
seemons,	সীমনস,	সিমন্স,	
aastikotaa,	আস্তিকতা,	আস্তিকতা,	
setio,	সেতিও,	সেটিও,	
dakteekite,	ডাক্তিকেতে,	ডাকটিকিটে,	
canflict,	কাফ্লিক্ট,	কনফ্লিক্ট,	
qaferderke,	কাফার্ডারকে,	কাফেরদেরকে,	
pratisthanikvabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
daada,	দাদা,	দাদা,	
soteciety,	সোযেচিটি,	সোসাইটিতে,	
vittiei,	ভিত্ইই,	ভিত্তিই,	
akkas,	এক্কশ,	আককাস,	
praman,	প্রমাণ,	প্রমান,	
shhow,	শো,	শো,	
dharabahiktir,	ধারাবাহিত্যির,	ধারাবাহিকটির,	
orthanitir,	অর্থনীতির,	অর্থনীতির,	
euror,	ইউরোর,	ইউরোর,	
hafez,	হাফেজ,	হাফেয,	
jealand,	জেল্যান্ড,	জিল্যান্ড,	
ghomtaa,	ঘমতা,	ঘোমটা,	
shudhui,	শুধ্যই,	শুধুই,	
gafilati,	গফিলাটি,	গাফিলতি,	
pothnatok,	পথানতক,	পথনাটক,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
elakaatite,	এলাকাতিতে,	এলাকাটিকে,	
lesensim,	লেসেন্সিং,	লাইসেন্সিং,	
hert,	হার্ট,	হার্ট,	
qrita,	ক্রিত,	ক্রীট,	
rajpur,	রাজপুর,	রাজপুর,	
ogrodut,	অগ্রদুত,	অগ্রদূত,	
sikkhokbreendo,	শিক্ষাক্রিন্দ,	শিক্ষকবৃন্দ,	
engrejiteo,	ইংরেজিতে,	ইংরেজিতেও,	
sanaktokaron,	সনাক্তকরণ,	সনাক্তকরণ,	
proteesthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
tantira,	তানটিরা,	তাঁতিরা,	
manab,	মানব,	মানব,	
mugdho,	মুগধধ,	মুগ্ধ,	
liseensee,	লিসেন্স,	লাইসেন্স,	
karlasa,	কার্লস,	কার্লোস,	
sarollo,	সরলল,	সারল্য,	
garora,	গাররা,	গারোরা,	
cholo,	চল,	চলো,	
candi,	কান্ডি,	ক্যান্ডি,	
nuton,	নতন,	নূতন,	
slok,	স্লক,	শ্লোক,	
odoore,	অদুরে,	অদুরে,	
teamothy,	তেমথি,	টিমোথি,	
hunayn,	হাউনয়ান,	হুনাইন,	
oitijjha,	ঐতিহ্য,	ঐতিহ্য,	
qirq,	কার্ক,	কার্ক,	
dadader,	দাদাদের,	দাদাদের,	
crescenter,	ক্রেস্টেন্টের,	ক্রিসেন্টের,	
aashor,	আশর,	আসর,	
abhidhanik,	অভিধানিক,	অভিধানিক,	
licensing,	লিসেন্সিং,	লাইসেন্সিং,	
bede,	বেদে,	বেদে,	
gosthyti,	গোস্থীতি,	গোষ্ঠীটি,	
orunima,	অরুনিমা,	অরুণিমা,	
bonyopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
naaneer,	নানীর,	নানীর,	
mishal,	মিশাল,	মিশাল,	
pustir,	পুস্টির,	পুষ্টির,	
zubokera,	যুবকেরা,	যুবকেরা,	
dharmantar,	ধর্মান্তর,	ধর্মান্তর,	
pushtee,	পুষ্টি,	পুষ্টি,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
ancholsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
benj,	বেঁজ,	বেঞ্জ,	
narikei,	নারীকেই,	নারীকেই,	
bedanto,	বেদন্ত,	বেদান্ত,	
nodigulo,	নদীগুলো,	নদীগুলো,	
hoteltee,	হটেলটি,	হোটেলটি,	
asabhya,	অসভ্য,	অসভ্য,	
wolapuk,	ভোলাপুক,	ভোলাপুক,	
upobasher,	উপবাসের,	উপবাসের,	
bhatar,	ভাটার,	ভাতার,	
teknokrat,	টেকনোর্ট,	টেকনোক্র্যাট,	
caramics,	ক্যারমিক্স,	সিরামিকস,	
parqs,	পার্কস,	পার্কস,	
azadir,	আজাদির,	আজাদীর,	
banger,	বঙ্গের,	ব্যাঙের,	
garnaar,	গর্নার,	গার্নার,	
timathi,	তিমথি,	টিমোথি,	
kkunti,	কুন্তি,	কুন্তী,	
sikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
kanflikt,	কাঙ্লিক্ট,	কনফ্লিক্ট,	
laaiseensh,	লাইস্স,	লাইসেন্স,	
blagarara,	ব্লগার,	ব্লগাররা,	
prasadhani,	প্রসাধানী,	প্রসাধনী,	
rabe,	রবে,	রবে,	
pakhirai,	পাখিরই,	পাখিরাই,	
astikra,	অস্টিকরা,	আস্তিকতা,	
bhenicer,	ভেনিসের,	ভেনিসের,	
shite,	শীটে,	শীতে,	
turkider,	তুর্কীদের,	তুর্কিদের,	
sangkalaner,	সংকলানের,	সংকলনের,	
nariiderke,	নারীদেরকে,	নারীদেরকে,	
bharadwaj,	ভারাদ্যাজ,	ভরদ্বাজ,	
abheedhanick,	অভিধানিক,	অভিধানিক,	
prodip,	প্রদিপ,	প্রদীপ,	
suity,	সুইটি,	সুইটি,	
jerushalem,	জিরুশলেম,	জেরুসালেম,	
chhai,	ছাই,	ছাই,	
bitlaser,	বিটলসের,	বিটলসের,	
utpotti,	উৎপত্তি,	উতপত্তি,	
rooplal,	রূপলাল,	রূপলাল,	
nitikotha,	নীতিকথা,	নীতিকথা,	
everest,	এভার্টস,	এভারেস্টে,	
shov,	শব,	শো,	
shrimati,	শ্রীমতি,	শ্রীমতি,	
bahyo,	বাহ্য,	বাহ্য,	
selim,	সেলিম,	সেলিম,	
bhaibon,	ভাইব,	ভাইবোন,	
azibonoer,	আজিবনের,	আজীবনের,	
purohitder,	পুরহহিদদের,	পুরোহিতদের,	
militarite,	মিলিটারীতে,	মিলিটারিতে,	
ganesher,	গেনেসের,	গণেশের,	
surke,	সুর্কে,	সুরকে,	
zones,	জোনেস,	জোন্স,	
panjikar,	পাঞ্জিকার,	পঞ্জিকার,	
byaboharkari,	ব্যবহারকারি,	ব্যবহারকারীই,	
charjer,	চার্যের,	চার্জার,	
noditikey,	নদীতীকে,	নদীটিকে,	
satarkakaree,	সতর্তকারী,	সতর্ককারী,	
sipa,	সিপা,	শিপ,	
shrishree,	শৃষ্রী,	শ্রীশ্রী,	
version,	ভার্সন,	ভারশন,	
boring,	বরিং,	বোরিং,	
ghoomachhe,	ঘুমাছ্ছে,	ঘুমাচ্ছে,	
kathmandu,	কাঠমান্দু,	কাঠমান্ডু,	
satthikota,	সাথিকতা,	সঠিকতা,	
selinar,	সেলিনার,	সেলিনার,	
jeebonjapon,	জীবনযাপন,	জীবনযাপন,	
footbalarder,	ফুটবলরাদের,	ফুটবলারদের,	
nutaner,	নুতানের,	নূতনের,	
attacharito,	আত্মাচারিত,	অত্যাচারিত,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
hevy,	হেভি,	হেভি,	
baharamporer,	বহরম্পরের,	বহরমপুরের,	
liseens,	লিসেন্স,	লাইসেন্স,	
akpashe,	একপাশে,	একপাশে,	
ongkita,	অংকিত,	অঙ্কিতা,	
aasirbaad,	আশীর্বাদ,	আশির্বাদ,	
hafsa,	হাফস,	হাফসা,	
maase,	মাসে,	মাসে,	
mookhbaundho,	মুখবন্ধ,	মুখবন্ধ,	
pujita,	পুজিতা,	পুজিত,	
sohokaree,	সহকারি,	সহকারী,	
allahabade,	আলাহাবাদে,	এলাহাবাদে,	
chaaka,	চাকা,	চাকা,	
sanbadmadhyamer,	সংবাদমহ্যের,	সংবাদমাধ্যমের,	
prodiper,	প্রদিপের,	প্রদীপের,	
lagic,	লাগিক,	লজিক,	
pudinn,	পুদিন,	পুডিং,	
labonaktotar,	লবনাক্ততা,	লবণাক্ততার,	
graambaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
jetam,	যেতম,	যেতাম,	
gheshe,	ঘেষে,	ঘেঁষে,	
sombhobonaow,	সম্ভবনাও,	সম্ভবনাও,	
praima,	প্রাইম,	প্রাইম,	
khelafate,	খেলাফাতে,	খেলাফতে,	
nothivooktir,	নথিভুক্তির,	নথিভুক্তির,	
shatoke,	শতকে,	শতকে,	
charrjar,	চার্জার,	চার্জার,	
khelechen,	খেলেছেন,	খেলেছেন,	
rohosyo,	রহস্য,	রহস্য,	
cholocchitroi,	চলচচিত্র,	চলচ্চিত্রই,	
aatok,	আটক,	আটক,	
phood,	ফুড,	ফুড,	
heedgee,	হেড,	হেজ,	
anish,	অনিশ,	আনিস,	
phokser,	ফোক্সের,	ফক্সের,	
metropoliton,	মেট্রোপলিটান,	মেট্রোপলিটন,	
byatikrami,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
parinoti,	পরিণতি,	পরিণতি,	
bhittie,	ভিত্তে,	ভিত্তিই,	
delibhara,	ডেলিভার,	ডেলিভার,	
unhu,	উনুহ,	উঁহু,	
spreadseet,	স্প্রিসেস,	স্প্রেডশীট,	
teamothi,	তেমথি,	টিমোথি,	
samratder,	সম্রতদের,	সম্রাটদের,	
khargosher,	খার্গসের,	খরগোসের,	
neutrinoo,	নিউট্রি,	নিউট্রিনো,	
korkot,	করকট,	কর্কট,	
venish,	ভেনিস,	ভেনিস,	
faj,	ফাজ,	ফাজ,	
ray,	রে,	রায়,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
lidara,	লিডার,	লিডার,	
koommandar,	কমান্ডার,	কমাণ্ডার,	
chhereche,	ছেরেছে,	ছেড়েছে,	
iukyaliptasa,	ইউক্লিকিপ্টাস,	ইউক্যালিপ্টাস,	
netherland,	নেথারল্যান্ড,	নেদারল্যান্ড,	
heriser,	হেরিসের,	হ্যারিসের,	
daktikite,	ডাক্তিকেতে,	ডাকটিকিটে,	
ayantarketika,	অ্যান্টরেকিট,	অ্যান্টার্কটিকা,	
goreeb,	গরীব,	গরিব,	
koota,	কোট,	কোটা,	
utsahomulak,	উৎসামূলক,	উৎসাহমূলক,	
ojowno,	অযোন্য,	অযৌন,	
kattar,	কাটার,	কট্টর,	
koreemke,	করিমকে,	করিমকে,	
bosturoi,	বস্তুরাই,	বস্তুরই,	
debholapar,	ডেভলপার,	ডেভলপার,	
transformarer,	ট্রান্সমরারের,	ট্রান্সফরমারের,	
ghenshei,	ঘেনসেই,	ঘেঁষেই,	
phox,	ফক্স,	ফক্স,	
sarjur,	সর্জুর,	সরযূর,	
khanonkaaj,	খননকাজ,	খননকাজ,	
harrisoner,	হররিসনের,	হ্যারিসনের,	
swartho,	স্বার্থ,	স্বার্থ,	
stonehenje,	স্টোনেহি,	স্টোনহেঞ্জ,	
prostutkarok,	প্রস্তুতকরক,	প্রস্তুতকারক,	
elakasoho,	এলাকাসহ,	এলাকাসহ,	
hajeerhatt,	হাজীরতা,	হাজিরহাট,	
chhattrorai,	ছাত্ররাই,	ছাত্ররাই,	
popeke,	পপেকে,	পোপকে,	
odhuna,	অধুনা,	অধুনা,	
upobaaser,	উপবাসের,	উপবাসের,	
durgatsober,	দুর্ঘতস্বের,	দুর্গোৎসবে,	
tunar,	টুনার,	টিউনার,	
dailee,	দেলি,	ডেইলি,	
ddhila,	ঢিলা,	ঢিলা,	
kash,	কাশ,	কাস,	
matrikar,	মাত্রিকার,	মাতৃকার,	
bonbhumi,	বনভূমি,	বনভূমি,	
chet,	চেট,	চ্যাট,	
sampadankari,	সম্পাদকনারী,	সম্পাদনকারী,	
sudhui,	সুধ্যই,	শুধুই,	
proman,	প্রমাণ,	প্রমান,	
otitkaley,	অতিত্কালে,	অতীতকালে,	
pooshteer,	পুষ্টির,	পুষ্টির,	
sahoocorzoe,	সহকোর্যে,	সাহচর্যে,	
dipke,	দিপকে,	দ্বীপকে,	
yaak,	ইয়াক,	ইয়াক,	
monhputo,	মনশপুত,	মনঃপুত,	
elahabade,	এলাহাবাদে,	এলাহাবাদে,	
machsaho,	মাসসহ,	মাছসহ,	
manober,	মনবের,	মানবের,	
tecno,	টেকনো,	টেকনো,	
chhidropothe,	ছিদ্রপথে,	ছিদ্রপথে,	
murader,	মুরাদের,	মুরাদের,	
isahak,	ইসহাক,	ইসাহাক,	
hugh,	হুঘ,	হিউজ,	
batikromee,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
abheedhaneeck,	অভিধানিক,	অভিধানিক,	
floodliter,	ফ্লুডিটের,	ফ্লাডলাইটের,	
phern,	ফার্ন,	ফার্ন,	
sbaajaner,	স্বাজনের,	স্বজনের,	
durgotshober,	দুর্ঘটস্বের,	দুর্গোৎসবে,	
sayanaida,	সায়ানেড,	সায়ানাইড,	
udbodhaner,	উদ্বোধনের,	উদ্বোধনের,	
progreshsh,	প্রগ্রেস,	প্রগ্রেস,	
parks,	পার্কস,	পার্কস,	
inapharameshana,	ইনফরমেশন,	ইনফরমেশন,	
canservatian,	কনসারভেশন,	কনসারভেশন,	
hole,	হলে,	হোল,	
bhadaka,	ভাদাকা,	ভদকা,	
jaistha,	জৈস্ঠ্য,	জ্যৈষ্ঠ,	
transformerer,	ট্রান্সমরারের,	ট্রান্সফরমারের,	
uuipokar,	উৌপাকার,	উইপোকার,	
eshoshiyetasha,	এস্যিসেট,	এসোসিয়েটস,	
cn,	এনএএএ,	সিএন,	
protizogiira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
pudding,	পুদ্দিং,	পুডিং,	
omitrakkhor,	অমিত্রক্ষর,	অমিত্রাক্ষর,	
vaticaner,	ভ্যাটিকানের,	ভ্যাটিকানের,	
karmokerer,	কর্মকের,	কর্মকারের,	
duburyra,	দুবরীরা,	ডুবুরিরা,	
elakayi,	এলাকাই,	এলাকাই,	
dristihin,	দৃষ্টিহীন,	দৃষ্টিহীন,	
kormosompadon,	কর্মস্মোপন,	কর্মসম্পাদন,	
kortaa,	করতা,	করতা,	
sekarane,	সেকারণে,	সেকারণে,	
prakalpatikey,	প্রকাপপিতে,	প্রকল্পটিকে,	
nesnosh,	নেশন্স,	নেশনস,	
messengerer,	মেসেন্জারের,	মেসেঞ্জারের,	
jarool,	জরুল,	জারুল,	
zealand,	জেল্যান্ড,	জিল্যান্ড,	
pustio,	পুষ্টিও,	পুষ্টি,	
besirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
bishashke,	বিশ্বাসকে,	বিশ্বাসকে,	
moshleh,	মসলেহ,	মোসলেহ,	
ancholeo,	আঞ্চলেও,	অঞ্চলেও,	
noiteekotar,	নৈতিকতার,	নৈতিকতার,	
addabaaz,	আদ্াব্যাজ,	আড্ডাবাজ,	
gasthi,	গাস্থি,	গোষ্ঠী,	
prabhuder,	প্রভূদের,	প্রভুদের,	
shkolashtik,	স্কলাসটিক,	স্কলাস্টিক,	
aazaadeer,	আজাদীর,	আজাদীর,	
udvabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
scholarsip,	স্কলারশিপ,	স্কলারশিপ,	
windo,	ভিন্দো,	উইন্ডো,	
falashrutiti,	ফলস্রুিটি,	ফলশ্রুতি,	
voolapuk,	ভুলাপুক,	ভোলাপুক,	
sosoa,	সোসা,	শশা,	
sorano,	সরানো,	সরানো,	
cherechhe,	চেরেছে,	ছেড়েছে,	
fox,	ফক্স,	ফক্স,	
baek,	ব্যাক,	বাইক,	
hillse,	হিলসে,	হিলসে,	
harris,	হ্যারিস,	হ্যারিস,	
kormer,	কর্মের,	কর্মের,	
ancholgoolir,	আঞ্চলগুলির,	অঞ্চলগুলির,	
loukeekota,	লৌকিকাতা,	লৌকিকতা,	
vastuvad,	বস্তুবাদ,	বস্তুবাদ,	
