shashoto,	শাসত,	শাশ্বত,	
cheekitshar,	চিকিৎসার,	চিকিত্সার,	
eenameela,	এনামেলা,	এনামেল,	
shelim,	সেলিম,	সেলিম,	
bishwash,	বিশ্বাস,	বিশ্বাস,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
kanasarabheeshana,	কনসারেশন,	কনসারভেশন,	
ancholtitey,	আঞ্চলতিতে,	অঞ্চলটিতে,	
ileeing,	এলিং,	ইলিং,	
mesenjar,	মেজেঞ্জার,	মেসেঞ্জার,	
karlosh,	কার্লস,	কার্লোস,	
bronjer,	ব্রঞ্জের,	ব্রোঞ্জের,	
ducktickete,	ডাকটিকেট,	ডাকটিকিটে,	
chetonagoto,	চেতনাগত,	চেতনাগত,	
jojyota,	যো্যতা,	যোজ্যতা,	
yuqeliptas,	ইকযালিউফিস্টা,	ইউক্যালিপ্টাস,	
charger,	চার্গার,	চার্জার,	
gonohottar,	গণহাত্তার,	গণহত্যার,	
keuyi,	কেউই,	কেউই,	
khanonkaj,	খননকাজ,	খননকাজ,	
paite,	পয়েট,	পাইতে,	
difinision,	ডিফিনিশন,	ডেফিনেশন,	
alympic,	অলিম্পিক,	অলিম্পিক,	
naitikbhabey,	নাইটিকভাবে,	নৈতিকভাবে,	
fotanor,	ফোটোনোর,	ফোটানোর,	
majdur,	মজ্দুর,	মজদুর,	
sossar,	সসার,	সকার,	
granthe,	গ্রন্থে,	গ্রন্থে,	
nothivukto,	নথিিভুক্ত,	নথিভুক্ত,	
byanger,	ব্যাংজের,	ব্যাঙের,	
oncholshomuh,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
tintike,	তিনটিকে,	তিনটিকে,	
dhaleshwari,	ধালেশ্বরি,	ধলেশ্বরী,	
priitii,	প্রীতি,	প্রিটি,	
oitihyer,	ঐতিহের,	ঐতিহ্যের,	
nagarik,	নগরীক,	নাগরিক,	
baruklin,	ব্যারকলিন,	ব্রুকলিন,	
kanisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
naabbota,	নব্যতা,	নাব্যতা,	
udichi,	উদিচি,	উদীচী,	
timesh,	টাইমস,	টাইমস্,	
jank,	জাঁক,	জাঁক,	
prottokhovabe,	প্রত্যকভাবে,	প্রত্যক্ষভাবে,	
gandhiir,	গান্ধীর,	গান্ধীর,	
expresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
abheedhaneeck,	অভিধানিক,	অভিধানিক,	
simaa,	সিমা,	সীমা,	
protijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
rajballav,	রাজবলবলা,	রাজবল্লভ,	
allubokhara,	অল্বুকারা,	আলুবোখারা,	
orunima,	অরুনিমা,	অরুণিমা,	
priimoo,	প্রিমও,	প্রিমো,	
tukroke,	তুক্রকে,	টুকরোকে,	
tuning,	টানিং,	টিউনিং,	
rubol,	রুবল,	রুবল,	
biplabeer,	বিপ্লবির,	বিপ্লবীর,	
poscate,	পশ্চাতে,	পশ্চাতে,	
expose,	এক্সপোজ,	এক্সপোজ,	
khelafotey,	খেলাফতে,	খেলাফতে,	
serverey,	সার্ভারে,	সার্ভারে,	
poster,	পোস্টার,	পোস্টের,	
snepara,	স্পাার,	স্নাইপার,	
choddo,	চদ্দ,	চোদ্দো,	
sip,	শিপ,	শিপ,	
amerikar,	এমেরিকার,	আমেরিকার,	
kabutarer,	কবুটরের,	কবুতরের,	
chalachchitrai,	চলচিত্রী,	চলচ্চিত্রই,	
rushad,	রুশাদ,	রুশদ,	
shivraj,	শিবরাজ,	শিবরাজ,	
ikbaler,	একবলের,	ইকবালের,	
haphej,	হাফেজ,	হাফেয,	
ancient,	এনশেন্ট,	এনসিয়েন্ট,	
adorsho,	আদর্শ,	আর্দশ,	
tigers,	টাইগার্স,	টাইগার্স,	
rachanakal,	রচনাকল,	রচনাকাল,	
chhatogolper,	ছোটোগল্পরর,	ছোটগল্পের,	
robotic,	রোবতিক,	রোবোটিক,	
parichchhannata,	পরিচ্ছনতা,	পরিচ্ছন্নতা,	
emargency,	এমারগেন্সি,	এমার্জেন্সি,	
umedpur,	উমেদপুর,	উমেদপুর,	
grambashi,	গ্রামবাসী,	গ্রামবাসী,	
jekhan,	যেখান,	যেখান,	
arthanitir,	অর্থনীতির,	অর্থনীতির,	
heightsh,	হেইটস,	হাইটস,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
kathhmandute,	কাঠনমদ্তে,	কাঠমান্ডুতে,	
chhutochhooti,	ছুটুছুটি,	ছুটোছুটি,	
falkati,	ফলকাটি,	ফলকটি,	
koommatei,	কমাতেই,	কমাতেই,	
pachchi,	পাচ্ছি,	পাচ্ছি,	
akkhunno,	অক্ষুন্ন,	অক্ষুণ্ণ,	
ranangoney,	রণাঙ্গনে,	রণাঙ্গনে,	
kartona,	কর্তনা,	করতনা,	
moithili,	মৈথিলি,	মৈথিলি,	
granthaty,	গ্রন্থাটি,	গ্রন্থটি,	
landey,	লন্ডে,	ল্যান্ডে,	
athar,	আঠার,	আতহার,	
shefard,	সেফর্ড,	শেফার্ড,	
chiranton,	চিরান্তন,	চিরন্তন,	
militarite,	মিলিটারিটে,	মিলিটারিতে,	
astikra,	অস্তিকরা,	আস্তিকতা,	
toruner,	তরুণের,	তরুণের,	
thailandshoho,	থালান্দসহ,	থাইল্যান্ডসহ,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
ajeej,	আজিজ,	আজিজ,	
satarkota,	সর্তকতা,	সতর্কতা,	
tookror,	টুকরার,	টুকরোর,	
bhenna,	ভেনা,	ভেন্না,	
monohor,	মনোহর,	মনোহর,	
plato,	প্লোত,	প্লেটো,	
ieub,	ইউএব,	আইইউবি,	
bujhechhila,	বুঝেছিলে,	বুঝেছিল,	
heeja,	হেজা,	হেজ,	
vageroi,	ভাগেরই,	ভাগেরই,	
konflict,	কনফলিিক্ট,	কনফ্লিক্ট,	
partho,	পার্থ,	পার্থ,	
yatharthabhabe,	যথারথাবে,	যথার্থভাবে,	
donut,	দনত,	ডোনাট,	
samoshtigato,	সমস্তিগত,	সমষ্টিগত,	
kirkuk,	কিরকুক,	কিরকুক,	
footbalarer,	ফুটবলরের,	ফুটবলারের,	
gora,	গরা,	গোর,	
khudey,	খুদে,	ক্ষুদে,	
hul,	হুল,	হুল,	
bisheshyo,	বিশেষও,	বিশেষ্য,	
thetcher,	থিচার,	থ্যাচার,	
anchalsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
lutheeran,	লুথারন,	লুথেরান,	
jens,	জেন্স,	জিন্স,	
skolastic,	স্কলস্টিক,	স্কলাস্টিক,	
prottokkhovabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
satarkabhabey,	সতরককভাবে,	সতর্কভাবে,	
madhoori,	মাধুরি,	মাধুরী,	
brake,	ব্র্য,	ব্রেক,	
jaksa,	যক্সা,	যক্ষ,	
mausum,	মাসুম,	মৌসুম,	
motar,	মোটার,	মুতার,	
station,	স্টেশন,	ষ্টেশন,	
songbadmadhyomgulote,	সংবাধম্যমূলে,	সংবাদমাধ্যমগুলোতে,	
jathartho,	যথারথথ,	যথার্থ,	
dristihin,	দৃষ্টিহীন,	দৃষ্টিহীন,	
sainyasoho,	সৈন্যাসহ,	সৈন্যসহ,	
zoneser,	জনসের,	জোন্সের,	
bhyaatikaaner,	ভ্যিতিকানের,	ভ্যাটিকানের,	
harj,	হ্যার্জ,	হার্জ,	
phutbolarra,	ফুটওলরররা,	ফুটবলাররা,	
kormyi,	কর্মই,	কর্মই,	
somsher,	সমশের,	সমশের,	
jerusalem,	জিরুসলিম,	জেরুসালেম,	
bandike,	বন্দিকে,	বন্দীকে,	
zubokra,	যুবকার,	যুবকরা,	
ivil,	এভিল,	ইভিল,	
ganoporibahon,	গণপরিবাহন,	গণপরিবহন,	
kasper,	কাষপের,	ক্যাসপার,	
laiseensa,	লাইসেন্স,	লাইসেন্স,	
yaach,	ই্যাচ,	ইয়াক,	
katbey,	কাটবে,	কাটবে,	
nodigulir,	নদীগুলির,	নদীগুলির,	
biqe,	বিকে,	বাইক,	
paschater,	পশ্চাতের,	পশ্চাতের,	
bharkendra,	ভর্কেন্দ্র,	ভরকেন্দ্র,	
chhayi,	ছাই,	ছাই,	
kanshater,	কাসাাটের,	কানসাটের,	
nirmaankaj,	নির্মাংকাজ,	নির্মাণকাজ,	
arik,	এরিক,	আরিক,	
teta,	টাটা,	টেটা,	
wolapuk,	ওলাপাক,	ভোলাপুক,	
soommitrar,	সুমিত্রার,	সুমিত্রার,	
vandare,	ভান্ডারে,	ভাণ্ডারে,	
dayana,	ডোয়ান,	ডায়না,	
cholocchitrigulor,	চলচিচ্লগুলোর,	চলচ্চিত্রগুলোর,	
poorohitra,	পুরোহিত্র,	পুরোহিতরা,	
motion,	মোটিও,	মোশন,	
osthisondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
bohubar,	বহুবার,	বহুবার,	
vdp,	এিডিপি,	ভিডিপি,	
bosturyi,	বস্তুরিই,	বস্তুরই,	
chalochchitroke,	চলচিচ্ত্রকে,	চলচ্চিত্রকে,	
chopol,	চপল,	চপল,	
bagdadii,	বাদ্াদাই,	বাগদাদী,	
dibug,	দিবুগ,	ডিবাগ,	
hajirhat,	হজিরহাট,	হাজিরহাট,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
rubidium,	রুবিডিয়া,	রুবিডিয়াম,	
vaisaho,	ভাইসহ,	ভাইসহ,	
tauki,	তৌকী,	তকি,	
afjal,	আফজাল,	আফজল,	
grambaasider,	গ্র্বাসবাসীদের,	গ্রামবাসীদের,	
caramiks,	ক্যারামিক্স,	সিরামিকস,	
rohosyoti,	রহস্যটি,	রহস্যটি,	
duple,	ডাপলে,	ডুপ্লে,	
ekghare,	একগারে,	একঘরে,	
behrampurer,	বাহরমপুরের,	বহরমপুরের,	
aagera,	আগেরা,	আগোরা,	
shhcholashtic,	স্কলস্টিক,	স্কলাস্টিক,	
marryir,	মেরির,	ম্যারির,	
ap,	এপি,	আপ,	
reshidence,	রেসিডেন্স,	রেসিডেন্স,	
taoonship,	টানশিপ,	টাউনশিপ,	
grambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
mathieu,	মাথিও,	ম্যাথিউ,	
protista,	প্রতিষ্ট,	প্রতিষ্টা,	
ghoshito,	ঘষিত,	ঘোষিত,	
mane,	মেন,	মানে,	
deputi,	দেপুিি,	ডেপুটি,	
hurricanee,	হুরিকানি,	হ্যারিকেন,	
aaminar,	আমিনার,	আমিনার,	
aidii,	এইডই,	আইডিই,	
pachak,	পছক,	পাচক,	
gazeetteed,	গজজেটিদ,	গেজেটেড,	
engrezra,	ইংরেজরা,	ইংরেজরা,	
seqtara,	সেক্টর,	সেক্টর,	
goolen,	গুলেন,	গুলেন,	
gobeshonagar,	গবেষণাগার,	গবেষনাগার,	
choudhoorider,	চৌধুরীদের,	চৌধুরীদের,	
abarto,	আবর্ত,	আবর্ত,	
megher,	মেঘের,	মেঘের,	
verma,	ভার্মা,	ভার্মা,	
norfolk,	নর্ফলক,	নরফোক,	
oitijjha,	ঐতিহ্য,	ঐতিহ্য,	
manhputo,	মানপুত,	মনঃপুত,	
nesnosh,	নেষসন,	নেশনস,	
sukkhma,	সূক্ষ্ম,	সুক্ষ্ম,	
khelaphatey,	খেলাফাতে,	খেলাফতে,	
ivaner,	ইভানের,	ইভানের,	
hepataitisha,	হেপাইটাইটিস,	হেপাটাইটিস,	
shringgey,	শ্রীঙে,	শৃঙ্গে,	
shahab,	সাহাব,	সাহাব,	
madhobike,	মাধবীকে,	মাধবীকে,	
emiretus,	এমেরিটাস,	এমিরেটাস,	
vangle,	ভাঙেলে,	ভাঙলে,	
osamonjoshyopurno,	অসমাস্যপূর্ণপূ,	অসামঞ্জস্যপূর্ণ,	
chalachchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
ja,	জা,	জ্যা,	
taoonsheep,	টানশিপ,	টাউনশিপ,	
goodamjato,	গুদামজাত,	গুদামজাত,	
probhu,	প্রভূ,	প্রভু,	
leader,	লেডার,	লিডার,	
poderthobid,	পদার্থবিদ,	পদার্থবিদ,	
kaathhmaandute,	কাঠামন্ডুতে,	কাঠমান্ডুতে,	
nirapattamulok,	নিরাপত্তমূলক,	নিরাপত্তামূলক,	
dipgulote,	দ্বীগুলোতে,	দ্বীপগুলোতে,	
vagno,	ভগ্ন,	ভগ্ন,	
gezeted,	গেজেটেড,	গেজেটেড,	
ooeepoka,	উইপোকা,	উইপোকা,	
pacbbar,	পাঁচবার,	পাঁচবার,	
vip,	ভিপ,	ভিআইপি,	
porishongkhyanbid,	পরিসংখাবি্্দ,	পরিসংখ্যানবিদ,	
harbore,	হারবরে,	হারবারে,	
itastato,	ইতাসতত,	ইতস্ততঃ,	
dormitoree,	ডরমেটরি,	ডরমিটরি,	
ajimpur,	আজিমপুর,	আজিমপুর,	
salmaner,	স্লাম্যানের,	সালমানের,	
bima,	বিমা,	বিম,	
pachhi,	পাছি,	পাচ্ছি,	
niranjan,	নিরঞ্জন,	নিরঞ্জন,	
hud,	হুড,	হুড,	
utsahamulok,	উৎসাহূলক,	উৎসাহমূলক,	
tintir,	তিনটির,	তিনটির,	
minishter,	মিনিস্টের,	মিনিস্টার,	
gonona,	গণনা,	গণনা,	
cholocchitroi,	চলচিত্রই,	চলচ্চিত্রই,	
papri,	পাপ্রি,	পাপরি,	
vvejaano,	ভেজানো,	ভেজানো,	
lambatey,	লম্বাতে,	লম্বাটে,	
residance,	রেসিডেন্স,	রেসিডেন্স,	
kadarer,	কাদারের,	কদরের,	
pooshtir,	পুস্তির,	পুষ্টির,	
matrirup,	মাত্রিরূপ,	মাতৃরূপ,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
fatakeshto,	ফতেকেস্ট,	ফাটাকেষ্ট,	
asiph,	আসিফ,	আসিফ,	
parikshateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
rajotwa,	রাজত্ব,	রাজত্ব,	
gronthotike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
jillool,	জিল্লুল,	জিল্লুল,	
sheekar,	শিকার,	শিকার,	
shhepha,	সেফ,	শেফ,	
volt,	ভল্ট,	ভল্ট,	
bondi,	বন্দি,	বন্দী,	
poddhotitei,	পদ্ধতিটেই,	পদ্ধতিতেই,	
ingreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
dakhbaar,	দখবার,	দেখবার,	
heja,	হেজা,	হেজ,	
gobeshonar,	গবেষণার,	গবেষনার,	
ayantarketika,	অ্যান্টর্টিকেট,	অ্যান্টার্কটিকা,	
dobhara,	ডভারা,	ডোভার,	
gostigulo,	গস্তিগুলো,	গোষ্ঠীগুলো,	
bolbo,	বলবো,	বলবো,	
batikromshalee,	বাতিক্রশামলী,	ব্যতিক্রমধর্মী,	
komtee,	কমটি,	কমতি,	
erina,	এরিনা,	এরিনা,	
onkeeta,	অংকেতা,	অঙ্কিতা,	
