chhaanake,	ছানকে,	ছানাকে,	
janosomaj,	জনসমাজ,	জনসমাজ,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
ileeing,	এলিং,	ইলিং,	
shchalastic,	স্কলাস্টিক,	স্কলাস্টিক,	
hiranee,	হিরনী,	হিরানি,	
shef,	সেফ,	শেফ,	
hafez,	হাফেজ,	হাফেয,	
somaazer,	সমাজের,	সমাজের,	
pothon,	পথন,	পঠন,	
udbhabon,	উদ্ভবন,	উদ্ভাবন,	
protijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
chess,	চেষ,	চেস,	
poschimae,	পশ্চিমা,	পশ্চিমে,	
shikara,	শিকারা,	শিকার,	
basaa,	বসা,	বাসা,	
seekkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
treta,	ট্রেট,	ত্রেতা,	
durbhagya,	দুর্ভাগ্য,	দূর্ভাগ্য,	
puddin,	পুদ্দিন,	পুডিং,	
visnu,	ভিষ্ণু,	বিষ্ণু,	
jotharthovabey,	যথার্থভাবে,	যথার্থভাবে,	
kyanela,	ক্যানেল,	ক্যানেল,	
ancholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
carymb,	করিম্ব,	করিম,	
garjon,	গর্জন,	গর্জন,	
byabaharkareei,	ব্যবহারকারী,	ব্যবহারকারীই,	
streegan,	স্ত্রীগণ,	স্ত্রীগণ,	
jekhan,	যেখান,	যেখান,	
inphormation,	ইনফর্মেশন,	ইনফরমেশন,	
biplobi,	বিপ্লবি,	বিপ্লবী,	
injiniyarsa,	ইন্জিজার্স,	ইঞ্জিনিয়ার্স,	
soya,	শোয়া,	সোয়া,	
troup,	ট্রুপ,	ট্রুপ,	
utpatti,	উৎপত্তি,	উতপত্তি,	
halding,	হালিড,	হোল্ডিং,	
chalochchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
falokti,	ফললকি,	ফলকটি,	
bosstonte,	বস্তন্তে,	বসন্তে,	
bird,	বার্ড,	বার্ড,	
jamjamat,	জামজমত,	জমজমাট,	
gaiche,	গাছে,	গাইছে,	
istoon,	ইস্টন,	স্টোন,	
rudrer,	রুদ্রের,	রুদ্রের,	
miley,	মিলে,	মাইলে,	
shumo,	সুম,	সুমো,	
creshcent,	ক্রেসেেন্ট,	ক্রিসেন্ট,	
patterne,	প্যাটার্ন,	প্যাটার্নে,	
laat,	লাট,	লাট,	
harbare,	হরবারে,	হারবারে,	
chani,	চানি,	ছানি,	
bilati,	বিলাটি,	বিলাতী,	
mugdaal,	মুগদল,	মুগডাল,	
sakar,	সকার,	সকার,	
gronthowo,	গ্রন্থও,	গ্রন্থও,	
oitihye,	ঐতিহ্যে,	ঐতিহ্যে,	
dinifitian,	ডিনিফিয়েশন,	ডেফিনেশন,	
chittronattokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
uponisoder,	উপনিশোদের,	উপনিষদের,	
mahasova,	মহাসভা,	মহাসভা,	
atyacharito,	অত্যচারিত,	অত্যাচারিত,	
homasa,	হোমস,	হোমস,	
jeess,	জিস,	জেস,	
siramiker,	শিরামিকের,	সিরামিকের,	
advut,	আদভূত,	অদ্ভুত,	
monhputa,	মনপুত,	মনঃপুত,	
damodar,	দামোদর,	দামদর,	
oshamanno,	অসমান্য,	অসামান্য,	
faj,	ফ্যাজ,	ফাজ,	
choudhureer,	চৌধুরীর,	চৌধুরীর,	
chalachchitrake,	চলচিত্রকে,	চলচ্চিত্রকে,	
krus,	ক্রাশ,	ক্রুশ,	
neutrino,	নিউট্রিনো,	নিউট্রিনো,	
moricha,	মরিচা,	মরিচা,	
arthanitir,	অর্থনীতির,	অর্থনীতির,	
niropekkho,	নিরপেক্ষ,	নিরপেক্ষ,	
elaakaai,	এলাকাই,	এলাকাই,	
korimke,	করিমকে,	করিমকে,	
karpeeta,	কর্পট,	কার্পেট,	
pronoti,	প্রণতী,	প্রণতি,	
purbanchole,	পূর্বাঞ্চলে,	পূর্বাঞ্চলে,	
modhumotii,	মধুমতি,	মধুমতী,	
turkamena,	তুর্কমেন,	তুর্কমেন,	
chhuteer,	ছুটির,	ছুটির,	
paitey,	পাইে,	পাইতে,	
jemser,	জেএসের,	জেমসের,	
grantho,	গ্রন্থ,	গ্রন্থ,	
sangbadmadhyamgulote,	সংবাদমোগ্লোতে,	সংবাদমাধ্যমগুলোতে,	
nirbachokder,	নির্বাচকদের,	নির্বাচকদের,	
nothivukteer,	নথিভুক্তির,	নথিভুক্তির,	
dharavassokar,	ধারাভাসকার,	ধারাভাষ্যকার,	
scholastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
kottor,	কত্বর,	কট্টর,	
gostigoolo,	গোষ্টিগুলো,	গোষ্ঠীগুলো,	
dharabahikvabe,	ধারাবাভিকভাবে,	ধারাবাহিকভাবে,	
methaner,	মেঠানের,	মিথেনের,	
lyand,	ল্যান্ড,	ল্যান্ড,	
gondho,	গন্ধ,	গন্ধে,	
piruzali,	পিরুজালি,	পিরুজালী,	
amstrang,	আমস্ট্রাং,	আর্মস্ট্রং,	
biseshyer,	বিশেষের,	বিশেষ্যের,	
shatoke,	শতকে,	শতকে,	
farex,	ফরেক্স,	ফরেক্স,	
shukranu,	শুক্রাণু,	শুক্রানু,	
ujobekeestaner,	উজবেস্তানের,	উজবেকিস্তানের,	
osamarik,	অসামারিক,	অসামরিক,	
pravur,	প্রভূর,	প্রভুর,	
bardhitaanas,	বর্ধিতান,	বর্ধিতাংশ,	
babylon,	বেবিলন,	ব্যাবিলন,	
ekhate,	এখাতে,	একহাতে,	
sow,	সও,	শো,	
archimedeser,	আর্চিমেসের,	আর্কিমিডিসের,	
farn,	ফর্ন,	ফার্ন,	
lokeson,	লোকেশন,	লোকেশন,	
kaferderkey,	কাফেরদেরকে,	কাফেরদেরকে,	
koilas,	কৈলাশ,	কৈলাস,	
bodhirota,	বধিরতা,	বধিরতা,	
baagicar,	বাযিকার,	বাগিচার,	
cholochchitreer,	চলচিত্রের,	চলচ্চিত্রের,	
mitro,	মিত্রো,	মিত্রও,	
bohubar,	বহুবার,	বহুবার,	
saatzon,	সাজজন,	সাতজন,	
besuro,	বেশুর,	বেসুর,	
seeramiks,	সিরামিক্স,	সিরামিকস,	
dharmi,	ধর্মি,	ধর্মী,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
jansa,	জান্স,	জন্স,	
bbosonto,	বসন্ত,	বসন্ত,	
craze,	ক্রেজ,	ক্রেজ,	
prema,	প্রেম,	প্রাইম,	
machsoho,	মাসহ,	মাছসহ,	
choudhurider,	চৌধুরীদের,	চৌধুরীদের,	
dower,	দেভার,	ডোভার,	
antorvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
baraak,	ব্যারাক,	বারাক,	
adorso,	আদর্শ,	আর্দশ,	
choopi,	চুপি,	চুপি,	
matthew,	মাঠেও,	ম্যাথিউ,	
chargar,	চর্গার,	চার্জার,	
rushad,	রুশদ,	রুশদ,	
sithilota,	সিথীলতা,	শিথিলতা,	
prakalpati,	প্রকল্পটি,	প্রকল্পটি,	
qrisenta,	ক্রিনেন্ট,	ক্রিসেন্ট,	
jalrong,	জরলং,	জলরঙ,	
rifleksa,	রাইফেলক্স,	রিফ্লেক্স,	
hajarti,	হজরটি,	হাজারটি,	
utkhater,	উত্ষ্ের,	উৎখাতের,	
thai,	ঠাই,	থাই,	
somaptir,	সমাপ্তির,	সমাপ্তির,	
hastantar,	হস্তন্তার,	হস্তান্তর,	
dharavahikti,	ধারাভাকিতি,	ধারাবাহিকটি,	
dijeejer,	দিজিজের,	ডিজিজের,	
cholechi,	চলেছি,	চলেছি,	
vvimsenn,	ভিমসেন,	ভীমসেন,	
ekkoghore,	একঘরে,	একঘরে,	
volapuk,	ভোলাপুক,	ভোলাপুক,	
sangbadmadhyame,	সংবাদম্যাে,	সংবাদমাধ্যমে,	
pretii,	প্রতী,	প্রিটি,	
becha,	বেচা,	বেচা,	
oteeteo,	অতিতেও,	অতীতেও,	
protistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
sasharire,	শশরীরে,	সশরীরে,	
agam,	আগাম,	আগম,	
zuktorastreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
kartona,	কর্তন,	করতনা,	
chomsky,	চমসকি,	চমস্কি,	
abheedhanick,	অভিধানিক,	অভিধানিক,	
bonovumite,	বনভূমিতে,	বনভূমিতে,	
shoochonakal,	সূচনাকাল,	সূচনাকাল,	
heriken,	হেরিকেন,	হ্যারিকেন,	
iukyaliptasa,	ইউক্যুলিপ্টা,	ইউক্যালিপ্টাস,	
dephinesana,	ডেফিনিশন,	ডেফিনেশন,	
tarunra,	তরুণরা,	তরুণরা,	
prakalpoo,	প্রকল্প,	প্রকল্পও,	
melbourney,	মেলবর্নে,	মেলবোর্নে,	
mootar,	মোটর,	মুতার,	
jibanto,	জীবন্ত,	জীবন্ত,	
uponeeshoder,	উপনিশোদের,	উপনিষদের,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
armstronj,	আর্সম্ট্রজ,	আর্মস্ট্রং,	
bohoodin,	বহুদীন,	বহুদিন,	
abasarer,	অবসারের,	অবসরের,	
thesiser,	থেসিসের,	থিসিসের,	
vool,	ভুল,	উল,	
toroonra,	তরুণা,	তরুণরা,	
chaanu,	চানু,	চানু,	
taurat,	তৌরাত,	তওরাত,	
poshchate,	পশ্চাতে,	পশ্চাতে,	
wedanta,	উদেন্ট,	বেদান্ত,	
ministar,	মিনিস্টার,	মিনিস্টার,	
jarmaniteo,	জার্মানিতেও,	জার্মানিতেও,	
sachetanbhabe,	সাচেতনভাবে,	সচেতনভাবে,	
markeetim,	মার্কেটিং,	মার্কেটিং,	
uporitaley,	উপরিতলে,	উপরিতলে,	
chhaani,	ছানি,	ছানি,	
shajano,	শাজানো,	সাজানো,	
aholyar,	অহল্র,	অহল্যার,	
alankaron,	অলংকরণ,	অলঙ্করণ,	
antarvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
templete,	টেম্পলিটে,	টেম্পলেট,	
chalachchitratike,	চলচিচ্রাতিকে,	চলচ্চিত্রটিকে,	
qaferderkey,	কাফেরদেরকে,	কাফেরদেরকে,	
shiramiksh,	শিরামিক্স,	সিরামিকস,	
dipgulote,	দিপুলোতে,	দ্বীপগুলোতে,	
paschimey,	পশ্চিমে,	পশ্চিমে,	
maricha,	মেরিক,	মরিচা,	
bajhyo,	বাঝ্য,	বাহ্য,	
granthati,	গ্রন্থটি,	গ্রন্থটি,	
sangasthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
bosobben,	বসবেন,	বসবেন,	
abhidhaneec,	অভিধানিক,	অভিধানিক,	
pleeta,	প্লেট,	প্লেট,	
orohan,	অরোহণ,	ওরহান,	
themekey,	থেমেকে,	থিমকে,	
kriita,	কৃত,	ক্রীট,	
prabhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
pleta,	প্লট,	প্লেট,	
aansareer,	আনসারির,	আনসারীর,	
udbhabaney,	উদ্ভবনে,	উদ্ভাবনে,	
economeeks,	ইকোনমিক্স,	ইকোনমিকস,	
dharabhashyakar,	ধারাভাস্যকর,	ধারাভাষ্যকার,	
chalachchitro,	চলচিত্র,	চলচ্চিত্র,	
aamudey,	আমুদে,	আমুদে,	
godavari,	গদাবরী,	গোদাবরী,	
sikkhokder,	শিক্ষকদের,	শিক্ষকদের,	
deezni,	ডিজনি,	ডিজনী,	
balakarak,	বলকারক,	বলকারক,	
bishwash,	বিশ্বাস,	বিশ্বাস,	
mmadhobbir,	মাধবীর,	মাধবীর,	
codee,	কোড,	কোডে,	
ghesei,	ঘেসেই,	ঘেঁষেই,	
janosonjog,	জনসংযোগ,	জনসংযোগ,	
siddhantokey,	সিদ্ধান্তকে,	সিদ্ধান্তকে,	
post,	পোস্ট,	পোষ্ট,	
andamana,	অন্দমনা,	আন্দামান,	
kamla,	কমলা,	কামলা,	
shooknaa,	শুকনা,	শুকনা,	
ramantic,	রামান্টিক,	রোমান্টিক,	
footbalarra,	ফুটবলর্,	ফুটবলাররা,	
songbadmadhyame,	সংবাদম্যাে,	সংবাদমাধ্যমে,	
phirtee,	ফিরতি,	ফিরতি,	
zoubankal,	যৌবনকাল,	যৌবনকাল,	
shansthatir,	সংস্থাটির,	সংস্থাটির,	
germanyteo,	জার্মানিতেও,	জার্মানিতেও,	
shnaipara,	স্ইাইপার,	স্নাইপার,	
azizer,	অজিজের,	আজিজের,	
shcholashtic,	স্কলাস্টিক,	স্কলাস্টিক,	
mauhajote,	মহাজতে,	মহাজোট,	
okritakarja,	অকৃতকর্য,	অকৃতকার্য,	
nirupita,	নিরূপিত,	নিরূপিত,	
kaferderke,	কাফেরদেরকে,	কাফেরদেরকে,	
moushumeo,	মৌসুমেও,	মৌসুমেও,	
armstrong,	আর্মস্ট্রিং,	আর্মস্ট্রং,	
ayantarqatiqa,	আন্টর্কিক,	অ্যান্টার্কটিকা,	
haajarer,	হাজারের,	হাজারের,	
ovarview,	অভার্ভিউ,	ওভারভিউ,	
fake,	ফেক,	ফাকে,	
durger,	দুর্গের,	দুর্গের,	
shreechoitonyodeb,	শ্রীচৈতন্বদেব,	শ্রীচৈতন্যদেব,	
shahabah,	শাহাব,	সাহাবাহ,	
arjora,	অর্জরা,	আর্যরা,	
jes,	জেস,	জেস,	
lisens,	লিসেন্স,	লাইসেন্স,	
shangsthaner,	সংস্থানের,	সংস্থানের,	
uporzon,	উপরজন,	উপার্জন,	
sommotite,	সম্মতিতে,	সম্মতিতে,	
prokolpou,	প্রকল্প,	প্রকল্পও,	
ekatto,	একত্ব,	একাত্ব,	
booth,	বুথ,	বুথ,	
prachuryer,	প্রচুর্যের,	প্রাচুর্যের,	
moogdal,	মুগদল,	মুগডাল,	
gasthike,	গ্ষাস্থিকে,	গোষ্ঠীকে,	
kathmandutey,	কঠঠমন্ডুতে,	কাঠমান্ডুতে,	
saazano,	সাজানো,	সাজানো,	
delibhara,	ডেলিভার,	ডেলিভার,	
code,	কোড,	কোড,	
pretishta,	প্রেটিস্ট,	প্রতিষ্টা,	
eoki,	ইউকি,	এওকি,	
leta,	লেট,	ল্যাটা,	
ray,	রে,	রায়,	
surokarder,	সুরকরদের,	সুরকারদের,	
ralof,	রলফ,	রালফ,	
utkhat,	উৎক্ষত,	উত্খাত,	
kolahal,	কলাহাল,	কোলাহল,	
ashanka,	আশঙ্ক,	আশঙ্কা,	
israeler,	ইসরাইলের,	ইসরাঈলের,	
show,	শো,	শো,	
licensin,	লিসেন্সিং,	লাইসেন্সিং,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
brindabane,	বৃর্ণাবেনে,	বৃন্দাবনে,	
bosante,	বসন্তে,	বসন্তে,	
bagdady,	বাগদাদী,	বাগদাদী,	
manjushree,	মঞুজুস্রী,	মঞ্জুশ্রী,	
sampadankaree,	সম্পাদনকারী,	সম্পাদনকারী,	
asthishondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
milekhanek,	মাইলেনাক,	মাইলখানেক,	
alaoul,	আলাউল,	আলাওল,	
itostatah,	ইতস্ততত,	ইতস্ততঃ,	
shikkhakromer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
aparogata,	অপরগত,	অপারগতা,	
rajshri,	রাজশ্রী,	রাজশ্রী,	
choudhooreeke,	চৌধুরিকে,	চৌধুরীকে,	
ceramics,	কেরামিক্স,	সিরামিকস,	
potengar,	পতেঙার,	পতেঙ্গার,	
kyantana,	ক্যান্টন,	ক্যান্টন,	
chasee,	চাষই,	চেস,	
moddhyekar,	মধ্যাকার,	মধ্যেকার,	
chorchito,	চর্চিত,	চর্চিত,	
bosonto,	বসন্ত,	বসন্ত,	
netsi,	নেৎসি,	নাত্সি,	
thakeni,	থাকেনই,	থাকেনি,	
bhagerei,	ভাগেরই,	ভাগেরই,	
chirata,	চিরত,	চিরতা,	
dristiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
hotelteete,	হটেলটে,	হোটেলটিতে,	
anchalti,	আঞ্চলটি,	অঞ্চলটি,	
injiniyarim,	ইন্জিনেরিং,	ইঞ্জিনিয়ারিং,	
noitik,	নৈতিক,	নৈতিক,	
teoyana,	টেওযান,	তাইওয়ান,	
neurooloogy,	নেউরোলজি,	নিউরোলজি,	
kyatagorir,	ক্যাগোরির,	ক্যাটাগরির,	
vittiei,	ভিতিই,	ভিত্তিই,	
mukhamandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
gobeshokgan,	গবেষকগণ,	গবেষকগণ,	
postay,	পোস্টে,	পোস্টে,	
samanwitabhabe,	সামন্ভ্াভিতভাবে,	সমন্বিতভাবে,	
ispreedsheet,	ইস্পৃরেশি,	স্প্রেডশীট,	
motamoto,	মতামতো,	মতামতও,	
mangolik,	মঙ্গলিক,	মাঙ্গলিক,	
komandar,	কমান্ডার,	কমাণ্ডার,	
military,	মিলিটারী,	মিলিটারি,	
daul,	ডাউল,	দেউল,	
di,	দি,	দিই,	
plak,	প্লক,	প্ল্যাক,	
pathanirdeshona,	পথনির্দেশনা,	পথনির্দেশনা,	
pratyokkhobhabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
moshjidti,	মসজিদটি,	মসজিদটি,	
paksenara,	পক্ষেণার,	পাকসেনারা,	
nodimaatrik,	নদদাতির্ক,	নদীমাতৃক,	
parinati,	পরিনতি,	পরিণতি,	
stark,	স্ট্রাক,	স্টার্ক,	
shrichaitanyadeb,	শ্রীচৈতন্যাবেদ,	শ্রীচৈতন্যদেব,	
vimshen,	ভিমসেন,	ভীমসেন,	
skara,	স্কার,	স্কোর,	
torunderke,	তরুণ্দেরকে,	তরুণদেরকে,	
abheedhaaner,	অভিধানের,	অভিধানের,	
engineers,	ইঞ্জার্জ,	ইঞ্জিনিয়ার্স,	
atwabishvashi,	অত্মাবিস্বাসী,	আত্মবিশ্বাসী,	
durgandha,	দুর্গান্ধ,	দুর্গন্ধ,	
shringgo,	শৃঙ্গ,	শৃঙ্গ,	
gronther,	গ্রন্থের,	গ্রন্থের,	
kodom,	কদম,	কদম,	
sothikata,	সথীকতা,	সঠিকতা,	
agrodut,	অগ্রদূত,	অগ্রদূত,	
gatre,	গোত্রে,	গাত্রে,	
jaqi,	জাকি,	জকি,	
orgho,	অর্ঘ,	অর্ঘ্য,	
kyamone,	ক্যামনে,	কেমনে,	
charchita,	চার্চিত,	চর্চিত,	
jibnagar,	জীবনাগার,	জীবননগর,	
shikshagata,	শিক্ষাগত,	শিক্ষাগত,	
vaabna,	ভাবনা,	ভাবনা,	
janacche,	জানাচ্ছে,	জানাচ্ছে,	
direectoratee,	ডিরেক্টরি,	ডিরেক্টরেট,	
windos,	উইন্ডোজ,	উইন্ডোস,	
danckan,	ডাঁকন,	ডানকান,	
srichoitonyodeb,	শ্রীচৈতন্বদেব,	শ্রীচৈতন্যদেব,	
foloshruti,	ফলশ্রুতি,	ফলশ্রুতি,	
protijogiider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
brooklyn,	ব্রুকলিং,	ব্রুকলিন,	
heza,	হেজা,	হেজ,	
treend,	ট্রেন্ড,	ট্রেন্ড,	
shikarey,	শিকারে,	শিকারে,	
moshzidshoho,	মসিজসহ,	মসজিদসহ,	
samrat,	সমররত,	সম্রাট,	
chalochchitroi,	চলচিত্রে,	চলচ্চিত্রই,	
phutbolarer,	ফুটবলের,	ফুটবলারের,	
ghursen,	ঘুরেছেন,	ঘুরেছেন,	
jeansh,	জিএসএ,	জিন্স,	
paste,	পেষ্টে,	পেষ্ট,	
cool,	কুল,	কুল,	
nariikeyi,	নারীকেই,	নারীকেই,	
skalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
danob,	দানব,	দানব,	
prothakey,	প্রথকে,	প্রথাকে,	
bonduk,	বন্দুক,	বন্দুক,	
jalbe,	জলবে,	জ্বলবে,	
noitikatar,	নৈতিকাতর,	নৈতিকতার,	
bbosben,	বসবেন,	বসবেন,	
bojhar,	বোঝার,	বোঝার,	
kaaru,	কারু,	কারু,	
temani,	তেমনি,	তেমনই,	
amontrito,	এমন্ত্রিত,	আমন্ত্রিত,	
juktorastrosoho,	যুক্তরাস্তর,	যুক্তরাষ্ট্রসহ,	
masjidti,	মাসজিদটি,	মসজিদটি,	
monohputo,	মনপুত,	মনঃপুত,	
yatharthabhabe,	যথার্থভাবে,	যথার্থভাবে,	
aalkaatraa,	আলকাত্রা,	আলকাতরা,	
radhanagar,	রাধানগর,	রাধানগর,	
torun,	তরুণ,	তরুন,	
avishangson,	অভিষংসন,	অভিশংসন,	
setite,	সেটিতে,	সেটিতে,	
asif,	আশিফ,	আসিফ,	
bahal,	বহল,	বহাল,	
amorendra,	অমরেন্দ্র,	অমরেন্দ্র,	
capsule,	কপসলুল,	ক্যাপসুল,	
jaki,	জাকি,	জকি,	
bagichaar,	বাযিচার,	বাগিচার,	
netherland,	নেদারল্যান্ড,	নেদারল্যান্ড,	
durgondho,	দুর্গন্ধ,	দুর্গন্ধ,	
shelim,	সেলিং,	সেলিম,	
postkay,	পোস্টকে,	পোস্টকে,	
bhootara,	ভোটর,	ভোটার,	
gara,	গর,	গোর,	
sambhabanaow,	সম্ভাবনাও,	সম্ভবনাও,	
bibhonno,	বিভন্ন,	বিভন্ন,	
abheegomon,	অভিগমন,	অভিগমন,	
ateetkaale,	অতীতকালে,	অতীতকালে,	
candi,	চণ্ডি,	ক্যান্ডি,	
machder,	মাছদের,	মাছদের,	
panera,	পানের,	পনের,	
mosjidtir,	মসজজিদ্তর,	মসজিদটির,	
songkoloner,	সংকলনের,	সংকলনের,	
homshke,	হমসেক,	হোমসকে,	
karadonder,	কারাদন্ডের,	কারাদণ্ডের,	
rathin,	রথিন,	রথীন,	
pactar,	পাঁচটার,	পাঁচটার,	
lidara,	লিডার,	লিডার,	
dhojovongo,	ধরজঙ্গ,	ধ্বজভঙ্গ,	
oncolei,	অঞ্চলেই,	অঞ্চলেই,	
laabonii,	লাবণী,	লাবনী,	
uzobekeestaaner,	উজবেস্তানের,	উজবেকিস্তানের,	
hisaber,	হিসাবের,	হিসাবের,	
tookror,	টুকর,	টুকরোর,	
adhunikkale,	আধুনিকালে,	আধুনিককালে,	
nabatamo,	নবাতম,	নবতম,	
tecnokryat,	টেকনোক্রোট,	টেকনোক্র্যাট,	
sikarer,	শিকারের,	শিকারের,	
shayanaida,	সায়নন,	সায়ানাইড,	
fartha,	ফোর্থ,	ফার্থ,	
dhormi,	ধর্মি,	ধর্মী,	
phaksa,	ফক্স,	ফক্স,	
pradeep,	প্রদীপ,	প্রদীপ,	
istan,	ইস্তন,	স্টোন,	
masterer,	মাস্টেরের,	মাস্টারের,	
udvabaney,	উদ্ভবনে,	উদ্ভাবনে,	
chalachchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
phutonto,	ফুটন্ত,	ফুটন্ত,	
welaqama,	ওইলাক,	ওয়েলকাম,	
indraa,	ইন্দ্রা,	ইন্দ্র,	
khodeza,	খোদেজা,	খোদেজা,	
maunjiley,	মঞ্জিলে,	মঞ্জিলে,	
arekdol,	আরেকদ,	আরেকদল,	
muktume,	মুকতুমে,	মাকতুম,	
charbon,	চর্বন,	চর্বন,	
tunar,	টুনার,	টিউনার,	
dadaa,	দাদ,	দাদা,	
prakalpao,	প্রকল্পও,	প্রকল্পও,	
gaje,	গেজ,	গেজ,	
janmat,	জন্মাত,	জন্মাত,	
ceramiks,	কেরামিক্স,	সিরামিকস,	
phutonta,	ফুটন্ত,	ফুটন্ত,	
sansthati,	সংস্থাটি,	সংস্থাটি,	
buth,	বুঠ,	বুথ,	
homasha,	হোমশ,	হোমস,	
bhageri,	ভাগেরী,	ভাগেরই,	
barbaadoj,	বরবাদজো,	বার্বাডোজ,	
