jacqson,	জেকসন,	জ্যাকসন,	
pratisthanikvabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
vishhnu,	বিষ্ণু,	বিষ্ণু,	
chitronattakar,	চিত্রনাটক্বর,	চিত্রনাট্যকার,	
asommati,	অসম্মটি,	অসম্মতি,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
elaakai,	এলাকাই,	এলাকাই,	
vabook,	ভাবুক,	ভাবুক,	
duple,	ডাপলল,	ডুপ্লে,	
jonser,	জনসের,	জোন্সের,	
seatey,	সেটে,	সিটে,	
pragreesa,	প্রগ্রেস,	প্রগ্রেস,	
ekpashe,	একপাশে,	একপাশে,	
vobanir,	ভবানীর,	ভবানীর,	
mmesenjarer,	মেসেনজারের,	মেসেঞ্জারের,	
mitar,	মিটার,	মিত্র,	
expresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
twoei,	তৈই,	ত্বকেই,	
kathmandute,	কামন্যুদে,	কাঠমান্ডুতে,	
mosjidtir,	মসিজদির,	মসজিদটির,	
faad,	ফাঁ,	ফুড,	
zoneete,	যোনিতে,	যোনীতে,	
arjora,	অর্জার,	আর্যরা,	
osomorthito,	অসমর্থিত,	অসমর্থিত,	
uporostho,	উপর্্থ,	উপরস্থ,	
manob,	মানব,	মানব,	
faridi,	ফরীদি,	ফরিদী,	
pnouchute,	পৌঁছুতে,	পৌঁছুতে,	
planea,	প্লেয়ান,	প্লেনে,	
romnar,	রোমার,	রমনার,	
aameenar,	আমিনার,	আমিনার,	
sikkhakder,	শিক্ষাকদের,	শিক্ষকদের,	
daltyagi,	দলত্যাগী,	দলত্যাগী,	
tarun,	তারুণ,	তরুন,	
bbiswashe,	বিশ্বাসে,	বিশ্বাসে,	
pouchhute,	পৌঁছতে,	পৌঁছুতে,	
shomsti,	শমসটি,	সমষ্টি,	
shotokey,	শতকে,	শতকে,	
ekirokom,	একিকরম,	একইরকম,	
vangley,	ভাঙলে,	ভাঙলে,	
prabhritir,	প্রভূতির,	প্রভৃতির,	
kailas,	কাইলস,	কৈলাস,	
rigthter,	রিথটের,	রাইটের,	
harees,	হারস,	হ্যারিস,	
aatmobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
fanda,	ফাঁদা,	ফান্ড,	
jesthatar,	যেষ্ঠাতার,	জ্যেষ্ঠতার,	
bonovumi,	বনভূমি,	বনভূমি,	
bhangley,	ভাঙলে,	ভাঙলে,	
shiramikasha,	শিরামিকাস,	সিরামিকস,	
hughes,	হাউস,	হিউজেস,	
bandra,	বন্দ্রা,	বন্দীরা,	
attaar,	আত্মার,	আত্তার,	
kaptai,	কপ্টাই,	কাপ্তাই,	
atto,	আত্ম,	আত্ম,	
cheentaikari,	ছিনতাইকারী,	ছিনতাইকারী,	
ponchaashjon,	পঞ্চাশন,	পঞ্চাশজন,	
grambasee,	গ্রামবাসী,	গ্রামবাসী,	
chaudhuriyo,	চৌধুরিও,	চৌধুরীও,	
dharabahikeo,	ধারাবাহিকেও,	ধারাবাহিকেও,	
direqtareta,	ডিরেক্টর,	ডিরেক্টরেট,	
archimedeser,	অর্চিমেসের,	আর্কিমিডিসের,	
shangsthatir,	সংস্থাটির,	সংস্থাটির,	
cholochchitratike,	চলচ্চিত্রাকে,	চলচ্চিত্রটিকে,	
chhatogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
gabeshonar,	গবেষণার,	গবেষনার,	
jakkho,	যক্ষ,	যক্ষ,	
byatikromi,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
inapharameshana,	ইনফর্মেশন,	ইনফরমেশন,	
manu,	মানু,	মনু,	
bijepi,	বিজেপী,	বিজেপি,	
bishwashke,	বিশ্বাসকে,	বিশ্বাসকে,	
makang,	ম্যাকাং,	মেকং,	
rubol,	রাবল,	রুবল,	
mozdoor,	মজুুর,	মজদুর,	
ketechilo,	কেটেছিল,	কেটেছিল,	
srabosty,	স্রাবসটি,	শ্রাবস্তী,	
pretti,	প্রেতটি,	প্রিটি,	
muhamada,	মুহমমদা,	মুহাম্মদ,	
engineerin,	ইন্গিনীর,	ইঞ্জিনিয়ারিং,	
maddhuri,	মধুুরি,	মাধুরী,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
shilbar,	শিল্বার,	সিলভার,	
sohopathike,	সহপাঠীকে,	সহপাঠীকে,	
madrasake,	মাদ্রাসাকে,	মাদ্রাসাকে,	
parbottyo,	পার্বত্ব,	পার্বত্য,	
rajtontrey,	রাজন্ত্র্যে,	রাজতন্ত্রে,	
astheesandhi,	অস্থিষন্ধী,	অস্থিসন্ধি,	
roktokhorone,	রক্তররণে,	রক্তক্ষরণে,	
majlish,	মজলিস,	মজলিশ,	
degreeke,	দিগ্রীকে,	ডিগ্রিকে,	
abhidhaaneec,	অভিধানিক,	অভিধানিক,	
okritakarjo,	অকৃতিকার্য,	অকৃতকার্য,	
uponeeshod,	উপনিশেদ,	উপনিষদ,	
kata,	কাট,	কোটা,	
vagni,	ভাগনী,	ভগ্নী,	
uddhritto,	উদ্ধৃত্য,	উদ্ধৃত,	
qaferder,	কফারদের,	কাফেরদের,	
herfer,	হার্ফার,	হেরফের,	
liseens,	লিসেন্স,	লাইসেন্স,	
dhhaabi,	ঢাবি,	ঢাবি,	
probhuder,	প্রভূদের,	প্রভুদের,	
fund,	ফান্ড,	ফান্ড,	
shhashtra,	শাস্ত্র,	শাস্ত্র,	
potochitrer,	পতচিত্রের,	পটচিত্রের,	
koda,	কোড,	কোড,	
karmazog,	কর্মযোগ,	কর্মযোগ,	
taunashhipa,	টৌনাসিপ,	টাউনশিপ,	
wagadada,	ভাগাদা,	বাগদাদ,	
nilkamal,	নীলকমম,	নীলকমল,	
rakkhanvag,	রক্ষণভাগ,	রক্ষণভাগ,	
bosoben,	বসবেন,	বসবেন,	
karecho,	করেছ,	করেছ,	
karadandey,	কারাদণ্ডে,	কারাদণ্ডে,	
bedanto,	বেদান্ত,	বেদান্ত,	
shangkaloner,	সংকলনের,	সংকলনের,	
pyetarna,	প্যাটার্ন,	প্যাটার্ন,	
majlishpur,	মজলিশপুর,	মজলিশপুর,	
nothibhookteer,	নথিভুক্তির,	নথিভুক্তির,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
onodhikaar,	অনিধার,	অনধিকার,	
delivar,	ডেলিভার,	ডেলিভার,	
srichoitonnodeb,	শ্রীচৈতন্যবেদ,	শ্রীচৈতন্যদেব,	
indro,	ইন্দ্র,	ইন্দ্র,	
charukala,	চারুকালা,	চারুকলা,	
beekargrasta,	বিকররগ্ট,	বিকারগ্রস্ত,	
orthonitir,	অর্থনীতির,	অর্থনীতির,	
senior,	সেনিওর,	সিনিয়র,	
shomraat,	শমরাত,	সম্রাট,	
klaud,	ক্লাউড,	ক্লাউড,	
maase,	মাস,	মাসে,	
oitihye,	ঐতিহ্যে,	ঐতিহ্যে,	
bhyatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
prakalpogulor,	প্রকল্পগুলোর,	প্রকল্পগুলোর,	
noitikota,	নৈতিকতা,	নৈতিকতা,	
peto,	পট,	পেত,	
yukeliptas,	ইউকেলিপ্টা,	ইউক্যালিপ্টাস,	
khalidkay,	খলিদকে,	খালিদকে,	
habshi,	হাবসি,	হাবশী,	
utshahomulok,	উৎসামূলক,	উৎসাহমূলক,	
utsahi,	উত্সাহী,	উৎসাহী,	
horeedwar,	হরিদ্বার,	হরিদ্বার,	
vins,	ভিনস,	ভিন্স,	
koreemke,	করিমকে,	করিমকে,	
pader,	পদের,	প্যাডের,	
si,	সি,	এসআই,	
dharmantor,	ধর্মন্তর,	ধর্মান্তর,	
uipoka,	উইপোকা,	উইপোকা,	
mohasova,	মহাসভা,	মহাসভা,	
sobrakomer,	সবকরমের,	সবরকমের,	
musalmani,	মুসলম্বিনী,	মুসলমানই,	
basaa,	বাসা,	বাসা,	
ishiyatika,	এসিটিক,	এশিয়াটিক,	
kor,	কোর,	কর,	
abheedhaanik,	অভিধানিক,	অভিধানিক,	
mausumeo,	মৌসুমেও,	মৌসুমেও,	
swalpa,	স্বল্প,	স্বল্প,	
jeelyand,	জিল্যান্ড,	জিল্যান্ড,	
debdebeer,	দেবদেবীর,	দেবদেবীর,	
amarika,	অমরিক,	আমেরিকা,	
shiropadhari,	শিরোপাারী,	শিরোপাধারী,	
macbeth,	ম্যাকবেথ,	ম্যাকবেথ,	
lat,	লাট,	লাট,	
madrasakey,	মাদ্রাসাকে,	মাদ্রাসাকে,	
nirvachoker,	নির্বাচকের,	নির্বাচকের,	
zilyanda,	জিল্যান্ড,	জিল্যান্ড,	
estoniya,	এস্টনিয়া,	এস্তোনিয়া,	
joqy,	জোক,	জকি,	
tenys,	টেনিস,	টেনিস,	
tinhajar,	তিনহাজার,	তিনহাজার,	
omeettrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
ooipoka,	উইপোকা,	উইপোকা,	
felto,	ফেলতো,	ফেলত,	
chhilonaa,	ছিলনা,	ছিলনা,	
bipojjanak,	বিপজজ্জনক,	বিপজ্জনক,	
klauda,	ক্লাউড,	ক্লাউড,	
parikshateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
nesons,	নেশন,	নেশনস,	
salsa,	সলস্,	সালসা,	
addabaz,	অদ্বাব,	আড্ডাবাজ,	
gatrey,	গাত্রে,	গাত্রে,	
obdi,	অব্দি,	অব্দি,	
sajja,	সাজ্য,	সজ্জা,	
pratishthanikbhabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
coolin,	কোলিন,	কুলিং,	
balabhadra,	বলভাদ্র,	বলভদ্র,	
ko,	কো,	কেও,	
ispreedsheet,	ইস্প্রেডিত,	স্প্রেডশীট,	
gacher,	গাছের,	গাছের,	
armastram,	আর্মস্ট্রম,	আর্মস্ট্রং,	
boshoborty,	বসববর্তী,	বশবর্তী,	
forex,	ফরেক্স,	ফরেক্স,	
tourisht,	টারিস্ট,	টুরিস্ট,	
gazipur,	গাজীপুর,	গাজীপুর,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
pushtee,	পুষ্টি,	পুষ্টি,	
soshorire,	সশবরীরে,	সশরীরে,	
soori,	সুরি,	সুরি,	
janmat,	জন্মাত,	জন্মাত,	
philipiner,	ফিলিপিনের,	ফিলিপাইনের,	
maladobha,	মালাদাভা,	মলদোভা,	
bhaibonder,	ভাইবন্দের,	ভাইবোনদের,	
nothivookteer,	নথিভুক্তির,	নথিভুক্তির,	
parishram,	পরিস্রমম,	পরিশ্রম,	
hajeerhat,	হজিরহাট,	হাজিরহাট,	
piroojalee,	পিরোজালী,	পিরুজালী,	
somonnitobhabe,	সমান্তিভাবে,	সমন্বিতভাবে,	
sarbhaare,	সার্ভারে,	সার্ভারে,	
parbotto,	পার্বত্ব,	পার্বত্য,	
baasaate,	বাসাতে,	বাসাতে,	
bede,	বেদে,	বেদে,	
dharavassyokar,	ধারাভাস্যার,	ধারাভাষ্যকার,	
nutoner,	নুটোনের,	নূতনের,	
konrup,	কনররুপ,	কোনরূপ,	
elakati,	এলাকাটি,	এলাকাটি,	
laabonii,	লাবণী,	লাবনী,	
selim,	সেলিম,	সেলিম,	
query,	কিয়র,	কোয়েরি,	
shudden,	সুদ্দেন,	সাডেন,	
raha,	রহ,	রঃ,	
upostheetir,	উপস্থিতির,	উপস্থিতির,	
mozart,	মজার্ট,	মোজার্ট,	
diaraesha,	ডায়ররশ,	ডিআরএস,	
chintaikari,	ছিনতাইকারী,	ছিনতাইকারী,	
naazee,	নাজি,	নাত্সি,	
soorsa,	সার্স,	সোর্স,	
israiler,	ইসরাইলের,	ইসরাঈলের,	
purbancole,	পূর্বন্্চলে,	পূর্বাঞ্চলে,	
geza,	গেজ,	গেজ,	
rachonakal,	রচনাকল,	রচনাকাল,	
marodeho,	মারদেহ,	মরদেহ,	
pachchi,	পাচ্ছি,	পাচ্ছি,	
bhushi,	ভূষি,	ভুষি,	
ahalya,	অহল্য,	অহল্যা,	
eekbaler,	একবালের,	ইকবালের,	
conistho,	কনিষ্ঠ,	কনিষ্ঠ,	
spenser,	স্পেনার,	স্পেন্সার,	
durgotsob,	দুর্গতস্ব,	দুর্গোৎসব,	
jahara,	জাহারা,	যাহরা,	
onnyorup,	অন্যরূপ,	অন্যরূপ,	
dwibidha,	দ্বিবাধ,	দ্বিবিধ,	
koruna,	করুনা,	করুণা,	
elakaa,	এলাকা,	এলাকা,	
kulo,	কুলো,	কুলো,	
alpakichudin,	অল্পকিউদিচ,	অল্পকিছুদিন,	
showtey,	শটে,	শোতে,	
phoksher,	ফক্সের,	ফক্সের,	
swastir,	স্বাস্তির,	স্বস্তির,	
shattoki,	সাত্যকি,	সাত্যকি,	
markeeting,	মার্কেটিং,	মার্কেটিং,	
ghatke,	ঘটকে,	ঘাটকে,	
omkar,	ওমকার,	ওঙ্কার,	
chiroharit,	চিরারিত,	চিরহরিৎ,	
nicqel,	নিচলেল,	নিকেল,	
srimati,	শ্রীমতী,	শ্রীমতি,	
bhiktara,	ভিক্টোর,	ভিক্টর,	
hart,	হার্ট,	হার্ট,	
rathin,	রথিন,	রথীন,	
disney,	ডিজনি,	ডিজনী,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারীই,	
pisach,	পিশাচ,	পিশাচ,	
potocheetro,	পতোচিত্র,	পটচিত্র,	
caaling,	কলিন,	কুলিং,	
prachuryer,	প্রাচুর্যের,	প্রাচুর্যের,	
harisher,	হরিসের,	হ্যারিসের,	
protizogiita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
mitrader,	মিত্রদের,	মিত্রদের,	
firti,	ফারটি,	ফিরতি,	
cyphy,	সিফি,	সাইফাই,	
vedanta,	ভেদন্ত,	বেদান্ত,	
shatokei,	শতকেই,	শতকেই,	
shkalarashhipa,	স্কলারশিপ,	স্কলারশিপ,	
diaraesa,	ডায়ররস,	ডিআরএস,	
teenej,	টেনেজ,	টিনেজ,	
shoo,	শু,	শো,	
hafsa,	হফস,	হাফসা,	
machsaho,	মাসাও,	মাছসহ,	
phashtara,	ফাস্টার,	ফস্টার,	
bisshonath,	বিশ্নাথ,	বিশ্বনাথ,	
soinyosaho,	সৈন্যসহ,	সৈন্যসহ,	
bohubar,	বহুবার,	বহুবার,	
bodhir,	বধির,	বধির,	
probesher,	প্রবেশের,	প্রবেশের,	
ias,	আয়াশ,	আইএএস,	
deephineeshana,	ডেফিনেশন,	ডেফিনেশন,	
gardeen,	গার্ডেন,	গার্ডেন,	
daul,	ডাউল,	দেউল,	
mookhomaundol,	মুখমন্ডল,	মুখমণ্ডল,	
rijoor,	রিজুর,	রিজুর,	
otyacharer,	অত্যাচারের,	অত্যাচারের,	
apargota,	অপর্গত,	অপারগতা,	
economics,	ইকোনমিক্স,	ইকোনমিকস,	
goshthiti,	গোস্থিতি,	গোষ্ঠীটি,	
satarkota,	সা্তরকাটা,	সতর্কতা,	
dhyaan,	ধ্যান,	ধ্যান,	
dokaan,	ডোকান,	দোকান,	
institutioney,	ইন্সটিটিউশনে,	ইনস্টিটিউশনে,	
heriser,	হেরিসের,	হ্যারিসের,	
sahocorrze,	সহচরর্যে,	সাহচর্যে,	
amoor,	আমর,	আমর,	
saphallyar,	সাফল্যার,	সাফল্যের,	
flux,	ফ্লাউস্ক,	ফ্লাস্ক,	
strigon,	স্ত্রীগণ,	স্ত্রীগণ,	
vageroi,	ভাগরই,	ভাগেরই,	
jyeshthaa,	জ্যাস্থা,	জ্যেষ্ঠা,	
naniir,	নানীর,	নানীর,	
faaj,	ফাজ,	ফাজ,	
showti,	শতী,	শোটি,	
aachees,	আচিষ,	আছিস,	
unsareer,	ইনসারের,	আনসারীর,	
gauge,	গে,	গেজ,	
yanqee,	যাঁক,	ইয়াংকি,	
udbodhone,	উদ্বোধনে,	উদ্বোধনে,	
cholocchitrigulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
ranodeep,	রণদীপ,	রণদীপ,	
thesiser,	থেসিসের,	থিসিসের,	
lutheran,	লুথারণ,	লুথেরান,	
sosej,	সসেজ,	সসেজ,	
samudratatey,	সমুদ্রতা,	সমুদ্রতটে,	
chetana,	চেতা,	চেতনা,	
bohoodin,	বহুদিন,	বহুদিন,	
ranadeep,	রানীদীপ,	রণদীপ,	
oboshorer,	অবসরের,	অবসরের,	
somaazeri,	সমাজিরী,	সমাজেরই,	
onekeryi,	অনেকেরই,	অনেকেরই,	
dhanchey,	ধাঁচে,	ধাঁচে,	
ssahocorzo,	শহচর্য,	সাহচর্য,	
udvaban,	উদ্বাবন,	উদ্ভাবন,	
apochesta,	অপছেষ্ট,	অপচেষ্টা,	
inasiyinta,	ইনসসিয়ান্ট,	এনসিয়েন্ট,	
highcomissione,	হাইকমিশনে,	হাইকমিশনে,	
bhenkates,	ভেনকেট,	ভেঙ্কটেশ,	
lag,	লাগ,	লগ,	
mookhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
ula,	উলা,	উল,	
adhattikotar,	আধ্যাতিকতার,	আধ্যাত্মিকতার,	
parishromi,	পরিশ্রমী,	পরিশ্রমী,	
tersa,	টার্স,	টেরেসা,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
rushd,	রাশ,	রুশদ,	
sallallahu,	সাল্লাল্লাহু,	সল্লাল্লাহু,	
phareeksa,	ফারিক্স,	ফরেক্স,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
engil,	এঞ্জিল,	ইঞ্জিল,	
chalake,	চালাকে,	চালকে,	
sulphate,	সালফাট,	সালফেট,	
nilkuthir,	নীলকুঠির,	নীলকুঠির,	
suraropeeto,	সুরারোপোট,	সুরারোপিত,	
spreedashita,	স্প্রীদাসিত,	স্প্রেডশীট,	
akritakarja,	একৃতীকর্য,	অকৃতকার্য,	
dharavahiker,	ধারাবিহেকের,	ধারাবাহিকের,	
soundarja,	সৌন্দর্য,	সৌর্ন্দয্য,	
sumita,	সুমিতা,	সুমিতা,	
akai,	একই,	একাই,	
peterke,	পিটারকে,	পিটারকে,	
nirvahey,	নির্বাহে,	নির্বাহে,	
sabhanetri,	সভানেত্রী,	সভানেত্রী,	
monohor,	মনোহর,	মনোহর,	
dhaleshwari,	ধালেশ্বরী,	ধলেশ্বরী,	
cholechi,	চলেছি,	চলেছি,	
ekghare,	একঘারে,	একঘরে,	
nirbaha,	নির্বাহ,	নির্বাহ,	
licenshe,	লিইনেস্,	লাইসেন্স,	
jyestha,	জ্যাস্থা,	জ্যেষ্ঠা,	
pratisthasaho,	প্রতিষ্ঠাস,	প্রতিষ্ঠাসহ,	
macher,	মেচার,	মাছের,	
gronthotike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
ashangka,	অসঙ্ক,	আশংকা,	
kulim,	কুলিম,	কুলিং,	
masjidsaha,	মসিসদাহ,	মসজিদসহ,	
haran,	হরণ,	হারান,	
chalachchitra,	চলচ্ছিত্র,	চলচ্চিত্র,	
nirmol,	নির্মল,	নির্মল,	
murad,	মুরাদ,	মুরাদ,	
liceencee,	লিসেন্স,	লাইসেন্স,	
gasthike,	গাস্থীকে,	গোষ্ঠীকে,	
teenage,	টেনেজ,	টিনেজ,	
byaboshtha,	ব্যবস্থা,	ব্যাবস্থা,	
sayid,	সাইয়েদ,	সাইদ,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
shikarey,	শিকারে,	শিকারে,	
utsahomulak,	উৎসামূলক,	উৎসাহমূলক,	
nischitorupey,	নিশ্চিরপূরে,	নিশ্চিতরূপে,	
engrejer,	ইংরেজের,	ইংরেজের,	
dipgulote,	দীপ্গুলোতে,	দ্বীপগুলোতে,	
mesenzar,	মেসেঞ্জার,	মেসেঞ্জার,	
zubokra,	যুবকরা,	যুবকরা,	
gulen,	গুলেন,	গুলেন,	
dhrubak,	ধ্রুবক,	ধ্রুবক,	
jibanta,	জীবনটা,	জীবন্ত,	
megh,	মেঘ,	মেঘ,	
dozo,	দজ,	ডোজো,	
ajeeja,	আজিজা,	আজিজা,	
lutharana,	লুথারন,	লুথেরান,	
jyotsna,	জ্যোত্না,	জ্যোৎস্না,	
achish,	আচিষ,	আছিস,	
drishyake,	দৃষ্যকে,	দৃশ্যকে,	
chaudhoorir,	চৌধ্রির,	চৌধুরীর,	
ayantarqatiqa,	অ্যান্টারটিক,	অ্যান্টার্কটিকা,	
quata,	কোট,	কোটা,	
aasar,	আসার,	আসর,	
moomtaj,	মুমতাজ,	মুমতাজ,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
salil,	সলীল,	সলিল,	
myari,	ম্যারি,	ম্যারি,	
barack,	ব্যার,	বারাক,	
aziza,	আজিজ,	আজিজা,	
lala,	লালা,	লালা,	
khogen,	খোগেন,	খগেন,	
female,	ফেমালে,	ফিমেল,	
baabul,	বাবুল,	বাবুল,	
horinner,	হরিনের,	হরিণের,	
soochonakal,	সোচনাক,	সূচনাকাল,	
naitikatabodh,	নৈতিকাবাধ,	নৈতিকতাবোধ,	
janoika,	জননিকা,	জনৈকা,	
shangkalonti,	সংকলনটি,	সংকলনটি,	
elaka,	এলাক,	এলাকা,	
bohal,	বহল,	বহাল,	
monjeele,	মঞ্জিলে,	মঞ্জিলে,	
bodhirata,	বধিরতা,	বধিরতা,	
qaferderke,	কাফারকেরকে,	কাফেরদেরকে,	
dorgah,	দরগাহ,	দরগাহ,	
cloud,	ক্লাউড,	ক্লাউড,	
sushikkhar,	সুশিক্ষার,	সুশিক্ষার,	
nongra,	নংরা,	নোংরা,	
kompito,	কম্পিত,	কম্পিত,	
amerikar,	অ্যামেরিকার,	আমেরিকার,	
sqalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
oddure,	অদুরে,	অদুরে,	
rahh,	রহ,	রঃ,	
rajtantro,	রাজতন্ত্র,	রাজতন্ত্র,	
somabeshti,	সমবেষ্টি,	সমাবেশটি,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
gronther,	গ্রন্থের,	গ্রন্থের,	
anupater,	অনুপতের,	অনুপাতের,	
ja,	যা,	জ্যা,	
bedkey,	বেদকে,	বেদকে,	
vastuvad,	বস্তুবাদ,	বস্তুবাদ,	
angkita,	অংকিত,	অঙ্কিতা,	
reno,	রেন,	রেনো,	
grootha,	গ্রুথ,	গ্রোথ,	
ajij,	আজিজ,	আজিজ,	
eshtoniya,	এস্টনিয়া,	এস্তোনিয়া,	
amiretus,	অ্যামিরিটাস,	এমিরেটাস,	
disni,	ডিজনি,	ডিজনী,	
sahochorjey,	সহচর্যে,	সাহচর্যে,	
niro,	নিরো,	নির,	
pudding,	পাডিং,	পুডিং,	
lampot,	লা্্পট,	লম্পট,	
gujob,	গুজব,	গুজব,	
jacqsan,	জকসন,	জ্যাকসন,	
foks,	ফক্স,	ফক্স,	
trans,	ট্রান্স,	ট্রান্স,	
deezni,	ডিজনী,	ডিজনী,	
sukkhma,	সূক্ষ্ম,	সুক্ষ্ম,	
naraphooka,	নারফফোক,	নরফোক,	
prokar,	প্রকার,	প্রকার,	
sheekarer,	শিকারের,	শিকারের,	
peterkay,	পিটারকে,	পিটারকে,	
alaoul,	আলাউল,	আলাওল,	
shomostike,	সমস্তিকে,	সমষ্টিকে,	
nationsh,	ন্যাশন,	নেশনস,	
shhepha,	সেফ,	শেফ,	
sepha,	সেফ,	শেফ,	
jamjomat,	জামজাম,	জমজমাট,	
monjushree,	মন্জুরি,	মঞ্জুশ্রী,	
dacop,	ডাকাপ,	দাকোপ,	
parq,	পার্ক,	পার্ক,	
rubidiyam,	রুবিদিয়াম,	রুবিডিয়াম,	
tala,	তল,	তালা,	
toder,	তদের,	তদের,	
sombhobonaao,	সম্ভবনাও,	সম্ভবনাও,	
narider,	নারীদের,	নারীদের,	
antarbhutto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
byakkhabyatito,	ব্যাক্ষাবিত,	ব্যাখ্যাতীত,	
snipar,	স্নিপার,	স্নাইপার,	
nilabho,	নীলভ,	নীলাভ,	
niropekkho,	নিরপপক্ষ,	নিরপেক্ষ,	
manur,	মাুর,	মনুর,	
bishshasho,	বিশ্বাস,	বিশ্বাসও,	
spredasita,	স্প্রেডাসিত,	স্প্রেডশীট,	
drishyer,	দৃষ্যের,	দৃশ্যের,	
parisankhanvid,	পরিসং্বিখ্যাদ,	পরিসংখ্যানবিদ,	
dii,	দি,	দিই,	
holdin,	হলদিন,	হোল্ডিং,	
shakkhatkarer,	সাক্ষাতকারের,	সাক্ষাৎকারের,	
olympic,	অলিম্পিক,	অলিম্পিক,	
silbhee,	সিলভী,	সিলভি,	
moshjidke,	মস্জিদে,	মসজিদকে,	
chidropothe,	চিদ্রপথে,	ছিদ্রপথে,	
srichoitonyodeb,	শ্রীচৈতন্যবেদ,	শ্রীচৈতন্যদেব,	
chalochchitraeer,	চলচ্চিত্রের,	চলচ্চিত্রের,	
puding,	পুডিং,	পুডিং,	
foster,	ফোস্টার,	ফস্টার,	
floodlighter,	ফ্লুডেটার,	ফ্লাডলাইটের,	
drishyogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
babyloney,	বাবিলনে,	ব্যাবিলনে,	
vaibonera,	বাইবারে,	ভাইবোনেরা,	
bidghutey,	বিদঘুতে,	বিদঘুটে,	
shoori,	শুরি,	সুরি,	
apocheshta,	অপছেষ্ট,	অপচেষ্টা,	
mukkho,	মুক্ষ,	মুখ্য,	
qrita,	কৃত,	ক্রীট,	
hoj,	হজ,	হয,	
mekon,	মেকন,	মেকং,	
advanshd,	এডভান্স,	অ্যাডভান্সড,	
nogonno,	নগন্য,	নগণ্য,	
