chherechhe,	ছেরেছে,	ছেড়েছে,	
juktarashtrer,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রের,	
hatodaridra,	হতদারিদ্রা,	হতদরিদ্র,	
chuti,	ছুটি,	ছুটি,	
bibadey,	বিবাদে,	বিবাদে,	
tuku,	টুকু,	টুকু,	
up,	উপ,	আপ,	
ancholtee,	অঞ্চলটি,	অঞ্চলটি,	
mile,	মিলে,	মিলে,	
chhani,	ছনি,	ছানি,	
geja,	গেজা,	গেজ,	
shikshakder,	শিক্ষাকদের,	শিক্ষকদের,	
soinyoder,	সৈন্যদের,	সৈন্যদের,	
madhobi,	মাধবী,	মাধবী,	
quata,	কোট,	কোটা,	
akar,	একর,	একার,	
ezenda,	এজেন্ড,	এজেন্ডা,	
bhalobase,	ভালবাসে,	ভালোবাসে,	
korkotkraanti,	কর্টক্রান্তি,	কর্কটক্রান্তি,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
munshi,	মুনশী,	মুন্সী,	
prasadhoni,	প্রসাধানী,	প্রসাধনী,	
udvabaney,	উদ্ভবানে,	উদ্ভাবনে,	
janalo,	জানালো,	জানালো,	
ostad,	অষ্টাদ,	ওস্তাদ,	
dormetory,	ডরমেটরি,	ডরমিটরি,	
nikeela,	নিকেলা,	নিকেল,	
ojowno,	অযোন্য,	অযৌন,	
nodike,	নদিকে,	নদীকে,	
veenish,	ভিনিস,	ভেনিস,	
rubio,	রুবিও,	রুবিও,	
tinhazar,	তিনহাজার,	তিনহাজার,	
hamasa,	হামস,	হোমস,	
jackshan,	জাকশন,	জ্যাকসন,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
idaning,	এডানিং,	ইদানীং,	
mashtarsha,	মাষ্টর্শ,	মাস্টার্স,	
langhon,	লঙ্ঘন,	লংঘন,	
sazano,	সাজানো,	সাজানো,	
bagdad,	বাজদাদ,	বাগদাদে,	
embeda,	এম্বেডা,	এম্বেড,	
coode,	কোড,	কোড,	
mukhomandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
teentir,	তিনটির,	তিনটির,	
quari,	কুরি,	কোয়েরি,	
anti,	অ্যান্টি,	আন্টি,	
abheedhanic,	অভিধানিক,	অভিধানিক,	
assastikar,	অস্বা্তিকার,	অস্বস্তিকর,	
karmosansthan,	কর্মসংস্থান,	কর্মসংস্থান,	
shatoker,	শতকের,	শতকের,	
harir,	হ্যারির,	হরির,	
tunaita,	টুনাইট,	টুনাইট,	
jibonto,	জীবন্ত,	জীবন্ত,	
baik,	বাইক,	বাইক,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
ministerer,	মিনিস্টারের,	মিনিস্টারের,	
prajanankal,	প্রজননক্লল,	প্রজননকাল,	
nachiketa,	নাচিকিত,	নচিকেতা,	
arthonitir,	অর্থনীতির,	অর্থনীতির,	
heights,	এইটস্ট,	হাইটস,	
sthaponakay,	স্থাপনাকে,	স্থাপনাকে,	
sonali,	সোনালি,	সোনালী,	
nirgoon,	নির্গুন,	নির্গুণ,	
pletoo,	প্লেট,	প্লেটো,	
beshirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
addabaj,	আদ্দাবাজ,	আড্ডাবাজ,	
yucalyptus,	ইউকালাপটিস,	ইউক্যালিপ্টাস,	
janar,	জানার,	জানার,	
anchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
photanor,	ফোটানোর,	ফোটানোর,	
suporichita,	সুপরিচিত,	সুপরিচিত,	
sahopathike,	সহপাঠীকে,	সহপাঠীকে,	
dasha,	দশা,	দোসা,	
bolatkar,	বলাটকার,	বলাৎকার,	
elgoridom,	এলগরিদোম,	এলগরিদম,	
feroza,	ফেরোজা,	ফিরোজা,	
mmesenjar,	মেশেঞ্জার,	মেসেঞ্জার,	
baarder,	বার্ডার,	বার্ডের,	
ranangane,	রণন্গনে,	রণাঙ্গনে,	
hiiragana,	হিরাগন,	হিরাগানা,	
phuda,	ফুদ,	ফুড,	
sqolastiq,	স্কলাস্টিক,	স্কলাস্টিক,	
kemone,	কেমনে,	কেমনে,	
miracle,	মারাকল,	মিরাকেল,	
satarkakaree,	সত্তরকারী,	সতর্ককারী,	
dargah,	দরগ,	দরগাহ,	
parishkaran,	পরিস্কারণ,	পরিষ্করণ,	
azibon,	অজিবন,	আজীবন,	
bagmara,	বাজমারা,	বাগমারা,	
kraantikaale,	ক্রান্টিকালে,	ক্রান্তিকালে,	
platoo,	প্লট,	প্লেটো,	
karadondey,	কারাদন্ডে,	কারাদণ্ডে,	
phareqsa,	ফারেক্স,	ফরেক্স,	
onkita,	অংকিত,	অঙ্কিতা,	
blyaqa,	ব্ল্যাক,	ব্ল্যাক,	
zeans,	জিনস,	জিন্স,	
sastra,	সাস্ত্র,	শাস্ত্র,	
enamela,	এনামেলা,	এনামেল,	
nazi,	নাজি,	নাত্সি,	
bhaandar,	ভান্ডার,	ভাণ্ডার,	
jacqson,	জাকসন,	জ্যাকসন,	
shiniyara,	সিনিয়র,	সিনিয়র,	
elaakaa,	এলাকা,	এলাকা,	
byaboharkari,	ব্যবহহারকারি,	ব্যবহারকারী,	
chhayi,	ছাই,	ছাই,	
doltyagi,	দলত্যাগী,	দলত্যাগী,	
oboshorer,	অবসরের,	অবসরের,	
gyate,	জ্ঞাতে,	গ্যেটে,	
songbadmadhyomgulote,	সংবাদমধুলতে,	সংবাদমাধ্যমগুলোতে,	
pouro,	পৌরো,	পৌর,	
uporitol,	উপরিতল,	উপরিতল,	
routine,	রুটিন,	রুটিন,	
damdor,	দমদর,	দামদর,	
temani,	তেমননি,	তেমনই,	
shikara,	শিকারা,	শিকার,	
ogrodut,	অগ্রুত,	অগ্রদূত,	
bonovumi,	বনভূমি,	বনভূমি,	
noiteekotabodh,	নৈতিতাবাদ,	নৈতিকতাবোধ,	
futonta,	ফুটনটটা,	ফুটন্ত,	
mohammad,	মহাম্মাদ,	মুহাম্মদ,	
talaa,	তালা,	তালা,	
ponnee,	পণ্যে,	পন্নী,	
vange,	ভাঙে,	ভাঙ্গে,	
pachak,	পচচচ,	পাচক,	
tennys,	টেনিস,	টেনিস,	
bhadaqa,	ভাদাকা,	ভদকা,	
balakarak,	বালাকরক,	বলকারক,	
asor,	আসর,	আসর,	
parishram,	পরিস্রাম,	পরিশ্রম,	
sadena,	সোডেন,	সাডেন,	
mukhomandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
emeritus,	এমেরিটাস,	এমিরেটাস,	
snipar,	স্নিপার,	স্নাইপার,	
maricha,	মেরিকা,	মরিচা,	
antarktika,	অন্তর্টিক,	অ্যান্টার্কটিকা,	
teyt,	টেট,	টেট,	
shobnom,	শব্নাম,	শবনম,	
sahojlabhbhotar,	সহলভাভতাভার,	সহজলভ্যতার,	
dharati,	ধারাটি,	ধারাটি,	
istoon,	স্ত্টুন,	স্টোন,	
shov,	শো,	শো,	
hostantor,	হস্তান্তর,	হস্তান্তর,	
mukhya,	মুখ্য,	মুখ্য,	
nothivookteer,	নথিভুক্তির,	নথিভুক্তির,	
stonahenja,	স্তোহানহেজ্ঞ,	স্টোনহেঞ্জ,	
nepchooner,	নেপচুনের,	নেপচুনের,	
hazat,	হজাত,	হজত,	
bhaangchoor,	ভাঙচুর,	ভাংচুর,	
prokalpatikey,	প্রকো্পটিকে,	প্রকল্পটিকে,	
bhaangchur,	ভাঙচুর,	ভাংচুর,	
adorso,	আদর্শ,	আর্দশ,	
bhotarer,	ভোটারের,	ভোটারের,	
sabchey,	সবছে,	সবচে,	
loukikota,	লৌকিকতা,	লৌকিকতা,	
arthoneeti,	অর্থনীতি,	অর্থনীতির,	
floodlighter,	ফ্লাডিঘটার,	ফ্লাডলাইটের,	
militarite,	মিলিটারিতে,	মিলিটারিতে,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
ooporoshtho,	উপর্ষ্ঠ,	উপরস্থ,	
anisa,	অনিশা,	আনিস,	
guzon,	গুজন,	গুজব,	
aakaabar,	আকাবার,	আকাবার,	
pakistanira,	পাকিস্তানিরা,	পাকিস্তানীরা,	
oxfordey,	অক্সার্ডে,	অক্সফোর্ডে,	
dii,	দি,	দিই,	
vumija,	ভূমিজা,	ভূমিজ,	
twoei,	তুই,	ত্বকেই,	
sarbhaarti,	সর্ভার্টি,	সার্ভারটি,	
oedipus,	এদিপুস,	ইডিপাস,	
kando,	কান্ড,	কাণ্ড,	
parka,	পার্ক,	পার্ক,	
zojyota,	যোজ্যতা,	যোজ্যতা,	
prakalpatikey,	প্রকো্পটিকে,	প্রকল্পটিকে,	
uthaney,	উঠানে,	উঠানে,	
phirth,	ফার্থ,	ফার্থ,	
rayyalati,	রেয়েটি,	রয়্যালটি,	
netions,	নেশনস,	নেশনস,	
bharatey,	ভারাতে,	ভারতে,	
niranjan,	নিরঞ্জন,	নিরঞ্জন,	
dadader,	দাদাদের,	দাদাদের,	
mitroder,	মিত্রদের,	মিত্রদের,	
natniike,	নাটনীকে,	নাতনীকে,	
phaqsa,	ফক্স,	ফক্স,	
khaambaa,	খাম্বা,	খাম্বা,	
zubokera,	যুবকেরা,	যুবকেরা,	
wool,	উল,	উল,	
jarool,	জারুল,	জারুল,	
horidwar,	হরিদওযাার,	হরিদ্বার,	
maudelke,	মাউলেকে,	মডেলকে,	
estonia,	এস্টোনিনি,	এস্তোনিয়া,	
ayadabhanshada,	অ্যাডভান্ডস,	অ্যাডভান্সড,	
jwalbe,	জ্বলবে,	জ্বলবে,	
thakey,	থাকে,	থাকে,	
pchok,	পক্ক,	পাচক,	
jerujalem,	জেরুজালেম,	জেরুজালেম,	
khoka,	খোক,	খোকা,	
hyaloin,	হ্যালন,	হ্যালোইন,	
sabhanetri,	সভানেত্রী,	সভানেত্রী,	
pathanatak,	পাঠনাটাক,	পথনাটক,	
taale,	তালে,	তালে,	
silver,	সিলভার,	সিলভার,	
kormosompadon,	কর্মসম্পাদন,	কর্মসম্পাদন,	
chalochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
mumtaz,	মমততাজ,	মুমতাজ,	
mojlishpur,	মজলিসপুর,	মজলিশপুর,	
bhittiti,	ভিত্তিটি,	ভিত্তিটি,	
shomostigoto,	সমস্তিতগত,	সমষ্টিগত,	
oncoleo,	অঞচলেও,	অঞ্চলেও,	
saqara,	সাকার,	সাকার,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
poromartho,	পরমার্থ,	পরমার্থ,	
sikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
samanwitobhabe,	সমান্তভাবতভাবে,	সমন্বিতভাবে,	
shangsthaner,	সংস্থানের,	সংস্থানের,	
taunasipa,	টানুসিপ,	টাউনশিপ,	
daltyagi,	দল্্যাগী,	দলত্যাগী,	
shringga,	শৃঙ্গ,	শৃঙ্গ,	
bafal,	বাফল,	বিফল,	
station,	স্টেশন,	ষ্টেশন,	
auncholo,	অঞ্চলো,	অঞ্চলও,	
halloin,	হলেন,	হ্যালোইন,	
aholya,	অহল্য,	অহল্যা,	
chomke,	ছমকে,	চমকে,	
canservatian,	কনসারভেশন,	কনসারভেশন,	
chashe,	চাষে,	চেস,	
sohojlovyotar,	সহজলোভাতার,	সহজলভ্যতার,	
porichhonnota,	পরিচ্্নতা,	পরিচ্ছন্নতা,	
parisankhyanvid,	পরিসংখ্যান্দিব,	পরিসংখ্যানবিদ,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
bisheshyo,	বিশেষ্য,	বিশেষ্য,	
niketon,	নিকেতন,	নিকেতন,	
bomkesh,	বমমেক,	ব্যোমকেশ,	
kade,	কাদে,	কোড,	
ranangoney,	রণন্গনে,	রণাঙ্গনে,	
cho,	ছো,	ছোঁ,	
tecnokryat,	টেকনোক্রাট,	টেকনোক্র্যাট,	
taranee,	তারেন,	তরণী,	
rajotwa,	রাজত্ব্য,	রাজত্ব,	
anano,	অনানো,	আনানো,	
sibraz,	শিবরাজ,	শিবরাজ,	
laishenshe,	লেসন্সে,	লাইসেন্স,	
transafarma,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
baarak,	ব্যারক,	বারাক,	
nadike,	নাদিকে,	নদীকে,	
ko,	কো,	কেও,	
udbhabaney,	উদ্ভবানে,	উদ্ভাবনে,	
aamude,	আমুদে,	আমুদে,	
dhyana,	ধ্বান,	ধ্যান,	
pab,	পাব,	পাব,	
samanyoi,	সামান্যই,	সামান্যই,	
bhandar,	ভান্ডার,	ভাণ্ডার,	
harris,	হ্যারিস,	হ্যারিস,	
meghnadbodh,	মেঘনাদবধ,	মেঘনাদবধ,	
moshzidtike,	মোসজিদটিকে,	মসজিদটিকে,	
gujab,	গুজব,	গুজব,	
udbodhani,	উদ্বধধনী,	উদ্বোধনী,	
vabnake,	ভবননাকে,	ভাবনাকে,	
deliver,	ডিলিভের,	ডেলিভার,	
hizrite,	হিজরিতে,	হিজরীতে,	
sanstha,	সংস্থা,	সংস্থা,	
sampadankari,	সম্পাদনকারী,	সম্পাদনকারী,	
daily,	ডেই,	ডেইলি,	
hotodoridro,	হতদরির্,	হতদরিদ্র,	
nagarikra,	নাগরিকরা,	নাগরিকরা,	
flag,	ফ্ল্যাগ,	ফ্লাগ,	
chaakti,	চাকটি,	চাকতি,	
bhenis,	ভেনিস,	ভেনিস,	
gojano,	গজান,	গজানো,	
sekarone,	সেকারণে,	সেকারণে,	
bohubar,	বহুবার,	বহুবার,	
protul,	প্রতুল,	প্রতুল,	
bossonto,	বসন্ত,	বসন্ত,	
rajshri,	রাজশ্রী,	রাজশ্রী,	
jeten,	জেতেন,	যেতেন,	
paadee,	পাদি,	পাড়ে,	
delivar,	ডেলিভার,	ডেলিভার,	
antarktikar,	অন্তর্তিকতার,	অ্যান্টার্কটিকার,	
obharabhiu,	অভারইভই,	ওভারভিউ,	
kaas,	কাশ,	কাস,	
modhumotii,	মধুমতি,	মধুমতী,	
votarer,	ভোটারের,	ভোটারের,	
onektai,	অনেকটাই,	অনেকটাই,	
randeep,	রণ্্ডিপ,	রণদীপ,	
laiseensee,	লেলসন্স,	লাইসেন্স,	
jonite,	যোনিতে,	যোনীতে,	
nirgun,	নির্গুণ,	নির্গুণ,	
bbiseshyer,	বিশেষ্যের,	বিশেষ্যের,	
maney,	মানে,	মানে,	
byaboharkariderke,	ব্যবহারককারীকের,	ব্যবহারকারীদেরকে,	
highcommissioney,	হাইকমিশনে,	হাইকমিশনে,	
gandhiyo,	গান্ধিয়,	গান্ধীও,	
jaanalo,	জানালো,	জানালো,	
heavy,	হেভি,	হেভি,	
satyaki,	সত্যাকি,	সাত্যকি,	
mukhamandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
biru,	বিরু,	বীরু,	
grambashi,	গ্রামবাসী,	গ্রামবাসী,	
bojhey,	বোঝে,	বোঝে,	
anchaltikey,	অঞ্চলটিকে,	অঞ্চলটিকে,	
udbodhoni,	উদ্বধধনি,	উদ্বোধনী,	
oiteejye,	ঐটিজ্যে,	ঐতিহ্যে,	
abodamaner,	অবদমানের,	অবদমনের,	
bboponer,	বপনের,	বপনের,	
shochindro,	সচীন্দ্র,	শচীন্দ্র,	
taiteela,	টাইটেল,	টাইটেল,	
ohollar,	অহললার,	অহল্যার,	
plen,	প্লেন,	প্লেন,	
granthatyke,	গ্রান্থাটিকে,	গ্রন্থটিকে,	
parqasa,	পার্কস,	পার্কস,	
bhimsen,	ভিমসেন,	ভীমসেন,	
onodhikar,	অনধিকার,	অনধিকার,	
olimpiker,	অলিমমিকার,	অলিম্পিকের,	
nartaki,	নর্টকি,	নর্তকী,	
ameerika,	অমিরিকা,	আমেরিকা,	
namo,	নামও,	নমো,	
liceensing,	লিলেন্সিং,	লাইসেন্সিং,	
totenhaamer,	টোনহেমার,	টটেনহামের,	
boonot,	বুনোট,	বুনট,	
soya,	সোয়া,	সোয়া,	
shatan,	শতান,	শয়তান,	
abasan,	আবাসন,	অবসান,	
ohang,	অহাং,	অহং,	
bheemsen,	ভীমসেন,	ভীমসেন,	
debdebie,	দেব্দীবি,	দেবদেবী,	
milea,	মিলে,	মাইলে,	
meshar,	মেশার,	মেশার,	
adhyatmikatar,	আধ্যাত্মিকতার,	আধ্যাত্মিকতার,	
jothon,	যোথন,	যথন,	
agovir,	অগভীর,	অগভীর,	
kredita,	ক্রেডিত,	ক্রেডিট,	
ceramics,	সেরামিক্স,	সিরামিকস,	
bondhutto,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
beetlaser,	বিটলাসের,	বিটলসের,	
chat,	ছাত,	চ্যাট,	
ovizojon,	অভিযোজন,	অভিযোজন,	
stonehenj,	স্টোহেন্জ,	স্টোনহেঞ্জ,	
parkim,	পার্কিং,	পার্কিং,	
poriskoron,	পরিস্কোরণ,	পরিষ্করণ,	
tarkarir,	তারকারির,	তরকারীর,	
ishtara,	ইস্টারা,	ইস্টার,	
gaandaas,	গান্ডাস,	জ্ঞানদাস,	
gonocheener,	গোনচিনের,	গণচীনের,	
varshon,	ভার্সন,	ভারশন,	
kousholgoto,	কৌশলগত,	কৌশলগত,	
masjidti,	মাসজিদটি,	মসজিদটি,	
cheerkoot,	চিরকুট,	চিরকুট,	
abheedhaaneec,	অভিধানিক,	অভিধানিক,	
turkamena,	তুর্কমেনা,	তুর্কমেন,	
nake,	নাকে,	নেক,	
gandhiir,	গান্ধীর,	গান্ধীর,	
ragi,	রাগি,	রাগী,	
sharthe,	সর্থে,	স্বার্থে,	
juktorastreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
uzbekistan,	উজবেক্তিস্তান,	উজবেকিস্তান,	
sudden,	সুদেন,	সাডেন,	
byapokotor,	ব্যাপকতার,	ব্যাপকতর,	
nikot,	নিকট,	নিকট,	
ponero,	পনেরো,	পনের,	
chhotogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
difinisian,	ডিফিনিশন,	ডেফিনেশন,	
adhyatmik,	আধ্যাত্মিক,	আধ্যাত্মিক,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
elakatikay,	এলাকাটিকে,	এলাকাটিকে,	
baraak,	বারার,	বারাক,	
madhukori,	মধুকারী,	মাধুকরী,	
patthon,	পাঠন,	পঠন,	
dackop,	ডকপ,	দাকোপ,	
byabaharkaree,	ব্যবহহারকারি,	ব্যবহারকারী,	
joisttho,	জৈস্ঠ,	জ্যৈষ্ঠ,	
bojhaao,	বোঝাও,	বোঝাও,	
ruby,	রুবি,	রুবি,	
kormopontha,	কর্মপন্থা,	কর্মপন্থা,	
mayily,	মেলি,	মাইলি,	
ustaad,	উস্তাদ,	উস্তাদ,	
chedropathe,	চেদ্রপথে,	ছিদ্রপথে,	
necker,	নেকের,	নেকের,	
postake,	পোস্তাকে,	পোস্টকে,	
ekai,	একে,	একাই,	
saarbharti,	সার্ভার্টি,	সার্ভারটি,	
samratder,	সম্রত্দের,	সম্রাটদের,	
daeel,	ডেল,	ডেইল,	
okritakarja,	অকৃতাার্য,	অকৃতকার্য,	
rinattok,	ঋণাত্মক,	ঋনাত্মক,	
thraugh,	থ্রাফ,	থ্রু,	
amanisha,	অমানিস,	অমানিশা,	
naubihar,	নৌবিহার,	নৌবিহার,	
surokarder,	সুরকরাদের,	সুরকারদের,	
neptuner,	নেপটিনের,	নেপচুনের,	
tader,	তাঁদের,	তদের,	
barbadoj,	বার্বোডোজ,	বার্বাডোজ,	
gandhir,	গান্ধির,	গান্ধীর,	
agiboner,	অগীবানের,	আজীবনের,	
neeshanasa,	নেশাসা,	নেশনস,	
ujbekistaner,	উজবেক্তিস্তানের,	উজবেকিস্তানের,	
clause,	ক্লাউস,	ক্লজ,	
maryir,	মেরির,	ম্যারির,	
dokaangulote,	দোকানগুলোতে,	দোকানগুলোতে,	
grantha,	গ্রন্থা,	গ্রন্থ,	
zoojyota,	জোজ্যতা,	যোজ্যতা,	
qoda,	কোড,	কোডা,	
dhila,	ঢিলা,	ঢিলা,	
kaaferder,	কাফেরদের,	কাফেরদের,	
serup,	শেরুপ,	সেরুপ,	
mozlish,	মজলিস,	মজলিশ,	
tottenhamer,	তোনেহামের,	টটেনহামের,	
prasadhaner,	প্রসাধানের,	প্রসাধনের,	
agrodut,	অগ্রুত,	অগ্রদূত,	
shikkhakbrinda,	শিক্ষাব্র্ন্দ,	শিক্ষকবৃন্দ,	
diares,	ডায়েরস,	ডিআরএস,	
spreadsiit,	স্প্রেডিি,	স্প্রেডশীট,	
rupdaan,	রূপদান,	রুপদান,	
debdebee,	দেবদিবি,	দেবদেবী,	
protijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
moddhyekar,	মধ্যেকার,	মধ্যেকার,	
duckten,	ডাকতেন,	ডাকতেন,	
voter,	ভোটের,	ভোটার,	
soteciety,	সোটেসিয়েটি,	সোসাইটিতে,	
skalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
darji,	দার্জি,	দরজি,	
crecenter,	ক্রিকেন্টার,	ক্রিসেন্টের,	
adhattikota,	আধাতাত্যিকতা,	আধ্যাত্মিকতা,	
khudey,	খুঁদে,	ক্ষুদে,	
yura,	ইউরর,	ইউরো,	
chaaltaa,	চালতা,	চালতা,	
dharabahikeo,	ধারাবাহিকে,	ধারাবাহিকেও,	
karadander,	কারাদানদের,	কারাদণ্ডের,	
baipass,	বাইপস্,	বাইপাস,	
eshhiyatika,	এসিয়টিক,	এশিয়াটিক,	
naazii,	নাজি,	নাত্সি,	
procharonamulok,	প্রচারণামূলক,	প্রচারণামূলক,	
ghumacche,	ঘুমাচে,	ঘুমাচ্ছে,	
carpete,	কার্পেট,	কার্পেটে,	
ramdhonu,	রমধধু,	রামধনু,	
bhotara,	ভোটারা,	ভোটার,	
parishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
masto,	মস্ত,	মাস্ত,	
rajnaitik,	রাজনৈতিক,	রাজনৈতীক,	
madhookori,	মাধকারী,	মাধুকরী,	
engrezder,	ইংরেজদের,	ইংরেজদের,	
bivonno,	বিভন্ন,	বিভন্ন,	
marketing,	মার্কেটিং,	মার্কেটিং,	
jeebnagar,	জীবনাগর,	জীবননগর,	
bronze,	ব্রঞ্জ,	ব্রোঞ্জ,	
grameri,	গ্রামেরি,	গ্রামেরই,	
holdeeng,	হোডিং,	হোল্ডিং,	
thishisher,	থিশিসের,	থিসিসের,	
dharavassokar,	ধারাভাষ্কাার,	ধারাভাষ্যকার,	
melbourner,	মেলবর্রার,	মেলবোর্নের,	
bissonath,	বিশ্বনাথ,	বিশ্বনাথ,	
gemske,	গেমসকে,	জেমসকে,	
bhalapuka,	ভললাপুকা,	ভোলাপুক,	
baire,	বৈরে,	বাইরে,	
hijrii,	হিজরি,	হিজরী,	
kutir,	কুটির,	কুটির,	
vasturyi,	ভস্তুরিই,	বস্তুরই,	
gronthati,	গ্রন্থাটি,	গ্রন্থটি,	
natunatwa,	নতুনত্ব,	নতুনত্ব,	
ssteit,	স্টেইট,	স্টেইট,	
jolatanko,	জলতান্ক,	জলাতঙ্ক,	
