siitei,	সিতেই,	শীতেই,	
nodiiteyi,	নদীয়তেই,	নদীতেই,	
debete,	দেবেতে,	ডিবেট,	
horipur,	হরিপুর,	হরিপুর,	
manir,	মানির,	মনির,	
aachhis,	আছিস,	আছিস,	
nazranar,	নাজরানার,	নাজরানার,	
gaziipur,	গাজিপুর,	গাজীপুর,	
ekbai,	একবাই,	একবাই,	
soommo,	সুম্ম,	সুমো,	
hosney,	হোসনে,	হোসনে,	
kaale,	কালে,	কালে,	
shrabasti,	শ্রববস্তি,	শ্রাবস্তী,	
postar,	পোস্তার,	পোস্টের,	
balithubar,	বালিঠুবার,	বালিথুবার,	
stoonahenja,	স্তনিউজহজ্জা,	স্টোনহেঞ্জ,	
guha,	গুহা,	গোহ,	
shho,	শো,	শো,	
timathi,	তিমাথি,	টিমোথি,	
daaktikite,	দাক্তিকিতে,	ডাকটিকিটে,	
deares,	ডিয়ারস,	ডিআরএস,	
okritokarjo,	অক্রিতকার্য,	অকৃতকার্য,	
donat,	ডোনাট,	ডোনাট,	
definition,	ডিফিনিশন,	ডেফিনেশন,	
kourabe,	কৌরাবে,	কৌরবে,	
rajnikant,	রাজনীকান্ত,	রাজনীকান্ত,	
spancer,	স্প্যান্সের,	স্পেন্সার,	
ultrasonography,	আলট্রাস্নোগ্রাফি,	আলট্রাসনোগ্রাফিও,	
keyu,	কেয়ু,	কেউ,	
sarder,	সারদের,	সরদার,	
dipti,	দীপ্তি,	ডেপুটি,	
turky,	টার্কি,	তুর্কি,	
hyaloyin,	হ্যায়লিয়,	হ্যালোইন,	
sahinsatar,	সহিনসতার,	সহিংসতার,	
jesh,	জেশ,	জেস,	
oxite,	অক্সিট,	অক্সাইট,	
myari,	ম্যারি,	ম্যারি,	
rajotwo,	রাজত্ব,	রাজত্ব,	
saurce,	সার্স,	সোর্স,	
feemalee,	ফিমালি,	ফিমেল,	
judge,	জজগ,	জাজ,	
dajjha,	দজজ,	দাহ্য,	
graambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
komanera,	কোমানেরা,	কমানেরা,	
kholdhular,	খোলধুলার,	খোলধূলার,	
osomorthito,	অসম্রথিত,	অসমর্থিত,	
graambasio,	গ্রামবাসিও,	গ্রামবাসীও,	
atwobishvashi,	আত্ববিশ্বাসী,	আত্মবিশ্বাসী,	
dakope,	ডাকোপে,	দাকোপ,	
kaande,	কানডে,	কাণ্ডে,	
krom,	ক্রম,	ক্রম,	
orbi,	ওরবি,	ওরবি,	
swastir,	স্বস্তির,	স্বস্তির,	
kormoi,	কর্মই,	কর্মই,	
sohinsotar,	সোহিনসতার,	সহিংসতার,	
kayartara,	কয়ারটার,	কোয়ার্টার,	
beam,	বিএইএম,	বিম,	
horidbar,	হরিদবার,	হরিদ্বার,	
thaanobhi,	থানভি,	থানভী,	
aholya,	অহল্যা,	অহল্যা,	
sqirt,	স্কার্ট,	স্কার্ট,	
nirvaha,	নির্ভাহ,	নির্বাহ,	
baptics,	ব্যাপটিকস,	ব্যাপটিকস,	
elaakaate,	এলাকাতে,	এলাকাতে,	
chhadura,	ছদুরা,	ছাদুরা,	
sadadyarao,	সদাদ্যারাও,	সদদ্যরাও,	
aaeerese,	আরইসে,	আইরেসে,	
taroni,	তারণী,	তরণী,	
godabari,	গোদাবারী,	গোদাবরী,	
kleentoner,	ক্লিননের,	ক্লিনটনের,	
hames,	হাম্স,	হোমস,	
pluck,	প্লাক,	প্ল্যাক,	
nodimatrik,	নদীমাত্রিক,	নদীমাতৃক,	
surke,	সুরকে,	সুরকে,	
nick,	নিক,	নিক্,	
narsinghomgulor,	নার্সিংহগ্গুলোর,	নার্সিংহোমগুলোর,	
encidablu,	এনসিডেববুল,	এনসিডাব্লু,	
jeebanjapon,	জীবাঞ্জপন,	জীবনযাপন,	
akkheperi,	আক্ষেপেরই,	আক্ষেপেরই,	
towraat,	টোরাট,	তওরাত,	
naneer,	নানীর,	নানীর,	
gronther,	গ্রন্থের,	গ্রন্থের,	
homsher,	হোমশের,	হোমসের,	
gorrer,	গোরার,	গোরের,	
kada,	কাদা,	কোডা,	
audiotike,	অডিওটিকে,	অডিওটিকে,	
michir,	মিচির,	মিচির,	
kade,	কাদ,	কোড,	
sangkalanti,	সংকললন্তি,	সংকলনটি,	
shuchonakal,	শুচনাকাল,	সূচনাকাল,	
eukalyptus,	ইউক্যালিপ্টাস,	ইউক্যালিপ্টাস,	
erythrian,	এরিথ্রিয়ান,	এরিথ্রিয়ান,	
shilpikuler,	শিল্পীকুলের,	শিল্পীকুলের,	
sthitiko,	স্থিতিকও,	স্থিতিকো,	
byabaharkareederke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
inziniyarsa,	ইঞ্জিনিইরাস,	ইঞ্জিনিয়ার্স,	
bosontokke,	বসন্তককে,	বসন্তকে,	
flexta,	ফ্লেক্সটা,	ফ্লেক্সটা,	
grahoksebai,	গ্রাহকসেবাই,	গ্রাহকসেবায়,	
machgulo,	মাছগুলো,	মাছগুলো,	
valobase,	ভালোবাসে,	ভালোবাসে,	
sorting,	সর্টিং,	সর্টিং,	
ghotolen,	ঘটলেন,	ঘটলেন,	
angsogrohone,	অংসগ্রহণে,	অংশগ্রহনের,	
parijaner,	পরিজনের,	পরিজনের,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
ashiatic,	অ্যাশিয়াটিক,	এশিয়াটিক,	
jamjamat,	জামজামত,	জমজমাট,	
ashankai,	আশাঙ্কাই,	আশঙ্কাই,	
abeganuvutir,	আবেগানগুবতির,	আবেগানুভূতির,	
dharmee,	ধর্মী,	ধর্মী,	
uporitaley,	উপরিতালে,	উপরিতলে,	
aairees,	আইরিস,	আইরিস,	
seekkhaou,	শিক্ষাও,	শিক্ষাও,	
romjaner,	রোমজানের,	রমযানের,	
lutheerana,	লুথিরানা,	লুথেরান,	
bisshonath,	বিশ্ননাথ,	বিশ্বনাথ,	
gajano,	গজনা,	গজানো,	
peeth,	পিথ,	পীঠ,	
dubaate,	দুবাতে,	ডুবাতে,	
maladabha,	মালাধা,	মলদোভা,	
naajii,	নাজি,	নাত্সি,	
abikaul,	অবিকাউল,	অবিকল,	
ssahocorze,	সাহোকর্জে,	সাহচর্যে,	
ispredsiit,	ইসপ্রেডসিট,	স্প্রেডশীট,	
kharar,	খারার,	খরার,	
aanaan,	আনান,	আনান,	
turista,	তুরিস্তা,	টুরিস্ট,	
subader,	সুবাদের,	সুবাদে,	
angibhutovabe,	অঙ্গীভূতভাবে,	অঙ্গীভূতভাবে,	
parikha,	পররিখা,	পরিখার,	
chhutee,	ছুটি,	ছুটি,	
asovarno,	অসভার্ণ,	অসবর্ণ,	
elakai,	এলাকাই,	এলাকাই,	
hamburgey,	হ্যামবার্গে,	হামবুর্গে,	
tep,	টিপ,	ট্যাপ,	
shasankorta,	শাসনকর্তা,	শাসনকর্তা,	
fastara,	ফাস্তারা,	ফস্টার,	
sten,	স্টেন,	স্টেন,	
registaner,	রেজিস্টেনের,	রেগিস্তানের,	
pakistanira,	পাকিস্তানিরা,	পাকিস্তানীরা,	
tintikey,	তিনটিকে,	তিনটিকে,	
headquartus,	হেডকাউর্টাস,	হেডকোয়ার্টাস,	
bibader,	বিবাদের,	বিবাদের,	
aamor,	আমর,	আমর,	
adhunikkale,	আধুনিক্কালে,	আধুনিককালে,	
gabhaaskar,	গাভাস্কার,	গাভাস্কার,	
dantahin,	দন্তাহীন,	দন্তহীন,	
rinobodh,	ঋণবোধ,	ঋণবোধ,	
fongli,	ফংলি,	ফংলি,	
shakankti,	শককন্টি,	শকাঙ্কটি,	
bhangle,	ভাঙ্গলে,	ভাঙলে,	
anyarup,	অন্যরূপ,	অন্যরূপ,	
udbhabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
aditisaha,	আদিতিসহ,	অদিতিসহ,	
elakatir,	এলাকাটির,	এলাকাটির,	
zerusalem,	জেরুসালেম,	জেরুসালেম,	
shniper,	শ্নীপের,	স্নাইপার,	
remacri,	রিম্যাক্রি,	রেমাক্রী,	
saras,	সারাস,	সরস,	
gemske,	গেমসকে,	জেমসকে,	
dharabahikvabe,	ধারাবাহিকভাবে,	ধারাবাহিকভাবে,	
elaaka,	এলাকা,	এলাকা,	
rushad,	রুশাদ,	রুশদ,	
irana,	ইরানা,	ইরান,	
gloria,	গ্লোরিয়া,	গ্লোরিয়া,	
megh,	মেঘ,	মেঘ,	
blyaka,	ব্ল্যাক,	ব্ল্যাক,	
muhuriganj,	মুহুরীগঞ্জ,	মুহুরীগঞ্জ,	
shasonkarta,	শাসনকর্তা,	শাসনকর্তা,	
ispredseet,	ইস্প্রেডসিট,	স্প্রেডশীট,	
munjur,	মুঞ্জুর,	মুনজুর,	
chirantan,	চিরান্তন,	চিরন্তন,	
ooipoka,	উইপক,	উইপোকা,	
kinsha,	কিনশা,	কিংস,	
sikkhakbrinda,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
asovya,	অসভ্য,	অসভ্য,	
chire,	চিরে,	চিরে,	
chirkoot,	চিরকুট,	চিরকুট,	
shilpojaat,	শিল্পজাত,	শিল্পজাত,	
cheerontan,	চীরনতন,	চিরন্তন,	
madhabi,	মাধবী,	মাধবী,	
kosambir,	কোসাম্বীর,	কোসাম্বীর,	
bo,	বোএই,	বু,	
gopalrao,	গোপালরাও,	গোপালরাও,	
bongsho,	বংশ,	বংশ,	
janmat,	জননম,	জন্মাত,	
kathghera,	কাঠঘেরা,	কাঠঘেরা,	
manab,	মানব,	মানব,	
deil,	ডেইল,	ডেইল,	
aporishodhito,	অপরিষিধত,	অপরিশোধিত,	
bolatkar,	বলাৎকা,	বলাৎকার,	
chikitsanirbhar,	চিকিতসানির্ভর,	চিকিৎসানির্ভর,	
amiya,	আমিয়া,	অমিয়,	
amorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
cooda,	কোডডা,	কোডা,	
umb,	ইউএমবি,	ইউএমবি,	
hariner,	হরিনের,	হরিণের,	
onker,	অঙ্কার,	ওঙ্কার,	
sangkulaan,	সংকুলান,	সংকুলান,	
licencedhari,	লাইসেন্ডাহারী,	লাইসেন্সধারী,	
maradeha,	মারাদেহা,	মরদেহ,	
distibutor,	ডিস্টিবুটর,	ডিস্টিবিউটারের,	
konoroop,	কোরূপ,	কোনরূপ,	
fud,	ফাদ,	ফুড,	
ikboler,	ইকবলের,	ইকবলের,	
soundorjotakei,	সৌন্দর্যটাকেই,	সৌন্দর্যটাকেই,	
oshtader,	অষ্টাদের,	ওস্তাদের,	
baet,	বিয়েট,	বাইট,	
joki,	জোকি,	জকি,	
torunderke,	তরুন্দেরকে,	তরুণদেরকে,	
vittio,	ভিত্তিও,	ভিত্তিও,	
hydrological,	হাইড্রোলজিক্যাল,	হাইড্রোলজিক্যাল,	
oncholeo,	অঞ্চলেও,	অঞ্চলেও,	
mase,	মাসে,	মাসে,	
qara,	কারা,	কর,	
sectore,	সেকটটরে,	সেক্টরে,	
chotogolper,	চটগল্পের,	ছোটগল্পের,	
jakatke,	জাকাতকে,	যাকাতকে,	
roopmatro,	রূপমাত্র,	রূপমাত্র,	
gasthii,	গাষ্ঠি,	গোষ্ঠীই,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
jibonnogor,	জীবন্যগর,	জীবননগর,	
plainey,	প্লেই,	প্লেনে,	
plack,	প্ল্যাক,	প্ল্যাক,	
uparjon,	উপার্যন,	উপার্জন,	
bbiswashke,	বিব্ষিশ্বাকে,	বিশ্বাসকে,	
muradkey,	মুরাদকে,	মুরাদকে,	
sombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
aalkatraa,	আলকাতরা,	আলকাতরা,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
jones,	জনেস,	জোন্স,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
gajiipur,	গজিিপুর,	গাজীপুর,	
jolrong,	জলরং,	জলরঙ,	
upobaashee,	উপবাশী,	উপবাসী,	
nirbahey,	নির্বাহে,	নির্বাহে,	
brittakare,	বৃত্তকারে,	বৃত্তাকারে,	
karir,	করির,	কারীর,	
probondhobhittik,	প্রবন্ধভিত্তিক,	প্রবন্ধভিত্তিক,	
chiroharit,	চিরহাহিরিত,	চিরহরিৎ,	
gazipur,	গাজীপুর,	গাজিপুর,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
larson,	লারসন,	লারসন,	
siropa,	সিরোপা,	শিরোপা,	
path,	পাথ,	পাথ,	
horeepur,	হরিপুর,	হরিপুর,	
kaferderke,	কাফেরদেরকে,	কাফেরদেরকে,	
armashtram,	আর্মশ্ত্রম,	আর্মস্ট্রং,	
dakticket,	ডাকটিকেট,	ডাকটিকিট,	
hafej,	হাফেজ,	হাফেয,	
chhutochhooti,	ছুটোছুটি,	ছুটোছুটি,	
bhogno,	ভগ্ন,	ভগ্ন,	
baipash,	বাইপাশ,	বাইপাস,	
oitijhya,	ঐতিহ্য,	ঐতিহ্য,	
baarbadoj,	বারবাদজ,	বার্বাডোজ,	
foxcon,	ফক্সকন,	ফক্সকন,	
duple,	ডুপল,	ডুপ্লে,	
muhurtati,	মুহুর্তটি,	মুহুর্তটি,	
neerbahi,	নিরবাহী,	নির্বাহি,	
nisader,	নিসাদের,	নিষাদের,	
niroja,	নিরোজা,	নিরোজা,	
balaruma,	বালারুমা,	বলরুম,	
shikkhadikkhay,	শিক্ষাদিক্ষা,	শিক্ষাদিক্ষায়,	
kraim,	ক্রাইম,	ক্রাইম,	
heerani,	হিরানী,	হিরানি,	
niurolaji,	নিউরোলজি,	নিউরোলজি,	
site,	সাইট,	সিটে,	
spredashita,	স্প্রেডাশিত,	স্প্রেডশীট,	
bbosonto,	ব্বসন্ত,	বসন্ত,	
taatey,	তাইতে,	তাতে,	
nodimaatrik,	নদীমাত্রিক,	নদীমাতৃক,	
rohinibabu,	রোহিনীবাবু,	রোহিনীবাবু,	
chitronattakar,	চিত্রনাট্তকার,	চিত্রনাট্যকার,	
shoreefer,	শরফফের,	শরিফের,	
firoza,	ফিরোজা,	ফিরোজা,	
alpo,	অল্প,	অল্প,	
barder,	বার্ডার,	বার্ডের,	
bossoben,	বসববেন,	বসবেন,	
korush,	করুশ,	ক্রুশ,	
setike,	সেতিকে,	সেটিকে,	
deefinishion,	দীফিনিশন,	ডেফিনেশন,	
subade,	সুবাদে,	সুবাদে,	
dhwajbhango,	ধ্বাজঙ্গ,	ধ্বজভঙ্গ,	
boudher,	বৌধের,	বৌদ্ধের,	
olympicer,	অলিম্পিসের,	অলিম্পিকের,	
akkelpure,	আক্কেলপুরে,	আক্কেলপুরে,	
arg,	আর্,	আর্গ,	
sainyader,	সাইন্যাদের,	সৈন্যদের,	
oncolsoho,	অঙ্কোলসহ,	অঞ্চলসহ,	
parabortee,	পারাবর্তী,	পরর্বতী,	
aflatoxin,	আফ্লাটক্সিন,	আ্যফ্ল্যাটক্সিন,	
prapokkey,	প্রাপক্কে,	প্রাপককে,	
labonaaktotaar,	লবণকোত্তার,	লবণাক্ততার,	
spredshiit,	স্প্রেডশিট,	স্প্রেডশীট,	
venush,	ভেনুশ,	ভেনাস,	
ceramiker,	সেরামিকের,	সিরামিকের,	
shfingtar,	স্ফিংটা,	স্ফিংটার,	
seeramiks,	সিরামিক্স,	সিরামিকস,	
munsi,	মুন্সি,	মুন্সী,	
dapadpi,	দাপাদপি,	দাপাদপি,	
armstronz,	আর্মস্ট্রন,	আর্মস্ট্রং,	
ongkush,	অঙ্কুশ,	অংকুশ,	
footbalarer,	ফুটবলারের,	ফুটবলারের,	
shoori,	শুরী,	সুরি,	
aatmobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
pader,	পাদের,	প্যাডের,	
kindom,	কিন্দম,	কিংডম,	
fanse,	ফেনসে,	ফাঁসে,	
poste,	পোস্টে,	পোষ্টে,	
apad,	অ্যাপড,	আপদ,	
chargar,	চারগর,	চার্জার,	
sahab,	সাহাব,	সাহাব,	
kaia,	কৈই,	কায়া,	
mercial,	মার্িয়াল,	মার্শিয়াল,	
bhagno,	ভগ্ন,	ভগ্ন,	
dwipke,	দ্বীপকে,	দ্বীপকে,	
breqathru,	ব্রেকাথরু,	ব্রেকথ্রু,	
smarak,	স্মরক,	স্মারক,	
fand,	ফ্যান্ড,	ফান্ড,	
boikolyo,	বৈকল্য,	বৈকল্য,	
notikotar,	নতিকতার,	নৈতিকতার,	
graminphonor,	গ্রামিনফোনোর,	গ্রামীণফোনর,	
rachanakal,	রচনাকাল,	রচনাকাল,	
prasadhani,	প্রসাধানি,	প্রসাধনী,	
koomarir,	কুমারীর,	কুমারীর,	
jothon,	যথন,	যথন,	
nilfamarir,	নীলফামারির,	নীলফামারীর,	
deputy,	ডিপাউটি,	ডেপুটি,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
sinakey,	সিনাকে,	সিনাকে,	
shresthoshcho,	শ্রেষ্ঠস্চ,	শ্রেষ্ঠশ্চ,	
mukhya,	মুখ্যা,	মুখ্য,	
kaathhaamaandu,	কাথামান্দু,	কাঠমান্ডু,	
madhukori,	মধুকরী,	মাধুকরী,	
dekaner,	দেকানের,	দেকানের,	
machsoho,	মাচসহ,	মাছসহ,	
sontoshpur,	সন্তোপসুর,	সন্তোষপুর,	
bojhaao,	বোঝাও,	বোঝাও,	
pooshti,	পুষ্টি,	পুষ্টি,	
gaandaas,	গান্দাস,	জ্ঞানদাস,	
karmakarke,	কারমকারকে,	কর্মকারকে,	
gronthao,	গ্রন্থাও,	গ্রন্থও,	
kul,	কুল,	কুল,	
nothiboddho,	নথিবদ্ধ,	নথিবদ্ধ,	
rohosyoti,	রহস্যটি,	রহস্যটি,	
ghoomachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
cheerokoomari,	চিরকুমারি,	চিরকুমারী,	
everage,	এভারেজ,	এভারেজ,	
alankorana,	আলঙ্করণা,	অলঙ্করণ,	
dhaleshorii,	ধালেছরই,	ধলেশ্বরী,	
baman,	বামান,	বামন,	
nili,	নীলি,	নিলি,	
elbamtite,	এলবাম্টিতে,	এলবামটিতে,	
saralya,	সরলল্যা,	সারল্য,	
groundta,	গ্রুউন্ডটা,	গ্রাউন্ডটা,	
safiin,	সাফিন,	সাফিন,	
romantik,	রোমান্তিক,	রোমান্টিক,	
dhormoprobortokder,	ধর্মপ্রবর্তদের,	ধর্মপ্রবর্তকদের,	
uddhrita,	উদ্ধৃতা,	উদ্ধৃত,	
dholeshwari,	ধোলেশ্বরী,	ধলেশ্বরী,	
antercticker,	অ্যান্টার্ক্সকের,	অ্যান্টার্কটিকের,	
rakhete,	রাখেতে,	রাখেতে,	
taims,	টেইম্স,	টাইমস্,	
sangosrobomukto,	সংস্রবসমুক্ত,	সংস্রবমুক্ত,	
iksaprishana,	এক্সপ্রিষণ,	এক্সপ্রেশন,	
vins,	ভিন্স,	ভিন্স,	
bhandti,	ভান্ডটি,	ভাণ্ডটি,	
paadee,	পাডে,	পাড়ে,	
gaujano,	গৌজানো,	গজানো,	
hurricane,	হ্যারিকানে,	হ্যারিকেন,	
orbeet,	অরবিট,	অরবিট,	
nirikho,	নিরিখো,	নিরিখ,	
metropolitan,	মেট্রোপলিটান,	মেট্রোপলিটন,	
carlosh,	কারলোশ,	কার্লোস,	
shishupalgarh,	শিশুপলগড়,	শিশুপালগড়ে,	
valobasen,	ভালোবাসেন,	ভালোবাসেন,	
dakter,	ডাক্তের,	ডাকতের,	
ritesh,	রিথেশ,	রিতেশ,	
dhhaloor,	ঢালুর,	ঢালুর,	
gamdan,	গামদান,	গামদান,	
oyebjin,	ওয়েব্িন,	ওয়েবজিন,	
paab,	পাব,	পাব,	
innahu,	ইন্নাহু,	ইন্নাহু,	
seguloi,	সেগুলোই,	সেগুলোই,	
torunra,	তরুনরা,	তরুণরা,	
potka,	পটকা,	পটকা,	
bhabanipur,	ভবানীপুর,	ভবানীপুর,	
bhebechili,	ভেবেছিলি,	ভেবেছিলি,	
dharmadasbabu,	ধর্মদাসবাবু,	ধর্মদাসবাবু,	
alumni,	আলুমনি,	অ্যালমনি,	
babona,	বাবনা,	বাবনা,	
impaction,	ইম্পাক্শন,	ইমপ্যাকশন,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
mastarsa,	মস্তর্স,	মাস্টার্স,	
tikta,	তিকটা,	তিক্ত,	
salapheeta,	সালফেত,	সালফেট,	
assaciates,	এ্যাসাযিয়েটস,	এসোসিয়েটস,	
baarnis,	ব্রনীস,	বার্নিশ,	
masjidsaho,	মাসজিদসহ,	মসজিদসহ,	
seebiai,	সিবিয়াই,	সিবিআই,	
gosthike,	গোষ্ঠিকে,	গোষ্ঠীকে,	
ongshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
ddebet,	ডিজেব,	ডিবেট,	
keuoi,	কেওই,	কেউই,	
nyata,	ন্যাট,	ম্যাট,	
bhujangta,	ভূজঙ্ত,	ভুজঙ্গটা,	
nutan,	নুটান,	নূতন,	
pancbaar,	পানক্বার,	পাঁচবার,	
biphal,	বিফাল,	বিফল,	
aaps,	এপিএস,	এএপিএস,	
fatakesto,	ফাটাকেস্তো,	ফাটাকেষ্ট,	
shahjapur,	শাহজাপুর,	শাহজাপুর,	
sanghatakder,	সংহটকাদের,	সংঘটকদের,	
dada,	ডাদা,	দাদা,	
chhooteete,	ছুটিতে,	ছুটিতে,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
mukhamandoler,	মুখামন্ডলের,	মুখমণ্ডলের,	
gyandas,	জ্ঞানদাস,	জ্ঞানদাস,	
prokalpagulo,	প্রকালপাগুলো,	প্রকল্পগুলো,	
nathivookto,	নাথিভুক্ত,	নথিভুক্ত,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
upobasee,	উপবাসী,	উপবাসী,	
korimkey,	করিমকে,	করিমকে,	
goodamjato,	গুডমাজত,	গুদামজাত,	
khamotagulor,	ক্ষমতাগুলোর,	ক্ষমতাগুলোর,	
manabmaner,	মানবমানের,	মানবমনের,	
shekarmani,	শেখারমানি,	শেকরমানি,	
chikkingsasoho,	চিক্কিংসাসহ,	চিকিংসাসহ,	
anusthane,	অনুষ্ঠানে,	অনুষ্ঠানে,	
prachando,	প্রচাণ্ড,	প্রচণ্ড,	
karmazog,	কারমাোগ,	কর্মযোগ,	
jacksonke,	জ্যাকসনকে,	জ্যাকসনকে,	
diiptii,	দিপটিই,	ডেপুটি,	
shekarone,	শেখারনে,	সেকারণে,	
sumi,	সুমি,	সুমি,	
majlishpur,	মজলিশপুর,	মজলিশপুর,	
turbine,	টারবাইন,	টারবাইন,	
tookrokey,	তুকরকে,	টুকরোকে,	
volivoler,	ভলিভোলের,	ভলিভলের,	
dai,	হাই,	ডে,	
gratha,	গ্রাথা,	গ্রোথ,	
dufresne,	ডাফারস্ন,	ডুফরেস্ন,	
durbhagya,	দুর্ভাগ্য,	দূর্ভাগ্য,	
teennis,	টেনিস,	টেনিস,	
chal,	চাল,	চাল,	
ameettrakkhor,	অমিতর্ক্ষর,	অমিত্রাক্ষর,	
khoor,	খুর,	ক্ষুর,	
sarbhare,	সার্ভরে,	সার্ভারে,	
bhenkates,	ভেঁকাতেস,	ভেঙ্কটেশ,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
mishal,	মিশাল,	মিশাল,	
abhidhaaneeck,	অভিধানিক,	অভিধানিক,	
tennis,	টেনিস,	টেনিস,	
nazad,	নাজাদ,	নজদ,	
matis,	মাতিস,	ম্যাটিস,	
somabeshti,	সমাবেশটি,	সমাবেশটি,	
ganesh,	গনেশ,	গণেশ,	
senior,	সেনিওর,	সিনিয়র,	
kantojir,	কান্তজির,	কান্তজির,	
pachak,	পাচাক,	পাচক,	
mimgulor,	মিমগুলোর,	মিমগুলোর,	
poriharsoho,	পরিহারসহ,	পরিহারসহ,	
enamela,	এনামেলা,	এনামেল,	
shringa,	শ্রিংগা,	শৃঙ্গ,	
nibirbhabe,	নিবির্ভাবে,	নিবিরভাবে,	
porirshoder,	পরির্শদের,	পরির্ষদের,	
choudhursoho,	চৌধুরসহ,	চৌধুরসহ,	
arthurer,	অর্থুরের,	আর্থারের,	
spenser,	স্পেন্সের,	স্পেন্সার,	
protishta,	প্রতিষ্টা,	প্রতিষ্টা,	
shangsthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
bhogiroth,	ভোগীরথ,	ভগীরথ,	
dembakreeti,	দেম্বকৃতি,	ডিম্বাকৃতি,	
chalake,	চালাকে,	চালকে,	
shikshakbrinda,	শিক্ষাবৃন্দ,	শিক্ষকবৃন্দ,	
birishiritey,	বিরিশিরিতে,	বিরিশিরিতে,	
bhyaatikaner,	ভ্যাটিকানের,	ভ্যাটিকানের,	
sahojatprobritti,	সহযাতপ্রতৃবৃত্তি,	সহজাতপ্রবৃত্তি,	
shikkharrthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
sangkoolan,	সংকুলোন,	সংকুলান,	
juakhelar,	জুয়াখেলার,	জুয়াখেলার,	
hindutirtha,	হিন্দুতীর্থ,	হিন্দুতীর্থ,	
bibechyo,	বিবেচ্য,	বিবেচ্য,	
contemporary,	কন্টেমপারারি,	কন্টেম্পোরারি,	
rodney,	রডনে,	রেডনি,	
kisti,	কিস্তি,	কিস্তি,	
poddhotiteyi,	পদ্ধতিতেই,	পদ্ধতিতেই,	
