narsaari,	নরসারী,	নার্সারি,	
cholochchitrer,	চলচচিত্রের,	চলচ্চিত্রের,	
uttor,	উত্তর,	উওর,	
durgatsober,	দুর্গাতবের,	দুর্গোৎসবে,	
biphal,	বিফাল,	বিফল,	
siraju,	সিরাজু,	সিরাজু,	
damakalkarmirao,	দামাকল্র্মাও,	দমকলকর্মীরাও,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
asamorik,	আসামরিক,	অসামরিক,	
rashider,	রাশিদের,	রশিদের,	
saver,	সাভের,	সেভার,	
pravritir,	প্রাভ্রিতির,	প্রভৃতির,	
dinara,	দিনারা,	ডিনার,	
aabarte,	আবার্টে,	আবর্তে,	
ankanshilpe,	আঙ্কানশিল্পে,	অঙ্কনশিল্পে,	
sponsorshipe,	স্পন্পর্ষীপে,	স্পন্সরশীপে,	
akeeb,	আকেব,	আকিব,	
amittrakkhor,	অমিত্রাখকর,	অমিত্রাক্ষর,	
proshtutkarok,	প্রশ্তুকর্,	প্রস্তুতকারক,	
senior,	সেনিউর,	সিনিয়র,	
aanaan,	আনান,	আনান,	
orgho,	অর্ঘ,	অর্ঘ্য,	
metropolitan,	মেত্রপপলিটন,	মেট্রোপলিটন,	
dreeshtiheen,	দৃষ্টেহীন,	দৃষ্টিহীন,	
uqeliptas,	উকেলিপ্লাপনস্ট,	ইউক্যালিপ্টাস,	
hariner,	হারিনের,	হরিণের,	
sudrissho,	সুদৃশ্,	সুদৃশ্য,	
meloonborroner,	মেলোবর্বনের,	মেলবোর্নের,	
lambaate,	ল্যামবেটে,	লম্বাটে,	
bhaibon,	ভাইবন,	ভাইবোন,	
ray,	রেয়া,	রায়,	
shasankarta,	শাসাকর্টা,	শাসনকর্তা,	
thaii,	থাই,	থাই,	
kuldip,	কুলদিপ,	কুলদীপ,	
votar,	ভোটার,	ভোটার,	
reetesh,	রীটেশ,	রিতেশ,	
shunani,	শুনানি,	শুনানী,	
nirvachokder,	নির্ভাক্কের,	নির্বাচকদের,	
somoibo,	সমৈবব,	সমৈব,	
muradke,	মুরাদকে,	মুরাদকে,	
mishal,	মিশাল,	মিশাল,	
sangsakti,	সংস্কটি,	সংসক্তি,	
yak,	যাক,	ইয়াক,	
maail,	মাইল,	মাইল,	
basermick,	বাসেরমিক,	বেসারমিক,	
dushtogone,	দুষ্টোগোনে,	দুষ্টগণে,	
duiekdiner,	ডুইকদেনের,	দুইএকদিনের,	
pray,	প্রে,	প্রায়,	
saarbharti,	সারভর্টি,	সার্ভারটি,	
asovarno,	অসাভর্ণও,	অসবর্ণ,	
salmanul,	সালমানুল,	সালমানুল,	
onchalgulir,	অনচলাগুলির,	অঞ্চলগুলির,	
lampot,	ল্যামপট,	লম্পট,	
reshidensha,	রেশিদেন্শ,	রেসিডেন্স,	
shommoteer,	শম্ততির,	সম্মতির,	
seekkhaou,	শিক্ষৌ,	শিক্ষাও,	
sonaktokaran,	সোনাক্তকরণ,	সনাক্তকরণ,	
anchalsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
annanere,	অন্নানের,	অন্যানেরে,	
sommoteer,	সম্মতিতর,	সম্মতির,	
bbosben,	ব্সসবেন,	বসবেন,	
favorite,	ফাভরিতে,	ফেভারিট,	
abheedhanik,	অভিধিনিক,	অভিধানিক,	
bolvodro,	বলভোদ্র,	বলভদ্র,	
osoborno,	অসববর্ণ,	অসবর্ণ,	
degreeo,	দেগ্রিও,	ডিগ্রিও,	
bosontoke,	বসন্তকে,	বসন্তকে,	
thyachara,	থ্যাচারা,	থ্যাচার,	
suchanakal,	সুচানাকাল,	সূচনাকাল,	
shikshagata,	শিকশাগতা,	শিক্ষাগত,	
shfingtar,	সিংটংার,	স্ফিংটার,	
chanoo,	চানুও,	চানু,	
katiusha,	কাতিশা,	কাতিউশা,	
itastata,	ইতাস্তা,	ইতস্তত,	
ajeem,	আজিম,	আজিম,	
chilona,	চিলোনা,	ছিলনা,	
punosthaner,	পুনস্থানের,	পুনঃস্থানের,	
krisenter,	ক্রিসেন্তের,	ক্রিসেন্টের,	
harbore,	হারবোর,	হারবারে,	
phareeksa,	ফারিকসা,	ফরেক্স,	
veenis,	ভিনিস,	ভেনিস,	
byaktikegreptar,	ব্যক্তিকেপ্র,	ব্যক্তিকেগ্রেপ্তার,	
dhwajbhango,	ধ্বাবভাঙ্গ,	ধ্বজভঙ্গ,	
streegon,	স্ট্রেগন,	স্ত্রীগণ,	
vushito,	ভুষিত,	ভূষিত,	
sawam,	সায়াম,	সাওম,	
rupantarer,	রূপান্তের,	রুপান্তরের,	
bonnypran,	বন্নিপ্রাণ,	বন্যপ্রাণ,	
kruser,	ক্রুসের,	ক্রুশের,	
pratool,	প্রাটল,	প্রতুল,	
sinaake,	সিনাকে,	সিনাকে,	
aarke,	আরকে,	আরকে,	
naobihar,	নওবহিহার,	নৌবিহার,	
chhanada,	ছনাদা,	ছানাদা,	
dhandu,	ধান্ডু,	ধন্দু,	
nutan,	নুতান,	নূতন,	
baptics,	ব্যাপ্টিক্স,	ব্যাপটিকস,	
janosamaj,	জনসোমা,	জনসমাজ,	
kaleo,	কালেও,	কালেও,	
jamjomat,	জামজোমাত,	জমজমাট,	
codee,	কোডি,	কোডে,	
steena,	স্টিনা,	স্টেন,	
sardar,	সারদার,	সরদার,	
felto,	ফেলটো,	ফেলত,	
bite,	বিতে,	বাইট,	
sthapona,	স্পাপনা,	স্থাপনা,	
ronodeep,	রনোডীপ,	রণদীপ,	
sosoa,	সোসোয়া,	শশা,	
soinyo,	সৈন্য,	সৈন্য,	
oncholeo,	অঁচলেও,	অঞ্চলেও,	
cathalic,	ক্যাথালিক,	ক্যাথলিক,	
grotha,	গ্রোথা,	গ্রোথ,	
jeebnagore,	জীবনগরে,	জীবননগর,	
mojlish,	মজলিশ,	মজলিশ,	
bowie,	বায়,	বওই,	
elgoridom,	এলগোরিগ,	এলগরিদম,	
segulo,	সেগুলো,	সেগুলো,	
faaj,	ফাযাজ,	ফাজ,	
swairacharibirodhi,	স্বৈবারবিরোধী,	স্বৈরাচারীবিরোধী,	
oitijjo,	ঐতিজ্য,	ঐতিহ্য,	
faltu,	ফালতা,	ফালতু,	
manobikotao,	মানবিকতাও,	মানবিকতাও,	
gamdan,	গামদান,	গামদান,	
maila,	মাইলা,	মাইল,	
lishenshe,	লিশেনশে,	লাইসেন্স,	
somabeshti,	সমাবেশ্টি,	সমাবেশটি,	
shrabostee,	শ্রবস্তি,	শ্রাবস্তী,	
biswashi,	বিশ্বাশী,	বিশ্বাসী,	
juboksoho,	যুবকসহ,	যুবকসহ,	
seo,	সেওও,	সেও,	
prokalpagulo,	প্রকালপগুলো,	প্রকল্পগুলো,	
apad,	আপাড,	আপদ,	
shuperheiro,	শুপেরহেরও,	সুপারহিরো,	
deh,	দেহ,	দেহ্,	
chinto,	চিন্তো,	চিনতো,	
mailkhanek,	মাইলখানেক,	মাইলখানেক,	
brojomohun,	ব্রমহহুন,	ব্রোজোমোহন,	
rifleksa,	রিফলেক্সা,	রিফ্লেক্স,	
madhumati,	মধুমাটি,	মধুমতী,	
kayech,	কেয়েচ,	কায়েছ,	
qaferderkey,	কাফেরদেকে,	কাফেরদেরকে,	
nanilalke,	নানিলালকে,	ননীলালকে,	
sithilota,	সিথিলোতা,	শিথিলতা,	
langhaner,	লাঙঘানের,	লংঘনের,	
dimbacriti,	ডিমব্রাকিটি,	ডিম্বাকৃতি,	
quartar,	কুওরাটার,	কোয়ার্টার,	
koreempoor,	করিমপপর,	করিমপুর,	
baire,	বাইরে,	বাইরে,	
sikkharrtheerao,	সিক্ষার্থাও,	শিক্ষার্থীরাও,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
bojhao,	বোঝাও,	বোঝাও,	
keuoi,	কেও,	কেউই,	
diibug,	দিবুগ,	ডিবাগ,	
rajnoitik,	রাজনৈটিক,	রাজনৈতীক,	
hood,	হাড,	হুড,	
pettern,	পেটরার্ন,	প্যাটার্ন,	
nagorikkey,	নাগরিকে,	নাগরিককে,	
ateetkale,	অতিকটালে,	অতীতকালে,	
baaik,	বাইক,	বাইক,	
priseflex,	প্রিসেফ্লেক্স,	প্রাইজফ্লেক্স,	
bodhirota,	বধিরতা,	বধিরতা,	
naraphoka,	নারাফাকা,	নরফোক,	
kormokarke,	কর্মকরাকে,	কর্মকারকে,	
ala,	আলা,	আলা,	
oboshore,	অবশরে,	অবসরে,	
tecno,	টেকনো,	টেকনো,	
soommita,	সুম্মিতা,	সুমিতা,	
byaboharkarir,	ব্যবহরকারীর,	ব্যবহারকারীর,	
kokeyin,	কোকেয়িন,	কোকেইন,	
manushgulor,	মাুশগুলোর,	মানুষগুলোর,	
bastubad,	বাস্তুবাদ,	বস্তুবাদ,	
lekhaksattwar,	লেখক্ষত্ববর,	লেখকসত্ত্বার,	
kabutorer,	কাবুতের,	কবুতরের,	
dibet,	ডিবেট,	ডিবেট,	
palkee,	পালকি,	পাল্কি,	
kyatgarite,	ক্যাতগারিতে,	ক্যাটগারিতে,	
sarbhare,	সর্ভারে,	সার্ভারে,	
minister,	মিনিস্টের,	মিনিস্টার,	
songkulan,	সংকুলান,	সংকুলান,	
elaakate,	এলাকাতে,	এলাকাতে,	
kumbhalnar,	কুম্ভল্লার,	কুম্ভালনার,	
dalnata,	দলনাতা,	ডালনাটা,	
saptahokal,	সপ্তাখোল,	সপ্তাহকাল,	
protijogiider,	প্রতিযোগ্িদের,	প্রতিযোগীদের,	
bisnoo,	বিসনুও,	বিষ্ণু,	
registrikrito,	রেজিস্ৃকৃত,	রেজিস্ট্রীকৃত,	
onurbar,	অনুরবার,	অনুর্বর,	
charukala,	চরুকালা,	চারুকলা,	
projanankal,	প্রজানকাল,	প্রজননকাল,	
sooya,	সুয়া,	সোয়া,	
dharabahikvabe,	ধারাবাবিকাবে,	ধারাবাহিকভাবে,	
kinenni,	কিনেন্নি,	কিনেননি,	
booroon,	বুরুন,	বোরন,	
tukrowti,	তুক্রোটি,	টুকরোটি,	
raia,	রায়া,	রায়,	
khude,	খ্যুড়ে,	ক্ষুদে,	
garora,	গারোরা,	গারোরা,	
veenish,	ভিনিশ,	ভেনিস,	
parka,	পারকা,	পার্ক,	
karmosansthan,	কর্মসস্থান,	কর্মসংস্থান,	
sommotite,	সম্মতিতে,	সম্মতিতে,	
mujuru,	মুজুরু,	মুজুরু,	
tookror,	ত্কৌর,	টুকরোর,	
sambhabonao,	সম্ভাবনাও,	সম্ভবনাও,	
dajhyo,	দাঝ্য,	দাহ্য,	
meshintao,	মেশিন্তাও,	মেশিনটাও,	
tophaat,	তোফায়াট,	তফাৎ,	
bisshonath,	বিশ্থনথথ,	বিশ্বনাথ,	
phakay,	ফাকা,	ফাকে,	
direqtareta,	ডিরেক্তারটা,	ডিরেক্টরেট,	
societytey,	সোকিইটে,	সোসাইটিতে,	
bibader,	বিবাদের,	বিবাদের,	
gondogol,	গণ্ডগল,	গন্ডগোল,	
hijrite,	হিজরিতে,	হিজরীতে,	
bbiswashke,	ব্বিশবাশকে,	বিশ্বাসকে,	
mandape,	মান্ডাপে,	মন্ডপে,	
feroza,	ফেরোজা,	ফিরোজা,	
protishtan,	প্রতিষ্টান,	প্রতিষ্টান,	
dharabahikotitey,	ধারাবাহিতিতে,	ধারাবাহিকটিতে,	
shtona,	শ্তোনা,	স্টোন,	
sangaskritipreme,	সংস্কৃত্তিসে,	সংস্কৃতিপ্রেমে,	
dharabahikbhabe,	ধারাবাবীকে,	ধারাবাহিকভাবে,	
toching,	তোচিং,	টোচিং,	
haris,	হারিস,	হ্যারিস,	
chotogolper,	চটগল্লের,	ছোটগল্পের,	
shukraanoo,	শুকরানো,	শুক্রানু,	
ameettrakkhor,	অমিত্রক্ষার,	অমিত্রাক্ষর,	
dokaangoolote,	ডোকানগুলোতে,	দোকানগুলোতে,	
machgulo,	মাছগুলো,	মাছগুলো,	
qaferder,	কাফেরদের,	কাফেরদের,	
soori,	সুরি,	সুরি,	
boudher,	বৌধের,	বৌদ্ধের,	
bisheshya,	বিশেশ্য,	বিশেষ্য,	
ivil,	আইভিল,	ইভিল,	
deil,	ডেল,	ডেইল,	
kaathhmaandute,	কাঠমান্দুতে,	কাঠমান্ডুতে,	
protectionism,	প্রোটেক্টিনিস,	প্রোটেকশনিজম,	
shitei,	শিতেই,	শীতেই,	
niketon,	নিকেতন,	নিকেতন,	
doorotaumo,	দূরতামো,	দূরতম,	
amarika,	আমরিকা,	আমেরিকা,	
koyekbare,	কোয়েক্বরে,	কয়েকবারে,	
artore,	আর্তরে,	আর্টরে,	
godamjato,	গোদামগাতো,	গুদামজাত,	
societykey,	সকিস্টেক,	সোসাইটিকে,	
saseza,	সাজেজা,	সসেজ,	
shorifer,	শরিফের,	শরিফের,	
redcrosser,	রেক্রোস্সের,	রেডক্রসের,	
karaponner,	কারাপন্নের,	কারাপণ্যের,	
neerbahi,	নীরবাহী,	নির্বাহি,	
brittakar,	বৃত্যাকার,	বৃত্তাকার,	
vool,	ভুল,	উল,	
tantubayer,	তন্তুবায়ের,	তন্তুবায়ের,	
haripur,	হরিপুর,	হরিপুর,	
jaadrel,	যাড্রেল,	জাঁদরেল,	
edseler,	এডসেলের,	এডসেলের,	
paroner,	পারোনের,	পারণের,	
karore,	কারের,	কারোর,	
landey,	ল্যান্ডে,	ল্যান্ডে,	
ratishilatai,	রতিশিলতাই,	রতিশীলতায়,	
fansi,	ফানসি,	ফাঁসী,	
teunar,	টেউনার,	টিউনার,	
esoosiyetasa,	এসোসিয়েশা,	এসোসিয়েটস,	
kaansaat,	কানসাট,	কানসাট,	
madhabi,	মধাবী,	মাধবী,	
alraji,	আলরাজি,	আলরাজী,	
heart,	হার্ট,	হার্ট,	
shikkharrthirao,	শিক্ষার্থারীও,	শিক্ষার্থীরাও,	
mutar,	মুতার,	মুতার,	
eeksapreeshana,	ইকশ্প্রীন,	এক্সপ্রেশন,	
arthonitite,	আর্থনিতিতে,	অর্থনীতিতে,	
udor,	উদর,	উদর,	
drabyatah,	দ্রব্যত,	দ্রব্যতঃ,	
bangulzai,	বাঙ্গল্লাই,	বঙ্গুলিজাই,	
chhutee,	ছুটি,	ছুটি,	
mulyabriddhikale,	মূল্যবৃধিলীধ্যকলে,	মূল্যবৃদ্ধিকালে,	
gore,	গোরে,	গোর,	
antercticker,	অ্যান্টার্সিকের,	অ্যান্টার্কটিকের,	
habshi,	হাবশী,	হাবশী,	
chalochchitreer,	চালচ্ছ্রিত্রীর,	চলচ্চিত্রের,	
shatan,	শতন,	শয়তান,	
cholochchitrake,	চলচচ্তিত্রাকে,	চলচ্চিত্রকে,	
matorom,	মাতোরোম,	মাতরম,	
gobeshakgon,	গবেশকংগণ,	গবেষকগণ,	
bhangchur,	ভাঁচুর,	ভাংচুর,	
mooney,	মুনে,	মুনে,	
daaktikite,	দাকতিকিতে,	ডাকটিকিটে,	
greenald,	গ্রিণ্ড,	গ্রিনল্ড,	
valobase,	ভালোবাসে,	ভালোবাসে,	
bhuushito,	ভূশিত,	ভূষিত,	
jeshtha,	জেষ্ঠা,	জ্যেষ্ঠা,	
pulivendla,	পুলিভেন্ড্,	পুলিভেন্ডলা,	
deares,	ডেরাস,	ডিআরএস,	
alaul,	আলৌল,	আলাওল,	
bajite,	বাজিতে,	বাজিতে,	
ekoirokom,	একিরকম,	একইরকম,	
oncholgulir,	অঁচচলগুলির,	অঞ্চলগুলির,	
dii,	ডিআই,	দিই,	
gejeted,	জেজেটেড,	গেজেটেড,	
gabinius,	গাবিনাইস,	গাবিনিআস,	
firalem,	ফিরালেম,	ফিরালেম,	
bosano,	বসানো,	বসানো,	
hamburgey,	হামবারগেই,	হামবুর্গে,	
himchi,	হিমচি,	হিমচি,	
moshahidur,	মোশাহিদুর,	মোশাহিদুর,	
ajibooner,	আজিবনের,	আজীবনের,	
hosne,	হোসনে,	হোসনে,	
buddhitii,	বুদ্ধিতিই,	বুদ্ধিটিই,	
prottokkhovabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
rajashri,	রাজাশ্রী,	রাজশ্রী,	
kiandi,	কিয়ন্ডি,	ক্যান্ডি,	
jaruri,	জারুরি,	জরূরী,	
mosjidsoho,	মসজিজসহ,	মসজিদসহ,	
jiland,	জিলান্ড,	জিল্যান্ড,	
dorun,	দরুন,	দরুণ,	
pratisthanik,	প্রতিস্থানিক,	প্রাতিষ্ঠানিক,	
cxt,	সিকিএসসিএট,	সিএক্সটি,	
mosjidtir,	মসজিদ্তির,	মসজিদটির,	
mukhmondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
abhidhaaneeck,	অভিধায়েন্ক,	অভিধানিক,	
hattey,	হ্যাটটে,	হাঁটতে,	
poroborti,	পরবর্তি,	পরর্বতী,	
chiroharit,	চিরোহারিট,	চিরহরিৎ,	
swatantrata,	স্বতন্ত্রততা,	স্বতন্ত্রতা,	
deefinition,	ডিফিনিশন,	ডেফিনেশন,	
boshoborty,	বশবর্ত,	বশবর্তী,	
lendol,	লেন্ডল,	লেন্ডল,	
crucer,	ক্রুসার,	ক্রুশের,	
pragreesa,	প্রগৃরাসা,	প্রগ্রেস,	
ekok,	একোক,	একক,	
laagche,	লাগছে,	লাগছে,	
hank,	হ্যাংক,	হাঙ্ক,	
chaalkee,	চালকি,	চালকে,	
bollov,	বল্লভ,	বল্লভ,	
chhadura,	ছাদুরা,	ছাদুরা,	
thailandshoho,	থাইলান্দস,	থাইল্যান্ডসহ,	
uddharkarmirai,	উদ্ধরকর্মীরাই,	উদ্ধারকর্মীরাই,	
taposgoner,	তাপসগনের,	তাপসগণের,	
bidhirnityang,	বিধির্থিন্ত,	বিধির্নিত্যং,	
abti,	আব্তি,	আবতি,	
amontronkarider,	আমন্ত্রকারীদের,	আমন্ত্রণকারীদের,	
shilpikuler,	শিল্পিকুলের,	শিল্পীকুলের,	
jotota,	জততা,	যতোটা,	
zakharovar,	যখারোভার,	জাখারোভার,	
wictor,	উইক্টর,	ভিক্টর,	
rajendracholer,	রাজেন্দ্রাগলের,	রাজেন্দ্রচোলের,	
debete,	দেবেতে,	ডিবেট,	
chapal,	চাপাল,	চপল,	
miley,	মিলি,	মিলে,	
shringa,	শ্রিংগা,	শৃঙ্গ,	
flexta,	ফ্লেসেকটা,	ফ্লেক্সটা,	
durgotsab,	দুর্গোতসাব,	দুর্গোৎসব,	
proshikkhane,	প্রশিক্ষাণে,	প্রশিক্ষণে,	
tokeo,	তোকেও,	টোকেও,	
grambaaseeder,	গ্রামবাসিদের,	গ্রামবাসীদের,	
gaziipur,	গজিপুর,	গাজীপুর,	
byan,	ব্যান,	ব্যাং,	
protibedokrao,	প্রতিবেদ্রকাও,	প্রতিবেদকরাও,	
prokolpoti,	প্রকল্তটি,	প্রকল্পটি,	
elaakaati,	এলাকাটি,	এলাকাটি,	
pisach,	পিসাচ,	পিশাচ,	
kod,	কোড,	কোড,	
morodeho,	মোরোদেহ,	মরদেহ,	
cholchhe,	চলচে,	চলছে,	
ansarir,	আনসারীর,	আনসারীর,	
laiseensim,	লেইসিনস,	লাইসেন্সিং,	
ceramiksh,	সেরামিক্স,	সিরামিকস,	
teamothy,	তেমোথি,	টিমোথি,	
upbasher,	উপ্বাশের,	উপবাসের,	
hool,	হুল,	হুল,	
jetam,	জেটাম,	যেতাম,	
seguloi,	সেগুলোই,	সেগুলোই,	
sharifpur,	শরিপপুর,	শরিফপুর,	
chikitsanirbhar,	চিকিতাসরিবরহ,	চিকিৎসানির্ভর,	
trabuco,	ট্রাবুকো,	ট্র্যাবুকো,	
kade,	কাদে,	কোড,	
beauby,	বিযবি,	বিউবি,	
show,	শোও,	শো,	
bibadey,	বিবাদে,	বিবাদে,	
subade,	সুবাদে,	সুবাদে,	
jonoshongjog,	জনশং্যোগ,	জনসংযোগ,	
rijoor,	রিজুর,	রিজুর,	
ekirokom,	একিকরম,	একইরকম,	
idyi,	আইডিআই,	আইডিই,	
samaveshke,	সমাভেশকে,	সমাবেশকে,	
jonomukhi,	জনমুখী,	জনমুখী,	
ispredsheet,	ইসপ্রেডশট,	স্প্রেডশীট,	
lirikti,	লিরিকটি,	লিরিকটি,	
muradkey,	মুরাদকে,	মুরাদকে,	
informetion,	ইনফর্রেশন,	ইনফরমেশন,	
kichudinpar,	কিচুদিনপুর,	কিছুদিনপর,	
ardasho,	আর্দাশ,	আর্দশ,	
setikey,	সেতিকে,	সেটিকে,	
musalmani,	মুসলমানি,	মুসলমানই,	
shaater,	শাতের,	শ্যুটার,	
brekthrough,	ব্রেক্রঘাউগ,	ব্রেকথ্রু,	
soommo,	সুমমো,	সুমো,	
drissogulo,	দৃস্বগুলো,	দৃশ্যগুলো,	
laaishenshh,	লাইশেন্,	লাইসেন্স,	
akhandota,	আখান্ডতা,	অখণ্ডতা,	
deeares,	ডীরেস,	ডিআরএস,	
prasadhoni,	প্রসাধনি,	প্রসাধনী,	
plainey,	প্লেমাই,	প্লেনে,	
mulvitti,	মুলভিত্তি,	মূলভিত্তি,	
corsin,	কর্সিন,	করসিন,	
popaike,	পোপাইকে,	পপাইকে,	
sethai,	সেথাই,	সেথাই,	
uindos,	উইন্ডস,	উইন্ডোস,	
digree,	ডিগ্রি,	ডিগ্রি,	
codeti,	কোডেটি,	কোডটি,	
paab,	পাব,	পাব,	
headquartus,	হেডকার্টাস,	হেডকোয়ার্টাস,	
sohokari,	সহকারী,	সহকারী,	
omeettrakkhor,	ওমিত্রাক্ষর,	অমিত্রাক্ষর,	
canservatian,	ক্যানসেহারভিটন,	কনসারভেশন,	
dara,	দারা,	দারা,	
serology,	সেরোলজি,	সেরোলজি,	
jaaygata,	জায়গতা,	জায়গাটা,	
kei,	কেই,	কেই,	
