shucharita,	শুচারিতা,	সুচরিতা,	
licenshe,	লিইসেশন,	লাইসেন্স,	
kaatbey,	কাটবে,	কাটবে,	
golghare,	গোলঘরে,	গোলঘরে,	
nojder,	নজদের,	নজদের,	
dadar,	দাদার,	দাদার,	
kyatgarite,	ক্যাটগারিতে,	ক্যাটগারিতে,	
qrisenta,	ক্রিসেন্টা,	ক্রিসেন্ট,	
heteler,	হেটেলের,	হেটেলের,	
chalochchitro,	চালচচ্চিত্র,	চলচ্চিত্র,	
rakhete,	রাখেতে,	রাখেতে,	
podarthobidder,	পদার্থবিদ্দের,	পদার্থবিদদের,	
bishshasho,	বিশ্বাশ,	বিশ্বাসও,	
landin,	ল্যান্ডিন,	ল্যান্ডিং,	
towraat,	টাওরাত,	তওরাত,	
borkhastokritora,	বর্ষাক্তরিত্রা,	বরখাস্তকৃতরা,	
akkharkey,	অক্ষরকে,	অক্ষরকে,	
nobotomo,	নবতম,	নবতম,	
teemothy,	তেমোথি,	টিমোথি,	
choudhurike,	চৌধুরিকে,	চৌধুরীকে,	
kraim,	ক্রাইম,	ক্রাইম,	
booponer,	বুপনের,	বপনের,	
sportstar,	স্পোর্টস্টার,	স্পোর্টসস্টার,	
liaodong,	লিয়াডোং,	লিয়াওদং,	
hariner,	হরিনের,	হরিণের,	
chalachchitroke,	চালাচিচ্ত্রকে,	চলচ্চিত্রকে,	
phood,	ফুড,	ফুড,	
madaspushto,	মাদাসুষ্ঠ,	মদদপুষ্ট,	
shhikara,	শিকারা,	শিকার,	
brittakare,	বৃত্যাকারে,	বৃত্তাকারে,	
chopol,	চপল,	চপল,	
bondishalatei,	বন্দিশালাতেই,	বন্দিশালাতেই,	
satarkokari,	সততরককারী,	সতর্ককারী,	
nazad,	নাজাদ,	নাজাদ,	
roopdaan,	রুপদান,	রুপদান,	
simantarkkhibahinir,	সিমান্ত্রকবিহানির,	সীমান্তরক্ষীবাহিনীর,	
artilary,	আর্টিলারি,	আর্টিলারি,	
bite,	বিতে,	বাইট,	
karu,	কারু,	কারু,	
jomjamat,	জমজামত,	জমজমাট,	
domonmulok,	দমননমূলক,	দমনমূলক,	
ancholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
glanio,	গ্লানিও,	গ্লানিও,	
shroddhabihin,	শ্রদ্ধবাহিনীন,	শ্রদ্ধাবিহীন,	
chire,	চিরে,	চিরে,	
daaun,	দাউন,	ডাউন,	
maner,	মেনের,	মানে,	
inphormeshon,	ইনফর্েশন,	ইনফরমেশন,	
torutoler,	তরুতলের,	তরুতলের,	
bbiswash,	বিব্বাসা,	বিশ্বাস,	
nischitobhave,	নিষ্চিতভভাবে,	নিশ্চিতভাবে,	
taap,	তাপ,	ট্যাপ,	
thare,	থারে,	থরে,	
goshthiti,	গোষ্ঠিটি,	গোষ্ঠীটি,	
neerbahi,	নির্বাহী,	নির্বাহি,	
bedanta,	বেদান্ত,	বেদান্ত,	
lobbytey,	লববিটি,	লবিতে,	
bishwaashshoi,	বিশ্বাস্ষই,	বিশ্বাসই,	
bisshaskey,	বিশ্বাক্ে,	বিশ্বাসকে,	
karima,	কারিমা,	করিম,	
keu,	কেউ,	কেউ,	
moshzidtike,	মোস্জিডিটিকে,	মসজিদটিকে,	
fand,	ফান্ড,	ফান্ড,	
esasiyetasa,	এসাসিয়েটসা,	এসোসিয়েটস,	
rojapalaner,	রোজাপালানের,	রোজাপালনের,	
bhogno,	ভগ্ন,	ভগ্ন,	
osthishondhi,	অস্থিনোধ্ধি,	অস্থিসন্ধি,	
mukhamandoler,	মুখামন্ডলের,	মুখমণ্ডলের,	
aranyani,	আরন্যানি,	অরণ্যানী,	
qarqa,	কার্কা,	কার্ক,	
janoganonar,	জানোগননার,	জনগণনার,	
stoic,	স্টিক,	স্টোয়িক,	
laaishheshh,	লাইশেশ,	লাইসেন্স,	
agomonke,	আগমনকে,	আগমনকে,	
bim,	বিএমএ,	বিম,	
upbasher,	উপবাশের,	উপবাসের,	
surke,	সুরকে,	সুরকে,	
meghacchonno,	মেঘাচ্ছনন,	মেঘাচ্ছন্ন,	
gorrer,	গরের,	গোরের,	
uttor,	উত্তর,	উওর,	
engrezder,	এংজার্ডের,	ইংরেজদের,	
uporitale,	উপরিতালে,	উপরিতলে,	
sthapona,	স্থাপোনা,	স্থাপনা,	
olympik,	অলিম্পিক,	অলিম্পিক,	
laesensh,	লেসেন্স,	লাইসেন্স,	
manushsoho,	মানুষসহ,	মানুষসহ,	
halding,	হাল্ডিং,	হোল্ডিং,	
somosto,	সমস্ত,	সমস্ত,	
pyatarne,	প্যাটার্নে,	প্যাটার্নে,	
average,	অ্যাভারাজ,	এভারেজ,	
tophaat,	টোয়াট,	তফাৎ,	
korle,	করলে,	করলে,	
chhon,	ছনন,	ছোঁ,	
torkareer,	তর্কারীর,	তরকারীর,	
windows,	উইন্ডস,	উইন্ডোস,	
modelkey,	মডেলকে,	মডেলকে,	
dokaanei,	ডোকানেই,	দোকানেই,	
nartana,	নার্টানা,	নর্টন,	
logic,	লোজিক,	লজিক,	
ponera,	পোনেরা,	পনের,	
nachar,	নাচর,	নাচার,	
oitijjo,	ঐতিহ্য,	ঐতিহ্য,	
philipiner,	ফিলিপিনের,	ফিলিপাইনের,	
goora,	গুরা,	গোর,	
survative,	সুরভভাটিভ,	সারভেটিভ,	
asaciates,	অসযাসিসিয়েট,	এসোসিয়েটস,	
drishyogulotey,	দৃষ্যগুলোতে,	দৃশ্যগুলোতে,	
miraclee,	মিরাক্লি,	মিরাকেল,	
neshnosh,	নেষ্ণশ,	নেশনস,	
mausumer,	মসুমের,	মৌসুমের,	
samajikotar,	সমজিকতার,	সামাজিকতার,	
bisnoo,	বিসনন,	বিষ্ণু,	
shahurgulor,	শহুরগুলোর,	শহুরগুলোর,	
obosan,	অবসান,	অবসান,	
sheshdinti,	শেষদিন্তি,	শেষদিনটি,	
annanere,	অন্যানেরে,	অন্যানেরে,	
nishad,	নিশাদ,	নিষাদ,	
akpashe,	আক্পাশে,	একপাশে,	
wodka,	ওড়াকা,	ভদকা,	
ganosachetanata,	গণসেচনততা,	গণসচেতনতা,	
mesenjarer,	মেজেঞ্জারের,	মেসেঞ্জারের,	
poderthobid,	পদেরবিিদ,	পদার্থবিদ,	
udbhaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
blacker,	ব্ল্যাকার,	ব্ল্যাকের,	
bhittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
hazat,	হাজাত,	হজত,	
dip,	ডিপ,	দীপ,	
phutanta,	ফুটান্টা,	ফুটন্ত,	
mangolic,	ম্যাংলোকিক,	মাঙ্গলিক,	
graminphonor,	গ্রামিননোোনর,	গ্রামীণফোনর,	
aamoode,	আমোদে,	আমুদে,	
heerani,	হিরানি,	হিরানি,	
patigoniter,	পাটিগনিতের,	পাটিগণিতের,	
lesense,	লেসেন্স,	লাইসেন্স,	
pratisthasaho,	প্রতিস্থাসহ,	প্রতিষ্ঠাসহ,	
chupani,	চুপানি,	চুপানি,	
flirt,	ফ্লার্ট,	ফ্লার্ট,	
difinision,	ডিফিনিনন,	ডেফিনেশন,	
brittakar,	বৃত্যাকার,	বৃত্তাকার,	
shhashtra,	শাষ্ট্র,	শাস্ত্র,	
chikitsanirbhar,	চিকিৎসানির্ভর,	চিকিৎসানির্ভর,	
gaujano,	গৌজানো,	গজানো,	
sift,	সিফট,	শিফট,	
plusey,	প্লুসে,	প্লাসে,	
muhaiminer,	মুহাইমিনের,	মুহাইমিনের,	
chirantan,	চিরান্তান,	চিরন্তন,	
manbe,	মানবে,	মানবে,	
themeke,	থেমেকে,	থিমকে,	
pratista,	প্রতিস্তা,	প্রতিষ্টা,	
jatata,	জাতাটা,	যতোটা,	
lyataa,	ল্যাটা,	ল্যাটা,	
sutir,	সুতির,	সুতির,	
upobaasee,	উপবাসী,	উপবাসী,	
bane,	বানে,	বনে,	
elakatite,	এলাকাটিতে,	এলাকাটিকে,	
horidwar,	হরিদ্বার,	হরিদ্বার,	
bethikata,	বেঠিকাটা,	বেঠিকতা,	
porizoner,	পরিজনের,	পরিজনের,	
sursur,	সুরসুর,	সুরসুর,	
dhyana,	ধ্যানা,	ধ্যান,	
gandhike,	গান্ধিকে,	গান্ধীকে,	
abodamaner,	অবদামানের,	অবদমনের,	
shilver,	শিলভার,	সিলভার,	
projanankal,	প্রজানাকাল,	প্রজননকাল,	
ovidhanik,	অভিধানিক,	অভিধানিক,	
turky,	টার্কি,	তুর্কি,	
jotota,	যোততা,	যতোটা,	
madhuree,	মধুরি,	মাধুরী,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
korijachilen,	করিজাছিলেন,	করিযাছিলেন,	
seekkharthirao,	সিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
sangkoolan,	সংকললান,	সংকুলান,	
gagee,	গ্যাগি,	গেজ,	
everage,	এভারাজে,	এভারেজ,	
alaoler,	আলযাললের,	আলাওলের,	
langhangulir,	লঙ্গানগুলির,	লঙ্ঘনগুলির,	
saramukhe,	সরুমুখে,	সারামুখে,	
sanghitar,	সংহিতার,	সংহিতার,	
bhuushito,	ভূষিত,	ভূষিত,	
sokkhomotabriddhi,	সক্ষ্মতাবৃদ্ধি,	সক্ষমতাবৃদ্ধি,	
bonvumi,	বন্ভুমি,	বনভূমি,	
notti,	নটটি,	নোটটি,	
kanshat,	কাঁশাট,	কানসাট,	
plate,	প্ল্যাটে,	প্লেটে,	
nirabota,	নিরাবতা,	নিরবতা,	
bhramarotsab,	ভ্রামরতসসব,	ভ্রমরোৎসব,	
barbadoj,	বারবাজদ,	বার্বাডোজ,	
protijogiitamulok,	প্রতিযোগিতামিমূলক,	প্রতিযোগীতামূলক,	
karmasampadon,	কর্মসমাপদনন,	কর্মসম্পাদন,	
monchostho,	মন্চষ্ঠ,	মঞ্চস্থ,	
venisey,	ভেনিসে,	ভেনিসে,	
arshie,	আর্শি,	আরসিএ,	
ardasho,	আরদাশো,	আর্দশ,	
atarkitey,	অটারকিতে,	অতর্কিতে,	
armstronz,	আর্মস্ট্রজজজ,	আর্মস্ট্রং,	
azin,	আজিন,	আজিন,	
mozdoor,	মোজদুর,	মজদুর,	
capshule,	ক্যাপশুল,	ক্যাপসুল,	
goteehin,	গতিহীন,	গতিহীন,	
choddo,	চোদ্য,	চোদ্দো,	
vogiroth,	ভোগিরথ,	ভগীরথ,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
armeeniyana,	অর্মীনীয়া,	আর্মেনিয়ান,	
panchadadu,	পঞ্চদাদু,	পঞ্চাদাদু,	
graambashee,	গ্রামবাশী,	গ্রামবাসী,	
freekeh,	ফ্রিকেহ,	ফ্রিকেহ,	
relance,	রেলান্স,	রিলায়েন্স,	
gara,	গারা,	গোর,	
vishnuu,	বিশ্নু,	বিষ্ণু,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
chhedon,	ছেডন,	ছেদন,	
protijogitamulok,	প্রতিযোগিতমমূলক,	প্রতিযোগীতামূলক,	
goodamjato,	গুদাজাতত,	গুদামজাত,	
societyke,	সসিস্টেকে,	সোসাইটিকে,	
bbiswashi,	বিব্বিশা,	বিশ্বাসই,	
probhritike,	প্রভৃতিকে,	প্রভৃতিকে,	
protinito,	প্রতিনিত,	প্রতিনিত,	
brixfield,	ব্রিক্ক্লিয়েড,	ব্রিক্সফিল্ড,	
kaale,	কালে,	কালে,	
themekey,	থেমেকে,	থিমকে,	
elakaasoho,	এলাকাসহ,	এলাকাসহ,	
nirbachokder,	নির্বাচকদের,	নির্বাচকদের,	
jerusalemer,	জেরুসালেমের,	জেরুজালেমের,	
sangbadmadhyomgulote,	সংবাদমধ্যাগগুলোতে,	সংবাদমাধ্যমগুলোতে,	
hindutirtha,	হিন্দুত্রিথথ,	হিন্দুতীর্থ,	
choson,	চোসন,	চোষণ,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
chirkut,	চিরকুট,	চিরকুট,	
soolke,	সুলকে,	শুল্কে,	
morathee,	মরাথি,	মরাঠি,	
poripaker,	পরিপাকের,	পরিপাকের,	
protishta,	প্রতিষ্টা,	প্রতিষ্টা,	
porbotmala,	পর্বতমালা,	পর্বতমালা,	
heelser,	হেলসের,	হিলসের,	
krema,	ক্রেমা,	ক্রাইম,	
ancholsaha,	অ্ঞহলোলসহ,	অঞ্চলসহ,	
bedantodhormo,	বেদানতধর্ম,	বেদান্তধর্ম,	
nisshongotake,	নিশ্বগঙ্গাকে,	নিঃসঙ্গতাকে,	
jyaqasana,	জ্যাকাসানা,	জ্যাকসন,	
plaiin,	প্লেইন,	প্লেন,	
nirdesika,	নির্দেসিকা,	নির্দেশিকা,	
caroline,	ক্যারোলিন,	ক্যরোলিন,	
vvimsenn,	ভিভমেন্সেন,	ভীমসেন,	
contemporary,	কনটেম্পরারি,	কন্টেম্পোরারি,	
firoze,	ফিরোজে,	ফিরোজ,	
holuder,	হলুদের,	হলুদের,	
guzon,	গুজন,	গুজব,	
gurmukh,	গুরমুখ,	গুরমুখ,	
bhiktara,	ভিক্তারা,	ভিক্টর,	
proshtotto,	প্রশ্তত্ব,	প্রস্ত্তত,	
ghatla,	ঘাটলা,	ঘটল,	
jeshtha,	যেশ্থা,	জ্যেষ্ঠা,	
sarboporee,	সর্বপরী,	সর্বোপরী,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
manushgulor,	মনুষগুলোর,	মানুষগুলোর,	
chakti,	চাকতি,	চাকতি,	
rushad,	রুশাদ,	রুশদ,	
bishnoo,	বিষ্ণ,	বিষ্ণু,	
osamanno,	ওসামান্য,	অসামান্য,	
prakalpoguli,	প্রলাকপগুলি,	প্রকল্পগুলি,	
rohinibabu,	রোহিনিবাবু,	রোহিনীবাবু,	
assexe,	এ্যাসেক্স,	অ্যাসেক্সে,	
toranganj,	তোরাঙ্গঞ্জ,	তোরাবগঞ্জ,	
foreks,	ফরেক্স,	ফরেক্স,	
militaryr,	মিলিটারির,	মিলিটারির,	
dhojovongo,	ধ্বগভঙ্গ,	ধ্বজভঙ্গ,	
atmira,	আত্মিরা,	আত্মীরা,	
bikromei,	বিক্রমেই,	বিক্রমেই,	
sarbhare,	সারভারে,	সার্ভারে,	
qonflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
chalochchitraeer,	চালচচিত্রীরা,	চলচ্চিত্রের,	
bhalobasar,	ভালোবাসার,	ভালোবাসার,	
dijmarescu,	ডিজমার্স্চ,	দিজমার্সাকু,	
turkii,	টুরকিই,	তুর্কি,	
sadeep,	সদদীপ,	সদীপ,	
noiteekotar,	নৈতিকতার,	নৈতিকতার,	
directorate,	ডিরেক্রেটাট,	ডিরেক্টরেট,	
habshi,	হাবশি,	হাবশী,	
shanno,	শান্ন,	সান্নো,	
shiqara,	শিকারা,	শিকার,	
shatoke,	শতকে,	শতকে,	
lidars,	লিডার্স,	লিডার্স,	
bujhtepari,	বুঝতেপারী,	বুঝতেপারি,	
ongkush,	অঙ্কুশ,	অংকুশ,	
nationalser,	ন্যাটিওনাস্সের,	ন্যাশনালসের,	
sedikei,	সেদিকেই,	সেদিকেই,	
shringa,	শ্রিঙ্গা,	শৃঙ্গ,	
marry,	মার্যার,	ম্যারি,	
uddhritto,	উদ্ধৃত্ত,	উদ্ধৃত,	
dai,	দাইই,	দিই,	
ceramicer,	সারামিকের,	সিরামিকের,	
fishing,	ফিশিং,	ফিসিং,	
kurdira,	কুরদিরা,	কুর্দিরা,	
bhimsen,	ভিমসেন,	ভীমসেন,	
difinishian,	ডিফিনিশিয়ান,	ডেফিনেশন,	
booksar,	বুক্সার,	বুক্সার,	
horash,	হরাশ,	হোরাস,	
janosamaj,	জনসমাজজ,	জনসমাজ,	
esprito,	এস্প্রিত,	এস্পিরিটো,	
cloudbook,	ক্লাউডবক,	ক্লাউডবুক,	
dolphiny,	ডলিনি,	ডলফিনি,	
baptics,	ব্যাপ্টিক্স,	ব্যাপটিকস,	
nirarthak,	নিরার্থক,	নিরর্থক,	
madrasake,	মাদ্রাসকে,	মাদ্রাসাকে,	
soinyo,	সৈন্য,	সৈন্য,	
janar,	জানার,	জানার,	
krisenter,	ক্রিসেন্টার,	ক্রিসেন্টের,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
bharotchilo,	ভারোচিলল,	ভারতছিল,	
mercedes,	মার্সেসেড,	মার্সেডেস,	
oncholke,	অঞ্চলকে,	অঞ্চলকে,	
abhidhaner,	অভিধানের,	অভিধানের,	
phutbolarder,	ফুটবলল্ডার,	ফুটবলারদের,	
mukhomondoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
milekhanek,	মিলেখানেকে,	মাইলখানেক,	
iraner,	ইরানের,	ইরানের,	
jackey,	জ্যাকে,	জকি,	
bhimsenkei,	ভিমসেনকেই,	ভীমসেনকেই,	
jaunotar,	যৌনতার,	যৌনতার,	
parishram,	পরিশ্রম,	পরিশ্রম,	
sookkho,	সুক্ষ,	সুক্ষ্ম,	
uqeliptas,	উকেলিপ্টাস,	ইউক্যালিপ্টাস,	
eenameela,	ইনামিলা,	এনামেল,	
utotoro,	উততোর,	উততর,	
hastamathun,	হস্তমাথুন,	হস্তমথুন,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
prijon,	প্রিজন,	প্রিজন,	
manushera,	মনুষেরা,	মানুষেরা,	
sectore,	সেক্টরে,	সেক্টরে,	
gabinius,	গ্যানিবিউস,	গাবিনিআস,	
ciima,	সিইমা,	সীমা,	
directorete,	ডিরেক্রটেট,	ডিরেক্টরেট,	
byepass,	বেপায়স,	বাইপাস,	
pretti,	প্রেত্তি,	প্রিটি,	
aro,	আরো,	আরও,	
seoul,	সিউউল,	সোল,	
shrabastee,	শ্রাবাস্তি,	শ্রাবস্তী,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
jansha,	জানশা,	জন্স,	
dokaangulotey,	ডোকানগুলোতে,	দোকানগুলোতে,	
bosben,	বসবেন,	বসবেন,	
sithilota,	সিথিলোটা,	শিথিলতা,	
tikta,	টিকটা,	তিক্ত,	
torkarite,	তরকারিতে,	তরকারিতে,	
ghetu,	গেটু,	ঘেটু,	
pravritir,	প্রভৃতির,	প্রভৃতির,	
chokrantosoho,	চক্রান্তসহ,	চক্রান্তসহ,	
qanasarabheshana,	কনসারেশনেশা,	কনসারভেশন,	
baarnis,	ব্যার্নিস,	বার্নিশ,	
uddhrita,	উদ্ধৃতা,	উদ্ধৃত,	
kogake,	কোগাকে,	কোগাকে,	
sthaponagulo,	স্থাপনাগুলো,	স্থাপনাগুলো,	
emargency,	এমারজেন্সি,	এমার্জেন্সি,	
grambaashio,	গ্রামবাশিও,	গ্রামবাসীও,	
khorsed,	খোরসেদ,	খোরশেদ,	
mathews,	মাথেভস,	ম্যাথিউস,	
uporoshtho,	উপরস্থ,	উপরস্থ,	
biplabeer,	বিপ্লববীর,	বিপ্লবীর,	
swastir,	স্বস্তির,	স্বস্তির,	
cxt,	কিএিসিসট,	সিএক্সটি,	
jamjamat,	জমজমাত,	জমজমাট,	
bishasey,	বিশাসে,	বিশ্বাসে,	
himsrot,	হিমস্রোট,	হিমস্রোত,	
harris,	হ্যারিস,	হ্যারিস,	
sangitanusthane,	সঙ্গিতানুষ্ঠানে,	সঙ্গীতানুষ্ঠানে,	
phuda,	ফুড়া,	ফুড,	
rahi,	রহিি,	রাহী,	
tiger,	টিগের,	টাইগার,	
kalakushalir,	কলাকুশলীর,	কলাকুশলীর,	
noditei,	নদীতেই,	নদীতেই,	
siima,	সিইমা,	সীমা,	
makong,	মাকং,	মেকং,	
sthapanagulor,	স্থাপানগগুলোর,	স্থাপনাগুলোর,	
ancholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
kani,	কানি,	কানি,	
abhijitda,	অভিজিদতা,	অভিজিতদা,	
kotibondhe,	কতিবন্ধে,	কটিবন্ধে,	
phiksa,	ফিক্সা,	ফিক্স,	
jalarong,	জ্যালারং,	জলরঙ,	
toptoshele,	তপ্তশেলে,	তপ্তশেলে,	
asbab,	আসবাব,	আসবাব,	
path,	পাথ,	পাথ,	
saalsa,	সালসা,	সালসা,	
harasta,	হারাস্টা,	হারাস্তা,	
ekbakye,	একবাক্যে,	একবাক্যে,	
prosadhani,	প্রসাধানি,	প্রসাধনী,	
uponeesoder,	উপনিসদের,	উপনিষদের,	
lendol,	লেন্ডল,	লেন্ডল,	
prarthonakokkher,	প্রার্থানকাষ্ণের,	প্রার্থনাকক্ষের,	
chilahatee,	চিলাহাটি,	চিলাহাটি,	
chalachchitra,	চলচ্চিত্র,	চলচ্চিত্র,	
baet,	বেয়েট,	বাইট,	
chhadite,	ছাদিতে,	ছড়িতে,	
shaater,	সাতের,	শ্যুটার,	
proshikkhane,	প্রশিক্ষাণে,	প্রশিক্ষণে,	
asovarno,	অসাভার্ন,	অসবর্ণ,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
jacksoner,	জ্যাকসনের,	জ্যাকসনের,	
jeebnagore,	জীবনগরে,	জীবননগর,	
agamane,	আগামানে,	আগমনে,	
nosihote,	নসীহতে,	নসিহতে,	
dapadpi,	দাপাদপি,	দাপাদপি,	
restuarant,	রেস্টুর্যান্ট,	রেষ্টুরেন্ট,	
satjaner,	সতজনের,	সাতজনের,	
oncoltike,	অন্কলটিকে,	অঞ্চলটিকে,	
bangladesh,	বাংলাদেশ,	বঙ্গালাদেস,	
laaishenshh,	লাইশেন্,	লাইসেন্স,	
qyapasula,	ক্যাপাসুলা,	ক্যাপসুল,	
kleentoner,	ক্লিনটনের,	ক্লিনটনের,	
manushti,	মানুষ্টি,	মানুষটি,	
reshidensha,	রেশিদেনশা,	রেসিডেন্স,	
mandanda,	মান্দন্ডা,	মানদণ্ড,	
karmakarke,	কর্মাকারকে,	কর্মকারকে,	
rajbondir,	রাজবন্দির,	রাজবন্দীর,	
mukhya,	মুখ্যা,	মুখ্য,	
photanor,	ফোটানোর,	ফোটানোর,	
shoodhooi,	শুধুই,	শুধুই,	
turista,	টুরিস্টা,	টুরিস্ট,	
torunderke,	তরুণদেরকে,	তরুণদেরকে,	
klaud,	ক্লাউড,	ক্লাউড,	
eucalyptus,	ইউইক্লামাপ্টাস,	ইউক্যালিপ্টাস,	
protiakromonei,	প্রতিয়াক্রমণে,	প্রতিআক্রমণেই,	
tongaa,	টোঙ্গায়,	টোঙ্গা,	
bujhechhila,	বুঝেছিলা,	বুঝেছিল,	
dakten,	ডাক্তেন,	ডাকতেন,	
ritesh,	রিতেশ,	রিতেশ,	
vesselli,	ভেসেলি,	ভেসেলি,	
antarbhutto,	অন্তর্ভূত্ত,	অন্তর্ভুক্ত,	
sangbadmadhyome,	সংবাদমধ্যমে,	সংবাদমাধ্যমে,	
dokanei,	ডোকানেই,	দোকানেই,	
dushtogone,	দুষ্টগণে,	দুষ্টগণে,	
informetion,	ইনফর্েশন,	ইনফরমেশন,	
kiibord,	কিইবর্ড,	কীবোর্ড,	
oboshore,	অশশরে,	অবসরে,	
heze,	হেজে,	হেজ,	
pichte,	পিচতে,	পিছতে,	
khaschandpur,	খাশচা্্পুর,	খাসচাঁদপুর,	
arsie,	আর্সি,	আরসিএ,	
binakar,	বিনাকার,	বিনাকার,	
dakter,	ডাক্তের,	ডাকতের,	
dwijenbabuder,	দ্বিজেনবাবুদের,	দ্বিজেনবাবুদের,	
ishter,	ইস্টার,	ইস্টের,	
mach,	মাচ,	মাছ,	
palashir,	পালাশির,	পলাশীর,	
skirt,	স্কির্ত,	স্কার্ট,	
shasheja,	শাশেজা,	সসেজ,	
bedey,	বেদে,	বেদে,	
existing,	এক্সিটিং,	এক্সিসটিং,	
kade,	কাদে,	কোড,	
mahbunur,	মাহবুনুর,	মাহবুনুর,	
ekok,	একোক,	একক,	
saamaanya,	সামান্য,	সামান্য,	
medilek,	মেডিলেক,	মেডিলেক,	
khalidke,	খালিদকে,	খালিদকে,	
jetam,	জেতাম,	যেতাম,	
amudey,	অমুদে,	আমুদে,	
chhanada,	ছানাদা,	ছানাদা,	
query,	কুয়ারি,	কোয়েরি,	
chouhate,	চৌহাতে,	চৌহাটে,	
everestey,	এভার্সেটি,	এভারেস্টে,	
ponjikar,	পঞ্জিকার,	পঞ্জিকার,	
bandhan,	বানধান,	বাঁধন,	
jati,	জাতি,	যাতি,	
soomita,	সুমিতা,	সুমিতা,	
thyachara,	থ্যাচারা,	থ্যাচার,	
debate,	দেবাতে,	ডিবেট,	
ghoomachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
juboksoho,	যুবকসহ,	যুবকসহ,	
khiladirao,	খিলাদিরাও,	খিলাড়িরাও,	
ansareer,	আনসারীর,	আনসারীর,	
sip,	সিপ,	শিপ,	
oisamoyer,	ঐসমযয়ের,	ঐসময়ের,	
mulbhitti,	মুলভিত্তি,	মূলভিত্তি,	
dormroome,	ডর্মরুমে,	ডর্মরুমে,	
dhanche,	ধাঁচে,	ধাঁচে,	
meshintao,	মেশিন্টাও,	মেশিনটাও,	
reshmirekha,	রেশমীরেখা,	রেশমীরেখা,	
baasaate,	বাসাতে,	বাসাতে,	
vagini,	ভাগিনি,	ভগিনী,	
chaudhurio,	চৌধুরিও,	চৌধুরীও,	
byabaharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
