rena,	রেনা,	রেনো,	
playtey,	প্লেটে,	প্লেটে,	
amudey,	আমুদে,	আমুদে,	
chaalaabi,	চালাবী,	চালাবে,	
schilling,	স্লিলিং,	শিলিং,	
ganoparibahaner,	গণপরিবাহনের,	গণপরিবহনের,	
gosthike,	গোষ্ঠীকে,	গোষ্ঠীকে,	
dhormoprobortokder,	ধর্মপ্রবর্তদকদের,	ধর্মপ্রবর্তকদের,	
ala,	আলা,	আলা,	
abhidhaanick,	অভিচানিক,	অভিধানিক,	
adarsho,	আদার্শ,	আর্দশ,	
rajbandir,	রাজবন্দীর,	রাজবন্দীর,	
soceitytey,	সোসেয়াটিতে,	সোসাইটিতে,	
sudrissho,	সুদৃশ্,	সুদৃশ্য,	
bheenisa,	ভিনিসা,	ভেনিস,	
hozot,	হজত,	হজত,	
nariider,	নারিদের,	নারীদের,	
farhetin,	ফারহাতিন,	ফারহেতিন,	
konorup,	কোনরূপ,	কোনরূপ,	
madrasi,	মাদ্রাসি,	মাদ্রাজি,	
anektai,	অনেকটাই,	অনেকটাই,	
medilek,	মেডিলেক,	মেডিলেক,	
asovyo,	আসোভো,	অসভ্য,	
abdoone,	আবদদুন,	আবদুন,	
sadbi,	সাদবী,	সাধ্বী,	
okritokarjo,	অকৃতকার্য,	অকৃতকার্য,	
monroe,	মনরিও,	মনেরোর,	
grooth,	গ্রুথ,	গ্রোথ,	
drissogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
bufer,	বুফার,	বাফার,	
kalnir,	কালনির,	কালনীর,	
breqathru,	ব্রেকাঠরু,	ব্রেকথ্রু,	
pohnpeic,	পোন্নি,	ফোনপেইক,	
rilayensha,	রিলায়েশন,	রিলায়েন্স,	
ruptan,	রূপ্তন,	রূপটান,	
aakik,	আকিক,	আকিক,	
baffer,	বাফের,	বাফার,	
jyaqasana,	জ্যাকানা,	জ্যাকসন,	
mukhomandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
kram,	ক্রম,	ক্রম,	
durbhagya,	দুর্ভাগ্য,	দূর্ভাগ্য,	
rockibul,	রকিবুল,	রকিবুল,	
phising,	ফিসিং,	ফিসিং,	
satarkakari,	সতর্ককারী,	সতর্ককারী,	
sikara,	সিকারা,	শিকার,	
gobeshana,	গোবেষন,	গবেষনা,	
amarjito,	আমার্জিত,	অমার্জিত,	
dhrubaker,	ধ্রুবাকের,	ধ্রুবকের,	
saqara,	সাকারা,	সাকার,	
akpashe,	আকপাশে,	একপাশে,	
motke,	মোটকে,	মতকে,	
horiddar,	হরিদ্দার,	হরিদ্বার,	
tawnship,	টাউনশিপ,	টাউনশিপ,	
minilosar,	মিনিলোসার,	মিনিলোসার,	
aarke,	আরকে,	আরকে,	
bohoodin,	বহদুন,	বহুদিন,	
nazad,	নাজাদ,	নজদ,	
bitertrate,	বাইটারট্রেট,	বাইটারট্রেট,	
ceramiksh,	সেরামিক্স,	সিরামিকস,	
shakar,	শাকার,	সকার,	
tigre,	তিগ্রে,	টাইগার,	
jwar,	জ্বার,	জ্বর,	
chintamani,	চিন্তমানি,	চিন্তামনি,	
bondhukey,	বন্ধুকে,	বন্ধুকে,	
dianes,	ডায়ানেস,	ডিএনএস,	
krusher,	ক্রুশের,	ক্রুশের,	
debeting,	ডেবেটিং,	ডিবেটিং,	
eesosiyeetasa,	ইসসয়িটেস,	এসোসিয়েটস,	
charpanch,	চারপাঞ্চ,	চারপাঁচ,	
mele,	মেলে,	মাইল,	
keui,	কেউ,	কেউই,	
choritrotakeo,	চরিত্রটাকেও,	চরিত্রটাকেও,	
dekaner,	দেকানের,	দেকানের,	
pathanirdeshona,	পাঠানির্দেশনা,	পথনির্দেশনা,	
sainyader,	সৈন্যাদের,	সৈন্যদের,	
fasi,	ফাসি,	ফাঁসী,	
jaanar,	যানার,	জানার,	
existing,	এক্সিস্টিং,	এক্সিসটিং,	
riazuddin,	রিয়াজদ্দিন,	রিয়াজউদ্দীন,	
segulo,	সেগুলো,	সেগুলো,	
ganochin,	গণচিন,	গণচীন,	
directarate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
edmiral,	এদমিরাল,	এডমিরাল,	
omanisa,	ওমানিসা,	অমানিশা,	
deputy,	ডিপুটি,	ডেপুটি,	
bossonte,	বসন্তে,	বসন্তে,	
pathanatak,	পাঠানাটক,	পথনাটক,	
zonsa,	জোসসা,	জোন্স,	
jounatar,	যৌনাার,	যৌনতার,	
dhyana,	ধ্যান,	ধ্যান,	
modelgulo,	মডেলগুলো,	মডেলগুলো,	
olpo,	ওলপো,	অল্প,	
atmobonchito,	আত্মবঞ্চিত,	আত্মবঞ্চিত,	
porirshoder,	পরির্ধদের,	পরির্ষদের,	
khalid,	খালিদ,	খালিদ,	
gurmukh,	গুরমুখ,	গুরমুখ,	
sarsa,	সারসা,	সোর্স,	
akmato,	আকমাতো,	একমত,	
grambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
kobutorer,	কবুতরের,	কবুতরের,	
uparjon,	উপার্জন,	উপার্জন,	
kandy,	কান্ডি,	ক্যান্ডি,	
muhurtati,	মুহুর্তটি,	মুহুর্তটি,	
breq,	ব্রেক,	ব্রেক,	
cloring,	ক্লোরিং,	ক্লোরিং,	
obhaarbhiu,	ওভারভু,	ওভারভিউ,	
israelbahini,	ইসরায়েলবিহীন,	ইস্রায়েলবাহিনী,	
kabutorer,	কবুটরের,	কবুতরের,	
liseensee,	লিসিন্স,	লাইসেন্স,	
holdim,	হোল্ডিম,	হোল্ডিং,	
saras,	সারাস,	সরস,	
nopdnodir,	নপটড্ডির,	নদনদীর,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
bulano,	বুলানো,	বুলান,	
biswashi,	বিশ্বাশী,	বিশ্বাসই,	
corymb,	করিম্ব,	করিম,	
mohit,	মোহিত,	মুহিত,	
rokkhonabekkhoner,	রক্ষণাকেক্ষণের,	রক্ষণাবেক্ষণের,	
rachonakal,	রচনাকাল,	রচনাকাল,	
proshtutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
jor,	জর,	জ্বর,	
dhila,	ধীলা,	ঢিলা,	
manushe,	মানুশে,	মানুষে,	
hugheke,	হুঘেকে,	হিউজকে,	
khalidke,	খালিদকে,	খালিদকে,	
shikhra,	শিখরা,	শিখরা,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
simantarkkhibahinir,	সীমান্ত্রকবিহানিনীর,	সীমান্তরক্ষীবাহিনীর,	
drissogulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
bowie,	বোয়েই,	বওই,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
bhittimul,	ভিত্তিমূল,	ভিত্তিমূল,	
daakteekite,	ডাকটিকিতে,	ডাকটিকিটে,	
tachnach,	টাচনাচ,	তছনছ,	
tanshree,	তানশরি,	তানশ্রী,	
taalaal,	তালাল,	তালাল,	
mane,	মানে,	মানে,	
engrezder,	এংরেজদের,	ইংরেজদের,	
vange,	ভ্যাঙ্গে,	ভাঙ্গে,	
prarthitao,	প্রার্থীতাও,	প্রার্থীতাও,	
blacq,	ব্ল্যাক,	ব্ল্যাক,	
gabinius,	গাবিনিয়াস,	গাবিনিআস,	
choukato,	চৌকাতো,	চৌকাত,	
elaakati,	এলাকাটি,	এলাকাটি,	
shipley,	শিপলি,	শিপলে,	
hughkey,	হাঘকে,	হিউজকে,	
beatleser,	বিটলেসের,	বিটলসের,	
gorrer,	গোরের,	গোরের,	
jens,	জেন্স,	জিন্স,	
shift,	শিফট,	শিফট,	
katiusha,	কাতিউশা,	কাতিউশা,	
nachar,	নাচার,	নাচার,	
daqten,	ডাকতেন,	ডাকতেন,	
batom,	বাতম,	বাটম,	
eexpreession,	এক্সপ্রিশশন,	এক্সপ্রেশন,	
dipankar,	দীপানকর,	দিপঙ্কর,	
thakeni,	থাকেনি,	থাকেনি,	
parijaner,	পারিজানের,	পরিজনের,	
protinito,	প্রতিনিত,	প্রতিনিত,	
horippur,	হরিপপুর,	হরিপুর,	
peterke,	পেটারকে,	পিটারকে,	
quary,	কোয়ারী,	কোয়েরি,	
scholastic,	স্কোলাস্টিক,	স্কলাস্টিক,	
onurbar,	অনুর্বার,	অনুর্বর,	
mekong,	মেকং,	মেকং,	
weenis,	বইনিস,	ভেনিস,	
kormobuddhite,	কর্মবুদ্ধিতে,	কর্মবুদ্ধিতে,	
lyataa,	ল্যাটা,	ল্যাটা,	
saabyastha,	সব্যস্থ,	সাব্যস্থ,	
byabosthar,	ব্যবস্থার,	ব্যবস্থার,	
volivoler,	ভলিভোলের,	ভলিভলের,	
pleena,	প্লেন,	প্লেন,	
janoganonar,	জনগণাননার,	জনগণনার,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
graambaaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
bhagnekeo,	ভাগনেকেও,	ভাগ্নেকেও,	
premo,	প্রেমো,	প্রিমো,	
tatey,	টাতে,	তাতে,	
podotyagsongkranto,	পদত্যাগসংক্রান্ত,	পদত্যাগসংক্রান্ত,	
pariyech,	পাড়য়েছ,	পরিয়েছ,	
laaisens,	লাইসেন্স,	লাইসেন্স,	
debete,	দেবেতে,	ডিবেট,	
bipajjanak,	বিপজজানাক,	বিপজ্জনক,	
karima,	করিমা,	করিম,	
akhandata,	আখণ্ডটা,	অখণ্ডতা,	
modele,	মডেলে,	মডেলে,	
panthar,	পান্থার,	পন্থার,	
danakana,	দননকা,	ডানকান,	
booroon,	বুরুন,	বোরন,	
vejjanno,	বেজ্জন্য,	ভেজানো,	
baaik,	বাইক,	বাইক,	
shahabike,	শাহাবীকে,	সাহাবীকে,	
chorchita,	চর্চিতা,	চর্চিত,	
sumoo,	সুমুও,	সুমো,	
soleel,	সললেল,	সলিল,	
laishensha,	লাইশেষনা,	লাইসেন্স,	
saifai,	সাইফাই,	সাইফাই,	
adhyatmik,	অধ্যাতমিক,	আধ্যাত্মিক,	
chalaabi,	চালাবী,	চালাবে,	
milayatane,	মিলায়াতানে,	মিলায়তনে,	
achintopurer,	অচিন্তপুরের,	অচিন্তপুরের,	
ostad,	ওস্তাদ,	ওস্তাদ,	
average,	আভারেজ,	এভারেজ,	
ekatitto,	একাতিত্ব,	একাতিত্ব,	
dalnata,	দলনাটা,	ডালনাটা,	
munshiji,	মুন্িজি,	মুনশীজি,	
sheekar,	শিকার,	শিকার,	
tookror,	টুকরর,	টুকরোর,	
khali,	খালি,	খালি,	
niphelheim,	নিফেলহিয়েম,	নিফেলহেইম,	
holuder,	হলুদের,	হলুদের,	
bosonte,	বসন্তে,	বসন্তে,	
uporoshtho,	উপরস্থ,	উপরস্থ,	
bayshorkarikarone,	বায়শরকারিকরণে,	বেসরকারিকরণ,	
armeenian,	আর্মিনিয়ান,	আর্মেনিয়ান,	
elakatikay,	এলাকাটিকা,	এলাকাটিকে,	
prokolpow,	প্রকল্পও,	প্রকল্পও,	
binee,	বিনে,	বেনি,	
boshoborti,	বশবর্তী,	বশবর্তী,	
digrir,	দিগ্রির,	ডিগ্রির,	
jamjomat,	জামজামাত,	জমজমাট,	
nirikhe,	নিরিখে,	নিরিখ,	
ghotolen,	ঘটলেন,	ঘটলেন,	
urey,	উরে,	ইউরি,	
konflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
avidur,	আভিদুর,	আভিদুর,	
lettere,	লেট্রে,	লেটারে,	
gabhaskaar,	গাভাসকার,	গাভাস্কার,	
vagini,	ভাগিনি,	ভগিনী,	
nilfamarir,	নীলফামারীর,	নীলফামারীর,	
orbi,	ওরবি,	ওরবি,	
tata,	টাটা,	তাতা,	
chapchap,	চাপচাপ,	চাপচাপ,	
suchonakal,	সূচোাকাল,	সূচনাকাল,	
eshtoniya,	এস্টনীয়,	এস্তোনিয়া,	
munim,	মুনিম,	মুনিম,	
ujobekeestan,	উজবেকিস্তান,	উজবেকিস্তান,	
bhramarotsab,	ভ্রমমরাত্সব,	ভ্রমরোৎসব,	
aasirbaad,	আসীরবাদ,	আশির্বাদ,	
mangolic,	ম্যানগোলিক,	মাঙ্গলিক,	
bishaashke,	বিষাশকে,	বিশ্বাসকে,	
shilpikuler,	শিল্পীকুলের,	শিল্পীকুলের,	
asamanyo,	অসমান্য,	অসামান্য,	
maktum,	মাক্তুম,	মাকতুম,	
pharn,	ফার্ন,	ফার্ন,	
shikshagata,	শিক্ষাগত,	শিক্ষাগত,	
chire,	চিরে,	চিরে,	
kkhur,	খুকর,	ক্ষুর,	
superheroo,	সুপারহিরিও,	সুপারহিরো,	
kantojir,	কান্তজীর,	কান্তজির,	
societykey,	সোসিযটিকে,	সোসাইটিকে,	
restuarant,	রেস্টুরেন্ট,	রেষ্টুরেন্ট,	
maley,	মালে,	মালে,	
beetloser,	বিটলোসের,	বিটলসের,	
carzar,	কারজার,	চার্জার,	
masjidtir,	মাসজিদটির,	মসজিদটির,	
oedipus,	ওড়িপুস,	ইডিপাস,	
dii,	ডিআই,	দিই,	
reetesh,	রিটেশ,	রিতেশ,	
shekarone,	শেকারনে,	সেকারণে,	
perry,	পেররি,	পেরি,	
chetanagato,	চেতনাগত,	চেতনাগত,	
mandondo,	মানদণ্ড,	মানদণ্ড,	
oxite,	অক্সটিতে,	অক্সাইট,	
shuchonakal,	শুচোাকাল,	সূচনাকাল,	
faskari,	ফাসকারী,	ফাঁসকারী,	
shalook,	শালুক,	শালুক,	
pleeta,	প্লিট,	প্লেট,	
obosore,	অবসরে,	অবসরে,	
anusthane,	অনুষ্ঠানে,	অনুষ্ঠানে,	
coons,	কুন্স,	কুনস,	
saptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
purborekorde,	পূর্বরেকর্ডে,	পূর্বরেকর্ডে,	
anichchi,	অনিচ্ছি,	আনিচ্ছি,	
dhormokorme,	ধর্মকর্মে,	ধর্মকর্মে,	
suraaropeeto,	সুরারোপিত,	সুরারোপিত,	
sangosrobomukto,	সংস্রবরমুক্ত,	সংস্রবমুক্ত,	
jeshh,	জেশ,	জেস,	
srabosty,	স্রাবস্টি,	শ্রাবস্তী,	
spredashiita,	স্প্রেডিশিত,	স্প্রেডশীট,	
umb,	ইউমবি,	ইউএমবি,	
rajtantrey,	রাজতন্ত্রে,	রাজতন্ত্রে,	
holding,	হোল্ডিং,	হোল্ডিং,	
vishnuu,	ভিষ্ণু,	বিষ্ণু,	
muradpur,	মুরাদপুর,	মুরাদপুর,	
america,	আমেরিকা,	আমেরিকা,	
adhunikkaley,	আধুনিকলাকে,	আধুনিককালে,	
amittrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
sthapona,	স্থাপনা,	স্থাপনা,	
pachak,	পাচাক,	পাচক,	
steen,	স্তিন,	স্টেন,	
bolechile,	বলেছিলে,	বলেছিলে,	
ispredseet,	ইস্প্রেডসিট,	স্প্রেডশীট,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
tokeo,	টকেও,	টোকেও,	
philipiner,	ফিলিপাইনের,	ফিলিপাইনের,	
site,	সিতে,	সিটে,	
niroja,	নিরোজা,	নিরোজা,	
matthews,	ম্যাথিওস,	ম্যাথিউস,	
olympicer,	অলিম্পিসের,	অলিম্পিকের,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
prokolpogulor,	প্রকল্পগুলোর,	প্রকল্পগুলোর,	
rifleksa,	রিফলেক্সা,	রিফ্লেক্স,	
punorabortonte,	পুনরাবর্তন্তে,	পুনরাবর্তন্তে,	
bandhan,	বন্ধন,	বাঁধন,	
deeares,	দিয়েরস,	ডিআরএস,	
besur,	বেসুর,	বেসুর,	
khuliechilam,	খুলিয়াছিলাম,	খুলিয়েছিলাম,	
vodqa,	ভোডকা,	ভদকা,	
kaamij,	কামিজ,	কামিজ,	
autopromotioner,	অটোপ্রমিশনের,	অটোপ্রমোশনের,	
chorban,	চোরবান,	চর্বন,	
bisheshshyer,	বিশেষ্ব্যের,	বিশেষ্যের,	
istoone,	ইস্তউন,	স্টোন,	
amanisha,	আমানিশা,	অমানিশা,	
chetanagoto,	চেতনাগত,	চেতনাগত,	
zoubankal,	যৌবনকাল,	যৌবনকাল,	
qraima,	ক্রেইমা,	ক্রাইম,	
modhyekar,	মধ্যেকর,	মধ্যেকার,	
karir,	কারির,	কারীর,	
temone,	তেমনে,	তেমনই,	
obosan,	অবসান,	অবসান,	
mukhmondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
samajikotar,	সমাজিকতার,	সামাজিকতার,	
borlen,	বরলেন,	বরলেন,	
thechar,	থেচার,	থ্যাচার,	
dajjha,	দাজঝা,	দাহ্য,	
shattoki,	শত্তকি,	সাত্যকি,	
arshie,	আরশী,	আরসিএ,	
turkamena,	তুরককমেনা,	তুর্কমেন,	
basab,	বাসাব,	বাসাব,	
amorendro,	আমরেন্দ্র,	অমরেন্দ্র,	
noditei,	নদীতেই,	নদীতেই,	
bibechyo,	বিবেচ্য,	বিবেচ্য,	
aembed,	এমবেড,	এম্বেড,	
dagmukta,	দাগমুক্ত,	দাগমুক্ত,	
thabai,	থাবাই,	থাবাই,	
roktokhoron,	রক্তখরণ,	রক্তক্ষরণের,	
uparzoner,	উপার্জনের,	উপার্জনের,	
sayanaida,	সায়নাদ,	সায়ানাইড,	
mohajot,	মহাযত,	মহাজোট,	
mandape,	মান্ডাপে,	মন্ডপে,	
jontrangshogulor,	যন্ত্রাংশগুলোর,	যন্ত্রাংশগুলোর,	
nanir,	নানির,	নানীর,	
vezano,	ভেজানো,	ভেজানো,	
teoyana,	তেওয়ান,	তাইওয়ান,	
onshogrohoner,	অনশগ্রহণের,	অংশগ্রহনের,	
graambashee,	গ্রামবাশী,	গ্রামবাসী,	
freelancerra,	ফ্রিল্যান্সরা,	ফ্রিল্যান্সাররা,	
falak,	ফালাক,	ফলক,	
talaal,	তালাল,	তালাল,	
ghoor,	ঘর,	ঘুর,	
dijijer,	ডিজিজের,	ডিজিজের,	
aholya,	আহল্যা,	অহল্যা,	
keu,	কেউ,	কেউ,	
antarctika,	অন্তর্কটিকা,	অ্যান্টার্কটিকা,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
trutimatra,	ত্রুটিমাত্র,	ত্রুটিমাত্র,	
bhandti,	ভান্ডটি,	ভাণ্ডটি,	
eesa,	ইইএসএ,	আইএএস,	
gamdan,	গামদান,	গামদান,	
deaubande,	দেউবান্ডে,	দেওবন্দে,	
landin,	ল্যান্ডিন,	ল্যান্ডিং,	
akar,	আকার,	একার,	
asociatis,	অ্যাসোসিটিস,	এসোসিয়েটস,	
temanti,	তেমন্তি,	তেমনটি,	
lutharen,	লুথারেন,	লুথেরান,	
sqirt,	স্কিইট,	স্কার্ট,	
dharavassokar,	ধারাভাসককর,	ধারাভাষ্যকার,	
jounotar,	যৌনতার,	যৌনতার,	
shikkharrthirao,	শিক্ষার্থীরীরাও,	শিক্ষার্থীরাও,	
pratista,	প্রতিষ্ট,	প্রতিষ্টা,	
salafeta,	সালাফেটা,	সালফেট,	
aatto,	আট্তো,	আত্ম,	
sachetanvabe,	সচেতনভাবে,	সচেতনভাবে,	
sanghar,	সঙ্ঘর,	সংহার,	
korimpur,	করিমপুর,	করিমপুর,	
bidghootey,	বিদ্ঘুতে,	বিদঘুটে,	
kadam,	কাদম,	কদম,	
shikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
chittronatyokar,	চিত্তনাত্রকার,	চিত্রনাট্যকার,	
nibirbhabe,	নিবৃহভাবে,	নিবিরভাবে,	
idipasha,	ইডিপাশা,	ইডিপাস,	
gondhe,	গন্ধে,	গন্ধে,	
review,	রিভিউজ,	রিভিউও,	
pacbar,	পাকবার,	পাঁচবার,	
prokar,	প্রকার,	প্রকার,	
alimpiqa,	আলিমপিকা,	অলিম্পিক,	
kei,	কেই,	কেই,	
jarmaniteo,	জার্মানীতেও,	জার্মানিতেও,	
shloker,	শ্লোকের,	শ্লোকের,	
bolvodro,	বলবদ্র,	বলভদ্র,	
kailashrao,	কৈলশ্রও,	কৈলাশরাও,	
gasthii,	গাস্থিই,	গোষ্ঠীই,	
tochhnochh,	টচ্ছন,	তছনছ,	
murad,	মুরাদ,	মুরাদ,	
bosontokke,	বসন্তককে,	বসন্তকে,	
aalkatraa,	আলকাত্রা,	আলকাতরা,	
panda,	পান্ডা,	পান্ডে,	
foloshrutite,	ফলশ্রুতিতে,	ফলশ্রুতিতে,	
hisabagyan,	হিসাবজ্ঞান,	হিসাবজ্ঞান,	
soori,	সোয়রি,	সুরি,	
shamshere,	শমশেরে,	শমসের,	
azaan,	আজান,	আজান,	
magar,	মাগার,	মাগার,	
vugoley,	ভাগোলে,	ভূগোলে,	
apad,	আপাদ,	আপদ,	
shapad,	শাপাদ,	শ্বাপদ,	
yaq,	যাক,	ইয়াক,	
daap,	ডাপ,	ড্যাপ,	
bade,	বাদ,	বাদে,	
nagorikke,	নাগরিককে,	নাগরিককে,	
pothon,	পথন,	পঠন,	
ispredsheet,	ইস্প্রেডশিট,	স্প্রেডশীট,	
footbalarer,	ফুটবলারের,	ফুটবলারের,	
shahidputra,	শহিদপুত্র,	শহীদপুত্র,	
aarmstrong,	আর্মস্ট্রং,	আর্মস্ট্রং,	
edmeeral,	এদমিরাল,	এডমিরাল,	
shikare,	শিকারে,	শিকারে,	
sobrakamer,	সব্রাকামের,	সবরকমের,	
kortona,	কর্তনা,	করতনা,	
sthaponagulor,	স্থাপনাগুলোর,	স্থাপনাগুলোর,	
directorete,	ডিরেক্টরেট,	ডিরেক্টরেট,	
obdi,	ওব্দী,	অব্দি,	
chalochchitraeei,	চলচ্চিত্রই,	চলচ্চিত্রেই,	
somabeshti,	সমাবেশটি,	সমাবেশটি,	
barbadoj,	বারবাজদ,	বার্বাডোজ,	
orhan,	অরহান,	ওরহান,	
shuperheiro,	শুপারহিরোর,	সুপারহিরো,	
heepatitis,	হিপাটাইটিস,	হেপাটাইটিস,	
shootar,	সূতার,	শ্যুটার,	
morodeho,	মরদেহ,	মরদেহ,	
windo,	উইন্ডো,	উইন্ডো,	
nyata,	ন্যাট,	ম্যাট,	
bhushito,	ভূষিত,	ভূষিত,	
boudher,	বৌধের,	বৌদ্ধের,	
stanahenja,	স্তনাহেঞ্জা,	স্টোনহেঞ্জ,	
smarak,	স্মারক,	স্মারক,	
dhadhiye,	ধধধিয়ে,	ধাধিয়ে,	
poste,	পোস্টে,	পোষ্টে,	
romjaner,	রোমজানের,	রমযানের,	
hitaishi,	হিতাইশি,	হিতৈষী,	
keuoi,	কেওয়,	কেউই,	
nutunotto,	নুতুনত্ব,	নতুনত্ব,	
matorom,	মাতোরম,	মাতরম,	
asabhya,	অসভ্য,	অসভ্য,	
beshakbar,	বেশকবার,	বেশকবার,	
turkeyder,	তুরকেদের,	তুর্কিদের,	
victor,	ভিক্টর,	ভিক্টর,	
sushposhtolikhito,	সুষ্পষ্টলিশিত,	সুষ্পষ্টলিখিত,	
baikalyo,	বৈকল্য,	বৈকল্য,	
sithilota,	সিথিলতা,	শিথিলতা,	
chilahatee,	চিলাহাটি,	চিলাহাটি,	
braqe,	ব্র্যাকে,	ব্রেক,	
kushumba,	কুশুম্বা,	কুশুম্বা,	
fanse,	ফ্যান্স,	ফাঁসে,	
remacry,	রিম্যাক্রি,	রেমাক্রী,	
laesensh,	লাযাসেস,	লাইসেন্স,	
meshmeshya,	মেশমেশ্যা,	মেশহমেশহিইয়া,	
gore,	গোরে,	গোর,	
protishtan,	প্রতিষ্টান,	প্রতিষ্টান,	
macbeth,	ম্যাকবেথ,	ম্যাকবেথ,	
shasankarta,	শাসনকার্তা,	শাসনকর্তা,	
talgachh,	তালগাছ,	তালগাছ,	
khoka,	খোকা,	খোকা,	
hingsar,	হিংসার,	হিংসার,	
swasthohinotay,	স্বাস্থ্যহীনতায়,	স্বাস্থ্যহীনতায়,	
chuti,	চুটি,	ছুটি,	
upobasher,	উপবাশের,	উপবাসের,	
footbalarra,	ফুটবলরা,	ফুটবলাররা,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
brixfield,	ব্রিক্সফিল্ড,	ব্রিক্সফিল্ড,	
abdi,	আব্দী,	অব্দি,	
jinsa,	জিনসা,	জিন্স,	
fastag,	ফস্তাগ,	ফ্যাসট্যাগ,	
rakkhandurga,	রক্ষণদূর্গ,	রক্ষণদুর্গ,	
protul,	প্রতুল,	প্রতুল,	
byatari,	ব্যাটারী,	ব্যাটারী,	
chalochchitreei,	চলচ্চিত্রই,	চলচ্চিত্রেই,	
santaa,	সান্তা,	সান্তা,	
pronoti,	প্রণতি,	প্রণতি,	
karmasampadon,	কর্মসম্পদান,	কর্মসম্পাদন,	
abheedhanik,	অভিধানিক,	অভিধানিক,	
