pragreesa,	প্রোগ্রীসা,	প্রগ্রেস,	
chikittsar,	চিকিত্সসার,	চিকিত্সার,	
jotinkey,	জটিনকে,	যতীনকে,	
sepha,	সেফা,	শেফ,	
annorup,	আন্নরূপ,	অন্যরূপ,	
sausagee,	সৌগসী,	সসেজ,	
gonjona,	গঞ্জনা,	গঞ্জনা,	
dharmiyabhabei,	ধর্মিয়ভাবেই,	ধর্মীয়ভাবেই,	
fansi,	ফান্সি,	ফাঁসী,	
japanostho,	জাপানস্থ,	জাপানস্থ,	
cholochchitra,	চলচ্চিত্র,	চলচ্চিত্র,	
sosoa,	সোসো,	শশা,	
jacksonke,	জ্যাকসনকে,	জ্যাকসনকে,	
juboksoho,	যুবকসহ,	যুবকসহ,	
dianes,	ডিয়ানেস,	ডিএনএস,	
oitijjha,	ঐতিহ্ঝা,	ঐতিহ্য,	
conflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
magical,	ম্যাজিকাল,	ম্যাজিকাল,	
jini,	জিনি,	যিনি,	
jonomukhi,	জনমুখী,	জনমুখী,	
debete,	দেবেতে,	ডিবেট,	
daltagi,	দলতাগী,	দলত্যাগী,	
backflipe,	ব্যাকফ্লিপে,	ব্যাকফ্লিপে,	
nirmolota,	নির্মলতা,	নির্মলতা,	
musallati,	মুসল্লতি,	মুসল্লাটি,	
show,	শো,	শো,	
asif,	আসিফ,	আসিফ,	
hadisti,	হাদিস্টি,	হাদিসটি,	
parinati,	পরিণাটি,	পরিণতি,	
cholochchitratike,	চলচ্চিত্রাটিকে,	চলচ্চিত্রটিকে,	
sadeena,	সাদেনা,	সাডেন,	
prijon,	প্রিজন,	প্রিজন,	
korimkey,	করিমকে,	করিমকে,	
cholochchitrai,	চলচ্চিত্রায়,	চলচ্চিত্রই,	
iling,	ইলিং,	ইলিং,	
baikalyo,	বাইকল্য,	বৈকল্য,	
pyaleshtainer,	প্যালেশটেইনের,	প্যালেস্টাইনের,	
chalochchitreei,	চালচ্চিত্রেই,	চলচ্চিত্রেই,	
chinto,	চিন্তো,	চিনতো,	
madaspushto,	মাদাস্পুষ্ট,	মদদপুষ্ট,	
maradeha,	মরদেহ,	মরদেহ,	
nartana,	নারতানা,	নর্টন,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
bane,	বানে,	বনে,	
agomone,	আগমনে,	আগমনে,	
jamjamat,	জমজামত,	জমজমাট,	
damodar,	দামোদার,	দামদর,	
prabhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
deenes,	ডেনেস,	দীনেশ,	
tahalo,	তাহালো,	তাহলো,	
carloos,	কারলোস,	কার্লোস,	
nirbachokder,	নির্বাচকদের,	নির্বাচকদের,	
nachar,	নাচার,	নাচার,	
bardhitansh,	বা্ধিতনন্ধ,	বর্ধিতাংশ,	
korush,	করুষ,	ক্রুশ,	
bishashke,	বিষাষকে,	বিশ্বাসকে,	
heavy,	হেভি,	হেভি,	
tanu,	তানু,	তনু,	
kaalaam,	কালাম,	কালাম,	
shaater,	সাতের,	শ্যুটার,	
idipasha,	ইডিপাশা,	ইডিপাস,	
gaddaafee,	গ্যাডফাফি,	গাদ্দাফী,	
aashtikotaa,	আশ্তিকতা,	আস্তিকতা,	
apolokbhabe,	আপলকভাবে,	অপলকভাবে,	
lotharan,	লোথারান,	লুথেরান,	
soinyora,	সৈন্যরা,	সৈন্যরা,	
kalki,	কালকি,	কালকি,	
samashtike,	সমাষ্টীকে,	সমষ্টিকে,	
chhanada,	ছানাদা,	ছানাদা,	
porinoti,	পরিনতি,	পরিণতি,	
shresthoshcho,	শ্রেষ্ঠশ্চ,	শ্রেষ্ঠশ্চ,	
graambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
gabeshonar,	গবেশনার,	গবেষনার,	
browser,	ব্রাউসের,	ব্রাউজার,	
fuss,	ফাস,	ফাস,	
prasadhoni,	প্রসাধনী,	প্রসাধনী,	
aswasteekor,	অস্বস্তিকর,	অস্বস্তিকর,	
aatmobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
subade,	সুবাদে,	সুবাদে,	
dhandu,	ধন্দু,	ধন্দু,	
vaibon,	ভাইবন,	ভাইবোন,	
tintir,	তিনটির,	তিনটির,	
qraima,	ক্রাইমা,	ক্রাইম,	
eupheike,	ইউফেইকে,	ইউফেইকে,	
rudiger,	রুদিগের,	রুদিগের,	
dooburir,	দুবুরির,	ডুবুরির,	
laiseensim,	লাইসনসিম,	লাইসেন্সিং,	
meridiane,	মেরিডিয়ানে,	মেরিডিয়ানে,	
bisnuke,	বিস্নুকে,	বিষ্ণুকে,	
societytey,	সোিটটিতে,	সোসাইটিতে,	
jati,	জাতি,	যাতি,	
amburi,	অম্বুরী,	আম্বুরি,	
shniper,	স্নিপের,	স্নাইপার,	
houzgulite,	হৌউজগুলিতে,	হাউজগুলিতে,	
mozdoor,	মজদুর,	মজদুর,	
oncoleo,	অনকোলেও,	অঞ্চলেও,	
khalid,	খালিদ,	খালিদ,	
batikromshalee,	বাতিক্রমোশলী,	ব্যতিক্রমধর্মী,	
faltu,	ফলতু,	ফালতু,	
chaalkee,	চালকি,	চালকে,	
mahibur,	মহিবুর,	মহিবুর,	
sookkho,	সুক্ষ,	সুক্ষ্ম,	
victor,	ভিক্টর,	ভিক্টর,	
bachhaikrito,	বাছাইকৃত,	বাছাইকৃত,	
debdebie,	দেবদীবে,	দেবদেবী,	
musalmani,	মুসলমানি,	মুসলমানই,	
susamo,	সুসামো,	সুসম,	
shangkalonti,	সংকলনটি,	সংকলনটি,	
gazeetteed,	গাজিটিড,	গেজেটেড,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
bhowanipur,	ভোয়ানীপুর,	ভবানীপুর,	
kanader,	কানাদের,	কণাদের,	
laaz,	লাজ,	লাজ,	
monjooshree,	মঞ্জশরী,	মঞ্জুশ্রী,	
ramchander,	রামচন্দর,	রামচন্দরের,	
soori,	সুরী,	সুরি,	
dijmarescu,	ডিজমারুস্কু,	দিজমার্সাকু,	
nogore,	নগরে,	নগরে,	
abhiyojan,	অভিযযযজন,	অভিযোজন,	
sikarder,	সিকারদের,	শিকারদের,	
doloo,	দলু,	ডলু,	
somsher,	সমশের,	সমশের,	
kholdhular,	খোল্ধুলার,	খোলধূলার,	
seekkhaou,	সিক্ষাও,	শিক্ষাও,	
sthapanagulor,	স্থাপনাগুলোর,	স্থাপনাগুলোর,	
cheef,	চিফ,	শেফ,	
siitei,	সিইতেই,	শীতেই,	
kalirkhal,	কালিরখাল,	কালিরখাল,	
shariba,	শরিবা,	শরিবা,	
choudry,	চৌড়রি,	চৌধুরী,	
jounatar,	যৌনাতার,	যৌনতার,	
jolrang,	জোলরাং,	জলরঙ,	
oitijhyotike,	ঐতিহ্যটিকে,	ঐতিহ্যটিকে,	
obosan,	ওবসান,	অবসান,	
bosoben,	বসবেন,	বসবেন,	
shektor,	সেক্তর,	সেক্টর,	
bidghootey,	বিধগুতে,	বিদঘুটে,	
sucre,	সাক্রে,	সাকার,	
metrikoleshana,	মেত্রিকোলেশন,	মেট্রিকোলেশন,	
satarkabhabey,	সতর্কভাবে,	সতর্কভাবে,	
groundta,	গ্রুন্ডটা,	গ্রাউন্ডটা,	
collaborators,	কোলাবোটরর্স,	কলাবরেটরস,	
olpo,	অলপপো,	অল্প,	
poketchorder,	পকেটচর্দের,	পকেটচরদের,	
vaabnake,	ভাবনাকে,	ভাবনাকে,	
hoonayin,	হুনায়িন,	হুনাইন,	
sarollo,	সারোলো,	সারল্য,	
khudrokar,	ক্ষদ্রকার,	ক্ষুদ্রকার,	
protul,	প্রতুল,	প্রতুল,	
kaferder,	কাফেরদের,	কাফেরদের,	
hena,	হেনা,	হেনা,	
katiusha,	কাটিউশা,	কাতিউশা,	
porobortii,	পরবর্তীই,	পরর্বতী,	
amor,	আমর,	আমর,	
chikkingsasoho,	চিক্সিংসহ,	চিকিংসাসহ,	
shaahaabiike,	সাহাবাইকে,	সাহাবীকে,	
salchak,	সালচক,	সালচাক,	
madhobeer,	মধববীর,	মাধবীর,	
korijachilen,	করিযাছিলেন,	করিযাছিলেন,	
jaadrel,	জাড্রেল,	জাঁদরেল,	
mashtarsha,	মাশ্টর্শ,	মাস্টার্স,	
durbhagya,	দুর্ভাগ্য,	দূর্ভাগ্য,	
ohalyar,	ওহাল্যার,	অহল্যার,	
oisamoyer,	ঐসময়ের,	ঐসময়ের,	
notey,	নটী,	নোটে,	
fokskon,	ফকসককন,	ফক্সকন,	
teoner,	তেওনের,	টিওনার,	
dola,	দোলা,	দলা,	
shuchonakal,	শুচোনাকাল,	সূচনাকাল,	
hari,	হরি,	হরি,	
gaichhe,	গাইছে,	গাইছে,	
chandrimaa,	চন্দ্রিমা,	চন্দ্রিমা,	
dhaleshorii,	ধালেশরী,	ধলেশ্বরী,	
ganaparibahan,	গণপরিবহন,	গণপরিবহন,	
chirkut,	চিরকুট,	চিরকুট,	
ovidhaner,	ওভিধানের,	অভিধানের,	
saurce,	সার্স,	সোর্স,	
habol,	হাবল,	হাবোল,	
dakope,	ডাকোপে,	দাকোপ,	
yuroo,	যুুরুও,	ইউরো,	
corsin,	করসিন,	করসিন,	
ddebet,	দ্বেট,	ডিবেট,	
meshintao,	মেশিনটাও,	মেশিনটাও,	
shishupalgarh,	শিশুপললগরেহ,	শিশুপালগড়ে,	
teter,	টেটার,	টেটের,	
mail,	মেইল,	মাইল,	
janagononar,	জনগণনার,	জনগণনার,	
aansaareer,	আনসারীর,	আনসারীর,	
bedey,	বেদে,	বেদে,	
sangbadmadhyomgulote,	সংবাদমাধ্যমগুলোতে,	সংবাদমাধ্যমগুলোতে,	
niknayman,	নিকনাইমান,	নিকনেইমান,	
diiptii,	ডিপটিই,	ডেপুটি,	
gingbhalobasen,	গিংভাভাাাসেন,	গিংভালোবাসেন,	
forma,	ফরমা,	ফর্মা,	
phutbolarder,	ফুটবোলকারদের,	ফুটবলারদের,	
associatis,	অ্যাসোসিয়েটিস,	এসোসিয়েটস,	
songbadmadhyame,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
shamuker,	শামুকের,	শামুকের,	
landin,	ল্যান্ডিন,	ল্যান্ডিং,	
poste,	পস্তে,	পোস্টে,	
flexta,	ফ্লেক্সটা,	ফ্লেক্সটা,	
bisshaskey,	বিশ্াসকে,	বিশ্বাসকে,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
dharabahikotitey,	ধারাবাহিককিতে,	ধারাবাহিকটিতে,	
ghoomato,	ঘুমাতো,	ঘুমাতো,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
shamshere,	শামশেরে,	শমসের,	
hossne,	হোস্ন,	হোসনে,	
expreshshion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
gaj,	গাজ,	গেজ,	
ghuznavi,	ঘুজনাভী,	গজনভি,	
anyorup,	অন্যরূপ,	অন্যরূপ,	
oncholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
bahati,	বহাতী,	বাহাতি,	
crime,	ক্রাইম,	ক্রাইম,	
chaudhuriyo,	চৌধুরীয়,	চৌধুরীও,	
kathghera,	কাঠেরা,	কাঠঘেরা,	
markeetim,	মার্কিটিং,	মার্কেটিং,	
khargosher,	খরগোষের,	খরগোসের,	
sinaake,	সিনাকে,	সিনাকে,	
rubala,	রুবালা,	রুবল,	
shoreefer,	শরেফের,	শরিফের,	
jeten,	জেতেন,	জেতেন,	
prakalpoguli,	প্রকল্পগুলি,	প্রকল্পগুলি,	
tookrokey,	টুকরকে,	টুকরোকে,	
dakkhinkare,	দক্ষিণকারে,	দক্ষিণকরে,	
zommu,	জম্মু,	জম্মু,	
koro,	করো,	করো,	
tenishe,	তেনিশে,	টেনিসে,	
sanghar,	সাংঘর,	সংহার,	
chalachchitrotike,	চলচ্চিত্ররটিকে,	চলচ্চিত্রটিকে,	
ponchaasjon,	পঞ্চাসজন,	পঞ্চাশজন,	
mah,	মাহ,	মাহে,	
karecho,	করেছো,	করেছো,	
nek,	নেক,	নেক,	
abhidhaaner,	অভিধানের,	অভিধানের,	
tongaa,	টঙ্গা,	টোঙ্গা,	
bhagno,	ভাগ্ন,	ভগ্ন,	
bm,	বিএমআই,	বিএম,	
humira,	হুমিরা,	হুমিরা,	
patochitra,	পাটোচিত্র,	পটচিত্র,	
potka,	পটকা,	পটকা,	
murad,	মুরাদ,	মুরাদ,	
prokolpotike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
konroop,	কনরুপ,	কোনরূপ,	
ebham,	এভাম,	ইভিএম,	
kajangale,	কাজঙ্গলে,	কজঙ্গলে,	
bharatey,	ভাতাতে,	ভারতে,	
crucer,	ক্রুসার,	ক্রুশের,	
swostir,	স্বস্তির,	স্বস্তির,	
aaireshe,	আইরেশে,	আইরেসে,	
jor,	জর,	জ্বর,	
balabhadra,	বালাভররা,	বলভদ্র,	
taatey,	টাতে,	তাতে,	
jontrangshogulor,	যন্ত্রাংগগুলোর,	যন্ত্রাংশগুলোর,	
golghare,	গলঘরে,	গোলঘরে,	
cheekitshar,	চিকিৎশার,	চিকিত্সার,	
planeti,	প্লেনেটি,	প্লেনটি,	
kutubuddinke,	কুটুবুদ্দিনকে,	কুতুবুদ্দিনকে,	
votar,	ভোটার,	ভোটার,	
shatan,	শাতান,	শয়তান,	
ved,	ভেড,	বেদ,	
bhupal,	ভূপাল,	ভূপাল,	
auttacharer,	অট্টাচারের,	অত্যাচারের,	
shrichaitanyadev,	শ্রীচৈতাান্যেভেদ,	শ্রীচৈতন্যদেব,	
suraaropito,	সুরারপিত,	সুরারোপিত,	
samajikatar,	সমাজিকতার,	সামাজিকতার,	
purple,	পুর্পলে,	পার্পেল,	
tinhazar,	তিনহাজারের,	তিনহাজার,	
noitik,	নৈতিক,	নৈতিক,	
kiibord,	কাইবোর্ড,	কীবোর্ড,	
adarsho,	আদর্শ্,	আর্দশ,	
biswashi,	বিশ্বশী,	বিশ্বাসী,	
bhabanipur,	ভবনীপুর,	ভবানীপুর,	
deares,	ডিয়ারস,	ডিআরএস,	
chhutee,	ছুটি,	ছুটি,	
dabarer,	দাবারের,	দাবারের,	
distance,	ডিস্ট্যান্সে,	ডিসট্যান্স,	
elakatite,	এলাকাটিতে,	এলাকাটিকে,	
matthews,	ম্যাথহেস,	ম্যাথিউস,	
wictor,	উইক্টর,	ভিক্টর,	
bornolikhon,	বর্ণলিখন,	বর্ণলিখন,	
ispreedshiit,	ইস্প্রেশিয়ট,	স্প্রেডশীট,	
sookumari,	সুকুমারী,	সুকুমারী,	
zerusalemer,	জেরুসালেমের,	জেরুজালেমের,	
ratishilatai,	রতিশীলতাই,	রতিশীলতায়,	
roopmatro,	রূপমাত্র,	রূপমাত্র,	
residensa,	রেসিডেন্সা,	রেসিডেন্স,	
atorkitey,	অটোরকিতে,	অতর্কিতে,	
ishtone,	ইস্টোন,	স্টোন,	
baharamporer,	বহরামপরের,	বহরমপুরের,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
chintamani,	চিন্তামণি,	চিন্তামনি,	
chintakarma,	চিন্তাকর্ম,	চিন্তাকর্ম,	
dighol,	দিঘল,	দীঘল,	
laishensha,	লেশেন্স,	লাইসেন্স,	
ekirokom,	একিরকম,	একইরকম,	
literacy,	লিইটারেসি,	লিটারেসি,	
balithubar,	বালিটুবার,	বালিথুবার,	
directorete,	ডাইরেক্টরেট,	ডিরেক্টরেট,	
deefinition,	ডিফিনিশন,	ডেফিনেশন,	
wodka,	ওয়াকা,	ভদকা,	
evaner,	ইভানের,	ইভানের,	
hitokor,	হিতকোর,	হিতকর,	
antarbhutto,	অন্তর্ভূত্ত,	অন্তর্ভুক্ত,	
antorbhuktimulak,	আন্তর্ভূষ্তিমূলক,	অন্তর্ভুক্তিমূলক,	
gajiipur,	গাজীপুর,	গাজীপুর,	
soheensotar,	সোহিনসতার,	সহিংসতার,	
iub,	ইইউইউ,	আইইউবি,	
brindaboney,	বৃন্দাবনে,	বৃন্দাবনে,	
kisti,	কিস্তি,	কিস্তি,	
dienes,	ডিয়েনস,	ডিএনএস,	
aqram,	আকরাম,	আকরাম,	
teoyana,	তেওয়ানা,	তাইওয়ান,	
bodhukeo,	বধুকেও,	বধুকেও,	
taler,	তালের,	তালের,	
sharansthal,	শরনস্থল,	শরণস্থল,	
nirmalata,	নির্মলতা,	নির্মলতা,	
taufik,	তাফিক,	তৌফিক,	
keuoi,	কেওয়েই,	কেউই,	
informetion,	ইনফরমেশন,	ইনফরমেশন,	
sikarer,	সীকারের,	শিকারের,	
hukar,	হুকার,	হুকার,	
jontrototto,	যন্ত্রতত্ত্ব,	যন্ত্রতত্ত্ব,	
akpaase,	আকপাশে,	একপাশে,	
purushika,	পুরুষিকা,	পুরুষিকা,	
juktorastrer,	যুক্তরাষ্ত্রের,	যুক্তরাষ্ট্রের,	
hijrite,	হিজরিতে,	হিজরীতে,	
siima,	সিমা,	সীমা,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
prarthitao,	প্রার্থীতাও,	প্রার্থীতাও,	
qarlosa,	কারলোসা,	কার্লোস,	
kortona,	কর্তনা,	করতনা,	
bonobhumi,	বনভূমি,	বনভূমি,	
hugeke,	হুগেকে,	হিউজকে,	
manober,	মানবের,	মানবের,	
grambaasi,	গ্রামবাসী,	গ্রামবাসী,	
firth,	ফার্থ,	ফার্থ,	
rajtantra,	রাজতন্ত্র,	রাজতন্ত্র,	
manjushri,	মঞ্জুশ্রী,	মঞ্জুশ্রী,	
kraim,	ক্রাইম,	ক্রাইম,	
emiratas,	এমিরাতাস,	এমিরেটাস,	
daakteekite,	ডাকটিকটিতে,	ডাকটিকিটে,	
balaruma,	বালারুমা,	বলরুম,	
horiddar,	হরিদ্দার,	হরিদ্বার,	
fatakasto,	ফতাকাস্ত,	ফাটাকেষ্ট,	
qaferder,	কাফারদের,	কাফেরদের,	
saifullahil,	সাইফুল্লাহিল,	সাইফুল্লাহিল,	
dhwajbhango,	ধ্বাভাঙ্গ,	ধ্বজভঙ্গ,	
graambaaseeo,	গ্রামবাসীও,	গ্রামবাসীও,	
sithilota,	সিথিলতা,	শিথিলতা,	
aarik,	আরিক,	আরিক,	
protistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
ajeem,	আজেম,	আজিম,	
dhanak,	ধনক,	ধানক,	
kaferderke,	কাফেরদেরকে,	কাফেরদেরকে,	
daaktikite,	ডাকটিকিতে,	ডাকটিকিটে,	
capsul,	ক্যাপসুল,	ক্যাপসুল,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
maail,	মাইল,	মাইল,	
hert,	হার্ট,	হার্ট,	
akmato,	আকমাতো,	একমত,	
bishwaashshoi,	বিশ্বশ্যই,	বিশ্বাসই,	
dhaanche,	ধাঁছে,	ধাঁচে,	
uporitale,	উপরিতালে,	উপরিতলে,	
bosturoi,	বস্তুরই,	বস্তুরই,	
ritesh,	ঋীতেশ,	রিতেশ,	
review,	রিভিয়ে,	রিভিউও,	
oitijhya,	ঐতিহ্য,	ঐতিহ্য,	
babare,	বাবারে,	বাবারে,	
dipgulote,	ডিপগুলোতে,	দ্বীপগুলোতে,	
panchasjan,	পঞ্চসজন,	পঞ্চাশজন,	
sanstha,	সানস্থা,	সংস্থা,	
chikitsanirbhar,	চিকিৎসানির্ভর,	চিকিৎসানির্ভর,	
messengerer,	মেসেন্রারের,	মেসেঞ্জারের,	
jonesh,	জোনেশ,	জোন্স,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
nichupattir,	নিচুপাট্টির,	নিচুপট্টির,	
daktickete,	ডাক্িকেটে,	ডাকটিকিটে,	
godabari,	গোদাবারী,	গোদাবরী,	
dhangsachchi,	ধ্বংসচচ্চি,	ধ্বংসাচ্ছি,	
teunar,	টেউনার,	টিউনার,	
ruble,	রাবল,	রুবল,	
premo,	প্রেমো,	প্রিমো,	
suchanakal,	সুচনাকাল,	সূচনাকাল,	
serology,	সেরোলজি,	সেরোলজি,	
shift,	শিফট,	শিফট,	
bonsho,	বংশ,	বংশ,	
kormoi,	কর্মই,	কর্মই,	
hundai,	হুন্ডাই,	হুন্দাই,	
roy,	রোয়,	রায়,	
kumbhalnar,	কুম্ভলনার,	কুম্ভালনার,	
ovinetar,	অভিনেতার,	অভিনেতার,	
atmabishvashi,	আত্মবিশভাষী,	আত্মবিশ্বাসী,	
miraclee,	মিরাকলি,	মিরাকেল,	
chatrorai,	ছাত্ররাই,	ছাত্ররাই,	
makong,	মাকং,	মেকং,	
jins,	জিনস,	জিন্স,	
assexe,	আসেেক্সে,	অ্যাসেক্সে,	
gaaddafee,	গাদ্ডফফী,	গাদ্দাফী,	
bondira,	বন্দিরা,	বন্দীরা,	
dewaben,	দেওয়াবেন,	দেওয়াবেন,	
pichte,	পিচতে,	পিছতে,	
abheedhaaneek,	অভিধানিক,	অভিধানিক,	
gaddaphii,	গড়্দাফি,	গাদ্দাফী,	
lungiti,	লুংগিটি,	লুঙ্গিটি,	
rekhapat,	রেখাপাত,	রেখাপাত,	
parishram,	পরিশ্রম,	পরিশ্রম,	
goolen,	গুলেন,	গুলেন,	
obosorer,	অবসরের,	অবসরের,	
angkita,	অঙ্কিতা,	অঙ্কিতা,	
qulim,	কুলিম,	কুলিং,	
gonona,	গোনোনা,	গননা,	
encidablu,	এনসিডাবল্দু,	এনসিডাব্লু,	
biplabeer,	বিপ্লাবীর,	বিপ্লবীর,	
bangalore,	বাঙ্গালোর,	ব্যাঙ্গালুরে,	
artherer,	আর্থারের,	আর্থারের,	
adorsho,	আদর্শ,	আর্দশ,	
mimgulor,	মিমগুলোর,	মিমগুলোর,	
manabmaner,	মানবমনের,	মানবমনের,	
monjurul,	মঞ্জুরুল,	মনজুরুল,	
provritike,	প্রভৃতিকে,	প্রভৃতিকে,	
suisharke,	সুইশারকে,	সুইশারকে,	
mardud,	মারদুদ,	মরদুদ,	
grambaashio,	গ্রামবাশিও,	গ্রামবাসীও,	
mane,	মানে,	মানে,	
baffer,	বাফার,	বাফার,	
aairish,	আইরিশ,	আইরিস,	
shikshagato,	শিক্ষাগত,	শিক্ষাগত,	
engrejra,	এংগেরজার,	ইংরেজরা,	
laatimer,	লাটিমের,	লাটিমের,	
dera,	দীরা,	ডেরা,	
middleton,	মিডলটটন,	মিডলটন,	
baman,	বামান,	বামন,	
shithilata,	শিথিলতা,	শিথিলতা,	
chandil,	চন্দীল,	চান্ডিল,	
hariner,	হরিণের,	হরিণের,	
khanabale,	খানাবালে,	খানাবলে,	
prrajanankaal,	প্রজানকাল,	প্রজননকাল,	
laaisens,	লাইসেনস,	লাইসেন্স,	
jatotaa,	যততা,	যতোটা,	
chhaikalo,	ছাইকললো,	ছাইকালো,	
sipa,	সিপা,	শিপ,	
pushtee,	পুষ্টি,	পুষ্টি,	
shulfate,	শুলফেট,	সালফেট,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
suporichita,	সুপরিচিতা,	সুপরিচিত,	
ministara,	মিনিস্তারা,	মিনিস্টার,	
spredashiita,	স্প্রেদাশীতা,	স্প্রেডশীট,	
adhikartai,	অধিকারটাই,	অধিকর্তাই,	
mookhomandoler,	মুখহমণ্ডলের,	মুখমণ্ডলের,	
aamoode,	আমুডে,	আমুদে,	
manohputa,	মনঃপুতা,	মনঃপুত,	
jonoshongjog,	জনসঙ্যযোগ,	জনসংযোগ,	
taateo,	তাতেও,	তাতেও,	
janoganonar,	জনগনানার,	জনগণনার,	
mmadhuri,	ম্যামধুরি,	মাধুরী,	
thabai,	থাবাই,	থাবাই,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
halding,	হললিং,	হোল্ডিং,	
maailkhanek,	মাইলখানেক,	মাইলখানেক,	
ostad,	ওস্টাদ,	ওস্তাদ,	
dhamshrenite,	ধামশ্রেণীতে,	ধামশ্রেণীতে,	
nishad,	নিষাদ,	নিষাদ,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
karecho,	করেছো,	করেছ,	
nabatamo,	নবতামো,	নবতম,	
kinsha,	কিনশা,	কিংস,	
obhijojan,	অভিযোজন,	অভিযোজন,	
korle,	করলে,	করলে,	
bossoben,	বসববেন,	বসবেন,	
spancer,	স্প্যান্সের,	স্পেন্সার,	
mohit,	মহিত,	মুহিত,	
suraropito,	সুরারপিত,	সুরারোপিত,	
nothivukto,	নথিভুক্ত,	নথিভুক্ত,	
gorjon,	গর্জন,	গর্জন,	
ghamtaa,	ঘামটা,	ঘোমটা,	
noitikota,	নৈতিকতা,	নৈতিকতা,	
taap,	টাপ,	ট্যাপ,	
land,	ল্যান্ড,	ল্যান্ড,	
seebiai,	সেবিয়াই,	সিবিআই,	
sotorkobhabey,	সতর্কভাবে,	সতর্কভাবে,	
militarite,	মিলিটারিতে,	মিলিটারিতে,	
toranganj,	তরঙ্গঞ্জ,	তোরাবগঞ্জ,	
hafsa,	হাফসা,	হাফসা,	
myathiou,	ম্যাথিওউ,	ম্যাথিউ,	
besur,	বেসুর,	বেসুর,	
baarnish,	বার্নিশ,	বার্নিশ,	
machgulo,	মাছগুলো,	মাছগুলো,	
shloker,	শ্লোকের,	শ্লোকের,	
lebina,	লেবিনা,	লেবিনা,	
uter,	উতের,	উটের,	
