cholochchitrai,	চলচ্চিত্রায়,	চলচ্চিত্রই,	
societytey,	সসিটেটি,	সোসাইটিতে,	
haitasha,	হাইতাশ,	হাইটস,	
ekjoge,	একযোগে,	একযোগে,	
byaptikaler,	ব্যা্তিকালের,	ব্যাপ্তিকালের,	
swostir,	স্বস্তির,	স্বস্তির,	
batom,	ব্টোম,	বাটম,	
aakkas,	আক্কাস,	আককাস,	
oitijjha,	ঐতিহ্য,	ঐতিহ্য,	
heena,	হেন,	হেনা,	
hetimganje,	হেটিমগঞ্জে,	হেতিমগঞ্জে,	
doorotomo,	দূরতম,	দূরতম,	
dhyanastha,	ধ্যানস্থ,	ধ্যানস্থ,	
jokkher,	যক্ষের,	যক্ষের,	
seeramiks,	সিরামিক্স,	সিরামিকস,	
bishwaashshoi,	বিশ্বাশই,	বিশ্বাসই,	
romarder,	রোমারদের,	রোমারদের,	
punosthaner,	পুনস্থানের,	পুনঃস্থানের,	
jumlalancer,	জুমলালান্সের,	জুমলাল্যান্সার,	
niurolaji,	নিউরলাজি,	নিউরোলজি,	
bulano,	বুলানো,	বুলান,	
gonohotyakey,	গণহত্যাকে,	গণহত্যাকে,	
kinto,	কিন্তো,	কিনত,	
afzol,	আফজল,	আফজল,	
shkalarashhipa,	স্কলরশশিপ,	স্কলারশিপ,	
khaschandpur,	খাসচন্দপুর,	খাসচাঁদপুর,	
difinisian,	ডিফিনাইজান,	ডেফিনেশন,	
spreadshiit,	স্প্রেডিভিট,	স্প্রেডশীট,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
asovya,	আসোভ্য,	অসভ্য,	
sahojatprobritti,	সহজতপ্রবৃত্তি,	সহজাতপ্রবৃত্তি,	
sumitrar,	সুমিত্রার,	সুমিত্রার,	
directorete,	ডাইরেক্টরে,	ডিরেক্টরেট,	
maailkhanek,	মাইলখানেক,	মাইলখানেক,	
mataram,	মাতারাম,	মাতরম,	
ramachandranke,	রামাচন্দ্রনকে,	রামাচন্দ্রনকে,	
probhura,	প্রভুরা,	প্রভুরা,	
sazanor,	সাজানোর,	সাজানোর,	
vagini,	ভাগিনী,	ভগিনী,	
ovidhaner,	অভিধানের,	অভিধানের,	
bojhe,	বঝে,	বোঝে,	
somoodrotote,	সমৌদ্রততে,	সমুদ্রতটে,	
monjurul,	মঞ্জুরুল,	মনজুরুল,	
shringgo,	শ্রিংগো,	শৃঙ্গ,	
chaanoo,	চানু,	চানু,	
nazranar,	নাজরানার,	নাজরানার,	
batsmanei,	ব্যাটসমেনেই,	ব্যাটসম্যানই,	
besur,	বেসুর,	বেসুর,	
seo,	সাইও,	সেও,	
chhintayikari,	ছিন্তায়কারী,	ছিনতাইকারী,	
karir,	কারির,	কারীর,	
dharmiyabhabei,	ধর্মিয়ভাবেই,	ধর্মীয়ভাবেই,	
vobanipur,	ভবানীপুর,	ভবানীপুর,	
shasankarta,	শশনকর্তা,	শাসনকর্তা,	
sthapanar,	স্থাপনার,	স্থাপনার,	
aashtikotaa,	অষ্টিকতা,	আস্তিকতা,	
taufiq,	তৌফিক,	তৌফিক,	
andamana,	আন্দমানা,	আন্দামান,	
obosorer,	অবসরের,	অবসরের,	
udbodhaney,	উদ্বোধনে,	উদ্বোধনে,	
chaka,	চাকা,	চাকা,	
durgotsab,	দুর্গতৎবা,	দুর্গোৎসব,	
asamonjasyopurno,	অসামঞ্জনাস্পূর্ণ,	অসামঞ্জস্যপূর্ণ,	
elakai,	এলাকাই,	এলাকাই,	
mukhobondho,	মুখবদ্ধ,	মুখবন্ধ,	
lyataa,	ল্যাটা,	ল্যাটা,	
vittio,	ভিত্তিও,	ভিত্তিও,	
poripake,	পরিপাকে,	পরিপাকে,	
grambasheeo,	গ্রামবাশিও,	গ্রামবাসীও,	
cena,	সেনা,	সিনা,	
amorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
shudhui,	শুধুই,	শুধুই,	
dekaner,	দেকানের,	দেকানের,	
sikara,	সিকারা,	শিকার,	
jatata,	জাতাটা,	যতোটা,	
ekoirokom,	একররকম,	একইরকম,	
bhimsen,	ভীমসেন,	ভীমসেন,	
zesa,	জেসা,	জেস,	
dhwajbhango,	ধ্বাধবঙ্গ,	ধ্বজভঙ্গ,	
shahjapur,	শাহজাপুর,	শাহজাপুর,	
trenda,	ট্রেন্ডা,	ট্রেন্ড,	
pray,	প্রই,	প্রায়,	
nodimaatrik,	নদীমাত্রীক,	নদীমাতৃক,	
kolkarkhana,	কলকর্খানা,	কলকারখানা,	
korkotkraantee,	কর্কটকরান্তি,	কর্কটক্রান্তি,	
angkita,	অংকিটা,	অঙ্কিতা,	
pohnpeic,	পন্পেক,	ফোনপেইক,	
kanthar,	কান্থার,	কাঁথার,	
dagmukta,	দাগমুক্ত,	দাগমুক্ত,	
folleni,	ফলেনি,	ফলেনি,	
hattey,	হাত্তে,	হাঁটতে,	
shamuker,	শামুকের,	শামুকের,	
indrani,	ইন্দ্রনী,	ইন্দ্রাণী,	
bo,	পো,	বু,	
wishnu,	উইনশু,	বিষ্ণু,	
lobbytey,	লবি্ে,	লবিতে,	
bhenise,	ভেনিসে,	ভেনিসে,	
bhaisaho,	ভাইসহ,	ভাইসহ,	
biswashi,	বিশ্বশি,	বিশ্বাসী,	
alsaar,	আলসার,	আলসার,	
sookkho,	সুখ্ষ,	সুক্ষ্ম,	
stoonahenja,	স্তনহেন্জন,	স্টোনহেঞ্জ,	
kurdider,	কুর্দীদের,	কুর্দিদের,	
peri,	পারি,	পেরি,	
russad,	রুশদাদ,	রুশদ,	
kutubuddinke,	কুতুবুদ্দিনকে,	কুতুবুদ্দিনকে,	
manober,	মানবের,	মানবের,	
erajyobasi,	এরাজ্যবাসী,	এরাজ্যবাসী,	
sanghar,	সংঘর,	সংহার,	
sedikei,	সেদিকেই,	সেদিকেই,	
muchi,	মুচি,	মুচি,	
dharabahikvabe,	ধারাবাহিকভাবে,	ধারাবাহিকভাবে,	
miley,	মিলে,	মিলে,	
bangobandhu,	বঙ্গবন্ধুই,	বঙ্গবন্ধু,	
humner,	হামনার,	হামনার,	
volapuk,	ভোলাপুক,	ভোলাপুক,	
porbotmala,	পর্বতমালা,	পর্বতমালা,	
zerusaleme,	জেরুসালেমে,	জেরুসালেমে,	
forex,	ফোরেক্স,	ফরেক্স,	
nirmalata,	নির্মলতা,	নির্মলতা,	
purborekorde,	পূর্বরকর্ডে,	পূর্বরেকর্ডে,	
bhromoner,	ভ্রমণের,	ভ্রমণের,	
masto,	মাস্তো,	মাস্ত,	
porirshoder,	পরির্শদের,	পরির্ষদের,	
edmeeral,	এদমিরাল,	এডমিরাল,	
kortona,	কর্তনা,	করতনা,	
chokrantosoho,	চক্রান্তসহ,	চক্রান্তসহ,	
abdoone,	আব্দৌনে,	আবদুন,	
aarmstrong,	আর্মস্ট্রং,	আর্মস্ট্রং,	
ase,	এোএস,	আসে,	
megacaldera,	মেগাক্লাডেরা,	মেগাক্যাল্ডেরা,	
pronoti,	প্রণতি,	প্রণতি,	
popke,	পোপকে,	পোপকে,	
cs,	সিএস,	সিএস,	
ruble,	রুবল,	রুবল,	
ramolino,	রামোলনো,	রামোলিনো,	
everestey,	ইভারেস্টে,	এভারেস্টে,	
madeling,	মাদেলিং,	মডেলিং,	
maryir,	মারির,	ম্যারির,	
tennis,	টেনিস,	টেনিস,	
elaakaa,	এলাকা,	এলাকা,	
damakalkarmirao,	দমকলকর্মীরাও,	দমকলকর্মীরাও,	
purohitder,	পুরোহিতদের,	পুরোহিতদের,	
saraiki,	সারাইকি,	সরাইকি,	
oblivion,	অবলিভন,	অবলিভিয়ন,	
deputee,	দিপুটি,	ডেপুটি,	
neermol,	নির্মল,	নির্মল,	
shilver,	শিলভের,	সিলভার,	
chintakarma,	চিন্তাকর্ম,	চিন্তাকর্ম,	
atwobishvashi,	অত্ববিশবাসী,	আত্মবিশ্বাসী,	
enginiiring,	ইঞ্জিনিয়ারিং,	ইঞ্জিনিয়ারিং,	
tapdei,	টাপদেই,	তাপড়েই,	
danaqana,	দননান,	ডানকান,	
jonesh,	জনেষ,	জোন্স,	
dakticket,	ড্যাকটিকেট,	ডাকটিকিট,	
rayyalati,	রায়য়লতি,	রয়্যালটি,	
gejetade,	জেজেটাদে,	গেজেটেড,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
kuresher,	কুরেশের,	কুরেশের,	
gobeshakgon,	গবেষকগণ,	গবেষকগণ,	
abdi,	আবদি,	অব্দি,	
hajirhat,	হাজিরহাট,	হাজিরহাট,	
sepha,	সেপা,	শেফ,	
ooporoshtho,	অররস্থ,	উপরস্থ,	
soomita,	সূমিতা,	সুমিতা,	
ekghore,	একঘরে,	একঘরে,	
torabgonj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
neck,	নেক,	নেক,	
nyeta,	ন্যেট,	ম্যাট,	
toufik,	তৌফিক,	তৌফিক,	
jontrototto,	যন্ত্রতত্ত্ব,	যন্ত্রতত্ত্ব,	
sarollo,	সরোল্লো,	সারল্য,	
hazat,	হাজাত,	হজত,	
torkareer,	তর্ারীর,	তরকারীর,	
sangbadmadhyome,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
muhaiminer,	মুহাইমিনের,	মুহাইমিনের,	
gotihin,	গতিহীন,	গতিহীন,	
harasta,	হারাস্তা,	হারাস্তা,	
grambaasi,	গ্রামবাসী,	গ্রামবাসী,	
lagchhe,	লাগছে,	লাগছে,	
maail,	মাইল,	মাইল,	
engreziteo,	এংরেজিতেও,	ইংরেজিতেও,	
tikta,	তিকটা,	তিক্ত,	
nirmolota,	নির্মলতা,	নির্মলতা,	
satjaner,	সাতজনের,	সাতজনের,	
yura,	য়ুরা,	ইউরো,	
sures,	সারেস,	সুরেশ,	
dharabahiktite,	ধারাবাহিকটিতে,	ধারাবাহিকটিতে,	
platform,	প্ল্যাটফর্ম,	প্লাটফর্ম,	
ray,	রায়,	রায়,	
bornanukrome,	বর্ণানুক্রমে,	বর্নানুক্রমে,	
podarthobidder,	পদার্থবিদদের,	পদার্থবিদদের,	
bibhinno,	বিভীন্ন,	বিভন্ন,	
balakarak,	বালাকারক,	বলকারক,	
nakkal,	নাক্কাল,	নক্কল,	
samashtike,	সমস্তিকে,	সমষ্টিকে,	
michhilti,	মিছিলটি,	মিছিলটি,	
akeeb,	আকিব,	আকিব,	
madraser,	মাদ্রাসের,	মাদ্রাজের,	
delibhara,	ডেলিভারা,	ডেলিভার,	
konruup,	কনরুলপ,	কোনরূপ,	
naabyota,	নাব্যতা,	নাব্যতা,	
olympicer,	অলিম্পিকের,	অলিম্পিকের,	
dipankar,	দিপানকার,	দিপঙ্কর,	
janamukhi,	জনমুখী,	জনমুখী,	
byaboharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
jamaanor,	জামানোর,	জমানোর,	
deefinishion,	ডিফিশন,	ডেফিনেশন,	
municipal,	মুনিসিপাল,	মিউনিসিপ্যাল,	
harris,	হারিস,	হ্যারিস,	
sangaskritipreme,	সংস্কৃতিপ্রেমে,	সংস্কৃতিপ্রেমে,	
sanghatakder,	সংঘতকদের,	সংঘটকদের,	
bosontokke,	বসন্তকে,	বসন্তকে,	
shahidputra,	শহিদপুত্র,	শহীদপুত্র,	
tochhnochh,	তচ্ছছ,	তছনছ,	
pisach,	পিসাচ,	পিশাচ,	
esprito,	এসপ্রিত,	এস্পিরিটো,	
kuldip,	কুলদিপ,	কুলদীপ,	
cathalic,	ক্যাথালিক,	ক্যাথলিক,	
metropolitan,	মেট্রোপোলিটন,	মেট্রোপলিটন,	
masjidsaha,	মসজিদসহ,	মসজিদসহ,	
chakundite,	চাকুন্দিতে,	চাকুন্দিতে,	
joki,	জকই,	জকি,	
uindoos,	উইনওডুস,	উইন্ডোস,	
mumtaj,	মুমতাজ,	মুমতাজ,	
tantubayer,	তন্তুবায়ের,	তন্তুবায়ের,	
mekapgulo,	মেকাপগুলো,	মেকআপগুলো,	
hights,	হাইটস,	হাইটস,	
madhobi,	মাধবী,	মাধবী,	
sthapanagulor,	স্থাপনাগুলোর,	স্থাপনাগুলোর,	
kodorer,	কদরের,	কদরের,	
bijito,	বিজিত,	বিজিত,	
pakistanira,	পাকিস্তানিরা,	পাকিস্তানীরা,	
bohorompurer,	বহরম্পুরের,	বহরমপুরের,	
mishal,	মিশাল,	মিশাল,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
morodeho,	মরদেহ,	মরদেহ,	
krush,	কুরুশ,	ক্রুশ,	
cholochchitro,	চলচ্চিত্র,	চলচ্চিত্র,	
karu,	কারু,	কারু,	
chowdhurir,	চৌধধুরির,	চৌধুরীর,	
bishwaashshke,	বিশ্বাসশকে,	বিশ্বাসকে,	
mayily,	মেয়ালি,	মাইলি,	
hondooras,	হন্ডৌরাস,	হন্ডুরাস,	
nek,	নেক,	নেক,	
hertj,	হের্ক,	হার্জ,	
pratisthanikvabe,	প্রতিস্থানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
abhijitda,	অভিজিতদা,	অভিজিতদা,	
somraat,	সম্রাত,	সম্রাট,	
korijachilen,	করিযালিলেন,	করিযাছিলেন,	
drissogoolote,	দৃষ্ণগুলোতে,	দৃশ্যগুলোতে,	
yathaarthabhaabe,	যথার্থভাবে,	যথার্থভাবে,	
graambasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
welaqama,	ওয়েকামা,	ওয়েলকাম,	
tongaa,	টোঙ্গা,	টোঙ্গা,	
birmuktijoddhagan,	বীর্মুক্তিদু্ধযগন,	বীরমুক্তিযোদ্ধাগণ,	
krishibigyani,	কৃষিবিজ্ঞানি,	কৃষিবিজ্ঞানী,	
kkhur,	খ্ষুর,	ক্ষুর,	
parq,	পার্ক,	পার্ক,	
obdi,	অবদি,	অব্দি,	
megh,	মেঘ,	মেঘ,	
qraima,	ক্রেমা,	ক্রাইম,	
vaider,	ভাইদের,	ভাইদের,	
gannaprakasham,	গন্নাপ্রকাষ,	গন্নাপ্রকাশম,	
choudhursoho,	চৌধুরসহ,	চৌধুরসহ,	
panchashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
pulivendla,	পুলিভেন্ডলা,	পুলিভেন্ডলা,	
juboke,	যুবকে,	যুবকে,	
backflipe,	ব্যাকফ্লাপে,	ব্যাকফ্লিপে,	
turbiner,	টারবিনের,	টারবাইনের,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
sponsorshipe,	স্পন্সরশীপে,	স্পন্সরশীপে,	
kaalki,	কালকি,	কালকি,	
biprodas,	বিপ্রদাস,	বিপ্রদাস,	
turkamena,	তুরককেনা,	তুর্কমেন,	
nirbahi,	নির্বাহি,	নির্বাহি,	
metropalitana,	মেট্রোপ্লেটন,	মেট্রোপলিটন,	
norpholk,	নরফোলক,	নরফোক,	
itastata,	ইতস্ততা,	ইতস্তত,	
karlei,	কারলেই,	করলেই,	
chopol,	চোপল,	চপল,	
jonosomaj,	জনসমাজ,	জনসমাজ,	
mitrata,	মিত্রটা,	মিত্রতা,	
boikolyo,	বৈকল্য,	বৈকল্য,	
proteemar,	প্রতিমার,	প্রতিমার,	
khudhartara,	ক্ষুধার্তর,	ক্ষুধার্তরা,	
chopal,	চোপাল,	চপল,	
huk,	হুক,	হুক,	
juboksoho,	যুবকসহ,	যুবকসহ,	
remakri,	রেমাক্রি,	রেমাক্রী,	
esoosiyetasa,	এসোটিয়েস,	এসোসিয়েটস,	
bhikkharthe,	ভিক্ষার্থে,	ভিক্ষার্থে,	
nederlande,	নেডারল্যান্ডে,	নেদারল্যান্ডে,	
kadapaker,	কাড়াপাকের,	কড়াপাকের,	
karmasampadon,	কর্মসম্পাদন,	কর্মসম্পাদন,	
shloker,	শ্লোকের,	শ্লোকের,	
kul,	কুল,	কুল,	
koordira,	কোর্ডিরা,	কুর্দিরা,	
shikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
breqathru,	ব্রেকথাররু,	ব্রেকথ্রু,	
selim,	সেলিম,	সেলিম,	
dharabahikotitey,	ধারাবাহিকতিতে,	ধারাবাহিকটিতে,	
moushum,	মৌুচুম,	মৌসুম,	
templet,	টেম্পলেট,	টেম্পলেট,	
larson,	লার্সন,	লারসন,	
sahab,	সাহাব,	সাহাব,	
parking,	পারকিং,	পার্কিং,	
tanshree,	তানশ্রী,	তানশ্রী,	
jothartho,	যথার্থ,	যথার্থ,	
prabhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
grambaashio,	গ্রামবাশীও,	গ্রামবাসীও,	
tinhazar,	তিনহাজার,	তিনহাজার,	
sobchey,	সবচে,	সবচে,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
siitei,	সিতেই,	শীতেই,	
nirmankarmisaha,	নির্মানকররীসহ,	নির্মাণকর্মীসহ,	
bayshorkarikarone,	বাইশররকরিকরণে,	বেসরকারিকরণ,	
hughkey,	হুগকে,	হিউজকে,	
durgatsober,	দুর্গাৎসবের,	দুর্গোৎসবে,	
elaakati,	এলাকাটি,	এলাকাটি,	
chandrima,	চাঁদ্রীমা,	চন্দ্রিমা,	
prasadhoni,	প্রসাধনী,	প্রসাধনী,	
nobotomo,	নবতম,	নবতম,	
deqe,	ডেকে,	ডেকে,	
hajeerhatt,	হাজেহাত্ত,	হাজিরহাট,	
shuri,	শুরী,	সুরি,	
jontrangshogulor,	যন্ত্রাঙ্গগুলোর,	যন্ত্রাংশগুলোর,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
aziboner,	আজিবনের,	আজীবনের,	
shikhra,	শিখরা,	শিখরা,	
liaodong,	লিয়াওডং,	লিয়াওদং,	
rayyaleti,	রায়য়লেটি,	রয়্যালটি,	
aieesha,	আইশস,	আইএএস,	
laishensh,	লেইশেনস,	লাইসেন্স,	
dhila,	ধীলা,	ঢিলা,	
engrezder,	এংগ্রেজদের,	ইংরেজদের,	
madhumati,	মধুমতি,	মধুমতী,	
jaruri,	জারুরী,	জরূরী,	
xpose,	কেসিপোএস,	এক্সপোজ,	
besooro,	বেসরও,	বেসুর,	
subader,	সুবাদের,	সুবাদে,	
inphormeshon,	ইনফর্মেশন,	ইনফরমেশন,	
bhenasha,	ভেনাশ,	ভেনাস,	
streegon,	স্ত্রীগণ,	স্ত্রীগণ,	
saras,	সারাস,	সরস,	
gloria,	গ্লোরিয়া,	গ্লোরিয়া,	
kathmandu,	কাঠমণ্ডু,	কাঠমান্ডু,	
addabaj,	আড্ডাবাজ,	আড্ডাবাজ,	
saranor,	সারানোর,	সরানোর,	
shtonehenge,	স্টোনহেন্জে,	স্টোনহেঞ্জ,	
shilbar,	শিলবার,	সিলভার,	
shangkalonti,	সংকলনটি,	সংকলনটি,	
zozyota,	যোজ্যতা,	যোজ্যতা,	
nothibhukto,	নথিভুক্ত,	নথিভুক্ত,	
nothivuktir,	নথিভুক্তির,	নথিভুক্তির,	
skolastik,	স্কোলাস্টিক,	স্কলাস্টিক,	
sollallhu,	সোল্লাল্ঘু,	সল্লাল্লাহু,	
kanasarabheeshana,	কননার্ভেশন,	কনসারভেশন,	
onker,	অঙ্কের,	ওঙ্কার,	
manabmaner,	মানবমনের,	মানবমনের,	
aamontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
elakatikay,	এলাকাটিকায়,	এলাকাটিকে,	
phormat,	ফররমেট,	ফরম্যাট,	
unitgulo,	ইউনিটগুলো,	ইউনিটগুলো,	
glanio,	গ্লানিও,	গ্লানিও,	
bosoben,	বসবেন,	বসবেন,	
ganoporibahon,	গণপরিবহণ,	গণপরিবহন,	
nirikh,	নিরিখ,	নিরিখ,	
akkharkey,	অক্ষরকে,	অক্ষরকে,	
janoganonar,	জনগণনার,	জনগণনার,	
ardasho,	আর্দাশো,	আর্দশ,	
gurmukh,	গুরমুখ,	গুরমুখ,	
chhadite,	ছাদিতে,	ছড়িতে,	
bojhaao,	বোঝাও,	বোঝাও,	
madhoboir,	মাধবইর,	মাধবীর,	
manushgulor,	মানুষগুলোর,	মানুষগুলোর,	
zerusalem,	জেরুসালেম,	জেরুসালেম,	
shtona,	স্তোনা,	স্টোন,	
deeares,	দ্য়ারেস,	ডিআরএস,	
hozot,	হজত,	হজত,	
panchasjan,	পঞ্চসজন,	পঞ্চাশজন,	
cloudbook,	ক্লাউববুক,	ক্লাউডবুক,	
alpa,	আলপা,	অল্প,	
bapio,	বাপিও,	বাপিও,	
chadake,	চাদাকে,	চড়াকে,	
palbongser,	প্যালবংসের,	পালবংশের,	
neker,	নেকের,	নেকের,	
notti,	নটটি,	নোটটি,	
gate,	গাতে,	গ্যেটে,	
militarite,	মিলিতারিতে,	মিলিটারিতে,	
spredshiit,	স্প্রেবিথিট,	স্প্রেডশীট,	
nirikhe,	নিরিখে,	নিরিখ,	
railliner,	রেলিনের,	রেললাইনের,	
jolrong,	জলরং,	জলরঙ,	
dhanijomite,	ধনিযমতিতে,	ধানিজমিতে,	
magrey,	ম্যাগ্রে,	ম্যাগ্রে,	
obhaarbhiu,	ওভারভিউ,	ওভারভিউ,	
torunderke,	তরুণদেরকে,	তরুণদেরকে,	
kayech,	কায়েছ,	কায়েছ,	
jotota,	যতোতা,	যতোটা,	
dibet,	দিবেত,	ডিবেট,	
pnouchute,	প্রযুতে,	পৌঁছুতে,	
charger,	চার্জের,	চার্জার,	
poscater,	পোস্কেটের,	পশ্চাতের,	
mahafezkhanar,	মহাফেজনানার,	মহাফেজখানার,	
oedipus,	ওদিপাস,	ইডিপাস,	
carlosh,	কার্লোশ,	কার্লোস,	
tyap,	ট্যাপ,	ট্যাপ,	
planea,	প্ল্যান,	প্লেনে,	
baugey,	বাউগে,	বাগে,	
bharotiyotar,	ভারতীয়তার,	ভারতীয়তার,	
chilahatee,	চিলাহাটি,	চিলাহাটি,	
plaiin,	প্লেইন,	প্লেন,	
markeetim,	মার্কিটিম,	মার্কেটিং,	
bishhnu,	বিষ্ণু,	বিষ্ণু,	
rahi,	রাহি,	রাহী,	
batikromshalee,	বাতিক্রমশশীল,	ব্যতিক্রমধর্মী,	
hugeke,	হুগেকে,	হিউজকে,	
subade,	সুবাদে,	সুবাদে,	
kanader,	কানাদের,	কণাদের,	
porjotoker,	পর্যটকের,	পর্যটকের,	
godabari,	গোদাবারী,	গোদাবরী,	
mardud,	মার্দুদ,	মরদুদ,	
vushi,	ভুশি,	ভুষি,	
chiroharit,	চিরোহারিত,	চিরহরিৎ,	
dharmantor,	ধর্মান্তর,	ধর্মান্তর,	
omkar,	ওমকার,	ওঙ্কার,	
mimgulor,	মিমগুলোর,	মিমগুলোর,	
vool,	ভুল,	উল,	
gronthao,	গ্রন্থাও,	গ্রন্থও,	
nagorikderkey,	নাগরিকদেরকে,	নাগরিকদেরকে,	
myari,	ম্যারি,	ম্যারি,	
armeenian,	আর্মিনিয়ান,	আর্মেনিয়ান,	
patigoniter,	পাটিগণীতের,	পাটিগণিতের,	
chalochchitrogulor,	চালচ্ছিত্রগুলোর,	চলচ্চিত্রগুলোর,	
jamjomat,	জমজমতম,	জমজমাট,	
pachattar,	পাচাত্তর,	পাচাত্তার,	
minishtarer,	মিনিশতারের,	মিনিস্টারের,	
soori,	ওুরি,	সুরি,	
tennys,	টেনিস,	টেনিস,	
raunanganey,	রওনঙ্গনে,	রণাঙ্গনে,	
tanu,	টানু,	তনু,	
aosafur,	আওসাফুর,	আওশাফুর,	
rockibul,	রোকিবুল,	রকিবুল,	
dakshinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
konorup,	কোনোরূপ,	কোনরূপ,	
siropa,	সিরোপা,	শিরোপা,	
fastara,	ফাস্তার,	ফস্টার,	
sima,	সিম,	সীমা,	
balabhadra,	বলভা্র,	বলভদ্র,	
juktarashtrasaha,	যুক্তরর্ত্রসহ,	যুক্তরাষ্ট্রসহ,	
bangalore,	বাঙ্গালোরে,	ব্যাঙ্গালুরে,	
brixfield,	ব্রিক্সফিল্ড,	ব্রিক্সফিল্ড,	
charban,	চারবান,	চর্বন,	
hul,	হোল,	হুল,	
bhabotarini,	ভবতারিণী,	ভবতারিণী,	
paramartha,	পরমার্থ,	পরমার্থ,	
barbadoj,	বারবাদজ,	বার্বাডোজ,	
sanaktokaron,	সনসক্তকরণ,	সনাক্তকরণ,	
noditei,	নদীতেই,	নদীতেই,	
stona,	স্তোনা,	স্টোন,	
nirgaman,	নির্গমন,	নির্গমন,	
artherer,	আর্থারের,	আর্থারের,	
songkolonti,	সংকলনটি,	সংকলনটি,	
chandanara,	চন্দনারা,	চন্দনারা,	
fanding,	ফ্যান্ডিং,	ফান্ডিং,	
kajangale,	কাজাঙ্গলে,	কজঙ্গলে,	
donat,	দোনাত,	ডোনাট,	
onurbar,	অনুরবার,	অনুর্বর,	
teenej,	তেনেজ,	টিনেজ,	
kaatbey,	কাটবে,	কাটবে,	
sanstha,	সংস্থা,	সংস্থা,	
vange,	ভ্যাঙ্গে,	ভাঙ্গে,	
biphal,	বিফাল,	বিফল,	
asaciates,	অ্যাস্যালিটিস,	এসোসিয়েটস,	
rinobodh,	ঋণবোধ,	ঋণবোধ,	
byabaharkariderke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
