windows,	উইন্ডোাস,	উইন্ডোস,	
durlabhatwang,	দূর্যাত্্ং,	দুর্লভত্বং,	
jonomukhi,	জনমুখী,	জনমুখী,	
ajijer,	আজিজের,	আজিজের,	
kiandi,	কিয়ান্দি,	ক্যান্ডি,	
pathkrom,	পাঠক্রম,	পাঠক্রম,	
jatinkey,	জাতিনকে,	যতীনকে,	
nanir,	নানির,	নানীর,	
shasonamoleri,	শাসনামলেরই,	শাসনামলেরই,	
dakter,	ডাক্তের,	ডাকতের,	
bolvodro,	বলভোর্ড,	বলভদ্র,	
tolemyr,	টলামির,	টলেমির,	
samle,	সামলে,	সামলে,	
mythological,	মাইথোজজিক্যাল,	মাইথলজিকাল,	
ekbai,	একবাই,	একবাই,	
monroe,	মনোর,	মনেরোর,	
vandar,	ভান্ডার,	ভাণ্ডার,	
tigmanshu,	তিগমানশু,	তিগ্মাংশু,	
chetanagoto,	চেতানগত,	চেতনাগত,	
zerusalemer,	জেরুসালেমের,	জেরুজালেমের,	
narishwar,	নারীশ্বর,	নারীশ্বরের,	
wodka,	ওয়াডকা,	ভদকা,	
malinga,	মালিঙ্গা,	মালিংগা,	
uparjon,	উপারজন,	উপার্জন,	
kalkarkhana,	কলকর্খনা,	কলকারখানা,	
teentir,	টেনটির,	তিনটির,	
habathu,	হাবাথু,	হাবাথু,	
sulfatee,	সুলফাতে,	সালফেট,	
basaake,	বাসাকে,	বাসাকে,	
nirgamon,	নির্গামন,	নির্গমন,	
souripurang,	সৌরীপূর্ণ,	সৌরিপুরং,	
monzeele,	মনজেলি,	মঞ্জিলে,	
fevarite,	ফেভারিতে,	ফেভারিট,	
bosantake,	বসন্তাকে,	বসন্তকে,	
bosontoke,	বসন্তকে,	বসন্তকে,	
gananatyo,	গণনাত্য,	গণনাট্য,	
shakara,	শাকারা,	সাকার,	
bim,	বিম,	বিম,	
kanasarabheeshana,	কনারারীভাণ,	কনসারভেশন,	
juddhahato,	যুদ্ধাহাত,	যুদ্ধাহত,	
beshirbhaagei,	বেশীরভাগেই,	বেশিরভাগেই,	
heelser,	হিলসের,	হিলসের,	
punosthaner,	পুনস্থানের,	পুনঃস্থানের,	
hariner,	হরিণের,	হরিণের,	
jaandrel,	যা্্দ্রেল,	জাঁদরেল,	
ostad,	ওস্তাদ,	ওস্তাদ,	
elakaatite,	এলাকাতিতে,	এলাকাটিকে,	
poddhotitei,	পদ্ধতিতেই,	পদ্ধতিতেই,	
chetanagato,	চেতনাগত,	চেতনাগত,	
gujab,	গুজাব,	গুজব,	
lyaandeeng,	ল্যাডিং,	ল্যান্ডিং,	
highcomissione,	হাইকমোপিনেন,	হাইকমিশনে,	
eesosiyeetasa,	ইসসিয়েসা,	এসোসিয়েটস,	
salmanul,	সালমানুল,	সালমানুল,	
sharoker,	শররকের,	স্মারকের,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
prasadhoni,	প্রসাধনী,	প্রসাধনী,	
gandharir,	গান্ধারীর,	গান্ধারীর,	
kazianis,	কাজিয়ানিস,	কাজানিস,	
kaale,	কালে,	কালে,	
kormoke,	কর্মকে,	কর্মকে,	
madaspushto,	মাদসপুষ্ট,	মদদপুষ্ট,	
korimkey,	করিমকে,	করিমকে,	
poscater,	পস্কাটের,	পশ্চাতের,	
amontronkarider,	অমন্ত্রণকারীদের,	আমন্ত্রণকারীদের,	
lebina,	লেবিনা,	লেবিনা,	
pooshteer,	পুষ্টির,	পুষ্টির,	
bojhao,	বোঝাও,	বোঝাও,	
habol,	হাবল,	হাবোল,	
soteciety,	সোটেসিটি,	সোসাইটিতে,	
pleta,	প্লেটা,	প্লেটো,	
mukhomandal,	মুখমননাল,	মুখমণ্ডল,	
bone,	বনে,	বনে,	
dushtogone,	দুষ্টগণে,	দুষ্টগণে,	
doorotaumo,	দূরোতুমো,	দূরতম,	
hughes,	হুঘেস,	হিউজেস,	
korijachilen,	করিযাছিলেন,	করিযাছিলেন,	
neermol,	নির্মোল,	নির্মল,	
gronthoti,	গ্রন্থতি,	গ্রন্থটি,	
niharkantibabu,	নীহারকান্তবাবু,	নিহারকান্তিবাবু,	
kortam,	কর্তাম,	করতাম,	
bongshokey,	বংশকে,	বংশকে,	
informetion,	ইনফরমেশন,	ইনফরমেশন,	
notti,	নটি,	নোটটি,	
deool,	দেওল,	দেউল,	
hock,	হক্ক,	হুক,	
magical,	ম্যাগিকাল,	ম্যাজিকাল,	
bharatey,	ভারতে,	ভারতে,	
doltyagi,	দলত্যাগী,	দলত্যাগী,	
tookrokey,	টুকরকে,	টুকরোকে,	
prangulo,	প্রাণগুলো,	প্রানগুলো,	
raagei,	রাগেই,	রাগেই,	
jetam,	জেতাম,	যেতাম,	
fostar,	ফোস্টার,	ফস্টার,	
aatto,	আতিতিও,	আত্ম,	
abdan,	আবদান,	আব্দান,	
sobrakomer,	সব্রাকমের,	সবরকমের,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
jansa,	জানসা,	জন্স,	
tomader,	তোমাদের,	তোমাদের,	
bondishalatei,	বন্দীশালাতেই,	বন্দিশালাতেই,	
danaqana,	দানাকানা,	ডানকান,	
bandhano,	বাঁধানো,	বাঁধানো,	
aamor,	আমোর,	আমর,	
starker,	স্টারককের,	স্টার্কের,	
dupleks,	ডাপলেক্স,	ডুপ্লে,	
breq,	ব্রেক,	ব্রেক,	
zibonnogor,	জীবন্যগর,	জীবননগর,	
ala,	আলা,	আলা,	
setikey,	সেতিকে,	সেটিকে,	
rayyaleti,	রায়য়লীতে,	রয়্যালটি,	
bornolikhon,	বর্ণলিখন,	বর্ণলিখন,	
eporjonto,	এপর্নত্ব,	এপর্যন্ত,	
aajeej,	আজিজ,	আজিজ,	
aakaabaar,	আকাবার,	আকাবার,	
brookoleen,	ব্রুকলিন,	ব্রুকলিন,	
aviyojan,	অভিযোজন,	অভিযোজন,	
apad,	আপাদ,	আপদ,	
hosto,	হস্ত,	হস্ত,	
lavta,	লাভটা,	লাভটা,	
irana,	ইরানা,	ইরান,	
tasminer,	তাসমিনের,	তাসমিনের,	
haitasha,	হাইতাশা,	হাইটস,	
smarak,	স্মারক,	স্মারক,	
vromonkaley,	ভ্রমণকালে,	ভ্রমণকালে,	
ekla,	একলা,	একলা,	
manushera,	মননুষেরা,	মানুষেরা,	
manushe,	মানুষে,	মানুষে,	
shekender,	সেকেন্ডের,	সেকেন্ডের,	
oncoleo,	অঙ্কোল,	অঞ্চলেও,	
sangosrobomukto,	সংস্রবমমুক্ত,	সংস্রবমুক্ত,	
oswastikor,	অস্বাসটিকর,	অস্বস্তিকর,	
conflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
omanisa,	ওমানিসা,	অমানিশা,	
graambaaseeo,	গ্রামবাসেও,	গ্রামবাসীও,	
furio,	ফুরিও,	ফুরিও,	
mmadhuri,	ম্মাধুরি,	মাধুরী,	
tatey,	তাতে,	তাতে,	
nili,	নীলি,	নিলি,	
firti,	ফিরটি,	ফিরতি,	
taatey,	তাতে,	তাতে,	
thaanobhi,	থানোভি,	থানভী,	
jakso,	জাকসো,	যক্ষ,	
rajtantro,	রাজতন্ত্র,	রাজতন্ত্র,	
shchalastik,	স্কালাস্তিক,	স্কলাস্টিক,	
megacaldera,	মেগাকাল্ডারা,	মেগাক্যাল্ডেরা,	
ekghare,	একঘরে,	একঘরে,	
abhidhaaner,	অভিধানের,	অভিধানের,	
direectoratee,	ডিরিক্রটিতে,	ডিরেক্টরেট,	
madhumati,	মধুমতি,	মধুমতী,	
thailand,	থাইল্যান্ড,	থাইল্যান্ড,	
sealvi,	সিল্ভি,	সিলভি,	
chinito,	চিনিতো,	চিনতো,	
bajpa,	বজপা,	বাজপা,	
milton,	মিল্টন,	মিলটন,	
votar,	ভোটার,	ভোটার,	
suchanakal,	সুচনাকাল,	সূচনাকাল,	
barack,	বারাক,	বারাক,	
shuchonakal,	শুচোনকাল,	সূচনাকাল,	
artilary,	আর্টিলারি,	আর্টিলারি,	
shunani,	শুনানি,	শুনানী,	
raghubar,	রঘুবার,	রঘুবীর,	
ghumunoi,	ঘুমুনোই,	ঘুমুনোই,	
sayatana,	সায়তানা,	শয়তান,	
jeher,	জেহের,	জেহের,	
akpaase,	আক্পাসে,	একপাশে,	
armeenian,	আর্মিনিয়ান,	আর্মেনিয়ান,	
hizrite,	হিজরিতে,	হিজরীতে,	
machhti,	মাছটি,	মাছটি,	
kharavel,	খরাভেল,	খারবেল,	
postar,	পোস্তার,	পোস্টের,	
suparichito,	সুপারিচিত,	সুপরিচিত,	
ingreziteo,	ইংরেজিতেও,	ইংরেজিতেও,	
patininda,	পতিনিন্দ,	পতিনিন্দ,	
koomarir,	কুমারীর,	কুমারীর,	
kathla,	কাঠলা,	কাঠলা,	
eura,	ইউরা,	ইউরো,	
welaqama,	ওয়েকামা,	ওয়েলকাম,	
gaandaas,	গা্ডাস,	জ্ঞানদাস,	
meloonborrone,	মেলুবনরররেণ,	মেলবোর্নে,	
karmokarke,	কর্মকারকে,	কর্মকারকে,	
nazranar,	নাজরানার,	নাজরানার,	
rokibul,	রকিবুল,	রকিবুল,	
cooda,	কোডা,	কোডা,	
doobate,	দুবাতে,	ডুবাতে,	
siddhantoke,	সিদ্ধান্তকে,	সিদ্ধান্তকে,	
booroon,	বুরুন,	বোরন,	
rubala,	রুবালা,	রুবল,	
brekethru,	ব্রেকেথরু,	ব্রেকথ্রু,	
karmoi,	কারমোই,	কর্মই,	
songkoloney,	সংকলনে,	সংকলনে,	
kayed,	কায়েদ,	কায়েদ,	
chadake,	চড়াকে,	চড়াকে,	
tirmijii,	তিরমিজি,	তিরমিজি,	
upobaashee,	উপবাশী,	উপবাসী,	
protectionism,	প্রটেক্টিনিজম,	প্রোটেকশনিজম,	
bhebechili,	ভেবেছিলি,	ভেবেছিলি,	
niutrino,	নিউট্রিনো,	নিউট্রিনো,	
prithibir,	পৃথিবীর,	পৃথবীর,	
welcome,	ওয়েলকোম,	ওয়েলকাম,	
toufiq,	টাফিক,	তৌফিক,	
bhaibon,	ভাইবন,	ভাইবোন,	
somraatder,	সম্রাটদের,	সম্রাটদের,	
pravritir,	প্রবৃতির,	প্রভৃতির,	
noteti,	নটেটি,	নোটটি,	
sahachke,	সাহাককে,	সাহাচকে,	
soolke,	সুলকে,	শুল্কে,	
suiti,	সুইটি,	সুইটি,	
rupantarer,	রুপান্তরের,	রুপান্তরের,	
rohasyer,	রহস্যের,	রহস্যের,	
kodorer,	কদরের,	কদরের,	
serveray,	সার্ভেরেয়া,	সার্ভারে,	
abanishankar,	অবনীশঙ্কর,	অবনিশংকর,	
bohoodin,	বহিদ,	বহুদিন,	
vabnakey,	ভাবনাকে,	ভাবনাকে,	
bolbo,	বলবো,	বলবো,	
laesensh,	লাইসেন্স,	লাইসেন্স,	
ispredsiit,	ইসপ্রেডবিট,	স্প্রেডশীট,	
flexta,	ফ্লেক্সটা,	ফ্লেক্সটা,	
santaa,	সান্তাও,	সান্তা,	
wedanta,	ওয়েডান্টা,	বেদান্ত,	
zeebonto,	জীবন্ত,	জীবন্ত,	
billaho,	বিল্লাহ,	বিল্লাহ,	
sontoshpur,	সন্তোষপুর,	সন্তোষপুর,	
saqara,	সাকারা,	সাকার,	
jhalkanite,	ঝলকানিতে,	ঝলকানীতে,	
digri,	ডিগ্রি,	ডিগ্রি,	
ghotaibe,	ঘটাইবে,	ঘটাইবে,	
dhangsantup,	ধ্বংসা্তুপ,	ধ্বংসন্তুপ,	
stanahenja,	স্তনহেন্যা,	স্টোনহেঞ্জ,	
veenish,	ভিনিশ,	ভেনিস,	
sardar,	সরদদার,	সরদার,	
jhumjhumita,	ঝুমঝুমিতা,	ঝুমঝুমিটা,	
roopmatro,	রুপমাত্র,	রূপমাত্র,	
nothivukta,	নথিভুক্ত,	নথিভুক্ত,	
ganakantha,	গণকন্ঠ,	গণকণ্ঠ,	
dakteekiter,	ডাক্তিকীতের,	ডাকটিকিটের,	
dweepgoolotey,	দ্বীপগুলিতে,	দ্বীপগুলোতে,	
arashie,	আরাশিয়ে,	আরসিএ,	
rajyabhogi,	রাজ্যভোগী,	রাজ্যভোগী,	
thabai,	থাবাই,	থাবাই,	
felto,	ফেল্টো,	ফেলত,	
ateetkale,	অতীতকালে,	অতীতকালে,	
taigara,	টাইগার,	টাইগার,	
ganochien,	গণছিয়েন,	গণচীন,	
mulyayonsapekkhe,	মূল্যায়সপক্ষেকে,	মূল্যায়নসাপেক্ষে,	
qrisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
trabuco,	ট্র্যাবুকো,	ট্র্যাবুকো,	
shikshagato,	শিক্ষাগত,	শিক্ষাগত,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
xpose,	ক্যাপ্সো,	এক্সপোজ,	
chirontan,	চিরন্তান,	চিরন্তন,	
encidablu,	এনসিডাবলু,	এনসিডাব্লু,	
chakradhare,	চক্রধরে,	চক্রধরে,	
shariba,	শরিবা,	শরিবা,	
aditisaha,	আদিতিসহ,	অদিতিসহ,	
militarite,	মিলিটারিতে,	মিলিটারিতে,	
aabarte,	আবার্তে,	আবর্তে,	
byomkes,	ব্যম্কেস,	ব্যোমকেশ,	
assaciates,	অ্যাসিয়েটেস,	এসোসিয়েটস,	
tawnship,	টানশীপ,	টাউনশিপ,	
sangasthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
ramonar,	রামনার,	রমনার,	
mitrer,	মিত্রের,	মিত্রের,	
ghoor,	ঘুর,	ঘুর,	
kode,	কোড়ে,	কোড,	
somraatra,	সম্রাত্র,	সম্রাটরা,	
uthaney,	উঠনেই,	উঠানে,	
purborekorde,	পূর্বরেকর্ডে,	পূর্বরেকর্ডে,	
bonke,	বনকে,	বনকে,	
venkates,	ভেন্কটেস,	ভেঙ্কটেশ,	
dharavahikbhabe,	ধারাবাচিভাবে,	ধারাবাহিকভাবে,	
philo,	ফিল,	ফিলো,	
saom,	সেয়,	সাওম,	
ghotol,	ঘটল,	ঘটল,	
bayii,	বাইই,	বাঈ,	
qaferderkey,	কাফারদেরকে,	কাফেরদেরকে,	
balatarin,	বালাতারিন,	বালাতারিয়ান,	
parikha,	পরিখা,	পরিখার,	
byabosthar,	ব্যবস্থার,	ব্যবস্থার,	
bhittiti,	ভিত্তিটি,	ভিত্তিটি,	
swostir,	স্বস্তির,	স্বস্তির,	
tarunra,	তরুণরা,	তরুণরা,	
orhan,	ওরহান,	ওরহান,	
sorsa,	সররাসা,	সোর্স,	
review,	রিভিয়া,	রিভিউও,	
khamotagulor,	ক্ষমতাগুলোর,	ক্ষমতাগুলোর,	
bibechyo,	বিবেচ্য,	বিবেচ্য,	
banshite,	বাঁশিতে,	বাঁশিতে,	
tyapa,	ট্যাপ,	ট্যাপ,	
sombhobonao,	সম্ভবনাও,	সম্ভবনাও,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
boikolyo,	বৈকল্য,	বৈকল্য,	
aansareer,	আঁসারীর,	আনসারীর,	
bejiye,	বেজিয়ে,	বেজিয়ে,	
nariderke,	নারীদেরকে,	নারিদেরকে,	
deenesh,	দেনেশ,	দীনেশ,	
thailandsaho,	থাইলান্ডাসহ,	থাইল্যান্ডসহ,	
ddebet,	দিবেত,	ডিবেট,	
morodeho,	মরদেহ,	মরদেহ,	
gronthao,	গ্রন্থাও,	গ্রন্থও,	
qara,	কারা,	কর,	
magrey,	ম্যাগ্রে,	ম্যাগ্রে,	
venush,	ভেনুশ,	ভেনাস,	
feemalee,	ফিমালি,	ফিমেল,	
jothartho,	যথার্থ,	যথার্থ,	
shasankarta,	শাসনকর্তা,	শাসনকর্তা,	
degreeo,	ডিগ্রিও,	ডিগ্রিও,	
poribahokotto,	পরিবাহকত্ত,	পরিবাহকত্ব,	
edaningkale,	এদাননকালে,	ইদানীংকালে,	
neshnosh,	নেশনোশ,	নেশনস,	
guzon,	গুজন,	গুজব,	
nirdesika,	নির্দেশিকা,	নির্দেশিকা,	
bhutbhut,	ভূতভুত,	ভুটভুট,	
aizulke,	আইজুলকে,	আইজুলকে,	
talaal,	তালাল,	তালাল,	
daacktickete,	ড্যাক্টিককেটে,	ডাকটিকিটে,	
akar,	আকার,	একার,	
krusher,	ক্রুশের,	ক্রুশের,	
ghamtaa,	ঘামটা,	ঘোমটা,	
mesenjjar,	মেসেনজাজার,	মেসেঞ্জার,	
prokolpogulikei,	প্রকল্পগুলিকেই,	প্রকল্পগুলিকেই,	
boiporiityen,	বৈপরিত্যেন,	বৈপরীত্যেন,	
makhno,	মাখনো,	মাখনো,	
hurricane,	হ্রিরিকেন,	হ্যারিকেন,	
debdebyr,	দেবদেবীর,	দেবদেবীর,	
saarbhaarti,	সরর্বতী,	সার্ভারটি,	
sommotite,	সম্মতিতে,	সম্মতিতে,	
diniphition,	ডিনিফিটন,	ডেফিনেশন,	
gostigulo,	গোস্টিগুলো,	গোষ্ঠীগুলো,	
nirmankarmisaha,	নির্মাণখারামী,	নির্মাণকর্মীসহ,	
vesselli,	ভেসেলি,	ভেসেলি,	
nojder,	নজদের,	নজদের,	
bhandti,	ভাণ্ডটি,	ভাণ্ডটি,	
sorano,	সোরানো,	সরানো,	
saamaanya,	সমা্য,	সামান্য,	
onchalti,	অনচালটি,	অঞ্চলটি,	
francine,	ফ্রান্সিন,	ফ্রান্সিন,	
folleni,	ফলেনি,	ফলেনি,	
chhotogolper,	ছোটগল্পের,	ছোটগল্পের,	
jokkher,	যক্ষের,	যক্ষের,	
licencedhari,	লাইসেন্সভারী,	লাইসেন্সধারী,	
kada,	কাদা,	কোডা,	
breel,	ব্রিল,	ব্রিল,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
saifullahil,	সৈফুল্লাহিল,	সাইফুল্লাহিল,	
terlarang,	টেরলারং,	তেরলারং,	
bonbhumi,	বনভুমি,	বনভূমি,	
gandhikey,	গান্ধিকে,	গান্ধীকে,	
bbiswashi,	ব্বিবশাসী,	বিশ্বাসই,	
prapokkey,	প্রপাক্যে,	প্রাপককে,	
enamela,	এনামেলা,	এনামেল,	
mataram,	মাতারাম,	মাতরম,	
rachanakal,	রচনাকাল,	রচনাকাল,	
debete,	দেবেতে,	ডিবেট,	
aanaan,	আআনান,	আনান,	
bhabaponno,	ভবপান্য,	ভাবাপন্ন,	
zesa,	জিসা,	জেস,	
sushposhtolikhito,	সুষ্পষ্টিিলিত,	সুষ্পষ্টলিখিত,	
ixprission,	এক্সপ্রিশন,	এক্সপ্রেশন,	
sthapona,	স্থাপনা,	স্থাপনা,	
hafsa,	হাফসা,	হাফসা,	
seebiai,	সিবিয়াই,	সিবিআই,	
raiialati,	রাইওয়ালাটি,	রয়্যালটি,	
grambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
shommotite,	সম্মতিতে,	সম্মতিতে,	
suparichiti,	সুপারিচিতি,	সুপরিচিতি,	
cuti,	কুটি,	কিউটি,	
teestar,	টিস্টার,	তিস্তার,	
tateo,	তাতেও,	তাতেও,	
sanghitar,	সংহিতার,	সংহিতার,	
maunchostho,	মঞঁচস্থ,	মঞ্চস্থ,	
choudhursoho,	চৌধুরসহ,	চৌধুরসহ,	
site,	সিট,	সিটে,	
lagchhe,	লাঘছে,	লাগছে,	
lutharan,	লুথারন,	লুথেরান,	
lendal,	লেন্ডাল,	লেন্ডল,	
serup,	সেরুপ,	সেরূপ,	
sahojlovyotar,	সহজলভোযতার,	সহজলভ্যতার,	
suraropito,	সুরারপিত,	সুরারোপিত,	
rata,	রট,	রত,	
uchchotara,	উচ্চতারা,	উচ্চতর,	
bhenom,	ভেনম,	ভেনম,	
utkhaat,	উৎকাাত,	উত্খাত,	
pushtee,	পুষ্টি,	পুষ্টি,	
digrir,	ডিগ্রির,	ডিগ্রির,	
sangharshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
dephinishion,	ডেফিশনশন,	ডেফিনেশন,	
gazeetteed,	গেজিটিটেড,	গেজেটেড,	
soceitytey,	সোকেটটাইজ,	সোসাইটিতে,	
byke,	বিইইকে,	বাইক,	
guha,	গুহা,	গোহ,	
parther,	পার্থের,	পার্থের,	
koro,	করো,	করো,	
musalmanderke,	মুসলমানদেরকে,	মুসলমানদেরকে,	
distibutor,	ডিস্তিবুতর,	ডিস্টিবিউটারের,	
kaathhaamaandu,	কাঠমান্ডু,	কাঠমান্ডু,	
parinati,	পরিণাটি,	পরিণতি,	
chhatrodiger,	ছাত্রদীগের,	ছাত্রদিগের,	
ramnathbabur,	রামনাথবাবুর,	রামনাথবাবুর,	
dhamshrenite,	ধামশ্রেণীতে,	ধামশ্রেণীতে,	
kaleo,	কালেও,	কালেও,	
orunima,	অরুণিমা,	অরুণিমা,	
rajbondir,	রাজবন্দির,	রাজবন্দীর,	
grontho,	গ্রন্থ,	গ্রন্থ,	
nilkuthir,	নীলকুঠির,	নীলকুঠির,	
dhanche,	ধানছে,	ধাঁচে,	
dijijer,	দিজিজের,	ডিজিজের,	
minister,	মিনিস্টের,	মিনিস্টার,	
gandhiio,	গান্ধিয়,	গান্ধীও,	
khuizza,	খুইজ্জা,	খুইজ্জা,	
sector,	সেক্টর,	সেক্টর,	
khanonkaj,	খননকাজ,	খননকাজ,	
mukhamandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
abdi,	আবদি,	অব্দি,	
bodhirota,	বোধিরতা,	বধিরতা,	
roktokhoron,	রক্তচরণ,	রক্তক্ষরণের,	
boudher,	বৌধের,	বৌদ্ধের,	
aflatoxin,	আফলাটেক্সিন,	আ্যফ্ল্যাটক্সিন,	
oedipus,	ওডিপাস,	ইডিপাস,	
jontrototto,	যন্ত্রতত্ত্ব,	যন্ত্রতত্ত্ব,	
palbongsher,	পালবংশের,	পালবংশের,	
artherer,	আর্থেরের,	আর্থারের,	
spancer,	স্প্যান্সের,	স্পেন্সার,	
ashonkai,	আশঙ্কাই,	আশঙ্কাই,	
arsie,	আরসসি,	আরসিএ,	
siramikasa,	সিরামিকাসা,	সিরামিকস,	
tottorat,	তত্ত্রাত,	তওরাত,	
shudden,	শুদ্দেন,	সাডেন,	
chhuteete,	ছুটিতে,	ছুটিতে,	
ahalya,	অহল্যা,	অহল্যা,	
avetar,	আভেতার,	অবতার,	
bohudeen,	বহুদীন,	বহুদিন,	
mausumeo,	মৌসুমেও,	মৌসুমেও,	
noditir,	নদীটির,	নদীটির,	
saifai,	সাইফাই,	সাইফাই,	
bhadaka,	ভাদাকা,	ভদকা,	
shattoki,	সাত্যকী,	সাত্যকি,	
haris,	হারিস,	হ্যারিস,	
qonflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
shoodhooi,	সুধুই,	শুধুই,	
raunanganey,	রৌনাঙ্গনে,	রণাঙ্গনে,	
chouhate,	চৌহাতে,	চৌহাটে,	
harasta,	হারাস্তা,	হারাস্তা,	
monir,	মনির,	মনির,	
afrazuler,	আফরাজুলের,	আফরাজুলের,	
karim,	কারিম,	করিম,	
nakkal,	নাককল,	নক্কল,	
ghoshanapatratio,	ঘোষণাপত্রটিও,	ঘোষণাপত্রটিও,	
shikshagata,	শিক্ষাতা,	শিক্ষাগত,	
chalachchitroke,	চালচ্চিত্রকে,	চলচ্চিত্রকে,	
panthar,	পানথথার,	পন্থার,	
mugdal,	মুগদাল,	মুগডাল,	
armori,	আরমোরি,	আরমোরি,	
jotharthovabey,	যথার্থভাবে,	যথার্থভাবে,	
societytey,	সোশিটেই,	সোসাইটিতে,	
standards,	স্ট্যাণ্ডার্ডসহ,	স্টান্ডার্ডস,	
kaferder,	কাফেরদের,	কাফেরদের,	
oitijjo,	ঐতিহ্য,	ঐতিহ্য,	
ernad,	এরনাদ,	এরনাড,	
silabhara,	সিলাভরা,	সিলভার,	
hijri,	হিজরি,	হিজরী,	
churger,	চার্গের,	চার্জের,	
temone,	টেমনে,	তেমনই,	
darji,	দার্জি,	দরজি,	
prokolpoti,	প্রকল্পটি,	প্রকল্পটি,	
jaanachhe,	যানাছ্ছে,	জানাচ্ছে,	
caroline,	ক্যারোলিন,	ক্যরোলিন,	
parka,	পারকা,	পার্ক,	
dhonni,	ধন্নি,	ধন্যি,	
riphleksa,	রিফলেকস,	রিফ্লেক্স,	
nothibhukto,	নথিভুক্ত,	নথিভুক্ত,	
peerry,	পিরি,	পেরি,	
torabganj,	তরাববাঞ্জ,	তোরাবগঞ্জ,	
sawam,	সাওয়াম,	সাওম,	
ched,	চেদ,	ছেদ,	
prashikkhane,	প্রাশিক্ষণে,	প্রশিক্ষণে,	
megh,	মেঘ,	মেঘ,	
nosihote,	নসিহতে,	নসিহতে,	
ghotleyo,	ঘটললেও,	ঘটলেও,	
conservetion,	কনজারভেশন,	কনসারভেশন,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
sabrakamer,	সবরাকমের,	সবরকমের,	
gronthowo,	গ্রন্থও,	গ্রন্থও,	
bolatkar,	বলাটকর,	বলাৎকার,	
amanisa,	আমানিসা,	অমানিশা,	
meropenemer,	মেরোপেনামের,	মেরোপেনেমের,	
danab,	দানাব,	দানব,	
foxer,	ফক্সের,	ফক্সের,	
