towraat,	তোরাট,	তওরাত,	
chhaikalo,	ছাইকালো,	ছাইকালো,	
bike,	বিকে,	বাইক,	
graminphonor,	গ্রামিংপনর,	গ্রামীণফোনর,	
damakalkarmirao,	দমকলকর্মীরাও,	দমকলকর্মীরাও,	
poripaker,	পরিপাকের,	পরিপাকের,	
jwar,	জ্বর,	জ্বর,	
olympicer,	অলিম্পিসের,	অলিম্পিকের,	
qonflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
gamdan,	গামদান,	গামদান,	
nagorikderkey,	নাগরিকদদরকে,	নাগরিকদেরকে,	
teemothy,	টিমোটি,	টিমোথি,	
firti,	ফিরটি,	ফিরতি,	
salmanul,	সালমানুল,	সালমানুল,	
orthobochorke,	অর্থবচরকে,	অর্থবছরকে,	
pachattar,	পাচতটার,	পাচাত্তার,	
ingreziteo,	ইনরেজিতেও,	ইংরেজিতেও,	
playtey,	প্লিটে,	প্লেটে,	
uchchotara,	উচ্চতারা,	উচ্চতর,	
soteciety,	সটিকিটি,	সোসাইটিতে,	
shajano,	শাজানো,	সাজানো,	
khali,	খালি,	খালি,	
thailandshoho,	থাইলান্দসহ,	থাইল্যান্ডসহ,	
agomonke,	আগমনকে,	আগমনকে,	
tahalo,	তাহালো,	তাহলো,	
timathi,	তিমাথি,	টিমোথি,	
dibi,	দিবি,	দিবি,	
meghachchanno,	মেঘাচ্ছন্ন,	মেঘাচ্ছন্ন,	
khanonkaj,	খননকাজ,	খননকাজ,	
abadamoner,	আবদমননের,	অবদমনের,	
anchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
bhittiti,	ভিত্তিটি,	ভিত্তিটি,	
stanahenja,	স্তনাহঞঞ্জ,	স্টোনহেঞ্জ,	
brekthrough,	ব্রক্রুর্গ,	ব্রেকথ্রু,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
akpashe,	আকপাশে,	একপাশে,	
narsaari,	নরসারী,	নার্সারি,	
karpeter,	কারপেটের,	কার্পেটের,	
hitlere,	হিটলারে,	হিটলারে,	
kloud,	ক্লুউড,	ক্লাউড,	
fastag,	ফ্স্্যাগ,	ফ্যাসট্যাগ,	
ebhara,	এথারা,	এভার,	
supparak,	সুপ্রাক,	সুপ্পারক,	
charger,	চার্গের,	চার্জার,	
mangoleek,	মঙ্গলিক,	মাঙ্গলিক,	
irana,	ইরানা,	ইরান,	
fokskon,	ফকসকন,	ফক্সকন,	
cena,	সেনা,	সিনা,	
dharmantor,	ধর্মন্তর,	ধর্মান্তর,	
grambaasheeo,	গ্রামবাশনও,	গ্রামবাসীও,	
query,	কুয়েরি,	কোয়েরি,	
gagee,	গাগি,	গেজ,	
gotihin,	গতিহীন,	গতিহীন,	
kurdider,	কুর্দিদের,	কুর্দিদের,	
shahanara,	শাহানারা,	শাহানারা,	
bapio,	বাপিও,	বাপিও,	
joki,	জকি,	জকি,	
gaujano,	গৌজানো,	গজানো,	
akkhunno,	অক্ষুণ্য,	অক্ষুণ্ণ,	
bhenkates,	ভেঙ্কেটস,	ভেঙ্কটেশ,	
indrakanan,	ইন্দ্রকানান,	ইন্দ্রকানন,	
tunaita,	টুনাইটা,	টুনাইট,	
promothesh,	প্রমেঠশ,	প্রমথেশ,	
bhebechili,	ভেবেছিলি,	ভেবেছিলি,	
chakti,	চাকটি,	চাকতি,	
chhintayikari,	ছিন্নয়েকারী,	ছিনতাইকারী,	
kei,	কেই,	কেই,	
ayumi,	আযুমি,	আয়ুমি,	
eupheike,	আইফোকে,	ইউফেইকে,	
parkasa,	পারকাস,	পার্কস,	
somonwitobhabey,	সমন্বিতভাবে,	সমন্বিতভাবে,	
safiin,	সফফিন,	সাফিন,	
korimpur,	করিমপুর,	করিমপুর,	
tolemyr,	তোলেমির,	টলেমির,	
fevarite,	ফেভারিতে,	ফেভারিট,	
lesense,	লেসেন্সে,	লাইসেন্স,	
hooldim,	হাউদ্দিম,	হোল্ডিং,	
steena,	স্তিনা,	স্টেন,	
nyata,	ন্যাটা,	ম্যাট,	
tecnokret,	টেকন্ক্রট,	টেকনোক্র্যাট,	
meropenemer,	মেরোপেনেমের,	মেরোপেনেমের,	
ekoirokom,	একরোকম,	একইরকম,	
soomitrar,	সুমিত্রার,	সুমিত্রার,	
swairacharibirodhi,	স্বরারিচারীবোধী,	স্বৈরাচারীবিরোধী,	
nirbahey,	নির্বাহে,	নির্বাহে,	
vezano,	ভেজানো,	ভেজানো,	
akhandata,	অখণ্ডতা,	অখণ্ডতা,	
janagononar,	জানগণনার,	জনগণনার,	
dhanche,	ধাঁচে,	ধাঁচে,	
macbeth,	ম্যাকবে,	ম্যাকবেথ,	
argho,	অরঘঘ,	অর্ঘ্য,	
chinito,	চিনিত,	চিনতো,	
sangharshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
raagei,	রাগেই,	রাগেই,	
houzgulite,	হৌজগুলিতে,	হাউজগুলিতে,	
kuronir,	কুরোনির,	কুরনীর,	
shrabosty,	শ্রাবস্টি,	শ্রাবস্তী,	
bharpur,	ভারপুর,	ভরপুর,	
paner,	পানের,	পানের,	
ponera,	পনেরা,	পনের,	
taalaal,	তালাল,	তালাল,	
modele,	মডেলে,	মডেলে,	
besirbhaagi,	বেশীর্ভাগী,	বেশিরভাগই,	
saabyastha,	সাব্যস্থা,	সাব্যস্থ,	
selim,	সেলিম,	সেলিম,	
hariner,	হরিনের,	হরিণের,	
bodhirota,	বোধিরতা,	বধিরতা,	
venus,	ভেনুস,	ভেনাস,	
lyataa,	ল্যাটা,	ল্যাটা,	
akhhunno,	অখুন্ন,	অক্ষুণ্ণ,	
ray,	রয়,	রায়,	
difinision,	ডিফিনিশন,	ডেফিনেশন,	
katiusha,	কাটিউশা,	কাতিউশা,	
prokalpagulo,	প্রকালগাগুলো,	প্রকল্পগুলো,	
digree,	দিগ্রী,	ডিগ্রি,	
kani,	কানি,	কানি,	
bangobandhu,	বঙ্গবন্ধু,	বঙ্গবন্ধু,	
sawam,	সওয়াম,	সাওম,	
foolkopi,	ফলকুি,	ফুলকপি,	
militarir,	মিলিতারীর,	মিলিটারির,	
kushakhali,	কুশাখালি,	কুশাখালি,	
mirina,	মিরিনা,	মিরিনা,	
shekarmani,	শেখারমণি,	শেকরমানি,	
sahocorje,	সহকর্যে,	সাহচর্যে,	
sten,	স্টেন,	স্টেন,	
favorite,	ফ্যাভেরিতে,	ফেভারিট,	
bite,	বিতে,	বাইট,	
masjidti,	মসজিদটি,	মসজিদটি,	
porobortii,	পরবর্তী,	পরর্বতী,	
sethai,	সেথাই,	সেথাই,	
korimkey,	করিমকে,	করিমকে,	
byabaharkareer,	ব্যবহারকররীর,	ব্যবহারকারীর,	
danab,	দানাব,	দানব,	
beshyasdone,	বেশ্যান্ডনে,	বেশ্যাসদনে,	
asaciates,	এসযাসিয়াটেস,	এসোসিয়েটস,	
directorete,	ডাইরেক্টরেতে,	ডিরেক্টরেট,	
soundarja,	সৌন্দর্য,	সৌর্ন্দয্য,	
antarctica,	অ্্ট্র্যাকটিকা,	অ্যান্টার্কটিকার,	
mahibur,	মহিবুর,	মহিবুর,	
jaanar,	যানার,	জানার,	
shoreefpur,	শর্ফিপুর,	শরিফপুর,	
eucalyptus,	ইউক্লিপেটাস,	ইউক্যালিপ্টাস,	
assaciates,	অ্যাসাসিয়েটেস,	এসোসিয়েটস,	
oindrila,	ঐন্দ্রিলা,	ঐন্দ্রিলা,	
idyi,	আইডিই,	আইডিই,	
crucer,	ক্রুসের,	ক্রুশের,	
agomoney,	আগমনে,	আগমনে,	
shibraj,	শিবরাজ,	শিবরাজ,	
zozyota,	যোজ্যতা,	যোজ্যতা,	
anchalo,	অঞ্চলো,	অঞ্চলও,	
durgotsab,	দুর্গতসব,	দুর্গোৎসব,	
dhanyi,	ধননী,	ধন্যি,	
deool,	দেওল,	দেউল,	
lotharan,	লোথারান,	লুথেরান,	
ganoporibahoner,	গণপারববহণের,	গণপরিবহনের,	
daltyagi,	দল্্যাগী,	দলত্যাগী,	
saarbhaarti,	সার্ভারটি,	সার্ভারটি,	
abanishankar,	অবনিশন্কর,	অবনিশংকর,	
neelfamarir,	নিলফামীরীর,	নীলফামারীর,	
elakaai,	এলাকাই,	এলাকাই,	
dupleks,	ডাপলেক্স,	ডুপ্লে,	
oxfordey,	অক্সপোর্ড,	অক্সফোর্ডে,	
asif,	আসিফ,	আসিফ,	
zakharovar,	যাখারোভার,	জাখারোভার,	
foloshrutite,	ফলশররুটিতে,	ফলশ্রুতিতে,	
rachanakal,	রচনাকাল,	রচনাকাল,	
rajotta,	রাজত্য,	রাজত্ব,	
prachando,	প্রাচাণ্ড,	প্রচণ্ড,	
dharabahikotitey,	ধারাবাহিকটিতে,	ধারাবাহিকটিতে,	
liedtke,	লিয়েটকে,	লইডটক,	
noiteekotar,	নৈতিকতার,	নৈতিকতার,	
kusumeshu,	কুসুমেষু,	কুসুমেষু,	
scoore,	স্কুরো,	স্কোর,	
rajyotiro,	রাজ্যটিরও,	রাজ্যটিরও,	
rudrasagar,	রুদ্রসাগর,	রুদ্রসাগরের,	
courtcaser,	কোর্টকেসের,	কোর্টকেসের,	
teemothi,	তীমোথি,	টিমোথি,	
karam,	কারাম,	কেরাম,	
atibiplabi,	অতিবিপ্বলী,	অতিবিপ্লবি,	
chalochchitro,	চালচ্চিত্র,	চলচ্চিত্র,	
beem,	বিম,	বিম,	
directarate,	ডাইরেক্টারেট,	ডিরেক্টরেট,	
madhumati,	মধুমতি,	মধুমতী,	
perry,	পেরি,	পেরি,	
mosjidsoho,	মসজিদসহ,	মসজিদসহ,	
ekbakye,	একবাকে,	একবাক্যে,	
laesensh,	লেসেন্স,	লাইসেন্স,	
ipl,	আইপিএল,	আইপিএল,	
sheshdinti,	শেষদিনটি,	শেষদিনটি,	
piulir,	পিলির,	পিউলির,	
plate,	প্লাটে,	প্লেটে,	
rahimed,	রহিমেদ,	রহিমেদ,	
panchasjan,	পঞ্চাজন,	পঞ্চাশজন,	
themekey,	থেমেকে,	থিমকে,	
naraphoka,	নারোফাকো,	নরফোক,	
cheento,	চিন্ত,	চিনতো,	
nichols,	নিচোলস,	নিকলস,	
dajjha,	দাজঝা,	দাহ্য,	
smarok,	স্মররক,	স্মারক,	
ramantic,	রামন্টিক,	রোমান্টিক,	
keyboarder,	কিওবোর্ডের,	কীবোর্ডের,	
serveray,	সার্ভারে,	সার্ভারে,	
babare,	বাবারে,	বাবারে,	
bosontokke,	বসন্তককে,	বসন্তকে,	
teta,	টেট,	টেটা,	
basakey,	বাসাকে,	বাসাকে,	
chilahatee,	চিলাহাটি,	চিলাহাটি,	
photanor,	ফোটানোর,	ফোটানোর,	
chalochchitraeeo,	চললচ্ছিত্রীয়েও,	চলচ্চিত্রেও,	
mookhomaundoler,	মুখুউন্ডগলের,	মুখমণ্ডলের,	
jeebonnogor,	জীবনগোগর,	জীবননগর,	
ciima,	সিইমা,	সীমা,	
nakkal,	নাককাল,	নক্কল,	
moushum,	মাুুম,	মৌসুম,	
somraat,	সম্রাত,	সম্রাট,	
byomkes,	ব্যোমকেস,	ব্যোমকেশ,	
directorate,	ডাইরেক্টরেট,	ডিরেক্টরেট,	
edaning,	এডানিং,	ইদানিং,	
chalachchitrotike,	চলচচচিত্রটিকে,	চলচ্চিত্রটিকে,	
innahu,	ইন্নাহু,	ইন্নাহু,	
uponishad,	উপনিষাদ,	উপনিষদ,	
birmuktijoddhagan,	বীর্মুক্তিদদ্ধগণ,	বীরমুক্তিযোদ্ধাগণ,	
dakteekiter,	দাকটিকিতের,	ডাকটিকিটের,	
uttor,	উত্তর,	উওর,	
talaa,	তালা,	তালা,	
backflipe,	ব্যাক্সপিল,	ব্যাকফ্লিপে,	
jakso,	জাক্স,	যক্ষ,	
uthhaane,	উঠানে,	উঠানে,	
mononiitoder,	মনোনিতদের,	মনোনীতদের,	
abheedhaaneeck,	অভিধাননয়ক,	অভিধানিক,	
mirakela,	মিরাকেলা,	মিরাকেল,	
engrejra,	এংরজেরা,	ইংরেজরা,	
makong,	মাকং,	মেকং,	
nirmankarmisaha,	নির্মাণক্রমীসহ,	নির্মাণকর্মীসহ,	
bossoben,	বসবেন,	বসবেন,	
seoul,	সেওউল,	সোল,	
bodhirta,	বোধিরতা,	বধিরতা,	
shtona,	স্তোনা,	স্টোন,	
licencedhari,	লাইসনেন্টারি,	লাইসেন্সধারী,	
konflict,	কনফ্লিক্ট,	কনফ্লিক্ট,	
gandogol,	গান্ডগোল,	গন্ডগোল,	
qyantana,	ক্যান্টননা,	ক্যান্টন,	
kandy,	কান্ডি,	ক্যান্ডি,	
jamseder,	জমসেদের,	জামসেদের,	
uqeliptas,	উকেলিপ্টাস,	ইউক্যালিপ্টাস,	
stander,	স্ট্যান্ডের,	স্ট্যাণ্ডের,	
ispreedshiit,	ইস্প্রিদিধ,	স্প্রেডশীট,	
proteemar,	প্রতিমার,	প্রতিমার,	
parisankhanvid,	পরিসংসম্ভীদ,	পরিসংখ্যানবিদ,	
abodamaner,	অবদামনের,	অবদমনের,	
matt,	ম্যাট,	ম্যাট,	
shit,	শিত,	শীত,	
murali,	মুরালি,	মুরলী,	
atwabishvashi,	অত্ববিশভাষী,	আত্মবিশ্বাসী,	
akten,	আকেতেন,	অকটেন,	
futote,	ফুটোতে,	ফুটোতে,	
chaudhurider,	চৌধুরীদের,	চৌধুরীদের,	
nojder,	নজদের,	নজদের,	
dakope,	ডাকোপ,	দাকোপ,	
bosante,	বসন্তে,	বসন্তে,	
tirmijii,	তির্মিজি,	তিরমিজি,	
muchi,	মুচি,	মুচি,	
phonekari,	ফোনকারি,	ফোনকারী,	
kogake,	কোগাকে,	কোগাকে,	
israelbahini,	ইস্রালেলবাহীনী,	ইস্রায়েলবাহিনী,	
khaaneker,	খানেকের,	খানেকের,	
dushtogone,	দুষ্টগণে,	দুষ্টগণে,	
baire,	বাইরে,	বাইরে,	
malinga,	মালিংগা,	মালিংগা,	
ohalyar,	ওহল্যার,	অহল্যার,	
boudher,	বৌধের,	বৌদ্ধের,	
punorabortonte,	পুনরাবর্তন্তে,	পুনরাবর্তন্তে,	
abheedhaneek,	অভিধানীক,	অভিধানিক,	
poste,	পোস্টে,	পোষ্টে,	
bakhyateet,	বাক্যাটিত,	ব্যাখ্যাতীত,	
kyatgarite,	ক্যাটগারিতে,	ক্যাটগারিতে,	
manabmaner,	মানবমানের,	মানবমনের,	
oiteejye,	ঐতিহ্যে,	ঐতিহ্যে,	
hood,	হুড,	হুড,	
phiqsa,	ফিকস,	ফিক্স,	
makhno,	মাখোন,	মাখনো,	
oblivion,	অবলিভিওন,	অবলিভিয়ন,	
durtomo,	দুর্তমো,	দূরতম,	
tawnship,	তাবশিপ,	টাউনশিপ,	
khelaphate,	খেলাফাতে,	খেলাফতে,	
chandrima,	চন্দ্রিমা,	চন্দ্রিমা,	
taateo,	তাতেও,	তাতেও,	
sima,	সিমা,	সীমা,	
graambaashio,	গ্রামবাশশও,	গ্রামবাসীও,	
tukrote,	তুকর্তে,	টুকরোতে,	
valobasen,	ভালোবাসেন,	ভালোবাসেন,	
badargaji,	বদরগাজি,	বদরগাজী,	
kekru,	কেকরু,	কেকরু,	
rojapalaner,	রোজাপলনের,	রোজাপালনের,	
peengna,	পীংনা,	পিংনা,	
dormetori,	দরমেতরি,	ডরমিটরি,	
senabahineeow,	সেনাবাহিন্বিও,	সেনাবাহিনীও,	
goshthiti,	গোষথিতি,	গোষ্ঠীটি,	
shucharita,	শুচরিতা,	সুচরিতা,	
nichupattir,	নিছুপত্তির,	নিচুপট্টির,	
sarder,	সার্ডের,	সরদার,	
capshule,	ক্যাপশুলে,	ক্যাপসুল,	
humira,	হুমিরা,	হুমিরা,	
shniper,	শ্নীপের,	স্নাইপার,	
muradke,	মুরাদকে,	মুরাদকে,	
raghubar,	রঘুবার,	রঘুবীর,	
venisey,	ভেনিসে,	ভেনিসে,	
kormyi,	কর্মই,	কর্মই,	
magar,	মাগর,	মাগার,	
bulan,	বুলান,	বুলান,	
ekjoge,	একযোগে,	একযোগে,	
oboshore,	অশোরে,	অবসরে,	
firalem,	ফিরালেম,	ফিরালেম,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
simaa,	সিমা,	সীমা,	
avidur,	আভিদুর,	আভিদুর,	
noitikota,	নৈতিকতা,	নৈতিকতা,	
chhuteete,	ছুটিতে,	ছুটিতে,	
jaistho,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
jommu,	জম্মু,	জম্মু,	
nathivukteer,	নাথিবুক্তির,	নথিভুক্তির,	
probolshoktio,	প্রবলক্ষটিও,	প্রবলশক্তিও,	
ronodeep,	রণডেপ,	রণদীপ,	
notey,	নটি,	নোটে,	
chikittsar,	চিকিৎসসার,	চিকিত্সার,	
samanyai,	সামন্যই,	সামান্যই,	
zaire,	জায়ের,	জাইরে,	
suparichiti,	সুপরিচিতি,	সুপরিচিতি,	
bandi,	বান্দি,	বন্দী,	
barrageke,	বারারেজকে,	ব্যারেজকে,	
subade,	সুবাদে,	সুবাদে,	
attorkite,	অত্ররকিতে,	অতর্কিতে,	
ddheela,	ঢেল,	ঢিলা,	
showtey,	শুটে,	শোতে,	
prokolpogulor,	প্রকল্পগুলোর,	প্রকল্পগুলোর,	
poderthobid,	পদেরবোবিদ,	পদার্থবিদ,	
nanabornobishishto,	নানাবন্বিশিষ্ট,	নানাবর্ণবিশিষ্ট,	
krom,	ক্রোম,	ক্রম,	
taunsheep,	টাউনশিপ,	টাউনশিপ,	
sikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
tep,	টেপ,	ট্যাপ,	
bornanukrome,	বর্ণানুক্রমে,	বর্নানুক্রমে,	
bishshaasho,	বিশ্শাশ,	বিশ্বাসও,	
bondishalatei,	বন্দিশালাতেই,	বন্দিশালাতেই,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
sollallhu,	সোল্লাল্লু,	সল্লাল্লাহু,	
prodiiper,	প্রদিপের,	প্রদীপের,	
abdan,	আবদান,	আব্দান,	
olpo,	অল্পো,	অল্প,	
chhutir,	ছুটির,	ছুটির,	
dweepgoolotey,	দ্বিপগৌলটে,	দ্বীপগুলোতে,	
phutonta,	ফুটনাটা,	ফুটন্ত,	
laaishheshh,	লৈশশে,	লাইসেন্স,	
planeti,	প্লানেটি,	প্লেনটি,	
flexta,	ফ্লেক্সটা,	ফ্লেক্সটা,	
rilayensha,	রিলায়েনসহ,	রিলায়েন্স,	
gaddaafee,	গাদ্ডাফি,	গাদ্দাফী,	
bhejaano,	ভেজানো,	ভেজানো,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
supplenza,	সাপ্লেম্যা,	সাপলেঞ্জা,	
shommotite,	শম্মতিতে,	সম্মতিতে,	
windo,	উইন্দো,	উইন্ডো,	
aarik,	আরিক,	আরিক,	
vaider,	ভাইদের,	ভাইদের,	
soori,	সুরী,	সুরি,	
shunani,	শুনানি,	শুনানী,	
nabayug,	নবয়ুু,	নবযুগ,	
notti,	নটটি,	নোটটি,	
ved,	ভেড,	বেদ,	
torabgonj,	তোরাগঞ্জ,	তোরাবগঞ্জ,	
karmoi,	কারমই,	কর্মই,	
dosha,	দোশা,	দোসা,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
oyebjin,	ওয়েবজিন,	ওয়েবজিন,	
shudhui,	শুধুই,	শুধুই,	
sarjur,	সরজুর,	সরযূর,	
deares,	ডেয়েরেস,	ডিআরএস,	
simons,	সিমনস,	সিমন্স,	
gajetted,	গ্যাজেটদে,	গেজেটেড,	
direqtareta,	ডিরেক্টরেটা,	ডিরেক্টরেট,	
iub,	ইউব,	আইইউবি,	
sthaponagulo,	স্থাপনাগুলো,	স্থাপনাগুলো,	
daayitto,	দায়িত্ব,	দায়িত্ব,	
milea,	মিলেয়া,	মাইলে,	
elakaate,	এলাকাতে,	এলাকাতে,	
neutrinoo,	নিউটিনরণ,	নিউট্রিনো,	
ghoomato,	ঘৌমাতো,	ঘুমাতো,	
hoteltite,	হোটেলটিতে,	হোটেলটিতে,	
chaudhurio,	চৌধুরীও,	চৌধুরীও,	
boshoborty,	বশোবরটি,	বশবর্তী,	
bishwaashshoi,	বিশ্বসশশে,	বিশ্বাসই,	
joubanbatee,	যৌবনবাতী,	যৌবনবতী,	
sohinsotar,	সহিনসতার,	সহিংসতার,	
suraaropito,	সুরারপিত,	সুরারোপিত,	
tecno,	টেকনো,	টেকনো,	
kraim,	ক্রেম,	ক্রাইম,	
jotsna,	জো্সনা,	জ্যোৎস্না,	
flux,	ফ্লাক্স,	ফ্লাস্ক,	
