goonoman,	গনোমান,	গুণমান,	
jonoshongjog,	জনশঙ্যোগ,	জনসংযোগ,	
mozlis,	মোজলিস,	মজলিশ,	
erokomer,	এরোকেমের,	এরকমের,	
munshiji,	মুনশিজি,	মুনশীজি,	
jothartho,	যথার্থ,	যথার্থ,	
pleto,	প্লেটো,	প্লেটো,	
kinsha,	কিনশা,	কিংস,	
booroon,	বুরুন,	বোরন,	
toching,	টচিং,	টোচিং,	
byke,	ব্যাকে,	বাইক,	
aaps,	এআপিএস,	এএপিএস,	
alankorana,	আলাঙ্কোণা,	অলঙ্করণ,	
change,	চাঙ্গে,	চেঞ্জ,	
survative,	সারভাটটটটভ,	সারভেটিভ,	
touraat,	তৌরাত,	তওরাত,	
romantik,	রোমানটিক,	রোমান্টিক,	
prakalpatike,	প্রকলপতিকে,	প্রকল্পটিকে,	
platform,	প্ল্যাটফর্ম,	প্লাটফর্ম,	
mukhomandaler,	মুখমণ্ডলের,	মুখমণ্ডলের,	
khamotagulor,	ক্ষমতাগুলোর,	ক্ষমতাগুলোর,	
fasir,	ফাসির,	ফাসীর,	
nirmankaaj,	নির্মণকাজ,	নির্মাণকাজ,	
jibnagore,	জীবনাগোরে,	জীবননগর,	
ancholtike,	অঞ্চলটিকে,	অঞ্চলটিকে,	
seekkhaou,	সিক্ষাউ,	শিক্ষাও,	
gannaprakasham,	গণ্্পপ্রকশম,	গন্নাপ্রকাশম,	
dala,	দালা,	দলা,	
adorso,	আদরসো,	আর্দশ,	
fishing,	ফিশিং,	ফিসিং,	
sachetanvabe,	সচেতনাভবে,	সচেতনভাবে,	
rohosyo,	রহস্য,	রহস্য,	
grambaseer,	গ্রামবাসার,	গ্রামবাসীর,	
cooda,	কোড,	কোডা,	
alaoler,	অ্যালাওলার,	আলাওলের,	
andon,	আন্দন,	আন্দোন,	
ishton,	ইশ্টন,	স্টোন,	
kaash,	কাশ,	কাস,	
salmaner,	সালমানের,	সালমানের,	
brekthrough,	ব্রেক্রুঘো,	ব্রেকথ্রু,	
manush,	মনুষ,	মানুষ,	
aporishodhito,	অপরিশোধিত,	অপরিশোধিত,	
karaponner,	কারাপন্নের,	কারাপণ্যের,	
vaticaner,	ভ্যাটিকানের,	ভ্যাটিকানের,	
lungiti,	লুঙ্গীতি,	লুঙ্গিটি,	
lampot,	ল্যাম্পট,	লম্পট,	
chhadite,	ছাদিতে,	ছড়িতে,	
koota,	কোটা,	কোটা,	
liceensee,	লিইসন্সি,	লাইসেন্স,	
ekok,	এককক,	একক,	
dorgaaho,	দরগাহ,	দরগাহ,	
muhuriganj,	মুহুরীগঞ্জ,	মুহুরীগঞ্জ,	
sachetonvabe,	সাচেতনভাবে,	সচেতনভাবে,	
antorvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
ganoporibahoner,	গণপরিবাহনের,	গণপরিবহনের,	
musallati,	মুসাল্লাটি,	মুসল্লাটি,	
basakey,	বাসাকে,	বাসাকে,	
utshahomulok,	উৎসাহমূলক,	উৎসাহমূলক,	
olympicer,	অলিম্পিসের,	অলিম্পিকের,	
bunot,	বুনটট,	বুনট,	
jani,	জানি,	জনি,	
rohosyoti,	রহস্যটি,	রহস্যটি,	
sheshdinti,	শেষদিন্তি,	শেষদিনটি,	
koruna,	কোরুনা,	করুণা,	
juddhahato,	যুদ্ধাহাত,	যুদ্ধাহত,	
matthews,	ম্যাটহাউস,	ম্যাথিউস,	
vobanipur,	ভবানীপুর,	ভবানীপুর,	
geja,	গেজা,	গেজ,	
kheylechen,	খেয়েলছেন,	খেলেছেন,	
militarite,	মিলিতারিতে,	মিলিটারিতে,	
parqim,	পার্কিম,	পার্কিং,	
shithilata,	শীথিলতা,	শিথিলতা,	
akeeb,	আকেব,	আকিব,	
goolen,	গুলেন,	গুলেন,	
ratishilatai,	রতিশীলতাই,	রতিশীলতায়,	
aaireshe,	আইরেশে,	আইরেসে,	
bhangle,	ভ্ংলে,	ভাঙলে,	
elakaai,	এলাকাই,	এলাকাই,	
harishankar,	হরিশঙ্কার,	হরিশংকর,	
tasminer,	তাসমিনের,	তাসমিনের,	
beila,	বেইলা,	বেইলা,	
pratool,	প্রতৌল,	প্রতুল,	
sumoo,	সুমুও,	সুমো,	
sector,	সেক্টর,	সেক্টর,	
tenishe,	টেনিশে,	টেনিসে,	
grauth,	গ্রাথ,	গ্রোথ,	
holding,	হোল্ডিং,	হোল্ডিং,	
masjidti,	মাসজিদটি,	মসজিদটি,	
phiksa,	ফিকসা,	ফিক্স,	
gazeetteed,	গ্যাজেটিদ,	গেজেটেড,	
homeser,	হোমেসের,	হোমসের,	
patishapta,	পাতিষাপ্ত,	পাটিসাপটা,	
lirikti,	লিরিকটি,	লিরিকটি,	
mathews,	ম্যাথভাস,	ম্যাথিউস,	
bhittimul,	ভিত্তিমূল,	ভিত্তিমূল,	
bhabarlaler,	ভবর্ললের,	ভবরলালের,	
neelfamarir,	নেলফামারীর,	নীলফামারীর,	
bhenicer,	ভেনিসের,	ভেনিসের,	
kaaferder,	কাফেরদের,	কাফেরদের,	
title,	টিটলে,	টাইটেল,	
tahalo,	তাহালো,	তাহলো,	
tricksguli,	ট্রিকসগুলি,	ট্রিকসগুলি,	
miley,	মিলে,	মিলে,	
phartha,	ফার্থা,	ফার্থ,	
uddhritir,	উদ্ধৃতির,	উদ্ধৃতির,	
niemond,	নিইমোন্ড,	নিমন্ড,	
soommo,	সুম্মো,	সুমো,	
udbodhani,	উদ্বধানী,	উদ্বোধনী,	
bhikkharthe,	ভীক্ষার্থে,	ভিক্ষার্থে,	
pathanatak,	পাথানাটাক,	পথনাটক,	
asamorik,	অসমরিক,	অসামরিক,	
shamuker,	শমুকের,	শামুকের,	
pujit,	পুজিত,	পুজিত,	
jarmaniteo,	জরমমনিতেও,	জার্মানিতেও,	
darji,	দারজি,	দরজি,	
nabbata,	নব্বতা,	নাব্যতা,	
saralya,	সরল্লা,	সারল্য,	
maail,	মাইল,	মাইল,	
rinattak,	ঋণত্বক,	ঋনাত্মক,	
jommu,	জম্মু,	জম্মু,	
phutanta,	ফুতান্ত,	ফুটন্ত,	
hooldim,	হুল্ডিম,	হোল্ডিং,	
arifin,	আরিফিন,	আরিফিন,	
oxite,	অক্সিতে,	অক্সাইট,	
harbore,	হারবোর,	হারবারে,	
padee,	পাদে,	পাড়ে,	
thare,	থারে,	থরে,	
wodka,	ওয়াডকা,	ভদকা,	
sarbhaarti,	সর্ভার্তি,	সার্ভারটি,	
biplabeer,	বিপ্লাবার,	বিপ্লবীর,	
ishter,	ইশ্টের,	ইস্টের,	
chaalaabi,	চালাবি,	চালাবে,	
pachattar,	পাচাত্তর,	পাচাত্তার,	
bishwaashshoi,	বিশ্বাষ্ই,	বিশ্বাসই,	
ganjana,	গানজানা,	গঞ্জনা,	
salphat,	সালফত,	সালফেট,	
shahurgulor,	শহহুরগুলোর,	শহুরগুলোর,	
korimkey,	করিমকে,	করিমকে,	
siqh,	সিঃহ,	শিখ,	
phiqsa,	ফিকসা,	ফিক্স,	
dakshinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
kayech,	কায়েছ,	কায়েছ,	
saurce,	সার্স,	সোর্স,	
jatinke,	জাতিনকে,	যতীনকে,	
beshakbar,	বেশকবার,	বেশকবার,	
bulano,	বুলানো,	বুলান,	
ghotaibe,	ঘোটাইবে,	ঘটাইবে,	
batsmanei,	ব্যাটম্যানেই,	ব্যাটসম্যানই,	
proshtotto,	প্রশ্তত্ত,	প্রস্ত্তত,	
bolechile,	বলেছিলে,	বলেছিলে,	
avetar,	আভেতার,	অবতার,	
nakkal,	নক্কাল,	নক্কল,	
boudhher,	বৌধ্রের,	বৌদ্ধের,	
swadesh,	স্বদেশ,	স্বদেশ,	
ahong,	আহং,	অহং,	
jakso,	জাকসো,	যক্ষ,	
aansareer,	আনসারির,	আনসারীর,	
toler,	টোলের,	তালের,	
plusey,	প্লুসে,	প্লাসে,	
marmaraa,	মারমারা,	মারমারা,	
bharotiyotar,	ভারতীয়তার,	ভারতীয়তার,	
windo,	উইইন্ডো,	উইন্ডো,	
nagarikera,	নাগারীকেরা,	নাগরিকেরা,	
sausagee,	সৌসগী,	সসেজ,	
cn,	সিএন,	সিএন,	
inziniyarsa,	ইনজিনিরার্স,	ইঞ্জিনিয়ার্স,	
oiteejye,	ঐতিয্যে,	ঐতিহ্যে,	
poripaker,	পরিপাকের,	পরিপাকের,	
atibiplabi,	অতিবিপ্লবাী,	অতিবিপ্লবি,	
vushi,	ভুশী,	ভুষি,	
ganonanatto,	গণনানত্ত,	গণনাট্য,	
jens,	জেনস,	জিন্স,	
bedanta,	বেদান্তা,	বেদান্ত,	
chittronatyokar,	চিত্তরণাত্যকার,	চিত্রনাট্যকার,	
nirabota,	নিরাবতা,	নিরবতা,	
shangkulaan,	শংকুলান,	সংকুলান,	
nirvachaker,	নির্ভাচাকের,	নির্বাচকের,	
sikkhakbrinda,	শিক্ষাকবৃন্দ,	শিক্ষকবৃন্দ,	
ogovir,	অগভির,	অগভীর,	
nothivookta,	নথিভুক্ত,	নথিভুক্ত,	
barder,	বার্ডের,	বার্ডের,	
pothnirdeshona,	পথ্নির্দেশনা,	পথনির্দেশনা,	
pratista,	প্রতিস্তা,	প্রতিষ্টা,	
karim,	কারিম,	করিম,	
rajtantro,	রাজতান্ত্র,	রাজতন্ত্র,	
beauby,	বিউবি,	বিউবি,	
satarkabhabey,	সতরকাভাবে,	সতর্কভাবে,	
chhooteer,	ছুটির,	ছুটির,	
corsin,	করসিন,	করসিন,	
arshie,	আর্শী,	আরসিএ,	
moshzidtike,	মশ্জদিতে,	মসজিদটিকে,	
moddhyoshtho,	মদ্ধশ্্থ,	মধ্যস্থ,	
rakshanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
onshogrohoner,	অন্শগ্রহণের,	অংশগ্রহনের,	
tateo,	তাতেও,	তাতেও,	
pacchi,	পাচ্চি,	পাচ্ছি,	
talgach,	তালগাছ,	তালগাছ,	
harees,	হ্যারেস,	হ্যারিস,	
palashir,	পালাশির,	পলাশীর,	
aakkaash,	আক্কাশ,	আককাস,	
jaatti,	যাত্তি,	জাতটি,	
helloin,	হেলোয়েন,	হ্যালোইন,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
suiza,	সুইজা,	সুইজা,	
habshi,	হাবশি,	হাবশী,	
somabeshti,	সমাবেশটি,	সমাবেশটি,	
jonoikaa,	জনৈকা,	জনৈকা,	
meshintao,	মেশিনটাও,	মেশিনটাও,	
vezano,	ভেজানো,	ভেজানো,	
brindabane,	বৃন্দাবানে,	বৃন্দাবনে,	
biprodas,	বিপ্রোদাস,	বিপ্রদাস,	
baikalyo,	বাইকাল্য,	বৈকল্য,	
santoshpore,	সান্তশ্রে,	সন্তোষপুর,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
magar,	মাগার,	মাগার,	
dajhyo,	দাঝ্য,	দাহ্য,	
makame,	মাকামে,	মাকামে,	
shresthoshcho,	শ্ষেষ্টশ্চ,	শ্রেষ্ঠশ্চ,	
pothon,	পথন,	পঠন,	
sheetke,	শীতকে,	শীতকে,	
rakim,	রকিম,	রাকিম,	
shurugulo,	শুরুগুলো,	শুরুগুলো,	
pratiyogita,	প্রতিযোগীতা,	প্রতিযোগীতা,	
aabarte,	আবার্তে,	আবর্তে,	
protijogiitamulok,	প্রতিযোগতিমূলক,	প্রতিযোগীতামূলক,	
directorete,	ডাইরেক্টরোতে,	ডিরেক্টরেট,	
purborekorde,	পূর্বরেকদের,	পূর্বরেকর্ডে,	
pitiler,	পিতিলের,	পিটিলের,	
uparjoner,	উপার্যনের,	উপার্জনের,	
chilona,	চিলোনা,	ছিলনা,	
cholochchitratike,	চলচ্চিত্রাতিকে,	চলচ্চিত্রটিকে,	
debate,	দেবাতে,	ডিবেট,	
chakurijibirao,	চাকুরিজিবারও,	চাকুরীজীবীরাও,	
somonnitobhabe,	সোমননিতভাবে,	সমন্বিতভাবে,	
bonvumitey,	বনভুমিতে,	বনভূমিতে,	
gujob,	গুজব,	গুজব,	
rata,	রাতা,	রত,	
bheenisa,	ভীনিসা,	ভেনিস,	
songkolonti,	সংকল্নটি,	সংকলনটি,	
saramukhe,	সরমুখে,	সারামুখে,	
sudrishya,	সুদ্রিশ্য,	সুদৃশ্য,	
venus,	ভেনাস,	ভেনাস,	
angsogrohone,	অংসগ্রহণে,	অংশগ্রহনের,	
alumni,	আলুমনি,	অ্যালমনি,	
jyesttha,	জেয়েট্থা,	জ্যেষ্ঠা,	
bboponer,	ব্বপনের,	বপনের,	
shhepha,	সেফা,	শেফ,	
edipass,	এডিপাস,	ইডিপাস,	
suchonakal,	সূচনাকল,	সূচনাকাল,	
porinoti,	পরিণটি,	পরিণতি,	
debeting,	ডেবেটিং,	ডিবেটিং,	
confliqt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
titarer,	তিতারের,	তিতারের,	
neerbahe,	নিরবাহে,	নির্বাহে,	
dosha,	দোশা,	দোসা,	
tomader,	টোমাদের,	তোমাদের,	
beatleser,	বেটলেসের,	বিটলসের,	
bhramarotsab,	ভ্রামারসোব,	ভ্রমরোৎসব,	
purbancoler,	পার্বাঙ্কলের,	পূর্বাঞ্চলের,	
chamski,	চ্যামস্কি,	চমস্কি,	
uddhrito,	উদৃথিত,	উদ্ধৃত,	
orunima,	ওরুনিমা,	অরুণিমা,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
siddhantei,	সিদ্ধান্তেই,	সিদ্ধান্তেই,	
freelancerra,	ফ্রিলান্সারররা,	ফ্রিল্যান্সাররা,	
diznee,	ডিজন,	ডিজনী,	
pranibigyani,	প্রাণিবিজ্ঞানী,	প্রাণীবিজ্ঞানী,	
shekarmani,	শেকারমানি,	শেকরমানি,	
jeher,	জেহের,	জেহের,	
aatmobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
sedikei,	সেদিকেই,	সেদিকেই,	
cholchhee,	চলছী,	চলছে,	
scoore,	স্কোরে,	স্কোর,	
nilfamarir,	নীলফামারির,	নীলফামারীর,	
perri,	পেরি,	পেরি,	
supplenza,	সাপ্লেনজা,	সাপলেঞ্জা,	
daacktickete,	ডাক্টিকেতে,	ডাকটিকিটে,	
karecho,	কারেছো,	করেছো,	
mousumeo,	মৌসুমেও,	মৌসুমেও,	
palbongser,	পালবংসের,	পালবংশের,	
kaia,	কাইয়া,	কায়া,	
bajite,	বাজিতে,	বাজিতে,	
khalid,	খালিদ,	খালিদ,	
shoreefpur,	শরীফপুর,	শরিফপুর,	
desiseyer,	ডেসিসেয়ের,	ডিজিজের,	
lokhindorer,	লখিন্দরের,	লখিন্দরের,	
choopi,	চুপি,	চুপি,	
smarok,	স্মারক,	স্মারক,	
jwar,	জ্বার,	জ্বর,	
ddebet,	ড্বেবেট,	ডিবেট,	
siraju,	সিরাজু,	সিরাজু,	
shtonehenge,	স্টোনেহেঙ্গে,	স্টোনহেঞ্জ,	
sutir,	সুতির,	সুতির,	
drishyogulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
maudelder,	মাউডেলদের,	মডেলদের,	
kaalaam,	কালাম,	কালাম,	
postar,	পোস্টার,	পোস্টের,	
asovya,	অসোভিয়া,	অসভ্য,	
sardar,	সার্দার,	সরদার,	
baganoto,	বাগানোতো,	বাগানত,	
ancholsaha,	আঞ্চলসহ,	অঞ্চলসহ,	
neker,	নেকের,	নেকের,	
meloonborrone,	মেলোনবোর্রেন,	মেলবোর্নে,	
parisankhanbid,	পরিসংখ্বিদ,	পরিসংখ্যানবিদ,	
swastir,	স্বস্তির,	স্বস্তির,	
remacri,	রেমাল্কারি,	রেমাক্রী,	
mast,	মাস্ট,	মাস্ত,	
gaichey,	গাইছে,	গাইছে,	
francine,	ফ্রান্সাইন,	ফ্রান্সিন,	
poschime,	পশ্চিমে,	পশ্চিমে,	
shlok,	শ্লোক,	শ্লোক,	
spredasita,	স্প্রেদাসিতা,	স্প্রেডশীট,	
chatrorai,	চাত্ররাই,	ছাত্ররাই,	
kkhur,	ক্রুর,	ক্ষুর,	
zarniz,	জার্িজ,	জারনিজ,	
mankisundar,	মন্কিসুন্দর,	মানকিসুন্দর,	
udbhaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
blasterke,	ব্লাস্টারকে,	ব্লাস্টারকে,	
suparahiro,	সুপারহীরও,	সুপারহিরো,	
souripurang,	সৌরীপূরং,	সৌরিপুরং,	
shchalastik,	স্চালস্তিক,	স্কলাস্টিক,	
shomostigoto,	শমস্তিগত,	সমষ্টিগত,	
satarkokari,	সতারককারী,	সতর্ককারী,	
rashedul,	রাশেদুল,	রাশিদুল,	
cloring,	ক্লোরিং,	ক্লোরিং,	
danakana,	ডানাকানা,	ডানকান,	
husni,	হুস্নি,	হুসনি,	
khoakshir,	খো়াকশির,	খোয়াক্ষীর,	
shingping,	শিংপংং,	শিংপিং,	
holuder,	হোলুদের,	হলুদের,	
bane,	বানে,	বনে,	
bosontoke,	বসন্তকে,	বসন্তকে,	
agamane,	আগামানে,	আগমনে,	
fake,	ফেকে,	ফাকে,	
degreeo,	ডিগ্রিও,	ডিগ্রিও,	
langhangulir,	লাঙ্ঘালগুলির,	লঙ্ঘনগুলির,	
bhromoner,	ভ্রমণের,	ভ্রমণের,	
shpredshiit,	স্পারডটিট,	স্প্রেডশীট,	
townshhip,	টৌশিিপ,	টাউনশিপ,	
sarsa,	সারসা,	সোর্স,	
greep,	গ্রিপ,	গ্রিপ,	
keyu,	কেয়ু,	কেউ,	
yucalyptus,	যুয়ালিক্্পুস,	ইউক্যালিপ্টাস,	
hoondayi,	হুন্দায়ি,	হুন্দাই,	
balakarak,	বালাকার,	বলকারক,	
jatata,	জাটাটা,	যতোটা,	
madhnagar,	মধনগর,	মাধনগরের,	
scholastik,	স্কোলস্তিক,	স্কলাস্টিক,	
bhowanipur,	ভোপনীপুর,	ভবানীপুর,	
blacq,	ব্ল্যাক,	ব্ল্যাক,	
adhyattikota,	আধ্যাত্তিকতা,	আধ্যাত্মিকতা,	
windos,	উইন্ডোস,	উইন্ডোস,	
samajikotar,	সমাজিকতার,	সামাজিকতার,	
mukhmondole,	মুখমণ্ডলে,	মুখমণ্ডলে,	
bizito,	বিজিত,	বিজিত,	
breq,	ব্রেক,	ব্রেক,	
sangosrobomukto,	সংস্রবমুক্ত,	সংস্রবমুক্ত,	
ship,	শিপ,	শিপ,	
prakare,	প্রারের,	প্রকারে,	
taatey,	টাতে,	তাতে,	
bayshorkarikarone,	বযশশকরীকরণে,	বেসরকারিকরণ,	
protistha,	প্রতিষ্ঠা,	প্রতিষ্টা,	
hood,	হুড,	হুড,	
raunanganey,	রাউঙ্গানে,	রণাঙ্গনে,	
rupert,	রিপার্ট,	রুপার্ট,	
shasyadi,	শাস্যাদি,	শস্যাদি,	
jatotaa,	জাতোটা,	যতোটা,	
arashie,	আরাশী,	আরসিএ,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
palbongsher,	পালবংশের,	পালবংশের,	
disni,	ডিসিনি,	ডিজনী,	
parisankhanvid,	পরিসংখ্নিদ,	পরিসংখ্যানবিদ,	
neemeette,	নেমিত্বে,	নিমিত্তে,	
antarvuktimulak,	আন্তর্ভুতিমক,	অন্তর্ভুক্তিমূলক,	
choudhurike,	চৌধুরিকে,	চৌধুরীকে,	
bhabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
kalirkhal,	কালিরখাল,	কালিরখাল,	
ardasho,	আর্দাসো,	আর্দশ,	
cheekitsar,	চিকিৎসার,	চিকিত্সার,	
ceramicsh,	সেরিমিক্স,	সিরামিকস,	
amiretus,	অমিরেটাস,	এমিরেটাস,	
chikittsar,	চিকিতসার,	চিকিত্সার,	
valobasen,	ভালোবাসেন,	ভালোবাসেন,	
ganochien,	গ্যানোয়েন,	গণচীন,	
swadhinotatukui,	স্বাধীনতাুকুই,	স্বাধীনতাটুকুই,	
karmoi,	কারমোই,	কর্মই,	
faskari,	ফাসকারি,	ফাঁসকারী,	
anusvara,	অনুসভারা,	অনুস্বার,	
comoros,	কমোরোস,	কোমোরোস,	
kaatbey,	কাটবে,	কাটবে,	
phuda,	ফুডা,	ফুড,	
gate,	গ্যাট,	গ্যেটে,	
reflex,	রেফ্লেক্স,	রিফ্লেক্স,	
karmake,	কারমাকে,	কর্মকে,	
akhandota,	আখান্দতা,	অখণ্ডতা,	
amittrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
chakti,	চাকটি,	চাকতি,	
abhijitda,	অভিজিতদা,	অভিজিতদা,	
anektai,	আনেকটাই,	অনেকটাই,	
jounotar,	যৌনতার,	যৌনতার,	
sobrakomer,	সব্রাকোমের,	সবরকমের,	
vittio,	ভিত্তিও,	ভিত্তিও,	
manjushree,	মঞ্জুশ্রী,	মঞ্জুশ্রী,	
proteemar,	প্রতিমার,	প্রতিমার,	
dologuloo,	দলগুলোও,	দলগুলোও,	
soorsa,	সুরসা,	সোর্স,	
ekbakye,	একবাক্যে,	একবাক্যে,	
muchlima,	মুচলিমা,	মুছলিমা,	
hights,	হাইটস,	হাইটস,	
jamanataswarup,	জমনাতাস্বরূপ,	জামানতস্বরূপ,	
mahbunur,	মাহবুনুর,	মাহবুনুর,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
chaanoo,	চানু,	চানু,	
bohudin,	বহুদিন,	বহুদিন,	
shikhra,	শিখরা,	শিখরা,	
bhotomulyoke,	ভটমূল্যকে,	ভোটমূল্যকে,	
byaktigotovabeo,	ব্যক্তিগতভাবেও,	ব্যাক্তিগতভাবেও,	
paab,	পাব,	পাব,	
ajeejer,	আজিজের,	আজিজের,	
kartona,	কার্তনা,	করতনা,	
bahati,	বাহাটি,	বাহাতি,	
dhormoprobortokder,	ধর্মপ্রবর্তকদের,	ধর্মপ্রবর্তকদের,	
vandar,	ভান্ডার,	ভাণ্ডার,	
zommu,	জম্ু,	জম্মু,	
ebham,	এভাম,	ইভিএম,	
borendroke,	বরেন্দ্রকে,	বরেন্দ্রকে,	
guha,	গুহা,	গোহ,	
sthaponagulor,	স্থাপনাগুলোর,	স্থাপনাগুলোর,	
dakter,	ডাক্টার,	ডাকতের,	
torkarite,	তর্কারিতে,	তরকারিতে,	
shef,	শেফ,	শেফ,	
ghatleo,	ঘাতলেও,	ঘটলেও,	
feemalee,	ফেমালী,	ফিমেল,	
ghotolen,	ঘটলেন,	ঘটলেন,	
vins,	ভিনস,	ভিন্স,	
konorup,	কোনরূপ,	কোনরূপ,	
vool,	ভুল,	উল,	
nyata,	ন্যাটা,	ম্যাট,	
suparichito,	সুপারিচিত,	সুপরিচিত,	
uporitale,	উপরিতালে,	উপরিতলে,	
aosafur,	আওসাফুর,	আওশাফুর,	
ghumachchila,	ঘুমাচ্ছিলা,	ঘুমাচ্ছিল,	
sohinsotar,	সহিনসতার,	সহিংসতার,	
shahidputra,	শহিদপুত্র,	শহীদপুত্র,	
shuri,	শুরী,	সুরি,	
proshikkhane,	প্রশিক্ষাণে,	প্রশিক্ষণে,	
musalmani,	মুসলমানি,	মুসলমানই,	
somraatra,	সম্রাত্র,	সম্রাটরা,	
sainyader,	সৈন্যাদের,	সৈন্যদের,	
seeramiks,	সেরামিক্স,	সিরামিকস,	
noditei,	নদীতেই,	নদীতেই,	
grooth,	গ্রোথ,	গ্রোথ,	
