totokson,	তোটকসন,	ততক্ষন,	
uponishad,	উপনিষাদ,	উপনিষদ,	
bhoutikeshu,	ভৌতিকেশু,	ভৌতিকেষু,	
patigoniter,	পাতিগণিতের,	পাটিগণিতের,	
tanu,	তানু,	তনু,	
sikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
jacksoner,	জ্যাকসনের,	জ্যাকসনের,	
beekaargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
nanir,	নানির,	নানীর,	
brekethru,	ব্রেকেখুরু,	ব্রেকথ্রু,	
kamti,	কামটি,	কমতি,	
akeeb,	আকিব,	আকিব,	
panchasjan,	পঞ্চসগান,	পঞ্চাশজন,	
daacktickete,	ড্যাক্টিকেতে,	ডাকটিকিটে,	
prokolpogulor,	প্রকল্পগুলোর,	প্রকল্পগুলোর,	
swarther,	স্বার্থের,	স্বার্থের,	
kormokarer,	কর্মকারের,	কর্মকারের,	
byaktigotovabeo,	ব্যক্তিগতভাবেও,	ব্যাক্তিগতভাবেও,	
obharbhiu,	ওভারভি,	ওভারভিউ,	
saras,	সরাস,	সরস,	
pettern,	পেটার্ন,	প্যাটার্ন,	
torunosomriddho,	তরুণসমৃদ্ধ,	তরুণসমৃদ্ধ,	
dovaar,	দোভার,	ডোভার,	
bisheshshyer,	বিশেষ্যের,	বিশেষ্যের,	
sthaponagulo,	স্থাপনাগুলো,	স্থাপনাগুলো,	
antarctika,	অ্যান্টারক্কিকা,	অ্যান্টার্কটিকা,	
noiteekotar,	নৈটকিতার,	নৈতিকতার,	
reetesh,	রেতেশ,	রিতেশ,	
sorano,	সোরানো,	সরানো,	
emargency,	এমারজেন্সি,	এমার্জেন্সি,	
sonaicha,	সোনাইচা,	সোনাইচা,	
rilayensa,	রিলয়েন্,	রিলায়েন্স,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
ramchander,	রামচন্দের,	রামচন্দরের,	
bodhukeo,	বধুকেও,	বধুকেও,	
bolvodro,	বলভদ্র,	বলভদ্র,	
aborto,	অবর্ত,	আবর্ত,	
monir,	মনির,	মনির,	
fimela,	ফিমেলা,	ফিমেল,	
parikhar,	পরীখর,	পরিখার,	
paadee,	পাদি,	পাড়ে,	
purushika,	পুরুষিকা,	পুরুষিকা,	
golimodhye,	গোলিমধ্যে,	গলিমধ্যে,	
patininda,	পাতিনিন্দা,	পতিনিন্দ,	
horipur,	হরিপুর,	হরিপুর,	
byabaharkareederke,	ব্যবহারকারীদেরকে,	ব্যবহারকারীদেরকে,	
asovya,	অসভ্যা,	অসভ্য,	
lampot,	ল্যাম্পোট,	লম্পট,	
atmira,	আত্মীরা,	আত্মীরা,	
sithilotar,	সিথিলতার,	শিথিলতার,	
atighataner,	অতিঘাটনের,	অতিঘটনের,	
bhadaka,	ভাদাকা,	ভদকা,	
engrejer,	এনরেজ্রের,	ইংরেজের,	
bishashke,	বিশাসকে,	বিশ্বাসকে,	
amburi,	আম্বুরি,	আম্বুরি,	
bee,	বিআইআই,	বি,	
maritimer,	মারিটিমের,	মেরিটাইমের,	
soource,	সার্স,	সোর্স,	
manob,	মানব,	মানব,	
hugheke,	হুঘেকে,	হিউজকে,	
zommu,	জমমু,	জম্মু,	
marmaraa,	মারমারা,	মারমারা,	
piulir,	পিউলির,	পিউলির,	
pack,	প্যাক,	প্ল্যাক,	
gronther,	গ্রন্থের,	গ্রন্থের,	
muhaiminer,	মুহাইমিনের,	মুহাইমিনের,	
bibader,	বিবাদের,	বিবাদের,	
manohputa,	মনোহপুতা,	মনঃপুত,	
aamor,	আমোর,	আমর,	
shommoteer,	শম্মতির,	সম্মতির,	
prarthonakokkher,	প্রার্থনাক্ষের,	প্রার্থনাকক্ষের,	
bangladesh,	বাংলাদেশ,	বঙ্গালাদেস,	
besirvagei,	বেসিরভাগেই,	বেশিরভাগেই,	
akram,	আক্রাম,	আকরাম,	
neshnos,	নেশনস,	নেশনস,	
sardar,	সরদার,	সরদার,	
chaka,	চাকা,	চাকা,	
thailand,	থাইল্যান্ড,	থাইল্যান্ড,	
gondogol,	গণ্ডগল,	গন্ডগোল,	
mahbunur,	মাহবুনুর,	মাহবুনুর,	
croak,	ক্রোক,	ক্রোক,	
tennis,	টেনিস,	টেনিস,	
byabaharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
obdee,	ওব্দি,	অব্দি,	
dolu,	দোলু,	ডলু,	
goteehin,	গতিহীন,	গতিহীন,	
mishal,	মিশাল,	মিশাল,	
sectore,	সেক্টরে,	সেক্টরে,	
siraju,	সিরাজু,	সিরাজু,	
maudelder,	মাউডেল্ডের,	মডেলদের,	
mithener,	মিথেনের,	মিথেনের,	
hertj,	হার্টজ,	হার্জ,	
ucchosito,	উচ্চসিত,	উচ্ছসিত,	
johny,	জনহি,	জনি,	
soketgulor,	সোকেটগুলোর,	সকেটগুলোর,	
ukeliptash,	উউকেলিপ্তাশ,	ইউক্যালিপ্টাস,	
chenza,	চেঞ্জা,	চেঞ্জ,	
kinsa,	কিনসা,	কিংস,	
gandagol,	গান্দাগোল,	গন্ডগোল,	
mukhomondoler,	মুখমণ্ডলের,	মুখমণ্ডলের,	
janmat,	জানমাত,	জন্মাত,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
nirmankaaj,	নির্মানকাজ,	নির্মাণকাজ,	
vortuki,	ভর্তুকি,	ভর্তুকি,	
ramantic,	র্যামেন্টিক,	রোমান্টিক,	
rohosyoti,	রহষ্যতি,	রহস্যটি,	
kiandi,	কিয়ান্দি,	ক্যান্ডি,	
anyarup,	অন্যাূপ,	অন্যরূপ,	
chhon,	ছোন,	ছোঁ,	
chowdhurir,	চৌধুরির,	চৌধুরীর,	
durgatsober,	দুর্গাতসবের,	দুর্গোৎসবে,	
shrichaitanyadev,	শ্রীচাতত্যাদেব,	শ্রীচৈতন্যদেব,	
nodimatrik,	নোদিমাত্রিক,	নদীমাতৃক,	
logic,	লোজিক,	লজিক,	
samajikatar,	সমাজিকতার,	সামাজিকতার,	
sheshardhe,	শেষার্ধে,	শেষার্ধে,	
residence,	রেসিডেন্সে,	রেসিডেন্স,	
motke,	মোককে,	মতকে,	
shithilata,	শিথিলতা,	শিথিলতা,	
monjurul,	মঞ্জুরুল,	মনজুরুল,	
amanisha,	আমানিশা,	অমানিশা,	
fokskon,	ফকস্কন,	ফক্সকন,	
elakatikay,	এলাকাটিকা,	এলাকাটিকে,	
foolkopi,	ফুলকোপি,	ফুলকপি,	
sallallahu,	সাল্লাল্লাহু,	সল্লাল্লাহু,	
bonbhumi,	বনভুমি,	বনভূমি,	
protinito,	প্রতিনিত,	প্রতিনিত,	
uporitale,	উপরিতালে,	উপরিতলে,	
rajyotiro,	রাজ্যটিরও,	রাজ্যটিরও,	
karecho,	কারেছো,	করেছো,	
gemske,	জেমসকে,	জেমসকে,	
gobeshakgon,	গবেষাকগণ,	গবেষকগণ,	
shulfate,	শুলফাটে,	সালফেট,	
neker,	নেকের,	নেকের,	
uter,	উতের,	উটের,	
summer,	সুমার,	সামার,	
machgulo,	মাছগুলো,	মাছগুলো,	
sharif,	শরীফ,	শরিফ,	
tasminer,	তাসমিনের,	তাসমিনের,	
tinhazar,	তিনহাজার,	তিনহাজার,	
pachattar,	পাচাত্তার,	পাচাত্তার,	
uponeesoder,	উপনিসদের,	উপনিষদের,	
kaaferder,	কাফেরদের,	কাফেরদের,	
siddhanto,	সিদ্ধান্ত,	সিদ্ধান্তও,	
dimbacriti,	ডিম্বাকরিটি,	ডিম্বাকৃতি,	
dikpal,	দিকপাল,	দিকপাল,	
gobeshokgon,	গবেষকগণ,	গবেষকগণ,	
songbadmadhyomer,	সংবাদমাধ্যমের,	সংবাদমাধ্যমের,	
janamukhi,	জানামুখী,	জনমুখী,	
bokul,	বোকুল,	বকুল,	
ala,	আলা,	আলা,	
jotinkey,	জটিনকে,	যতীনকে,	
kichudinpar,	কিছুদিনপার,	কিছুদিনপর,	
dankaan,	দানকান,	ডানকান,	
moushum,	মৌশুম,	মৌসুম,	
lendol,	লেন্ডল,	লেন্ডল,	
municipal,	মুনিসিপাল,	মিউনিসিপ্যাল,	
ciima,	সিইমা,	সীমা,	
ghumachche,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
brixfield,	ব্রিক্ফিল্ড,	ব্রিক্সফিল্ড,	
khamotagulor,	ক্ষাততগুলোর,	ক্ষমতাগুলোর,	
siitei,	সিইতেই,	শীতেই,	
vorkendra,	ভরকেন্দ্রের,	ভরকেন্দ্র,	
societytey,	সোিয়েটি,	সোসাইটিতে,	
uttor,	উত্তর,	উওর,	
jorury,	জোরুরি,	জরূরী,	
birishiritey,	বিরিশিরিতে,	বিরিশিরিতে,	
mmadhukkori,	ম্যামধুকরি,	মাধুকরী,	
direqtareta,	দীরেক্টারেতা,	ডিরেক্টরেট,	
shhow,	শুয়,	শো,	
lakshmir,	লক্ষ্মীর,	লক্ষ্মীর,	
horas,	হোরাস,	হোরাস,	
bhagnekeo,	ভাগনেকেও,	ভাগ্নেকেও,	
pisach,	পিসাচ,	পিশাচ,	
ajibooner,	আজিবুনের,	আজীবনের,	
kharar,	খারার,	খরার,	
debeting,	ডেবেটিং,	ডিবেটিং,	
niropekkho,	নিরপপেক্ষ,	নিরপেক্ষ,	
dwijenbabuder,	দ্বিজেনবাবুদের,	দ্বিজেনবাবুদের,	
ruptan,	রূপ্তান,	রূপটান,	
teamothy,	টিমোটি,	টিমোথি,	
sector,	সেক্টর,	সেক্টর,	
taunsheep,	তাউনশীপ,	টাউনশিপ,	
fasi,	ফাসি,	ফাঁসী,	
bhenkates,	ভেঙ্কেটেস,	ভেঙ্কটেশ,	
duio,	দুইও,	দুইও,	
kaalki,	কালকি,	কালকি,	
dhhaloor,	ঢালুর,	ঢালুর,	
melborrone,	মেলবররোনে,	মেলবোর্নে,	
padee,	পাডি,	পাড়ে,	
proshtutkarok,	প্রস্তুতকারক,	প্রস্তুতকারক,	
jonosomaj,	জনসমাজ,	জনসমাজ,	
bakhyateet,	বাখ্যাটিত,	ব্যাখ্যাতীত,	
kooshumba,	কুশম্বা,	কুশুম্বা,	
ganokantha,	গণকাঠা,	গণকণ্ঠ,	
khanonkaj,	খানোকাজ,	খননকাজ,	
satjaner,	সতজানের,	সাতজনের,	
ishahak,	ইশাহক,	ইসাহাক,	
deares,	ডিয়ারেস,	ডিআরএস,	
jalbe,	জলবে,	জ্বলবে,	
kormoi,	কর্মই,	কর্মই,	
ap,	এপিপ,	আপ,	
ceramiksh,	সেরামিক্ষ,	সিরামিকস,	
adarsho,	আদর্শ,	আর্দশ,	
gandhike,	গা্ধীকে,	গান্ধীকে,	
falak,	ফালাক,	ফলক,	
nariderke,	নারিদেরকে,	নারিদেরকে,	
saarbhaarti,	সারভারটি,	সার্ভারটি,	
mukhoshdharir,	মুখোশধারীর,	মুখোশধারীর,	
bujhtepari,	বুঝতেপারী,	বুঝতেপারি,	
bosonte,	বসন্তে,	বসন্তে,	
madaspushto,	মাদাপসূষ্ট,	মদদপুষ্ট,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
poscime,	পশ্িম,	পশ্চিমে,	
varote,	ভারোতে,	ভারতে,	
daktikit,	ডক্তিকিত,	ডাকটিকিট,	
uindos,	উইন্ডস,	উইন্ডোস,	
prachirer,	প্রাচিরের,	প্রাচিরের,	
eshtoniya,	এসতনীয়া,	এস্তোনিয়া,	
bonnypran,	বন্নিপ্রাণ,	বন্যপ্রাণ,	
adhikartai,	অধিকর্তাই,	অধিকর্তাই,	
karmakarke,	কর্মকররকে,	কর্মকারকে,	
krema,	ক্রেমা,	ক্রাইম,	
jotsna,	জোটসনা,	জ্যোৎস্না,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
purohitder,	পুরোহিতদের,	পুরোহিতদের,	
nirapattamulok,	নিরাপত্তামূলক,	নিরাপত্তামূলক,	
laicenshe,	লেইসেন্শে,	লাইসেন্স,	
grambasheeo,	গ্রামবাশেও,	গ্রামবাসীও,	
fol,	ফোল,	ফল,	
jeebonnogor,	জীবন্গগর,	জীবননগর,	
dokan,	দোকান,	দোকান,	
tyapa,	ত্যাপা,	ট্যাপ,	
sokkhomotabriddhi,	সক্ষমতার্ৃদ্ধি,	সক্ষমতাবৃদ্ধি,	
injiniyarim,	ইনজিনিয়ারিম,	ইঞ্জিনিয়ারিং,	
kanshater,	কাশশতের,	কানসাটের,	
kanar,	কানার,	কণার,	
fooloo,	ফুলো,	পোলো,	
otyacharito,	অত্যাচারিত,	অত্যাচারিত,	
pujit,	পুজিত,	পুজিত,	
ruby,	রুবি,	রুবী,	
dakshinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
with,	উইথ,	ভিত,	
kramp,	ক্রাম্প,	ক্র্যাম্প,	
tata,	তাতা,	তাতা,	
pragreesa,	প্রগ্রিস,	প্রগ্রেস,	
mawdeel,	মাউজিল,	মডেল,	
lyaandeeng,	ল্যান্ডিং,	ল্যান্ডিং,	
graambaasheeo,	গ্রামবাশিও,	গ্রামবাসীও,	
chaudhurio,	চাধুরিও,	চৌধুরীও,	
balakarak,	বালাকারক,	বলকারক,	
kram,	ক্রাম,	ক্রম,	
dipankar,	দীপাঙ্কার,	দিপঙ্কর,	
hock,	হক,	হুক,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
mahasava,	মহাসাভা,	মহাসভা,	
oncholshomuh,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
protishtan,	প্রতিষ্টান,	প্রতিষ্টান,	
pushtee,	পুশতি,	পুষ্টি,	
rajnikant,	রাজনিকান্ত,	রাজনীকান্ত,	
nothibhukta,	নথিভুক্ত,	নথিভুক্ত,	
mosjidtir,	মসজিদটির,	মসজিদটির,	
gardeen,	গার্ডিন,	গার্ডেন,	
ssahocorze,	স্বাহরকজে,	সাহচর্যে,	
mooney,	মুনে,	মুনে,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
naazee,	নাজী,	নাত্সি,	
cheekitshar,	চিকিৎশার,	চিকিত্সার,	
bahati,	বাহাতি,	বাহাতি,	
gore,	গোরে,	গোর,	
chaudhuriyo,	চৌধুরিও,	চৌধুরীও,	
kanasarabheeshana,	কাসর্ভিষণ,	কনসারভেশন,	
sangram,	সংগ্রাম,	সঙ্গ্রাম,	
sofie,	সফিয়,	সোফি,	
hilser,	হিলসের,	হিলসের,	
vabnakey,	ভব্নাকে,	ভাবনাকে,	
prithibir,	পৃথিবির,	পৃথবীর,	
taronee,	তারণী,	তরণী,	
atmiyasulabh,	আত্মিবালুভা,	আত্মীয়সুলভ,	
mandope,	মাণ্ডোপে,	মন্ডপে,	
kailashrao,	কাইলশ্রও,	কৈলাশরাও,	
smarok,	স্মারক,	স্মারক,	
sthaponagulor,	স্থাপনাগুলোর,	স্থাপনাগুলোর,	
chhutir,	ছুটির,	ছুটির,	
chhotogolper,	ছোটগল্পের,	ছোটগল্পের,	
comoros,	কমোরোস,	কোমোরোস,	
pluck,	প্লাক,	প্ল্যাক,	
nehle,	নেহলে,	নেহলে,	
angkita,	অঙ্কিতা,	অঙ্কিতা,	
hepatitis,	হেপাটিটিস,	হেপাটাইটিস,	
tahorir,	তাহোরীর,	তাহরীর,	
farhetin,	ফারেটিন,	ফারহেতিন,	
manibhaijaner,	মনিভাজানের,	মণিভাইজানের,	
uddharkarmirai,	উদ্ধর্ক্মেরাই,	উদ্ধারকর্মীরাই,	
alaul,	আলাউল,	আলাওল,	
lagchhe,	লাগছে,	লাগছে,	
headquartus,	হেডকাকার্টাস,	হেডকোয়ার্টাস,	
carlosh,	কার্লোশ,	কার্লোস,	
shipley,	শিপলে,	শিপলে,	
baibasthaar,	বৈবস্থার,	ব্যবস্থার,	
modhyekar,	মধ্যেকার,	মধ্যেকার,	
shikhra,	শিখরা,	শিখরা,	
phareeksa,	ফরিকসা,	ফরেক্স,	
monzushree,	মন্জশুরী,	মঞ্জুশ্রী,	
seconder,	সেকন্ডার,	সেকেন্ডের,	
parshwer,	পার্শ্বের,	পার্শ্বের,	
shhepha,	শেফা,	শেফ,	
otyacharer,	অত্যাচরের,	অত্যাচারের,	
juktorashtreo,	যুক্তরাশ্ত্রেও,	যুক্তরাষ্ট্রেও,	
charpanch,	চরপাঙ্চ,	চারপাঁচ,	
onurbar,	অনুর্বার,	অনুর্বর,	
songrahak,	সংগ্রহক,	সংগ্রাহক,	
khali,	খালি,	খালি,	
shahurgulor,	শহুরগুলোর,	শহুরগুলোর,	
iuro,	ইউরো,	ইউরো,	
biplabee,	বিপ্লবি,	বিপ্লবী,	
besur,	বেসুর,	বেসুর,	
aakaabar,	আকাবার,	আকাবার,	
lopjonito,	লোপজনিত,	লোপজনিত,	
tigmanshu,	তিগমানশু,	তিগমংশু,	
ponchaasjon,	পঞ্চাসজন,	পঞ্চাশজন,	
kindom,	কিন্দোম,	কিংডম,	
kareer,	কারীর,	কারীর,	
bedanta,	বেদান্ত,	বেদান্ত,	
qara,	কারা,	কর,	
rachanakal,	রচনাকাল,	রচনাকাল,	
shomostigoto,	শমস্তিগত,	সমষ্টিগত,	
upbasher,	উপবাশের,	উপবাসের,	
goora,	গুরা,	গোর,	
perri,	পেরি,	পেরি,	
dipke,	দিপকে,	দ্বীপকে,	
eucalyptus,	ইউক্ল্যাপিটস,	ইউক্যালিপ্টাস,	
ateetkale,	অতিতকালে,	অতীতকালে,	
grambaashio,	গ্রামবাশিও,	গ্রামবাসীও,	
mile,	মিলে,	মিলে,	
moreecha,	মরিচ্ছা,	মরিচা,	
shrimoti,	শ্রীমতি,	শ্রীমতি,	
jontrangshogulor,	যন্ত্রাংশগুলোর,	যন্ত্রাংশগুলোর,	
phiksim,	ফিকসিম,	ফিক্সিং,	
gate,	গাতে,	গ্যেটে,	
chheher,	ছেহের,	ছেহের,	
bidghootey,	বিডঘোটে,	বিদঘুটে,	
byan,	ব্যান,	ব্যাং,	
sobaiderke,	সোবাইদেরকে,	সবাইদেরকে,	
sahooseekotar,	সহসীকতার,	সাহসিকতার,	
chalai,	চালাই,	চালাবে,	
chalochchitreer,	চালচ্ছিত্রীর,	চলচ্চিত্রের,	
gagee,	গগী,	গেজ,	
ashociatesh,	অশোচিয়াতেশ,	এসোসিয়েটস,	
naobihar,	নওবিহার,	নৌবিহার,	
amar,	আমার,	আমর,	
suparahiro,	সুপারাহীরও,	সুপারহিরো,	
toki,	তোকি,	তকি,	
nationalser,	ন্যাটনালের,	ন্যাশনালসের,	
chilahatee,	চিলাহাটি,	চিলাহাটি,	
assaciates,	অ্যাসিকিটেটেজ,	এসোসিয়েটস,	
graambaashio,	গ্রামবাশিও,	গ্রামবাসীও,	
deejeejer,	দিজিজের,	ডিজিজের,	
deil,	দেইল,	ডেইল,	
ongkush,	অংকুশ,	অংকুশ,	
hariken,	হরিকেন,	হ্যারিকেন,	
abhiyojan,	অভিযোজন,	অভিযোজন,	
monzeele,	মঞ্জিলে,	মঞ্জিলে,	
janghu,	জাংহু,	জঙ্ঘু,	
swadhinotatukui,	স্বাধীনতাটুকুই,	স্বাধীনতাটুকুই,	
chandrima,	চন্দ্রীমা,	চন্দ্রিমা,	
hypar,	হাইপার,	হাইপার,	
champa,	চামপা,	চাঁপা,	
booroon,	বুরোন,	বোরন,	
mohit,	মহিত,	মুহিত,	
vogiroth,	ভোগিরোথ,	ভগীরথ,	
sahittekder,	সাহিত্যেকদের,	সাহিত্যেকদের,	
chaanoo,	চানুও,	চানু,	
mirakela,	মিরাকেলা,	মিরাকেল,	
suhasini,	সুহাসিনী,	সুহাসিনী,	
rakkhandurga,	রক্ষণদুরগা,	রক্ষণদুর্গ,	
asovyo,	অসভ্য,	অসভ্য,	
shikshagato,	শিক্ষাত,	শিক্ষাগত,	
sylvi,	সিলভি,	সিলভি,	
rahimed,	রহিমেদ,	রহিমেদ,	
raia,	রায়াই,	রায়,	
abhidhaaner,	অভিধানের,	অভিধানের,	
hondooras,	হন্ডোরাস,	হন্ডুরাস,	
jaandrel,	জান্ড্রেল,	জাঁদরেল,	
teentir,	টিন্টির,	তিনটির,	
tikto,	টিকটো,	তিক্ত,	
venisey,	ভেনিসে,	ভেনিসে,	
tantubayer,	তান্তুবায়ের,	তন্তুবায়ের,	
kaash,	কাশ,	কাস,	
platform,	প্ল্যাটফর্ম,	প্লাটফর্ম,	
edseler,	এডসেলের,	এডসেলের,	
parqim,	পারকিম,	পার্কিং,	
jounatar,	যৌনতার,	যৌনতার,	
laishenshim,	লৈশেনশিম,	লাইসেন্সিং,	
cholochchitratike,	চলচ্চিত্রাটিকে,	চলচ্চিত্রটিকে,	
sikarer,	সিকারের,	শিকারের,	
charban,	চরবান,	চর্বন,	
rca,	আরসিএ,	আরসিএ,	
swostir,	স্বস্তির,	স্বস্তির,	
dooburira,	দুবুরীরা,	ডুবুরিরা,	
sahachke,	সাচাকে,	সাহাচকে,	
mahafezkhanar,	মহাফেখখানার,	মহাফেজখানার,	
kanshat,	কাশশত,	কানসাট,	
shikshagata,	শিক্ষাত,	শিক্ষাগত,	
uzobekeestaan,	উজবেকিস্তান,	উজবেকিস্তান,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
aatmobishwasi,	আত্মবিশ্বাসী,	আত্মবিশ্বাসী,	
tintir,	তিনটির,	তিনটির,	
aagera,	আজেরা,	আগোরা,	
kalkarkhana,	কলকরখানা,	কলকারখানা,	
shhikara,	শিকারা,	শিকার,	
sobrakamer,	সব্রকামের,	সবরকমের,	
nirbahi,	নির্বাহী,	নির্বাহি,	
rakkhanvag,	রক্ষণভাগ,	রক্ষণভাগ,	
abhidhaaneeck,	অভিধানিক,	অভিধানিক,	
phokser,	ফকসের,	ফক্সের,	
poripaker,	পরিপাকের,	পরিপাকের,	
swastir,	স্বস্তির,	স্বস্তির,	
chapal,	চাপাল,	চপল,	
ujbekistaner,	উজবেকিস্তানের,	উজবেকিস্তানের,	
ancholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
shorifer,	শরিফের,	শরিফের,	
rahee,	রাহী,	রাহি,	
cholochchitra,	চলচ্চিত্রা,	চলচ্চিত্র,	
horidwar,	হরিদ্বার,	হরিদ্বার,	
heze,	হেজে,	হেজ,	
sucre,	সাকরে,	সাকার,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
elbamtite,	এলবামটিতে,	এলবামটিতে,	
jokkher,	জক্ষের,	যক্ষের,	
patengar,	পাটেঙ্গার,	পতেঙ্গার,	
parqa,	পারকা,	পার্ক,	
pothon,	পথন,	পঠন,	
