bhenasha,	ভেনাশা,	ভেনাস,	
laagche,	লাগছে,	লাগছে,	
elakasoho,	এলাকাসহ,	এলাকাসহ,	
kheshar,	খেশার,	খেশার,	
prachando,	প্রাচাণ্ড,	প্রচণ্ড,	
soheensotar,	সহিনসতার,	সহিংসতার,	
inziniyarsa,	ইঞ্জিনিয়ারসসা,	ইঞ্জিনিয়ার্স,	
rajyabhogi,	রাজ্যভোগী,	রাজ্যভোগী,	
shahanara,	শাহানারা,	শাহানারা,	
pustir,	পুস্তির,	পুষ্টির,	
bakhyateet,	বাযাখ্যাটিত,	ব্যাখ্যাতীত,	
shlok,	শ্লোক,	শ্লোক,	
bayshorkarikarone,	বাযস্ররকীরণকরণে,	বেসরকারিকরণ,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
anektai,	অনেকটাই,	অনেকটাই,	
bokul,	বকুল,	বকুল,	
primoo,	প্রিমও,	প্রিমো,	
protyokkhovabey,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
ruble,	রাবল,	রুবল,	
alaul,	আলাউল,	আলাওল,	
jaunotar,	যৌনতার,	যৌনতার,	
title,	টিটল,	টাইটেল,	
chikkingsasoho,	চিক্কিংবাসহ,	চিকিংসাসহ,	
lampot,	লাম্পট,	লম্পট,	
senabahineeow,	সেনাবাহিনভ,	সেনাবাহিনীও,	
chokrantosoho,	চক্রান্তসহ,	চক্রান্তসহ,	
aro,	আরো,	আরও,	
nischitobhave,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
masto,	মাস্তো,	মাস্ত,	
nirvachokder,	নির্বাচকদের,	নির্বাচকদের,	
goteehin,	গতিহীন,	গতিহীন,	
mahakabi,	মহাকাবী,	মহাকবি,	
vabuk,	ভাবুক,	ভাবুক,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
goodamjato,	গুদামজাত,	গুদামজাত,	
ved,	ভেড,	বেদ,	
danakana,	দনকানা,	ডানকান,	
fud,	ফুড,	ফুড,	
chirkut,	চিরকুট,	চিরকুট,	
bahubar,	বাহুবার,	বহুবার,	
samajik,	সামাজিক,	সামাজিক,	
taroni,	তারনি,	তরণী,	
ovidhaner,	অভিধানের,	অভিধানের,	
teunar,	টেউনার,	টিউনার,	
yaq,	যাক,	ইয়াক,	
kruser,	ক্রুসের,	ক্রুশের,	
vandar,	ভান্ডার,	ভাণ্ডার,	
chalaabi,	চালাবি,	চালাবে,	
neshnosh,	নেশনোষ,	নেশনস,	
mukhya,	মুখ্যা,	মুখ্য,	
edmiral,	এদমিরাল,	এডমিরাল,	
chyeta,	চ্যেট,	চ্যাট,	
bhittiti,	ভিত্তিটি,	ভিত্তিটি,	
oncholshomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
miraqela,	মিরাকেলা,	মিরাকেল,	
diiptii,	দিপপ্তিই,	ডেপুটি,	
bhageri,	ভাগেরি,	ভাগেরই,	
souripurang,	সৌরিপূর্ং,	সৌরিপুরং,	
sheshdinti,	শেষদিনটি,	শেষদিনটি,	
noiteek,	নৈটিক,	নৈতিক,	
mythological,	ম্থোলোজিক্যাল,	মাইথলজিকাল,	
hillse,	হিলসে,	হিলসে,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
mane,	ম্যান,	মানে,	
monjooshree,	মঞ্জর্ষী,	মঞ্জুশ্রী,	
bhushito,	ভূষিত,	ভূষিত,	
graminphonor,	গ্রামিনপনুর,	গ্রামীণফোনর,	
dormitory,	ডরমিটরী,	ডরমিটরি,	
blyaka,	ব্লেয়াকা,	ব্ল্যাক,	
towraat,	টোবরাট,	তওরাত,	
sadeep,	সাদীপ,	সদীপ,	
byabostho,	ব্যবস্থ,	ব্যাবস্থা,	
madhnagar,	মধনগর,	মাধনগরের,	
basermick,	বেসরর্মিক্স,	বেসারমিক,	
mirakela,	মিরাকেলা,	মিরাকেল,	
ahalyar,	অহল্যার,	অহল্যার,	
shchalastic,	স্কালাস্টিক,	স্কলাস্টিক,	
premoronge,	প্রেমরণ্গে,	প্রেমরঙে,	
taitela,	তাইতেলা,	টাইটেল,	
senabahinikey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
bhogni,	ভগ্নি,	ভগ্নী,	
carlos,	কারলোোস,	কার্লোস,	
bishwaashshoi,	বিশ্বশ্বই,	বিশ্বাসই,	
breakthrough,	ব্রেক্ষরুঘ্,	ব্রেকথ্রু,	
vabaponno,	ভববপন্ন,	ভাবাপন্ন,	
durgotsabe,	দুর্গোৎসবে,	দুর্গোৎসবে,	
farid,	ফারিদ,	ফরিদ,	
popaike,	পোপাইকে,	পপাইকে,	
itastata,	ইটাসটাটা,	ইতস্তত,	
okritokarjo,	অকৃতকার্য্য,	অকৃতকার্য,	
phiqsa,	ফিকেস,	ফিক্স,	
abosan,	অবসান,	অবসান,	
residence,	রেসিডেন্সে,	রেসিডেন্স,	
infarmatian,	ইনফারমেটন,	ইনফরমেশন,	
billaho,	বিল্লাহ,	বিল্লাহ,	
bhejaano,	ভেজানো,	ভেজানো,	
drissogoolote,	দৃকশগুলোতে,	দৃশ্যগুলোতে,	
chhon,	ছন,	ছোঁ,	
eoki,	ইওকি,	এওকি,	
dubureer,	ডুবুরির,	ডুবুরির,	
dwipke,	দ্বিপকে,	দ্বীপকে,	
mashtarsha,	মাষ্টার্শা,	মাস্টার্স,	
nutunotto,	নুতুনত্ব,	নতুনত্ব,	
sosoa,	সোসো,	শশা,	
deobonde,	দেওবন্দে,	দেওবন্দে,	
bikretara,	বিক্রেতারা,	বিক্রেতারা,	
nagorikra,	নাগরিকরা,	নাগরিকরা,	
supplenza,	সাপলেনজেজা,	সাপলেঞ্জা,	
debate,	দেবাতে,	ডিবেট,	
dhwajbhango,	ধ্বাভগঙ্গ,	ধ্বজভঙ্গ,	
pronoti,	প্রণতি,	প্রণতি,	
chiroharit,	চিরোহারিত,	চিরহরিৎ,	
jontrangshogulor,	যন্ত্রাংশগুলোর,	যন্ত্রাংশগুলোর,	
fanse,	ফ্যান্সে,	ফাঁসে,	
shasankorta,	শাসনকর্তা,	শাসনকর্তা,	
rodney,	রডনে,	রেডনি,	
bulan,	বুলান,	বুলান,	
protijogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
kanasarabheeshana,	কনসরাশেশন,	কনসারভেশন,	
chupani,	চুপানী,	চুপানি,	
shingping,	শিংফিং,	শিংপিং,	
nili,	নিলী,	নিলি,	
zoojyota,	যোযজ্যতা,	যোজ্যতা,	
jerushalema,	জেরুশালেমা,	জেরুসালেম,	
muktijuddhojato,	মুক্তিযুদ্ধতাও,	মুক্তিযুদ্ধজাত,	
mukharji,	মুখররজি,	মুখার্জী,	
nirbaahe,	নির্বাহে,	নির্বাহে,	
makhno,	মাখনো,	মাখনো,	
balokarak,	বালোকারক,	বলকারক,	
kosambir,	কোসাম্বীর,	কোসাম্বীর,	
mehsus,	মেহসুস,	মেহসুস,	
dinifitian,	ডিনিফিটিয়ান,	ডেফিনেশন,	
saramukhe,	সরমুখে,	সারামুখে,	
feemalee,	ফিমলে,	ফিমেল,	
drishyer,	দৃশ্যের,	দৃশ্যের,	
bayii,	বাইয়ি,	বাঈ,	
adorsho,	আদর্শ,	আর্দশ,	
rananganey,	রণাঙ্গনে,	রণাঙ্গনে,	
creshcent,	ক্রিসেন্ট,	ক্রিসেন্ট,	
siraju,	সিরাজু,	সিরাজু,	
ghomta,	ঘোমটা,	ঘোমটা,	
panchashjan,	পঞ্চাশ্যন,	পঞ্চাশজন,	
graambasheeo,	গ্রামবাশেও,	গ্রামবাসীও,	
srisri,	শ্রীশ্রি,	শ্রীশ্রী,	
punorabortonte,	পুনরাবর্তন্তে,	পুনরাবর্তন্তে,	
bhenom,	ভেনম,	ভেনম,	
purbanchaler,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
dacope,	ডাকোপ,	দাকোপ,	
shattoki,	শাত্তকী,	সাত্যকি,	
priseflex,	প্রাইসফিল্সক,	প্রাইজফ্লেক্স,	
minister,	মিনিস্টার,	মিনিস্টার,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
aziza,	আজিজা,	আজিজা,	
balatkar,	বালাটকর,	বলাৎকার,	
kinsa,	কিনস,	কিংস,	
bee,	বীইই,	বি,	
iling,	ইলিং,	ইলিং,	
capsule,	ক্যাপসুল,	ক্যাপ্সুল,	
mukhabandha,	মুখবন্ধ,	মুখবন্ধ,	
dooburira,	দুবুরিরা,	ডুবুরিরা,	
makong,	মাকং,	মেকং,	
attorkite,	আত্তরকিতে,	অতর্কিতে,	
jeelyaand,	জিল্যান্দ,	জিল্যান্ড,	
catholicbad,	ক্যাথলিবাদ,	ক্যাথলিকবাদ,	
chinto,	চিন্তো,	চিনতো,	
kade,	কাড়ে,	কোড,	
ratishilatai,	রতিশীলতাই,	রতিশীলতায়,	
bosonte,	বসন্তে,	বসন্তে,	
probhura,	প্রভুরা,	প্রভুরা,	
aarke,	আরকে,	আরকে,	
beam,	বিয়াম,	বিম,	
aamoode,	আমোদে,	আমুদে,	
parking,	পারকিং,	পার্কিং,	
shasankarta,	শাসনকর্তা,	শাসনকর্তা,	
volivoler,	ভলিভলের,	ভলিভলের,	
poriikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
kul,	কুল,	কুল,	
qarlosa,	কারলোসা,	কার্লোস,	
reetesh,	রিতেশ,	রিতেশ,	
fibergulote,	ফাইবারগুলোতে,	ফাইবারগুলোতে,	
brekthrough,	ব্রেকৃতগুধ,	ব্রেকথ্রু,	
shahoshikatar,	শাহসিকতার,	সাহসিকতার,	
manushti,	মানুষ্টি,	মানুষটি,	
kamti,	কামটি,	কমতি,	
kormoke,	কর্মকে,	কর্মকে,	
dip,	ডিপ,	দীপ,	
gazetted,	গ্যাজেট্ডে,	গেজেটেড,	
coons,	কুন্স,	কুনস,	
rezidence,	রেজিডেন্সে,	রেসিডেন্স,	
bouddho,	বৌদ্ধ,	বৌদ্ধ,	
prity,	প্রিযি,	প্রিটি,	
sommotite,	সম্মতিতে,	সম্মতিতে,	
abadamoner,	আবাদামনের,	অবদমনের,	
jaandrel,	যাঁদ্রেল,	জাঁদরেল,	
khalidkay,	খলিকদা,	খালিদকে,	
doorger,	দুর্গের,	দুর্গের,	
charban,	চারবান,	চর্বন,	
pretti,	প্রেট্টি,	প্রিটি,	
shamijir,	শামিজীর,	স্বামীজীর,	
eshtonia,	এষ্টনিয়া,	এস্তোনিয়া,	
europia,	ইউরোপিয়া,	ইউরোপিয়া,	
durarohini,	দুরারোহিনী,	দুরারোহিণী,	
dokaangulotey,	ডোকানগুলোতে,	দোকানগুলোতে,	
hilser,	হিলসার,	হিলসের,	
nisader,	নিসাদের,	নিষাদের,	
teman,	টেম্যান,	তেমন,	
poripake,	পরিপাকে,	পরিপাকে,	
aizulke,	আইজুলকে,	আইজুলকে,	
volapuk,	ভোলাপুক,	ভোলাপুক,	
porinoti,	পরিণতি,	পরিণতি,	
jibnagore,	জীবনাগরে,	জীবননগর,	
pleto,	প্লেটো,	প্লেটো,	
gorrer,	গোরের,	গোরের,	
dwibidho,	দ্বিবিধো,	দ্বিবিধ,	
tookrote,	টুকরোট,	টুকরোতে,	
onker,	অঙ্কের,	ওঙ্কার,	
review,	রেভিউ,	রিভিউও,	
rajbondir,	রাজবন্দির,	রাজবন্দীর,	
suiza,	সুইজা,	সুইজা,	
qarqa,	কারকা,	কার্ক,	
osoborno,	অসবর্ণ,	অসবর্ণ,	
addabaj,	আড্ডাবাজ,	আড্ডাবাজ,	
fimela,	ফাইমলা,	ফিমেল,	
domone,	ডমনে,	দমনে,	
firozaa,	ফিরোজা,	ফিরোজা,	
mitroder,	মিত্রোদের,	মিত্রদের,	
patishapta,	পাটিশাপ্ত,	পাটিসাপটা,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
smarok,	স্মারক,	স্মারক,	
dhanijomite,	ধনিজমিতে,	ধানিজমিতে,	
manohputa,	মনোহপুতা,	মনঃপুত,	
oxforde,	ওক্সফোর্ডে,	অক্সফোর্ডে,	
mitrata,	মিত্রাটা,	মিত্রতা,	
pinogbagke,	পিনবগাগকে,	পিনগবাগকে,	
konagoolo,	কোনাগুলো,	কণাগুলো,	
mekong,	মেকং,	মেকং,	
akatwa,	আকাত্ব,	একাত্ব,	
ghoomachhe,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
musabbirul,	মুসাববিরুল,	মুসাব্বিরুল,	
krus,	ক্রুস,	ক্রুশ,	
sazanor,	সাজানোর,	সাজানোর,	
blacq,	ব্ল্যাক,	ব্ল্যাক,	
bojata,	বোজাতা,	বোজাটা,	
qraima,	ক্রেইমা,	ক্রাইম,	
naabyota,	নব্যতা,	নাব্যতা,	
riphleksa,	রিপলেককা,	রিফ্লেক্স,	
graambasider,	গ্রামবাসিদের,	গ্রামবাসীদের,	
sethai,	সেথাই,	সেথাই,	
doneta,	দোনেটা,	ডোনাট,	
harbur,	হারবুর,	হারবার,	
kotibondhe,	কতিবন্ধে,	কটিবন্ধে,	
meshintao,	মেশিনটাও,	মেশিনটাও,	
ghetu,	ঘেটু,	ঘেটু,	
hughkey,	হুথকে,	হিউজকে,	
rajotta,	রাজট্ব,	রাজত্ব,	
reshidensha,	রেশিদেনশা,	রেসিডেন্স,	
neker,	নেকের,	নেকের,	
pleta,	প্লেটা,	প্লেটো,	
asommoti,	অসম্মতি,	অসম্মতি,	
utshahomulok,	উৎ্াহমূলক,	উৎসাহমূলক,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
maunchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
pleeta,	প্লেট,	প্লেট,	
zommu,	জম্বু,	জম্মু,	
aqram,	আকরাম,	আকরাম,	
engrejra,	এংরেজরা,	ইংরেজরা,	
bhagnekeo,	ভাগনেকেও,	ভাগ্নেকেও,	
ekbai,	একবাই,	একবাই,	
bairey,	বেইরে,	বাইরে,	
audioguloke,	অডিওগুলোকে,	অডিওগুলোকে,	
madrasake,	মাদ্রাসাকে,	মাদ্রাসাকে,	
dhormokorme,	ধর্মকর্মে,	ধর্মকর্মে,	
pray,	প্রি,	প্রায়,	
karmazog,	কারমাজোগ,	কর্মযোগ,	
rajtontre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
nodimaatrik,	নোীমাতার্দিক,	নদীমাতৃক,	
siramikasa,	সিরামিকাসা,	সিরামিকস,	
quartar,	কোয়ারতার,	কোয়ার্টার,	
upobasee,	উপবাসী,	উপবাসী,	
alimpiqa,	আলিম্পিকা,	অলিম্পিক,	
besur,	বেসুর,	বেসুর,	
brittakare,	বৃত্তকারে,	বৃত্তাকারে,	
aaireshe,	আইরেশে,	আইরেসে,	
stoic,	স্টোইক,	স্টোয়িক,	
chetanagoto,	চেতানগত,	চেতনাগত,	
jonomukhi,	জনমুখি,	জনমুখী,	
prokolpotike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
moushumei,	মৌশুমেই,	মৌসুমেই,	
konorup,	কোনরূপ,	কোনরূপ,	
buddhitii,	বুদ্ধিটিই,	বুদ্ধিটিই,	
pratijogider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
marodeho,	মারোদেহ,	মরদেহ,	
peshto,	পেশতো,	পেষ্ট,	
teenej,	তেনেজ,	টিনেজ,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
hitaishi,	হিতাইশি,	হিতৈষী,	
sarder,	সারদের,	সরদার,	
kirti,	কীরটি,	কীর্তি,	
ikbaaler,	ইকবালের,	ইকবালের,	
nomo,	নমো,	নমো,	
deep,	ডীপ্,	দীপ,	
dewaben,	দেবাবেন,	দেওয়াবেন,	
quary,	কোয়ারি,	কোয়েরি,	
arke,	আরকে,	আরকে,	
oxfordey,	অক্সফোরডে,	অক্সফোর্ডে,	
batikromi,	বাটিকরমমি,	ব্যতিক্রমী,	
heavy,	হিভি,	হেভি,	
aansareer,	আলসারীর,	আনসারীর,	
miley,	মিলে,	মিলে,	
qaferder,	কাফারদের,	কাফেরদের,	
hafsa,	হাফসা,	হাফসা,	
karaa,	কারা,	কারো,	
firoza,	ফিরোজা,	ফিরোজা,	
plak,	প্ল্যাক,	প্ল্যাক,	
lekhaksattwar,	লেখকস্তত্বার,	লেখকসত্ত্বার,	
madhumati,	মধুমতি,	মধুমতী,	
corymb,	করমম্ব,	করিম,	
nishad,	নিষাদ,	নিষাদ,	
ishtone,	ইস্তনে,	স্টোন,	
phox,	ফককসস,	ফক্স,	
oiteejye,	ঐতিব্যে,	ঐতিহ্যে,	
rajbandi,	রাজবন্দী,	রাজবন্দী,	
armstronz,	আরমস্ট্রোন,	আর্মস্ট্রং,	
jorury,	জরুরির,	জরূরী,	
chalake,	চালাকে,	চালকে,	
licencedhari,	লাইসেন্সধারী,	লাইসেন্সধারী,	
shorifer,	শরীফের,	শরিফের,	
bo,	বোবিও,	বু,	
nazad,	নাজাদ,	নজদ,	
fol,	ফোল,	ফল,	
shhow,	শোভ,	শো,	
roktokhoron,	রক্তখরণ,	রক্তক্ষরণের,	
benojir,	বেনোজির,	বেনজীর,	
dibate,	দিবাতে,	ডিবেট,	
adhyatmikata,	অধ্যাতিকমমতা,	আধ্যাত্মিকতা,	
danab,	দানাব,	দানব,	
setikey,	সেতিকে,	সেটিকে,	
alaoler,	আলাওলের,	আলাওলের,	
hock,	হক,	হুক,	
atmira,	আত্মীরা,	আত্মীরা,	
ekla,	একলা,	একলা,	
pharanyeta,	ফররণ্েটা,	ফরম্যাট,	
irish,	ইরিশ,	আইরিস,	
onchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
dajjha,	দাজঝা,	দাহ্য,	
bonshi,	বনশি,	বংশী,	
guzon,	গুজন,	গুজব,	
bisshonath,	বিশ্বনাথ,	বিশ্বনাথ,	
tukroti,	তুকরোটি,	টুকরোটি,	
prakare,	প্রকারে,	প্রকারে,	
kleentoner,	ক্লিন্টনের,	ক্লিনটনের,	
airish,	আইরিশ,	আইরিস,	
lungiti,	লুংগিটি,	লুঙ্গিটি,	
jakso,	জ্যাকোসো,	যক্ষ,	
satan,	সাতান,	শয়তান,	
tarunra,	তরুণরা,	তরুণরা,	
gejeted,	গেজেটেড,	গেজেটেড,	
shurugulo,	শুরুগুলো,	শুরুগুলো,	
chaalaabi,	চালাবি,	চালাবে,	
dakter,	ডাক্তের,	ডাকতের,	
alpo,	অল্পো,	অল্প,	
somoibo,	সমৈবব,	সমৈব,	
steen,	স্টিন,	স্টেন,	
palbongser,	পালবংসের,	পালবংশের,	
groth,	গ্রোথ,	গ্রোথ,	
aaps,	এপিএস,	এএপিএস,	
bapokotor,	বাপকতর,	ব্যাপকতর,	
raagee,	রাগগী,	রাগী,	
templet,	টেম্পলেট,	টেম্পলেট,	
miitar,	মিতার,	মিত্র,	
louhojato,	লৌহজাত,	লৌহজাত,	
