ganaparibahan,	গণপরিবহহ,	গণপরিবহন,	
nodnodeer,	নদ্নদির,	নদনদীর,	
urey,	উরে,	ইউরি,	
ragei,	রাজেই,	রাগেই,	
asiatic,	অ্যাসিয়াটিক,	এশিয়াটিক,	
popaike,	পপাইকে,	পপাইকে,	
hamburgey,	হ্যামবার্গে,	হামবুর্গে,	
saria,	সারিয়া,	সরিয়া,	
ayumi,	আয়ুমী,	আয়ুমি,	
hariken,	হারিকেন,	হ্যারিকেন,	
mulbhitti,	মুলভিত্তি,	মূলভিত্তি,	
sotorkobhabey,	সতর্কভাবে,	সতর্কভাবে,	
seekkhaou,	শিক্ষাও,	শিক্ষাও,	
omeettrakkhor,	অমিত্রাক্ষ্র,	অমিত্রাক্ষর,	
venus,	ভেনাস,	ভেনাস,	
mukhamandoler,	মুখমাণ্ডলের,	মুখমণ্ডলের,	
milekhaanek,	মিলেখানকে,	মাইলখানেক,	
matt,	ম্যাট,	ম্যাট,	
foolkopi,	ফুলকপি,	ফুলকপি,	
asthishondhi,	অস্থিনোধি,	অস্থিসন্ধি,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
digree,	ডিগরি,	ডিগ্রি,	
dooburir,	ডুবুরির,	ডুবুরির,	
blasterke,	ব্লাস্টারকে,	ব্লাস্টারকে,	
udbodhaney,	উদ্বোধানে,	উদ্বোধনে,	
chaudhurio,	চৌধুরিও,	চৌধুরীও,	
adorsho,	আদর্শ,	আর্দশ,	
nirvaha,	নির্ভাহা,	নির্বাহ,	
ray,	তায়ে,	রায়,	
krema,	ক্রেমা,	ক্রাইম,	
shikkhakram,	শিক্ষাক্ম,	শিক্ষাক্রম,	
asabhya,	অসভ্যা,	অসভ্য,	
inphormeshon,	ইনফোরমেশন,	ইনফরমেশন,	
cn,	সিএন,	সিএন,	
jokkher,	যক্ষের,	যক্ষের,	
dipke,	ডিপকে,	দ্বীপকে,	
ruby,	রুবি,	রুবী,	
baarnish,	বার্নিশ,	বার্নিশ,	
shroddhabihin,	শ্রদ্ধাবিহীন,	শ্রদ্ধাবিহীন,	
cocaine,	কোকেইন,	কোকেইন,	
surakarder,	সুরকরদের,	সুরকারদের,	
tukrowti,	তুকরোটি,	টুকরোটি,	
vince,	ভিন্সে,	ভিন্স,	
prokolpotike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
literacy,	লিটারেসি,	লিটারেসি,	
ucchosito,	উচ্চসিত,	উচ্ছসিত,	
pratiyogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
poschimey,	পশ্চিমে,	পশ্চিমে,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
durotamo,	দূরতমো,	দূরতম,	
kuttake,	কুট্টাকে,	কুত্তাকে,	
qaferderkey,	কাফের্ডারকে,	কাফেরদেরকে,	
plaiin,	প্লেইন,	প্লেন,	
jontrototto,	যন্ত্রতত্ত্ব,	যন্ত্রতত্ত্ব,	
srivatsalakshanang,	শ্রীবশৎলকক্তংং,	শ্রীবৎসলক্ষণং,	
soommita,	সমম্মিতা,	সুমিতা,	
kantojir,	কান্তজীর,	কান্তজির,	
bisheshyo,	বিশেষ্য,	বিশেষ্য,	
abhirupbabuke,	অভিরূপবাবুকে,	অভিরূপবাবুকে,	
qonfliqt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
tottorat,	তত্তরাত,	তওরাত,	
dombhoke,	দম্ভকে,	দম্ভকে,	
procharona,	প্রচারণা,	প্রচারণা,	
hukar,	হুকার,	হুকার,	
sooya,	সোয়া,	সোয়া,	
rajnikant,	রাজনীকান্ত,	রাজনীকান্ত,	
nagarikera,	নগরীকেরা,	নাগরিকেরা,	
mitrer,	মিত্রের,	মিত্রের,	
cheess,	চেস,	চেস,	
shekarmani,	শেকরমণি,	শেকরমানি,	
jaanachhe,	যানাচ্ছে,	জানাচ্ছে,	
dooburira,	ডুবুরিরা,	ডুবুরিরা,	
inafarameshana,	ইনাফরমেশন,	ইনফরমেশন,	
deilee,	ডেইলি,	ডেইলি,	
jerusalemer,	জেরুসালেমের,	জেরুজালেমের,	
uparjoner,	উপার্জনের,	উপার্জনের,	
souripurang,	সৌরিপূরং,	সৌরিপুরং,	
aansaareer,	আনসারীর,	আনসারীর,	
daaoon,	দাওন,	ডাউন,	
mojdur,	মজদুর,	মজদুর,	
gunje,	গুঞ্জে,	গুঁজে,	
shasonkarta,	শাসনকর্তা,	শাসনকর্তা,	
saralya,	সরলল্য,	সারল্য,	
kul,	কুল,	কুল,	
adarsho,	আদর্শ,	আর্দশ,	
bibadey,	বিবদে,	বিবাদে,	
potka,	পোটোকা,	পটকা,	
bhenise,	ভেনিস,	ভেনিসে,	
lendal,	লেন্ডাল,	লেন্ডল,	
bhaangchur,	ভাংচুর,	ভাংচুর,	
senabahineeow,	সেনাবাহিনিহ,	সেনাবাহিনীও,	
suhayeler,	সুহায়েলের,	সুহায়েলের,	
chasee,	চাস,	চেস,	
hooq,	হুক,	হুক,	
sokkhomotabriddhi,	সক্ষমদারবৃদ্ধি,	সক্ষমতাবৃদ্ধি,	
hoondayi,	হুনডায়ি,	হুন্দাই,	
prrajanankaal,	প্রজানানকাল,	প্রজননকাল,	
phiksa,	ফিকসা,	ফিক্স,	
jackey,	জ্যাকে,	জকি,	
prime,	প্রাইম,	প্রাইম,	
laatimer,	লাতিমের,	লাটিমের,	
sayatana,	সায়াতানা,	শয়তান,	
uddharkarmirai,	উদ্ধররকর্মীরাই,	উদ্ধারকর্মীরাই,	
marmaraa,	মারমারা,	মারমারা,	
marketin,	মার্কেটিন,	মার্কেটিং,	
niketaner,	নিকেতানের,	নিকেতনের,	
ala,	আলা,	আলা,	
madrasa,	মাদ্রাসা,	মাদ্রাসা,	
chilona,	চিলোনা,	ছিলনা,	
thyachara,	ণ্যাচারা,	থ্যাচার,	
kod,	কোড,	কোড,	
obdee,	ওবদি,	অব্দি,	
shite,	শীতে,	শীতে,	
mayily,	মায়িলি,	মাইলি,	
nibobondhonkrito,	নিবনবন্ধকৃত,	নিববন্ধনকৃত,	
daybhager,	দা়ভাগের,	দায়ভাগের,	
abhijitda,	অভিজিতদা,	অভিজিতদা,	
basaake,	বাসাকে,	বাসাকে,	
chalai,	চালাই,	চালাবে,	
ebhara,	এভারা,	এভার,	
konnoder,	কন্যদের,	কন্যদের,	
kheshar,	খেশার,	খেশার,	
sompadon,	সম্পাদন,	সম্পাদন,	
nogore,	নগরে,	নগরে,	
dakticket,	ডাক্টিকেট,	ডাকটিকিট,	
bedanta,	বেদান্ত,	বেদান্ত,	
sqolastiq,	স্কোলাসিক্ট,	স্কলাস্টিক,	
bikargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
koomarir,	কোমারির,	কুমারীর,	
shoreefpur,	শরীফপুর,	শরিফপুর,	
sthapanatir,	স্থাপনাটির,	স্থাপনাটির,	
byaboharkarike,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
reliance,	রেলিয়ান্স,	রিলায়েন্স,	
deliver,	ডেলিভার,	ডেলিভার,	
bisshaskey,	বিশ্বস্কে,	বিশ্বাসকে,	
mukhbondho,	মুখবন্ধ,	মুখবন্ধ,	
brittakarey,	বৃত্তকরে,	বৃত্তাকারে,	
muradke,	মুরাদকে,	মুরাদকে,	
nanilalke,	নানিলালকে,	ননীলালকে,	
protiakromonei,	প্রতিয়ক্রমণেই,	প্রতিআক্রমণেই,	
chakrapani,	চক্রপাণি,	চক্রপানী,	
aqram,	আক্রাম,	আকরাম,	
buth,	বুথ,	বুথ,	
themeke,	থেমেকে,	থিমকে,	
churger,	চার্গের,	চার্জের,	
vezano,	ভেজানো,	ভেজানো,	
roopmatro,	রূপমাত্র,	রূপমাত্র,	
amontronkarider,	অমন্ত্রনাকারীদের,	আমন্ত্রণকারীদের,	
chongar,	চোঙ্গার,	চোঙ্গার,	
binee,	বিনি,	বেনি,	
porishongkhanbid,	পরিশংখ্যানবিদ,	পরিসংখ্যানবিদ,	
bulan,	বুলান,	বুলান,	
alaoler,	অলাওলের,	আলাওলের,	
arashie,	আরাশি,	আরসিএ,	
planey,	প্লেন,	প্লেনে,	
bibechyo,	বিবেচ্য,	বিবেচ্য,	
romarder,	রোমারদের,	রোমারদের,	
kisti,	কিস্তি,	কিস্তি,	
kei,	কেই,	কেই,	
abheedhaneek,	অভিধানিক,	অভিধানিক,	
sthapanagulo,	স্থাপাণগুলো,	স্থাপনাগুলো,	
magical,	ম্যাজিকাল,	ম্যাজিকাল,	
antorvukta,	অন্তর্ভুক্ত,	অন্তর্ভুক্ত,	
akar,	আকার,	একার,	
sithilotar,	সিথিলতার,	শিথিলতার,	
hattey,	হ্যাটে,	হাঁটতে,	
mukhoshdharir,	মুখোশধারীর,	মুখোশধারীর,	
taholo,	তাহলো,	তাহলো,	
madhoboir,	মাধবর,	মাধবীর,	
dolphiny,	ডলফিনি,	ডলফিনি,	
somosto,	সমস্ত,	সমস্ত,	
ekekrokom,	একেকরোক,	একেকরকম,	
thailandshoho,	থাইলন্দশহ,	থাইল্যান্ডসহ,	
pluck,	প্লাক,	প্ল্যাক,	
rubidiyaam,	রুবিদিয়াম,	রুবিডিয়াম,	
masjidke,	মসসীদকে,	মসজিদকে,	
eenameela,	ইনামিলা,	এনামেল,	
garora,	গারোরা,	গারোরা,	
porjotoker,	পর্যটকের,	পর্যটকের,	
treend,	ট্রিন্ড,	ট্রেন্ড,	
lagchhe,	লাগছে,	লাগছে,	
siraju,	সিরাজু,	সিরাজু,	
bikretaara,	বিক্রেটরা,	বিক্রেতারা,	
grambaashio,	গ্রামবাশীও,	গ্রামবাসীও,	
skirt,	স্কির্ট,	স্কার্ট,	
prosadhoner,	প্রসাধনের,	প্রসাধনের,	
zerusaleme,	জেরাসুলমে,	জেরুসালেমে,	
choudhursoho,	চৌধুরসহ,	চৌধুরসহ,	
krus,	কুরস,	ক্রুশ,	
anubhutimalar,	অনুভূতিমালার,	অনুভূতিমালার,	
doloo,	দলু,	ডলু,	
bhogno,	ভগ্ন,	ভগ্ন,	
mekon,	মেকন,	মেকং,	
pathanatak,	পাঠানাটক,	পথনাটক,	
neemitte,	নিমিতে,	নিমিত্তে,	
sanghitar,	সংঘিতার,	সংহিতার,	
sookkho,	সুক্ষ,	সুক্ষ্ম,	
shatodha,	শতোধা,	শতধা,	
nazad,	নাজাদ,	নাজাদ,	
chamski,	চমস্কি,	চমস্কি,	
khappar,	খপ্পার,	খপ্পর,	
chetanagoto,	চেতনাগত,	চেতনাগত,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
dalip,	ডালিপ,	দালিপ,	
kabutorer,	কাবুতরের,	কবুতরের,	
akpaase,	আকপাসে,	একপাশে,	
nariider,	নারীদের,	নারীদের,	
koordider,	কুর্দিদের,	কুর্দিদের,	
avisongson,	অভিসংসন,	অভিশংসন,	
eokee,	এইকি,	এওকি,	
chhutochhuti,	ছুটোচুটি,	ছুটোছুটি,	
hena,	হেনা,	হেনা,	
balithubar,	বলিতবাবার,	বালিথুবার,	
shchalastic,	শ্ল্যাক্সিক,	স্কলাস্টিক,	
sahojatprobritti,	সহজাতপ্রবৃত্তি,	সহজাতপ্রবৃত্তি,	
deraa,	দেরা,	ডেরা,	
degreeo,	ডিগ্রিও,	ডিগ্রিও,	
oswastikor,	অস্বাস্তিকর,	অস্বস্তিকর,	
firoza,	ফিরোজা,	ফিরোজা,	
saarbharti,	সার্ভর্তী,	সার্ভারটি,	
rubidium,	রেবিডিয়াম,	রুবিডিয়াম,	
protibedokrao,	প্রতিবেদকরাও,	প্রতিবেদকরাও,	
peengna,	পিংংা,	পিংনা,	
gosthike,	গোষ্ঠীকে,	গোষ্ঠীকে,	
shithilata,	শিথিলতা,	শিথিলতা,	
antennal,	অ্যান্টেন্যাল,	অ্যান্টেনাল,	
andon,	আন্দোন,	আন্দোন,	
nirgoon,	নিরগুন,	নির্গুণ,	
mukhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
chhon,	ছোন,	ছোঁ,	
duple,	ডুপল,	ডুপ্লে,	
wilderske,	উইলডার্সকে,	উইল্ডার্সকে,	
sangram,	সংগ্রাম,	সঙ্গ্রাম,	
nadnadeer,	নদননদির,	নদনদীর,	
postar,	পোস্টার,	পোস্টের,	
dakteekiter,	ডাক্তিকিতের,	ডাকটিকিটের,	
rajtantro,	রাজতন্ত্র,	রাজতন্ত্র,	
deefinision,	ডিফিশিশন,	ডেফিনেশন,	
phiqsa,	ফিকস,	ফিক্স,	
difinisian,	ডিফিশিনিনা,	ডেফিনেশন,	
monzushree,	মনজুশ্রী,	মঞ্জুশ্রী,	
lokhindorer,	লখিন্দরের,	লখিন্দরের,	
mulyabriddhikale,	মূল্যবিক্ধায়েলকে,	মূল্যবৃদ্ধিকালে,	
remission,	রেমিশন,	রিমিশন,	
jamjomat,	জমমজমাত,	জমজমাট,	
probondhobhittik,	প্রবন্ধভিত্তিক,	প্রবন্ধভিত্তিক,	
shaater,	সাতের,	শ্যুটার,	
aembed,	এম্বেড,	এম্বেড,	
proo,	প্রু,	প্রো,	
chokrantosoho,	চক্রান্তসহ,	চক্রান্তসহ,	
poripake,	পরিপাকে,	পরিপাকে,	
rajyotiro,	রাজ্যতিরও,	রাজ্যটিরও,	
vandar,	ভান্দার,	ভাণ্ডার,	
disposes,	ডিস্পোস,	ডিসপোজেস,	
firozapure,	ফিরোজাপুরে,	ফিরোজাপুরে,	
leaders,	লিডারস,	লিডার্স,	
phokser,	ফকসের,	ফক্সের,	
maarmaader,	মারমাদের,	মারমাদের,	
barnis,	বার্নিস,	বার্নিশ,	
akkhunno,	অক্ষুণ্য,	অক্ষুণ্ণ,	
dienes,	ডায়েনস,	ডিএনএস,	
morodeho,	মরদেহ,	মরদেহ,	
emerjency,	এমারজেন্সি,	এমার্জেন্সি,	
hijrite,	হিজরিতে,	হিজরীতে,	
camerapersoner,	ক্যামেরাপারসনের,	ক্যামেরাপার্সনের,	
kolkarkhana,	কলকরাখানা,	কলকারখানা,	
agomonke,	আগমনকে,	আগমনকে,	
surke,	সুরকে,	সুরকে,	
pooshteer,	পুষ্টির,	পুষ্টির,	
niropekshtar,	নিরপেক্ষটার,	নিরপেক্ষতার,	
sinakey,	সিনাকে,	সিনাকে,	
pakhtunistan,	পাখতুনিস্তান,	পাখতুনিস্তান,	
paroner,	পারনের,	পারণের,	
jotsna,	জটস্না,	জ্যোৎস্না,	
spreadshiit,	স্প্রেডশিট,	স্প্রেডশীট,	
protyokkhovabey,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
charban,	চারবান,	চর্বন,	
dhojovongo,	ধগযোভঙ্গ,	ধ্বজভঙ্গ,	
ultrasonography,	আল্ট্রান্টস্রাফি,	আলট্রাসনোগ্রাফিও,	
kantajir,	কন্তাজির,	কান্তজির,	
sosoa,	সোসোয়া,	শশা,	
black,	ব্ল্যাক,	ব্ল্যাক,	
ghoshito,	ঘোষিত,	ঘোষিত,	
senior,	সেনিওর,	সিনিয়র,	
dolu,	দলু,	ডলু,	
gananatyo,	গণনাত্য,	গণনাট্য,	
prottokkhovabe,	প্রত্যক্ষভাবে,	প্রত্যক্ষভাবে,	
sector,	সেক্টর,	সেক্টর,	
bhogiroth,	ভোগররথ,	ভগীরথ,	
chalochchitraeei,	চলচ্চিত্রীয়,	চলচ্চিত্রেই,	
bosante,	বসান্তে,	বসন্তে,	
elakatir,	এলাকাটির,	এলাকাটির,	
mast,	মাস্ট,	মাস্ত,	
boudhher,	বৌধের,	বৌদ্ধের,	
beam,	বিইএম,	বিম,	
avetar,	আভেতার,	অবতার,	
dai,	দাই,	দিই,	
eporjonto,	এপর্যন্ত,	এপর্যন্ত,	
chai,	চাই,	ছাই,	
phakay,	ফাকা,	ফাকে,	
emiratas,	এমিরাটাস,	এমিরেটাস,	
moddhyoshtho,	মধ্যস্থ,	মধ্যস্থ,	
monjurul,	মনজুরুল,	মনজুরুল,	
eekbalke,	একবালকে,	ইকবালকে,	
asantosh,	আসন্তোষ,	অসন্তোষ,	
madraser,	মাদ্রাসের,	মাদ্রাজের,	
gandogol,	গান্ডোগোল,	গন্ডগোল,	
groundta,	গ্রুন্ডটা,	গ্রাউন্ডটা,	
naitikatavodh,	নৈতিকাতাবোধ,	নৈতিকতাবোধ,	
pichte,	পিছতে,	পিছতে,	
fotanor,	ফটানোর,	ফোটানোর,	
sarboporee,	সর্বপরী,	সর্বোপরী,	
raiji,	রাইজি,	রাইজি,	
rushod,	রুশদ,	রুশদ,	
chandanara,	চান্দানারা,	চন্দনারা,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
internship,	ইন্টারশ্পিপ,	ইন্টার্নশিপ,	
shumo,	শুমো,	সুমো,	
somsher,	সম্শের,	সমশের,	
shikshakbrindo,	শিক্ষাবৃৃ্্দ,	শিক্ষকবৃন্দ,	
mekapgulo,	মেকাপগুলো,	মেকআপগুলো,	
mohajot,	মহাজত,	মহাজোট,	
amittrakkhor,	অমিত্রক্ষ্র,	অমিত্রাক্ষর,	
sommoteer,	সম্মটির,	সম্মতির,	
machsoho,	মাচসহ,	মাছসহ,	
oncoltike,	অঙ্কলটিকে,	অঞ্চলটিকে,	
abheedhanic,	অভিমানিক,	অভিধানিক,	
deqe,	দেকে,	ডেকে,	
pray,	প্রায়ে,	প্রায়,	
minishtarer,	মিনিসটারের,	মিনিস্টারের,	
nirbachakder,	নির্বাচকদের,	নির্বাচকদের,	
varma,	ভার্মা,	ভার্মা,	
bishwasho,	বিশ্বাশও,	বিশ্বাসও,	
byathapather,	ব্যথাপথের,	ব্যথাপথের,	
nothibhukta,	নথিভুক্ত,	নথিভুক্ত,	
obdi,	ওবদি,	অব্দি,	
matis,	মাতিস,	ম্যাটিস,	
ashok,	অশোক,	আশোক,	
hastamathun,	হস্তমথুন,	হস্তমথুন,	
bhyatikaner,	ভ্যাটিকানের,	ভ্যাটিকানের,	
mishal,	মিশাল,	মিশাল,	
shikhbe,	শিখবে,	শিখবে,	
skolarsip,	স্কোরোসিপ,	স্কলারশিপ,	
peeth,	পিথ,	পীঠ,	
laiseensim,	লাইসেনসিম,	লাইসেন্সিং,	
bosben,	বসসেন,	বসবেন,	
creshcent,	ক্রেশেেন্ট,	ক্রিসেন্ট,	
itastata,	ইৎস্টাটা,	ইতস্তত,	
snehban,	স্নেহবান,	স্নেহবান,	
supplenza,	সাপমেলজা,	সাপলেঞ্জা,	
janosamaj,	জনসমাজ,	জনসমাজ,	
siit,	সিইট,	শীত,	
kinto,	কিন্তো,	কিনত,	
chaalaabi,	চালাবি,	চালাবে,	
direectoratee,	ডিরিকটরটি,	ডিরেক্টরেট,	
chaloke,	চালোকে,	চালকে,	
abeganuvutir,	আবেগানুভুতির,	আবেগানুভূতির,	
chalachchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
joones,	জুনেস,	জোন্স,	
rokibul,	রকিবুল,	রকিবুল,	
pragreesa,	প্রাগরিজা,	প্রগ্রেস,	
ase,	আসে,	আসে,	
cholochchitra,	চলচ্চিত্র,	চলচ্চিত্র,	
artherer,	আর্থেরের,	আর্থারের,	
emarjenshi,	এমারজেনশি,	এমার্জেন্সি,	
tecnokret,	টেকনোকেট,	টেকনোক্র্যাট,	
awrbit,	আর্বিট,	অরবিট,	
bbiswashke,	বিবিস্বাসকে,	বিশ্বাসকে,	
shasankarta,	শাসনকর্তা,	শাসনকর্তা,	
karuna,	করুনা,	করুণা,	
promothesh,	প্রমথেশ,	প্রমথেশ,	
nanabornobishishto,	নানাবর্ষবিশিষ্ট,	নানাবর্ণবিশিষ্ট,	
nirgaman,	নির্গামান,	নির্গমন,	
dhanyi,	ধনি,	ধন্যি,	
gronthao,	গ্রন্থাও,	গ্রন্থও,	
aakkas,	আক্কাস,	আককাস,	
ganaporibahaner,	গণপরিবাহনের,	গণপরিবহনের,	
borkhastokritora,	বরখাস্তকৃতরা,	বরখাস্তকৃতরা,	
oikhan,	ঐখান,	ঐখান,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
seniar,	সেনিয়ার,	সিনিয়র,	
ekghore,	একঘরে,	একঘরে,	
sinaake,	সিনাকে,	সিনাকে,	
byabosthar,	ব্যবস্থার,	ব্যাবস্থার,	
chyeta,	চ্যুটা,	চ্যাট,	
bhabotarini,	ভাবতারিনি,	ভবতারিণী,	
hundai,	হুন্ডাই,	হুন্দাই,	
telakucha,	তেলাকুচা,	তেলাকুচা,	
vushi,	ভুশী,	ভুষি,	
horidwar,	হরিদ্বার,	হরিদ্বার,	
songkulan,	সংকুলান,	সংকুলান,	
suisharke,	সুইশারকে,	সুইশারকে,	
notti,	নোটি,	নোটটি,	
baikalyo,	বাইকাল্য,	বৈকল্য,	
dharmee,	ধর্মী,	ধর্মী,	
ghetu,	ঘেটু,	ঘেটু,	
jolaatonko,	জলাতনকো,	জলাতঙ্ক,	
eesa,	এসা,	আইএএস,	
cholocchitrer,	চলচ্চিত্রের,	চলচ্চিত্রের,	
cxt,	সিক্টিটি,	সিএক্সটি,	
mase,	মাসে,	মাসে,	
capshule,	কাপশুলে,	ক্যাপসুল,	
bharotchilo,	ভারতছিল,	ভারতছিল,	
deejeejer,	দিজেজের,	ডিজিজের,	
dhrubaker,	ধ্রুবাকের,	ধ্রুবকের,	
bedantodhormo,	বেদান্ধরর্ম,	বেদান্তধর্ম,	
ooipoka,	উপকা,	উইপোকা,	
orbeet,	অরবিট,	অরবিট,	
megacaldera,	মেগাক্লেদারা,	মেগাক্যাল্ডেরা,	
debdebie,	দেবদেবি,	দেবদেবী,	
thandabhabe,	ঠা্ডাভাবে,	ঠাণ্ডাভাবে,	
mathieu,	মাথিয়ে,	ম্যাথিউ,	
abheedhaaneek,	অভিধানিক,	অভিধানিক,	
jatata,	জাতাটা,	যতোটা,	
adorso,	আদর্শো,	আর্দশ,	
byapoktor,	ব্যাপকতর,	ব্যাপকতর,	
mythological,	মিথোলজিক্যাল,	মাইথলজিকাল,	
refleks,	রিফ্লেক্স,	রিফ্লেক্স,	
byatikrami,	ব্যতিক্রমী,	ব্যতিক্রমী,	
totokson,	টোটকসন,	ততক্ষন,	
kanar,	কানার,	কণার,	
beauby,	বিউবি,	বিউবি,	
laps,	ল্যাপস,	ল্যাপস,	
bhagno,	ভাগনো,	ভগ্ন,	
kuronir,	কুরোনির,	কুরনীর,	
karam,	কারাম,	কেরাম,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
ghumunoi,	ঘুমুনোই,	ঘুমুনোই,	
