papri,	পাপ্রি,	পাপরি,	
sikar,	শিকার,	শিকার,	
mandanda,	মন্দন্ড,	মানদণ্ড,	
saddhi,	সাদ্ধি,	সাধ্বী,	
aholya,	অহোয়া,	অহল্যা,	
sahocorje,	সহকর্্যে,	সাহচর্যে,	
chopol,	চোপল,	চপল,	
eidaning,	এডনািং,	ইদানীং,	
injil,	ইঞ্জিল,	ইঞ্জিল,	
taruner,	তরুনের,	তরুণের,	
nilkuthir,	নীলকুঠির,	নীলকুঠির,	
install,	ইনস্টল,	ইন্সটল,	
gare,	গারে,	গোর,	
gondho,	গন্ধ,	গন্ধে,	
machhder,	মাছদের,	মাছদের,	
shoodhooi,	শুধুই,	শুধুই,	
aakabar,	আকাবার,	আকাবার,	
chhanake,	ছানাকে,	ছানাকে,	
bhuushito,	ভূষিত,	ভূষিত,	
staylish,	স্টাইলিস,	স্টাইলিশ,	
uqeliptas,	একেলিপ্টাস,	ইউক্যালিপ্টাস,	
shikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
sho,	সো,	শো,	
osommotite,	অসম্তিতে,	অসম্মতি,	
spreadsiit,	স্প্রেডসিট,	স্প্রেডশীট,	
version,	ভার্সন,	ভারশন,	
archimedeser,	আর্কিমেডেসের,	আর্কিমিডিসের,	
dharabiktir,	ধারাবিক্তির,	ধারাবাহিকটির,	
porobortii,	পরবর্তী,	পরর্বতী,	
musolmanra,	মুসল্মান্য,	মুসলমানরা,	
shaahaab,	সাহাব,	সাহাব,	
arthanitir,	অর্থনীতির,	অর্থনীতির,	
serverti,	সার্ভারটি,	সার্ভারটি,	
ispredseet,	ইস্প্রেসেট,	স্প্রেডশীট,	
amiretus,	অমেরেটাস,	এমিরেটাস,	
vins,	ভিন্স,	ভিন্স,	
sahokaree,	সহকারী,	সহকারী,	
votar,	ভোটার,	ভোটার,	
karmake,	কর্মকে,	কর্মকে,	
dip,	ডীপ,	দীপ,	
hariken,	হররিকেন,	হ্যারিকেন,	
chaalta,	চাল্টা,	চালতা,	
nirobota,	নিরবতা,	নিরবতা,	
haila,	হইল,	হইল,	
chon,	চন,	ছোঁ,	
graambaasi,	গ্রামাবাসী,	গ্রামবাসী,	
graambaasir,	গ্রামাবাসীর,	গ্রামবাসীর,	
tennish,	টেনিস,	টেনিস,	
sudhui,	সুধুই,	শুধুই,	
bolovodro,	বলভদ্র,	বলভদ্র,	
jamkaalo,	জাম্কালো,	জমকালো,	
ghaghat,	ঘঘাত,	ঘাঘট,	
ghantiti,	ঘানটিটি,	ঘাঁটিটি,	
muhammad,	মুহাম্মাদ,	মুহম্মদ,	
bastuvad,	বস্তুবাদ,	বস্তুবাদ,	
mosjidke,	মুসিদকে,	মসজিদকে,	
byapoktor,	ব্যাপকক্তর,	ব্যাপকতর,	
shulfate,	সুলফাতে,	সালফেট,	
ship,	শিপ,	শিপ,	
ajijoor,	অজিজুর,	আজিজুর,	
teknokrat,	টেকনাক্র,	টেকনোক্র্যাট,	
kona,	কোন,	কণা,	
toufeek,	তৌফিক,	তৌফিক,	
sthaponake,	স্থাপনাকে,	স্থাপনাকে,	
machsaho,	মাচসহ,	মাছসহ,	
mukhamandaley,	মখখমন্ডে,	মুখমণ্ডলে,	
dibate,	দিবাতে,	ডিবেট,	
beda,	বেড,	বেদ,	
shrabasti,	শ্রবাসটি,	শ্রাবস্তী,	
pathkramer,	পাঠকরামের,	পাঠক্রমের,	
sikarder,	শিকারদের,	শিকারদের,	
loker,	লোকের,	লকের,	
rights,	রিজাটস,	রাইটস,	
sampadankari,	সম্পাদকনকারী,	সম্পাদনকারী,	
tarunra,	তরুণ্রা,	তরুণরা,	
weelcomee,	উইলকম,	ওয়েলকাম,	
karaa,	করা,	কারো,	
hajjirhat,	হাজিহরাট,	হাজিরহাট,	
porichhonnota,	পরিচ্নতন,	পরিচ্ছন্নতা,	
gotihin,	গতিহীন,	গতিহীন,	
shefard,	সেফার্ড,	শেফার্ড,	
sotorkobhabey,	সতর্কভাবে,	সতর্কভাবে,	
sooter,	সুতের,	শ্যুটার,	
sthapanagulo,	স্থানগতুলো,	স্থাপনাগুলো,	
nagorikke,	নাগরিকে,	নাগরিককে,	
pothchari,	পথচারি,	পথচারী,	
neurologi,	নেরোলোজি,	নিউরোলজি,	
touraat,	তৌরাট,	তওরাত,	
rabo,	রব,	রব,	
unit,	ইউনিত,	ইউনিট,	
alaa,	অলা,	আলা,	
temoni,	টেমনি,	তেমনই,	
uddhrito,	উদ্ধৃত,	উদ্ধৃত,	
vogirath,	ভগীরথ,	ভগীরথ,	
sanghar,	সাংঘার,	সংহার,	
badhano,	বাধানো,	বাঁধানো,	
nirikh,	নিরিখ,	নিরিখ,	
sayid,	সাইড,	সাইদ,	
indraa,	ইন্ড্রা,	ইন্দ্র,	
byaboharkarikey,	ব্যবহারকারীকে,	ব্যবহারকারীকে,	
jolbe,	জলবে,	জ্বলবে,	
sabbir,	সববির,	সাব্বির,	
bhugol,	ভুগল,	ভূগোল,	
octane,	অক্টান,	অকটেন,	
laishenshim,	লাইেেনসিং,	লাইসেন্সিং,	
ganoporibahoner,	গণপরিবহণের,	গণপরিবহনের,	
lidara,	লিডার,	লিডার,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
huqar,	হুকার,	হুকার,	
shcholarshhip,	স্কলাশশিপ,	স্কলারশিপ,	
grambaaseeo,	গ্রামবাশেই,	গ্রামবাসীও,	
beeseshyo,	বিশেষ্য,	বিশেষ্য,	
chhatogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
hizriite,	হিজরিতে,	হিজরীতে,	
shift,	শিফ্ট,	শিফট,	
niketan,	নিকেটন,	নিকেতন,	
jwaluk,	জ্বুলুক,	জ্বলুক,	
gostheeti,	গস্থিটি,	গোষ্ঠীটি,	
tookoo,	টুকো,	টুকু,	
oiteejye,	ঐতিজ্যে,	ঐতিহ্যে,	
provritike,	প্রভৃতিকে,	প্রভৃতিকে,	
dephinision,	ডেফিনিশন,	ডেফিনেশন,	
torabgonj,	তরাববিগ্জ,	তোরাবগঞ্জ,	
khele,	খেলে,	খেলে,	
laiseensa,	লাইনেস্স,	লাইসেন্স,	
nirupito,	নিরূপিত,	নিরূপিত,	
chat,	চাট,	চ্যাট,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
harees,	হারিস,	হ্যারিস,	
valobasa,	ভালবাসা,	ভালোবাসা,	
madhyastha,	মধ্যস্থ,	মধ্যস্থ,	
surkarder,	সুরকারদের,	সুরকারদের,	
deefinishion,	ডেফিনিশন,	ডেফিনেশন,	
mawdeel,	মাডেল,	মডেল,	
chheelonaa,	ছিলনা,	ছিলনা,	
ghoorte,	ঘোরেতে,	ঘুরতে,	
ahong,	আহং,	অহং,	
chalachchitrotike,	চলচ্চিত্রিকে,	চলচ্চিত্রটিকে,	
darzi,	দার্জি,	দরজি,	
bishwaashshke,	বিশ্বাসকে,	বিশ্বাসকে,	
chhatogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
gardeen,	গার্ডিন,	গার্ডেন,	
akkaas,	আকাশ,	আককাস,	
naitikatavodh,	নাতিকাতাসধ,	নৈতিকতাবোধ,	
oncholgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
gajipur,	গজিপুর,	গাজীপুর,	
jaanachhe,	জানাছে,	জানাচ্ছে,	
dhormee,	ধর্মী,	ধর্মী,	
rajtantro,	রাজতন্ত্র,	রাজতন্ত্র,	
bidghutey,	বিজ্ঘুতে,	বিদঘুটে,	
bodqa,	বোক্া,	ভদকা,	
abosane,	অবশানে,	অবসানে,	
cbi,	সিবি,	সিবিআই,	
kunti,	কুন্তি,	কুন্তী,	
kranti,	ক্রান্টি,	ক্রান্তি,	
chondrimaa,	চন্দ্রীমা,	চন্দ্রিমা,	
esoosiyetasa,	এসুসাইয়েস,	এসোসিয়েটস,	
poricchonnota,	পরিচ্ছনন্ত,	পরিচ্ছন্নতা,	
dower,	ডোবার,	ডোভার,	
upostheetir,	উপস্থিতির,	উপস্থিতির,	
biswashi,	বিশ্বাসী,	বিশ্বাসী,	
shoccer,	সক্চের,	সকার,	
konphlikt,	কনফলিক্ট,	কনফ্লিক্ট,	
bomkesh,	বোমকেশ,	ব্যোমকেশ,	
gazipur,	গজিপুর,	গাজীপুর,	
jaaygata,	জাইগত,	জায়গাটা,	
trans,	ট্রান্স,	ট্রান্স,	
ahollar,	আহলার,	অহল্যার,	
choity,	চৈটি,	চৈতি,	
deembakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
sahinsatar,	সহিনস্তর,	সহিংসতার,	
ponchaasjon,	পঞ্চাজ্ন,	পঞ্চাশজন,	
laala,	লালা,	লালা,	
mangolik,	মঙ্গলিক,	মাঙ্গলিক,	
veenus,	ভেনাশ,	ভেনাস,	
chhayi,	ছাই,	ছাই,	
byabasthar,	ব্যবস্থার,	ব্যবস্থার,	
delivar,	ডিলিভার,	ডেলিভার,	
jotsna,	জৎসনা,	জ্যোৎস্না,	
nogonno,	নগন্য,	নগণ্য,	
carlosh,	কার্লস,	কার্লোস,	
gronthoty,	গ্রন্থটি,	গ্রন্থটি,	
veenom,	ভিনম,	ভেনম,	
phutanta,	ফুটান্ট,	ফুটন্ত,	
mosjidtir,	মসসিদ্তির,	মসজিদটির,	
mekbeth,	মেকবেথ,	ম্যাকবেথ,	
roopdaan,	রোপ্দান,	রুপদান,	
bbiseshyer,	বিশেষ্যের,	বিশেষ্যের,	
karater,	কারাতের,	কারাতের,	
dharabahikeo,	ধারবাহিকেও,	ধারাবাহিকেও,	
hydra,	হাইড্রা,	হাইড্রা,	
durgandho,	দুর্গন্ধ,	দুর্গন্ধ,	
mausumti,	মৌসম্তি,	মৌসুমটি,	
iranayer,	ইরানের,	ইরানের,	
uthhane,	উঠানে,	উঠানে,	
catholicder,	চথলিলদের,	ক্যাথলিকদের,	
akib,	একিব,	আকিব,	
karmapantha,	কর্মপন্থ,	কর্মপন্থা,	
gandho,	গন্ধ,	গন্ধ,	
pujita,	পুজিত,	পুজিত,	
aashirbad,	আশীর্বাদ,	আশির্বাদ,	
jonoshomaj,	জনসমাজ,	জনসমাজ,	
developer,	ডেভেলপার,	ডেভলপার,	
ramantik,	রামান্তিক,	রোমান্টিক,	
bimaataa,	বিমাটা,	বিমাতা,	
ishtara,	ইস্টার,	ইস্টার,	
swamijir,	স্বামীজীর,	স্বামীজীর,	
alankaron,	অলংকরণ,	অলঙ্করণ,	
selinar,	সেলিনার,	সেলিনার,	
ralapha,	রলফ,	রালফ,	
sorboshoktiman,	সর্বস্কমিকন,	সর্বশক্তিমান,	
siramiker,	শিরামিকের,	সিরামিকের,	
xpose,	স্প্যাসোজ,	এক্সপোজ,	
pratisthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
swarthe,	স্বরর্থে,	স্বার্থে,	
sahabah,	সাহবহ,	সাহাবাহ,	
chalochchitrotike,	চলচ্চিত্রিকে,	চলচ্চিত্রটিকে,	
nodimatrik,	নদিমাতিক্র,	নদীমাতৃক,	
gronthao,	গ্রন্থাও,	গ্রন্থও,	
phix,	ফিক্স,	ফিক্স,	
kod,	কোদ,	কোড,	
oncholgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
choudhureeder,	চৌধুরিদের,	চৌধুরীদের,	
vodqa,	ভো্্া,	ভদকা,	
iash,	ইয়াশ,	আইএএস,	
arakan,	আরককন,	আরাকান,	
proshikkhone,	প্রশিক্ষণে,	প্রশিক্ষণে,	
koommatei,	কমাটেই,	কমাতেই,	
trend,	ট্রেন্ড,	ট্রেন্ড,	
taurist,	টারিস্ট,	টুরিস্ট,	
poorohitra,	পুরহিত্রা,	পুরোহিতরা,	
jyaishtha,	জ্যাস্থ্য,	জ্যৈষ্ঠ,	
obikol,	অবিকোল,	অবিকল,	
ishpredshhiit,	ইস্প্রেসেটিস,	স্প্রেডশীট,	
gostike,	গোস্তিকে,	গোষ্ঠীকে,	
plata,	প্লট,	প্লেটো,	
ghatlo,	ঘাটল,	ঘটল,	
poripaker,	পরিপাকের,	পরিপাকের,	
teemothy,	তেমাথি,	টিমোথি,	
ohang,	ওহং,	অহং,	
shahabah,	শাহবাহ,	সাহাবাহ,	
upostheet,	উপস্থীত,	উপস্থিত,	
sthaponar,	স্থাপনার,	স্থাপনার,	
sikkhakbrinda,	শিক্ষাকবিন্দ,	শিক্ষকবৃন্দ,	
dhila,	ঢিলা,	ঢিলা,	
marjito,	মার্জিত,	মার্জিত,	
dale,	দেলে,	ডালে,	
porishrom,	পরিশ্রম,	পরিশ্রম,	
gunze,	গুঞ্জে,	গুঁজে,	
pracharanamulak,	প্রচারণমূলক,	প্রচারণামূলক,	
candy,	ক্যান্ডি,	ক্যান্ডি,	
hyper,	হাইপের,	হাইপার,	
sahocorrzo,	সহচকর্য,	সাহচর্য,	
sbatantrota,	স্বাতান্ত্রত,	স্বতন্ত্রতা,	
potochitrer,	পটচিত্রের,	পটচিত্রের,	
konruup,	কনরুপ,	কোনরূপ,	
vabaponno,	ভবাপণ্ন,	ভাবাপন্ন,	
charjer,	চার্যের,	চার্জার,	
truup,	ট্রুপ,	ট্রুপ,	
chorbon,	চর্বন,	চর্বন,	
laiseensee,	লাইনেস,	লাইসেন্স,	
chapal,	চাপাল,	চপল,	
sikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
chetonagato,	চেতনগত,	চেতনাগত,	
saalsa,	সালস,	সালসা,	
commander,	কমান্ডার,	কমাণ্ডার,	
aabarto,	আবর্ত,	আবর্ত,	
hanttey,	হাঁটে,	হাঁটতে,	
korimpoor,	করিমপুর,	করিমপুর,	
parqa,	পর্ক,	পার্ক,	
ejenda,	এজেন্ড,	এজেন্ডা,	
monzeele,	মঞ্জিলে,	মঞ্জিলে,	
udbhaban,	উদ্ভবন,	উদ্ভাবন,	
bonnypran,	বন্যপ্রণ,	বন্যপ্রাণ,	
arifin,	এরিফিন,	আরিফিন,	
tobey,	তবে,	টবে,	
tookroke,	তুকরকে,	টুকরোকে,	
tthela,	ঠেলা,	ঠেলা,	
juktarashtrosaha,	যুক্তরাত্রসসহ,	যুক্তরাষ্ট্রসহ,	
akshoti,	অক্ষটি,	একশোটি,	
anhu,	অনুু,	আনহু,	
bhalobass,	ভালবাস,	ভালোবাসা,	
chhootee,	ছুটি,	ছুটি,	
tarani,	তরণী,	তরণী,	
shibraj,	শিবরাজ,	শিবরাজ,	
nariider,	নারীদের,	নারীদের,	
sukkhma,	সুক্ষ্ম,	সুক্ষ্ম,	
sobchey,	সবচে,	সবচে,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
badana,	বাদন,	বদনা,	
opargota,	অপারগত,	অপারগতা,	
jackshon,	যাক্সন,	জ্যাকসন,	
kings,	কিংস,	কিংস,	
ghesei,	ঘেষেই,	ঘেঁষেই,	
prettii,	প্রেটি,	প্রিটি,	
gandhio,	গান্ধিও,	গান্ধীও,	
gacher,	গেছের,	গাছের,	
bedey,	বেদে,	বেদে,	
vooter,	ভোটের,	ভোটার,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
nodnodeer,	নদ্নদের,	নদনদীর,	
manohputo,	মনহ্পুত,	মনঃপুত,	
os,	অস,	অস,	
jens,	জেন্স,	জিন্স,	
pouch,	পৌঁচ,	পাউচ,	
zhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
maldava,	মালদাবা,	মলদোভা,	
sedikei,	সেদিকেই,	সেদিকেই,	
mononiitoder,	মননীতেদের,	মনোনীতদের,	
dargah,	দরগাহ,	দরগাহ,	
bonshi,	বংশী,	বংশী,	
towbar,	তবার,	তওবার,	
udvabane,	উদ্ভবনে,	উদ্ভাবনে,	
tookrotey,	টুকরাতে,	টুকরোতে,	
saajano,	সাজানো,	সাজানো,	
satarkobhabe,	সতারকভাবে,	সতর্কভাবে,	
bedanta,	বেদন্ত,	বেদান্ত,	
qlauda,	ক্লাড,	ক্লাউড,	
shatodha,	শতদধ,	শতধা,	
sitting,	সিটিং,	সিটিং,	
bhaisaho,	ভাইসহ,	ভাইসহ,	
aminool,	আমিনুল,	আমিনুল,	
vabuk,	ভাবুক,	ভাবুক,	
eucalyptush,	ইউক্যাল্পেসাস,	ইউক্যালিপ্টাস,	
blagarara,	ব্লাগারা,	ব্লগাররা,	
karka,	কর্ক,	কার্ক,	
snaipara,	স্যানাইপর,	স্নাইপার,	
setite,	সেটিতে,	সেটিতে,	
rizur,	রিজুর,	রিজুর,	
rohosyer,	রহস্যের,	রহস্যের,	
sastra,	সাস্ত্র,	শাস্ত্র,	
oncholeo,	অঞ্চলেও,	অঞ্চলেও,	
durtomo,	দুর্তম,	দূরতম,	
achis,	আচিশ,	আছিস,	
andaman,	আন্দোমান,	আন্দামান,	
shanta,	শান্ত,	সান্তা,	
estoonia,	এস্টোনিয়া,	এস্তোনিয়া,	
mojlishpoor,	মজলিসূপর,	মজলিশপুর,	
letara,	লেটার,	লেটার,	
ajijer,	অজিজের,	আজিজের,	
sur,	সুর,	সুর,	
codeguli,	কোদেগুলি,	কোডগুলি,	
ivam,	ইভাম,	ইভিএম,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
deke,	দেকে,	ডেকে,	
pratiyogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
haak,	হাক,	হুক,	
naran,	নরন,	নরেন,	
hillse,	হিলসে,	হিলসে,	
firoj,	ফিরজ,	ফিরোজ,	
ghur,	ঘুর,	ঘুর,	
firoz,	ফিরজ,	ফিরোজ,	
sphincter,	স্ফিন্টের,	স্ফিংটার,	
afzal,	আফজাল,	আফজল,	
aastikotaa,	অস্তিকোতা,	আস্তিকতা,	
kyamone,	ক্যামন,	কেমনে,	
armstrong,	আর্স্ট্রং,	আর্মস্ট্রং,	
torabgunj,	তরাবাগগ,	তোরাবগঞ্জ,	
mukhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
chhatrorai,	ছাত্ররাই,	ছাত্ররাই,	
afjol,	আফজল,	আফজল,	
morodeho,	মোরেদহ,	মরদেহ,	
prrajanankaal,	প্রজাননাকলল,	প্রজননকাল,	
chhuteer,	ছুটির,	ছুটির,	
bharadwaja,	ভারাদ্যযা,	ভরদ্বাজ,	
dayitta,	দৈব্য,	দায়িত্ব,	
swapad,	স্বাদদ,	শ্বাপদ,	
bonduk,	বন্দুক,	বন্দুক,	
cheettronnatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
leaders,	লিডার্স,	লিডার্স,	
prochondo,	প্রচন্দ,	প্রচণ্ড,	
chintai,	চিন্তাই,	ছিনতাই,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
akar,	একার,	একার,	
pacchi,	পাচ্ছি,	পাচ্ছি,	
dhorer,	ধরের,	ধরের,	
pare,	পারে,	পাড়ে,	
shansthatir,	সংস্থাটির,	সংস্থাটির,	
naditir,	নদীতীর,	নদীটির,	
zoojyota,	যোজ্যতা,	যোজ্যতা,	
sikkhartheerao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
janes,	জেনস,	জোন্স,	
torabganj,	তরাবাগাঞ্জ,	তোরাবগঞ্জ,	
ashe,	আশে,	আসে,	
canal,	ক্যানাল,	ক্যানেল,	
kayartara,	কায়ার্টার,	কোয়ার্টার,	
rohasyati,	রহহ্যাটি,	রহস্যটি,	
mukhamandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
horash,	হরাশ,	হোরাস,	
rohosyor,	রসহ্যর,	রহস্যর,	
treta,	ট্রেট,	ত্রেতা,	
samanyai,	সামান্যই,	সামান্যই,	
heeli,	হিলি,	হিলি,	
moreecha,	মরিচা,	মরিচা,	
shaantaa,	সান্টা,	সান্তা,	
khalidke,	খলিদকে,	খালিদকে,	
arjora,	অর্জোরা,	আর্যরা,	
baibasthar,	ব্যবস্থার,	ব্যবস্থার,	
azimpur,	অজিম্পুর,	আজিমপুর,	
zuktorastreo,	যুক্তরাস্ট্রেয়,	যুক্তরাষ্ট্রেও,	
abhidhaanik,	আভিধানিক,	অভিধানিক,	
shyutara,	স্যুটার,	শ্যুটার,	
chanoo,	চানো,	চানু,	
asocheton,	অসচেতন,	অসচেতন,	
soccer,	সক্্যার,	সকার,	
tribhuj,	ত্রিভুজ,	ত্রিভূজ,	
parqing,	পার্কিং,	পার্কিং,	
masterer,	মাস্তারের,	মাস্টারের,	
geeja,	গেজা,	গেজ,	
ongkush,	অঙ্কুশ,	অংকুশ,	
nirbachaker,	নির্বাচকের,	নির্বাচকের,	
snipper,	সিনপপের,	স্নাইপার,	
karmosansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
ghamta,	ঘমতা,	ঘোমটা,	
chotogolpe,	চটোগল্পে,	ছোটগল্পে,	
moricha,	মরিচা,	মরিচা,	
ponchashjon,	পঞ্চাজন,	পঞ্চাশজন,	
bahjya,	বাহ্য্য,	বাহ্য,	
johny,	জনি,	জনি,	
chhootir,	ছুটির,	ছুটির,	
huk,	হুক,	হুক,	
prakalpogulor,	প্রকাপপুগোলোর,	প্রকল্পগুলোর,	
deeares,	ডিরেশ,	ডিআরএস,	
gaddaphii,	গাদ্যাফি,	গাদ্দাফী,	
nariiderke,	নারীদেরকে,	নারীদেরকে,	
jemi,	জেমি,	জেমি,	
bikaargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
sahojlabhbhotar,	সহজলভভাতার,	সহজলভ্যতার,	
tateo,	ততেও,	তাতেও,	
hatochakito,	হতচাকিত,	হতচকিত,	
polo,	পোলো,	পোলো,	
bhaibonder,	ভবন্দের,	ভাইবোনদের,	
goteerodh,	গতিরোধ,	গতিরোধ,	
palteche,	পাল্টেছে,	পাল্টেছে,	
siddhantao,	সিদ্ধান্তব,	সিদ্ধান্তও,	
danob,	দানব,	দানব,	
bhabnar,	ভানাার,	ভাবনার,	
dumaa,	দুমা,	দুমা,	
balatkar,	বললাটার,	বলাৎকার,	
resort,	রিসর্ট,	রিসোর্ট,	
oncholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
panchasjan,	পঞঞচাজ্যান,	পঞ্চাশজন,	
azimke,	আজিমকে,	আজিমকে,	
karmakarer,	কর্মকারের,	কর্মকারের,	
keyboard,	কেবোর্ড,	কীবোর্ড,	
protimar,	প্রতিমার,	প্রতিমার,	
prithibir,	পৃথিবীর,	পৃথবীর,	
udbhabony,	উদ্ভববনী,	উদ্ভাবনী,	
chhathke,	ছাতকে,	ছাতকে,	
byabostha,	ব্যবস্থা,	ব্যাবস্থা,	
cholocchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
directarate,	ডিরেক্টরেট,	ডিরেক্টরেট,	
rob,	রব,	রব,	
naaji,	নাজি,	নাত্সি,	
sanaktakaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
mozlish,	মজলিস,	মজলিশ,	
rifleksa,	রিফলক্স,	রিফ্লেক্স,	
augusteen,	অগস্টিন,	অগাস্টিন,	
bibecchyo,	বিবেচ্ছ,	বিবেচ্য,	
bahubar,	বহুবার,	বহুবার,	
bharkendra,	ভার্কেন্দ্র,	ভরকেন্দ্র,	
shuperhero,	সুপেহেরও,	সুপারহিরো,	
aidii,	আইডি,	আইডিই,	
nilabha,	নীলভা,	নীলাভ,	
gaichhe,	গাইছে,	গাইছে,	
noitikata,	নৈতিকাত,	নৈতিকতা,	
mukharji,	মুখার্জি,	মুখার্জী,	
chhon,	ছোন,	ছোঁ,	
jansa,	জান্স,	জোন্স,	
obheegomon,	অভিগোন,	অভিগমন,	
modhumoti,	মধুমতি,	মধুমতী,	
prokolpou,	প্রকল্প,	প্রকল্পও,	
chamoski,	চমস্কী,	চমস্কি,	
jeevjontu,	জীভন্তু,	জীবজন্তু,	
kemane,	কেমনে,	কেমনে,	
laaishenshh,	লাইনেস্স,	লাইসেন্স,	
model,	মোডেল,	মডেল,	
tyuner,	টিউনের,	টিউনার,	
manushti,	মানুষটি,	মানুষটি,	
apocheshta,	অপযেচ্ষেট,	অপচেষ্টা,	
bhageri,	ভাগেরই,	ভাগেরই,	
osoborno,	অসবর্ন,	অসবর্ণ,	
