sukkho,	শুক্ষ্,	সুক্ষ্ম,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
dang,	ডাং,	ডং,	
paira,	পাই়ার,	পাইরা,	
bites,	বিটেস,	বাইটস,	
jibnagar,	জীবনগর,	জীবননগর,	
ongkush,	অঙকুস,	অংকুশ,	
vabotarini,	ভবরটিরিন,	ভবতারিণী,	
hajeerhatt,	হাহেরাট্ট,	হাজিরহাট,	
eporjonta,	এপরজ্্ত,	এপর্যন্ত,	
akhhunno,	অখ্যুন্ন,	অক্ষুণ্ণ,	
kiandi,	কিযান্ডি,	ক্যান্ডি,	
engrejiteo,	এংরেজিতে,	ইংরেজিতেও,	
probhritir,	প্রভৃতির,	প্রভৃতির,	
utsaho,	উৎসহ,	উৎসাহ,	
dhrubok,	ধ্রুবক,	ধ্রুবক,	
amarjito,	আমর্জিত,	অমার্জিত,	
tookrotey,	টুকরতে,	টুকরোতে,	
progress,	প্রোগ্রেস,	প্রগ্রেস,	
ezenda,	এজেন্ড,	এজেন্ডা,	
baard,	বার্ড,	বার্ড,	
santose,	সন্ত্ে,	সন্তোষে,	
gondogol,	গন্ডগল,	গন্ডগোল,	
amarjita,	আমর্জিত,	অমার্জিত,	
jetei,	জেতেই,	যেতেই,	
shalapheta,	সালফেট,	সালফেট,	
pashchatey,	পাশচাতে,	পশ্চাতে,	
soceitytey,	সোেটিটে,	সোসাইটিতে,	
onodhikaar,	অনধিকার,	অনধিকার,	
sarollo,	সরলল,	সারল্য,	
fal,	ফল,	ফল,	
jank,	জাংক,	জাঁক,	
gostigulo,	গস্তিগুলো,	গোষ্ঠীগুলো,	
engil,	এঞ্গিল,	ইঞ্জিল,	
udbhabani,	উদ্ভাবনী,	উদ্ভাবনী,	
mile,	মিলে,	মাইল,	
seema,	সীমা,	সীমা,	
jeebjontu,	জীবনযুত্,	জীবজন্তু,	
paksenaara,	পাক্সেনার,	পাকসেনারা,	
onekerie,	অনেকারি,	অনেকেরই,	
sthapanar,	স্থাপনার,	স্থাপনার,	
tintike,	তিনটিকে,	তিনটিকে,	
jesh,	জেস,	জেস,	
aashanka,	আশাঙকা,	আশংকা,	
phiqsim,	ফিক্সিং,	ফিক্সিং,	
suparheiro,	সুপারীহা,	সুপারহিরো,	
chhutir,	ছুটির,	ছুটির,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
windos,	ইইন্দোস,	উইন্ডোস,	
jerujaleme,	জেরুজামেলে,	জেরুসালেমে,	
chereche,	চেরেছে,	ছেড়েছে,	
natians,	নাটাইন্স,	নেশনস,	
sow,	সো,	শো,	
deyl,	ডেল,	ডেইল,	
spencer,	স্পেন্সের,	স্পেন্সার,	
shkarta,	স্কার্ট,	স্কার্ট,	
abosorer,	অবশরের,	অবসরের,	
byaboharkareeke,	ব্যবহারকরকে,	ব্যবহারকারীকে,	
bossontoke,	বসন্তকে,	বসন্তকে,	
samle,	সামলে,	সামলে,	
shommoteete,	সম্মতিতে,	সম্মতিতে,	
raya,	রায়া,	রায়,	
graambaashio,	গ্রাম্বাসি,	গ্রামবাসীও,	
inziniyarsa,	ইন্জিনিয়ার্,	ইঞ্জিনিয়ার্স,	
segular,	সেগুলার,	সেগুলোর,	
mulaadee,	মুলাদী,	মুলাদি,	
ponjikar,	পঞ্জিকার,	পঞ্জিকার,	
hishabke,	হিসাবকে,	হিসাবকে,	
palashir,	পালশীর,	পলাশীর,	
ansareer,	অংসরীর,	আনসারীর,	
nagorikderke,	নাগরিকৃদকে,	নাগরিকদেরকে,	
sector,	সেক্টর,	সেক্টর,	
show,	শো,	শো,	
bifol,	বিফল,	বিফল,	
alaul,	আলাল,	আলাওল,	
tiunar,	টিউনার,	টিউনার,	
eporjonto,	এপরজ্নত,	এপর্যন্ত,	
dholeshwari,	ধলেশ্বরী,	ধলেশ্বরী,	
buffer,	বাফফের,	বাফার,	
unitsaho,	উনিতসসহ,	ইউনিটসহ,	
tenishe,	টেনিস,	টেনিসে,	
daakticket,	ডাক্তিকেট,	ডাকটিকিট,	
surkey,	সারকে,	সুরকে,	
balabhadra,	বলভাদ্র,	বলভদ্র,	
koro,	কোরো,	কর,	
rajatta,	রাজত্তা,	রাজত্ব,	
bhaangchur,	ভাঙ্চুর,	ভাংচুর,	
atak,	আটাক,	আটক,	
rajashri,	রাবার্,	রাজশ্রী,	
grambasider,	গ্রাম্বাসের,	গ্রামবাসীদের,	
purple,	পার্পল,	পার্পেল,	
maradeho,	মারেধা,	মরদেহ,	
onnkita,	অন্কিত,	অঙ্কিতা,	
oncholshomuher,	অন্চমসমুহের,	অঞ্চলসমূহের,	
crucer,	ক্রুসের,	ক্রুশের,	
si,	সিই,	এসআই,	
oncholgoolir,	অঞ্চলুলির,	অঞ্চলগুলির,	
uddhrita,	উদ্ধৃত,	উদ্ধৃত,	
melbourney,	মেলবার্নে,	মেলবোর্নে,	
elakati,	এলাকাটি,	এলাকাটি,	
udbhaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
mulgato,	মুলগত,	মূলগত,	
koreemer,	করিমের,	করিমের,	
mojlish,	মজলিস,	মজলিশ,	
eling,	এলিং,	ইলিং,	
kaale,	কালে,	কালে,	
janasamaj,	জনসমমজ,	জনসমাজ,	
cholochchitroi,	চলচিত্ররি,	চলচ্চিত্রই,	
asabhya,	অশভ্য,	অসভ্য,	
byaboharkariderke,	ব্যবহারকরিকরণে,	ব্যবহারকারীদেরকে,	
qanasarabheshana,	কনসারেশন,	কনসারভেশন,	
sanghitar,	সংঘীতার,	সংহিতার,	
verma,	ভার্ম,	ভার্মা,	
homes,	হোমেস,	হোমস,	
byte,	বিতে,	বাইট,	
bordhitangsho,	বর্ধিতন্ম,	বর্ধিতাংশ,	
panero,	পানেরও,	পনের,	
reeno,	রেনো,	রেনো,	
obdi,	অব্দি,	অব্দি,	
kanooner,	কননের,	কানুনের,	
mesenzar,	মেসনেজার,	মেসেঞ্জার,	
murader,	মুরাদের,	মুরাদের,	
shahab,	শাহাব,	সাহাব,	
bolokarak,	বলককরক,	বলকারক,	
ul,	উল,	উল,	
tahalo,	তাহল,	তাহলো,	
taioyana,	টাইওয়ান,	তাইওয়ান,	
qonfliqt,	কনফিক্ট,	কনফ্লিক্ট,	
rapto,	রপ্ত,	রপ্ত,	
dephinesana,	ডেফেনেশন,	ডেফিনেশন,	
paschater,	পাশচাতের,	পশ্চাতের,	
koda,	কোডা,	কোড,	
samratder,	সমর্তদের,	সম্রাটদের,	
bosoben,	বসবেন,	বসবেন,	
antarvuktimulak,	অন্তর্মুন্তিকূল,	অন্তর্ভুক্তিমূলক,	
harja,	হর্জ,	হার্জ,	
nishad,	নিশাদ,	নিষাদ,	
ghomtaa,	ঘমতা,	ঘোমটা,	
rahee,	রাহী,	রাহি,	
robe,	রবে,	রবে,	
cheento,	চিন্ত,	চিনতো,	
tottenhamer,	তত্তনেল্মের,	টটেনহামের,	
sthaponagulo,	স্থাপানগুলো,	স্থাপনাগুলো,	
toroonra,	তরুন্রা,	তরুণরা,	
koonti,	কুনটি,	কুন্তী,	
noubihar,	নৌবিহার,	নৌবিহার,	
korley,	করলে,	করলে,	
sniper,	স্নীপের,	স্নাইপার,	
cheettronnatyokar,	চিত্রনান্চকার,	চিত্রনাট্যকার,	
postkay,	পোস্টা,	পোস্টকে,	
chirkut,	চিরকু,	চিরকুট,	
dhorer,	ধরের,	ধরের,	
chalta,	চলতা,	চালতা,	
kaushalgata,	কাশলগত,	কৌশলগত,	
labonaaktotaar,	লবনাক্ততার,	লবণাক্ততার,	
keu,	কিউ,	কেউ,	
jatok,	যতক,	জাতক,	
karuna,	কারুনা,	করুণা,	
jyaqa,	জ্যাক,	জ্যাক,	
codey,	কোডে,	কোডে,	
manshe,	মাঁসে,	মানুষে,	
swasti,	স্বস্তি,	স্বস্তি,	
spreadsiit,	স্প্রোরিশট,	স্প্রেডশীট,	
lajik,	লাজিক,	লজিক,	
chhotogalper,	ছোটগলল্পের,	ছোটগল্পের,	
narafoka,	নরফকা,	নরফোক,	
valobasake,	ভালবাসকে,	ভালোবাসাকে,	
ashshociatesh,	অস্সোটেসিস,	এসোসিয়েটস,	
nisad,	নিশদ,	নিষাদ,	
karadandey,	কররান্ডে,	কারাদণ্ডে,	
pooshti,	পুষ্টি,	পুষ্টি,	
bishwashi,	বিশ্বাসী,	বিশ্বাসী,	
vogiroth,	ভগিরো,	ভগীরথ,	
gitikabita,	গিতিকাবিত,	গীতিকবিতা,	
nothivuktir,	নথিবুক্তির,	নথিভুক্তির,	
sohokari,	সহকারী,	সহকারী,	
konisttha,	কোনিস্ঠ,	কনিষ্ঠ,	
bishshaasho,	বিশ্বাস,	বিশ্বাসও,	
sulphate,	সুলফাতে,	সালফেট,	
goteerodh,	গতিরোধ,	গতিরোধ,	
mumtazer,	মুমতাজের,	মুমতাজের,	
oindrila,	আন্ড্রিল,	ঐন্দ্রিলা,	
alkatra,	অলকত্র,	আলকাতরা,	
ghoomachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
diphinision,	ডিফিনিশন,	ডেফিনেশন,	
dwipgulo,	দ্বীপগুলো,	দ্বীপগুলো,	
zoonite,	জুনিতে,	যোনীতে,	
shaddhi,	সদ্ধি,	সাধ্বী,	
grooth,	গ্রুথ,	গ্রোথ,	
grambaaseeo,	গ্রাম্বাই,	গ্রামবাসীও,	
sudha,	সুধ,	সুধা,	
sotorkota,	সতর্কতা,	সতর্কতা,	
kleentoner,	ক্লিন্টনের,	ক্লিনটনের,	
edaningkale,	এদানিংকালে,	ইদানীংকালে,	
soundorjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
bidrohiderke,	বিদ্রীরেধে,	বিদ্রোহীদেরকে,	
youth,	হাউথ,	ইয়ুথ,	
alaoul,	আলাউল,	আলাওল,	
ghatity,	ঘটিটি,	ঘাঁটিটি,	
sthaponatir,	স্থাপনটটির,	স্থাপনাটির,	
dalu,	ডালু,	ডালু,	
grambasir,	গ্রাম্বাসীর,	গ্রামবাসীর,	
baipash,	বাইপাস,	বাইপাস,	
poper,	পপের,	পোপের,	
abheedhaanick,	অভিধানিক্স,	অভিধানিক,	
narikei,	নারীকেই,	নারীকেই,	
sarjur,	সার্যুর,	সরযূর,	
query,	কাইজি,	কোয়েরি,	
barbadoj,	বার্বাদোজ,	বার্বাডোজ,	
saurse,	সার্স,	সোর্স,	
uponeesoder,	উপনিশদের,	উপনিষদের,	
atmobishvashi,	আত্মভিবশ্ষী,	আত্মবিশ্বাসী,	
shangkalone,	সংকললনে,	সংকলনে,	
suraarop,	সুরারপ,	সুরারোপ,	
ministerer,	মিনিস্ট্রের,	মিনিস্টারের,	
kanflikt,	কাঁফিক্ট,	কনফ্লিক্ট,	
abosore,	অবশরে,	অবসরে,	
nathibhuktir,	নথিবুক্তির,	নথিভুক্তির,	
netions,	নেটিয়ান,	নেশনস,	
jackson,	যক্ষণ,	জ্যাকসন,	
break,	ব্রিক,	ব্রেক,	
shov,	শো,	শো,	
mumtajer,	মুমতাজের,	মুমতাজের,	
gafiloti,	গাফিলটি,	গাফিলতি,	
dhaleshwari,	ধালেশ্বরী,	ধলেশ্বরী,	
kaamla,	কাম্যা,	কামলা,	
shikha,	শিখা,	শিখ,	
meeting,	মেটিং,	মিটিং,	
kokeyin,	কোেন,	কোকেইন,	
sinake,	সিনকে,	সিনাকে,	
daeel,	ডাইল,	ডেইল,	
longhan,	লংঘন,	লংঘন,	
graambasio,	গ্রাম্বাসি,	গ্রামবাসীও,	
upobasi,	উপবাষী,	উপবাসী,	
gujaber,	গুজবের,	গুজবের,	
jibanto,	জীবন্ত,	জীবন্ত,	
tyap,	ট্যাপ,	ট্যাপ,	
jonopoth,	যোোপথ,	জনপথ,	
janaalo,	জনালো,	জানালো,	
siddhantake,	সিদ্ধানতকে,	সিদ্ধান্তকে,	
bongshokey,	বংশকে,	বংশকে,	
dolgulo,	দলগুলো,	দলগুলোও,	
spashtatai,	স্প্সততাই,	স্পষ্টতই,	
sangastha,	সংস্থ,	সংস্থা,	
elakaao,	এলাকাও,	এলাকাও,	
musharraf,	মুশার্ফ,	মশাররফ,	
dhhaloor,	ঢালুর,	ঢালুর,	
prokalpagulo,	প্রকাপলগুলো,	প্রকল্পগুলো,	
orthonitikey,	অর্থনিতিকে,	অর্থনীতিকে,	
adhuna,	অধুনা,	অধুনা,	
tofat,	টোটা,	তফাৎ,	
bashitey,	বাসিতে,	বাঁশিতে,	
besirbhaagi,	বেশ্রভাগী,	বেশিরভাগই,	
kkomandar,	কমান্ডার,	কমাণ্ডার,	
adhattikota,	অধাত্যিকতা,	আধ্যাত্মিকতা,	
chetana,	চেটান,	চেতনা,	
ministara,	মিনিস্টর,	মিনিস্টার,	
korkotkrantee,	কর্কক্রত্রিি,	কর্কটক্রান্তি,	
messenjer,	মেসনেজের,	মেসেঞ্জার,	
atiteo,	অতিতেও,	অতীতেও,	
teemur,	টিমুর,	তিমুর,	
jacq,	জাক,	জ্যাক,	
aireshe,	আইরেশে,	আইরেসে,	
korlei,	করলেই,	করলেই,	
jounatar,	যৌনাতার,	যৌনতার,	
rajbondir,	রাজবন্দীর,	রাজবন্দীর,	
osommotite,	অসম্তিতে,	অসম্মতি,	
lotharan,	লথারন,	লুথেরান,	
hyundai,	হাউন্ডাই,	হুন্দাই,	
ostader,	অস্তাদের,	ওস্তাদের,	
neurolojy,	নিফোজলি,	নিউরোলজি,	
sheekarer,	শিকারের,	শিকারের,	
talgaachh,	টলগাচ,	তালগাছ,	
jonmaat,	জন্মাত,	জন্মাত,	
thelaa,	থেলা,	ঠেলা,	
suraaropeeto,	সুরাপাপিত,	সুরারোপিত,	
procharonamoolok,	প্রচারণামূলক,	প্রচারণামূলক,	
digrike,	ডিগ্রিকে,	ডিগ্রিকে,	
koommandar,	কমান্ডার,	কমাণ্ডার,	
estaniya,	এস্টেনিয়া,	এস্তোনিয়া,	
embed,	এমেড,	এম্বেড,	
grotha,	গ্রথ,	গ্রোথ,	
easter,	এস্টের,	ইস্টের,	
oboshore,	অবশরে,	অবসরে,	
mookhbaundho,	মুখবুন্ধ,	মুখবন্ধ,	
betsman,	বেটস্মান,	ব্যাটসম্যান,	
aazadir,	আজাদীর,	আজাদীর,	
sitting,	সিট্যিং,	সিটিং,	
shajanor,	সাজানোর,	সাজানোর,	
cholochchitreo,	চলচিত্রে,	চলচ্চিত্রেও,	
maila,	মাইল,	মাইল,	
mozdur,	মজুদর,	মজদুর,	
lohaar,	লাহার,	লোহার,	
auxfordey,	আক্পোর্ডে,	অক্সফোর্ডে,	
tarunra,	তারুণ্া,	তরুণরা,	
drissoi,	ডৃশই,	দৃশ্যই,	
chhintayikari,	ছিন্তাচারি,	ছিনতাইকারী,	
cakee,	কেক,	কেকে,	
esiyatika,	এসিযাটিক,	এশিয়াটিক,	
ghaghat,	ঘোঘাত,	ঘাঘট,	
pirujali,	পিরুজালি,	পিরুজালী,	
superheiroo,	সুপেরিরহ,	সুপারহিরো,	
jeebonjapon,	জীবনযাপন,	জীবনযাপন,	
kampito,	কম্পিত,	কম্পিত,	
jerujalem,	জারিজামেল,	জেরুসালেম,	
chaka,	চাকা,	চাকা,	
state,	স্টেট,	স্টেইট,	
kodom,	কোম,	কদম,	
mozlis,	মজলিস,	মজলিশ,	
gejeted,	গেজেটেড,	গেজেটেড,	
karta,	কর্ত,	করতা,	
neermolotaa,	নির্ললতা,	নির্মলতা,	
municipal,	মুনিকিপল,	মিউনিসিপ্যাল,	
kaaferder,	কাফেরদের,	কাফেরদের,	
shaattoki,	সাত্তকি,	সাত্যকি,	
black,	ব্লক,	ব্ল্যাক,	
nathivuktir,	নথিবুক্তির,	নথিভুক্তির,	
dajhya,	দাহ্য,	দাহ্য,	
prokalpaguli,	প্রকাপলগুলি,	প্রকল্পগুলি,	
pathanatak,	পাঠানা,	পথনাটক,	
bhogni,	ভগ্নী,	ভগ্নী,	
shlok,	স্লক,	শ্লোক,	
horidbare,	হরিদ্বারে,	হরিদ্বারে,	
diphinishion,	ডিফিনিশন,	ডেফিনেশন,	
siramiqasa,	সিরামিকাস,	সিরামিকস,	
otiiteo,	অতিতেই,	অতীতেও,	
avereste,	অভেরস্টে,	এভারেস্টে,	
dhas,	ধাস,	ধস,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
