pulse,	পালসে,	পালস,	
abahon,	আবাহন,	আবাহন,	
cholochchitrer,	চলচিত্রের,	চলচ্চিত্রের,	
dorgah,	দরগাহ,	দরগাহ,	
teemothee,	তিমথি,	টিমোথি,	
fostar,	ফোস্টার,	ফস্টার,	
definishian,	ডেফিনিশন,	ডেফিনেশন,	
teemur,	তিমুর,	তিমুর,	
tonu,	টনু,	তনু,	
kyaneela,	ক্যানেল,	ক্যানেল,	
srabosty,	স্বরস্তি,	শ্রাবস্তী,	
nagarikera,	নাগরিকেরা,	নাগরিকেরা,	
daltagi,	দলতাযাগি,	দলত্যাগী,	
aziboner,	আজিবনের,	আজীবনের,	
dharavahiktite,	ধারাভিক্তিতে,	ধারাবাহিকটিতে,	
chhootochhuti,	ছুটছুটি,	ছুটোছুটি,	
parpel,	পার্পেল,	পার্পেল,	
antorvuktimulak,	অন্তর্তুক্তূমক,	অন্তর্ভুক্তিমূলক,	
gaafeeloti,	গাফিলতি,	গাফিলতি,	
matriroop,	মাত্রীপু,	মাতৃরূপ,	
metropalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
chowdhurir,	চৌধুরির,	চৌধুরীর,	
gaddafee,	গাডডাফি,	গাদ্দাফী,	
rejidensh,	রেজিডেন্স,	রেসিডেন্স,	
uposthit,	উপস্থিত,	উপস্থিত,	
joubanboti,	যৌবনবটি,	যৌবনবতী,	
alaol,	আলাল,	আলাওল,	
aswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
sardar,	সর্দার,	সরদার,	
hoj,	হজ,	হয,	
murader,	মুরদের,	মুরাদের,	
treta,	ট্রাট,	ত্রেতা,	
swasti,	স্বস্তি,	স্বস্তি,	
marmaara,	মার্মার,	মারমারা,	
tookrotey,	টুকরোতে,	টুকরোতে,	
staylish,	স্টাইলিস,	স্টাইলিশ,	
kartam,	করতম,	করতাম,	
kaande,	কাঁডে,	কাণ্ডে,	
shatjoner,	সাটজনের,	সাতজনের,	
byaaran,	ব্যারন,	ব্যারন,	
mit,	মিট,	মিট,	
maroofer,	মরফুর,	মারুফের,	
idaningkale,	আইডানিকলে,	ইদানীংকালে,	
kooyeri,	কোয়ারি,	কোয়েরি,	
obosan,	অবসন,	অবসান,	
gaandaas,	জান্ডাস,	জ্ঞানদাস,	
vishnuu,	বিষ্ণু,	বিষ্ণু,	
ongshograhon,	অংশগ্রহণ,	অংশগ্রহন,	
ancholgoolote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
pleta,	প্লাইট,	প্লেটো,	
craze,	ক্রেজ,	ক্রেজ,	
hughes,	হাইেস,	হিউজেস,	
meterey,	মেটারে,	মিটারে,	
mosharroph,	মোশাররফ,	মশাররফ,	
neker,	নেকের,	নেকের,	
bhumija,	ভূমিজা,	ভূমিজ,	
edmeeral,	এডমিরাল,	এডমিরাল,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
nodiitir,	নদীতীর,	নদীটির,	
cholocchitrotike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
bodhirota,	বধিরতা,	বধিরতা,	
chhotogalper,	ছোটোগল্পের,	ছোটগল্পের,	
alankaron,	অলংকরণ,	অলঙ্করণ,	
gazetted,	গেজেট্ট,	গেজেটেড,	
onkush,	অঙ্কুশ,	অংকুশ,	
dumaa,	দুমা,	দুমা,	
ustaad,	ইষ্টাদ,	উস্তাদ,	
padarthabidder,	পদার্থবিদের,	পদার্থবিদদের,	
baugey,	বাগে,	বাগে,	
plate,	প্লেট,	প্লেট,	
samratder,	সমর্তদের,	সম্রাটদের,	
uroor,	ইরুর,	উরুর,	
manushsoho,	মনুসহস,	মানুষসহ,	
chilahatee,	চিলাহটি,	চিলাহাটি,	
biharey,	বিহরে,	বিহারে,	
uttar,	উত্তর,	উওর,	
poripake,	পরিপাকে,	পরিপাকে,	
geza,	গেইজ,	গেজ,	
noitikota,	নৈতিকতা,	নৈতিকতা,	
baibasthar,	ব্যবস্থার,	ব্যবস্থার,	
sosar,	সসার,	সকার,	
mawdel,	মডেল,	মডেল,	
kanuner,	কানুনের,	কানুনের,	
shoti,	শতী,	শোটি,	
allahabade,	আলাহাবাদে,	এলাহাবাদে,	
kaathhmaandute,	কাঠমন্ডুতে,	কাঠমান্ডুতে,	
augusteen,	আগস্টিন,	অগাস্টিন,	
nirvachakder,	নির্বাচকদের,	নির্বাচকদের,	
shotodha,	শততা,	শতধা,	
bijepi,	বিজেপী,	বিজেপি,	
rajbondi,	রাজবন্দী,	রাজবন্দী,	
karle,	করলে,	করলে,	
sanyal,	স্যান্য,	সান্যাল,	
kara,	করা,	কারো,	
maniktola,	মানিকতাল,	মানিকতলা,	
maailey,	মেইল,	মাইলে,	
ongshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
stonahenja,	স্টোনাহেঞ্জ,	স্টোনহেঞ্জ,	
bossoben,	বসবানে,	বসবেন,	
overview,	ওভারভিয়,	ওভারভিউ,	
chocchitrei,	চক্চিত্রেই,	চলচ্চিত্রেই,	
abul,	আবুল,	আবুল,	
janoika,	জনকিকা,	জনৈকা,	
aksathe,	একসাথে,	একসাথে,	
abheedhanik,	আভিধনিক,	অভিধানিক,	
booth,	বুথ,	বুথ,	
ujobekeestaner,	উজবেজসিক্তানের,	উজবেকিস্তানের,	
indr,	ইন্ড্রোর,	ইন্দ্র,	
marathi,	মারাঠি,	মরাঠি,	
assoociates,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
mumtajer,	মমতাজের,	মুমতাজের,	
spreadsiit,	স্প্রেডিট,	স্প্রেডশীট,	
naditike,	নদীতিকে,	নদীটিকে,	
tuni,	টুনি,	টুনি,	
dearas,	ডিরাস,	ডিআরএস,	
roialti,	রোলাটি,	রয়্যালটি,	
teamothy,	টিমথি,	টিমোথি,	
buth,	বুথ,	বুথ,	
qor,	কোর,	কর,	
kareer,	কারির,	কারীর,	
drishi,	দৃশি,	দৃশ্যই,	
sabchey,	সবছে,	সবচে,	
korimke,	করিমকে,	করিমকে,	
juktarashtrasaha,	যুক্তরস্রাসহ,	যুক্তরাষ্ট্রসহ,	
firoja,	ফিরোজ,	ফিরোজা,	
gabeshakgon,	গবেষণগক,	গবেষকগণ,	
jahora,	জহোরা,	যাহরা,	
shhcholashtic,	স্কলাস্টিক,	স্কলাস্টিক,	
vangey,	ভাঙ্গে,	ভাঙ্গে,	
jaater,	যাতের,	জাতের,	
prosadhoni,	প্রসাধনী,	প্রসাধনী,	
jomkaalo,	জোমকালো,	জমকালো,	
jatotaa,	যতটা,	যতোটা,	
asiph,	আসিফ,	আসিফ,	
bodka,	বোদকা,	ভদকা,	
muhammada,	মুহাম্মাদ,	মুহাম্মদ,	
hugh,	হুঘ,	হিউজ,	
tarkarir,	তরকারির,	তরকারীর,	
mukhyo,	মুখ্য,	মুখ্য,	
vagadada,	ভাগাদা,	বাগদাদ,	
avijojan,	অভিযোজন,	অভিযোজন,	
baarak,	বারাক,	বারাক,	
graambaaseeo,	গ্রাম্বাসীও,	গ্রামবাসীও,	
ponthar,	পন্থার,	পন্থার,	
uchchotaro,	উচ্চতরও,	উচ্চতর,	
granthati,	গ্রন্থটি,	গ্রন্থটি,	
atarkitey,	আ্যাটরিকেট,	অতর্কিতে,	
ikbaaler,	একবলের,	ইকবালের,	
neemitte,	নিমিত্যে,	নিমিত্তে,	
brittakar,	বৃত্তকার,	বৃত্তাকার,	
gobeshanagar,	গবেষণাগার,	গবেষনাগার,	
sastra,	সাস্ত্র,	শাস্ত্র,	
cholochchitratike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
deebug,	দিবুগ,	ডিবাগ,	
reliance,	রিলিয়ন্স,	রিলায়েন্স,	
elaka,	এলাকা,	এলাকা,	
bafal,	বাফল,	বিফল,	
sqalastiqa,	স্কল্টসিক,	স্কলাস্টিক,	
gorib,	গরীব,	গরিব,	
bajite,	বাজিতে,	বাজিতে,	
associatis,	অ্যাসোসিয়েটিস,	এসোসিয়েটস,	
gondogol,	গণ্ডগোল,	গন্ডগোল,	
larson,	লার্সন,	লারসন,	
dibidh,	দিবিধ,	দ্বিবিধ,	
nirbachokder,	নির্বাচকদের,	নির্বাচকদের,	
sorbopori,	সর্বোপরি,	সর্বোপরী,	
texaser,	ট্যাক্সাসের,	টেক্সাসের,	
hajartee,	হজরটি,	হাজারটি,	
janar,	যাঁর,	জানার,	
karmopantha,	কর্মপন্থ,	কর্মপন্থা,	
sarbharer,	সারভারের,	সার্ভারের,	
prakalpoti,	প্রকলপটি,	প্রকল্পটি,	
instant,	ইন্সট্যান্ট,	ইনস্ট্যান্ট,	
armeenian,	আরমেনিয়ান,	আর্মেনিয়ান,	
iukyaliptasa,	এক্যালপিটস্ট,	ইউক্যালিপ্টাস,	
chaity,	চাইটি,	চৈতি,	
pathanatak,	পথনাতক,	পথনাটক,	
sip,	সিপ,	শিপ,	
ekshor,	একশর,	একশোর,	
gobhornorer,	গভর্নরের,	গভর্ণরের,	
rohoshyor,	রহস্যর,	রহস্যর,	
pujita,	পূজিতা,	পূজিতা,	
shlok,	শ্লোক,	শ্লোক,	
koreempur,	করিমপুর,	করিমপুর,	
ganoporibohoner,	গণপরিবহনের,	গণপরিবহনের,	
install,	ইনস্টল,	ইন্সটল,	
aukhando,	অখন্ড,	অখন্ড,	
taresa,	তরেসা,	টেরেসা,	
qaferderkey,	ক্যাফেরদেরকে,	কাফেরদেরকে,	
kuery,	কুয়ারি,	কোয়েরি,	
ranangone,	রণাঙ্গনে,	রণাঙ্গনে,	
sikkhokbreendo,	শিক্ষাক্রণিদ্য,	শিক্ষকবৃন্দ,	
bisnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
biqe,	বিকে,	বাইক,	
sanaktakaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
sirameeks,	সিরামিক্স,	সিরামিকস,	
shikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
gosthiti,	গোষ্ঠিতি,	গোষ্ঠীটি,	
shangkalonti,	সংকলনটি,	সংকলনটি,	
treevuj,	ত্রিভুজ,	ত্রিভূজ,	
kadom,	কাদম,	কদম,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
dharabahikotitey,	ধারাবাহিকটিতে,	ধারাবাহিকটিতে,	
dep,	ডিপ,	ডেপ,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
dakope,	ডাকোপে,	দাকোপ,	
societytey,	সোকিয়েটে,	সোসাইটিতে,	
bojhe,	বঝে,	বোঝে,	
everestey,	ইভেরেস্টে,	এভারেস্টে,	
vabna,	ভব্না,	ভাবনা,	
maile,	মেলে,	মাইলি,	
falashrutite,	ফলাসরুটিতে,	ফলশ্রুতিতে,	
deepon,	দীপন,	দীপন,	
mukhabandho,	মুখনবন্ধ,	মুখবন্ধ,	
spencer,	স্পেন্সের,	স্পেন্সার,	
granthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
brindo,	বৃণ্ড,	বৃন্দ,	
naitikatavodh,	নীতিকাতোভ,	নৈতিকতাবোধ,	
abdun,	আবদুন,	আবদুন,	
baabul,	বাবুল,	বাবুল,	
afjal,	আফজাল,	আফজল,	
kyantana,	ক্যান্টন,	ক্যান্টন,	
hebhee,	হেভি,	হেভি,	
creesceent,	ক্রিসেন্ট,	ক্রিসেন্ট,	
romonar,	রমনার,	রমনার,	
americar,	অমেরিকার,	আমেরিকার,	
toroonra,	তরুরণা,	তরুণরা,	
bonsho,	বংশ,	বংশ,	
cannel,	ক্যানেল,	ক্যানেল,	
bhaangchoor,	ভাঙচুর,	ভাংচুর,	
manjurul,	মঞ্জুরুল,	মনজুরুল,	
byaboharkaree,	ব্যবহারকারি,	ব্যবহারকারী,	
chanu,	চানু,	চানু,	
jeebonjaapon,	জীবনযাপন,	জীবনযাপন,	
silabhara,	সিলভার,	সিলভার,	
debete,	দেবেতে,	ডিবেট,	
kirk,	কার্ক,	কার্ক,	
quartar,	ক্যার্টার,	কোয়ার্টার,	
omorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
chirota,	চিরতা,	চিরতা,	
shastro,	শাস্ত্র,	শাস্ত্র,	
rajtantrey,	রাজতন্ত্রে,	রাজতন্ত্রে,	
neshhanasha,	নেশনস,	নেশনস,	
ekghore,	একঘরে,	একঘরে,	
randeep,	রণ্ডীপ,	রণদীপ,	
chomski,	চমসকী,	চমস্কি,	
dobhar,	ডভার,	ডোভার,	
shreechoitonyodeb,	শ্রীত্যনৈদ্বদেব,	শ্রীচৈতন্যদেব,	
ghomta,	ঘমতা,	ঘোমটা,	
pragresa,	প্রগ্রেস,	প্রগ্রেস,	
mukhamandal,	মুখমন্ডল,	মুখমণ্ডল,	
antorbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
bitlaser,	বিটলসের,	বিটলসের,	
telakoocha,	টেলাকুচা,	তেলাকুচা,	
olangkoron,	অলংকরণ,	অলঙ্করণ,	
bagichar,	বাগিছার,	বাগিচার,	
the,	ঠি,	থাই,	
udbhaboni,	উদ্ভববনী,	উদ্ভাবনী,	
utkhater,	উৎখাটের,	উৎখাতের,	
gazipur,	গজীপুর,	গাজিপুর,	
karpeter,	কর্পটের,	কার্পেটের,	
simmons,	সিমমন্স,	সিমন্স,	
udiichii,	উদ্ছিই,	উদীচী,	
chon,	চন,	ছোঁ,	
loukeekota,	লৌকিকতা,	লৌকিকতা,	
gazeetteed,	গাজেট্ট,	গেজেটেড,	
nesnosh,	নেন্যস,	নেশনস,	
babilon,	বাবিলন,	ব্যাবিলন,	
sachetan,	সচেতন,	সচেতন,	
nischitorupey,	নিশ্চিতরূপে,	নিশ্চিতরূপে,	
maddhukkori,	মধ্যককরি,	মাধুকরী,	
dharavahiktir,	ধারাভিক্তির,	ধারাবাহিকটির,	
sanghorshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
harir,	হ্যারির,	হরির,	
horipoor,	হরিপুর,	হরিপুর,	
steeit,	স্টেট,	স্টেইট,	
jandrel,	জন্ড্রেল,	জাঁদরেল,	
temani,	তামমানি,	তেমনই,	
bizepi,	বিজেপী,	বিজেপি,	
sithilotar,	সিথিলতার,	শিথিলতার,	
nagoriker,	নাগরিকের,	নাগরিকের,	
hamasa,	হামস,	হোমস,	
phutanto,	ফুতন্ত,	ফুটন্ত,	
proshikkhane,	প্রশিক্ষনে,	প্রশিক্ষণে,	
shniper,	সিনিপার,	স্নাইপার,	
rupantorer,	রূপান্তরের,	রুপান্তরের,	
messanger,	মেসাঙ্গের,	মেসেঞ্জার,	
niro,	নিরো,	নির,	
pathanirdeshana,	পথনির্দেশনা,	পথনির্দেশনা,	
aashirbad,	আশীর্বাদ,	আশির্বাদ,	
tyapa,	ট্যাপ,	ট্যাপ,	
mukhobondho,	মুখনব্ধ,	মুখবন্ধ,	
upobashii,	উপবাসী,	উপবাসী,	
rightsh,	রাইটস,	রাইটস,	
kromo,	ক্রোমো,	ক্রম,	
shtonahenja,	স্টোনাহেঞ্জ,	স্টোনহেঞ্জ,	
gonohottake,	গণহত্তাকে,	গণহত্যাকে,	
minishtara,	মিনিস্টার,	মিনিস্টার,	
utsaahe,	উত্সাহে,	উৎসাহে,	
iyaqa,	ই্যাক,	ইয়াক,	
anchalsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
khizir,	খিজির,	খিজির,	
ganaparibahaner,	গণপরিবহনের,	গণপরিবহনের,	
bolovodro,	বলোভদ্র,	বলভদ্র,	
zzojyota,	যোজ্যতা,	যোজ্যতা,	
syutara,	স্যাটার,	শ্যুটার,	
oteeteo,	অতিতেও,	অতীতেও,	
ja,	যা,	জ্যা,	
deeyenes,	ডিনেন্স,	ডিএনএস,	
strigon,	স্ত্রীগণ,	স্ত্রীগণ,	
satarkobhabe,	সতরকভাবে,	সতর্কভাবে,	
yucalyptus,	ইউক্যালিপটাস,	ইউক্যালিপ্টাস,	
abdi,	আব্দি,	অব্দি,	
chabir,	ছবির,	চাবির,	
ghumachche,	ঘুমচ্ছে,	ঘুমাচ্ছে,	
dembakriti,	ডেম্বকৃতি,	ডিম্বাকৃতি,	
ghesa,	ঘেস,	ঘেঁষা,	
directorete,	ডিরেক্টরেট,	ডিরেক্টরেট,	
chargito,	চার্গিত,	চার্জিত,	
goonoman,	গুণমান,	গুণমান,	
shiqha,	শিখা,	শিখ,	
muhurtoti,	মুহরর্তি,	মুহুর্তটি,	
saseza,	সাসেজা,	সসেজ,	
dadaa,	দাদা,	দাদা,	
harbare,	হারবারে,	হারবারে,	
songrahak,	সংগ্রাহক,	সংগ্রাহক,	
blyaqa,	ব্ল্যাক,	ব্ল্যাক,	
khanonkaaj,	খননকাঞ,	খননকাজ,	
nadigulir,	নদিগুলির,	নদীগুলির,	
jounatar,	যৌনাটার,	যৌনতার,	
besuro,	বেশুর,	বেসুর,	
rubidium,	রুবিডিয়াম,	রুবিডিয়াম,	
dienes,	ডাইনএস,	ডিএনএস,	
bipajjanak,	বিপজজ্জনক,	বিপজ্জনক,	
safi,	সফি,	সাফি,	
swostir,	স্বস্তির,	স্বস্তির,	
spreedashita,	স্পেরশিসত,	স্প্রেডশীট,	
karecha,	করেছ,	করেছ,	
shodhon,	সধন,	শোধন,	
promosioney,	প্রমোশনে,	প্রোমোশনে,	
prostut,	প্রস্তুত,	প্রস্ত্তত,	
syfy,	সিফি,	সাইফাই,	
ooipokar,	উপৈকার,	উইপোকার,	
shoochonakal,	সূচনাকাল,	সূচনাকাল,	
bohubar,	বহুবার,	বহুবার,	
aalkatraa,	আলকাত্র,	আলকাতরা,	
brindabone,	বৃণ্দাবনে,	বৃন্দাবনে,	
arena,	আরেন,	এরিনা,	
lyaata,	ল্যাট,	ল্যাটা,	
jerujaleme,	জেরুলোেে,	জেরুসালেমে,	
rahi,	রহহি,	রাহী,	
bunot,	বুনত,	বুনট,	
anucheder,	অনুচেদের,	অনুচ্ছেদের,	
urur,	উরুর,	উরুর,	
akritakarja,	আকৃতকার্য,	অকৃতকার্য,	
vaisaho,	ভাইসহ,	ভাইসহ,	
gandhir,	গান্ধির,	গান্ধীর,	
mukhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
tookoo,	টোকো,	টুকু,	
michhilti,	মিশিলটি,	মিছিলটি,	
shaartho,	সার্থ,	স্বার্থ,	
yaaq,	যাক,	ইয়াক,	
byabostho,	ব্যবস্থা,	ব্যাবস্থা,	
ganochiener,	গণচিনের,	গণচীনের,	
nirmalata,	নির্মলতা,	নির্মলতা,	
natsi,	নাটসি,	নাত্সি,	
deelibhara,	ডিলিভার,	ডেলিভার,	
romantika,	রোমন্তিক,	রোমান্টিক,	
eshokol,	এসকল,	এসকল,	
neutrino,	নিউট্রিনো,	নিউট্রিনো,	
ancholke,	আঞ্চলকে,	অঞ্চলকে,	
jahor,	জহহর,	জহর,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
sahocorje,	সহকর্যে,	সাহচর্যে,	
megh,	মেঘ,	মেঘ,	
gostigoolo,	গোস্টিগুলো,	গোষ্ঠীগুলো,	
janagononar,	জনগণনার,	জনগণনার,	
baasate,	বাসাতে,	বাসাতে,	
dhhaabi,	ঢাবি,	ঢাবি,	
conistho,	কনিষ্ঠ,	কনিষ্ঠ,	
ganaporibahan,	গণপরিবহন,	গণপরিবহন,	
gaadhaa,	গাধা,	গাধা,	
sahocorrze,	সহকর্যে,	সাহচর্যে,	
janosangyog,	জনসঙ্গ,	জনসংযোগ,	
rushad,	রুষদ,	রুশদ,	
nagarikkey,	নাগরিকে,	নাগরিককে,	
juktorastrosoho,	যুক্তরস্রাসহ,	যুক্তরাষ্ট্রসহ,	
deejeejer,	দিজিজের,	ডিজিজের,	
jokkho,	যক্ষ্ম,	যক্ষ,	
rajoshri,	রাজস্রী,	রাজশ্রী,	
niutrinoo,	নিউট্রিনো,	নিউট্রিনো,	
adhyatmikatar,	আধ্যাত্মিকতার,	আধ্যাত্মিকতার,	
mookhomaundoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
cholocchitreo,	চলচ্চিত্রেও,	চলচ্চিত্রেও,	
dorgaaho,	দরগাহ,	দরগাহ,	
sangbadmadhyomgulote,	সংবাধ্যমগুলোতে,	সংবাদমাধ্যমগুলোতে,	
sbaajaner,	স্বজনের,	স্বজনের,	
baiqa,	বৈক,	বাইক,	
shorif,	শরীফ,	শরিফ,	
bhaskar,	ভাসকার,	ভাস্কর,	
sonali,	সোনালি,	সোনালী,	
dacop,	ডাকোপ,	দাকোপ,	
kantojir,	কান্তজীর,	কান্তজির,	
byabaharkariderke,	ব্যবহারকারিদে,	ব্যবহারকারীদেরকে,	
pretishta,	প্রতিষ্টা,	প্রতিষ্টা,	
gostheeti,	গোষ্ঠীতি,	গোষ্ঠীটি,	
bronje,	ব্রঞ্জ,	ব্রোঞ্জ,	
sangosthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
bedke,	বেদকে,	বেদকে,	
poscater,	পশ্চাতের,	পশ্চাতের,	
shilabhara,	সিলভার,	সিলভার,	
jaqi,	জাকি,	জকি,	
cheerokumari,	চিরকুমরি,	চিরকুমারী,	
reesideencee,	রেসিডেন্সে,	রেসিডেন্স,	
somaptir,	সমাপ্তির,	সমাপ্তির,	
kushoomba,	কুশম্ব,	কুশুম্বা,	
abhiyojan,	অভিযযান,	অভিযোজন,	
qoda,	কোদা,	কোড,	
oparogota,	অপরাগত,	অপারগতা,	
chupi,	চুপি,	চুপি,	
jatook,	যাতুক,	জাতক,	
jakser,	যক্ষের,	যক্ষের,	
paramartha,	পরামর্থা,	পরমার্থ,	
probhura,	প্রভূরা,	প্রভুরা,	
coshon,	কোষণ,	চোষণ,	
reflex,	রাইফ্লেক্স,	রিফ্লেক্স,	
turkeyder,	তুর্কীদের,	তুর্কিদের,	
muhurtati,	মুহুর্তটি,	মুহুর্তটি,	
shombhobonao,	সম্ভব্বাও,	সম্ভবনাও,	
veenis,	ভীনিস,	ভেনিস,	
mugdha,	মুগ্ধ,	মুগ্ধ,	
krishenta,	ক্রিষেন্ট,	ক্রিসেন্ট,	
seconder,	সেকন্ডের,	সেকেন্ডের,	
goora,	গুর,	গোর,	
tokei,	তোকেই,	ত্বকেই,	
kriita,	কৃত,	ক্রীট,	
karu,	করু,	কারো,	
pratishta,	প্রতিষ্টা,	প্রতিষ্টা,	
gardena,	গার্ডেন,	গার্ডেন,	
orrgho,	অর্ঘ,	অর্ঘ্য,	
lagic,	লাগিক,	লজিক,	
oncholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
choudhureeo,	চৌধুরিও,	চৌধুরীও,	
noitikatar,	নৈতিকতার,	নৈতিকতার,	
delivar,	ডিলিভার,	ডেলিভার,	
tata,	টাটা,	তাতা,	
ajibon,	আজিবন,	আজীবন,	
apochesta,	অপচেষ্টা,	অপচেষ্টা,	
godabori,	গদাবরী,	গোদাবরী,	
nothivukteer,	নথিচুক্তির,	নথিভুক্তির,	
tenisa,	টেনিস,	টেনিস,	
paab,	পাব,	পাব,	
admiral,	অ্যাডমিরাল,	এডমিরাল,	
vool,	ভুল,	উল,	
heavi,	হেভি,	হেভি,	
jetei,	যেটিই,	যেতেই,	
heemi,	হিমি,	হিমি,	
thore,	থোর,	থরে,	
poriikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
siiteyi,	সীতেই,	শীতেই,	
