durgotsave,	দুর্গতভাবে,	দুর্গোৎসবে,	
dosider,	দশিদের,	দোষীদের,	
kareer,	ক্যারিয়ার,	কারীর,	
madelim,	ম্যাডেলিং,	মডেলিং,	
amanisa,	অমানিস,	অমানিশা,	
lidara,	লিডার,	লিডার,	
onekeri,	অনেকারি,	অনেকেরই,	
proshadhoner,	প্রসাধানের,	প্রসাধনের,	
agahir,	আগাহীর,	অগভীর,	
bharadwaj,	ভারদাজ,	ভরদ্বাজ,	
esasiyetasa,	এসিসিয়েশন,	এসোসিয়েটস,	
shepherd,	সেফার্ড,	শেফার্ড,	
alonkaran,	অলংকরণ,	অলঙ্করণ,	
obhigomon,	অভিগমণ,	অভিগমন,	
peterkey,	পেটারকে,	পিটারকে,	
orthonitikey,	অর্থনীতিকে,	অর্থনীতিকে,	
chhutir,	ছুটির,	ছুটির,	
jyakashana,	জ্যাকশন,	জ্যাকসন,	
abhishangsan,	অভিসংশন,	অভিশংসন,	
shikkhartheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
soomita,	সুমিতা,	সুমিতা,	
juktarashtreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
obhidhanik,	অভিধানিক,	অভিধানিক,	
fooloo,	ফুলও,	পোলো,	
ovijojan,	অভিযোজনা,	অভিযোজন,	
taitela,	টাইটেল,	টাইটেল,	
damodar,	দমদার,	দামদর,	
sahochorjey,	সহচরর্যে,	সাহচর্যে,	
vishnu,	বিষ্ণু,	বিষ্ণু,	
uroor,	ইউরুর,	উরুর,	
sansthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
bonke,	ব্যকে,	বনকে,	
estoniya,	এস্টনিয়া,	এস্তোনিয়া,	
meyiler,	মেইলের,	মেইলের,	
joisttho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
jerushalem,	জেরুশামেলা,	জেরুসালেম,	
purbancoler,	পূর্বাঙ্কলের,	পূর্বাঞ্চলের,	
cheerokoomari,	চিরকমূরারী,	চিরকুমারী,	
gronthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
dhoka,	ঢোকা,	ধোঁকা,	
madhukooree,	মাধুুরি,	মাধুকরী,	
astikra,	অস্টিক্া,	আস্তিকতা,	
jubokra,	যুবরক,	যুবকরা,	
utsahomulok,	উৎসামূলক,	উৎসাহমূলক,	
horiddar,	হরিদ্রার,	হরিদ্বার,	
satjon,	সৎজন,	সাতজন,	
marketin,	মার্কেটিন,	মার্কেটিং,	
udbhaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
steit,	স্টেইট,	স্টেইট,	
toder,	টোডের,	তদের,	
rothin,	রথিন,	রথীন,	
pathkrom,	পাঠকরম,	পাঠক্রম,	
ronangone,	রণাঙ্গনে,	রণাঙ্গনে,	
saifai,	সাইফ,	সাইফাই,	
padarthabid,	পদার্থবিদ,	পদার্থবিদ,	
antarctica,	অন্টার্কেটা,	অ্যান্টার্কটিকা,	
chat,	চট,	চ্যাট,	
dokanei,	ডোকানেই,	দোকানেই,	
swajaner,	স্বজনের,	স্বজনের,	
eastar,	ইস্টার,	ইস্টার,	
samratder,	সম্মাদদের,	সম্রাটদের,	
akpashe,	একপাশে,	একপাশে,	
surarop,	সুরারপ,	সুরারোপ,	
dharai,	ধরাই,	ধারাই,	
ajeeboner,	আজিবনের,	আজীবনের,	
gardena,	গর্ডেন,	গার্ডেন,	
postac,	পোস্টাক,	পোস্টকে,	
karadandey,	কারাদন্ডে,	কারাদণ্ডে,	
graambaaseeder,	গ্রামবাদীদের,	গ্রামবাসীদের,	
tukrokey,	তুকরকে,	টুকরোকে,	
obhishangson,	অভিসংশন,	অভিশংসন,	
aashor,	আশোর,	আসর,	
grot,	গ্রো,	গ্রোথ,	
gasthigulo,	গস্ঠীগুলো,	গোষ্ঠীগুলো,	
barbe,	বর্বে,	বাড়বে,	
ajeejer,	অজিজের,	আজিজের,	
indrer,	ইন্দ্রের,	ইন্দ্রের,	
saqara,	সাকারা,	সকার,	
venus,	ভেনাস,	ভেনাস,	
rakkhanvag,	রক্ষণাবগ,	রক্ষণভাগ,	
anchaltikey,	অঞ্চলতিকে,	অঞ্চলটিকে,	
chashe,	চাষে,	চেস,	
batikromshali,	বাতিক্রসমালী,	ব্যতিক্রমধর্মী,	
saamaanya,	সামান্য,	সামান্য,	
showte,	শোটে,	শোতে,	
ekoghore,	একঘরে,	একঘরে,	
abhidhaanik,	আভিধানিক,	অভিধানিক,	
korkotkraanti,	কর্কক্রান্তনী,	কর্কটক্রান্তি,	
vejano,	ভেজানো,	ভেজানো,	
bisheshyo,	বিশেষ্য,	বিশেষ্য,	
grip,	গ্রীপ,	গ্রিপ,	
herpher,	হারফের,	হেরফের,	
byaasalt,	ব্যাসাল্ট,	ব্যাসল্ট,	
simmons,	সিমমনস,	সিমন্স,	
protijogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
mausumeo,	মসমিও,	মৌসুমেও,	
plainey,	প্লেনে,	প্লেনে,	
nagare,	নাগারে,	নগরে,	
bima,	বীমা,	বিম,	
byabaharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
pathkromer,	পাঠক্রমের,	পাঠক্রমের,	
abolokon,	অবলোক,	অবলোকন,	
postake,	পোস্তকে,	পোস্টকে,	
somoshtigoto,	সমস্্তিগত,	সমষ্টিগত,	
huqa,	হুক,	হুক,	
monzile,	মঞ্জিলে,	মঞ্জিলে,	
dada,	ডোড,	দাদা,	
baugey,	বাউগে,	বাগে,	
madla,	মদলা,	মাদলা,	
gaichey,	গেছে,	গাইছে,	
maudeling,	মডলেনিং,	মডেলিং,	
gara,	গর,	গোর,	
grambasee,	গ্রামবাসী,	গ্রামবাসী,	
qyapasula,	ক্যাপোসাল,	ক্যাপসুল,	
sardar,	সর্দার,	সরদার,	
abdune,	আব্দুন,	আবদুন,	
pushtir,	পুষ্টির,	পুষ্টির,	
chocchitrei,	চচ্চিত্রেই,	চলচ্চিত্রেই,	
unitgulo,	ইউনিতগুলো,	ইউনিটগুলো,	
akib,	আকিব,	আকিব,	
vabook,	ভাবুক,	ভাবুক,	
loukikota,	লৌকিকতা,	লৌকিকতা,	
shilbar,	শিলবার,	সিলভার,	
lambate,	লম্বাতে,	লম্বাটে,	
modele,	মোদেল,	মডেলে,	
songbadmadhyame,	সংবোদমধ্যমে,	সংবাদমাধ্যমে,	
sucre,	শুচ্রে,	সাকার,	
bhandar,	ভান্ডার,	ভাণ্ডার,	
kayartara,	কায়ার্টার,	কোয়ার্টার,	
gonoporeebohon,	গণপরিবহন,	গণপরিবহন,	
smaroker,	স্মারকের,	স্মারকের,	
dokangulote,	দককাণগুলোতে,	দোকানগুলোতে,	
harbare,	হরবারে,	হারবারে,	
raitasa,	রাইটাস,	রাইটস,	
swastir,	শ্বস্তির,	স্বস্তির,	
ispreedshit,	ইস্প্রিসিট,	স্প্রেডশীট,	
zibonnogor,	জীবনন্গর,	জীবননগর,	
jeelyand,	জিল্যান্ড,	জিল্যান্ড,	
talgaachh,	তল্্া,	তালগাছ,	
elakate,	এলাকাতে,	এলাকাতে,	
taurat,	তরাট,	তওরাত,	
pattarn,	প্যাটার্ন,	প্যাটার্ন,	
bunot,	বুনত,	বুনট,	
mosjidtir,	মস্জিদিত্তর,	মসজিদটির,	
asamorik,	আসামারিক,	অসামরিক,	
atiteo,	অতিতেও,	অতীতেও,	
jhankaar,	ঝাঁকার,	ঝঙ্কার,	
astheesandhi,	অস্থিস্যুন্ডি,	অস্থিসন্ধি,	
karmoke,	কর্মকে,	কর্মকে,	
dhyanostho,	ধ্যনস্ব,	ধ্যানস্থ,	
jibnagar,	জীবনাগার,	জীবননগর,	
kleentoner,	ক্লিন্তনের,	ক্লিনটনের,	
neshhanasha,	নেশানশ,	নেশনস,	
aakkas,	আককাশ,	আককাস,	
nothivookto,	নথিভুক্ত,	নথিভুক্ত,	
shringo,	শ্রীঙ্গ,	শৃঙ্গ,	
bonyopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
anchalsaha,	অঞ্চলসহ,	অঞ্চলসহ,	
chhatogalper,	ছোটোগল্পের,	ছোটগল্পের,	
abheedhaaner,	অভিধানের,	অভিধানের,	
poddhotitei,	পদ্ধতিতেই,	পদ্ধতিতেই,	
militaryr,	মিলিটারির,	মিলিটারির,	
nathibhooktir,	নথিভুক্তির,	নথিভুক্তির,	
dhalur,	ঢালুর,	ঢালুর,	
sobrokomer,	সব্রকমের,	সবরকমের,	
suchorita,	সুচরিত,	সুচরিতা,	
okhhunno,	অক্ষুন্ন,	অক্ষুণ্ণ,	
pradeep,	প্রদিপ,	প্রদীপ,	
transapharma,	ট্রান্সমার্া,	ট্রান্সফর্ম,	
turista,	তুরিষ্ট,	টুরিস্ট,	
proshadhoni,	প্রশাধনী,	প্রসাধনী,	
rajon,	রজন,	রাজন,	
azaadir,	আজাদির,	আজাদীর,	
perri,	প্যারি,	পেরি,	
abheegomon,	অভিগম,	অভিগমন,	
neutrina,	নিউট্রিন,	নিউট্রিনো,	
paner,	পানের,	পনের,	
chalchhe,	চলছে,	চলছে,	
ajuhath,	অযুহাথ,	অজুহাত,	
tistar,	তিস্টার,	তিস্তার,	
confliqt,	কনফিলিক্ট,	কনফ্লিক্ট,	
liseens,	লিসিংস,	লাইসেন্স,	
votarer,	ভোটরের,	ভোটারের,	
machsoho,	মাসসহ,	মাছসহ,	
sombhobonaao,	সম্ভাবনা,	সম্ভবনাও,	
smaraker,	স্মারকের,	স্মারকের,	
uzobekeestaaner,	উউবজেকস্তানের,	উজবেকিস্তানের,	
hilse,	হিল্স,	হিলসে,	
chirokumari,	চিরকমুরারী,	চিরকুমারী,	
asovyo,	অসভ্য,	অসভ্য,	
ummul,	উম্মুল,	উম্মুল,	
lyaata,	ল্যাট,	ল্যাটা,	
baysharkarikarone,	বেসরকারিকরণে,	বেসরকারিকরণ,	
akkaas,	এক্াাস,	আককাস,	
dwipei,	দ্বীপেই,	দ্বীপেই,	
shommotir,	সম্মতির,	সম্মতির,	
naubihar,	নৌবিহার,	নৌবিহার,	
valapuk,	ভালাপুক,	ভোলাপুক,	
shreemati,	শ্রীমতী,	শ্রীমতি,	
chaabir,	চাবির,	চাবির,	
mukharji,	মুখার্জি,	মুখার্জী,	
shaswato,	শাসবাত,	শাশ্বত,	
tatey,	তাঁটে,	তাতে,	
byaboharkareeke,	ব্যবহারকারিকে,	ব্যবহারকারীকে,	
durgotsob,	দুর্ঘতমব,	দুর্গোৎসব,	
khelechen,	খেলেছেন,	খেলেছেন,	
muhurtoti,	মুহূর্ততি,	মুহুর্তটি,	
manushera,	মানুষেরা,	মানুষেরা,	
setite,	সেতিতে,	সেটিতে,	
bahaati,	বাহাটি,	বাহাতি,	
eashter,	আস্টের,	ইস্টার,	
polo,	পোলো,	পোলো,	
deebating,	ডিবাযাংটিং,	ডিবেটিং,	
jahra,	জাহরা,	যাহরা,	
somratra,	সম্তারা,	সম্রাটরা,	
kaathhaamaandu,	কাঠামাণ্ডু,	কাঠমান্ডু,	
objarvar,	অবজর্ভার,	অবজার্ভার,	
patigoniter,	পতিগতিনের,	পাটিগণিতের,	
chhilona,	ছিলনা,	ছিলনা,	
oichchik,	ঐচ্ছিক,	ঐচ্ছিক,	
pari,	প্যারি,	পেরি,	
drishyotir,	দৃশ্যটির,	দৃশ্যটির,	
taphaat,	তাফাত,	তফাৎ,	
shector,	সেক্টর,	সেক্টর,	
brittakar,	বৃত্তাকার,	বৃত্তাকার,	
aazan,	আজান,	আজান,	
gemske,	গেমসকে,	জেমসকে,	
mulgato,	মুলগত,	মূলগত,	
achish,	আচিশ,	আছিস,	
shaattoki,	সাত্তকি,	সাত্যকি,	
pratijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
gaddaafee,	গদ্যফাই,	গাদ্দাফী,	
ghatity,	ঘটিতি,	ঘাঁটিটি,	
saaeda,	সাইড,	সাইদা,	
mandope,	মন্দপে,	মন্ডপে,	
baagicar,	বাগিিকার,	বাগিচার,	
capsule,	কপুলে,	ক্যাপসুল,	
khilaphat,	খিলাফাঁট,	খিলাফত,	
mojdur,	মজ্ুুর,	মজদুর,	
lompot,	লম্পাত,	লম্পট,	
prety,	প্রেতী,	প্রিটি,	
chupi,	চুপি,	চুপি,	
cholochchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
doorotomo,	দূরতম,	দূরতম,	
ingrejder,	ইংরেজের,	ইংরেজদের,	
besharkarikarone,	বেসরকারিকরণে,	বেসরকারিকরণ,	
primoo,	প্রিমু,	প্রিমো,	
toki,	টকি,	তকি,	
plen,	প্লেন,	প্লেন,	
damone,	ডমনে,	দমনে,	
paltechhey,	পল্টেছে,	পাল্টেছে,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
asavya,	অসভ্য,	অসভ্য,	
bboponer,	বপননের,	বপনের,	
ganonatya,	গণণা্য,	গণনাট্য,	
bagichar,	বাগিচার,	বাগিচার,	
swartho,	স্বর্থ,	স্বার্থ,	
choson,	চাষণ,	চোষণ,	
arthat,	অর্থাত,	অর্থাৎ,	
shkalashtika,	স্কলাাক্টিক,	স্কলাস্টিক,	
musalmanyi,	মুসমল্নাই,	মুসলমানই,	
sbaajan,	স্বজন,	স্বজন,	
saramiks,	সারামিক্স,	সিরামিকস,	
jockey,	জককে,	জকি,	
browser,	ব্রাসার,	ব্রাউজার,	
oitijje,	ঐতিজ্যে,	ঐতিহ্যে,	
embeda,	এম্বেড,	এম্বেড,	
karlosa,	করলসো,	কার্লোস,	
katbe,	কটবে,	কাটবে,	
pathanirdeshona,	পথানির্দেশনা,	পথনির্দেশনা,	
khalidke,	খলিদকে,	খালিদকে,	
choudhooreeo,	চৌধীরেও,	চৌধুরীও,	
durgondho,	দুর্গন্ধ,	দুর্গন্ধ,	
ghumachhilo,	ঘুমাছিল,	ঘুমাচ্ছিল,	
osamanno,	অসমান্ন,	অসামান্য,	
liceencee,	লিসেঞ্স,	লাইসেন্স,	
prothar,	প্রথার,	প্রথার,	
tourist,	তুরিষ্ট,	টুরিস্ট,	
potocheetro,	পটচিত্র,	পটচিত্র,	
bagicha,	বাগিছা,	বাগিচা,	
vangey,	ভঙ্গে,	ভাঙ্গে,	
ajibon,	আজিবন,	আজীবন,	
rijoor,	রিজুর,	রিজুর,	
nimitto,	নিমিত্য,	নিমিত্ত,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
daakticket,	ডাক্তিকেট,	ডাকটিকিট,	
chalochchitrogulor,	চলচ্চিত্রগুলোর,	চলচ্চিত্রগুলোর,	
eute,	ইউটে,	ইইউতে,	
tanight,	ট্নাইট,	টুনাইট,	
abhisongson,	অভিসংশন,	অভিশংসন,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
sikar,	শিকার,	শিকার,	
uttor,	উত্তর,	উওর,	
kkompito,	কম্পিত,	কম্পিত,	
lotheeran,	লথিরান,	লুথেরান,	
bosantake,	বসন্তকে,	বসন্তকে,	
bitolser,	বিটলসের,	বিটলসের,	
evar,	ইভার,	এভার,	
phanda,	ফাঁদা,	ফান্ড,	
engil,	এঞ্জেল,	ইঞ্জিল,	
dojo,	ডোজো,	ডোজো,	
gosthigulo,	গস্ঠীগুলো,	গোষ্ঠীগুলো,	
gaddafi,	গাদ্ফাফি,	গাদ্দাফী,	
bhaandar,	ভাণ্ডার,	ভাণ্ডার,	
sohinsotar,	সহিংসততার,	সহিংসতার,	
seeramiks,	সেরামিক্স,	সিরামিকস,	
dharmantar,	ধর্মান্তর,	ধর্মান্তর,	
chhutite,	ছুটিতে,	ছুটিতে,	
balokarak,	বলককরক,	বলকারক,	
shodhan,	শোধন,	শোধন,	
bagdady,	বাগদাদি,	বাগদাদী,	
abikal,	আবিকল,	অবিকল,	
aairish,	আইরিশ,	আইরিস,	
mekbeth,	মেকবে,	ম্যাকবেথ,	
serup,	শেরুপ,	সেরূপ,	
gandhio,	গান্ধিও,	গান্ধীও,	
tikto,	টিক্ো,	তিক্ত,	
ponera,	পনেরা,	পনের,	
idipasa,	এইডিপস,	ইডিপাস,	
anupater,	অনুপতের,	অনুপাতের,	
daada,	ডাদা,	দাদা,	
sofir,	সফির,	সোফির,	
bossonte,	বসন্তে,	বসন্তে,	
shucharita,	সূচারিতা,	সুচরিতা,	
artilery,	আর্টিলারি,	আর্টিলারি,	
ranangoney,	রণাঙ্গনে,	রণাঙ্গনে,	
sahozlabhbhatar,	সহজ্লভ্যতার,	সহজলভ্যতার,	
oojbekistan,	উজ্বিকেষ্টান,	উজবেকিস্তান,	
uponishad,	উপনিশাদ,	উপনিষদ,	
thimke,	থিমকে,	থিমকে,	
dollu,	ডলল,	ডলু,	
markete,	মার্কেটে,	মার্কেটে,	
mukhmondole,	মুখমন্ডলে,	মুখমণ্ডলে,	
futbolarder,	ফূটবল্দের,	ফুটবলারদের,	
uporital,	উপরিতল,	উপরিতল,	
meterey,	মেটারে,	মিটারে,	
lajikar,	লাজিকার,	লজিকের,	
bona,	বোনা,	বোনা,	
eshiyatiqa,	এসিটিক্ট,	এশিয়াটিক,	
phutbolarer,	ফূটবলরের,	ফুটবলারের,	
dovar,	দওবার,	ডোভার,	
satarka,	সাতারা,	সতর্ক,	
samoshtike,	সমস্তিকে,	সমষ্টিকে,	
eevil,	ইভিল,	ইভিল,	
korkot,	করকক,	কর্কট,	
ekla,	একলা,	একলা,	
superheror,	সুপেহহারের,	সুপারহিরোর,	
nobom,	নবম,	নবম,	
developer,	ডেভেলপার,	ডেভলপার,	
chetonagoto,	চিতানাগত,	চেতনাগত,	
proshtot,	প্রস্তত,	প্রস্ত্তত,	
byaboharkariderkey,	ব্যবহারকারকারীদেরকে,	ব্যবহারকারীদেরকে,	
pakistanira,	পাকিস্তানিরা,	পাকিস্তানীরা,	
lutharana,	লুথারনা,	লুথেরান,	
graambaashio,	গ্রাম্বশী,	গ্রামবাসীও,	
rajnaiteek,	রাজনৈতিক,	রাজনৈতীক,	
horus,	হরাস,	হোরাস,	
toufeek,	তৌফিক,	তৌফিক,	
plane,	প্লেন,	প্লেন,	
taalgaachh,	তালাও,	তালগাছ,	
prakar,	প্রাকার,	প্রকার,	
moushum,	মৌসুম,	মৌসুম,	
vittiti,	ভিত্তিটি,	ভিত্তিটি,	
lidars,	লিডার্স,	লিডার্স,	
zess,	জেস,	জেস,	
eideen,	এইদিন,	এইদিন,	
noitikata,	নৈতিকতা,	নৈতিকতা,	
rahee,	রাহী,	রাহি,	
shringa,	শ্রীঙ্গ,	শৃঙ্গ,	
tanoo,	তানও,	তনু,	
asbar,	আশবার,	আসবার,	
iyutha,	ইউথ,	ইয়ুথ,	
manobmoner,	মানবমনের,	মানবমনের,	
tokei,	তকেই,	ত্বকেই,	
labanaktatar,	লবণাক্ততার,	লবণাক্ততার,	
basalt,	বাসলট,	ব্যাসল্ট,	
nirapattamulak,	নিরাত্তমাোকল,	নিরাপত্তামূলক,	
cheelona,	চিলনা,	ছিলনা,	
porizoner,	পরিজনের,	পরিজনের,	
alangkoron,	অলংকরণ,	অলঙ্করণ,	
vvimsenn,	ভিভেমেন,	ভীমসেন,	
bhalobaas,	ভালবাসা,	ভালোবাসা,	
arjora,	অর্জরা,	আর্যরা,	
teamothi,	তিমথি,	টিমোথি,	
ashanka,	অশাঙ্ক,	আশঙ্কা,	
asar,	আসার,	আসর,	
shikh,	শিখ,	শিখ,	
ajeej,	অজিজ,	আজিজ,	
peri,	পেরি,	পেরি,	
juktorastrosoho,	যুক্তরাসরসহ,	যুক্তরাষ্ট্রসহ,	
nadnadeer,	নদ্দনাদির,	নদনদীর,	
bastuvad,	বস্তুবাদ,	বস্তুবাদ,	
jwor,	জ্বর,	জ্বর,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
jhalokatthi,	ঝালকাঠি,	ঝালকাঠী,	
angshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
jakso,	যকক্ষ,	যক্ষ,	
bhenisha,	ভেনিস,	ভেনিস,	
chirata,	চিরত,	চিরতা,	
sangasthaner,	সংস্থানের,	সংস্থানের,	
arashie,	আরাসি,	আরসিএ,	
panni,	পানি,	পন্নী,	
ashonkai,	আশঙ্কাই,	আশঙ্কাই,	
siima,	সীমা,	সীমা,	
sonali,	সোনালি,	সোনালী,	
durgotsabe,	দুর্ঘততববে,	দুর্গোৎসবে,	
loombinee,	লুমবিনী,	লুম্বিনী,	
siniyara,	সিনিয়ার,	সিনিয়র,	
jyaqa,	জ্যাক,	জ্যাক,	
chirakumari,	চিরকমুরারী,	চিরকুমারী,	
torabganj,	তরবাগঞ্জ,	তোরাবগঞ্জ,	
masters,	মাস্টার্স,	মাস্টার্স,	
pab,	পব,	পাব,	
shektore,	সেক্টরে,	সেক্টরে,	
qeyboard,	কিবর্যাড,	কীবোর্ড,	
eshhiyatika,	এসিটিক্যা,	এশিয়াটিক,	
neelabh,	নিলাভ,	নীলাভ,	
ekoirakom,	একইকররম,	একইরকম,	
heepataitisa,	হেপাটাইটাস,	হেপাটাইটিস,	
foxer,	ফক্সার,	ফক্সের,	
debholapar,	ডেভলপার,	ডেভলপার,	
debaag,	দেবাগ,	ডিবাগ,	
adhyatmikata,	আধ্যাত্মিকতা,	আধ্যাত্মিকতা,	
qloud,	ক্লাউড,	ক্লাউড,	
filipiner,	ফিলিপেনের,	ফিলিপাইনের,	
melborrone,	মেলবর্ণে,	মেলবোর্নে,	
gronthowo,	গ্রন্থও,	গ্রন্থও,	
totokhhon,	ততক্ষণ,	ততক্ষন,	
metropolitan,	মেট্রোোলিটান,	মেট্রোপলিটন,	
protista,	প্রতিষ্টা,	প্রতিষ্টা,	
sampadaner,	সম্পাদনের,	সম্পাদনের,	
poddhotiteyi,	পদ্ধতিতেই,	পদ্ধতিতেই,	
vabanipur,	ভবানীপুর,	ভবানীপুর,	
sumeetrar,	সুমিত্রার,	সুমিত্রার,	
taigara,	টাইরা,	টাইগার,	
naaneer,	নানির,	নানীর,	
shashoto,	শাসত,	শাশ্বত,	
brindaboney,	বৃণ্বননে,	বৃন্দাবনে,	
mitro,	মিট্রো,	মিত্র,	
poschime,	পশ্চিমে,	পশ্চিমে,	
hailo,	হইলো,	হইল,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
sarbhaarer,	সররভারের,	সার্ভারের,	
shikshagata,	শিক্ষাগত,	শিক্ষাগত,	
tanteera,	তা্তীরা,	তাঁতিরা,	
byatarii,	ব্যতারী,	ব্যাটারী,	
niropekkhotaar,	নিরোপক্ষেতার,	নিরপেক্ষতার,	
plete,	প্লেট,	প্লেট,	
chalachchitrai,	চলচ্চিত্রটি,	চলচ্চিত্রই,	
plaiin,	প্লেইন,	প্লেন,	
fiksing,	ফক্সিং,	ফিক্সিং,	
obdi,	অব্দি,	অব্দি,	
avetar,	অভেতার,	অবতার,	
koieri,	কওয়ারি,	কোয়েরি,	
shiqha,	শিখ,	শিখ,	
bolobhodro,	বলভদ্র,	বলভদ্র,	
boudhheer,	বৌদ্ধীর,	বৌদ্ধের,	
byabaharkareeke,	ব্যবহারককারী,	ব্যবহারকারীকে,	
