duburyra,	দুবুরীরা,	ডুবুরিরা,	
shef,	সেফ,	শেফ,	
partha,	পার্থ,	পার্থ,	
baaik,	বাইক,	বাইক,	
nodnodir,	নন্দনীদের,	নদনদীর,	
parishrami,	পরিস্মারী,	পরিশ্রমী,	
macho,	মাচ,	মাছও,	
bhaider,	ভেদের,	ভাইদের,	
khodeja,	খোদেজ,	খোদেজা,	
omitrakkhor,	অমিত্রক্ষার,	অমিত্রাক্ষর,	
transhform,	ট্রান্সফোর,	ট্রান্সফর্ম,	
imarjinsi,	এমর্্জিনি,	এমার্জেন্সি,	
korle,	করলে,	করলে,	
parqasa,	পার্কস,	পার্কস,	
mashajida,	মাসাউদিয়া,	মসজিদ,	
afzol,	আফুল,	আফজল,	
shikshakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
stanehenge,	স্টেনিডোঞ্জ,	স্টোনহেঞ্জ,	
photanor,	ফোটার,	ফোটানোর,	
falasrutite,	ফলসুমিতিতে,	ফলশ্রুতিতে,	
oshovyo,	ওসুব্য,	অসভ্য,	
hisaber,	হিসাবের,	হিসাবের,	
dolu,	দলু,	ডলু,	
shpreadshhiit,	স্প্রিধাসিত,	স্প্রেডশীট,	
hugheske,	হুঘশেকে,	হিউজকে,	
kata,	কাটা,	কোটা,	
oncholke,	অঞ্চলকে,	অঞ্চলকে,	
taorat,	তারাত,	তওরাত,	
giitikobita,	গীতিকাবত,	গীতিকবিতা,	
vobotarini,	ভোবটারনী,	ভবতারিণী,	
iub,	ইউব,	আইইউবি,	
shoreefpur,	শরীপুর,	শরিফপুর,	
palbongsher,	পালবংশের,	পালবংশের,	
jillool,	জিল্ুল,	জিল্লুল,	
lohar,	লোহার,	লোহার,	
bishshaasho,	বিশ্বাস,	বিশ্বাসও,	
parkasha,	পার্কশা,	পার্কস,	
inziniyarsa,	ইনজাইন্ড,	ইঞ্জিনিয়ার্স,	
difinisian,	ডিফিনিসাইন,	ডেফিনেশন,	
dephinision,	ডেফিনিশন,	ডেফিনেশন,	
monohputo,	মনোহপু,	মনঃপুত,	
romantik,	রমমন্তিক,	রোমান্টিক,	
asabhyaa,	অসভ্য,	অসভ্য,	
corymb,	কোরিস,	করিম,	
rubi,	রুবি,	রুবী,	
bhogirath,	ভোগিরা,	ভগীরথ,	
dap,	দাপ,	ড্যাপ,	
godabari,	গদরবারী,	গোদাবরী,	
embaed,	এমবাড,	এম্বেড,	
kakhonyoba,	কখনোযা,	কখনওবা,	
antarbhuttirmulok,	অন্তর্বশ্রীত্,	অন্তর্ভুক্তিমূলক,	
thyachar,	থ্যাচার,	থ্যাচার,	
sainyasaha,	সৈন্যাসহ,	সৈন্যসহ,	
kona,	কোনা,	কোনা,	
amoor,	অমুর,	আমর,	
ramantic,	রামান্তিক,	রোমান্টিক,	
joubanboti,	যৌবান্তি,	যৌবনবতী,	
khoja,	খোজা,	খোজা,	
harano,	হারণো,	হারান,	
assaciates,	অ্যাসোসিথেশন,	এসোসিয়েটস,	
bites,	বিটেশ,	বাইটস,	
satjon,	সত্যান,	সাতজন,	
parks,	পার্ক্স,	পার্কস,	
sooter,	সুটের,	শ্যুটার,	
tintike,	তিনটিকে,	তিনটিকে,	
puroheetke,	পুরোহিতকে,	পুরোহিতকে,	
nishader,	নিশাদের,	নিষাদের,	
joubankale,	যৌবনকালে,	যৌবনকাল,	
turkamena,	টুর্কমেন,	তুর্কমেন,	
bakhyateet,	ব্যখ্যতিত,	ব্যাখ্যাতীত,	
niurolazi,	নিউরালিনি,	নিউরোলজি,	
shommotite,	সম্মিতে,	সম্মতিতে,	
ceramiqs,	কেরামিক,	সিরামিকস,	
vorkendra,	ভরকিন্দ্র,	ভরকেন্দ্র,	
cannel,	ক্যানেলে,	ক্যানেল,	
don,	ডন,	দোন,	
samudratate,	সমুদ্রতে,	সমুদ্রতটে,	
nirmalata,	নির্মলতা,	নির্মলতা,	
post,	পোস্ট,	পোষ্ট,	
ghumachhe,	ঘুমাছে,	ঘুমাচ্ছে,	
phokshkon,	ফক্ষ্কান,	ফক্সকন,	
olimpik,	অলিপিক,	অলিম্পিক,	
abosore,	অবসরে,	অবসরে,	
durgatsabe,	দুর্গতকাবে,	দুর্গোৎসবে,	
patrol,	পাত্রল,	পেট্রোল,	
silbar,	শিলবার,	সিলভার,	
miracle,	মিরাকলে,	মিরাকেল,	
oncholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
ikbaaler,	একবালের,	ইকবালের,	
nederlande,	নেদেরল্যান্ড,	নেদারল্যান্ডে,	
muhmmoder,	মুহমুদের,	মুহম্মদের,	
jamkaalo,	জামকাল,	জমকালো,	
annarup,	অন্নরূপ,	অন্যরূপ,	
milekhanek,	মিলেক্ষকে,	মাইলখানেক,	
chaalke,	চালকে,	চালকে,	
turqamena,	টার্কমেন,	তুর্কমেন,	
durotaumo,	দুরোথপ,	দূরতম,	
manushera,	মানুসার,	মানুষেরা,	
uparjon,	উপার্জন,	উপার্জন,	
janoganonar,	জনগণনার,	জনগণনার,	
darada,	দরাড,	দারদা,	
samabeshke,	সমাবেশকে,	সমাবেশকে,	
hijriite,	হিজরিতে,	হিজরীতে,	
konfleekt,	কনিক্যট,	কনফ্লিক্ট,	
akritakarjo,	আকৃত্কারা,	অকৃতকার্য,	
shhow,	শোও,	শো,	
majdur,	মাজদুর,	মজদুর,	
nirikho,	নিরিখ,	নিরিখ,	
dhyanostha,	ধ্যানস্থা,	ধ্যানস্থ,	
nagorikra,	নগরীকার,	নাগরিকরা,	
aziza,	এজিজা,	আজিজা,	
protimar,	প্রতিমার,	প্রতিমার,	
jeebnagore,	জীবনাগারে,	জীবননগর,	
arthat,	অর্থাত,	অর্থাৎ,	
bojhe,	বোঝে,	বোঝে,	
sima,	সিমা,	সীমা,	
anan,	আনান,	আনান,	
prodiip,	প্রোদিপ,	প্রদীপ,	
obharabhiu,	অভারাহিও,	ওভারভিউ,	
graambasider,	গ্রামবেশ্যের,	গ্রামবাসীদের,	
uddhrity,	উদ্ধারটি,	উদ্ধৃতি,	
prakar,	প্রকার,	প্রকার,	
komandar,	কমান্ডার,	কমাণ্ডার,	
alpa,	আল্প,	অল্প,	
jakso,	যক্ষ,	যক্ষ,	
noitikbhabey,	নৈতিকভাবে,	নৈতিকভাবে,	
taunasipa,	তৌনশিথ,	টাউনশিপ,	
uper,	উপের,	আপের,	
phiksha,	ফিক্স,	ফিক্স,	
bondhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
mukhmondole,	মুখ্ণমডলে,	মুখমণ্ডলে,	
karecho,	করেছ,	করেছ,	
bhandaare,	ভাঁদদের,	ভাণ্ডারে,	
plen,	প্লেন,	প্লেন,	
taurat,	তারাতে,	তওরাত,	
chhuteete,	ছুটিতে,	ছুটিতে,	
pratishta,	প্রতিষ্টা,	প্রতিষ্টা,	
shukraanu,	শুক্রাণু,	শুক্রানু,	
ganonatyo,	গণনট্য,	গণনাট্য,	
promotioney,	প্রমেশনে,	প্রোমোশনে,	
somabesh,	সমবেশ,	সমাবেশ,	
bishwashke,	বিশ্বাসকে,	বিশ্বাসকে,	
chaudhuriyo,	চৌধুরি,	চৌধুরীও,	
ashocheton,	অসচাতন,	অসচেতন,	
bonke,	বোঁকে,	বনকে,	
tooku,	টুকু,	টুকু,	
akkharkey,	আক্ষারকে,	অক্ষরকে,	
qyathaliqa,	ক্যাথলিক,	ক্যাথলিক,	
bayshorkarikarone,	বেসরকারীকরণের,	বেসরকারিকরণ,	
adwanced,	এড্যানসে,	অ্যাডভান্সড,	
nothivookto,	নথিভূক্ত,	নথিভুক্ত,	
dhhalur,	ঢালুর,	ঢালুর,	
nariider,	নারীদের,	নারীদের,	
metropolitan,	মেট্রোপিলিট,	মেট্রোপলিটন,	
nyaper,	ম্যাপের,	ন্যাপের,	
digreeke,	ডিগ্রিকে,	ডিগ্রিকে,	
rooby,	রোবি,	রুবি,	
sofie,	সফি,	সোফি,	
kanthar,	কণ্ঠার,	কাঁথার,	
lishensh,	লিসেন্স,	লাইসেন্স,	
estooniya,	এস্টোনিয়া,	এস্তোনিয়া,	
kormer,	কর্মের,	কর্মের,	
shkolastic,	স্কল্লিস্ট,	স্কলাস্টিক,	
nischitbhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
zoubonkal,	যৌবনকাল,	যৌবনকাল,	
zillul,	জিল্লুল,	জিল্লুল,	
talgach,	তাগাছ,	তালগাছ,	
pratijogira,	প্রতিযোগিতার,	প্রতিযোগীরা,	
shapholler,	সাফলের,	সাফল্যের,	
allubokhara,	অল্লক্ষার,	আলুবোখারা,	
cheerkut,	চিরুকট,	চিরকুট,	
granthatyke,	গ্রন্থাককে,	গ্রন্থটিকে,	
patigonit,	পতিগুনিত,	পাটিগণিত,	
parijaner,	পরিজনের,	পরিজনের,	
rayyaleti,	রেয়ালটি,	রয়্যালটি,	
chotogolper,	চতোগল্পের,	ছোটগল্পের,	
fokser,	ফক্ের,	ফক্সের,	
nartana,	নার্টন,	নর্টন,	
maroofer,	মরুুমের,	মারুফের,	
bibadey,	বিবাদে,	বিবাদে,	
nirvaha,	নির্বহহ,	নির্বাহ,	
chasee,	চাষী,	চেস,	
mette,	মেটে,	ম্যাট,	
pratishhta,	প্রতিষ্ঠা,	প্রতিষ্টা,	
cholochchitrer,	চলচ্চিত্রকের,	চলচ্চিত্রের,	
prasadhani,	প্রশাধনী,	প্রসাধনী,	
chomsky,	চম্কিক,	চমস্কি,	
puroheetra,	পুরোহিত্র,	পুরোহিতরা,	
mohasova,	মহাসাব,	মহাসভা,	
bloggerra,	ব্লগজারের,	ব্লগাররা,	
sahab,	সাহ,	সাহাব,	
santa,	সাঁতা,	সান্তা,	
cholochchitrei,	চলচ্চিত্রকের,	চলচ্চিত্রেই,	
sanstha,	সংস্থ,	সংস্থা,	
aedipus,	আইডিপফ,	ইডিপাস,	
pothnatok,	পথনাটাকা,	পথনাটক,	
cholocchitrer,	চলচ্চিত্রের,	চলচ্চিত্রের,	
kisti,	কিষ্টি,	কিস্তি,	
dakteekiter,	দাক্তিকিতের,	ডাকটিকিটের,	
railliner,	রাইলিনের,	রেললাইনের,	
bisnooke,	বিস্মুকে,	বিষ্ণুকে,	
lutheereen,	লুচিরিণ,	লুথেরান,	
taphaat,	তাফাত,	তফাৎ,	
dwipgulo,	দ্বিপুলো,	দ্বীপগুলো,	
oholya,	অোল্য,	অহল্যা,	
homesh,	হোমেস,	হোমস,	
bihare,	বিহারে,	বিহারে,	
prabhritike,	প্রভূমিতে,	প্রভৃতিকে,	
bisshonath,	বিষ্ণতা,	বিশ্বনাথ,	
donaat,	দোনত,	ডোনাট,	
caramics,	কারেসিস,	সিরামিকস,	
siramikasa,	সিরামিকা,	সিরামিকস,	
graambaashio,	গ্রামবেশি,	গ্রামবাসীও,	
garnaar,	গার্নার,	গার্নার,	
shosha,	শোষা,	শশা,	
ancholtite,	অঞ্চলিতিতে,	অঞ্চলটিতে,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
phemale,	ফেমালে,	ফিমেল,	
pretti,	প্রেটি,	প্রিটি,	
mojdoor,	মজুদুর,	মজদুর,	
byapoktor,	ব্যাপক্তর,	ব্যাপকতর,	
selim,	সেলিং,	সেলিম,	
charbon,	চারববন,	চর্বন,	
parshwey,	পার্শবে,	পার্শ্বে,	
eesosiyeetasa,	ইস্সাইিট,	এসোসিয়েটস,	
dhyan,	ধ্যান,	ধ্যান,	
ahong,	আহঙ,	অহং,	
bajhyo,	বাঝ্য,	বাহ্য,	
netsi,	নেটসসি,	নাত্সি,	
spreadseet,	স্প্রেসিট,	স্প্রেডশীট,	
bishrinkhala,	বিশৃঙ্খল,	বিশৃঙ্খলা,	
suparichiti,	সুপারিচি,	সুপরিচিতি,	
kyamone,	ক্যামনে,	কেমনে,	
bedey,	বেডে,	বেদে,	
mawdel,	মদডল,	মডেল,	
asamarik,	আসামীক,	অসামরিক,	
jakser,	জক্েের,	যক্ষের,	
bhaandaar,	ভান্দার,	ভাণ্ডার,	
ajiboner,	অজিবনের,	আজীবনের,	
shootar,	সুটার,	শ্যুটার,	
ruplal,	রূপ্লাল,	রূপলাল,	
tookrokey,	টুকরেকে,	টুকরোকে,	
gaddaphii,	গাদ্ধাফী,	গাদ্দাফী,	
aamor,	আমর,	আমর,	
tonga,	টঙ্গ,	টোঙ্গা,	
adbhut,	অধ্যুত,	অদ্ভুত,	
bomkesh,	বোক্সেস,	ব্যোমকেশ,	
sangasthaner,	সংস্থাসনের,	সংস্থানের,	
aashanka,	আসনক্ত,	আশংকা,	
samosher,	সমসের,	সমশের,	
vedanta,	বেদন্ত,	বেদান্ত,	
folok,	ফলক,	ফলক,	
bizepi,	বিজিপি,	বিজেপি,	
garmanyteo,	গার্মানিতে,	জার্মানিতেও,	
masajida,	মাসাবদা,	মসজিদ,	
longhan,	লঙ্ঘন,	লংঘন,	
nartakike,	নার্টেক,	নর্তকীকে,	
pachtar,	পাঁচার,	পাঁচটার,	
sansthati,	সংস্থাটি,	সংস্থাটি,	
vittimul,	ভিতৃতূলূ,	ভিত্তিমূল,	
saabbir,	সাব্বীর,	সাব্বির,	
oitijjha,	ঐতিহ্য,	ঐতিহ্য,	
gorib,	গরিব,	গরিব,	
senabahineekey,	সেনাবাহিনীকে,	সেনাবাহিনীকে,	
taiteela,	টাইটেল,	টাইটেল,	
pratisthanikvabe,	প্রতিষ্ঠানিকভাবে,	প্রাতিষ্ঠানিকভাবে,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
juktorashtreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
ileeing,	এলিয়ান,	ইলিং,	
perther,	পার্থের,	পার্থের,	
footbalarer,	ফুটবলের,	ফুটবলারের,	
keyboarder,	কেভর্ডের,	কীবোর্ডের,	
bongobondhu,	বঙ্গবন্ধ,	বঙ্গবন্ধু,	
elaakaatike,	এলাকাতি,	এলাকাটিকে,	
eshiyatika,	এসিয়েটাক,	এশিয়াটিক,	
kaas,	কাস,	কাস,	
artillery,	আর্টিলার,	আর্টিলারি,	
durgo,	দুর্গো,	দুর্গ,	
onnkita,	অং্কিত,	অঙ্কিতা,	
parpel,	পার্পেল,	পার্পেল,	
horinner,	হরিন্নের,	হরিণের,	
alpoi,	আল্পি,	অল্পই,	
amiretus,	অমিরেটাস,	এমিরেটাস,	
mokam,	মোকাম,	মোকাম,	
gananatyo,	গণনাট্য,	গণনাট্য,	
osamonjoshyopurno,	অসম্মজীশাাপী,	অসামঞ্জস্যপূর্ণ,	
charzara,	চররজার,	চার্জার,	
holdim,	হোল্ডিং,	হোল্ডিং,	
asantosh,	এসন্তাস,	অসন্তোষ,	
cholocchitreo,	চলচ্চিত্রে,	চলচ্চিত্রেও,	
pooloo,	পুলোও,	পোলো,	
sonmukh,	সন্মুখ,	সন্মুখ,	
gronthoti,	গ্রন্থাটি,	গ্রন্থটি,	
dakshinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
lendal,	লেন্ডাল,	লেন্ডল,	
pachhen,	পাছেন,	পাচ্ছেন,	
saom,	সাম,	সাওম,	
gobeshokgan,	গবেষকগণ,	গবেষকগণ,	
prokolpeo,	প্রকল্পে,	প্রকল্পেও,	
doneta,	ডোনেট,	ডোনাট,	
hitokar,	হিতাকার,	হিতকর,	
nirvachakder,	নির্বাচকরের,	নির্বাচকদের,	
jothon,	যথন,	যথন,	
modelti,	মডিলাটি,	মডেলটি,	
fimela,	ফিমেল,	ফিমেল,	
veenis,	ভীনিশ,	ভেনিস,	
servere,	সার্ভায়ে,	সার্ভারে,	
michir,	মিচির,	মিচির,	
bishod,	বিশদ,	বিষদ,	
bonbhumite,	বনভূমিতে,	বনভূমিতে,	
kinsa,	কিনসা,	কিংস,	
partho,	পার্থ,	পার্থ,	
onekeryi,	অনেকারী,	অনেকেরই,	
bishnoo,	বিষ্ণু,	বিষ্ণু,	
mulvitti,	মুলভিত্তি,	মূলভিত্তি,	
niropekkhotaar,	নিরোপিকচারা,	নিরপেক্ষতার,	
dharabahikvabey,	ধারবাহিকভাবে,	ধারাবাহিকটি,	
madrasake,	মাদ্রশকে,	মাদ্রাসাকে,	
segular,	সেগুলোর,	সেগুলোর,	
show,	শো,	শো,	
gobhornorer,	গভর্নরের,	গভর্ণরের,	
harbur,	হার্বুর,	হারবার,	
nirmaankaaj,	নির্মাণকল,	নির্মাণকাজ,	
seema,	সেমা,	সীমা,	
bbonyopran,	বন্নিপূর্ণ,	বন্যপ্রাণ,	
balabhadra,	বালাব্্র,	বলভদ্র,	
parksh,	পার্ক্স,	পার্কস,	
rakhtokkharoner,	রক্তকক্ষের,	রক্তক্ষরণের,	
qoda,	কড,	কোড,	
bonbhumi,	বন্ভুমি,	বনভূমি,	
huk,	হুক,	হুক,	
choity,	চৈতি,	চৈতি,	
baasate,	বাসাতে,	বাসাতে,	
manonitader,	মনোনিতের,	মনোনীতদের,	
komaanndar,	কমান্ডোর,	কমাণ্ডার,	
bunat,	বানত,	বুনট,	
adhunikkaley,	আধুনিকালে,	আধুনিককালে,	
ispreedshiit,	স্প্রশিশিত,	স্প্রেডশীট,	
gheshei,	ঘেষেই,	ঘেঁষেই,	
nirdesika,	নির্দেশিক,	নির্দেশিকা,	
chalochchitrer,	চলচ্চিত্রকের,	চলচ্চিত্রের,	
romnar,	রোম্নার,	রমনার,	
dep,	ডিপ,	ডেপ,	
zeans,	জ্যান্স,	জিন্স,	
shahocharjo,	শাহারাব্য,	সাহচর্য,	
thesiser,	থেসিসের,	থিসিসের,	
embeda,	এমবেদ,	এম্বেড,	
monzhoshtho,	মঞ্জস্থ,	মঞ্চস্থ,	
adhyattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
shaswato,	শাস্ত,	শাশ্বত,	
parabortee,	পরবর্তী,	পরর্বতী,	
mukhamandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
laeshesh,	লাইসেস,	লাইসেন্স,	
soundarjya,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
bbiswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
jonee,	জনি,	জনি,	
samosto,	সমস্্ত,	সমস্ত,	
sunagorik,	সুনাগ্রিক,	সুনাগরিক,	
doonut,	দুনতু,	ডোনাট,	
prajanankal,	প্রজননক্ল,	প্রজননকাল,	
dhanche,	ধ্ঁছে,	ধাঁচে,	
ssumitrar,	সুমিত্রার,	সুমিত্রার,	
atmabishvashi,	আত্মশিবাসী,	আত্মবিশ্বাসী,	
tafsir,	টফসির,	তাফসীর,	
toroonke,	তরুণকে,	তরুণকে,	
crime,	ক্রিমে,	ক্রাইম,	
pouchute,	পৌঁছতে,	পৌঁছুতে,	
obhigomon,	অভিগমন,	অভিগমন,	
skolarsip,	স্কলারশিপ,	স্কলারশিপ,	
sukna,	শুক্া,	শুকনা,	
grip,	গ্রীপ,	গ্রিপ,	
gudamjaato,	গুদ্ধাাত,	গুদামজাত,	
soomee,	সুমি,	সুমি,	
lyanding,	ল্যানিং,	ল্যান্ডিং,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
ceramics,	কেরেমিস,	সিরামিকস,	
teempaleeta,	টিম্পালট,	টেম্পলেট,	
swarnali,	স্বর্ণালি,	স্বর্ণালী,	
maddhukkori,	মাধ্যকিরে,	মাধুকরী,	
ramdhonu,	রামধনু,	রামধনু,	
shoya,	সোয়া,	সোয়া,	
uchchotara,	উচ্চতার,	উচ্চতর,	
shov,	শোভ,	শো,	
homeske,	হোমেসকে,	হোমসকে,	
sachetanotamulok,	সচেতানপত্চক,	সচেতনতামূলক,	
irish,	আইরিশ,	আইরিস,	
grambasee,	গ্র্মবেস,	গ্রামবাসী,	
protimake,	প্রতিমাকে,	প্রতিমাকে,	
labonaktatar,	লবনসক্তার,	লবণাক্ততার,	
saaralya,	সারলাল,	সারল্য,	
laiseensa,	লাইসিস,	লাইসেন্স,	
pooshti,	পুস্তি,	পুষ্টি,	
codey,	কডে,	কোডে,	
olangkoron,	অলাঙকরণ,	অলঙ্করণ,	
korim,	করিম,	করিম,	
madhobi,	মাধবী,	মাধবীর,	
drishyoi,	দৃশ্যুতে,	দৃশ্যই,	
inasiyinta,	ইনফিলিম্ট,	এনসিয়েন্ট,	
fand,	ফাঁড,	ফান্ড,	
dharmi,	ধর্মী,	ধর্মী,	
keuoi,	কেউই,	কেউই,	
thailandsoho,	থাইলাঞ্ধস,	থাইল্যান্ডসহ,	
tennise,	টেনিস,	টেনিসে,	
vushito,	ভুষিত,	ভূষিত,	
zubokera,	যুবকেরা,	যুবকেরা,	
maheendra,	মহিন্দ্র,	মাহিন্দ্রা,	
ekbakke,	একবাককে,	একবাক্যে,	
shadena,	সাদেন,	সাডেন,	
udbhabon,	উদ্ভববন,	উদ্ভাবন,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
jojyata,	যোজ্যতা,	যোজ্যতা,	
khelechen,	খেলেছেন,	খেলেছেন,	
benish,	বেনিশ,	ভেনিস,	
kormoyi,	কর্মেই,	কর্মই,	
gaphiloti,	গফিলতি,	গাফিলতি,	
prastut,	প্রস্তুত,	প্রস্ত্তত,	
deelibhara,	ডিলেভার,	ডেলিভার,	
shten,	স্টেন,	স্টেন,	
bed,	বেড,	বেদ,	
osthishondhi,	অস্চিসমন্দী,	অস্থিসন্ধি,	
udvabone,	উদ্ভাবনে,	উদ্ভাবনে,	
olimpicer,	অলিপ্টিসের,	অলিম্পিকের,	
