ganochiner,	গণচিলের,	গণচীনের,	
onker,	অঙ্কের,	ওঙ্কার,	
akatwa,	একাত্ব,	একাত্ব,	
amudey,	আমুদে,	আমুদে,	
dovar,	ডোভার,	ডোভার,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
nathivooktir,	নথিভুক্তির,	নথিভুক্তির,	
jillul,	জিল্লুল,	জিল্লুল,	
moushumti,	মৌসুমটি,	মৌসুমটি,	
harbur,	হার্বুর,	হারবার,	
shasonkarta,	শাসনকর্ত,	শাসনকর্তা,	
korimer,	করিমের,	করিমের,	
daakten,	ডাকতেন,	ডাকতেন,	
keyboarder,	কেবোরদের,	কীবোর্ডের,	
mitrader,	মিত্রদের,	মিত্রদের,	
dephinition,	ডেফিনিশন,	ডেফিনেশন,	
somabesh,	সমাবেশ,	সমাবেশ,	
sattoki,	সত্যকি,	সাত্যকি,	
dale,	ডলে,	ডালে,	
biswashe,	বিশ্বাসে,	বিশ্বাসে,	
monjile,	মঞ্জিলে,	মঞ্জিলে,	
dovaar,	ডোভার,	ডোভার,	
argho,	অর্ঘ,	অর্ঘ্য,	
jatotaa,	যতটা,	যতোটা,	
khanonkaaj,	খননকাজ,	খননকাজ,	
chinito,	চিনিত,	চিনতো,	
trup,	ট্রুপ,	ট্রুপ,	
vaabnar,	ভাবনার,	ভাবনার,	
asociates,	অ্যাসোকেটেস,	এসোসিয়েটস,	
tintikey,	তিনটিকে,	তিনটিকে,	
angkita,	অংকিত,	অঙ্কিতা,	
plainey,	প্লেনে,	প্লেনে,	
miracle,	মিরাকল,	মিরাকেল,	
uchchatara,	উচ্চতারা,	উচ্চতর,	
torabganj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
zyaka,	জ্যাক,	জ্যাক,	
elaakaa,	এলাকা,	এলাকা,	
hostantor,	হস্তান্তর,	হস্তান্তর,	
antarctica,	আন্টার্টিক্য,	অ্যান্টার্কটিকা,	
edmeeral,	এডিমেরাল,	এডমিরাল,	
gonesh,	গণেস,	গণেশ,	
brail,	ব্রেল,	ব্রেইল,	
diares,	ড্যারেশ,	ডিআরএস,	
mukhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
temani,	টাইমানি,	তেমনই,	
dajyo,	দাজ্য,	দাহ্য,	
devolopar,	ডেভলপার,	ডেভলপার,	
olongkoron,	অলংকরণ,	অলঙ্করণ,	
ssumitrar,	সুমিত্রার,	সুমিত্রার,	
protizogiira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
nironjan,	নিরঞ্জন,	নিরঞ্জন,	
rikondison,	রিকন্ডিসন,	রিকন্ডিশন,	
abhishangsan,	অভিসংসন,	অভিশংসন,	
cholocchitrigulor,	চলচ্চিত্রিগুলোর,	চলচ্চিত্রগুলোর,	
jes,	জেস,	জেস,	
naubom,	নবম,	নবম,	
shtena,	স্টেন,	স্টেন,	
parichchhannata,	পরিচ্যান্নতা,	পরিচ্ছন্নতা,	
saazano,	সাজানো,	সাজানো,	
definisian,	ডেফিনিশন,	ডেফিনেশন,	
kunti,	কুনটি,	কুন্তী,	
ranodeep,	রণোদীপ,	রণদীপ,	
ropto,	রো্ত,	রপ্ত,	
jaj,	জাজ,	জাজ,	
reesideensa,	রেসিডেন্স,	রেসিডেন্স,	
jubokder,	যুবকদের,	যুবকদের,	
bharpur,	ভারপুর,	ভরপুর,	
byepass,	বিপাস,	বাইপাস,	
parisankhanvid,	পরিষণকাহিন্দীদ,	পরিসংখ্যানবিদ,	
kyethalika,	ক্যাথলিকা,	ক্যাথলিক,	
daaktikite,	ডাক্তিকিতে,	ডাকটিকিটে,	
romantiqa,	রোমান্তিকা,	রোমান্টিক,	
upobasee,	উপবাসী,	উপবাসী,	
sheshardhe,	শেষর্ধে,	শেষার্ধে,	
nagariker,	নগরীকের,	নাগরিকের,	
padarthabid,	পদার্থবিদ,	পদার্থবিদ,	
ganana,	গণনা,	গণনা,	
emargency,	এমর্েনজন,	এমার্জেন্সি,	
chat,	ছাট,	চ্যাট,	
bhumija,	ভুমিজা,	ভূমিজ,	
janagananar,	জনগণনার,	জনগণনার,	
mehnotti,	মেহনটি,	মেহনতি,	
jatota,	যতটা,	যতোটা,	
dharati,	ধারাটি,	ধারাটি,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
vastubad,	বস্তুবাদ,	বস্তুবাদ,	
akten,	একতেন,	অকটেন,	
ashiatic,	অ্যাসিটিক,	এশিয়াটিক,	
iqbalke,	ইকবলবেকে,	ইকবালকে,	
mmadhobbir,	মাধববীর,	মাধবীর,	
shrabostee,	শ্রববস্তী,	শ্রাবস্তী,	
futanto,	ফুটান্ত,	ফুটন্ত,	
janogananar,	জনগণনার,	জনগণনার,	
stationer,	স্টেশনের,	ষ্টেশনের,	
satarka,	সতার্ক,	সতর্ক,	
elakaao,	এলাকাও,	এলাকাও,	
ashonka,	আশঙ্ক,	আশঙ্কা,	
amorendra,	অমরেন্দ্র,	অমরেন্দ্র,	
babna,	বানা,	বাবনা,	
maradeha,	মারদেহ,	মরদেহ,	
dristihin,	দৃষ্টিহীন,	দৃষ্টিহীন,	
torcarir,	তরকারির,	তরকারীর,	
di,	ডাই,	দিই,	
muhmmoder,	মুহমোদের,	মুহম্মদের,	
upobashee,	উপবাশী,	উপবাসী,	
shikkhakbrinda,	শিক্ষাক্র্ণ্ড,	শিক্ষকবৃন্দ,	
potkaa,	পটকা,	পটকা,	
sabchey,	সবছে,	সবচে,	
tokey,	তোকে,	ত্বকেই,	
sahabike,	সাহাবীকে,	সাহাবীকে,	
satjaner,	সৎজননের,	সাতজনের,	
panchasjan,	পঞ্চাশযান,	পঞ্চাশজন,	
byatarii,	ব্যাটারি,	ব্যাটারী,	
ancholtite,	আঞ্চলটিতে,	অঞ্চলটিতে,	
hoteltee,	হটেলটি,	হোটেলটি,	
raha,	রাহা,	রঃ,	
remacry,	রেমমক্রি,	রেমাক্রী,	
jonosamaj,	জনসমাজ,	জনসমাজ,	
sadhwi,	সাধী,	সাধ্বী,	
raagei,	রাগেই,	রাগেই,	
bikargrasta,	বিকারগ্রাস্ট,	বিকারগ্রস্ত,	
aalaa,	আলা,	আলা,	
eshtonia,	এস্টোনিয়া,	এস্তোনিয়া,	
dhabi,	ঢববি,	ঢাবি,	
songbadmadhyame,	সংবাদনাধ্যমে,	সংবাদমাধ্যমে,	
naphisa,	নাফিস,	নাফিসা,	
jetam,	জেতাম,	যেতাম,	
jathartho,	যথার্থ,	যথার্থ,	
shahanara,	শাহনারা,	শাহানারা,	
pacbbar,	পাঁচবার,	পাঁচবার,	
lala,	ললা,	লালা,	
heris,	হেরিস,	হ্যারিস,	
spreadsiit,	স্প্রিয়েশ,	স্প্রেডশীট,	
yankii,	যানকি,	ইয়াংকি,	
fulkapi,	ফুলকাপি,	ফুলকপি,	
chhaai,	ছাই,	ছাই,	
tirmijii,	তিরমিযী,	তিরমিজি,	
prabhura,	প্রভূরা,	প্রভুরা,	
duburir,	দুবুরীর,	ডুবুরির,	
dholeshwari,	ধলেশশবরী,	ধলেশ্বরী,	
nuhash,	নুঃসাস,	নুহাশ,	
bikretader,	বিক্রেটাদের,	বিক্রেতাদের,	
rohasyati,	রহহ্যাটি,	রহস্যটি,	
lampot,	লম্পত,	লম্পট,	
protijogii,	প্রতিযোগী,	প্রতিযোগী,	
asiatic,	অসেসটিক,	এশিয়াটিক,	
turishta,	তুরিষ্ট,	টুরিস্ট,	
torabgunj,	তরাবগঞ্জ,	তোরাবগঞ্জ,	
ponero,	পনেরো,	পনের,	
ekshotee,	একশটি,	একশোটি,	
ottacharer,	অত্মাচারের,	অত্যাচারের,	
firojer,	ফিরোজের,	ফিরোজের,	
seekkhokbrindo,	শিক্ষুক্র্ণ্ড,	শিক্ষকবৃন্দ,	
narikei,	নারীকেই,	নারীকেই,	
vogirath,	ভগিরাথ,	ভগীরথ,	
matthew,	মাঠেও,	ম্যাথিউ,	
cooda,	কোড,	কোডা,	
michir,	মিচির,	মিচির,	
pratiyogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
seemaa,	সিমা,	সীমা,	
grantho,	গ্রন্থ,	গ্রন্থ,	
asovarno,	অসবর্ন,	অসবর্ণ,	
bhabnar,	ভাবনার,	ভাবনার,	
deepei,	দীপেই,	দ্বীপেই,	
anchaltite,	আঞ্চলটিতে,	অঞ্চলটিতে,	
chutir,	ছুটির,	ছুটির,	
sakara,	সকার,	সাকার,	
nikela,	নাইকেল,	নিকেল,	
soommita,	সম্মিতা,	সুমিতা,	
vugol,	ভুগল,	ভূগোল,	
messanger,	মেশাঙ্গের,	মেসেঞ্জার,	
hames,	হামেশ,	হোমস,	
naraphoqa,	নরফফক,	নরফোক,	
madhobi,	মাধবী,	মাধবী,	
torkarir,	তরকারির,	তরকারীর,	
nepchuner,	নেপুঁনের,	নেপচুনের,	
muhurto,	মুহূর্ত,	মুহুর্ত,	
ipl,	ইপল,	আইপিএল,	
eute,	ইউটে,	ইইউতে,	
drishyagulo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
mitrota,	মিত্রতা,	মিত্রতা,	
ghensha,	ঘেনস,	ঘেঁষা,	
suporichiti,	সুপরিচিতি,	সুপরিচিতি,	
gosthii,	গোষ্ঠী,	গোষ্ঠীই,	
danabder,	দানাবদের,	দানবদের,	
protijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
abosane,	আবসানে,	অবসানে,	
tolemy,	তলেমি,	টলেমির,	
damdor,	দমদদর,	দামদর,	
sorajur,	সরাজুর,	সরযূর,	
chilahaati,	চিলাহাটি,	চিলাহাটি,	
lyaand,	ল্যান্ড,	ল্যান্ড,	
jotota,	জতটা,	যতোটা,	
kolahal,	কলাহল,	কোলাহল,	
pothnirdeshona,	পথনিত্দশশনা,	পথনির্দেশনা,	
banger,	বঙ্গের,	ব্যাঙের,	
ciima,	সিম,	সীমা,	
karmokarke,	কর্মকারকে,	কর্মকারকে,	
koyari,	কোয়ারি,	কোয়েরি,	
plak,	প্লক,	প্ল্যাক,	
noditir,	নদীতীর,	নদীটির,	
aazeez,	আজিজ,	আজিজ,	
songkoloney,	সংকললনে,	সংকলনে,	
idaningkale,	ইডননিংকেলে,	ইদানীংকালে,	
aksharke,	একসরকে,	অক্ষরকে,	
rockibul,	রকিবুল,	রকিবুল,	
awatar,	অভাটার,	অবতার,	
prabhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
kyantana,	ক্যান্টন,	ক্যান্টন,	
stone,	স্টন,	স্টোন,	
asamanyo,	অসমান্য,	অসামান্য,	
ganokontho,	গণকণ্ঠ,	গণকণ্ঠ,	
upobashii,	উপবাশী,	উপবাসী,	
siqar,	সিকার,	শিকার,	
pleney,	প্লেনে,	প্লেনে,	
toroon,	তরুণ,	তরুন,	
morathi,	মরাঠী,	মরাঠি,	
phund,	ফান্ড,	ফান্ড,	
sollallhoo,	সোললল্লো,	সল্লাল্লাহু,	
thailand,	থাইল্যান্ড,	থাইল্যান্ড,	
mitar,	মিটার,	মিত্র,	
sooresh,	সুরেশ,	সুরেশ,	
saabbir,	সাববীর,	সাব্বির,	
amarica,	অ্যামেরিকা,	আমেরিকা,	
bea,	বিয়া,	বি,	
gunaman,	জুণামান,	গুণমান,	
suchonakal,	সূচনাকল,	সূচনাকাল,	
homes,	হোমেস,	হোমস,	
sachetonvabe,	সচেতনভাবে,	সচেতনভাবে,	
afjal,	আফজাল,	আফজল,	
jwor,	জ্বর,	জ্বর,	
seector,	সেক্টর,	সেক্টর,	
eutey,	ইউটে,	ইইউতে,	
kanai,	কানাই,	কানাই,	
jolook,	জলুক,	জ্বলুক,	
besoor,	বেশুর,	বেসুর,	
songasthati,	সংগোষ্ঠাটি,	সংস্থাটি,	
hool,	হোল,	হুল,	
cheenja,	চিঞ্জ,	চেঞ্জ,	
satarkakari,	সতারকারী,	সতর্ককারী,	
donut,	দননুত,	ডোনাট,	
batikromee,	ব্যাতিক্রমী,	ব্যতিক্রমী,	
credit,	ক্রেডিট,	ক্রেডিট,	
futbolarer,	ফুটবলরের,	ফুটবলারের,	
motabolombira,	মোটবললম্বীরা,	মতাবলম্বীরা,	
jhalkathee,	ঝালকাঠী,	ঝালকাঠী,	
neerbahe,	নির্বাহে,	নির্বাহে,	
gatrey,	গোত্রে,	গাত্রে,	
bhogirath,	ভগ্রিথ,	ভগীরথ,	
noitikbhabe,	নৈতিকভাবে,	নৈতিকভাবে,	
grontho,	গ্রন্থ,	গ্রন্থ,	
netherlandey,	নেথারল্যান্ডে,	নেদারল্যান্ডে,	
coner,	কনের,	কনের,	
sahokaree,	সহকারী,	সহকারী,	
samanyo,	সামন্য,	সামান্য,	
gudamjato,	গুদমজাত,	গুদামজাত,	
koilas,	কৈলাশ,	কৈলাস,	
byaasalt,	ব্যাসল্ট,	ব্যাসল্ট,	
kada,	কাদা,	কোড,	
phutbolarra,	ফুটবলররা,	ফুটবলাররা,	
arthanitir,	অর্থনীতির,	অর্থনীতির,	
kamij,	কামিজ,	কামিজ,	
janacche,	জানেচ্ছে,	জানাচ্ছে,	
dacop,	ডাকপ,	দাকোপ,	
kanasarabheeshana,	কনসারেভনশন,	কনসারভেশন,	
mugdhota,	মুগধতা,	মুগ্ধতা,	
noiteekvabe,	নৈতিকভাবে,	নৈতিকভাবে,	
sonaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
konagulo,	কোনাগুলো,	কণাগুলো,	
raia,	রয়়ে,	রায়,	
konader,	কোণদের,	কণাদের,	
octane,	অক্টেন,	অকটেন,	
sikkhakbrindo,	শিক্ষাকৃন্দ,	শিক্ষকবৃন্দ,	
prokolpow,	প্রকল্পও,	প্রকল্পও,	
doorger,	দুর্গের,	দুর্গের,	
shudhui,	সুধুই,	শুধুই,	
parjotaker,	পারযযটাকের,	পর্যটকের,	
potochitrer,	পতচিত্রের,	পটচিত্রের,	
gronthowo,	গ্রন্থও,	গ্রন্থও,	
abheedhaanick,	অভিধানিক,	অভিধানিক,	
eidhyaning,	এদ্যানিং,	ইদানীং,	
manushsaho,	মনুস্বহহ,	মানুষসহ,	
zeebonjapon,	জীবনযাপন,	জীবনযাপন,	
hunayin,	হুনাইন,	হুনাইন,	
keyboard,	কেবোর্ড,	কীবোর্ড,	
nachiketa,	নছিকেত,	নচিকেতা,	
keke,	কেকে,	কেকে,	
jothon,	যথন,	যথন,	
borana,	বরান,	বোরন,	
vagno,	ভাগন,	ভগ্ন,	
byatikrami,	ব্যাটিক্রমি,	ব্যতিক্রমী,	
macho,	মাচ,	মাছও,	
jworer,	জ্বরের,	জ্বরের,	
chirota,	চিরতা,	চিরতা,	
aarcia,	আর্সিয়া,	আরসিএ,	
foloshrutite,	ফলস্রুটিতে,	ফলশ্রুতিতে,	
naazee,	নাজী,	নাত্সি,	
teta,	টাটা,	টেটা,	
scholastik,	স্কলাসটিক,	স্কলাস্টিক,	
gonoporeebohon,	গণপরিবহন,	গণপরিবহন,	
abadamaner,	আবদমানের,	অবদমনের,	
sukhma,	সুখ্য,	সুক্ষ্ম,	
antorvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
sectore,	সেক্টর,	সেক্টরে,	
abhidhaanik,	অভিধানিক,	অভিধানিক,	
akeeb,	একীব,	আকিব,	
khanankaj,	খননকাজ,	খননকাজ,	
sedikei,	সেদিকেই,	সেদিকেই,	
gobeshonar,	গবেষণার,	গবেষনার,	
dibbay,	দিব্বে,	দিব্যা,	
taateo,	তাতেও,	তাতেও,	
sikkharrtheerao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
kanthar,	কন্ঠার,	কাঁথার,	
prosadhaner,	প্রশাধনের,	প্রসাধনের,	
obie,	অবিয়ে,	ওবিই,	
ekbakye,	একবাকে,	একবাক্যে,	
gatirodh,	গতিরোধ,	গতিরোধ,	
hedge,	হেজ,	হেজ,	
bhardwaj,	ভর্দ্বজ,	ভরদ্বাজ,	
chaudhurider,	চৌধুদিরের,	চৌধুরীদের,	
soros,	সরস,	সরস,	
balbo,	বলবো,	বলবো,	
obosorer,	অবসরের,	অবসরের,	
brekathru,	ব্রেকথুরু,	ব্রেকথ্রু,	
brooklyn,	ব্রুকলিন,	ব্রুকলিন,	
bidrup,	বিদ্রুপ,	বিদ্রূপ,	
juktarashtrosaha,	যুক্তরাশ্রসহ,	যুক্তরাষ্ট্রসহ,	
aukhando,	অখন্ড,	অখন্ড,	
damane,	ডমনে,	দমনে,	
licencing,	লিসেন্সিং,	লাইসেন্সিং,	
phareeksa,	ফারেক্স,	ফরেক্স,	
rahee,	রাহি,	রাহী,	
khalidke,	খলিদদে,	খালিদকে,	
machera,	মেছেরা,	মাছেরা,	
ohalyar,	ওলা্যার,	অহল্যার,	
manab,	মানব,	মানব,	
nabom,	নবম,	নবম,	
drissotir,	দৃশ্যতির,	দৃশ্যটির,	
temontee,	টেমনটি,	তেমনটি,	
sepha,	সেফ,	শেফ,	
kalnir,	কল্নীর,	কালনীর,	
beem,	বীম,	বিম,	
serup,	সেরুপ,	সেরুপ,	
akabar,	একাবর,	আকাবার,	
wictor,	ভিক্টর,	ভিক্টর,	
bcci,	বিএসসসি,	বিসিসিআই,	
dweegulotey,	দ্বিগুলোতে,	দ্বীপগুলোতে,	
bonvumite,	বনভূমিতে,	বনভূমিতে,	
jank,	জাংক,	জাঁক,	
planey,	প্লেনে,	প্লেনে,	
dharabahikti,	ধারবাহিক্তি,	ধারাবাহিকটি,	
palbangser,	পলবংসের,	পালবংশের,	
hajeerhat,	হাজিরাট,	হাজিরহাট,	
laaz,	লাজ,	লাজ,	
dwipke,	দ্বিপকে,	দ্বীপকে,	
touraat,	তৌরাট,	তওরাত,	
ssikkharthirao,	শিক্ষার্থীরাও,	শিক্ষার্থীরাও,	
surti,	সুর্তি,	সুরটি,	
necker,	নেকের,	নেকের,	
paikar,	পাইকার,	পাইকার,	
choudhureeke,	চৌধুরিকে,	চৌধুরীকে,	
seeramiks,	সেরামিক্স,	সিরামিকস,	
nothivukteer,	নথিভুক্তির,	নথিভুক্তির,	
chirohorith,	চিরররীথ,	চিরহরিৎ,	
artharer,	অর্থারের,	আর্থারের,	
sbajan,	স্বজন,	স্বজন,	
garjan,	গার্জন,	গর্জন,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
udbhaban,	উদ্ভবন,	উদ্ভাবন,	
valobase,	ভালবাসে,	ভালোবাসে,	
scoree,	স্কোরি,	স্কোরে,	
omkar,	অম্কার,	ওঙ্কার,	
baieq,	বাইক,	বাইক,	
ronangone,	রণাঙ্গনে,	রণাঙ্গনে,	
konruup,	কনরূপ,	কোনরূপ,	
eoki,	ইকো,	এওকি,	
jerokom,	জেরোকম,	যেরকম,	
kormosongsthan,	কর্যসংস্থান,	কর্মসংস্থান,	
bhagno,	ভাগন,	ভগ্ন,	
drishyake,	দৃশ্যকে,	দৃশ্যকে,	
toubar,	তওবার,	তওবার,	
abheedhaanic,	অভিধানিক,	অভিধানিক,	
senabahineeow,	সেনাবাহিনীও,	সেনাবাহিনীও,	
texaser,	টেকাসের,	টেক্সাসের,	
bijepi,	বিজেপি,	বিজেপি,	
colahol,	কলাল,	কোলাহল,	
tofat,	টফফত,	তফাৎ,	
soinyo,	সৈন্য,	সৈন্য,	
badhadan,	বাঁধাদন,	বাধাদান,	
bihar,	বিহার,	বিহার,	
siddhantai,	সিদ্ধানটিই,	সিদ্ধান্তই,	
shikarke,	শিকারকে,	শিকারকে,	
somratra,	সমাত্রা,	সম্রাটরা,	
bheenasa,	ভেনস,	ভেনাস,	
duuma,	দুমা,	দুমা,	
pothchari,	পথচারী,	পথচারী,	
makhmaley,	মখলে,	মখমলে,	
marpit,	মার্পিট,	মারপিট,	
korim,	করিম,	করিম,	
babilon,	বাবিলোন,	ব্যাবিলন,	
nebhate,	নেভাতে,	নেভাতে,	
jerakam,	জেরকম,	যেরকম,	
dokaangulotey,	দোকানগুলোতে,	দোকানগুলোতে,	
vejjanno,	ভেজান্য,	ভেজানো,	
sulfatee,	সুলফাটি,	সালফেট,	
protizogiir,	প্রতিযোগীর,	প্রতিযোগীতার,	
chidropathe,	চিদ্রপথে,	ছিদ্রপথে,	
daaun,	ডাউন,	ডাউন,	
sanbadmadhyamer,	সংবাদমাধ্যমের,	সংবাদমাধ্যমের,	
carlos,	কার্লস,	কার্লোস,	
jarmaniteo,	জার্মানিতেও,	জার্মানিতেও,	
leetteer,	লেটার,	লেটার,	
parswer,	পার্সের,	পার্শ্বের,	
technocrat,	টেকচ্রোার,	টেকনোক্র্যাট,	
pancbaar,	পাঁচবার,	পাঁচবার,	
kiibord,	কিবোর্ড,	কীবোর্ড,	
noditike,	নদীতীকে,	নদীটিকে,	
laisensa,	লাইসেন্স,	লাইসেন্স,	
addabaaz,	আদ্বাবাজ,	আড্ডাবাজ,	
gootano,	গুটানো,	গুটানো,	
ruteen,	রুটিন,	রুটিন,	
niutrina,	নাইট্রিন,	নিউট্রিনো,	
urur,	ইউরুর,	উরুর,	
bhogini,	ভগিনী,	ভগিনী,	
sangkalaner,	সংকলনের,	সংকলনের,	
aboshorer,	অবশরের,	অবসরের,	
keui,	কেই,	কেউই,	
sothikata,	সথিকতা,	সঠিকতা,	
hepatitis,	হেপটিটিস,	হেপাটাইটিস,	
somraatra,	সম্তাত্রা,	সম্রাটরা,	
nirgomon,	নির্গমন,	নির্গমন,	
poner,	পনের,	পনের,	
shaddhii,	সাধ্ধী,	সাধ্বী,	
gandhariir,	গানধারীর,	গান্ধারীর,	
priimo,	প্রীম,	প্রিমো,	
marketey,	মার্কেটে,	মার্কেটে,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
laicenshe,	লেইসেন্স,	লাইসেন্স,	
niketoner,	নিকেটনের,	নিকেতনের,	
licenser,	লিসেন্সের,	লাইসেন্সের,	
karloosa,	কর্লসা,	কার্লোস,	
neemeette,	নেমিত্যে,	নিমিত্তে,	
myat,	ম্যাট,	ম্যাট,	
aaminaar,	আমিনার,	আমিনার,	
marry,	মেরি,	ম্যারি,	
azan,	আজন,	আজান,	
bonnopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
nikoter,	নিকটের,	নিকটের,	
chhintayikari,	ছিন্তাকিকারী,	ছিনতাইকারী,	
peterke,	পেটারকে,	পিটারকে,	
bharkendra,	ভারকেন্দ্র,	ভরকেন্দ্র,	
gandhio,	গণ্ধীও,	গান্ধীও,	
varpur,	ভারপুর,	ভরপুর,	
samudratatey,	সমুদ্রতাতে,	সমুদ্রতটে,	
thanvee,	ঠাঁবী,	থানভী,	
musalmanyi,	মুসলামনই,	মুসলমানই,	
abul,	আবুল,	আবুল,	
indrer,	ইন্ড্রের,	ইন্দ্রের,	
fuzz,	ফুজ,	ফাজ,	
holdin,	হলদিন,	হোল্ডিং,	
gonokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
vagini,	ভাগিনী,	ভগিনী,	
dhila,	ঢিলা,	ঢিলা,	
elakatey,	এলাকাতে,	এলাকাতে,	
orthat,	অর্থাত,	অর্থাৎ,	
baikalyo,	বৈকল্য,	বৈকল্য,	
porishrom,	পরিশ্রম,	পরিশ্রম,	
naditi,	নদীতী,	নদীটি,	
nirapekkhotaar,	নিরপক্ষেতার,	নিরপেক্ষতার,	
