steitt,	স্টেট,	স্টেইট,	
rajtantrake,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
prosadhoni,	প্রসাধনী,	প্রসাধনী,	
bohudin,	বহুদিন,	বহুদিন,	
shumo,	শুমও,	সুমো,	
mojlishpoor,	মজিলসপুর,	মজলিশপুর,	
hurricanee,	হারিকিন,	হ্যারিকেন,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
zealand,	জিল্যান্ড,	জিল্যান্ড,	
protijogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
siddhanto,	সিদ্বান্ত,	সিদ্ধান্তও,	
trend,	ট্রেন্ড,	ট্রেন্ড,	
otyacharer,	অত্যাচারের,	অত্যাচারের,	
daada,	দাদ,	দাদা,	
konorup,	কনরূপু,	কোনরূপ,	
karmoke,	কর্মকে,	কর্মকে,	
shanstha,	সংস্থা,	সংস্থা,	
nowel,	নোভেল,	নভেল,	
smarok,	স্মরক,	স্মারক,	
gotihin,	গতিহীন,	গতিহীন,	
patka,	পাটকা,	পটকা,	
vastuvad,	বস্তুবাদ,	বস্তুবাদ,	
daltyagi,	দালতগাি,	দলত্যাগী,	
ingrejra,	ইংরেজরা,	ইংরেজরা,	
dibeting,	ডিবেটিং,	ডিবেটিং,	
abasane,	আবাসনে,	অবসানে,	
onekeryi,	অনেকেরই,	অনেকেরই,	
townsip,	তন্সিপ,	টাউনশিপ,	
uzobekeestaaner,	উজবেকষ্ঠিনার,	উজবেকিস্তানের,	
tintike,	তিনটিকে,	তিনটিকে,	
nirarthok,	নিরার্থক,	নিরর্থক,	
masey,	মাসে,	মাসে,	
chaalaabi,	চালাবি,	চালাবে,	
kurdider,	কুর্দিদের,	কুর্দিদের,	
sossa,	সস্য,	শশা,	
balabhadra,	বালভাদরা,	বলভদ্র,	
ghumacche,	ঘুমাছে,	ঘুমাচ্ছে,	
itostato,	ইতোস্তট,	ইতস্তত,	
dwipgulote,	দ্বিপুগুলোতে,	দ্বীপগুলোতে,	
sporsher,	স্পোর্সের,	স্পর্শের,	
bharpur,	ভারপুর,	ভরপুর,	
shelinar,	সিলিনার,	সেলিনার,	
shoo,	শু,	শো,	
byke,	বিইক,	বাইক,	
antorvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
roktokshoroner,	রক্তকরণস্তারের,	রক্তক্ষরণের,	
potchitro,	পতিচত্র,	পটচিত্র,	
ponchashjon,	পঞ্চাশজন,	পঞ্চাশজন,	
chatoke,	চতকে,	ছাতকে,	
atma,	আত্মা,	আত্ম,	
trivuz,	ত্রিভুজ,	ত্রিভূজ,	
nirbachaker,	নির্বাচকের,	নির্বাচকের,	
nevatey,	নেভাতে,	নেভাতে,	
baarnis,	বার্নিস,	বার্নিশ,	
romantiqa,	রোমান্তিক,	রোমান্টিক,	
roialti,	রোয়ালটি,	রয়্যালটি,	
vogini,	ভোগিনী,	ভগিনী,	
grambaasi,	গ্র্মাবাসী,	গ্রামবাসী,	
basiney,	ব্যাসীনে,	বেসিনে,	
brookolin,	ব্রকুলিন,	ব্রুকলিন,	
motke,	মোটকে,	মতকে,	
gasthike,	গ্যাসিকে,	গোষ্ঠীকে,	
bandhutwo,	বন্ধুত্ব,	বন্ধুত্ত্ব,	
aloteo,	আলোটেও,	আলোতেও,	
duburir,	দুবুরির,	ডুবুরির,	
bondhubhabapanno,	বন্ধুবাবন্ন,	বন্ধুভাবাপন্ন,	
japanira,	জাপানীরা,	জাপানিরা,	
tottenhamer,	তত্তিহামের,	টটেনহামের,	
fanskari,	ফাঁসকারী,	ফাঁসকারী,	
dozo,	দজও,	ডোজো,	
jatota,	যতটা,	যতোটা,	
mousumei,	মৌসমেই,	মৌসুমেই,	
bishnuu,	বিষ্ণু,	বিষ্ণু,	
lokhindare,	লোখিন্দারে,	লখিন্দরের,	
sektara,	সেক্টর,	সেক্টর,	
lyaata,	ল্যাট,	ল্যাটা,	
votar,	ভোটর,	ভোটার,	
oitijjo,	ঐতিজ্য,	ঐতিহ্য,	
mosjidti,	মস্যিদি,	মসজিদটি,	
harbar,	হারবার,	হারবার,	
sonatani,	সোনাটানি,	সনাতনী,	
aaminar,	আমিনার,	আমিনার,	
cheerkoot,	চিরকুট,	চিরকুট,	
parjataker,	পর্যটকের,	পর্যটকের,	
khude,	খুদে,	ক্ষুদে,	
kinsa,	কিন্স,	কিংস,	
tolemyr,	টোলেমির,	টলেমির,	
debate,	দেবাতে,	ডিবেট,	
danaber,	দানাবের,	দানবের,	
chhooteete,	ছুটিতে,	ছুটিতে,	
pooshtir,	পুষ্টির,	পুষ্টির,	
masjidtikey,	মস্যিদিতকে,	মসজিদটিকে,	
varshon,	ভার্সন,	ভারশন,	
firth,	ফার্থ,	ফার্থ,	
bbiswasho,	বিশ্বাস,	বিশ্বাসও,	
title,	টিটল,	টাইটেল,	
falasrutite,	ফলস্রুতিতে,	ফলশ্রুতিতে,	
hazarer,	হাজারের,	হাজারের,	
kalkarkhana,	কালকর্্ানা,	কলকারখানা,	
commander,	কমান্ডার,	কমাণ্ডার,	
jibanjapon,	জীবন্যপুন,	জীবনযাপন,	
sallallahu,	সাল্লাল্লাহু,	সল্লাল্লাহু,	
thetcher,	তেচের,	থ্যাচার,	
shhyutara,	স্যুটার,	শ্যুটার,	
seo,	সিও,	সেও,	
koomarir,	কুমারীর,	কুমারীর,	
joisttho,	জৈষ্ঠ,	জ্যৈষ্ঠ,	
jatinke,	জ্তিনকে,	যতীনকে,	
prokare,	প্রকারে,	প্রকারে,	
drishyagulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
manushi,	মানুষি,	মানুষী,	
hizriite,	হিজরিতে,	হিজরীতে,	
ramonar,	রমনার,	রমনার,	
karlosha,	কার্লস,	কার্লোস,	
satjaner,	সাজনার,	সাতজনের,	
qyandi,	ক্যান্ডি,	ক্যান্ডি,	
teentir,	তিনটির,	তিনটির,	
palestinea,	পেলস্টিনে,	প্যালেস্টাইনে,	
obikol,	অবিক্য,	অবিকল,	
chalochchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
prithibir,	পৃথিবীর,	পৃথবীর,	
debodebir,	দেবদদিব,	দেবদেবীর,	
emarjenshi,	এমযর্জনেসি,	এমার্জেন্সি,	
sumee,	সুমি,	সুমি,	
temas,	টিমাস,	টাইমস্,	
proshtot,	প্রস্তাত,	প্রস্ত্তত,	
upobaashee,	উপবাসী,	উপবাসী,	
ekhaate,	এখাতে,	একহাতে,	
vaticaner,	ভাতিকানের,	ভ্যাটিকানের,	
dunkan,	দুঁকান,	ডানকান,	
farider,	ফরিদের,	ফরিদের,	
elakaatir,	এলাকাটির,	এলাকাটির,	
samajeri,	সমাজেরী,	সমাজেরই,	
phake,	ফেক,	ফাকে,	
scorey,	স্কোরে,	স্কোরে,	
peterkey,	পিতারকে,	পিটারকে,	
uthe,	উঠে,	উঠে,	
baron,	বারণ,	ব্যারন,	
majhari,	মাঝারি,	মাঝারী,	
qings,	কিংস,	কিংস,	
karka,	কারকা,	কার্ক,	
sheekarder,	সিকদরদের,	শিকারদের,	
marino,	মারিনো,	মারিনো,	
conan,	কোনান,	কোনান,	
dhonyi,	ধননই,	ধন্যি,	
uddhritto,	উদ্ধৃত,	উদ্ধৃত,	
sulfatee,	সুলফাটি,	সালফেট,	
stonehenje,	স্টোনেহেন্জ,	স্টোনহেঞ্জ,	
tempaleta,	টেম্পলল,	টেম্পলেট,	
byabaharkaree,	ব্যবহারকারি,	ব্যবহারকারী,	
shoya,	শোয়া,	সোয়া,	
garora,	গারোরা,	গারোরা,	
ujobekeestan,	উজবেকষ্ঠিন,	উজবেকিস্তান,	
taims,	টাইমস,	টাইমস্,	
kloud,	ক্লদ,	ক্লাউড,	
allubokhara,	আল্লুখ্যার,	আলুবোখারা,	
injiniyarim,	ইনজিনিয়ারিং,	ইঞ্জিনিয়ারিং,	
dinar,	দিনার,	ডিনার,	
dearas,	ডিরাশ,	ডিআরএস,	
parqasa,	পরর্কস,	পার্কস,	
soourse,	সুর্স,	সোর্স,	
prabhritite,	প্রভৃতিতে,	প্রভৃতিতে,	
jolatonko,	জলাটনক,	জলাতঙ্ক,	
carlos,	কার্লস,	কার্লোস,	
karmasansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
muhommoder,	মুহম্মদের,	মুহম্মদের,	
khilafot,	খিলফফ,	খিলাফত,	
zubokra,	যুবক্রা,	যুবকরা,	
santaa,	সান্টা,	সান্তা,	
munshi,	মুনশী,	মুন্সি,	
nothivukto,	নথিভুক্ত,	নথিভুক্ত,	
dakkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
bhenna,	ভেন্না,	ভেন্না,	
keyu,	কেযু,	কেউ,	
euro,	ইউরো,	ইউরো,	
rakkhanbhag,	রক্ষণভাগ,	রক্ষণভাগ,	
ddhila,	ঢিলা,	ঢিলা,	
sheekarke,	শিকারকে,	শিকারকে,	
taitela,	টাইটেল,	টাইটেল,	
shoccer,	সকের,	সকার,	
azimkey,	আজিমকে,	আজিমকে,	
olimpik,	অলিম্পিক,	অলিম্পিক,	
sqarta,	স্কার্টা,	স্কার্ট,	
coner,	কনের,	কনের,	
shotokei,	শতকেই,	শতকেই,	
futanto,	ফুটান্ত,	ফুটন্ত,	
nazi,	নাজি,	নাত্সি,	
keram,	কেরাম,	কেরাম,	
okkhor,	অক্ষর,	অক্ষর,	
kriita,	কৃরাত,	ক্রীট,	
uponeesoder,	উপনিষদের,	উপনিষদের,	
jyoistho,	জ্যোস্থ,	জ্যৈষ্ঠ,	
botgach,	বোটগাঁ,	বটগাছ,	
alexandar,	আলেক্সান্ডার,	আলেকজান্ডার,	
stationey,	স্টেশনে,	ষ্টেশনে,	
favorite,	ফবরীতে,	ফেভারিট,	
horiner,	হরিনের,	হরিণের,	
bardhitansh,	বর্ধধিটসা,	বর্ধিতাংশ,	
lutheereen,	লুথরেন,	লুথেরান,	
phutbolarder,	ফুটবলরদের,	ফুটবলারদের,	
ashok,	আসোক,	আশোক,	
teemothy,	টিমথি,	টিমোথি,	
zibonto,	জীবন্ত,	জীবন্ত,	
hunine,	হিউনিয,	হুনাইন,	
vor,	ভরর,	ভর,	
manob,	মানব,	মানব,	
savanetri,	সভানেত্রী,	সভানেত্রী,	
karadonde,	কারাদন্ডে,	কারাদণ্ডে,	
kushumba,	কুসুম্ব,	কুশুম্বা,	
kaamla,	কামলা,	কামলা,	
degreer,	ডিগ্রীর,	ডিগ্রির,	
atyachari,	অত্যাচারী,	অত্যাচারী,	
nirikha,	নিরিখা,	নিরিখ,	
aarik,	আরিক,	আরিক,	
amanisha,	অমনিশ,	অমানিশা,	
torokareer,	তরকারীর,	তরকারীর,	
samanya,	সামান্য,	সামান্য,	
fox,	ফক্স,	ফক্স,	
karmake,	কর্মকে,	কর্মকে,	
dweepgulo,	দ্বিপগুলো,	দ্বীপগুলো,	
sanaktakaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
lutherana,	লুথারেন,	লুথেরান,	
alsara,	অলসারা,	আলসার,	
moshjidtir,	মস্যিদির,	মসজিদটির,	
monzeele,	মঞ্জিলে,	মঞ্জিলে,	
hock,	হক,	হুক,	
khelaphatey,	খেলফাতে,	খেলাফতে,	
fuzz,	ফুজ,	ফাজ,	
delivar,	ডিলিভার,	ডেলিভার,	
spreadsiit,	স্প্রেডসিট,	স্প্রেডশীট,	
uparjan,	উপার্জন,	উপার্জন,	
transafarma,	ট্রান্সফার্ম,	ট্রান্সফর্ম,	
vaisoho,	ভাইসহ,	ভাইসহ,	
durgotsabe,	দূর্গতসভে,	দুর্গোৎসবে,	
lettere,	লেটারে,	লেটারে,	
bondiira,	বন্দিরা,	বন্দীরা,	
rabo,	রব,	রব,	
kanake,	কানকে,	কণাকে,	
shringe,	শ্রীঙ্গ,	শৃঙ্গে,	
bishasey,	বিশাসে,	বিশ্বাসে,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
boner,	বোনের,	বনের,	
ceramiksh,	সেরমিক্,	সিরামিকস,	
tanteera,	তান্তেরা,	তাঁতিরা,	
bishshaashi,	বিশ্বাসী,	বিশ্বাসই,	
licencer,	লিসেস্কের,	লাইসেন্সের,	
drissogoolote,	দৃষ্যগুলোতে,	দৃশ্যগুলোতে,	
carzito,	কার্জিত,	চার্জিত,	
uipoka,	উইপোকা,	উইপোকা,	
joruri,	জরুরি,	জরূরী,	
shikshagata,	শিক্ষাগত,	শিক্ষাগত,	
protista,	প্রতিষ্ঠা,	প্রতিষ্টা,	
jalrong,	জ্বলর্,	জলরঙ,	
highcommissionay,	হাইকমিশনার,	হাইকমিশনে,	
ogrodoot,	অগ্রোদত,	অগ্রদূত,	
horipoor,	হরিপুর,	হরিপুর,	
songrahak,	সংগ্রহক,	সংগ্রাহক,	
ovidhaner,	অভিধানের,	অভিধানের,	
shastro,	সাস্ত্র,	শাস্ত্র,	
ekirokom,	একিরকম,	একইরকম,	
arakani,	আরাকানি,	আরাকানী,	
metropoliton,	মেত্রোপলিটন,	মেট্রোপলিটন,	
ucchosito,	উচ্চাশিত,	উচ্ছসিত,	
baghdad,	বাঘদাদ,	বাগদাদ,	
developer,	ডেভেলপার,	ডেভলপার,	
licensing,	লিসেন্সিং,	লাইসেন্সিং,	
majuter,	মজুটের,	মজুতের,	
asantosh,	অসান্তস,	অসন্তোষ,	
pratijogi,	প্রতিযোগি,	প্রতিযোগী,	
omarendro,	অমেরেন্দ্র,	অমরেন্দ্র,	
zhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
bisshasyi,	বিশ্বাসী,	বিশ্বাসই,	
beda,	বেদা,	বেদ,	
engrejer,	ইংগেরের,	ইংরেজের,	
atarkitey,	অতর্কিতে,	অতর্কিতে,	
isahak,	ইসহাক,	ইসাহাক,	
rajpur,	রাজপুর,	রাজপুর,	
jibjontu,	জীবনযুত্,	জীবজন্তু,	
choity,	চৈটি,	চৈতি,	
corymb,	করিম্ব,	করিম,	
jubokera,	যুবকেরা,	যুবকেরা,	
dimbakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
karmakandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
ghoorsen,	ঘুরেশন,	ঘুরেছেন,	
jatak,	যতক,	জাতক,	
shrabosty,	শ্রববস্তি,	শ্রাবস্তী,	
dhos,	ধোষ,	ধস,	
bitloser,	বিটলসের,	বিটলসের,	
mohish,	মহিষ,	মহিষ,	
vugoley,	ভুগলে,	ভূগোলে,	
stonehenj,	স্টোনেহিং,	স্টোনহেঞ্জ,	
mathews,	ম্যাথিউস,	ম্যাথিউস,	
ispredsheet,	ইস্পের্ডিফ,	স্প্রেডশীট,	
chhanake,	চনাকে,	ছানাকে,	
shatokeo,	শতকেও,	শতকেও,	
gardeena,	গার্ডিন,	গার্ডেন,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
sikkhakbrindo,	শিক্ষাকবরন্দ,	শিক্ষকবৃন্দ,	
venkatesh,	ভেনকেট,	ভেঙ্কটেশ,	
pathanirdeshana,	পথনির্দেশনা,	পথনির্দেশনা,	
monjiley,	মঞ্জিলে,	মঞ্জিলে,	
haipar,	হাইপার,	হাইপার,	
saptahokal,	সপ্ততকাল,	সপ্তাহকাল,	
orgho,	অর্ঘ,	অর্ঘ্য,	
railliner,	রেলিনের,	রেললাইনের,	
bhaabaaponno,	ভাবাণপ্ন,	ভাবাপন্ন,	
bujhechilo,	বুঝেছিল,	বুঝেছিল,	
dubureer,	দুবুরির,	ডুবুরির,	
swartha,	স্বর্থ,	স্বার্থ,	
oitijjer,	ঐতিজ্যের,	ঐতিহ্যের,	
godamjat,	গদম্যাত,	গুদামজাত,	
bopoon,	বোপুন,	বপন,	
jameser,	জেমসের,	জেমসের,	
jemi,	জেমি,	জেমি,	
avijojan,	অভিযোজন,	অভিযোজন,	
telaakucha,	টেলাকুচা,	তেলাকুচা,	
shekend,	সেকেন্ড,	সেকেণ্ড,	
poripake,	পরিপকে,	পরিপাকে,	
somabesh,	সমাবেশ,	সমাবেশ,	
pari,	প্যারি,	পেরি,	
tecnokryat,	টেকনোক্ররাত,	টেকনোক্র্যাট,	
hart,	হার্ট,	হার্ট,	
bongobondhu,	বঙ্গন্ধু,	বঙ্গবন্ধু,	
simaa,	সিমা,	সীমা,	
khanonkaj,	খননকাজ,	খননকাজ,	
teennis,	টেনিস,	টেনিস,	
shombhobonaao,	সম্ভাবনাও,	সম্ভবনাও,	
ul,	উল,	উল,	
paramartha,	পরামর্থ,	পরমার্থ,	
kraima,	ক্রেম,	ক্রাইম,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
padarthabidder,	পদার্থবিদের,	পদার্থবিদদের,	
cholochchitreei,	চলচিত্রেই,	চলচ্চিত্রেই,	
chashe,	চাষে,	চেস,	
farn,	ফরর্ন,	ফার্ন,	
anektai,	অনেকটাই,	অনেকটাই,	
qode,	কোড,	কোড,	
pouro,	পৌরও,	পৌর,	
shalapheta,	সালফাইট,	সালফেট,	
sahazlabhbhatar,	সহজভলভার,	সহজলভ্যতার,	
jarool,	জারুল,	জারুল,	
salapheeta,	সালফাইট,	সালফেট,	
set,	সেট,	সিট,	
bayi,	বে,	বাঈ,	
seekkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
zyaka,	জ্যাক,	জ্যাক,	
protisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
hizritey,	হিজরিতে,	হিজরীতে,	
mousumti,	মৌসমুটি,	মৌসুমটি,	
surarop,	সুরারোপ,	সুরারোপ,	
tookrote,	টুকরোট,	টুকরোতে,	
rupart,	রিপোর্ট,	রুপার্ট,	
palteche,	পাল্টিউে,	পাল্টেছে,	
probhu,	প্রভূ,	প্রভু,	
societytey,	সোচিতিতে,	সোসাইটিতে,	
asamanyo,	অসমান্য,	অসামান্য,	
sanaktokaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
arakaner,	আরোকানের,	আরাকানের,	
lajikar,	লজিককার,	লজিকের,	
subader,	সুবাদের,	সুবাদে,	
ajimpoor,	আজিমপুর,	আজিমপুর,	
neurolojy,	নেউরোলি,	নিউরোলজি,	
ajeejer,	আজিজের,	আজিজের,	
tenis,	ট্যানিস,	টেনিস,	
uindoo,	উইন্ডো,	উইন্ডো,	
hazirhaat,	হজিরহাট,	হাজিরহাট,	
azadir,	আজাদির,	আজাদীর,	
xpresion,	ক্পেসরিশন,	এক্সপ্রেশন,	
daakteekite,	দাক্তিকিতে,	ডাকটিকিটে,	
mat,	মাত,	ম্যাট,	
direektareeta,	ডিরেক্রেটির,	ডিরেক্টরেট,	
dighal,	দীঘল,	দীঘল,	
phareqsa,	ফার্ক্স,	ফরেক্স,	
pyatarne,	প্যাটার্ন,	প্যাটার্নে,	
orthoniti,	অর্থনিটি,	অর্থনীতির,	
fern,	ফার্ন,	ফার্ন,	
graambaasider,	গ্রাম্বাসীদের,	গ্রামবাসীদের,	
ovarviu,	ওভারভূরি,	ওভারভিউ,	
nathibhukto,	নথিভুক্ত,	নথিভুক্ত,	
drishi,	ড্রিশি,	দৃশ্যই,	
strigon,	স্ত্রীগণ,	স্ত্রীগণ,	
haluder,	হালুদের,	হলুদের,	
gobeshana,	গবেষণা,	গবেষনা,	
satarkobhabe,	সতর্কভাবে,	সতর্কভাবে,	
oncholsoho,	অঞ্চলসহ,	অঞ্চলসহ,	
bissashe,	বিশ্বাসে,	বিশ্বাসে,	
durga,	দুর্গা,	দুর্গ,	
lande,	লন্ডে,	ল্যান্ডে,	
naazi,	নাজি,	নাত্সি,	
mohajote,	মহাজতে,	মহাজোট,	
nirbahe,	নির্বাহে,	নির্বাহে,	
jwalbe,	জ্বলবে,	জ্বলবে,	
zuktorastreo,	যুক্তরাস্ট্রেও,	যুক্তরাষ্ট্রেও,	
karmosampadan,	কর্মস্পদ্যন,	কর্মসম্পাদন,	
byabaharkarir,	ব্যবহারকারির,	ব্যবহারকারীর,	
zacksan,	যক্সন,	জ্যাকসন,	
kaaru,	কারু,	কারু,	
euror,	ইউরোর,	ইউরোর,	
porikhar,	পরীক্ষার,	পরিখার,	
shikshakder,	শিক্ষাদকদের,	শিক্ষকদের,	
breqathru,	ব্রেকথারও,	ব্রেকথ্রু,	
paksenaara,	পককসনোর,	পাকসেনারা,	
nagorikke,	নাগরিককে,	নাগরিককে,	
tukrote,	টুকরোট,	টুকরোতে,	
bondhuvabaponyo,	বন্ধুবাবনুন্য,	বন্ধুভাবাপন্ন,	
chhootochhuti,	ছুটোছটি,	ছুটোছুটি,	
lumbini,	লুম্বিনী,	লুম্বিনী,	
manabmaner,	মন্বান্যের,	মানবমনের,	
tyunar,	টিউনার,	টিউনার,	
poddhotitei,	পদ্ধতিতে,	পদ্ধতিতেই,	
nabatamo,	নবাতম,	নবতম,	
udvabone,	উদ্ভবনে,	উদ্ভাবনে,	
monzooshree,	মন্জস্রী,	মঞ্জুশ্রী,	
rajtontrokey,	রাজতন্ত্রকে,	রাজতন্ত্রকে,	
kaner,	কানের,	কনের,	
naarsari,	নার্সারী,	নার্সারি,	
aashok,	আসোক,	আশোক,	
mukhomandaley,	মুখমন্ডলে,	মুখমণ্ডলে,	
kyapasula,	ক্যাপসুলা,	ক্যাপসুল,	
amorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
timoothi,	তিমুঠি,	টিমোথি,	
masjidsaha,	মস্জিদসহ,	মসজিদসহ,	
bishshaash,	বিশ্বাস,	বিশ্বাস,	
bhenama,	ভেনামা,	ভেনম,	
sanatani,	সনাটনি,	সনাতনী,	
engil,	এঞ্জিল,	ইঞ্জিল,	
baitsh,	বেইসট,	বাইটস,	
sushukkhar,	সুশুক্ষর,	সুশিক্ষার,	
atorkitey,	অটর্কিতে,	অতর্কিতে,	
internship,	ইন্টার্নশীপ,	ইন্টার্নশিপ,	
swalpa,	স্বল্প,	স্বল্প,	
charrjito,	চার্জিত,	চার্জিত,	
machher,	মাছের,	মাছের,	
sukumari,	সুকুমারী,	সুকুমারী,	
hisaber,	হিসাবের,	হিসাবের,	
siddhantoi,	সিদ্ধান্তই,	সিদ্ধান্তই,	
prakalpeo,	প্রকালপেও,	প্রকল্পেও,	
milekhanek,	মিলেকেনে,	মাইলখানেক,	
biqe,	বিকে,	বাইক,	
remacry,	রেমা্রি,	রেমাক্রী,	
phern,	ফের্ন,	ফার্ন,	
lyand,	ল্যান্ড,	ল্যান্ড,	
shaannaal,	সান্নাল,	সান্যাল,	
notti,	নটি,	নোটটি,	
porishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
gare,	গারে,	গোর,	
depootee,	দেপুটি,	ডেপুটি,	
latimer,	লতিমের,	লাটিমের,	
poste,	পোস্ট,	পোস্টে,	
bypass,	বিপাশ,	বাইপাস,	
