ekhaate,	এখাতে,	একহাতে,	
chirkut,	চিরকুট,	চিরকুট,	
fulkopi,	ফুলকাপি,	ফুলকপি,	
spredsheet,	স্প্রেসসিট,	স্প্রেডশীট,	
mukhobondho,	মুখবন্ধ,	মুখবন্ধ,	
marodeha,	মারদেহ,	মরদেহ,	
jworer,	জুরের,	জ্বরের,	
kanasarabheeshana,	কনসারহেশন,	কনসারভেশন,	
notey,	নোটে,	নোটে,	
somratder,	সম্তাদের,	সম্রাটদের,	
aashtikota,	আস্টিকতা,	আস্তিকতা,	
spostotoi,	স্পষ্টটই,	স্পষ্টতই,	
bipozzonok,	বিপোজজনক,	বিপজ্জনক,	
diiptii,	দীপ্তি,	ডেপুটি,	
thare,	থের,	থরে,	
bhaskor,	ভাস্কর,	ভাস্কর,	
nariikei,	নারীকেই,	নারীকেই,	
sookumari,	সুকুমারী,	সুকুমারী,	
taap,	টাপ,	ট্যাপ,	
juktorastroshoho,	যুক্তরাস্রসূর,	যুক্তরাষ্ট্রসহ,	
chilona,	চিলনন,	ছিলনা,	
fala,	ফলা,	পোলো,	
hugheske,	হুঝেষকে,	হিউজকে,	
tarbiner,	টার্বিনের,	টারবাইনের,	
muldhara,	মূলধারা,	মূলধারা,	
kaansaat,	কাঁসাত,	কানসাট,	
conistho,	কনিষ্ঠ,	কনিষ্ঠ,	
nabheela,	নাভেল,	নভেল,	
porishongkhyanbid,	পরিসংখ্যাবিদ,	পরিসংখ্যানবিদ,	
ingrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
sohopathike,	সহপাঠিকে,	সহপাঠীকে,	
manabmoner,	মানব্যমের,	মানবমনের,	
velcome,	ভেলকলম,	ওয়েলকাম,	
maudeler,	মৌদেলের,	মডেলের,	
karmokandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
malish,	মালিশ,	মালিশ,	
bonvumi,	বনভুমি,	বনভূমি,	
kod,	কোদ,	কোড,	
iyanki,	ইয্যাংকি,	ইয়াংকি,	
narikei,	নারীকেই,	নারীকেই,	
munim,	মুনিম,	মুনিম,	
anchalsamuha,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
aashtikotaa,	আস্টিকতা,	আস্তিকতা,	
billah,	বিল্লাহ,	বিল্লাহ,	
ancieent,	অ্যান্জেন্ট,	এনসিয়েন্ট,	
peengnaa,	পিঙ্গন,	পিংনা,	
bhogini,	ভোগিনী,	ভগিনী,	
banduk,	বাঁদুক,	বন্দুক,	
jeebonjaapon,	জীবনযাপন,	জীবনযাপন,	
chhintayikari,	ছিনতাইকারী,	ছিনতাইকারী,	
nodimatrik,	নদীমত্রিক,	নদীমাতৃক,	
noitikotabodh,	নৈতিতাবধ,	নৈতিকতাবোধ,	
chhotogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
crete,	ক্রিতে,	ক্রীট,	
kaathhaamaandu,	কাঠামান্দু,	কাঠমান্ডু,	
paree,	প্যারি,	পাড়ে,	
foreks,	ফরেক্স,	ফরেক্স,	
scholastic,	স্কলাসটিক,	স্কলাস্টিক,	
maddhuri,	মধ্যুরি,	মাধুরী,	
protizogiira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
expresion,	এক্সপ্রেসেন,	এক্সপ্রেশন,	
tegara,	টেগার,	টাইগার,	
chalta,	চলতা,	চালতা,	
durgondho,	দুর্ঘন্ধ,	দুর্গন্ধ,	
gaujano,	গৌজনন,	গজানো,	
antarctica,	অন্টর্টিক্যাক,	অ্যান্টার্কটিকা,	
messenger,	মেসেঙ্গের,	মেসেঞ্জার,	
korkot,	করকত,	কর্কট,	
torkaryr,	তরকারির,	তরকারীর,	
musalmanera,	মুসল্মানের,	মুসলমানেরা,	
shikhbe,	শিখবে,	শিখবে,	
songhitar,	সংঘিতার,	সংহিতার,	
sumeeta,	সুমিতা,	সুমিতা,	
aziboner,	আজিবনের,	আজীবনের,	
valobasa,	ভালবাসা,	ভালোবাসা,	
allahabadey,	আল্লাহাদে,	এলাহাবাদে,	
vittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
sattweo,	সত্যেও,	সত্ত্বেও,	
ooindos,	উইন্ডোজ,	উইন্ডোস,	
homser,	হোমসের,	হোমসের,	
venkates,	ভেনকেটেস,	ভেঙ্কটেশ,	
granthaty,	গ্রন্থাটি,	গ্রন্থটি,	
kibord,	কিবোর্ড,	কীবোর্ড,	
ustaad,	অস্তাদ,	উস্তাদ,	
parqa,	পার্ক,	পার্ক,	
uzbekistan,	উজবিক্স্তান,	উজবেকিস্তান,	
adhyattik,	আধ্যাত্বিক,	আধ্যাত্মিক,	
associatis,	অ্যাসোসিয়েসিস,	এসোসিয়েটস,	
shcholastik,	স্কলসাটিক,	স্কলাস্টিক,	
waal,	ওয়াল,	উল,	
ruvbla,	রাভাল,	রুবল,	
dhorer,	ধরের,	ধরের,	
gayichhey,	গাইচে,	গাইছে,	
manur,	মনুর,	মনুর,	
phuda,	ফুদ,	ফুড,	
manahputa,	মানাপুত,	মনঃপুত,	
zackson,	জক্সন,	জ্যাকসন,	
oindreela,	আইন্ড্রিল,	ঐন্দ্রিলা,	
karadonder,	কারাদন্ডের,	কারাদণ্ডের,	
asamonjoshopurno,	অসমানসপ্রূর্ণ,	অসামঞ্জস্যপূর্ণ,	
charbon,	চর্বন,	চর্বন,	
jotinke,	যোটিনকে,	যতীনকে,	
lainde,	লাইন্ডে,	ল্যান্ডে,	
serup,	সেরুপ,	সেরূপ,	
noitikvabe,	নৈতিক্ভবে,	নৈতিকভাবে,	
domonmoolok,	দমনমূলক,	দমনমূলক,	
bolbo,	বলব,	বলবো,	
ojouno,	ওজৌনন,	অযৌন,	
hizri,	হিজরি,	হিজরী,	
hirani,	হিরানী,	হিরানি,	
path,	পাঠ,	পাথ,	
ragi,	রাগী,	রাগী,	
shikshakbrindo,	শিক্ষাবৃক্ণ,	শিক্ষকবৃন্দ,	
silvi,	সিলভি,	সিলভি,	
nothibhukta,	নথিভুক্ত,	নথিভুক্ত,	
jubokder,	যুবকদের,	যুবকদের,	
dristiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
minishter,	মিনিস্টার,	মিনিস্টার,	
sofie,	সফি,	সোফি,	
pharanyata,	ফরন্যতা,	ফরম্যাট,	
masharraf,	মাশাররফ,	মশাররফ,	
anchalsaho,	অঙ্চলাসহ,	অঞ্চলসহ,	
qirq,	কার্ক,	কার্ক,	
bisringkhola,	বিশৃঙ্খলা,	বিশৃঙ্খলা,	
debholopar,	ডেভলপপার,	ডেভলপার,	
lohaar,	লোহার,	লোহার,	
bujhechhila,	বুঝেছিল,	বুঝেছিল,	
juktorashtrasaha,	যুক্তরাস্তসরাহ,	যুক্তরাষ্ট্রসহ,	
rajnoiteek,	রাজনৈতিক,	রাজনৈতীক,	
heeja,	হেজ,	হেজ,	
skarta,	স্কার্ট,	স্কার্ট,	
komatei,	কমাতেই,	কমাতেই,	
pravritite,	প্রভৃতিতে,	প্রভৃতিতে,	
anchalgulote,	অঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
bachchan,	বাচ্ছন,	বচ্চন,	
lisens,	লিসেন্স,	লাইসেন্স,	
timothy,	তিমোি,	টিমোথি,	
kkomandar,	কমান্ডার,	কমাণ্ডার,	
jatotaa,	যতটা,	যতোটা,	
sangbadmadhyamgulote,	সংবাদামহ্যুলকতে,	সংবাদমাধ্যমগুলোতে,	
huk,	হুক,	হুক,	
venuser,	ভেনুসের,	ভেনাসের,	
asamarik,	আসারাকিক,	অসামরিক,	
jeellool,	জিল্লুল,	জিল্লুল,	
landing,	লন্দিং,	ল্যান্ডিং,	
chalochchitraeei,	চলচ্চিত্রেই,	চলচ্চিত্রেই,	
bonvumitey,	বন্ুমিতে,	বনভূমিতে,	
phiksha,	ফিক্স,	ফিক্স,	
rajtantre,	রাজতন্ত্রে,	রাজতন্ত্রে,	
dover,	ডাওয়ার,	ডোভার,	
janagononar,	জনগণনার,	জনগণনার,	
ssikkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
gripa,	গ্রিপ,	গ্রিপ,	
prodip,	প্রোদিপ,	প্রদীপ,	
prodiip,	প্রোদিপ,	প্রদীপ,	
candi,	ক্যান্ডি,	ক্যান্ডি,	
gabhaskaar,	গভবাসকার,	গাভাস্কার,	
karlosa,	কার্লস,	কার্লোস,	
nursery,	নার্সারী,	নার্সারি,	
falkser,	ফলক্সের,	ফক্সের,	
prithbir,	পৃথ্বীর,	পৃথবীর,	
guzob,	গুজব,	গুজব,	
harza,	হর্য,	হার্জ,	
kantojir,	কানটোজীর,	কান্তজির,	
moddhyekar,	মধ্যেকার,	মধ্যেকার,	
bahaal,	বাহাল,	বহাল,	
graambaashio,	গ্রামবাসীও,	গ্রামবাসীও,	
licenser,	লিকেন্সের,	লাইসেন্সের,	
pituni,	পিতুনি,	পিটুনি,	
kaamij,	কমিিজ,	কামিজ,	
tarun,	তরুণ,	তরুন,	
charger,	চর্গের,	চার্জের,	
footballerra,	ফুটবলেরার,	ফুটবলাররা,	
nadnadir,	নদ্দনীর,	নদনদীর,	
bishshash,	বিশ্বাস,	বিশ্বাস,	
soundarjo,	সৌন্দর্য,	সৌর্ন্দয্য,	
primoo,	প্রিমো,	প্রিমো,	
akkhunno,	অক্ষুন্ন,	অক্ষুণ্ণ,	
byatari,	ব্যাটারী,	ব্যাটারী,	
lesens,	লেসেন্স,	লাইসেন্স,	
teamothy,	টেমোথি,	টিমোথি,	
asamanyo,	অসমানও,	অসামান্য,	
laisense,	লাইসেনসে,	লাইসেন্স,	
sanatoni,	শ্যাটননী,	সনাতনী,	
tersa,	টের্স,	টেরেসা,	
hatochakito,	হাটাচকিত,	হতচকিত,	
tourisht,	টৌরিস্ট,	টুরিস্ট,	
pachchen,	পাঁচছেন,	পাচ্ছেন,	
musalmankey,	মুসল্মাণকে,	মুসলমানকে,	
foltir,	ফলটির,	ফলটির,	
shikkhakke,	শিক্ষাককে,	শিক্ষককে,	
raktaksharaner,	রক্তকাশাণের,	রক্তক্ষরণের,	
nisader,	নিশাদের,	নিষাদের,	
graambaasee,	গ্রামবাসী,	গ্রামবাসী,	
abasan,	আবাসন,	অবসান,	
kishti,	কিসটি,	কিস্তি,	
shchalastic,	স্কলাসটিক,	স্কলাস্টিক,	
ongshogrohon,	অংশগ্রহণ,	অংশগ্রহন,	
paitey,	পাইটে,	পাইতে,	
notunatwa,	নতুনত্ব,	নতুনত্ব,	
joubanbotii,	যৌবন্বতি,	যৌবনবতী,	
donaat,	দোনাত,	ডোনাট,	
prabhuder,	প্রভূদের,	প্রভুদের,	
templet,	টেমপ্লেট,	টেম্পলেট,	
ixprission,	এক্সপ্রেসেং,	এক্সপ্রেশন,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
license,	লিকেন্সে,	লাইসেন্স,	
hoteltite,	হোটলিটিট,	হোটেলটিতে,	
jak,	যাক,	জাঁক,	
sharifer,	শরীফের,	শরিফের,	
karlei,	কারললি,	করলেই,	
iyanqi,	ইয্যাংকি,	ইয়াংকি,	
eshtonia,	এস্টনিয়া,	এস্তোনিয়া,	
khelafotey,	খেলাফতে,	খেলাফতে,	
parikkhateo,	পরীক্ষাতেও,	পরীক্ষাতেও,	
nishad,	নিশদ,	নিষাদ,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
nirvahi,	নির্বাহী,	নির্বাহি,	
thaii,	ঠাই,	থাই,	
tintir,	তিনটির,	তিনটির,	
shaakaar,	শাকার,	সাকার,	
milea,	মিলে,	মাইলে,	
samanwitobhabe,	সমান্তিভভাবে,	সমন্বিতভাবে,	
bota,	বোটা,	বটা,	
kathmaandu,	কাঠামুন্দু,	কাঠমান্ডু,	
miitar,	মিতার,	মিত্র,	
apargota,	অপর্গতা,	অপারগতা,	
sontoshpur,	সন্তুস্পুর,	সন্তোষপুর,	
graambashee,	গ্রাম্বাসী,	গ্রামবাসী,	
haryken,	হাযারিকেন,	হ্যারিকেন,	
ogrodoot,	অগ্রুত,	অগ্রদূত,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
patthon,	পাঠন,	পঠন,	
grambasi,	গ্রাম্বাসী,	গ্রামবাসী,	
goshthiti,	গোষ্ঠীটি,	গোষ্ঠীটি,	
routiner,	রাউটিনের,	রুটিনের,	
idaning,	আইডিনিং,	ইদানিং,	
nilphamarir,	নীলফামারীর,	নীলফামারীর,	
taufik,	টফফিক,	তৌফিক,	
modelkey,	মোদেলকে,	মডেলকে,	
temon,	টেমন,	তেমন,	
neerbaho,	নির্বাহ,	নির্বাহ,	
jerushalema,	জেরোসালেম,	জেরুসালেম,	
bamna,	বাম্না,	বামনা,	
chopal,	চোপল,	চপল,	
rubidiyam,	রুবেডিয়াম,	রুবিডিয়াম,	
poorohitder,	পুরহিটদের,	পুরোহিতদের,	
tarbine,	টার্বিন,	টারবাইন,	
hoonayin,	হুনাইন,	হুনাইন,	
dharmi,	ধর্মী,	ধর্মী,	
muhurtati,	মুহূর্তিটি,	মুহুর্তটি,	
gorjon,	গর্জন,	গর্জন,	
ankeeta,	আংকেত,	অঙ্কিতা,	
firoze,	ফিরোজ,	ফিরোজ,	
plate,	প্লেট,	প্লেটে,	
hondurus,	হন্ডুরুস,	হন্ডুরাস,	
kartona,	কর্তনা,	করতনা,	
uttar,	উত্তর,	উওর,	
neutrinoo,	নিউট্রিন,	নিউট্রিনো,	
cade,	কেড,	কোড,	
fand,	ফাঁদ,	ফান্ড,	
aiees,	আইএএএস,	আইএএস,	
tofat,	টফাট,	তফাৎ,	
veenom,	ভেনম,	ভেনম,	
kokeyin,	কোকেন,	কোকেইন,	
ajijer,	আজিজের,	আজিজের,	
shuknaa,	শুকনা,	শুকনা,	
jakkha,	যক্ষ্য,	যক্ষ,	
rahie,	রহী,	রাহি,	
elaakaatir,	এলাকাটির,	এলাকাটির,	
lampot,	লম্পাত,	লম্পট,	
parisankhyanbid,	পরিসংখ্যাবিদ,	পরিসংখ্যানবিদ,	
sangosthatike,	সংগ্ঠাটিকে,	সংস্থাটিকে,	
roomantik,	রোমান্তিক,	রোমান্টিক,	
sheepha,	সেফ,	শেফ,	
roialti,	রয়েলটি,	রয়্যালটি,	
chamsky,	চ্যামক্সি,	চমস্কি,	
sohinsotar,	সহিনসতার,	সহিংসতার,	
turishta,	তুরিস্ট,	টুরিস্ট,	
saqara,	সোকার,	সাকার,	
oholyar,	অহল্যার,	অহল্যার,	
enginiiring,	এনগিরিং,	ইঞ্জিনিয়ারিং,	
madhobikey,	মাধবিকে,	মাধবীকে,	
logicer,	লোিজেসের,	লজিকের,	
dharer,	ধারের,	ধরের,	
dweepgulo,	দ্বিপগুলো,	দ্বীপগুলো,	
gaadhaa,	গাধ্যা,	গাধা,	
prakalpatikey,	প্রকলপতিকে,	প্রকল্পটিকে,	
battery,	ব্যাটারি,	ব্যাটারী,	
doorotaumo,	দূরতম,	দূরতম,	
deputy,	ডিপিউটি,	ডেপুটি,	
deelibhara,	ডিলিভার,	ডেলিভার,	
cholochchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
shashtra,	শাস্ত্র,	শাস্ত্র,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
siropa,	শিরপা,	শিরোপা,	
sacheton,	সচেতন,	সচেতন,	
beeswasi,	বিশ্বাসী,	বিশ্বাসী,	
suporichito,	সুপরিচিত,	সুপরিচিত,	
ekpase,	একপাশে,	একপাশে,	
phutonta,	ফুটন্ত,	ফুটন্ত,	
bona,	বোনা,	বোনা,	
relance,	রিল্যান্স,	রিলায়েন্স,	
besirvagei,	বেশিরভাগেই,	বেশিরভাগেই,	
aaziz,	আজিজ,	আজিজ,	
lazika,	লাজিকা,	লজিক,	
bhaangchoor,	ভাঙচুর,	ভাংচুর,	
jahor,	জাহর,	জহর,	
drishyogulotey,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
nischitorupey,	নিশ্চিতররূপে,	নিশ্চিতরূপে,	
vishhnu,	বিষ্ণু,	বিষ্ণু,	
bbosontoke,	বসন্তকে,	বসন্তকে,	
nischitrupe,	নিশ্চিতরূপে,	নিশ্চিতরূপে,	
zonite,	যোনিতে,	যোনীতে,	
zuktorastroshoho,	যুক্তরাস্রসূর,	যুক্তরাষ্ট্রসহ,	
protijogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
vittio,	ভিত্তিও,	ভিত্তিও,	
bhortuky,	ভোরতুকি,	ভর্তুকি,	
olimpiker,	অলিম্পিকের,	অলিম্পিকের,	
alsaara,	আলসারা,	আলসার,	
eksathei,	একসাথেই,	একসাথেই,	
samley,	সমলে,	সামলে,	
skyirt,	স্ক্রিট,	স্কার্ট,	
koro,	কোর,	করো,	
hajartee,	হজরাটি,	হাজারটি,	
panero,	পানেরও,	পনের,	
mosjidsoho,	মস্বিসস,	মসজিদসহ,	
dharavahik,	ধারাভাহিক,	ধারাবাহিক,	
reflex,	রেফেল্স,	রিফ্লেক্স,	
chomsky,	চমমকি,	চমস্কি,	
abheedhaneec,	অভিধানিক,	অভিধানিক,	
chess,	চেস,	চেস,	
monjushri,	মনযুজ্সিরী,	মঞ্জুশ্রী,	
pleta,	প্লেট,	প্লেটো,	
rubol,	রুবল,	রুবল,	
teman,	টেমন,	তেমন,	
blagarara,	ব্লগারার,	ব্লগাররা,	
gyandaas,	জ্যান্ডাস,	জ্ঞানদাস,	
subadey,	সুবাদে,	সুবাদে,	
themeke,	থেমেকে,	থিমকে,	
hari,	হ্যারি,	হরি,	
shepherd,	শেফার্ড,	শেফার্ড,	
aaeerese,	আইরেশে,	আইরেসে,	
danaber,	দানাবের,	দানবের,	
jack,	জক,	জ্যাক,	
prity,	প্রীতি,	প্রিটি,	
beshirbhageyi,	বেশিরভাগেই,	বেশিরভাগেই,	
sausaje,	সৌশজে,	সসেজ,	
mohasova,	মহাসভা,	মহাসভা,	
mukhmondole,	মুখ্ননকলে,	মুখমণ্ডলে,	
rezidens,	রেজিডেন্স,	রেসিডেন্স,	
tochnochh,	তক্চাঁচ,	তছনছ,	
gronthoti,	গ্রন্থিি,	গ্রন্থটি,	
alpoi,	আল্পই,	অল্পই,	
khijir,	খিজির,	খিজির,	
kaash,	কাশ,	কাস,	
patthkrom,	পাঠ্যক্রম,	পাঠক্রম,	
venam,	ভেনাম,	ভেনম,	
hypar,	হাইপার,	হাইপার,	
ponjjikar,	পঞ্জিকার,	পঞ্জিকার,	
modelling,	মোডেলিং,	মডেলিং,	
shiqha,	শিখা,	শিখ,	
muhmmoder,	মুহ্মদের,	মুহম্মদের,	
zubokshoho,	যুবকশহ,	যুবকসহ,	
vejano,	ভেজানো,	ভেজানো,	
sina,	সিন,	সিনা,	
radhanagar,	রাধানগর,	রাধানগর,	
talgachh,	তালগোছ,	তালগাছ,	
nadigulir,	নদীগুলির,	নদীগুলির,	
meiler,	মেলের,	মেইলের,	
abhishangsan,	অভিসংসন,	অভিশংসন,	
shloker,	স্লোকের,	শ্লোকের,	
munsi,	মুন্সি,	মুন্সী,	
bhabanir,	ভবনীর,	ভবানীর,	
digree,	ডিগ্রী,	ডিগ্রি,	
spreadsiit,	স্প্রিসসিট,	স্প্রেডশীট,	
kortam,	করতাম,	করতাম,	
songbadmadhyomer,	সংবাদমধ্যমের,	সংবাদমাধ্যমের,	
toroni,	তরণী,	তরণী,	
shukraanoo,	শুক্রাণু,	শুক্রানু,	
mandondo,	মানদন্ড,	মানদণ্ড,	
rejidens,	রেজিডেন্স,	রেসিডেন্স,	
azim,	আজিম,	আজিম,	
confliqt,	কনফেল্ট,	কনফ্লিক্ট,	
byboshthar,	ব্যবস্থার,	ব্যাবস্থার,	
mondope,	মণ্ডপে,	মন্ডপে,	
lohar,	লোহার,	লোহার,	
natians,	নটিশন্স,	নেশনস,	
jeten,	জেতেন,	জেতেন,	
carymb,	কারিম্ব,	করিম,	
kinto,	কিন্ত,	কিনত,	
chhatta,	ছোট্টা,	ছোট্ট,	
telaakucha,	টেলাকুচা,	তেলাকুচা,	
karmokerer,	কর্মকেরের,	কর্মকারের,	
samajer,	সমাজের,	সমাজের,	
jilyaand,	জিল্যান্ড,	জিল্যান্ড,	
abasaney,	আবাসনে,	অবসানে,	
jatok,	যতক,	জাতক,	
bifol,	বিফল,	বিফল,	
machera,	মােরা,	মাছেরা,	
artilari,	আর্টিলারি,	আর্টিলারি,	
brindabane,	বৃর্দবানে,	বৃন্দাবনে,	
beshirbhaagi,	বেশিরভাগী,	বেশিরভাগই,	
jar,	জার,	জ্বর,	
bosantake,	বসান্তকে,	বসন্তকে,	
sanaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
ghesa,	ঘেস,	ঘেঁষা,	
bhabnar,	ভা্নার,	ভাবনার,	
day,	ডা,	ডে,	
chaalaabi,	চালাবি,	চালাবে,	
mousumeo,	মৌসুমেও,	মৌসুমেও,	
shoreef,	শরীফ,	শরিফ,	
mangolic,	মঙ্গোলিক,	মাঙ্গলিক,	
jokey,	যোকে,	জকি,	
kodom,	কদম,	কদম,	
korle,	করলে,	করলে,	
jerusalemer,	জেরুসামের,	জেরুজালেমের,	
ponthaar,	পোঠার,	পন্থার,	
dosheeder,	দোসিদের,	দোষীদের,	
rupdaan,	রূপদান,	রুপদান,	
ebhara,	এভার,	এভার,	
saarbhaarer,	সার্ভারের,	সার্ভারের,	
krej,	ক্রেজ,	ক্রেজ,	
armstronj,	আর্সস্র্র,	আর্মস্ট্রং,	
saatzoner,	সাসজনের,	সাতজনের,	
elakao,	এলাকাও,	এলাকাও,	
asovvo,	অশভু,	অসভ্য,	
ekpashe,	একপাশে,	একপাশে,	
duburira,	দুবুরীরা,	ডুবুরিরা,	
alaul,	আলাল,	আলাওল,	
turbine,	টারবিনে,	টারবাইন,	
harta,	হরতা,	হার্ট,	
sangastha,	সংগোষ্থ,	সংস্থা,	
lutheran,	লুঠারণ,	লুথেরান,	
seshardhe,	শেষার্ধে,	শেষার্ধে,	
geja,	গেজ,	গেজ,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
