sina,	সিন,	সিনা,	
granthe,	গ্রন্থে,	গ্রন্থে,	
pravritir,	প্রভৃতির,	প্রভৃতির,	
mosleh,	মসলে,	মোসলেহ,	
loukikota,	লৌকিকতা,	লৌকিকতা,	
uponeesoder,	উপনিদদের,	উপনিষদের,	
madeelim,	ম্যাডেলিং,	মডেলিং,	
vivek,	ভিভেক,	বিবেক,	
upobashii,	উপবাসী,	উপবাসী,	
bibader,	বিবাদের,	বিবাদের,	
stone,	স্তনে,	স্টোন,	
treenda,	ট্রেন্ড,	ট্রেন্ড,	
shhipa,	শিপা,	শিপ,	
iuqyaliptasa,	উইক্যালপোটাস,	ইউক্যালিপ্টাস,	
liceensing,	লিসেন্সিং,	লাইসেন্সিং,	
muhamada,	মুহামাদা,	মুহাম্মদ,	
grambaashee,	গ্রামবাসী,	গ্রামবাসী,	
filipiner,	ফিলিপিনের,	ফিলিপাইনের,	
moshzid,	মসহিদ,	মসজিদ,	
sakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
niketaner,	নিকটেনের,	নিকেতনের,	
heeja,	হেজ,	হেজ,	
kiirti,	কীর্তি,	কীর্তি,	
scholarship,	স্কোলারশিপ,	স্কলারশিপ,	
military,	মিলিটারী,	মিলিটারি,	
balatkar,	বালকটার,	বলাৎকার,	
dighal,	দিঘলল,	দীঘল,	
ashanka,	আশঙ্কা,	আশংকা,	
ester,	এস্টার,	ইস্টার,	
roopa,	রূপা,	রুপা,	
jounatar,	যৌনতার,	যৌনতার,	
ghumacchilo,	ঘুমাচিল,	ঘুমাচ্ছিল,	
mukherjee,	মুখার্জি,	মুখার্জী,	
daawn,	ডাউন,	ডাউন,	
chhattroraai,	ছাত্ররাই,	ছাত্ররাই,	
jeebanjapon,	জীবনগঞ্জন,	জীবনযাপন,	
sabhanetree,	সভানতারী,	সভানেত্রী,	
whole,	ছোলে,	হোল,	
byaboharkari,	ব্যবহারকারী,	ব্যবহারকারী,	
chalochchitro,	চলচিত্র,	চলচ্চিত্র,	
bhushi,	ভুষি,	ভুষি,	
fern,	ফার্ন,	ফার্ন,	
seektara,	সিক্টর,	সেক্টর,	
eporjonta,	এপর্জনন্ট,	এপর্যন্ত,	
bastubad,	বস্তুবাদ,	বস্তুবাদ,	
suporichiti,	সুপরিচীতি,	সুপরিচিতি,	
hajjarer,	হাজারের,	হাজারের,	
hoteeltite,	হটিলটিট,	হোটেলটিতে,	
mousum,	মৌসুম,	মৌসুম,	
shahab,	শাহাব,	সাহাব,	
guzober,	গুজবের,	গুজবের,	
tuneta,	টুনেট,	টুনাইট,	
graambasheeo,	গ্রামাাসে,	গ্রামবাসীও,	
militari,	মিলিটারী,	মিলিটারি,	
jaandrel,	জান্দ্রেল,	জাঁদরেল,	
restaurant,	রেস্টুরেন্ট,	রেষ্টুরেন্ট,	
oindreela,	অন্ডোরলাল,	ঐন্দ্রিলা,	
brek,	ব্র্যাক,	ব্রেক,	
rananganey,	রণাঙ্গনে,	রণাঙ্গনে,	
obheegomon,	অভিগমন,	অভিগমন,	
brindaaboner,	বৃর্নবানের,	বৃন্দাবনের,	
rejidensh,	রেজিদেন্স,	রেসিডেন্স,	
folo,	ফল,	পোলো,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
deezni,	দিজনি,	ডিজনী,	
vabuk,	ভাবুক,	ভাবুক,	
teemothi,	তিমথি,	টিমোথি,	
rajtontro,	রাত্যন্ত্র,	রাজতন্ত্র,	
bhaibonder,	ভাবন্দের,	ভাইবোনদের,	
hazat,	হজাত,	হজত,	
taaler,	তালের,	তালের,	
moorali,	মুরালী,	মুরলী,	
verma,	ভারমা,	ভার্মা,	
bangyer,	বঙ্গের,	ব্যাঙের,	
sajano,	সাজানো,	সাজানো,	
shahoshikatar,	শাহসাকিতার,	সাহসিকতার,	
kkompito,	কম্পিিট,	কম্পিত,	
sinake,	সিনকে,	সিনাকে,	
troup,	ট্রুপ,	ট্রুপ,	
gronthei,	গ্রন্থে,	গ্রন্থেই,	
nartakike,	নার্তকীকে,	নর্তকীকে,	
nodiitir,	নদীতীর,	নদীটির,	
panchbar,	পাঁচাবার,	পাঁচবার,	
boner,	বনের,	বনের,	
surkarder,	সুরকর্ডের,	সুরকারদের,	
chattke,	চাটকে,	ছাতকে,	
esosiyetasa,	এসওসিজেকাস,	এসোসিয়েটস,	
palestine,	পলস্টিনে,	প্যালেস্টাইনে,	
lutheren,	লুথারেন,	লুথেরান,	
venice,	ভেনিস,	ভেনিস,	
up,	উপ,	আপ,	
bondhuke,	বন্ধুকে,	বন্ধুকে,	
dibeting,	ডিবেটিং,	ডিবেটিং,	
jeteo,	জেতেও,	যেতেও,	
nagorikera,	নগরীকেরা,	নাগরিকেরা,	
asamonjoshopurno,	অসমানজাপন্ন,	অসামঞ্জস্যপূর্ণ,	
telakoocha,	টেলাকুচা,	তেলাকুচা,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাৎকারের,	
bbosontoke,	বসন্তকে,	বসন্তকে,	
iksaprishana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
harriser,	হারিসের,	হ্যারিসের,	
aparogata,	অপরাগত,	অপারগতা,	
atma,	আত্মা,	আত্ম,	
prakalpoguli,	প্রকালপুলি,	প্রকল্পগুলি,	
konfleekt,	কনফলিক্ট,	কনফ্লিক্ট,	
varshon,	ভারসন,	ভারশন,	
allahabadey,	আলাাহাবাদে,	এলাহাবাদে,	
bhotarer,	ভোতারের,	ভোটারের,	
dasha,	দশা,	দোসা,	
bhyaatikaner,	ভ্যতিকানের,	ভ্যাটিকানের,	
iyanqi,	ম্যান্সি,	ইয়াংকি,	
ucchosito,	উচ্চশিত,	উচ্ছসিত,	
naazii,	নাজী,	নাত্সি,	
tintikey,	তিনটিকে,	তিনটিকে,	
omanisa,	ওমানিস,	অমানিশা,	
garmanyteo,	জার্মানীতেও,	জার্মানিতেও,	
sharther,	সার্থের,	স্বার্থের,	
falkati,	ফলকাটি,	ফলকটি,	
ganoparibahan,	গণপরিবাহন,	গণপরিবহন,	
addhatikota,	অধ্যাতিকতা,	আধ্যাত্মিকতা,	
tafsherer,	তফসরের,	তাফসীরের,	
karlosha,	কার্লস,	কার্লোস,	
karmakarke,	কর্মকর্কে,	কর্মকারকে,	
kachhakachhi,	কাছাকাচি,	কাছাকাছি,	
noter,	নোটের,	নোটের,	
gafeeloti,	গফুললি,	গাফিলতি,	
vumir,	ভূমির,	ভূমির,	
zoneete,	যোনিতে,	যোনীতে,	
kram,	ক্রম,	ক্রম,	
valobasen,	ভালবাসনেন,	ভালোবাসেন,	
ministara,	মিনেস্টার,	মিনিস্টার,	
cheess,	চেশ,	চেস,	
rahi,	রাহী,	রাহি,	
daaraa,	দরা,	দারা,	
artillery,	অর্টিলারি,	আর্টিলারি,	
abhidhaanic,	অভিধানিক,	অভিধানিক,	
bhabaaponno,	ভবানপন্ন,	ভাবাপন্ন,	
dormitory,	দর্মটিরী,	ডরমিটরি,	
chikitsar,	চিকিৎসার,	চিকিত্সার,	
dologulo,	দলগুলো,	দলগুলো,	
nariider,	নারীদের,	নারীদের,	
maunjiley,	মঙ্জিলে,	মঞ্জিলে,	
doshider,	দশিদের,	দোষীদের,	
shuter,	শুটার,	শ্যুটার,	
sheema,	সেম,	সীমা,	
kirkuk,	কিরকুক,	কিরকুক,	
jestha,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
bujhechilo,	বুঝেছিল,	বুঝেছিল,	
hebhi,	হেভি,	হেভি,	
koro,	কোরো,	কর,	
lyata,	ল্যাট,	ল্যাটা,	
roopdan,	রূপদান,	রুপদান,	
rupdan,	রূপদান,	রুপদান,	
bronze,	ব্রঞ্জে,	ব্রোঞ্জ,	
horipur,	হরিপুর,	হরিপুর,	
saom,	সাম,	সাওম,	
salmaner,	সালমানের,	সালমানের,	
sifi,	সিফি,	সাইফাই,	
dhormantor,	ধর্মনাত্তর,	ধর্মান্তর,	
agibon,	অজিবন,	আজীবন,	
sainyader,	সৈন্যদের,	সৈন্যদের,	
shkirt,	স্কীর্ট,	স্কার্ট,	
shcore,	স্কার,	স্কোর,	
beekargrasta,	বিকর্গস্র্ত,	বিকারগ্রস্ত,	
bhyatikaner,	ভ্যতিকানের,	ভ্যাটিকানের,	
harisoner,	হরিশনের,	হ্যারিসনের,	
mukhyo,	মুখ্য,	মুখ্য,	
tanteera,	তানটেরা,	তাঁতিরা,	
cheettronnatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
mahey,	মহে,	মাহে,	
subadey,	সুবাদে,	সুবাদে,	
chalachchitrotike,	চলচিত্রকারিকে,	চলচ্চিত্রটিকে,	
nomo,	নম,	নমো,	
hajarer,	হাজারের,	হাজারের,	
salmaaner,	সালমানের,	সালমানের,	
pachhi,	পাছি,	পাচ্ছি,	
prostut,	প্রস্তুত,	প্রস্ত্তত,	
aidii,	আইডি,	আইডিই,	
enasiyenta,	এনসাইন্ট,	এনসিয়েন্ট,	
cruce,	ক্রুয়েস,	ক্রুশ,	
patthkromer,	পাঠকরমের,	পাঠক্রমের,	
jokkho,	যক্ষ্ম,	যক্ষ,	
karmakandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
senior,	সেনিয়ার,	সিনিয়র,	
kumari,	কুমারী,	কুমারী,	
abasare,	অবসারে,	অবসরে,	
bee,	বে,	বি,	
afzal,	আফজাল,	আফজল,	
toki,	টকি,	তকি,	
transformaarer,	ট্রান্সফারের,	ট্রান্সফরমারের,	
snepara,	স্পের,	স্নাইপার,	
protizogiita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
kobootorer,	কবুরের,	কবুতরের,	
beetlaser,	বিতলাসের,	বিটলসের,	
khannkaj,	খানকাজ,	খননকাজ,	
shef,	শেফ,	শেফ,	
birishirite,	বিরিশিতে,	বিরিশিরিতে,	
muhit,	মুহিত,	মুহিত,	
gatihin,	গতিহীন,	গতিহীন,	
joubonbotee,	যৌবনবতী,	যৌবনবতী,	
mugdhata,	মুগঠাটা,	মুগ্ধতা,	
jillul,	জিল্লুল,	জিল্লুল,	
ashiatic,	অ্যাসিটিক,	এশিয়াটিক,	
sangasthati,	সংস্থাটি,	সংস্থাটি,	
majuter,	মজুটের,	মজুতের,	
quartar,	কার্টার,	কোয়ার্টার,	
arthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
saahosikotar,	সাহসাকিতার,	সাহসিকতার,	
gaandaas,	গান্ডাস,	জ্ঞানদাস,	
chetonagoto,	চেটগোগত,	চেতনাগত,	
kota,	কোট,	কোটা,	
patenter,	পেটেনের,	পেটেন্টের,	
kyathlikder,	ক্যাথিকদের,	ক্যাথলিকদের,	
ghantiti,	ঘানটিতি,	ঘাঁটিটি,	
protizogii,	প্রতিযোগী,	প্রতিযোগী,	
fastara,	ফসস্টার,	ফস্টার,	
primoo,	প্রিমু,	প্রিমো,	
mutar,	মুটার,	মুতার,	
poojito,	পুজিত,	পুজিত,	
patigoniter,	পাতিগতিনের,	পাটিগণিতের,	
hundayi,	হুন্দে,	হুন্দাই,	
byabaharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
marryir,	মারির,	ম্যারির,	
dweepgulo,	দ্বীপুলো,	দ্বীপগুলো,	
saptahokal,	সপ্তাহকাল,	সপ্তাহকাল,	
sompadon,	সম্পাদন,	সম্পাদন,	
anis,	অ্যানিস,	আনিস,	
pyatarna,	প্যাটার্ন,	প্যাটার্ন,	
tarbine,	টার্বিনে,	টারবাইন,	
jahara,	জাহরা,	যাহরা,	
bandhubhaabaapanna,	বাঁধুব্যপণা,	বন্ধুভাবাপন্ন,	
inziniyarim,	ইনজাইনারিজিং,	ইঞ্জিনিয়ারিং,	
prakalpoti,	প্রকল্পটি,	প্রকল্পটি,	
rinattok,	ঋণাত্মক,	ঋনাত্মক,	
sangbadmadhyome,	সংবদদমন্মমে,	সংবাদমাধ্যমে,	
serverey,	সার্ভারে,	সার্ভারে,	
chittronatyokar,	চিত্রনাট্যকর,	চিত্রনাট্যকার,	
hantte,	হাঁতে,	হাঁটতে,	
chherechhe,	ছেরেছে,	ছেড়েছে,	
kandey,	কাঁডে,	কাণ্ডে,	
sangbadmadhyamgulote,	সংবদমমোহমূলতে,	সংবাদমাধ্যমগুলোতে,	
chetona,	চেতনা,	চেতনা,	
nothivuktir,	নথিভূক্তির,	নথিভুক্তির,	
anshograhone,	অংশগ্রহণে,	অংশগ্রহনের,	
pouchute,	পৌঁছুতে,	পৌঁছুতে,	
shaswata,	শাস্যতা,	শাশ্বত,	
soteciety,	সোটেকিটি,	সোসাইটিতে,	
sanatani,	সনাতানি,	সনাতনী,	
kredita,	ক্রেডিত,	ক্রেডিট,	
krush,	ক্রুশ,	ক্রুশ,	
notunotto,	নতুনত্ব,	নতুনত্ব,	
kyethalika,	ক্যাথলিক,	ক্যাথলিক,	
jonser,	জনসের,	জোন্সের,	
debdebyr,	দেবদেবীর,	দেবদেবীর,	
footballerra,	ফুটবলার,	ফুটবলাররা,	
tafsirer,	তফসিরের,	তাফসীরের,	
chashe,	চাষে,	চেস,	
torabgunj,	তোরাবগঞ্জ,	তোরাবগঞ্জ,	
shiramikasha,	সিরাজমিকাস,	সিরামিকস,	
gronthoty,	গ্রন্থটি,	গ্রন্থটি,	
gunze,	গুঁজে,	গুঁজে,	
gandogol,	গণ্ডগুলো,	গন্ডগোল,	
beekargrasto,	বিকর্গস্র্ত,	বিকারগ্রস্ত,	
danob,	দান,	দানব,	
sparsher,	স্পর্ষের,	স্পর্শের,	
bhiqtara,	ভিক্টর,	ভিক্টর,	
azizur,	অজিজুর,	আজিজুর,	
ashocheton,	অসচেতন,	অসচেতন,	
unitshoho,	উনিৎশহ,	ইউনিটসহ,	
armstrong,	আর্সস্র্টগং,	আর্মস্ট্রং,	
avijojan,	অভিযাজনান,	অভিযোজন,	
melborroner,	মেলবররেনের,	মেলবোর্নের,	
pragreesa,	প্রগ্রেস,	প্রগ্রেস,	
sulke,	সুলকে,	শুল্কে,	
bifal,	বিফল,	বিফল,	
shudden,	সুদ্দেন,	সাডেন,	
seater,	সেটের,	সিটের,	
tthela,	থেল,	ঠেলা,	
ssahocorze,	সাহচর্যে,	সাহচর্যে,	
biswashwo,	বিশ্বসস,	বিশ্বাসও,	
madrajer,	মাদ্রাজের,	মাদ্রাজের,	
meghacchonno,	মেঘাচান্ন,	মেঘাচ্ছন্ন,	
goroor,	গরুর,	গরুর,	
dooburira,	দুবীরিরা,	ডুবুরিরা,	
nirbaaho,	নির্বাহ,	নির্বাহ,	
dipei,	দিপেই,	দ্বীপেই,	
oitijjhe,	ঐতিহ্যে,	ঐতিহ্যে,	
seelbhee,	সেলভি,	সিলভি,	
konaan,	কোনন,	কোনান,	
munsi,	মুনশী,	মুন্সি,	
sulfate,	সালফাটে,	সালফেট,	
marathi,	মারাঠী,	মরাঠি,	
parisankhyanvid,	পরিসংখাশিন্ধ,	পরিসংখ্যানবিদ,	
anurbor,	অনুরবের,	অনুর্বর,	
taunsheep,	টানশিপ,	টাউনশিপ,	
minishtarer,	মিনিস্টারের,	মিনিস্টারের,	
digreeke,	ডিগ্রীকে,	ডিগ্রিকে,	
maudelti,	মুল্ডটি,	মডেলটি,	
jatok,	জাতক,	জাতক,	
gonesh,	গণেশ,	গণেশ,	
dristiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
koilas,	কৈলাশ,	কৈলাস,	
bbosonto,	বসন্ত,	বসন্ত,	
vabanipur,	ভবানীপুর,	ভবানীপুর,	
palbangser,	পালববাসের,	পালবংশের,	
gatirodh,	গতিরোধ,	গতিরোধ,	
zinsa,	জিন্স,	জিন্স,	
parbotto,	পর্বত্ত,	পার্বত্য,	
patthkrom,	পাঠকরম,	পাঠক্রম,	
chaaltaa,	চালটা,	চালতা,	
dokaangulote,	দোকাঙগুলোতে,	দোকানগুলোতে,	
karmopontha,	কর্মপথ্চা,	কর্মপন্থা,	
lotheeran,	লথিরান,	লুথেরান,	
nebhate,	নেভাতে,	নেভাতে,	
faj,	ফজ,	ফাজ,	
elgoridom,	এংগরিিম,	এলগরিদম,	
soheensotar,	সহিনসাতার,	সহিংসতার,	
chhotogolper,	ছোটোগল্পের,	ছোটগল্পের,	
futanta,	ফুটন্ত,	ফুটন্ত,	
rahie,	রাহিই,	রাহি,	
sarbhaare,	সারভারে,	সার্ভারে,	
homske,	হোমসে,	হোমসকে,	
deputi,	দেপুতি,	ডেপুটি,	
ganosakkhorota,	গণশক্ষতর,	গণসাক্ষরতা,	
alonkaron,	অলংকরণ,	অলঙ্করণ,	
upobashee,	উপবাসী,	উপবাসী,	
artilari,	অর্টিলারি,	আর্টিলারি,	
madhuri,	মাধুরি,	মাধুরী,	
playtey,	প্লেট,	প্লেটে,	
uddhritto,	উদ্ধৃত্ব,	উদ্ধৃত,	
asaciates,	অ্যাসেসিয়েস,	এসোসিয়েটস,	
byapokotor,	ব্যাপকত,	ব্যাপকতর,	
coode,	কোড,	কোড,	
jini,	জিনি,	যিনি,	
naobihar,	নৌবিহার,	নৌবিহার,	
phorex,	ফোরেক্স,	ফরেক্স,	
karadonder,	কারাদন্ডের,	কারাদণ্ডের,	
vishnuu,	ভিষ্ণু,	বিষ্ণু,	
mautke,	মাতকে,	মতকে,	
alaol,	অ্যালাল,	আলাওল,	
casper,	ক্যাপার,	ক্যাসপার,	
sanaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
transformerer,	ট্রান্সফার্সের,	ট্রান্সফরমারের,	
saphallyar,	সফললার,	সাফল্যের,	
skalastik,	স্কলাশটিক,	স্কলাস্টিক,	
azimke,	আজিমকে,	আজিমকে,	
teresha,	তেরেসা,	টেরেসা,	
jothon,	যথন,	যথন,	
norpholk,	নরফফলক,	নরফোক,	
romancho,	রোমাঞ্চ,	রোমাঞ্চ,	
badana,	বাদনা,	বদনা,	
neutrino,	নিউট্রিনো,	নিউট্রিনো,	
daakteekit,	ডাক্তিকিত,	ডাকটিকিট,	
kodorer,	কোদরের,	কদরের,	
breakthraugh,	ব্রকৃতিঘ,	ব্রেকথ্রু,	
prastut,	প্রস্তুত,	প্রস্ত্তত,	
anchalsamuher,	আঞ্চলাসমূহের,	অঞ্চলসমূহের,	
platey,	প্লেট,	প্লেটে,	
ovidhaner,	অভিধানের,	অভিধানের,	
kurdira,	কুর্দিরা,	কুর্দিরা,	
shashoto,	শাসত,	শাশ্বত,	
gafiloti,	গফিলতি,	গাফিলতি,	
dosha,	দশা,	দোসা,	
ponero,	পনেরো,	পনের,	
obhishangson,	অভিশংসন,	অভিশংসন,	
karechi,	করেছি,	করেছি,	
deejeejer,	ডিজেরের,	ডিজিজের,	
krus,	ক্রুশ,	ক্রুশ,	
loker,	লোকের,	লকের,	
sulfatee,	সালফাটি,	সালফেট,	
jameske,	জামেসকে,	জেমসকে,	
anchalsaho,	আঞ্চলাসহ,	অঞ্চলসহ,	
saramiks,	সারমিক,	সিরামিকস,	
poonch,	পুঁচ,	পুঞ্চ,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসই,	
oncholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
yaak,	য্ক,	ইয়াক,	
akram,	আকরাম,	আকরাম,	
abhishangsan,	অভিশংসন,	অভিশংসন,	
thechar,	ঠেকার,	থ্যাচার,	
nilphamarir,	নিলফামারীর,	নীলফামারীর,	
mashtersh,	মাস্টার্স,	মাস্টার্স,	
kortam,	কররতম,	করতাম,	
weenis,	ভীনিশ,	ভেনিস,	
cholocchitrotike,	চলচ্তিত্রকীকে,	চলচ্চিত্রটিকে,	
chhaanee,	ছানী,	ছানি,	
edaning,	এডাইনিং,	ইদানীং,	
qloud,	ক্লাড,	ক্লাউড,	
suraropito,	সুরাপরিত,	সুরারোপিত,	
zzojyota,	যোজ্ঞতা,	যোজ্যতা,	
samajeek,	সমাজিক,	সামাজিক,	
nishader,	নিশাদের,	নিষাদের,	
aarcia,	আর্সিয়া,	আরসিএ,	
zommoo,	জম্মু,	জম্মু,	
aairis,	আইরিশ,	আইরিস,	
sasharire,	শাসরীরে,	সশরীরে,	
daja,	দজা,	ডোজো,	
shastro,	শাস্ত্র,	শাস্ত্র,	
porishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
bitlaser,	বিতলাসের,	বিটলসের,	
prothar,	প্রথার,	প্রথার,	
hooq,	হোক,	হুক,	
bosstonto,	বস্তন্ত,	বসন্ত,	
noitikatar,	নৈতিকতার,	নৈতিকতার,	
turista,	টুরিশ্ট,	টুরিস্ট,	
afjol,	আফজাল,	আফজল,	
udvabane,	উদ্ভাবনে,	উদ্ভাবনে,	
bachhayi,	বাচ্ছাই,	বাছাই,	
proteemake,	প্রতিমাকে,	প্রতিমাকে,	
susamo,	সুসম,	সুসম,	
scifi,	স্কাইস,	সাইফাই,	
goonoman,	গুণমান,	গুণমান,	
dokangulotey,	দোকাঙগুলোতে,	দোকানগুলোতে,	
hiper,	হিপের,	হাইপার,	
grantho,	গ্রন্থ,	গ্রন্থ,	
zyakasana,	জাকাশন,	জ্যাকসন,	
dibaag,	দিবাগ,	ডিবাগ,	
prosadhoner,	প্রসাধানের,	প্রসাধনের,	
transcom,	ট্রান্সফোম,	ট্রান্সকম,	
noitikata,	নৈতিকতা,	নৈতিকতা,	
ganokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
sohopatheekey,	সহপাঁথীকে,	সহপাঠীকে,	
janasangyog,	জনসংযোগ,	জনসংযোগ,	
mitrer,	মিত্রের,	মিত্রের,	
noiteekotar,	নৈতককতার,	নৈতিকতার,	
ddebet,	দেবেত,	ডিবেট,	
eemeergeency,	এমেরজেন্সি,	এমার্জেন্সি,	
alimpiqa,	অ্যালিপিক,	অলিম্পিক,	
sangkalaney,	সংকলানে,	সংকলনে,	
bhaibonera,	ভাইবানেরা,	ভাইবোনেরা,	
bhalobaas,	ভালবাস,	ভালোবাসা,	
grontho,	গ্রন্থ,	গ্রন্থ,	
iub,	ইউব,	আইইউবি,	
mojlishpur,	মজলিশপুর,	মজলিশপুর,	
onnkita,	অংকিত,	অঙ্কিতা,	
bhangchur,	ভাঙচুর,	ভাংচুর,	
bhangle,	ভাঙলে,	ভাঙলে,	
shekende,	সেকেন্ডে,	সেকেন্ডে,	
phirtee,	ফারতি,	ফিরতি,	
sohinsotar,	সহিনসাতার,	সহিংসতার,	
purbancole,	পূর্বাাকলে,	পূর্বাঞ্চলে,	
chocchitrei,	চচ্চিত্রেই,	চলচ্চিত্রেই,	
chalachchitreo,	চলচিত্রে,	চলচ্চিত্রেও,	
deep,	ডিপ,	দীপ,	
nartan,	নর্তন,	নর্টন,	
samsher,	সমসের,	সমশের,	
postac,	পোস্টক,	পোস্টকে,	
kharar,	খারার,	খরার,	
sepha,	সেফ,	শেফ,	
alpoi,	অল্পই,	অল্পই,	
horiddare,	হরিদারে,	হরিদ্বারে,	
oncholshomuh,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
muhamad,	মুহামাদ,	মুহাম্মদ,	
satarkokari,	সাতরকারকী,	সতর্ককারী,	
sharif,	শেরিফ,	শরিফ,	
nirikho,	নিরীক্ষ,	নিরিখ,	
elakatikey,	এলাকাতিকে,	এলাকাটিকে,	
songasthatike,	সংস্থাটিকে,	সংস্থাটিকে,	
abadamaner,	অবদমানের,	অবদমনের,	
badey,	বেদে,	বাদে,	
telaakucha,	তেলাকুছা,	তেলাকুচা,	
