darzi,	দর্জি,	দরজি,	
alsaara,	অলসসা,	আলসার,	
debdebyr,	দেবদেবী,	দেবদেবীর,	
siddhantai,	সিদ্ধাাতি,	সিদ্ধান্তই,	
bonovumi,	বনভূমি,	বনভূমি,	
popeke,	পপেকে,	পোপকে,	
asovarno,	অসবর্ন,	অসবর্ণ,	
engrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
bosano,	বসানো,	বসানো,	
sorbopori,	সর্বপরি,	সর্বোপরী,	
gononanatyo,	গণণানত্য,	গণনাট্য,	
faaser,	ফাসার,	ফাঁসের,	
bishshasho,	বিশ্বাস,	বিশ্বাসও,	
jonmato,	জন্মত,	জন্মাত,	
shite,	সিইট,	শীতে,	
falasrutite,	ফলাস্ুুতি,	ফলশ্রুতিতে,	
ooporostho,	অপরস্থ,	উপরস্থ,	
superheroo,	সুপাহেরা,	সুপারহিরো,	
moreecha,	মরিচা,	মরিচা,	
somabeshke,	সমাবেশকে,	সমাবেশকে,	
khodeza,	খোদজা,	খোদেজা,	
cuti,	কিটি,	কিউটি,	
hajjarer,	হাজ্জারের,	হাজারের,	
boron,	বরণ,	বোরন,	
bondira,	বন্দিরা,	বন্দীরা,	
palta,	পল্টট,	পালটা,	
fake,	ফাক,	ফাকে,	
stonehenj,	স্টোেেহিজ,	স্টোনহেঞ্জ,	
enamela,	এনামেল,	এনামেল,	
arakan,	আরকা,	আরাকান,	
mooldoova,	মুলদোভা,	মলদোভা,	
masjidtikey,	মাজজিদিতে,	মসজিদটিকে,	
parishrami,	পরিস্ররমি,	পরিশ্রমী,	
rohasyer,	রাহাস্যের,	রহস্যের,	
sooresh,	সুরেশ,	সুরেশ,	
debagg,	দেবাগ,	ডিবাগ,	
creesceent,	ক্রেসেেে,	ক্রিসেন্ট,	
lainde,	লাইন্ডে,	ল্যান্ডে,	
udbodhani,	উদ্বধধনী,	উদ্বোধনী,	
vabotarini,	ভববতীীণী,	ভবতারিণী,	
ched,	চেদ,	ছেদ,	
alankaron,	অলঙককরণ,	অলঙ্করণ,	
soundorjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
jarusalem,	জারুশালাম,	জেরুসালেম,	
kampita,	কম্পিট,	কম্পিত,	
somosto,	সমস্ত,	সমস্ত,	
madeling,	ম্যাডেলিং,	মডেলিং,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
food,	ফো,	ফুড,	
schalarship,	স্কলকররশপপ,	স্কলারশিপ,	
ciima,	কাম,	সীমা,	
muhamad,	মুহমমদ,	মুহাম্মদ,	
beeru,	বিরু,	বীরু,	
orohan,	অরোহনন,	ওরহান,	
dhhaabi,	ঢাবি,	ঢাবি,	
amitrakkhor,	অমতত্রক্ষর,	অমিত্রাক্ষর,	
nothibhooktir,	নথিওুক্তির,	নথিভুক্তির,	
ramzaner,	রমজানের,	রমযানের,	
pari,	প্যারি,	পেরি,	
baman,	বমন,	বামন,	
jolatanko,	জলাটঙক,	জলাতঙ্ক,	
songasthati,	সংস্ঠাটি,	সংস্থাটি,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
sattoki,	সা্্কি,	সাত্যকি,	
reflex,	রেফকেলেস্স,	রিফ্লেক্স,	
joistha,	জৈষ্থ্য,	জ্যৈষ্ঠ,	
loha,	লোহা,	লোহা,	
sangostha,	সংং্ঠ,	সংস্থা,	
astheesandhi,	অস্তিসা্্িি,	অস্থিসন্ধি,	
karmosampadon,	কর্মসম্পদন,	কর্মসম্পাদন,	
baek,	ব্যাক,	বাইক,	
bhaisaho,	ভাইসহ,	ভাইসহ,	
upobaaser,	উপবাসের,	উপবাসের,	
oiteejyo,	ঐতিজ্ঞ,	ঐতিহ্য,	
kaaferderke,	কারেরররকে,	কাফেরদেরকে,	
bipajjanak,	বিপজজ্জ,	বিপজ্জনক,	
jacksan,	যাককসন,	জ্যাকসন,	
ssteit,	স্টেট,	স্টেইট,	
prity,	প্রীতি,	প্রিটি,	
chaudhurio,	চৌধুরু,	চৌধুরীও,	
akib,	একিব,	আকিব,	
bagey,	বাগে,	বাগে,	
kokein,	কোকেনন,	কোকেইন,	
eshiyetika,	এসিযেটিক,	এশিয়াটিক,	
blacker,	ব্লককেয,	ব্ল্যাকের,	
meghkey,	মেঘকে,	মেঘকে,	
toufiq,	টৌফিক,	তৌফিক,	
ancholgulote,	আঞ্চলোোতে,	অঞ্চলগুলোতে,	
leder,	লেডের,	লিডার,	
shkalashtika,	স্কললস্টিক,	স্কলাস্টিক,	
udbodhone,	উদ্বোধে,	উদ্বোধনে,	
format,	ফরমাট,	ফরম্যাট,	
taimash,	টাইমসস,	টাইমস্,	
ekooghore,	একঘহরে,	একঘরে,	
ajijer,	আজিজের,	আজিজের,	
expresion,	এক্সপ্রেশন,	এক্সপ্রেশন,	
sanaktokoroner,	সনাক্তকরণের,	সনাক্তকরণের,	
aakkas,	আক্স,	আককাস,	
mousumeo,	মৌসমেও,	মৌসুমেও,	
graameroi,	গ্রামার,	গ্রামেরই,	
airish,	আইরিশ,	আইরিস,	
bikretara,	বিক্রেটা,	বিক্রেতারা,	
kartona,	কর্তনা,	করতনা,	
chamsky,	চামকক,	চমস্কি,	
shilabhara,	শিলভার,	সিলভার,	
kraim,	ক্রেম,	ক্রাইম,	
chhotogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
aasar,	আসার,	আসর,	
chat,	চাত,	চ্যাট,	
dokaan,	ডোকান,	দোকান,	
bishnooke,	বিষ্ণুকে,	বিষ্ণুকে,	
byaboharkareederke,	ব্যবহারকররীকে,	ব্যবহারকারীদেরকে,	
niropekkhotaar,	নিরপেক্ষতার,	নিরপেক্ষতার,	
veda,	ভেদ,	বেদ,	
helly,	হেলি,	হিলি,	
swastir,	স্বস্তির,	স্বস্তির,	
deily,	ডেলি,	ডেইলি,	
tennys,	টেনিস,	টেনিস,	
bosontokey,	বসন্তকে,	বসন্তকে,	
rakhtokkharone,	রক্তক্রণেে,	রক্তক্ষরণে,	
torabganj,	তরাাাগ্জ,	তোরাবগঞ্জ,	
ajibon,	আজীবন,	আজীবন,	
orthonitite,	অর্থনীতিতে,	অর্থনীতিতে,	
dharabahiktite,	ধারাবাখৃতিতে,	ধারাবাহিকটিতে,	
agora,	আগর,	আগোরা,	
byasalt,	ব্যাসল,	ব্যাসল্ট,	
ponjikar,	পঞ্জিকার,	পঞ্জিকার,	
hillser,	হিলসের,	হিলসের,	
bagdadii,	বাগদাদী,	বাগদাদী,	
shorif,	শরীফ,	শরিফ,	
suchorita,	সূচরিিত,	সুচরিতা,	
chomoski,	চমসকি,	চমস্কি,	
hobu,	হবু,	হবু,	
tafsir,	তফসির,	তাফসীর,	
arekdal,	আরেকদল,	আরেকদল,	
sarolyo,	সরল্য,	সারল্য,	
hajartee,	হাজরর,	হাজারটি,	
marqetim,	মার্কেটিং,	মার্কেটিং,	
prakalpoti,	প্রকোপটি,	প্রকল্পটি,	
swajaner,	স্বজেের,	স্বজনের,	
sommoteer,	সম্মতির,	সম্মতির,	
nowel,	নোভলল,	নভেল,	
bamonder,	বামন্েে,	বামনদের,	
sudrissho,	সুদৃশ্য,	সুদৃশ্য,	
udbodhony,	উদ্বধধনী,	উদ্বোধনী,	
aachees,	আচেস,	আছিস,	
choudhoorike,	চৌধুরিকে,	চৌধুরীকে,	
orthanitir,	অর্থনীতির,	অর্থনীতির,	
meghnadbadh,	মেধনাব্দ,	মেঘনাদবধ,	
pratishhta,	প্রতিষ্ট,	প্রতিষ্টা,	
nursery,	নার্সারী,	নার্সারি,	
bedkey,	বেদকে,	বেদকে,	
temanti,	টেমনটি,	তেমনটি,	
panchasjan,	পঞ্চাশজন,	পঞ্চাশজন,	
dayraa,	দারা,	ডেরা,	
showte,	শওটে,	শোতে,	
booroon,	বুরুন,	বোরন,	
kaleo,	কললও,	কালেও,	
tuleche,	তুলেছে,	তুলেছে,	
satarko,	সাতারক,	সতর্ক,	
graambaasheeo,	গ্রামবাহী,	গ্রামবাসীও,	
snipper,	সিনিপার,	স্নাইপার,	
saahocorrze,	সাহচর্যে,	সাহচর্যে,	
hijrite,	হিজরিতে,	হিজরীতে,	
brekathru,	ব্রককতরর,	ব্রেকথ্রু,	
aminul,	আমিনুল,	আমিনুল,	
bondi,	বন্দি,	বন্দী,	
nirbachoker,	নির্বাচকের,	নির্বাচকের,	
mawdel,	মাডে,	মডেল,	
ancholtee,	অঞযাললটি,	অঞ্চলটি,	
aamudey,	আমুদে,	আমুদে,	
dwibidha,	দ্বিবধ,	দ্বিবিধ,	
songasthaner,	সংস্ঠানাথার,	সংস্থানের,	
parkasa,	পা্কস,	পার্কস,	
heris,	হিরিস,	হ্যারিস,	
plasse,	প্লেস,	প্লাসে,	
satarkotar,	সাাারকটার,	সতর্কতার,	
konruup,	কনরূপপ,	কোনরূপ,	
ghurechen,	ঘুরেছেন,	ঘুরেছেন,	
raitasa,	রাটস,	রাইটস,	
scifi,	সিকিফি,	সাইফাই,	
di,	ডি,	দিই,	
gunoman,	গুণমান,	গুণমান,	
shiropadhari,	শিবরপোধধরী,	শিরোপাধারী,	
oxfordey,	অক্ফোর্ডে,	অক্সফোর্ডে,	
ssahosikotar,	সাসিিকতার,	সাহসিকতার,	
kortaam,	করতাম,	করতাম,	
park,	পার্ক,	পার্ক,	
kalam,	কলম,	কালাম,	
dinara,	ডিনার,	ডিনার,	
bahati,	বাহাি,	বাহাতি,	
fox,	ফক্স,	ফক্স,	
vorkendro,	ওরকেন্দ্র,	ভরকেন্দ্র,	
basate,	বাসাে,	বাসাতে,	
jonoikaa,	জনককা,	জনৈকা,	
oncholgulote,	অঞ্চলোলতেে,	অঞ্চলগুলোতে,	
myakbeth,	ম্যাকভেট,	ম্যাকবেথ,	
peto,	পেতো,	পেত,	
ganochin,	গণছছিন,	গণচীন,	
amar,	আমার,	আমর,	
teknokrat,	টেকনোক্র,	টেকনোক্র্যাট,	
ishiyatika,	এসিজেকে,	এশিয়াটিক,	
uper,	উপার,	আপের,	
aireshe,	আইরেশ,	আইরেসে,	
graambaasi,	গ্রামবাসী,	গ্রামবাসী,	
jahara,	জাহাা,	যাহরা,	
fand,	ফ্ন্ড,	ফান্ড,	
somoshtigoto,	সমস্তিগত,	সমষ্টিগত,	
bajite,	বাজিতে,	বাজিতে,	
mb,	এমএিএ,	এমবি,	
hepatitis,	হাপাটেটিস,	হেপাটাইটিস,	
pudding,	পুদিন,	পুডিং,	
taronee,	তররণ,	তরণী,	
dorgaaho,	দরগাহহ,	দরগাহ,	
paksenaara,	পাকসেনারা,	পাকসেনারা,	
aamontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
byataree,	ব্যাতী,	ব্যাটারী,	
booth,	বুথ,	বুথ,	
puroheetder,	পুরোহিিদের,	পুরোহিতদের,	
ganosakkhorota,	গণসককরতাা,	গণসাক্ষরতা,	
ardasha,	অর্ডস,	আর্দশ,	
stoonahenja,	স্টোনেহ্ঞ্জ,	স্টোনহেঞ্জ,	
basaake,	বাসাকে,	বাসাকে,	
sammatir,	সম্মতির,	সম্মতির,	
doltyagi,	দলত্জাজি,	দলত্যাগী,	
parishromi,	পািশ্রমি,	পরিশ্রমী,	
deeliveer,	ডিলিভের,	ডেলিভার,	
kod,	কোড,	কোড,	
neurology,	নিউরোলজি,	নিউরোলজি,	
tiunar,	টিউনার,	টিউনার,	
fimel,	ফিমেল,	ফিমেল,	
khoka,	খোকা,	খোকা,	
srabosty,	স্রববস্তি,	শ্রাবস্তী,	
kanflikt,	কনলফিক্ট,	কনফ্লিক্ট,	
dhyana,	ধ্যা,	ধ্যান,	
maniktola,	মননিকলল,	মানিকতলা,	
metroopalitana,	মেত্রোপিনেন,	মেট্রোপলিটন,	
turkamena,	তুর্মেন,	তুর্কমেন,	
utkhater,	উতখ্যাে,	উৎখাতের,	
biru,	বিরু,	বীরু,	
gaugee,	গৌগী,	গেজ,	
ispreedshiit,	ইস্প্রেিস,	স্প্রেডশীট,	
olimpiker,	অলিম্পিকের,	অলিম্পিকের,	
chhotogolper,	ছোটোগল্পের,	ছোটগল্পের,	
masjidtir,	মাসজিদিি,	মসজিদটির,	
chhuti,	ছুটি,	ছুটি,	
naubihar,	নৌবিহার,	নৌবিহার,	
mukhomaundol,	মুখমুন্্ড,	মুখমণ্ডল,	
baasake,	বাসাে,	বাসাকে,	
nodiitir,	নদীতীর,	নদীটির,	
khilafat,	খিলাফাত,	খিলাফত,	
dokaangulote,	দককাুলোতে,	দোকানগুলোতে,	
baharampoorer,	বারামপূরকের,	বহরমপুরের,	
naran,	নারন,	নরেন,	
spencer,	স্পেন্সের,	স্পেন্সার,	
kaanaai,	কানাই,	কানাই,	
croak,	ক্রা,	ক্রোক,	
granthe,	গ্রন্থে,	গ্রন্থে,	
fern,	ফ্রার্ন,	ফার্ন,	
zubokera,	যুবকেরা,	যুবকেরা,	
machsaho,	মাসসাহ,	মাছসহ,	
jeebnagar,	জীবনাগরর,	জীবননগর,	
ganaporibahan,	গণপরিবাহন,	গণপরিবহন,	
kaloniir,	কানীীর,	কালনীর,	
lisense,	লিজেন্স,	লাইসেন্স,	
jolatongko,	জলাটঙ্,	জলাতঙ্ক,	
gatibege,	গ্যাবিগেগ,	গতিবেগে,	
cholocchitroke,	চলচিত্রকে,	চলচ্চিত্রকে,	
nirmankaz,	নির্মাণজন,	নির্মাণকাজ,	
komatei,	কমােইেই,	কমাতেই,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
gobeshokgan,	গবেষকাগণ,	গবেষকগণ,	
ship,	শিপ,	শিপ,	
koruna,	করুনা,	করুণা,	
phutanto,	ফুটান্ত,	ফুটন্ত,	
arthat,	অর্থা,	অর্থাৎ,	
elakatike,	এলাকটিকে,	এলাকাটিকে,	
onkeeta,	অংকিতা,	অঙ্কিতা,	
mosharrof,	মোশাররফ,	মশাররফ,	
obolokon,	অবলকন,	অবলোকন,	
abosaney,	আবসনে,	অবসানে,	
sarboshokteeman,	সর্বসককতিততন,	সর্বশক্তিমান,	
sattweo,	সত্্ত্ও,	সত্ত্বেও,	
juktarashtrosaha,	যুক্তরস্্রসহ,	যুক্তরাষ্ট্রসহ,	
sheekarer,	শিকারের,	শিকারের,	
rahee,	রাি,	রাহি,	
amoor,	আমুর,	আমর,	
udbhaboker,	উদ্ভবকের,	উদ্ভাবকের,	
udvabaker,	উদ্ভাককর,	উদ্ভাবকের,	
gosthike,	গোষ্ঠীকে,	গোষ্ঠীকে,	
nothibhukta,	নথিভুক্ত,	নথিভুক্ত,	
gabeshonar,	গবেষণার,	গবেষনার,	
samoshtike,	সমস্তিকে,	সমষ্টিকে,	
abheedhaneek,	আভিধানিক,	অভিধানিক,	
baasaate,	বাসাতে,	বাসাতে,	
otyachari,	অত্যাচারী,	অত্যাচারী,	
shkolashtik,	স্কলাাস্টিক,	স্কলাস্টিক,	
meterey,	মেটারে,	মিটারে,	
vabna,	ভবনাা,	ভাবনা,	
pingnaa,	পিঙ্্ন,	পিংনা,	
oteeteo,	ওতিতেও,	অতীতেও,	
harja,	হর্জ,	হার্জ,	
poderthobid,	পদার্থবিদ,	পদার্থবিদ,	
kampito,	কম্পিত,	কম্পিত,	
laesens,	লেসেনস,	লাইসেন্স,	
chandrimaa,	চন্দ্রিমা,	চন্দ্রিমা,	
thakeni,	থাকেনি,	থাকেনি,	
prokare,	প্রকারে,	প্রকারে,	
nomo,	নম,	নমো,	
ingrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
baik,	বায়কক,	বাইক,	
creshcent,	ক্রেস্েেন্ট,	ক্রিসেন্ট,	
aajij,	আজিজ,	আজিজ,	
planee,	প্লেন,	প্লেন,	
torcarir,	তরকারির,	তরকারীর,	
turki,	টুর্কি,	তুর্কি,	
protizogiitamulok,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
jacker,	যাকাকের,	জ্যাকের,	
agrodoot,	অগ্রদূত,	অগ্রদূত,	
harisher,	হরিসের,	হ্যারিসের,	
deeputi,	দিপুতি,	ডেপুটি,	
rinattak,	রণাত্মক,	ঋনাত্মক,	
kanshat,	কংসা,	কানসাট,	
obhishangson,	অভিষংসন,	অভিশংসন,	
manahputa,	মননসূপ,	মনঃপুত,	
boshoborti,	বসবর্তী,	বশবর্তী,	
teknokret,	টেকনোর্ত,	টেকনোক্র্যাট,	
digree,	ডিগ্রী,	ডিগ্রি,	
azimpur,	আজিমপুর,	আজিমপুর,	
simons,	সিইন্স,	সিমন্স,	
associetes,	অ্যাসোসিয়েস,	এসোসিয়েটস,	
jibnagore,	জীবনাগরে,	জীবননগর,	
parqa,	পার্ক,	পার্ক,	
gujober,	গুজবের,	গুজবের,	
definision,	ডেফিনিশ,	ডেফিনেশন,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
ekla,	একলল,	একলা,	
uporitale,	উপরিতাল,	উপরিতলে,	
premo,	প্রেমম,	প্রিমো,	
mandanda,	মন্ডন্ড,	মানদণ্ড,	
sahochorjo,	সাচচ্য্যয,	সাহচর্য,	
jonee,	জোনি,	জনি,	
siddhantoi,	সিদ্ধান্ত,	সিদ্ধান্তই,	
digrike,	ডিগ্রীকে,	ডিগ্রিকে,	
soinyo,	সৈন্য,	সৈন্য,	
pana,	পান,	পানা,	
abheedhanic,	অভিধানিক,	অভিধানিক,	
sazanor,	সাজানোর,	সাজানোর,	
notti,	নটটি,	নোটটি,	
tarani,	তরনী,	তরণী,	
rubeta,	রুবেট,	রাবেতা,	
kareer,	কারির,	কারীর,	
shrabosti,	শ্রবসটি,	শ্রাবস্তী,	
bedanto,	বেদননতত,	বেদান্ত,	
manu,	মাু,	মনু,	
ganosachetanata,	গণশনানোাতা,	গণসচেতনতা,	
maroofer,	মারুফের,	মারুফের,	
daktikit,	ডাক্তিক,	ডাকটিকিট,	
assastikar,	অস্স্তিকার,	অস্বস্তিকর,	
gezeted,	জেজাটেদ,	গেজেটেড,	
sabrakamer,	সববরককমের,	সবরকমের,	
capshule,	ক্যাপফফল,	ক্যাপসুল,	
satarkota,	সাত্কটা,	সতর্কতা,	
awnurbor,	অনুর্বর,	অনুর্বর,	
pyor,	পিয়া,	পিওর,	
raiialati,	রেইললাটি,	রয়্যালটি,	
udvabani,	উদ্ভাবান,	উদ্ভাবনী,	
vabani,	ভবনী,	ভবানী,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
somoshtike,	সমস্তিকে,	সমষ্টিকে,	
porishkaron,	পরিস্কার,	পরিষ্করণ,	
antarctica,	অ্যাট্টরকিক্ট,	অ্যান্টার্কটিকা,	
texuser,	টেকিসাসর,	টেক্সাসের,	
bhogiroth,	ভগগীরথ,	ভগীরথ,	
toder,	তদের,	তদের,	
granthei,	গ্রন্থেই,	গ্রন্থেই,	
karmapantha,	কর্মপন্থ,	কর্মপন্থা,	
transphorm,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
embi,	এমবি,	এমবি,	
bongram,	বংগ্াম,	বনগ্রাম,	
johny,	জনি,	জনি,	
thake,	থাককে,	থাকে,	
vasturyi,	বস্তুরই,	বস্তুরই,	
bibek,	বিবেক,	বিবেক,	
purbanchole,	পূর্বাঞ্চলে,	পূর্বাঞ্চলে,	
netherlander,	নেযারল্যান্ডের,	নেদারল্যান্ডের,	
garora,	গাযররা,	গারোরা,	
bhumir,	ভূমির,	ভূমির,	
donate,	দোনাতে,	ডোনাট,	
sbajaner,	স্বজনের,	স্বজনের,	
sastra,	সষ্ত্র,	শাস্ত্র,	
yathaarthabhaabe,	যথারথথাাবে,	যথার্থভাবে,	
babona,	বাবনা,	বাবনা,	
macher,	ম্যাচার,	মাছের,	
dweepgoolotey,	দ্বিপপুোতে,	দ্বীপগুলোতে,	
kommatei,	কমাতেই,	কমাতেই,	
chhintayikari,	ছিনতাইকার,	ছিনতাইকারী,	
quary,	কুয়রি,	কোয়েরি,	
slok,	স্লো,	শ্লোক,	
gonoporeebohoner,	গণপরিবহণের,	গণপরিবহনের,	
beeswasee,	বিশ্বাসী,	বিশ্বাসে,	
edii,	এডি,	আইডিই,	
maail,	মালে,	মাইল,	
omorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
bayi,	বাই,	বাঈ,	
iyanqi,	ইয়ানক,	ইয়াংকি,	
sausaje,	সৌসােে,	সসেজ,	
okhhunno,	অখ্ষুন্ন,	অক্ষুণ্ণ,	
stonaheenja,	স্থনাাহিজ্য,	স্টোনহেঞ্জ,	
boudhheer,	বৌদ্ধ,	বৌদ্ধের,	
porizoner,	পরিজনের,	পরিজনের,	
sosar,	সসার,	সকার,	
damdor,	দাদুর,	দামদর,	
uponishod,	উপনিষদ,	উপনিষদ,	
advansed,	আ্যাডভাসসদদ,	অ্যাডভান্সড,	
debodebi,	দেবদেবী,	দেবদেবী,	
sobrakomer,	সব্রকমের,	সবরকমের,	
shtonehenge,	স্টােহহেঞ্জ,	স্টোনহেঞ্জ,	
nilkamal,	নিলকমাল,	নীলকমল,	
udvaboney,	উদ্ভাননে,	উদ্ভাবনে,	
tolemyr,	তলেমির,	টলেমির,	
tauki,	তৌকী,	তকি,	
oporeeshodhito,	অপরিশোিত,	অপরিশোধিত,	
shudden,	সুদ্দেন,	সাডেন,	
charukola,	চারুকলা,	চারুকলা,	
ministara,	মিনিস্টার,	মিনিস্টার,	
bard,	বার্ড,	বার্ড,	
sip,	সিপপ,	শিপ,	
shatjon,	সত্জন,	সাতজন,	
shucre,	সাক্র,	সাকার,	
vivek,	ভিভেক,	বিবেক,	
qyapasula,	ক্যাসসলা,	ক্যাপসুল,	
sooter,	সূতের,	শ্যুটার,	
reejur,	রিজুর,	রিজুর,	
