inapharameshana,	ইনফারসমেশন,	ইনফরমেশন,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
bhabotarini,	ভববতরণী,	ভবতারিণী,	
fatakesto,	ফটোকেস্ট,	ফাটাকেষ্ট,	
salafeta,	সলফেট,	সালফেট,	
nutunotto,	নতুনত্ব,	নতুনত্ব,	
biplobi,	বিপ্লবি,	বিপ্লবী,	
nitikotha,	নীতিকথা,	নীতিকথা,	
bojhaar,	বোঝার,	বোঝার,	
phoxkon,	ফকক্সন,	ফক্সকন,	
doobhara,	দুভার,	ডোভার,	
sikkhakke,	শিক্ষককে,	শিক্ষককে,	
pratishta,	প্রতিষ্ট,	প্রতিষ্টা,	
muchi,	মুচি,	মুচি,	
pratisthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
santa,	সন্ত,	স্যান্টা,	
protimake,	প্রতিমাকে,	প্রতিমাকে,	
ishter,	ইস্টার,	ইস্টের,	
chalachchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
naditi,	নদীতি,	নদীটি,	
mg,	এমিগ,	এমজি,	
kareer,	কারির,	কারীর,	
notti,	নটটটি,	নোটটি,	
probhura,	প্রভূরা,	প্রভুরা,	
deobonde,	দীবন্দে,	দেওবন্দে,	
skalastic,	স্কলসাস্টিক,	স্কলাস্টিক,	
ghotleyo,	ঘটলেও,	ঘটলেও,	
jonosanjog,	জনস্যাগঞ্,	জনসংযোগ,	
parkasha,	পার্কস,	পার্কস,	
udvaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
notikotar,	নটিকতার,	নৈতিকতার,	
hoolding,	হোলডিং,	হোল্ডিং,	
rajatwa,	রাজত্ব,	রাজত্ব,	
asoociates,	অসযাস্টেসেস,	এসোসিয়েটস,	
duburir,	দাবুরির,	ডুবুরির,	
dokaneyi,	দোকানেই,	দোকানেই,	
bisheshshyer,	বিশেষস্যের,	বিশেষ্যের,	
soomitrar,	সমীত্রার,	সুমিত্রার,	
sooter,	সুতের,	শ্যুটার,	
jaanachhe,	জানাচ্ছে,	জানাচ্ছে,	
orunima,	অরুণিমা,	অরুণিমা,	
spashtotai,	স্পষ্টটাই,	স্পষ্টতই,	
landin,	ল্যান্ডিন,	ল্যান্ডিং,	
jaqi,	জাকি,	জকি,	
haridware,	হরিদ্যারে,	হরিদ্বারে,	
obosore,	অবশরে,	অবসরে,	
cross,	ক্রস,	ক্রুশ,	
beeswasoo,	বিশ্বসভ,	বিশ্বাসও,	
taunashhipa,	তউনশীপ,	টাউনশিপ,	
batsman,	বাসস্যান,	ব্যাটসম্যান,	
byaboshtha,	ব্যবস্থা,	ব্যাবস্থা,	
danobder,	দানবদের,	দানবদের,	
mitrata,	মিত্রতা,	মিত্রতা,	
hola,	হলা,	হোল,	
dayitta,	দৈত্য,	দায়িত্ব,	
choiti,	চৈতি,	চৈতি,	
palestiner,	প্যালসস্টাইনের,	প্যালেস্টাইনের,	
addhattikotar,	আদ্ধাত্তিকতার,	আধ্যাত্মিকতার,	
conservation,	কনসারেভেশন,	কনসারভেশন,	
shansthaner,	সংস্থানের,	সংস্থানের,	
teknokrat,	টেকনোক্র,	টেকনোক্র্যাট,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
upostheetir,	উপস্থিতির,	উপস্থিতির,	
hydra,	হাইড্রা,	হাইড্রা,	
chaudhoorir,	চৌধুরির,	চৌধুরীর,	
daakticket,	ডাক্তিকেট,	ডাকটিকিট,	
patishapta,	পতিষ্পত্ত,	পাটিসাপটা,	
sqalastiqa,	স্কলস্টিক,	স্কলাস্টিক,	
falah,	ফালাহ,	ফালাহ,	
bongshoke,	বংশকে,	বংশকে,	
sahooseekotar,	সহসিকতার,	সাহসিকতার,	
restuarant,	রেস্টুরেন্ট,	রেষ্টুরেন্ট,	
rushod,	রুশোদ,	রুশদ,	
keui,	কিউই,	কেউই,	
kemane,	কেমনে,	কেমনে,	
juktarashtrosaha,	যুক্তরস্রাসহ,	যুক্তরাষ্ট্রসহ,	
gandhiio,	গান্ধিও,	গান্ধীও,	
asommati,	অসমম্তি,	অসম্মতি,	
average,	অ্যাভারেজ,	এভারেজ,	
uruu,	উরু,	উরু,	
chon,	চন,	ছোঁ,	
peri,	পেরী,	পেরি,	
brindabane,	বৃন্দবানে,	বৃন্দাবনে,	
antarktika,	অন্তর্তিক,	অ্যান্টার্কটিকা,	
prasadhaner,	প্রসাধানের,	প্রসাধনের,	
gaadha,	গাধা,	গাধা,	
rohoshyor,	রহহসর,	রহস্যর,	
cheentaikaree,	চান্টাইকারী,	ছিনতাইকারী,	
servere,	সার্ভারে,	সার্ভারে,	
upobaaser,	উপবাসের,	উপবাসের,	
texaser,	ট্যাক্সাইসের,	টেক্সাসের,	
byabasthar,	ব্যবস্থার,	ব্যবস্থার,	
shanstha,	সনস্থ,	সংস্থা,	
sangkoolan,	সংকুল্ন,	সংকুলান,	
romantiq,	রোমান্তিক,	রোমান্টিক,	
dormetory,	ডরমেটরি,	ডরমিটরি,	
arina,	আরিন,	এরিনা,	
royalty,	রোয়াল্টি,	রয়্যালটি,	
phiksa,	ফিক্স,	ফিক্স,	
sinematographar,	সিনেনার্ভারগার,	সিনেমাটোগ্রাফার,	
tukrote,	টুক্রতে,	টুকরোতে,	
renoo,	রেনো,	রেনো,	
hilse,	হিলসে,	হিলসে,	
akritakarjo,	আকৃতকর্য,	অকৃতকার্য,	
mahindra,	মহহন্দ্র,	মাহিন্দ্রা,	
udbhaboker,	উদ্ভাবকের,	উদ্ভাবকের,	
teknokryat,	টেকনোক্রাট,	টেকনোক্র্যাট,	
codeguli,	ক্যাডগুলি,	কোডগুলি,	
mousumti,	মৌসম্তি,	মৌসুমটি,	
deejijer,	ডিজিজের,	ডিজিজের,	
dhabi,	ধববই,	ঢাবি,	
poscater,	পোস্কেটের,	পশ্চাতের,	
bard,	বর্ড,	বার্ড,	
mahe,	মহে,	মাহে,	
jatotaa,	যতটা,	যতোটা,	
tarunderke,	তরুণ্ডরকে,	তরুণদেরকে,	
hisaber,	হিসাবের,	হিসাবের,	
sotorkobhabe,	সতর্কভাবে,	সতর্কভাবে,	
teenti,	তিনটি,	তিনটি,	
nisader,	নিশাদের,	নিষাদের,	
ohalyar,	অহললার,	অহল্যার,	
truup,	ট্রুপ,	ট্রুপ,	
chalabe,	চালাবে,	চালাবে,	
vdp,	উডিপি,	ভিডিপি,	
foks,	ফক্স,	ফক্স,	
sarjur,	সার্যুর,	সরযূর,	
abheedhaanik,	আভিধানিক,	অভিধানিক,	
qrisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
karpeter,	কর্পেটের,	কার্পেটে,	
jerujalem,	জেরুজাইলম,	জেরুসালেম,	
noditike,	নদীতিকে,	নদীটিকে,	
anchaltite,	আঞ্চলতিতে,	অঞ্চলটিতে,	
aasif,	আসিফ,	আসিফ,	
segulo,	সেগুলো,	সেগুলো,	
sekarane,	সেকারানে,	সেকারণে,	
naniir,	নানীর,	নানীর,	
sulphate,	সালফাতে,	সালফেট,	
alpa,	আল্প,	অল্প,	
soccer,	সচ্কের,	সকার,	
colahol,	কলাহল,	কোলাহল,	
hocker,	হকের,	হুকার,	
shamuk,	সামুক,	শামুক,	
jeshthaa,	যেষ্ঠা,	জ্যেষ্ঠা,	
jojyota,	যোজ্যতা,	যোজ্যতা,	
rubidiyaam,	রুবিডিয়াম,	রুবিডিয়াম,	
muhurtati,	মুহুরতাটি,	মুহুর্তটি,	
shchalastic,	স্যাকাস্টিসিক,	স্কলাস্টিক,	
sookumari,	সুকুমারী,	সুকুমারী,	
shakara,	সককার,	সাকার,	
kaferder,	কাফারদের,	কাফেরদের,	
emarzensi,	এমার্জেন্সি,	এমার্জেন্সি,	
daayitto,	দৈবিত্ত,	দায়িত্ব,	
bagicha,	বাগিচা,	বাগিচা,	
porishongkhyanbid,	পরিসংখ্যাংশাদি,	পরিসংখ্যানবিদ,	
ancholsaho,	অঞ্চলসহ,	অঞ্চলসহ,	
shaantaa,	সান্তা,	সান্তা,	
suparharo,	সুপারহর,	সুপারহিরো,	
chalchhee,	চলছে,	চলছে,	
qanasarabheshana,	কনস্বরেশন,	কনসারভেশন,	
machhe,	মাছে,	মাছে,	
dormitory,	ডরমেটরি,	ডরমিটরি,	
foloshrutite,	ফলোর্টিতে,	ফলশ্রুতিতে,	
nederland,	নেদারল্যান্ড,	নেদারল্যান্ড,	
yeaster,	ইয়েস্টার,	ইস্টের,	
shotodha,	সতথা,	শতধা,	
karir,	কারীর,	কারীর,	
dianes,	ডায়েন্স,	ডিএনএস,	
hughes,	হুঘেস,	হিউজেস,	
minishtara,	মিনিস্টার,	মিনিস্টার,	
balokarok,	বালকারক,	বলকারক,	
chhotogalpe,	ছোটোগল্পে,	ছোটগল্পে,	
atyacharita,	অত্যচারিত,	অত্যাচারিত,	
tarunra,	তরুনরা,	তরুণরা,	
stonahenja,	স্তনেহান্জ,	স্টোনহেঞ্জ,	
cheettronnattokar,	চিত্রনাত্তকার,	চিত্রনাট্যকার,	
bunot,	বুনত,	বুনট,	
shikarey,	শিকারে,	শিকারে,	
taitela,	টাইলেল,	টাইটেল,	
bondii,	বন্দি,	বন্দী,	
gafiloti,	গফিলতি,	গাফিলতি,	
ponjeekaar,	পঞ্জিকার,	পঞ্জিকার,	
alankorana,	অলোকরণা,	অলঙ্করণ,	
bolokarok,	বলোকারক,	বলকারক,	
naobihar,	নববিহার,	নৌবিহার,	
shoya,	শোয়া,	সোয়া,	
abarte,	আবর্তে,	আবর্তে,	
bo,	বো,	বু,	
leaders,	লেডার্স,	লিডার্স,	
sima,	সীম,	সীমা,	
prodeeper,	প্রোডীপের,	প্রদীপের,	
chabir,	ছবির,	চাবির,	
pravuder,	প্রভুদের,	প্রভুদের,	
vaabnar,	ভাবনার,	ভাবনার,	
uthe,	উঠে,	উঠে,	
iispredsheet,	ইসিপ্রেস্টে,	স্প্রেডশীট,	
americar,	আমেরিকার,	আমেরিকার,	
sheekare,	শিকারে,	শিকারে,	
podarthobid,	পদারত্ববিদ,	পদার্থবিদ,	
gorrer,	গরের,	গোরের,	
sayanaida,	সায়নাইড,	সায়ানাইড,	
elakaao,	এলাকাও,	এলাকাও,	
mataram,	মাটারাম,	মাতরম,	
gazipore,	গাজীপরে,	গাজিপুর,	
bhashik,	ভাষিক,	ভাষিক,	
haphej,	হাফেজ,	হাফেয,	
hijrii,	হিজরি,	হিজরী,	
gonohottar,	গণহত্তার,	গণহত্যার,	
torkarir,	তরকারীর,	তরকারীর,	
rajdhani,	রাজধানি,	রাজধানি,	
vedke,	ভেদকে,	বেদকে,	
aanish,	আনিশ,	আনিস,	
apocheshta,	অপোেষ্ট,	অপচেষ্টা,	
protijogiir,	প্রতিযোগির,	প্রতিযোগীতার,	
minishtar,	মিনিস্টার,	মিনিস্টার,	
majdur,	মাজদুর,	মজদুর,	
nilabho,	নিলভ,	নীলাভ,	
chidropothe,	চিদ্রপ্রথে,	ছিদ্রপথে,	
aukhando,	আখন্দ,	অখন্ড,	
shootar,	শুতার,	শ্যুটার,	
prabhur,	প্রভূর,	প্রভুর,	
sofy,	সফি,	সোফি,	
teemur,	টিমুর,	তিমুর,	
vagno,	ভাগ্ন,	ভগ্ন,	
thimke,	ঠিকমে,	থিমকে,	
residensa,	রেসিডেন্স,	রেসিডেন্স,	
aieesha,	আইএস,	আইএএস,	
ateetkaale,	অতীতকালে,	অতীতকালে,	
graambaasio,	গ্রামবাসি,	গ্রামবাসীও,	
streegan,	স্ত্রীগণ,	স্ত্রীগণ,	
sayaneda,	সায়নেড,	সায়ানাইড,	
dolgulo,	দলগুলো,	দলগুলোও,	
mittrota,	মিত্রোতা,	মিত্রতা,	
shatodha,	সতথা,	শতধা,	
kakhnoba,	কখনোবা,	কখনওবা,	
ekjoge,	একজোগে,	একযোগে,	
pakistanira,	পাকিস্তানিরা,	পাকিস্তানীরা,	
spreadseet,	স্প্রেডসিট,	স্প্রেডশীট,	
cholochchitrei,	চলচিত্রেই,	চলচ্চিত্রেই,	
poster,	পোস্টার,	পোস্টের,	
nirabota,	নীরবতা,	নিরবতা,	
modeling,	মোদালিং,	মডেলিং,	
ssahocorze,	সাহচর্যে,	সাহচর্যে,	
swatantrata,	স্বততন্ত্র,	স্বতন্ত্রতা,	
shodhan,	শোধান,	শোধন,	
leader,	লেডের,	লিডার,	
deyl,	ডেল,	ডেইল,	
phutbolarra,	ফুটবললার,	ফুটবলাররা,	
nothibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
bouddher,	বৌদ্ধের,	বৌদ্ধের,	
patiganit,	পতিগাণিত,	পাটিগণিত,	
buffer,	বাফের,	বাফার,	
lettar,	লেটার,	লেটার,	
anchalo,	আঞ্চল,	অঞ্চলও,	
firth,	ফার্থ,	ফার্থ,	
tinhajar,	তিনহাজার,	তিনহাজার,	
zuboke,	যুবকে,	যুবকে,	
notey,	নোটে,	নোটে,	
bardhitaanas,	বর্ধিতাসন,	বর্ধিতাংশ,	
akbakye,	একবককে,	একবাক্যে,	
shoori,	শুরি,	সুরি,	
baard,	বার্ড,	বার্ড,	
rooby,	রোবি,	রুবি,	
snipper,	স্পিনার,	স্নাইপার,	
chupi,	চুপি,	চুপি,	
paree,	প্যারি,	পাড়ে,	
ghesha,	ঘেসা,	ঘেঁষা,	
panchasjan,	পঞ্চাশজন,	পঞ্চাশজন,	
doshider,	দশীদের,	দোষীদের,	
udvabone,	উদ্ভাবনে,	উদ্ভাবনে,	
jens,	জেন্স,	জিন্স,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
ayadabhanshada,	অ্যাদবাংশাদে,	অ্যাডভান্সড,	
gostike,	গোস্তিকে,	গোষ্ঠীকে,	
zerusaleme,	জেরোসোলেমে,	জেরুসালেমে,	
beshirvagei,	বেশীরভাগেই,	বেশিরভাগেই,	
hepara,	হাইপার,	হাইপার,	
dinnar,	দিনার,	ডিনার,	
sibraz,	শিবরাজ,	শিবরাজ,	
ashamorthito,	আসমম্রিথ,	অসমর্থিত,	
uqeliptas,	উকেলিপ্যাস্ট,	ইউক্যালিপ্টাস,	
dipei,	দীপেই,	দ্বীপেই,	
dhyanastho,	ধ্যানস্থ,	ধ্যানস্থ,	
tenis,	টেনিস,	টেনিস,	
brekethru,	ব্রেক্ষার্থু,	ব্রেকথ্রু,	
krej,	ক্রেজ,	ক্রেজ,	
pathkrom,	পাঠকর্ম,	পাঠক্রম,	
jaaluk,	জালুক,	জ্বলুক,	
korimke,	করিমকে,	করিমকে,	
hook,	হোক,	হুক,	
quartar,	কোর্টার,	কোয়ার্টার,	
ghensha,	ঘেন্স,	ঘেঁষা,	
tochnoch,	টচনাচ,	তছনছ,	
koomari,	কোম়ারি,	কুমারী,	
kibord,	কিবোর্ড,	কীবোর্ড,	
abheedhaaneek,	আভিধানিক,	অভিধানিক,	
compact,	কমপ্যাক্ট,	কমপ্যাক্ট,	
phixing,	ফিসিকিং,	ফিক্সিং,	
roktokhoron,	রক্তকরণ,	রক্তক্ষরণের,	
raha,	রহ,	রঃ,	
hailo,	হইল,	হইল,	
udbodhoni,	উদ্বোধনী,	উদ্বোধনী,	
nilkuthir,	নিলকুষ্ঠীর,	নীলকুঠির,	
gate,	গেটে,	গ্যেটে,	
baasake,	বাসাকে,	বাসাকে,	
laiseensee,	লাইসেন্সি,	লাইসেন্স,	
harriser,	হারিসের,	হ্যারিসের,	
shapholler,	সফললের,	সাফল্যের,	
thatchar,	ঠাটার,	থ্যাচার,	
rohosyer,	রহহসের,	রহস্যের,	
ostad,	অস্তাদ,	ওস্তাদ,	
graambaaseeo,	গ্রামবাসেই,	গ্রামবাসীও,	
mukhamandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
tunaita,	টুনাইট,	টুনাইট,	
batsmaner,	বাসসানের,	ব্যাটসম্যানের,	
oitijje,	ঐইতিজে,	ঐতিহ্যে,	
olpokichudin,	অল্পকিছুদ্ছিন,	অল্পকিছুদিন,	
porijon,	পরিজন,	পরিজন,	
shangkalonti,	সাল্কান্যটি,	সংকলনটি,	
beshirbhaagi,	বেশীরভাগই,	বেশিরভাগই,	
bishad,	বিশাদ,	বিষদ,	
pholo,	ফোলো,	পোলো,	
neck,	নেক,	নেক,	
shhcholashtic,	স্কোলাস্টিক,	স্কলাস্টিক,	
aswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
cheentaikari,	চান্টাইকারী,	ছিনতাইকারী,	
qyanela,	ক্যানেল,	ক্যানেল,	
bhatar,	ভাটার,	ভাতার,	
konroop,	কনরুপ,	কোনরূপ,	
abasarer,	অবসারের,	অবসরের,	
peterkey,	পেটারকে,	পিটারকে,	
chat,	চট,	চ্যাট,	
ohang,	অহং,	অহং,	
ancholgulote,	আঞ্চলগুলোতে,	অঞ্চলগুলোতে,	
jatak,	যতক,	জাতক,	
bibader,	বিবাদের,	বিবাদের,	
mausumeo,	মসুমে,	মৌসুমেও,	
protizogiider,	প্রতিযোগিদার,	প্রতিযোগীদের,	
longhon,	লংঘন,	লংঘন,	
sparsher,	স্পর্শের,	স্পর্শের,	
pratiyogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
ancholtikey,	আঞ্চলটিকে,	অঞ্চলটিকে,	
queery,	কুয়ারি,	কোয়েরি,	
goreeb,	গরীব,	গরিব,	
fuzz,	ফুজ,	ফাজ,	
enjineers,	এনজিনার্স,	ইঞ্জিনিয়ার্স,	
anchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
chalochchitraeei,	চলচ্তির্যই,	চলচ্চিত্রেই,	
taholei,	তাহলেই,	তাহলেই,	
bongshi,	বংশী,	বংশী,	
gunoman,	গুণমান,	গুণমান,	
bosoben,	বসবেন,	বসবেন,	
manushsaho,	মানুসাহ,	মানুষসহ,	
janagononar,	জনগণনার,	জনগণনার,	
uchchatara,	উচ্চতার,	উচ্চতর,	
prity,	প্রীতি,	প্রিটি,	
sattoki,	সত্তকি,	সাত্যকি,	
uindo,	উইন্ডো,	উইন্ডো,	
shreeshri,	শ্রীশ্রী,	শ্রীশ্রী,	
shrichaitanyadev,	শ্রীচৈত্নবাদিক,	শ্রীচৈতন্যদেব,	
sommotir,	সম্তটির,	সম্মতির,	
votar,	ভোটার,	ভোটার,	
akkash,	অক্াাশ,	আককাস,	
natshi,	নাৎসি,	নাত্সি,	
saaralya,	সারলায়া,	সারল্য,	
dajjha,	দজজহ,	দাহ্য,	
charukola,	চারুকোলা,	চারুকলা,	
uthey,	উঠে,	উঠে,	
konphlikt,	কনফিক্সট,	কনফ্লিক্ট,	
kinsa,	কিংস,	কিংস,	
artilary,	অর্টিলারি,	আর্টিলারি,	
petrol,	পেট্রোল,	পেট্রোল,	
azizer,	অজিজের,	আজিজের,	
ghurchen,	ঘুরছেন,	ঘুরেছেন,	
argho,	অর্ঘ,	অর্ঘ্য,	
popeke,	পোপেকে,	পোপকে,	
ashiatic,	আসিটিয়িক,	এশিয়াটিক,	
bhramaner,	ভ্রামণের,	ভ্রমণের,	
karecho,	করেছো,	করেছো,	
gosthi,	গোষ্ঠী,	গোষ্ঠী,	
yankii,	যঙ্কি,	ইয়াংকি,	
sabche,	সবছে,	সবচে,	
chaabir,	চাবির,	চাবির,	
bhejano,	ভেজানো,	ভেজানো,	
bissonath,	বিশ্বনাথ,	বিশ্বনাথ,	
teunar,	টিউনার,	টিউনার,	
chhaanee,	ছানে,	ছানি,	
gandhir,	গান্ধির,	গান্ধীর,	
dosa,	দোা,	দোসা,	
toufeek,	তৌফিক,	তৌফিক,	
gavaskar,	গভাসকার,	গাভাস্কার,	
rajballabh,	রাজবল্ভাভ,	রাজবল্লভ,	
satarkota,	সত্রকতা,	সতর্কতা,	
parjataker,	পার্যাটকের,	পর্যটকের,	
siqar,	সিকার,	শিকার,	
udbodhaner,	উদ্ধাবনের,	উদ্বোধনের,	
purple,	পার্পলে,	পার্পেল,	
maddhobir,	মাধ্যবীর,	মাধবীর,	
obhigomon,	অভিগমন,	অভিগমন,	
chaka,	চাকা,	চাকা,	
otyacharita,	অত্যাচারিতা,	অত্যাচারিত,	
vumij,	ভূমিজ,	ভূমিজ,	
shilver,	শিলভার,	সিলভার,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
ekghore,	একঘরে,	একঘরে,	
sudrissho,	সুদৃশ্য,	সুদৃশ্য,	
hiiragana,	হিরাগান,	হিরাগানা,	
addhatikota,	আধ্যাতিকতা,	আধ্যাত্মিকতা,	
eshtoniya,	এস্টানিয়া,	এস্তোনিয়া,	
jerusalem,	জেরুসলাইম,	জেরুজালেম,	
wenus,	উেনাস,	ভেনাস,	
hunayin,	হানাইন,	হুনাইন,	
khilafat,	খিলাফাত,	খিলাফত,	
