female,	ফেমলে,	ফিমেল,	
phareksa,	ফোরেক্স,	ফরেক্স,	
gezetted,	গেজেটেড,	গেজেটেড,	
gezeted,	গেজেটেড,	গেজেটেড,	
utpotti,	উৎপত্তি,	উতপত্তি,	
mausumei,	মৌশুমেই,	মৌসুমেই,	
shreemoti,	শ্রীমতি,	শ্রীমতি,	
olimpiker,	অলিমপিকের,	অলিম্পিকের,	
elakatite,	এলাকাটিতে,	এলাকাটিকে,	
chalachchitra,	চলচচিত্র,	চলচ্চিত্র,	
ghatiti,	ঘটিটি,	ঘাঁটিটি,	
serup,	শেরুপ,	সেরূপ,	
deenes,	ডাইনেস,	দীনেশ,	
gandhiir,	গান্ধীর,	গান্ধীর,	
rizur,	রিজুর,	রিজুর,	
eastar,	ইস্টার,	ইস্টার,	
laboni,	লবণী,	লাবনী,	
hariken,	হরিকেন,	হ্যারিকেন,	
polashir,	পোলাসীর,	পলাশীর,	
janagononar,	জনগণনার,	জনগণনার,	
shhashtra,	শাষ্ত্র,	শাস্ত্র,	
shector,	সেক্টর,	সেক্টর,	
varma,	ভারমা,	ভার্মা,	
sbatantrata,	স্বতন্ত্রতা,	স্বতন্ত্রতা,	
laaisheesh,	লাইসেস,	লাইসেন্স,	
turqamena,	টুরকমেন,	তুর্কমেন,	
postay,	পোস্টে,	পোষ্টে,	
amor,	আমর,	আমর,	
tochhnoch,	তঞ্চচ,	তছনছ,	
daaraa,	ডারা,	দারা,	
jathon,	যথন,	যথন,	
popeke,	পপেকে,	পোপকে,	
informeson,	ইনফোরমেশন,	ইনফরমেশন,	
bamon,	বামন,	বামন,	
shefard,	শেফার্ড,	শেফার্ড,	
sikhechi,	শিখেছি,	শিখেছি,	
neermolota,	নির্মলতা,	নির্মলতা,	
graambaasio,	গ্রামবাসিও,	গ্রামবাসীও,	
smarok,	স্মররক,	স্মারক,	
protijogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
pirujalee,	পিরুজালী,	পিরুজালী,	
onekeri,	অনেকারী,	অনেকেরই,	
toubar,	তৌবর,	তওবার,	
naker,	নাকের,	নেকের,	
thore,	থোরে,	থরে,	
korecho,	করেছ,	করেছো,	
laisensa,	লেসেন্স,	লাইসেন্স,	
spashtatai,	স্প্টস্টেই,	স্পষ্টতই,	
makong,	ম্যাং,	মেকং,	
dito,	দিত,	দিতো,	
maladoobha,	মালাদুব,	মলদোভা,	
jansa,	জনস,	জোন্স,	
parishrami,	পরিশ্রমী,	পরিশ্রমী,	
mosan,	মোশন,	মোশন,	
badei,	বদেই,	বাদেই,	
madeelim,	মেডেলিং,	মডেলিং,	
ganonanatto,	গণনান্্ত,	গণনাট্য,	
oparogota,	অপররগত,	অপারগতা,	
daankan,	ডাঙকান,	ডানকান,	
dalee,	দললি,	ডালে,	
xpose,	এক্সপ্স,	এক্সপোজ,	
oopohoron,	উপহরণ,	অপহরন,	
sacheton,	সচেতন,	সচেতন,	
sucharita,	সূচারিত,	সুচরিতা,	
jatotaa,	যতটা,	যতোটা,	
hepara,	হেপার,	হাইপার,	
sumeeta,	সুমিতা,	সুমিতা,	
parshe,	পারসে,	পার্শ্বে,	
istan,	ইস্টন,	স্টোন,	
dhalur,	ঢালুর,	ঢালুর,	
kolahol,	কলাহল,	কোলাহল,	
koda,	কোড,	কোডা,	
chanake,	চানকে,	ছানাকে,	
patigonit,	পতিগণিত,	পাটিগণিত,	
krusher,	ক্রুশের,	ক্রুশের,	
jerokom,	জেরকম,	যেরকম,	
shootar,	শুতার,	শ্যুটার,	
kirkuk,	কীর্কুক,	কিরকুক,	
matt,	মট,	ম্যাট,	
shakkhatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
saarbharti,	সার্ভর্টি,	সার্ভারটি,	
aastikota,	অস্তিকতা,	আস্তিকতা,	
indro,	ইন্দ্রো,	ইন্দ্র,	
haran,	হারান,	হারান,	
stain,	স্টেন,	স্টেন,	
maheendra,	মহীন্দ্র,	মাহিন্দ্রা,	
soourse,	সুর্স,	সোর্স,	
chopol,	চোপল,	চপল,	
bosontokey,	বসন্তকে,	বসন্তকে,	
shatokei,	শতকেই,	শতকেই,	
craze,	ক্রেজ,	ক্রেজ,	
hunine,	হানিন,	হুনাইন,	
ajeeja,	আজিজ,	আজিজা,	
konan,	কোনান,	কোনান,	
chhooti,	ছুটি,	ছুটি,	
masjid,	মাসজদ,	মসজিদ,	
darjiling,	ডার্জিলিং,	দার্জিলিং,	
crime,	ক্রিম,	ক্রাইম,	
muchir,	মুচির,	মুচির,	
plate,	প্লেট,	প্লেট,	
labonaktotar,	লবনাক্ততার,	লবণাক্ততার,	
orbeet,	অরবিত,	অরবিট,	
utsahi,	উত্সাহী,	উৎসাহী,	
bheenasa,	ভেনস,	ভেনাস,	
hiragana,	হিরাগোন,	হিরাগানা,	
daaktikit,	দাককিকিত,	ডাকটিকিট,	
roktokhorone,	রক্তকরণে,	রক্তক্ষরণে,	
paksenaara,	পাক্সেনার,	পাকসেনারা,	
arop,	অরপ,	আরোপ,	
addhatikotar,	অধ্যািতকার,	আধ্যাত্মিকতার,	
mathews,	ম্যাথাউস,	ম্যাথিউস,	
peengna,	পেনগনা,	পিংনা,	
mahindra,	মহীন্দ্র,	মাহিন্দ্রা,	
neemeetto,	নেমিত্ব,	নিমিত্ত,	
phastara,	ফ্সাটার,	ফস্টার,	
emergenci,	এমর্জেন্সি,	এমার্জেন্সি,	
totenhaamer,	ততেনাহামের,	টটেনহামের,	
baipash,	বাইপস,	বাইপাস,	
vorodwaj,	ভররদ্বজ,	ভরদ্বাজ,	
sorano,	সরানো,	সরানো,	
ongkush,	অংকুষ,	অংকুশ,	
attobishwasi,	আত্ববিশ্বাসী,	আত্মবিশ্বাসী,	
gotirodh,	গতিরোধ,	গতিরোধ,	
srichoitonnodeb,	শ্রীচৈলন্বন্বে,	শ্রীচৈতন্যদেব,	
golakrity,	গোলাকৃতি,	গোলাকৃতি,	
cholocchitrotike,	চলচচচ্ত্রিটিকে,	চলচ্চিত্রটিকে,	
shasheja,	শাসেজ,	সসেজ,	
ajeemke,	আজীমকে,	আজিমকে,	
iraaner,	ইরানের,	ইরানের,	
asommati,	আসম্ততি,	অসম্মতি,	
amiretus,	অমিরেট,	এমিরেটাস,	
protizogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
masterer,	মাস্টারের,	মাস্টারের,	
pyatarne,	প্যাটার্ন,	প্যাটার্নে,	
sinaake,	সিনাকে,	সিনাকে,	
coner,	কোনের,	কনের,	
eporzonto,	এপরজ্ন্ত,	এপর্যন্ত,	
manushgulor,	মানুষগুলোর,	মানুষগুলোর,	
mukhomandoler,	মুখমন্ডলের,	মুখমণ্ডলের,	
shoshoa,	শ্বাও,	শশা,	
jameser,	জ্যামেসের,	জেমসের,	
ganoporibahoner,	গণপরিহণের,	গণপরিবহনের,	
moolgoto,	মুলগত,	মূলগত,	
pitthe,	পিঠে,	পীঠে,	
akkaas,	আকাশ,	আককাস,	
bafal,	বাফল,	বিফল,	
rekhapat,	রেখাপত,	রেখাপাত,	
pader,	পদের,	প্যাডের,	
os,	ওস,	অস,	
puroheetder,	পুরহীতদের,	পুরোহিতদের,	
abdune,	আবদুনে,	আবদুন,	
dharabahikti,	ধারাবাহিক্তি,	ধারাবাহিকটি,	
falakti,	ফলক্তি,	ফলকটি,	
taroni,	তরণী,	তরণী,	
gondogol,	গণ্ডগল,	গন্ডগোল,	
nongra,	নঙ্গা,	নোংরা,	
conservetion,	কনসার্ভেশন,	কনসারভেশন,	
sabhanetree,	সভানেত্রী,	সভানেত্রী,	
codeguli,	কদেগুলি,	কোডগুলি,	
dharavahiker,	ধারাভাহিকের,	ধারাবাহিকের,	
turkyder,	তুর্কিদের,	তুর্কিদের,	
venkatesh,	ভেযানকেটস,	ভেঙ্কটেশ,	
lutheerana,	লুথিরনা,	লুথেরান,	
dhonni,	ধন্বি,	ধন্যি,	
danabder,	দানবদের,	দানবদের,	
deubande,	দিউবন্দে,	দেওবন্দে,	
muscut,	মুস্কুত,	মাস্কাট,	
kadorer,	কাদরের,	কদরের,	
myat,	ম্যাট,	ম্যাট,	
utshahe,	উত্সাহে,	উৎসাহে,	
chootite,	চোটিতে,	ছুটিতে,	
bodna,	বদ্না,	বদনা,	
sahochorjo,	সহচর্য,	সাহচর্য,	
durgotshob,	দুর্গৎসব,	দুর্গোৎসব,	
oorgho,	অর্গ,	অর্ঘ্য,	
uponeesoder,	উপনিষদের,	উপনিষদের,	
karta,	করত,	করতা,	
suddeen,	সুদ্দীন,	সাডেন,	
teman,	টেমন,	তেমন,	
biharey,	বিহরে,	বিহারে,	
bhaandaare,	ভান্ডারে,	ভাণ্ডারে,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
modhyostho,	মধ্যস্থ,	মধ্যস্থ,	
ashonka,	আশঙ্ক,	আশঙ্কা,	
chhaanake,	ছানাকে,	ছানাকে,	
lyata,	ল্যাট,	ল্যাটা,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
udbodhoner,	উদ্বোধনের,	উদ্বোধনের,	
peterke,	পেটারকে,	পিটারকে,	
akkhar,	অক্ষার,	অক্ষর,	
bm,	বিবিম,	বিএম,	
poromartho,	পরমার্থ,	পরমার্থ,	
sahocorrzo,	সহচরর্য,	সাহচর্য,	
postar,	পোস্টার,	পোস্টের,	
badaghat,	বাদাঘাট,	বাদাঘাট,	
codeti,	কদেটি,	কোডটি,	
messenger,	মেসেঙ্গের,	মেসেঞ্জার,	
inamil,	ইনামিল,	এনামেল,	
poripake,	পরিপকে,	পরিপাকে,	
vobani,	ভবানী,	ভবানী,	
hyariqena,	হ্যারিকেন,	হ্যারিকেন,	
gosthii,	গোষ্ঠী,	গোষ্ঠীই,	
hori,	হরি,	হরি,	
dologulo,	দলগুলো,	দলগুলো,	
dovaar,	দবার,	ডোভার,	
scifi,	সিকিফি,	সাইফাই,	
nimitte,	নিমিত্বে,	নিমিত্তে,	
aro,	আরো,	আরও,	
conistho,	কনিষ্ঠ,	কনিষ্ঠ,	
melborroner,	মেলবররের,	মেলবোর্নের,	
highcommissionay,	হাইকোমিশনের,	হাইকমিশনে,	
purohitder,	পুরহীতদের,	পুরোহিতদের,	
falok,	ফলক,	ফলক,	
porisromii,	পরিশ্রমী,	পরিশ্রমী,	
seeramiks,	শিরামিক্স,	সিরামিকস,	
chirkoot,	চিরকুত,	চিরকুট,	
naitik,	নৈতিক,	নৈতিক,	
kanooner,	কানুনের,	কানুনের,	
chalochchitreer,	চলচচত্রির,	চলচ্চিত্রের,	
ashirbad,	আশীর্বাদ,	আশির্বাদ,	
simaa,	সিমা,	সীমা,	
shansthatir,	সংস্থাটির,	সংস্থাটির,	
byabostho,	ব্যবস্থ,	ব্যাবস্থা,	
asammati,	আসম্ততি,	অসম্মতি,	
tigre,	তীগ্রে,	টাইগার,	
pratijogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
toroonderke,	তরুণ্ডেরকে,	তরুণদেরকে,	
shringey,	শৃঙ্গে,	শৃঙ্গে,	
sompadonkaree,	সম্পাদনকারী,	সম্পাদনকারী,	
atwobishvashi,	আত্মবিশাষী,	আত্মবিশ্বাসী,	
parks,	পার্ক্স,	পার্কস,	
kushumba,	কুশুম্বা,	কুশুম্বা,	
umedpur,	উমেদপুর,	উমেদপুর,	
mododpusto,	মদদপুস্ত,	মদদপুষ্ট,	
chalochchitrai,	চলচচত্রীই,	চলচ্চিত্রই,	
beenis,	বিনিস,	ভেনিস,	
neeshanasa,	নেশনস,	নেশনস,	
muhamad,	মুহামদ,	মুহাম্মদ,	
bhuushito,	ভূষ্টিত,	ভূষিত,	
jhalkathy,	ঝালকাঠি,	ঝালকাঠী,	
dhorer,	ধরের,	ধরের,	
superheiro,	সুপেরেওর,	সুপারহিরো,	
porbotmala,	পর্বততামা,	পর্বতমালা,	
tale,	তেল,	তালে,	
utsahomulak,	উৎসামূলক,	উৎসাহমূলক,	
shtonahenja,	স্তনাহান্জ,	স্টোনহেঞ্জ,	
jokkho,	যক্ষ,	যক্ষ,	
adhyattikotar,	অধ্যাতকিতার,	আধ্যাত্মিকতার,	
berubar,	বেরুবার,	বেরুবার,	
aansarir,	আনসারীর,	আনসারীর,	
chamsky,	চ্যাস্কি,	চমস্কি,	
ankeeta,	অংকিত,	অঙ্কিতা,	
prokalpagulor,	প্রকালগুলোর,	প্রকল্পগুলোর,	
hebhi,	হেভি,	হেভি,	
liseensee,	লিসেন্সি,	লাইসেন্স,	
sangasthaner,	সংস্থানের,	সংস্থানের,	
dhhaloor,	ঢালুর,	ঢালুর,	
kadarer,	কাদারের,	কদরের,	
vobotarini,	ভবতারীণী,	ভবতারিণী,	
ghese,	ঘেসে,	ঘেঁষে,	
shaartho,	সার্থ্য,	স্বার্থ,	
panchasjan,	পঞ্চাশজন,	পঞ্চাশজন,	
transafarma,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
karima,	করিম,	করিম,	
byaboharkarir,	ব্যবহারকারীর,	ব্যবহারকারীর,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
phoxkon,	ফক্সন,	ফক্সকন,	
rato,	রত,	রত,	
nabotom,	নবত,	নবতম,	
letter,	লেটের,	লেটার,	
battery,	ব্যাটারি,	ব্যাটারী,	
skarrt,	স্কার্ট,	স্কার্ট,	
blacker,	ব্লেকার,	ব্ল্যাকের,	
manushti,	মানুষটি,	মানুষটি,	
niqela,	নিকেল,	নিকেল,	
arthanitir,	অর্থনীতির,	অর্থনীতির,	
rakhtokkharone,	রক্তকর্ষণে,	রক্তক্ষরণে,	
utsaha,	উত্সাহ,	উৎসাহ,	
marier,	মেরির,	ম্যারির,	
adarsho,	আদর্শ,	আর্দশ,	
snipar,	স্নীপার,	স্নাইপার,	
superhiro,	সুপারেওর,	সুপারহিরো,	
sbatantrota,	স্বতন্ত্রতা,	স্বতন্ত্রতা,	
dephinition,	ডিফিনিশন,	ডেফিনেশন,	
alankaron,	অলঙ্করণ,	অলঙ্করণ,	
bulan,	বুলান,	বুলান,	
prothar,	প্রথার,	প্রথার,	
susamo,	সুসমম,	সুসম,	
susama,	সুসমা,	সুসম,	
santa,	সান্ত,	স্যান্টা,	
sambhabonao,	সম্ভাবনাও,	সম্ভবনাও,	
par,	পার,	পাব,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
grameryi,	গ্রামেরী,	গ্রামেরই,	
neshanasa,	নেশনশ,	নেশনস,	
paab,	পাব,	পাব,	
manu,	মানু,	মনু,	
roshider,	রসিদের,	রশিদের,	
aiisa,	আইস,	আইএএস,	
debaag,	দেবাগ,	ডিবাগ,	
advanced,	অ্যাডভান্সেড,	অ্যাডভান্সড,	
daackticket,	ডাক্কিকেট,	ডাকটিকিট,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
scholarsip,	স্কলাশশিপ,	স্কলারশিপ,	
hizritey,	হিজরিতে,	হিজরীতে,	
soorarop,	সুরারোপ,	সুরারোপ,	
baait,	বাইট,	বাইট,	
yeaster,	ইয়েস্টার,	ইস্টের,	
morodeho,	মরদেহ,	মরদেহ,	
janosangyog,	জনসঙ্গগ,	জনসংযোগ,	
chalachchitratike,	চলচচচ্ত্রিতিকে,	চলচ্চিত্রটিকে,	
silvi,	সিলভি,	সিলভি,	
aakaabar,	আকাবার,	আকাবার,	
jaaluk,	জালুক,	জ্বলুক,	
skalastik,	স্কলাসিক্তিক,	স্কলাস্টিক,	
mozlish,	মজলিস,	মজলিশ,	
karmasampadan,	কর্মসম্পান,	কর্মসম্পাদন,	
akmot,	একমত,	একমত,	
futanta,	ফুটান্ট,	ফুটন্ত,	
grontho,	গ্রন্থ,	গ্রন্থ,	
oitijjher,	ঐতিহ্যের,	ঐতিহ্যের,	
ekghare,	একফার,	একঘরে,	
moogdal,	মুগদল,	মুগডাল,	
baiqa,	বাইক,	বাইক,	
itastata,	ইটাস্টট,	ইতস্ততঃ,	
mookhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
shaaroker,	সারকের,	স্মারকের,	
gabhaaskar,	গভাস্কার,	গাভাস্কার,	
elaakati,	এলাকাটি,	এলাকাটি,	
kod,	কোদ,	কোড,	
mesenzarer,	মেসেনজারের,	মেসেঞ্জারের,	
khalid,	খালিদ,	খালিদ,	
granthotike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
ezenda,	এজেন্ড,	এজেন্ডা,	
qaro,	কারও,	কারো,	
karpeeta,	কর্পেট,	কার্পেট,	
siddhanto,	সিদ্ধান্ত,	সিদ্ধান্তও,	
hertz,	হার্ট,	হার্জ,	
talaal,	তালাল,	তালাল,	
shilvar,	শিলভার,	সিলভার,	
ssumoo,	শুমু,	সুমো,	
koruna,	করুনা,	করুণা,	
quoota,	কোউট,	কোটা,	
kaalaam,	কালাম,	কালাম,	
heepataitisa,	হাইপোটিটিস,	হেপাটাইটিস,	
charger,	চার্গের,	চার্জার,	
ase,	আসে,	আসে,	
akar,	আকার,	একার,	
jatota,	যতটা,	যতোটা,	
skolaroship,	স্কলারশিপ,	স্কলারশিপ,	
sima,	সিমা,	সীমা,	
shoili,	শৈলি,	শৈলী,	
gobeshana,	গবেষণা,	গবেষনা,	
jibjontu,	জীবজন্তু,	জীবজন্তু,	
madrasa,	মাদ্রাস,	মাদ্রাসা,	
bodhir,	বধির,	বধির,	
besirvagei,	বেশীরভাগেই,	বেশিরভাগেই,	
tirmijii,	তীরমিযী,	তিরমিজি,	
moushumei,	মৌশুমেই,	মৌসুমেই,	
torabgunj,	তরবাগগঞ্জ,	তোরাবগঞ্জ,	
papri,	পাপ্রি,	পাপরি,	
vangey,	ভঙ্গে,	ভাঙ্গে,	
ceramics,	সেরমিক্স,	সিরামিকস,	
protijogiira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
mousumei,	মৌশুমেই,	মৌসুমেই,	
shkora,	স্কোর,	স্কোর,	
haitasha,	হইইতাস,	হাইটস,	
ameriqa,	আমেরিক,	আমেরিকা,	
saida,	সাইড,	সাইদা,	
sukumaree,	শুকুমারী,	সুকুমারী,	
shikara,	শিকার,	শিকার,	
noditikey,	নদীতিকে,	নদীটিকে,	
gononanatyo,	গণানান্য,	গণনাট্য,	
ghurchen,	ঘুরছেন,	ঘুরেছেন,	
karore,	কররে,	কারোর,	
elaka,	ইলাকা,	এলাকা,	
saarbhaarer,	সার্ভারের,	সার্ভারের,	
shommoteete,	সম্মতিতে,	সম্মতিতে,	
ekshor,	একশর,	একশোর,	
deke,	দেকে,	ডেকে,	
paltechey,	পালটেছে,	পাল্টেছে,	
timur,	তিমুর,	তিমুর,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
elaakaati,	এলাকাটি,	এলাকাটি,	
sone,	সোন,	সনে,	
eesa,	এস,	আইএএস,	
pooshtee,	পুষ্টি,	পুষ্টি,	
janmaat,	জন্মাত,	জন্মাত,	
muktoome,	মুকতোমে,	মাকতুম,	
nathibhukteer,	নথিভুক্তির,	নথিভুক্তির,	
reno,	রেনো,	রেনো,	
diznii,	দিজনী,	ডিজনী,	
sollalaho,	সোল্লালাহ,	সল্লাল্লাহু,	
gaddaphii,	গাদ্াাী,	গাদ্দাফী,	
digrike,	দিগ্রীকে,	ডিগ্রিকে,	
kampito,	কম্পিত,	কম্পিত,	
sinake,	সিনকে,	সিনাকে,	
dibet,	দিবেত,	ডিবেট,	
kattor,	কাত্টর,	কট্টর,	
konader,	কোনাদের,	কণাদের,	
folokti,	ফলকটি,	ফলকটি,	
coolin,	কুলিন,	কুলিং,	
tennys,	টেনিস,	টেনিস,	
thaakeni,	থাকেনী,	থাকেনি,	
pingna,	পিঙ্গন,	পিংনা,	
osthisondhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
claud,	ক্লাড,	ক্লাউড,	
volapuq,	ভোলাপুক,	ভোলাপুক,	
shikshakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
onurbor,	অনুর্বর,	অনুর্বর,	
majdur,	মজদুর,	মজদুর,	
shpredashhita,	শ্প্রেডাসিট,	স্প্রেডশীট,	
phern,	ফারন,	ফার্ন,	
korkotkraanti,	কর্তকত্রনি,	কর্কটক্রান্তি,	
sikar,	শিকার,	শিকার,	
marodeho,	মারদেহ,	মরদেহ,	
aashtikota,	অষ্তিকতা,	আস্তিকতা,	
hajat,	হাজাত,	হজত,	
gej,	গেজ,	গেজ,	
consarvation,	কনসার্টেশন,	কনসারভেশন,	
roopa,	রূপ,	রুপা,	
muhu,	মুহু,	মুহু,	
venush,	ভেনুস,	ভেনাস,	
dece,	ডেকে,	ডেকে,	
beeseshyo,	বিশেষ্য,	বিশেষ্য,	
vashik,	ভাষিক,	ভাষিক,	
aarke,	আর্কে,	আরকে,	
bhaskor,	ভাস্কোর,	ভাস্কর,	
oshamorik,	অসামারিক,	অসামরিক,	
jatti,	জাটি,	জাতটি,	
agrodoot,	অগ্রুদত,	অগ্রদূত,	
arthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
jilyaand,	জিল্যান্ড,	জিল্যান্ড,	
hosney,	হোনসে,	হোসনে,	
foltir,	ফলটির,	ফলটির,	
bagdadi,	বাগদাদী,	বাগদাদী,	
udbodhone,	উদ্বোধনে,	উদ্বোধনে,	
gonohottake,	গণহত্তকে,	গণহত্যাকে,	
nadnodeer,	নন্দদীর,	নদনদীর,	
soundorjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
bisnu,	বিষ্ণু,	বিষ্ণু,	
tinti,	তিনটি,	তিনটি,	
niutrino,	নিউট্রিন,	নিউট্রিনো,	
phareqsa,	ফোরেক্স,	ফরেক্স,	
japanira,	জাপানীরা,	জাপানিরা,	
shahoshikatar,	শাশশিকতার,	সাহসিকতার,	
eshtonia,	ইস্টনিয়া,	এস্তোনিয়া,	
nathibhukto,	নথিভূক্ত,	নথিভুক্ত,	
agara,	আগারা,	আগোরা,	
saramiks,	সারামিক্স,	সিরামিকস,	
kortona,	কর্তনা,	করতনা,	
chhaani,	ছানই,	ছানি,	
abhisongson,	অভিসংসন,	অভিশংসন,	
taufik,	তৌফিক,	তৌফিক,	
gabeshonagar,	গবেষণাগার,	গবেষনাগার,	
rahie,	রহি,	রাহি,	
land,	ল্যান্ড,	ল্যান্ড,	
gazipur,	গজীপুর,	গাজিপুর,	
turista,	তুরিষ্ট,	টুরিস্ট,	
ghatir,	ঘটির,	ঘাটির,	
lombatey,	লম্বতে,	লম্বাটে,	
bazaareo,	বাজারেও,	বাজারেও,	
suiti,	সুইটি,	সুইটি,	
kanda,	কান্ড,	কাণ্ড,	
abasarer,	আবাসের,	অবসরের,	
juktarashtreo,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রেও,	
mirakeela,	মিরেলেল,	মিরাকেল,	
karmoi,	কর্মই,	কর্মই,	
pubancholer,	পুবঞ্চলের,	পূর্বাঞ্চলের,	
mahibur,	মহিবুর,	মহিবুর,	
pravu,	প্রভূ,	প্রভু,	
soundarjo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
ballabh,	বললভ,	বল্লভ,	
teto,	টেটো,	তেতো,	
porinoti,	পরিণতি,	পরিণতি,	
pathanatak,	পাঠনাটক,	পথনাটক,	
bhaandaar,	ভান্ডার,	ভাণ্ডার,	
damonmoolok,	দামনমূলক,	দমনমূলক,	
laisensim,	লেসেন্সিং,	লাইসেন্সিং,	
seramiqs,	সেরামিক্স,	সিরামিকস,	
bholapuqa,	ভোলাপুকা,	ভোলাপুক,	
baasake,	বাসাকে,	বাসাকে,	
saqara,	সাকার,	সাকার,	
chorchito,	চর্চিত,	চর্চিত,	
laaiseensh,	লাইসেন্স,	লাইসেন্স,	
armstranj,	আর্সস্র্জ,	আর্মস্ট্রং,	
jathan,	যথন,	যথন,	
sudden,	সুডদেন,	সাডেন,	
hajjirhat,	হাজীরহাত,	হাজিরহাট,	
