armenan,	আর্মেনন,	আর্মেনিয়ান,	
ooeepoka,	উইপোক,	উইপোকা,	
maudeling,	মাউলেন্সিং,	মডেলিং,	
sniper,	স্নিপের,	স্নাইপার,	
lotheran,	ল্যাথারান,	লুথেরান,	
noteti,	নতেটি,	নোটটি,	
chamski,	চমস্কি,	চমস্কি,	
yukeliptas,	ইউকিলবেক্টাস,	ইউক্যালিপ্টাস,	
akrup,	আক্রুপ,	একরূপ,	
diaraesha,	ডায়ারেস,	ডিআরএস,	
second,	সেকন্ড,	সেকেণ্ড,	
kansater,	কাঁটার,	কানসাটের,	
template,	টেম্পালেটে,	টেম্পলেট,	
khalid,	খলিদ,	খালিদ,	
abheedhaanic,	অভিধানিক,	অভিধানিক,	
skirt,	স্কার্ট,	স্কার্ট,	
ovisongson,	অভিসংসন,	অভিশংসন,	
resort,	রিসোর্ট,	রিসোর্ট,	
okkhor,	অক্ষর,	অক্ষর,	
shobnom,	শনবনম,	শবনম,	
trivuz,	ত্রিভুজ,	ত্রিভূজ,	
akmot,	একমত,	একমত,	
mojlishpoor,	মজলিশপুর,	মজলিশপুর,	
parksh,	পার্কস,	পার্কস,	
aairis,	আইরিশ,	আইরিস,	
obosan,	অবসান,	অবসান,	
sucre,	সুক্র,	সাকার,	
mohammad,	মহম্মাদ,	মুহাম্মদ,	
uzbekistaner,	উজ্বেক্ষণেনের,	উজবেকিস্তানের,	
uporital,	উপরিতাল,	উপরিতল,	
lat,	লত,	লাট,	
karkatkranti,	করককরনান্ত্রী,	কর্কটক্রান্তি,	
grambaseeo,	গ্রাম্বাসিও,	গ্রামবাসীও,	
hossne,	হোসনে,	হোসনে,	
sheepha,	সেফ,	শেফ,	
srisri,	শ্রীষী,	শ্রীশ্রী,	
scall,	স্কেল,	এসকল,	
nirupita,	নিরূপিতা,	নিরূপিত,	
mmeloborrne,	মেলোবর্ণে,	মেলবোর্নে,	
shiropar,	শিরপার,	শিরোপার,	
sita,	সীতা,	সিট,	
parqa,	পর্ক,	পার্ক,	
jeten,	যেতেন,	জেতেন,	
ekhate,	একাতে,	একহাতে,	
ingrejder,	ইংরেজদের,	ইংরেজদের,	
ivir,	আভির,	এভার,	
romancha,	রোমাঞ্চা,	রোমাঞ্চ,	
harbour,	হারবোর,	হারবার,	
prakalpatike,	প্রকালপটিকে,	প্রকল্পটিকে,	
elakati,	এলাকাটি,	এলাকাটি,	
faskari,	ফসসকারী,	ফাঁসকারী,	
bedke,	বেদকে,	বেদকে,	
traap,	ট্রাপ,	ট্রুপ,	
dhorer,	ধরের,	ধরের,	
azadir,	আজাদির,	আজাদীর,	
location,	লোকেশন,	লোকেশন,	
sima,	সিমা,	সীমা,	
sanatani,	সানাটানি,	সনাতনী,	
anyarup,	অন্যরূপ,	অন্যরূপ,	
deejeejer,	ডিজিজের,	ডিজিজের,	
poricchonnota,	পরিচ্ঞনাতা,	পরিচ্ছন্নতা,	
ceramiqs,	কেরামিক্স,	সিরামিকস,	
schalarship,	স্কলারশিপ,	স্কলারশিপ,	
gudamjat,	গুদমাজাত,	গুদামজাত,	
skarta,	স্কার্ট,	স্কার্ট,	
bhabuk,	ভবুুক,	ভাবুক,	
batsmani,	বৎসম্নী,	ব্যাটসম্যানই,	
susamo,	সুসম,	সুসম,	
horidar,	হরিদার,	হরিদ্বার,	
daayitto,	দৈত্য,	দায়িত্ব,	
ghoomachhe,	ঘুমাচ্ছে,	ঘুমাচ্ছে,	
uroor,	উরুর,	উরুর,	
itastatah,	ইতসসতত,	ইতস্ততঃ,	
udor,	উদর,	উদর,	
qoyeri,	কয়েরি,	কোয়েরি,	
noitikotabodh,	নৈতিকাবাধ,	নৈতিকতাবোধ,	
apoharon,	অপহরণ,	অপহরন,	
anchalsamuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
madhukooree,	মধুকারী,	মাধুকরী,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
planea,	প্লেনে,	প্লেনে,	
gonosochetonota,	গণস্বচেতনাতা,	গণসচেতনতা,	
mookhomandol,	মুখমন্ডল,	মুখমণ্ডল,	
baasaate,	বাসাতে,	বাসাতে,	
haak,	হাক,	হুক,	
highcommissioney,	হাইকমিশনে,	হাইকমিশনে,	
nevate,	নেভাতে,	নেভাতে,	
awatara,	অহতার,	অবতার,	
jaank,	জাঁক,	জাঁক,	
trup,	ট্রাপ,	ট্রুপ,	
manush,	মানুস,	মানুষ,	
parjotaker,	পর্যটকের,	পর্যটকের,	
jerusalema,	জেরুসামেলা,	জেরুসালেম,	
saamaanya,	সামান্য,	সামান্য,	
maadhoobir,	মাধবীর,	মাধবীর,	
padee,	পেদী,	পাড়ে,	
abodamoner,	অবদামনের,	অবদমনের,	
gabhaaskar,	গভাষ্কার,	গাভাস্কার,	
bunat,	বুনত,	বুনট,	
instant,	ইন্সটন্ট,	ইনস্ট্যান্ট,	
gondho,	গন্ধ,	গন্ধ,	
kottor,	কত্বর,	কট্টর,	
mesenzar,	মেশেঞ্জার,	মেসেঞ্জার,	
kaale,	কালে,	কালে,	
keyuyi,	কেওই,	কেউই,	
oncholtee,	অঞ্চলটি,	অঞ্চলটি,	
sabhanetree,	সাভনেত্রী,	সভানেত্রী,	
ganoporibahan,	গণপরিবহান,	গণপরিবহন,	
moushumer,	মৌসমের,	মৌসুমের,	
craze,	ক্রেজ,	ক্রেজ,	
dorjee,	দর্জি,	দরজি,	
ansareer,	অনসারীর,	আনসারীর,	
swajaner,	স্বজনের,	স্বজনের,	
rejidensh,	রেজিডেন্স,	রেসিডেন্স,	
shringa,	শ্রঙ্গ,	শৃঙ্গ,	
hunayin,	হানাইন,	হুনাইন,	
shoreefer,	শরীফের,	শরিফের,	
firoz,	ফিরোজ,	ফিরোজ,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
chintaikaree,	চিন্তাকারী,	ছিনতাইকারী,	
creshcent,	ক্রেসেন্ট,	ক্রিসেন্ট,	
bbiswashke,	বিশ্বসাকে,	বিশ্বাসকে,	
meshenjar,	মেশেঞ্জার,	মেসেঞ্জার,	
colahol,	কোলাহল,	কোলাহল,	
vabani,	ভবনী,	ভবানী,	
jolaatanko,	জলাানক,	জলাতঙ্ক,	
dargah,	দররগ,	দরগাহ,	
taphaat,	টফফাত,	তফাৎ,	
aaeereshe,	আইরেশে,	আইরেসে,	
bed,	বেড,	বেদ,	
doojoo,	দুজো,	ডোজো,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
dhila,	ঢিল,	ঢিলা,	
oichchik,	উচ্ছিক,	ঐচ্ছিক,	
bhabani,	ভবনী,	ভবানী,	
meyiler,	মেলের,	মেইলের,	
dooborira,	দুবরীরা,	ডুবুরিরা,	
haphsa,	হাফস,	হাফসা,	
nebhate,	নেভাতে,	নেভাতে,	
kormer,	কর্মের,	কর্মের,	
nisader,	নিষাদের,	নিষাদের,	
chalochchitrake,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
artilary,	আর্টিলারি,	আর্টিলারি,	
daakteekite,	দাক্তিকিতে,	ডাকটিকিটে,	
poddhotiteyi,	পদ্ধতিতেই,	পদ্ধতিতেই,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
niketaner,	নিকেতনের,	নিকেতনের,	
pratiyogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
zerusalem,	জেরুরিমাম,	জেরুজালেম,	
mehonnotee,	মেহন্যতি,	মেহনতি,	
hiiragana,	হীরাগণ,	হিরাগানা,	
farn,	ফরণ,	ফার্ন,	
refleks,	রেফলিক্স,	রিফ্লেক্স,	
janomukhi,	জনমুখী,	জনমুখী,	
zubokder,	যুবকদের,	যুবকদের,	
yankee,	যাংকি,	ইয়াংকি,	
muldhara,	মূলধারা,	মূলধারা,	
satarkota,	সতর্কতা,	সতর্কতা,	
chalachchitrei,	চলচ্ছিত্রেই,	চলচ্চিত্রেই,	
chaanu,	চানু,	চানু,	
biphal,	বিফল,	বিফল,	
mawdel,	মাদেল,	মডেল,	
nuhash,	নুঃস,	নুহাশ,	
kanaflikta,	কনফালিক্ষা,	কনফ্লিক্ট,	
bhogini,	ভোগিনী,	ভগিনী,	
hitakar,	হিতাকার,	হিতকর,	
basano,	বসন,	বসানো,	
duplex,	ডাপলিক্স,	ডুপ্লে,	
hedje,	হেজে,	হেজ,	
bonoshri,	বনস্রী,	বনশ্রী,	
baron,	বারণ,	ব্যারন,	
cutie,	কুটিই,	কিউটি,	
atiteo,	অতিতেও,	অতীতেও,	
aasar,	আসার,	আসর,	
chalochchitragulor,	চলি্ট্রগুলোর,	চলচ্চিত্রগুলোর,	
paree,	প্যারি,	পাড়ে,	
musalmankey,	মুসম্লানকে,	মুসলমানকে,	
byabaharkariyi,	ব্যবহারকারী,	ব্যবহারকারীই,	
lakkheryo,	লক্ষ্যের্য,	লক্ষেরও,	
rephlex,	রেফলেক্স,	রিফ্লেক্স,	
hari,	হ্যারি,	হরি,	
sharif,	শেরিফ,	শরিফ,	
aparagata,	অপরাগত,	অপারগতা,	
sahozlabhbhatar,	সহজলভাব্াতার,	সহজলভ্যতার,	
koilaash,	কৈলাশ,	কৈলাস,	
kiandi,	ক্যান্ডি,	ক্যান্ডি,	
tet,	টেট,	টেট,	
ekar,	একার,	একার,	
developer,	ডেভেলপার,	ডেভলপার,	
indrer,	ইন্ডারের,	ইন্দ্রের,	
fansi,	ফাঁসি,	ফাঁসী,	
soomo,	সোমো,	সুমো,	
madol,	মদল,	মাদল,	
skalarasipa,	স্কলারিশিপ,	স্কলারশিপ,	
uporitale,	উপরিতলে,	উপরিতলে,	
seekkhokke,	শিক্ষকে,	শিক্ষককে,	
eshiyatiqa,	এসিয়েটিক,	এশিয়াটিক,	
harja,	হর্জ,	হার্জ,	
jones,	জোসে,	জোন্স,	
malaika,	মালাইকা,	মালাইকা,	
annimated,	অন্যামিটেড,	এনিমেটেড,	
madeelim,	মেডলিং,	মডেলিং,	
annorup,	অন্যরূপ,	অন্যরূপ,	
jaroori,	জরুরী,	জরূরী,	
osontos,	অসন্তাস,	অসন্তোষ,	
mmesenjar,	মেশেঞ্জার,	মেসেঞ্জার,	
daakteekit,	দাক্তিকিত,	ডাকটিকিট,	
tintike,	তিনটিকে,	তিনটিকে,	
romantic,	রোমান্তিক,	রোমান্টিক,	
shatodha,	শতধা,	শতধা,	
sifi,	সিফি,	সাইফাই,	
matrirup,	মাতৃরীপ,	মাতৃরূপ,	
toufik,	তৌফিক,	তৌফিক,	
mesenjjar,	মেশেঞজজার,	মেসেঞ্জার,	
bufar,	বুফার,	বাফার,	
iyanqi,	যয়াঙ্ক,	ইয়াংকি,	
janachhe,	জনচ্যে,	জানাচ্ছে,	
mukhamandol,	মুখমন্ডল,	মুখমণ্ডল,	
fall,	ফল,	ফল,	
bhagirath,	ভাগীরথ,	ভগীরথ,	
istan,	ইস্টান,	স্টোন,	
tecnocrat,	টেকন্ক্রট,	টেকনোক্র্যাট,	
achish,	আশিষ,	আছিস,	
aashirbaad,	আশীর্বাদ,	আশির্বাদ,	
elakaao,	এলাকাও,	এলাকাও,	
amittrakkhor,	আমিত্রকক্ষর,	অমিত্রাক্ষর,	
mache,	মেচে,	মাছে,	
dharavahiktite,	ধরাবিধিক্তিতে,	ধারাবাহিকটিতে,	
nagorikera,	নাগরিকের,	নাগরিকেরা,	
vabnake,	ভবনাকে,	ভাবনাকে,	
turkey,	তার্কী,	তুর্কি,	
durgatsabe,	দুর্গটসেব,	দুর্গোৎসবে,	
sachetonbhabe,	সচেতনভাবে,	সচেতনভাবে,	
galpokar,	গল্পকার,	গল্পকার,	
larshon,	লর্ষণ,	লারসন,	
notey,	নটে,	নোটে,	
fasi,	ফাজি,	ফাঁসী,	
jinsha,	জিনসস,	জিন্স,	
jomaanor,	জমানোর,	জমানোর,	
shayatana,	স্যাটান,	শয়তান,	
puzita,	পুজিত,	পূজিতা,	
harysher,	হ্রারিসের,	হ্যারিসের,	
saseza,	সােজ,	সসেজ,	
bolatkar,	বলতাকার,	বলাৎকার,	
avatara,	অভতার,	অবতার,	
noitikatar,	নৈতিকাতার,	নৈতিকতার,	
aashor,	আশর,	আসর,	
hoonayin,	হোনাইন,	হুনাইন,	
karpeeta,	কর্পেট,	কার্পেট,	
dibug,	দিবিগ,	ডিবাগ,	
songosthatir,	সংস্থাটির,	সংস্থাটির,	
edaningkale,	এডনাইংকালে,	ইদানীংকালে,	
deambakriti,	দিম্বাকৃতি,	ডিম্বাকৃতি,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
eura,	ইউর,	ইউরো,	
bojhey,	বোঝে,	বোঝে,	
melbourney,	মেলবর্ণে,	মেলবোর্নে,	
bheenama,	ভেনামা,	ভেনম,	
rananganey,	রণাঙ্গনে,	রণাঙ্গনে,	
moshzidtike,	মোশজিটিকে,	মসজিদটিকে,	
joubanbatee,	যৌবনবাতী,	যৌবনবতী,	
mekbeth,	মেকবেথ,	ম্যাকবেথ,	
anchaltite,	অঁচলটিতে,	অঞ্চলটিতে,	
valobasar,	ভালবাসার,	ভালোবাসার,	
hostantor,	হস্তান্তর,	হস্তান্তর,	
jubokshoho,	যুবক্ষহ,	যুবকসহ,	
baasake,	বাসাকে,	বাসাকে,	
poschime,	পশ্চিমে,	পশ্চিমে,	
boron,	বরণ,	বোরন,	
itostato,	ইতস্টট,	ইতস্ততঃ,	
mohibur,	মহিবুর,	মহিবুর,	
logic,	লোগিক,	লজিক,	
heejee,	হেজি,	হেজ,	
hyaloin,	হ্যালোন,	হ্যালোইন,	
proshtotto,	প্রস্তত্ত্ব,	প্রস্ত্তত,	
danaqana,	ডানাকান,	ডানকান,	
sansthatir,	সংস্থাটির,	সংস্থাটির,	
korkotkranti,	কর্ককরনান্ট্রি,	কর্কটক্রান্তি,	
chidrapathe,	চিদ্রাপথে,	ছিদ্রপথে,	
iyutha,	ইয়েথ,	ইয়ুথ,	
cool,	কোল,	কুল,	
pettern,	প্টার্ন,	প্যাটার্ন,	
raagei,	রাগেই,	রাগেই,	
hili,	হিলি,	হিলি,	
shaleha,	সালেহ,	সালেহা,	
besuro,	বেসুর,	বেসুর,	
billaho,	বিলাহ,	বিল্লাহ,	
omkar,	অমকার,	ওঙ্কার,	
zubokti,	যুবক্তি,	যুবকটি,	
sastra,	শ্বস্তা,	শাস্ত্র,	
prosadhani,	প্রসাধানী,	প্রসাধনী,	
abosorer,	অবসরের,	অবসরের,	
kiiborde,	কীবর্দে,	কীবোর্ড,	
akpaase,	আকপাসে,	একপাশে,	
advanced,	অ্যানভান্ডেস,	অ্যাডভান্সড,	
michir,	মিচির,	মিচির,	
daankan,	ডাংকান,	ডানকান,	
shoo,	শো,	শো,	
atwabishvashi,	অত্মবিবাশিষী,	আত্মবিশ্বাসী,	
churger,	চুর্গের,	চার্জের,	
udvaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
boudhheer,	বৌদ্ধির,	বৌদ্ধের,	
nartana,	নর্তন,	নর্টন,	
oocchoseeto,	উচ্চসিত,	উচ্ছসিত,	
conservation,	কনস্রাভেশন,	কনসারভেশন,	
eskol,	এসকল,	এসকল,	
jatee,	জাটি,	যাতি,	
miley,	মাইলে,	মিলে,	
lagic,	লাগিক,	লজিক,	
tokee,	টোকি,	তকি,	
podarthobidder,	পদার্থবিদদের,	পদার্থবিদদের,	
barbadoj,	বারবোদজ,	বার্বাডোজ,	
ovishangson,	অভিষাংসন,	অভিশংসন,	
pra,	প্রা,	প্রো,	
aashtikota,	আস্টিকোতা,	আস্তিকতা,	
bhoolapuka,	ভুলাপুকা,	ভোলাপুক,	
seektara,	সিক্টার,	সেক্টর,	
pashan,	পাশন,	পাষাণ,	
jibonto,	জীবন্ত,	জীবন্ত,	
korimke,	করিমকে,	করিমকে,	
qanaphliqta,	কনফলিক্স,	কনফ্লিক্ট,	
mashtersh,	ম্যাস্টার্স,	মাস্টার্স,	
shcholastic,	স্কলাস্তিক,	স্কলাস্টিক,	
cholochchitroke,	চলচ্চিত্রকে,	চলচ্চিত্রকে,	
shukranu,	শুক্রাণু,	শুক্রানু,	
phareksha,	ফরেক্স,	ফরেক্স,	
breq,	ব্রেক,	ব্রেক,	
paripaker,	পরিপকের,	পরিপাকের,	
sahochorjo,	সহচর্য,	সাহচর্য,	
udbodhaney,	উদ্বোধনে,	উদ্বোধনে,	
shamuker,	স্মুলের,	শামুকের,	
bhenise,	ভেনিসে,	ভেনিসে,	
gatrey,	গাত্রে,	গাত্রে,	
korush,	ক্রুশ,	ক্রুশ,	
prochondota,	প্রচন্দতা,	প্রচণ্ডতা,	
shhikar,	শিকার,	শিকার,	
cuti,	কুটি,	কিউটি,	
primo,	প্রিমো,	প্রিমো,	
obe,	অবে,	ওবিই,	
behramporer,	বেহরামপার,	বহরমপুরের,	
ojowno,	অজনো,	অযৌন,	
bhromonkale,	ভ্রমণকালে,	ভ্রমণকালে,	
somoshtigoto,	সমস্তিগত,	সমষ্টিগত,	
laaiseensh,	লাইেন্স,	লাইসেন্স,	
bhittiei,	ভিটেই,	ভিত্তিই,	
coshon,	কোসন,	চোষণ,	
oncholgulir,	অঞ্চললুরির,	অঞ্চলগুলির,	
vashik,	ভাষিক,	ভাষিক,	
shibraj,	শিব্রাজ,	শিবরাজ,	
dollu,	দল্ু,	ডলু,	
vageryi,	ভাগেরই,	ভাগেরই,	
sachetanotamulak,	সচেনতানামূলক,	সচেতনতামূলক,	
vishad,	বিষাদ,	বিষদ,	
bongobondhu,	বঙ্গবন্ধু,	বঙ্গবন্ধু,	
buildar,	বিল্ডার,	বিল্ডার,	
mithener,	মিঠেনের,	মিথেনের,	
neeshanasa,	নিশানস,	নেশনস,	
gitikobita,	গিতিকবিতা,	গীতিকবিতা,	
ciima,	চিম,	সীমা,	
songosthati,	সংস্থাটি,	সংস্থাটি,	
mookhomaundoler,	মুখমান্ডলের,	মুখমণ্ডলের,	
potochitro,	পতচচতত্র,	পটচিত্র,	
cholochchitreer,	চলচিত্রীর,	চলচ্চিত্রের,	
bhageroi,	ভাগেরও,	ভাগেরই,	
vabotarini,	ভবতরণীরী,	ভবতারিণী,	
ameriqa,	আমেরিকা,	আমেরিকা,	
graambaashio,	গ্রামাবায়া,	গ্রামবাসীও,	
shaahaab,	সাহাব,	সাহাব,	
bishshaashi,	বিশ্বাসী,	বিশ্বাসই,	
koda,	কোড,	কোডা,	
bechaa,	বেচা,	বেচা,	
alpakichudin,	অল্পকিউণিদি,	অল্পকিছুদিন,	
khoor,	খোর,	ক্ষুর,	
vaphara,	ভাফার,	বাফার,	
feroz,	ফেরজ,	ফিরোজ,	
postac,	পোস্টাক,	পোস্টকে,	
dabhara,	ডাভার,	ডোভার,	
meghnadbadh,	মেঘন্দবাধ,	মেঘনাদবধ,	
parbotto,	পর্বত্ব,	পার্বত্য,	
jeansh,	জিনস,	জিন্স,	
mag,	ম্যাগ,	এমএজি,	
ooeepokar,	উইপোকার,	উইপোকার,	
chalochchitraeei,	চলচ্ছিতারী,	চলচ্চিত্রেই,	
govornorer,	গভর্নরের,	গভর্ণরের,	
grantha,	গ্রন্থ,	গ্রন্থ,	
konistho,	কনিষ্ঠ,	কনিষ্ঠ,	
bhagerei,	ভাগেরই,	ভাগেরই,	
sahazlabhbhatar,	সহজলাভ্বতার,	সহজলভ্যতার,	
model,	মোদেল,	মডেল,	
nagnyo,	নাগ্ন,	নগণ্য,	
qrisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
ganosochetonota,	গণসনচেতনতা,	গণসচেতনতা,	
donate,	দোনাতে,	ডোনাট,	
bhaandaar,	ভান্ডার,	ভাণ্ডার,	
shikhbey,	শিখবে,	শিখবে,	
esiyatika,	এসিয়েট,	এশিয়াটিক,	
porissrom,	পরিস্রোরাম,	পরিশ্রম,	
chalche,	চালচে,	চলছে,	
shalsa,	সলস,	সালসা,	
nirmankaj,	নির্মাণ্যক,	নির্মাণকাজ,	
jyoistho,	জ্যৈষ্ঠ,	জ্যৈষ্ঠ,	
boonot,	বুনোট,	বুনট,	
heepataitisa,	হিপোটাটিস,	হেপাটাইটিস,	
jeshtha,	জেষ্ঠ,	জ্যেষ্ঠা,	
keu,	কেউ,	কেউ,	
torunderke,	তরুন্দেরকে,	তরুণদেরকে,	
dhas,	ধ্বাস,	ধস,	
longghoner,	লঙ্ঘনের,	লংঘনের,	
nazi,	নাজি,	নাত্সি,	
joruri,	জরুরী,	জরূরী,	
militari,	মিলিটারি,	মিলিটারি,	
toubaar,	তৌবার,	তওবার,	
jakso,	যক্ষ,	যক্ষ,	
hiushtoner,	হিউস্টনের,	হিউস্টনের,	
vittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
heepatitis,	হিপোটাটিস,	হেপাটাইটিস,	
onkar,	অঙকার,	ওঙ্কার,	
sadbi,	সদবি,	সাধ্বী,	
elgoridom,	এলগোরোডিং,	এলগরিদম,	
bhortuki,	ভর্তুকি,	ভর্তুকি,	
shoshoa,	শোষ,	শশা,	
jakkha,	যক্ষ,	যক্ষ,	
lokshero,	লক্ষেরও,	লক্ষেরও,	
kharar,	খারার,	খরার,	
uthhe,	উঠে,	উঠে,	
priimo,	প্রীম,	প্রিমো,	
elakashaho,	এলাকাসহ,	এলাকাসহ,	
shapad,	সপস,	শ্বাপদ,	
ponjjikar,	পঞ্জিকার,	পঞ্জিকার,	
yathaarthabhaabe,	যথারথভাবে,	যথার্থভাবে,	
noditir,	নদীটির,	নদীটির,	
pillai,	পিল্লে,	পিল্লাই,	
hiragana,	হিরাগণ,	হিরাগানা,	
setike,	সেটিকে,	সেটিকে,	
cloud,	ক্লাড,	ক্লাউড,	
photanor,	ফটনারোর,	ফোটানোর,	
torcarir,	তরকারির,	তরকারীর,	
nodike,	নদীকে,	নদীকে,	
chashe,	চাষে,	চেস,	
alubokhara,	অলুলবধার,	আলুবোখারা,	
klauda,	ক্লাড,	ক্লাউড,	
panjikar,	পঞ্জিকার,	পঞ্জিকার,	
qarpeta,	কর্পেট,	কার্পেট,	
nirorthak,	নিরর্থক,	নিরর্থক,	
madhobeer,	মাধবীর,	মাধবীর,	
asabhyaa,	অসভ্য,	অসভ্য,	
baharampurer,	বহহারপুরের,	বহরমপুরের,	
sangbadmadhyame,	সংবাদমাধ্যমে,	সংবাদমাধ্যমে,	
sbatantrata,	স্বতন্ত্রনা,	স্বতন্ত্রতা,	
durtomo,	দূর্তম,	দূরতম,	
aidii,	আদি,	আইডিই,	
moldowa,	মোদ্যও,	মলদোভা,	
lagto,	লাগ্টো,	লাগতো,	
sachindra,	সচীন্দ্র,	শচীন্দ্র,	
directorete,	ডিরেক্টরটিতে,	ডিরেক্টরেট,	
carymb,	কেরিম্ব,	করিম,	
jerusalemer,	জেরুসামিলের,	জেরুজালেমের,	
muchi,	মুচি,	মুচি,	
niranjan,	নিরাজন,	নিরঞ্জন,	
rutina,	রুটিন,	রুটিন,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
niro,	নিরো,	নির,	
plane,	প্লেন,	প্লেন,	
sathikota,	সথীকতা,	সঠিকতা,	
deputi,	দিপুতি,	ডেপুটি,	
badana,	বাদনা,	বদনা,	
krita,	কৃতা,	ক্রীট,	
lajik,	লাজিক,	লজিক,	
chinto,	চিন্ত,	চিনতো,	
salafeta,	সলফেট,	সালফেট,	
aalkatra,	আলকাতার,	আলকাতরা,	
sushri,	সুশরী,	সুশ্রী,	
carpete,	কারপেটে,	কার্পেটে,	
dayra,	দায়া,	ডেরা,	
byabaharkareei,	ব্যবহারকারী,	ব্যবহারকারীই,	
mondopey,	মন্ডপে,	মন্ডপে,	
shnaipara,	স্নাইপার,	স্নাইপার,	
rajballav,	রাজবল্য,	রাজবল্লভ,	
gara,	গার,	গোর,	
jeebonjapon,	জীবনযাপন,	জীবনযাপন,	
chhed,	ছেদ,	ছেদ,	
vishnuke,	ভিষ্ণুকে,	বিষ্ণুকে,	
ghosito,	ঘষিত,	ঘোষিত,	
ketechilo,	কেটেছিল,	কেটেছিল,	
mitro,	মিত্রো,	মিত্রও,	
orhan,	অর্ণ,	ওরহান,	
baarder,	বার্ডের,	বার্ডের,	
bhittie,	ভিটি,	ভিত্তিই,	
ghaghat,	ঘাঘাত,	ঘাঘট,	
barbe,	বর্বে,	বাড়বে,	
ddhake,	ঢেকে,	ঢেকে,	
juktorastrey,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
saras,	সরস,	সরস,	
karka,	কর্ক,	কার্ক,	
mousumti,	মৌসম্ি,	মৌসুমটি,	
kemaney,	কেমনে,	কেমনে,	
pratijogira,	প্রতিযোগিরা,	প্রতিযোগীরা,	
astheesandhi,	অস্থিসন্ধি,	অস্থিসন্ধি,	
volte,	ভলতে,	ভল্ট,	
ispredshiit,	স্প্রেস্ডিত,	স্প্রেডশীট,	
sanaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
dubureer,	দুবীরীর,	ডুবুরির,	
drishtiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
maudelgulo,	মাদেলগুলো,	মডেলগুলো,	
casper,	ক্যাপের,	ক্যাসপার,	
mumtaj,	মুমতজ,	মুমতাজ,	
homshke,	হমস্কে,	হোমসকে,	
sabaner,	সবনের,	সাবানের,	
pleena,	প্লেন,	প্লেন,	
shattoki,	সত্যকী,	সাত্যকি,	
rajashri,	রাজশরী,	রাজশ্রী,	
minishtar,	মিনিস্টার,	মিনিস্টার,	
olympicer,	অলিম্পিকের,	অলিম্পিকের,	
tiunara,	টিউনার,	টিউনার,	
chesha,	চেশ,	চেস,	
