nirmaankaj,	নির্মাঙ্জক,	নির্মাণকাজ,	
foolkopi,	ফলককপি,	ফুলকপি,	
nagoriker,	নাগরীকের,	নাগরিকের,	
santaa,	সন্তা,	সান্তা,	
aajiboner,	আজীবনের,	আজীবনের,	
kandy,	কন্ডি,	ক্যান্ডি,	
manikya,	মনিক্য,	মানিক্য,	
khanonkaaj,	খননাকজা,	খননকাজ,	
kaptai,	কাপতাই,	কাপ্তাই,	
gosthyi,	গোষ্ঠি,	গোষ্ঠীই,	
thechar,	ঠেছার,	থ্যাচার,	
tamplate,	তামপলাতে,	টেম্পলেট,	
bongobondhu,	বনবগ্ধু,	বঙ্গবন্ধু,	
ase,	আসে,	আসে,	
juktarashtrosaha,	যুক্ততরস্রস্থাহ,	যুক্তরাষ্ট্রসহ,	
larson,	লার্সন,	লারসন,	
eastar,	আসতার,	ইস্টার,	
zerusalem,	জারুসমেলে,	জেরুজালেম,	
potchitrer,	পতিচিত্রের,	পটচিত্রের,	
uddhrity,	উদ্ধৃতি,	উদ্ধৃতি,	
sofi,	সফী,	সোফি,	
inastyanta,	ইনস্যান্ট,	ইনস্ট্যান্ট,	
par,	পার,	পাব,	
sammatite,	সম্মতিতে,	সম্মতিতে,	
phiqsim,	ফিক্সিং,	ফিক্সিং,	
saalsa,	সাল্স,	সালসা,	
thailand,	থাইল্যান্ড,	থাইল্যান্ড,	
nirapekkhotar,	নিরপেক্ষাত,	নিরপেক্ষতার,	
proteesthar,	প্রতিস্থার,	প্রতিষ্ঠার,	
bopon,	বপণ,	বপন,	
transfarm,	ট্রানসসর্র,	ট্রান্সফর্ম,	
deil,	ডেল,	ডেইল,	
vasturyi,	ভাষ্তুরী,	বস্তুরই,	
shansthatikey,	সাংস্থাতিকে,	সংস্থাটিকে,	
postkay,	পস্তকে,	পোস্টকে,	
antarctica,	অন্তার্টিক্স,	অ্যান্টার্কটিকা,	
samanwitavabe,	সমম্নাবিতভাবে,	সমন্বিতভাবে,	
porijoner,	পরিজনের,	পরিজনের,	
sayanaida,	সায়ানাইড,	সায়ানাইড,	
meterey,	মেতারে,	মিটারে,	
toroonderke,	তর্ণাদ্রেকে,	তরুণদেরকে,	
pouchhute,	পৌছুতে,	পৌঁছুতে,	
dibet,	ডিবেত,	ডিবেট,	
cheentai,	চিন্টাই,	ছিনতাই,	
hoilo,	হৈল,	হইল,	
answereer,	অন্ববারীর,	আনসারীর,	
mookhomandoler,	মুখান্দলের,	মুখমণ্ডলের,	
bamnii,	বামনী,	বামনী,	
tuning,	টুনিং,	টিউনিং,	
anchaltite,	অন্চলতিতে,	অঞ্চলটিতে,	
baire,	বাইরে,	বাইরে,	
osocheton,	অস্চেতন,	অসচেতন,	
residence,	রেসেেন্ে,	রেসিডেন্স,	
samosher,	সমশের,	সমশের,	
superheroo,	সুপেরেরও,	সুপারহিরো,	
aukhando,	অখন্দ,	অখন্ড,	
moochi,	মুচি,	মুচি,	
bites,	বিটেস,	বাইটস,	
murali,	মুরালী,	মুরলী,	
atiteo,	আতিতে,	অতীতেও,	
dekhbaar,	দেখবার,	দেখবার,	
protijogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
aireshe,	আইরেশে,	আইরেসে,	
spreedashita,	স্প্রেপেদিত,	স্প্রেডশীট,	
nitikatha,	নিতিকথ,	নীতিকথা,	
oitijhya,	অতিঘ্যা,	ঐতিহ্য,	
brindabane,	ব্রিন্বাদেনে,	বৃন্দাবনে,	
abheedhaaneeck,	অভিভানিক,	অভিধানিক,	
philippiner,	ফিলিপিনের,	ফিলিপাইনের,	
hazirhaat,	হাজিরাহাত,	হাজিরহাট,	
seo,	সিও,	সেও,	
dephineshhana,	ডেফেনিনেশন,	ডেফিনেশন,	
oboshore,	অবশরে,	অবসরে,	
basaate,	বাসাতে,	বাসাতে,	
shakkhatkarer,	শাক্ষাতকারের,	সাক্ষাত্কারের,	
kakhonyoba,	কন্যন্যব,	কখনওবা,	
kaande,	কান্ডে,	কাণ্ডে,	
mashtersh,	মাস্টার্স,	মাস্টার্স,	
korecha,	করেচা,	করেছ,	
pudding,	পাদিংং,	পুডিং,	
ganoporibahoner,	গণপপরবীহণের,	গণপরিবহনের,	
shikhbey,	শিক্বে,	শিখবে,	
deepan,	ডিপন,	দীপন,	
gostii,	গোষ্তি,	গোষ্ঠীই,	
taronee,	তরণণী,	তরণী,	
arakan,	আরাকান,	আরাকান,	
ducktickete,	ডাকিটিকেতে,	ডাকটিকিটে,	
vedanta,	বেদন্ত,	বেদান্ত,	
fokskon,	ফককসণ,	ফক্সকন,	
bagdade,	বাগদদে,	বাগদাদে,	
asoociates,	অসুচেতেস,	এসোসিয়েটস,	
abheedhanic,	অভিনানিক,	অভিধানিক,	
akkharke,	অক্ষারকে,	অক্ষরকে,	
horidare,	হরিদারে,	হরিদ্বারে,	
surkey,	সূর্কে,	সুরকে,	
jawhar,	জাহার,	জহর,	
choudhoorir,	চৌদুরীর,	চৌধুরীর,	
manohputa,	মহনপুত,	মনঃপুত,	
beetlaser,	বিটালের,	বিটলসের,	
danab,	ডানবব,	দানব,	
uporital,	উপরিতাল,	উপরিতল,	
taorat,	তারাত,	তওরাত,	
podarthobidder,	পদর্ববাদ্থীদের,	পদার্থবিদদের,	
ameerica,	আমেরিক,	আমেরিকা,	
ingrezraa,	ইন্গের্জার,	ইংরেজরা,	
ranadeep,	রানাদিপ,	রণদীপ,	
amorendra,	অমোরেন্দ্র,	অমরেন্দ্র,	
porishkaron,	পরিশ্কাণ,	পরিষ্করণ,	
rohasyer,	রহস্যের,	রহস্যের,	
qlauda,	ক্লাড,	ক্লাউড,	
naphisa,	নাফিস,	নাফিসা,	
shoilee,	শৈলি,	শৈলী,	
somosto,	সমস্ত,	সমস্ত,	
hights,	হাইটস,	হাইটস,	
olympic,	অলমিপ্ক,	অলিম্পিক,	
taholei,	তহলেই,	তাহলেই,	
olympiker,	অলমিপকের,	অলিম্পিকের,	
aastikotaa,	আস্তিকততা,	আস্তিকতা,	
akhhunno,	অখুন্ন,	অক্ষুণ্ণ,	
chirantan,	চিরান্তন,	চিরন্তন,	
varson,	ভারসন,	ভারশন,	
charbon,	চর্বন,	চর্বন,	
mookhbaundho,	মুখান্্দ,	মুখবন্ধ,	
vumir,	ভূমির,	ভূমির,	
patengar,	পটেন্গার,	পতেঙ্গার,	
shcholastiq,	সক্সালস্তিক,	স্কলাস্টিক,	
auttacharer,	আত্তচাচের,	অত্যাচারের,	
plus,	প্লাস,	প্লাস,	
bordhitangso,	বর্ধিতাংশং,	বর্ধিতাংশ,	
madeling,	মেডালিং,	মডেলিং,	
dhhaalur,	ঢালুর,	ঢালুর,	
jacksoner,	জাক্সণের,	জ্যাকসনের,	
