bomkesh,	বোমকেশ,	ব্যোমকেশ,	
ashammatite,	আসমাতিতে,	অসম্মতি,	
joki,	জকি,	জকি,	
gosthike,	গস্থীকে,	গোষ্ঠীকে,	
longhan,	লঙ্ঘন,	লংঘন,	
golpokar,	গল্পকার,	গল্পকার,	
debeting,	ডেবেটিং,	ডিবেটিং,	
palbongsher,	পালবাংশের,	পালবংশের,	
gate,	গেট,	গ্যেটে,	
akshor,	অক্ষর,	একশোর,	
shkirt,	স্কার্ট,	স্কার্ট,	
dephinishion,	ডেফিনিশন,	ডেফিনেশন,	
lombatey,	লম্বাতে,	লম্বাটে,	
gostike,	গস্তিকে,	গোষ্ঠীকে,	
deeyenes,	ডিয়েন্স,	ডিএনএস,	
istonia,	ই্্টোসিনিয়া,	এস্তোনিয়া,	
horiddar,	হরিদদার,	হরিদ্বার,	
engrezra,	ইংরেজ্র,	ইংরেজরা,	
eokee,	একই,	এওকি,	
lotheeran,	লতিরণ,	লুথেরান,	
akabar,	একাবার,	আকাবার,	
rajtantro,	রাজনত্ত্র,	রাজতন্ত্র,	
provura,	প্রভূরা,	প্রভুরা,	
remakri,	রেমক্রি,	রেমাক্রী,	
corymb,	করিম্ব,	করিম,	
romonar,	রমানার,	রমনার,	
durger,	দার্গের,	দুর্গের,	
skirt,	স্কারিট,	স্কার্ট,	
asaborno,	অসবর্ন,	অসবর্ণ,	
porishkoron,	পরিষ্করণ,	পরিষ্করণ,	
hamburg,	হ্যাডবার্গ,	হামবুর্গ,	
balakarak,	বালকারক,	বলকারক,	
kyathlik,	ক্যাথলিক,	ক্যাথলিক,	
omitrakkhor,	অমিত্রাক্ষর,	অমিত্রাক্ষর,	
raunanganey,	রণনঙ্গনে,	রণাঙ্গনে,	
carzito,	কার্জিত,	চার্জিত,	
bachhaikrito,	বাচ্যাকৃত,	বাছাইকৃত,	
shulkey,	শুলকে,	শুল্কে,	
aazaan,	আজান,	আজান,	
alonkaran,	আলংকরণ,	অলঙ্করণ,	
eukalyptus,	ইউকেলোপিট্স,	ইউক্যালিপ্টাস,	
bhittimul,	ভিত্তিমূল,	ভিত্তিমূল,	
maarmaader,	মারমাদের,	মারমাদের,	
nodiike,	নদিকে,	নদীকে,	
soranor,	সরানোর,	সরানোর,	
skalarashipa,	স্কলারশিপ,	স্কলারশিপ,	
bongshokey,	বংশকে,	বংশকে,	
sontoshpur,	সন্ততশুর,	সন্তোষপুর,	
ssosha,	শসা,	শশা,	
harbur,	হার্বুর,	হারবার,	
aqramer,	আক্রমের,	আকরামের,	
grot,	গ্রোট,	গ্রোথ,	
aagost,	আগস্ট,	আগষ্ট,	
toki,	টকি,	তকি,	
lidars,	লিডার্স,	লিডার্স,	
utsahomulak,	উৎসামূলক,	উৎসাহমূলক,	
seekkhokder,	শিক্ষকদের,	শিক্ষকদের,	
muhommoder,	মুহম্মদের,	মুহম্মদের,	
goori,	গুরী,	গোরি,	
ministerer,	মিনিস্টারের,	মিনিস্টারের,	
cheere,	চিরে,	চিরে,	
sahapathike,	সহপাঠিকে,	সহপাঠীকে,	
gatee,	গেট,	গ্যেটে,	
roktokhoron,	রক্তকরণ,	রক্তক্ষরণের,	
taholei,	তাহলেই,	তাহলেই,	
granthatike,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
ashonkai,	অশংকাই,	আশঙ্কাই,	
chilahaati,	চিলাহাটি,	চিলাহাটি,	
mat,	ম্যাট,	ম্যাট,	
jameser,	জমযাসের,	জেমসের,	
avetara,	অভতর,	অবতার,	
navel,	নেভেল,	নভেল,	
gezeted,	গেজেটেড,	গেজেটেড,	
sheepha,	সেফ,	শেফ,	
bhaisaho,	ভাইসহ,	ভাইসহ,	
yaach,	ইচ,	ইয়াক,	
gaadhaa,	গাধা,	গাধা,	
paakshenara,	পাকচেনার,	পাকসেনারা,	
phutanto,	ফুটন্ত,	ফুটন্ত,	
model,	মোডেল,	মডেল,	
mugdhata,	মুঝধাটা,	মুগ্ধতা,	
durgotsab,	দুর্ঘাত্বা,	দুর্গোৎসব,	
eshiyatika,	এসিসিটিক,	এশিয়াটিক,	
dorgah,	দরগাহ,	দরগাহ,	
deambakriti,	ডিম্বাকৃতি,	ডিম্বাকৃতি,	
danakana,	দানকানা,	ডানকান,	
thakte,	থককতে,	থাকতে,	
kormokarke,	কর্মকারকে,	কর্মকারকে,	
korimkey,	করিমকে,	করিমকে,	
tikka,	টিকা,	টিক্কা,	
mandanda,	মানদন্ড,	মানদণ্ড,	
ralf,	রলফ,	রালফ,	
shadena,	সাদেন,	সাডেন,	
nirapekkhotaar,	নিরপ্কেষতার,	নিরপেক্ষতার,	
shloker,	শ্লকের,	শ্লোকের,	
drishyoi,	দৃশ্যই,	দৃশ্যই,	
vor,	ভোর,	ভর,	
vittiteo,	ভিটিতেও,	ভিত্তিতেও,	
seebiai,	সিবেই,	সিবিআই,	
kiiborde,	কিবোরদে,	কীবোর্ড,	
sepha,	সেফ,	শেফ,	
samanno,	সমান্ন,	সামান্য,	
obdee,	অব্দি,	অব্দি,	
obe,	অবে,	ওবিই,	
baieq,	বাইক,	বাইক,	
charban,	চারবান,	চর্বন,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
gudamjato,	গুদমাজত,	গুদামজাত,	
sthaponar,	স্থাপনার,	স্থাপনার,	
ponnee,	পন্যী,	পন্নী,	
chanu,	চানু,	চানু,	
arena,	আরেন,	এরিনা,	
aasif,	আসিফ,	আসিফ,	
embaed,	এম্বাদ,	এম্বেড,	
aper,	আপের,	আপের,	
hevy,	হেভি,	হেভি,	
jess,	জেস,	জেস,	
prashikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
guzon,	গুজন,	গুজব,	
scorey,	স্কোরি,	স্কোরে,	
khappor,	খাপ্পর,	খপ্পর,	
breqathru,	ব্রেকারু,	ব্রেকথ্রু,	
keo,	কিই,	কেউ,	
varson,	ভার্সন,	ভারশন,	
tuning,	টুনিং,	টিউনিং,	
peethey,	পিঠে,	পীঠে,	
pratijogider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
manbe,	মানবে,	মানবে,	
forex,	ফরেক্স,	ফরেক্স,	
treevuj,	ত্রিভুজ,	ত্রিভূজ,	
kemone,	কেমনে,	কেমনে,	
utshahe,	উত্সাহে,	উৎসাহে,	
matorom,	মতোরম,	মাতরম,	
saseja,	সাশেজা,	সসেজ,	
tata,	তাটা,	তাতা,	
prakalpogulo,	প্রকালগুলো,	প্রকল্পগুলো,	
silvee,	সিলভে,	সিলভি,	
deeares,	ডিরেস,	ডিআরএস,	
break,	ব্র্যাক,	ব্রেক,	
tenisha,	টেনিস,	টেনিস,	
shuknaa,	শুকনা,	শুকনা,	
marketin,	মার্কেটিং,	মার্কেটিং,	
daktickete,	ডাক্টিকেট,	ডাকটিকিটে,	
obhishangsan,	অভিশাসন,	অভিশংসন,	
abhishangsan,	অভিশাসন,	অভিশংসন,	
niketon,	নিকিতন,	নিকেতন,	
smarok,	স্মারক,	স্মারক,	
koomari,	কুমারী,	কুমারী,	
sarsa,	সর্ষ,	সোর্স,	
musalmanera,	মুসল্মনের,	মুসলমানেরা,	
hunine,	হুনিনে,	হুনাইন,	
leadar,	লিডার,	লিডার,	
rot,	রোট,	রত,	
temonvabe,	তেমনভাবে,	তেমনভাবে,	
kkomandar,	কমান্ডার,	কমাণ্ডার,	
afzol,	আফজল,	আফজল,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
serup,	শেরপু,	সেরুপ,	
asociatees,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
bunot,	বুনত,	বুনট,	
arakani,	অরাকানি,	আরাকানী,	
brooklyn,	ব্রোকলিং,	ব্রুকলিন,	
calabe,	চালাবে,	চালাবে,	
safalyer,	সফলেয়ার,	সাফল্যের,	
muchir,	মুচির,	মুচির,	
kuhelika,	কুহিলিক,	কুহেলিকা,	
lambate,	লম্বতে,	লম্বাটে,	
uporitaler,	উপরিতালের,	উপরিতলের,	
aairis,	আইরিশ,	আইরিস,	
holuder,	হলুদের,	হলুদের,	
progreess,	প্রগ্রেস,	প্রগ্রেস,	
jockey,	জকে,	জকি,	
qirq,	কার্ক,	কার্ক,	
kulo,	কুলো,	কুলো,	
uparjon,	উপার্জন,	উপার্জন,	
khilaphat,	খিলাফাত,	খিলাফত,	
setite,	সেটিতে,	সেটিতে,	
sangosthati,	সংস্থাটি,	সংস্থাটি,	
zoneser,	জনিসের,	জোন্সের,	
kyamone,	কম্নন,	কেমনে,	
municipal,	মুনিসিকাল,	মিউনিসিপ্যাল,	
totokhon,	ততক্ষণ,	ততক্ষন,	
ssumita,	সুমিতা,	সুমিতা,	
pratiyogi,	প্রতিযোগি,	প্রতিযোগী,	
laaisens,	লাইন্স,	লাইসেন্স,	
helloin,	হেলেইন,	হ্যালোইন,	
futbolarra,	ফুটবলবরা,	ফুটবলাররা,	
vaisoho,	ভাইসহ,	ভাইসহ,	
gabeshonar,	গবেষণার,	গবেষনার,	
robotic,	রোবটিক,	রোবোটিক,	
dibeting,	ডিভেটিং,	ডিবেটিং,	
provur,	প্রভূর,	প্রভুর,	
teamothy,	টেমোটি,	টিমোথি,	
jarusalem,	জরুসনাম,	জেরুসালেম,	
ashe,	আশে,	আসে,	
uposhthit,	উপস্থিত,	উপস্থিত,	
diana,	ডিয়ন,	ডায়না,	
gosthiti,	গস্টিটি,	গোষ্ঠীটি,	
tirmijii,	তিরমিযী,	তিরমিজি,	
ghoorchen,	ঘোরছেন,	ঘুরেছেন,	
poshte,	পোষ্ট,	পোষ্টে,	
sahocorrzo,	সহচকর্য,	সাহচর্য,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
tiuning,	টিউনিং,	টিউনিং,	
kooda,	কুড,	কোডা,	
goonoman,	গুনমান,	গুণমান,	
beeswas,	বিশ্বাস,	বিশ্বাস,	
keyuyi,	কিউই,	কেউই,	
peterer,	পেটারের,	পিটারের,	
damanmulak,	দমানমূলক,	দমনমূলক,	
gaujano,	গৌজানও,	গজানো,	
sangosthaner,	সংস্থানের,	সংস্থানের,	
carpeet,	কারপাট,	কার্পেট,	
bahaal,	বাহাল,	বহাল,	
madhobikey,	মাধবিকে,	মাধবীকে,	
bhange,	ভাঙ্গে,	ভাঙ্গে,	
mekon,	মেকন,	মেকং,	
naraphooka,	নরফফা,	নরফোক,	
telakucha,	টেলাকুচ,	তেলাকুচা,	
taala,	তালা,	তালা,	
jatota,	যতটা,	যতোটা,	
prokalpao,	প্রকল্পও,	প্রকল্পও,	
cholocchitrotike,	চলচ্চিত্রিকে,	চলচ্চিত্রটিকে,	
graambaasider,	গ্রাবাবাসীদের,	গ্রামবাসীদের,	
matthew,	মঠঠেও,	ম্যাথিউ,	
dharabahikotitey,	ধারাবািিতিতে,	ধারাবাহিকটিতে,	
niropekshtar,	নিরপ্কেষ্টার,	নিরপেক্ষতার,	
dayitto,	দৈত্য,	দায়িত্ব,	
oxforde,	অক্সোর্ডে,	অক্সফোর্ডে,	
bard,	বার্ড,	বার্ড,	
footbalarer,	ফুটবললের,	ফুটবলারের,	
janosangyog,	জনসংগ্গ,	জনসংযোগ,	
manobsomajer,	মানবসমাজের,	মানবসমাজের,	
fuzz,	ফুজ,	ফাজ,	
jyeshtha,	জেষ্ঠ,	জ্যেষ্ঠা,	
chhaanee,	ছানি,	ছানি,	
sectore,	সেক্টর,	সেক্টরে,	
bedanto,	বেদন্ত,	বেদান্ত,	
sawom,	সাভ,	সাওম,	
paner,	পানের,	পনের,	
bhugole,	ভুগোল,	ভূগোলে,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
karmojog,	কর্মযোগ,	কর্মযোগ,	
dharabahiktir,	ধারাবাহিক্তির,	ধারাবাহিকটির,	
olngkoron,	অলংকরণ,	অলঙ্করণ,	
soinyosaho,	সৈন্যসহ,	সৈন্যসহ,	
rahi,	রাহি,	রাহী,	
teksuser,	টেকশাউসের,	টেক্সাসের,	
groowth,	গ্রুথ,	গ্রোথ,	
phutanta,	ফুটন্ত,	ফুটন্ত,	
manushgulor,	মানুসগুলোর,	মানুষগুলোর,	
moshjidtir,	মস্জিদটির,	মসজিদটির,	
gasthii,	গ্ষাস্থি,	গোষ্ঠীই,	
dinara,	ডিনার,	ডিনার,	
refleks,	রেফ্লেক্স,	রিফ্লেক্স,	
markete,	মার্কেটে,	মার্কেটে,	
sudhui,	সুধী,	শুধুই,	
baharampurer,	বহরামূরুর,	বহরমপুরের,	
naagaalyand,	নাগালায়ান্ড,	নাগাল্যান্ড,	
mumtaj,	মুমতাজ,	মুমতাজ,	
towbar,	তববার,	তওবার,	
seekkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
ileeing,	এলিয়াং,	ইলিং,	
sazano,	সাজান,	সাজানো,	
grambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
niketaner,	নিকিতানের,	নিকেতনের,	
chowdhuryder,	চৌধুরিদের,	চৌধুরীদের,	
dhauta,	ধূত,	ধৌত,	
agamanke,	আগামানকে,	আগমনকে,	
dwibidho,	দ্বিবিধ,	দ্বিবিধ,	
benke,	বেনকে,	বেঁকে,	
sardar,	সর্দার,	সরদার,	
lutharan,	লুটারণ,	লুথেরান,	
debholapar,	ডেভললাপার,	ডেভলপার,	
mulgato,	মুলগত,	মূলগত,	
volt,	ভল্ট,	ভল্ট,	
sainyara,	সাইন্যার,	সৈন্যরা,	
mousumer,	মৌসুমের,	মৌসুমের,	
teta,	টিটা,	টেটা,	
fatakesto,	ফটটেক্ট,	ফাটাকেষ্ট,	
nothibhookta,	নথিভুক্ত,	নথিভুক্ত,	
prapokke,	প্রাপককে,	প্রাপককে,	
mukhmondol,	মুখযান্ডল,	মুখমণ্ডল,	
soinyo,	সৈন্য,	সৈন্য,	
dibating,	ডিবেটিং,	ডিবেটিং,	
shabnam,	শাবনাম,	শবনম,	
koota,	কোট,	কোটা,	
maladoobha,	মলোাাও,	মলদোভা,	
jesthotar,	জেষ্ঠতার,	জ্যেষ্ঠতার,	
ciima,	সিমিএ,	সীমা,	
abortey,	আবরতে,	আবর্তে,	
pratisthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
qulim,	কুলিম,	কুলিং,	
growth,	গ্রুথ,	গ্রোথ,	
hiragaana,	হিরাগানা,	হিরাগানা,	
chedropathe,	চেদ্রপথে,	ছিদ্রপথে,	
bissashe,	বিশ্বাসে,	বিশ্বাসে,	
sookkho,	সূক্ষ্ম,	সুক্ষ্ম,	
postake,	পোস্টকে,	পোস্টকে,	
locker,	লোকার,	লকের,	
myathiou,	ম্যাথিও,	ম্যাথিউ,	
iviem,	এভিএম,	ইভিএম,	
uthane,	উঠানে,	উঠানে,	
