leta,	লত,	ল্যাটা,	
bhortuki,	ভর্তুকি,	ভর্তুকি,	
mukhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
dala,	ডালা,	দলা,	
adhattikotar,	আধ্যাতিকতার,	আধ্যাত্মিকতার,	
chaanu,	চানু,	চানু,	
dhanyi,	ধানই,	ধন্যি,	
madhobeer,	মাধবীর,	মাধবীর,	
kasper,	কাশপের,	ক্যাসপার,	
futbolarra,	ফুটবলরা,	ফুটবলাররা,	
pure,	পুরে,	পিওর,	
heightsh,	হাইটস,	হাইটস,	
nirvachoker,	নির্বাচকের,	নির্বাচকের,	
shikhechi,	শিখেছি,	শিখেছি,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
zubokra,	যুবকরা,	যুবকরা,	
rezidens,	রেজিডেন্স,	রেসিডেন্স,	
soteciety,	সোটেটিসি,	সোসাইটিতে,	
poschime,	পশ্চিমে,	পশ্চিমে,	
jonsha,	জন্স,	জোন্স,	
reeno,	রিনো,	রেনো,	
probhura,	প্রভূরা,	প্রভুরা,	
paaree,	পারী,	পাড়ে,	
musalmani,	মুসলম্নী,	মুসলমানই,	
cheerkut,	চিরকিট,	চিরকুট,	
siropadharii,	শিরোপাধারী,	শিরোপাধারী,	
parishkaron,	পরিষ্কারণ,	পরিষ্করণ,	
mausum,	মৌশম,	মৌসুম,	
taalal,	তালাল,	তালাল,	
bhabatarini,	ভবরতীরণী,	ভবতারিণী,	
vagno,	ভা্ন,	ভগ্ন,	
path,	পাঠ,	পাথ,	
shotokeo,	শতকেও,	শতকেও,	
arsie,	আর্সি,	আরসিএ,	
naitikatabodh,	নৈতিক্থাদ,	নৈতিকতাবোধ,	
ishiyatika,	ইসিজটিক,	এশিয়াটিক,	
orthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
inafarameshana,	ইনফারমেশন,	ইনফরমেশন,	
seramiqs,	সেরামিক্স,	সিরামিকস,	
panjikar,	পাঞ্জিকর,	পঞ্জিকার,	
juktarashtrasaha,	যুক্তরাস্রাস,	যুক্তরাষ্ট্রসহ,	
metropoliton,	মেট্রোপিটনিল,	মেট্রোপলিটন,	
shabnam,	শাবনাম,	শবনম,	
dormitory,	ডরমিটরি,	ডরমিটরি,	
wolapuk,	ভোলাপুক,	ভোলাপুক,	
digrike,	দিগ্রিকে,	ডিগ্রিকে,	
estooniya,	এস্টুয়িন,	এস্তোনিয়া,	
maunchostho,	মঞ্চস্থ,	মঞ্চস্থ,	
pustio,	পুষ্টিও,	পুষ্টি,	
chaaka,	চাকা,	চাকা,	
bosontokke,	বসন্তককে,	বসন্তকে,	
beshirbhagei,	বেশিরভাগেই,	বেশিরভাগেই,	
udbhabane,	উদ্ভবনে,	উদ্ভাবনে,	
skalarasipa,	স্কলারশিপ,	স্কলারশিপ,	
ganesher,	গণেের,	গণেশের,	
ishahak,	ইসহাক,	ইসাহাক,	
turbine,	টার্বিনে,	টারবাইন,	
samanyo,	সামান্য,	সামান্য,	
nikela,	নিকেল,	নিকেল,	
dharabhashyokar,	ধারাভাসকার,	ধারাভাষ্যকার,	
paitey,	পাইতে,	পাইতে,	
cholochchitroke,	চলচিত্রকেকে,	চলচ্চিত্রকে,	
ingrejiteo,	ইংরেজিতে,	ইংরেজিতেও,	
kredit,	ক্রেডিট,	ক্রেডিট,	
mukhmondole,	মুখনন্ডলে,	মুখমণ্ডলে,	
pharna,	ফার্না,	ফার্ন,	
prabhur,	প্রভূর,	প্রভুর,	
bedanta,	বেদন্ত,	বেদান্ত,	
juktarashtreo,	যুক্তরাস্ত্রে,	যুক্তরাষ্ট্রেও,	
samajik,	সামাজিক,	সামাজিক,	
tecnokryat,	টেকনোক্রেট,	টেকনোক্র্যাট,	
meghachonno,	মেঘাচন্ন,	মেঘাচ্ছন্ন,	
divya,	ডিভব,	দিব্যা,	
karlo,	করল,	কার্লো,	
kaferder,	কাফেরদের,	কাফেরদের,	
kanthar,	কানঠার,	কাঁথার,	
asamorik,	আসামরিক,	অসামরিক,	
khagen,	খাগেন,	খগেন,	
gorer,	গোরের,	গোরের,	
santoshpur,	সন্ত্বসপপুর,	সন্তোষপুর,	
ballabh,	বললভ,	বল্লভ,	
helly,	হেলি,	হিলি,	
sotorkota,	সত্রকাা,	সতর্কতা,	
duuma,	ডুমা,	দুমা,	
subade,	সুবাদে,	সুবাদে,	
jokrito,	যকৃত,	যকৃৎ,	
chomke,	চমকে,	চমকে,	
plus,	প্লাস,	প্লাস,	
angkush,	অংকুশ,	অংকুশ,	
timathi,	তিমাথি,	টিমোথি,	
shikhbe,	শিখবে,	শিখবে,	
capsul,	কাপসুল,	ক্যাপসুল,	
ekjoge,	একযোগে,	একযোগে,	
deaubande,	ডিউবন্ডে,	দেওবন্দে,	
meghe,	মেঘে,	মেঘে,	
koreemer,	করিমের,	করিমের,	
cathalic,	ক্যাথাকিক,	ক্যাথলিক,	
naarsari,	নার্সারী,	নার্সারি,	
jojyata,	যোজ্যাত,	যোজ্যতা,	
akabar,	একাবার,	আকাবার,	
thakte,	থাকেতে,	থাকতে,	
aashanka,	আশাঙ্কা,	আশংকা,	
roktokhorone,	রক্তকর্ণে,	রক্তক্ষরণে,	
mane,	মেন,	মানে,	
sakar,	সাকার,	সকার,	
gonoporeebohoner,	গণপরিবনারের,	গণপরিবহনের,	
monjeele,	মঞ্জিলে,	মঞ্জিলে,	
dhaleshwari,	ধলেশ্বরী,	ধলেশ্বরী,	
chaanoo,	চানু,	চানু,	
ship,	সিপ,	শিপ,	
sarbopori,	সর্বপপরী,	সর্বোপরী,	
vittio,	ভিত্তিও,	ভিত্তিও,	
melbourner,	মেলব্রনের,	মেলবোর্নের,	
bhaibonera,	ভাইবনেরা,	ভাইবোনেরা,	
protijogi,	প্রতিযোগী,	প্রতিযোগী,	
brittakare,	বৃত্তকরে,	বৃত্তাকারে,	
dinesh,	দিনেশ,	দীনেশ,	
ganoparibahaner,	গণপরিবহনের,	গণপরিবহনের,	
durgotsabe,	দুর্গটসবে,	দুর্গোৎসবে,	
nodigulo,	নদিগুলো,	নদীগুলো,	
reeliancee,	রিলিয়ন্স,	রিলায়েন্স,	
bafal,	বাফল,	বিফল,	
meghkey,	মেঘকে,	মেঘকে,	
durgatsabe,	দুর্গটসাবে,	দুর্গোৎসবে,	
blagarara,	ব্লগারার,	ব্লগাররা,	
panchashjan,	পঞ্চাজজ্ঞান,	পঞ্চাশজন,	
udbodhone,	উদ্বোধনে,	উদ্বোধনে,	
baugey,	বাগে,	বাগে,	
temonbhabe,	তেমনভাবে,	তেমনভাবে,	
lajikar,	লাজীকার,	লজিকের,	
bahal,	বহল,	বহাল,	
ovarview,	অভারিয়ে,	ওভারভিউ,	
saatzon,	সাতন,	সাতজন,	
churger,	চুর্গের,	চার্জের,	
peengnaa,	পিঙ্া,	পিংনা,	
bhenus,	ভেনাস,	ভেনাস,	
dai,	দাই,	দিই,	
jibanto,	জীবন্ত,	জীবন্ত,	
trayte,	ট্রেট,	ট্রেতে,	
oitijjhe,	ঐতিহ্যে,	ঐতিহ্যে,	
hizriite,	হিজরিতে,	হিজরীতে,	
gonosakkhorota,	গণসক্্রতা,	গণসাক্ষরতা,	
ponthar,	পন্থার,	পন্থার,	
achish,	আচিস,	আছিস,	
gandhike,	গানধিকে,	গান্ধীকে,	
prakalpeo,	প্রকলমেপ,	প্রকল্পেও,	
machhsoho,	মাসসহ,	মাছসহ,	
moshjidtike,	মসিজিত্দিকে,	মসজিদটিকে,	
dharabahiker,	ধারাবাহিকের,	ধারাবাহিকের,	
madhabike,	মাধবাকিকে,	মাধবীকে,	
jahra,	জাহরা,	যাহরা,	
dhojobhongo,	ধভবভঙ্গ,	ধ্বজভঙ্গ,	
mookhbaundho,	মুখবন্ধ,	মুখবন্ধ,	
dover,	দোভের,	ডোভার,	
sikare,	শিকারে,	শিকারে,	
ateetkaale,	অতীতকালে,	অতীতকালে,	
qoda,	কোড,	কোড,	
shangkulan,	সংকলুন,	সংকুলান,	
jerakam,	জেরোম,	যেরকম,	
templete,	টেম্পলেটে,	টেম্পলেট,	
chaudhurike,	চৌধুরিকে,	চৌধুরীকে,	
nederlande,	নেদ্রল্যান্ডে,	নেদারল্যান্ডে,	
jothartho,	যথার্থ,	যথার্থ,	
koomari,	কুমারি,	কুমারী,	
byan,	ব্যান,	ব্যাং,	
foxer,	ফোক্সার,	ফক্সের,	
sayid,	সাইড,	সাইদ,	
disni,	ডিজনি,	ডিজনী,	
jotinke,	জোতিনকে,	যতীনকে,	
cholochchitreei,	চলচিত্রী,	চলচ্চিত্রেই,	
reejideencee,	রেজিডেন্সে,	রেসিডেন্স,	
horas,	হরাশ,	হোরাস,	
soorsa,	সোর্স,	সোর্স,	
satjan,	সাঁজান,	সাতজন,	
patjato,	পাজাত,	পাটজাত,	
argho,	আর্ঘ,	অর্ঘ্য,	
chesa,	চেসা,	চেস,	
ganachiner,	গণচীনের,	গণচীনের,	
jhalkathi,	ঝালকাঠি,	ঝালকাঠী,	
varma,	ভার্মা,	ভার্মা,	
abahon,	আবহন,	আবাহন,	
shaajaanor,	সাজানর,	সাজানোর,	
bbiseshyer,	বিশেষের,	বিশেষ্যের,	
laagto,	লাগটো,	লাগতো,	
matthew,	মাঠেও,	ম্যাথিউ,	
mousumei,	মৌশমে,	মৌসুমেই,	
drishyagulote,	দৃশ্যগুলোতে,	দৃশ্যগুলোতে,	
muchi,	মুচি,	মুচি,	
haran,	হার,	হারান,	
shaajaano,	সাজানো,	সাজানো,	
barak,	বারাক,	বারাক,	
kalam,	কলম,	কালাম,	
shhayatana,	স্যাতন,	শয়তান,	
bisshaskey,	বিশ্বাসকে,	বিশ্বাসকে,	
palta,	পাল্টা,	পালটা,	
relance,	রেল্যান্স,	রিলায়েন্স,	
kaner,	কানের,	কনের,	
jhonkar,	ঝোঁকার,	ঝঙ্কার,	
byabaharkareer,	ব্যবহারকারির,	ব্যবহারকারীর,	
pachtar,	পাচচার,	পাঁচটার,	
damanmulok,	দামানমূলক,	দমনমূলক,	
vaibonera,	ভাইবনেরা,	ভাইবোনেরা,	
miraqela,	মিরালেল,	মিরাকেল,	
pattarn,	প্যাটার্ন,	প্যাটার্ন,	
shomraat,	সম্রাত,	সম্রাট,	
nirvachokder,	নির্বাচকদের,	নির্বাচকদের,	
sorajur,	সরাজুর,	সরযূর,	
gazipur,	গাজীপুর,	গাজিপুর,	
sina,	সাইন,	সিনা,	
jones,	জনেশ,	জোন্স,	
prozononkal,	প্রজনকলকাল,	প্রজননকাল,	
kolahol,	কলাহ,	কোলাহল,	
vabnakey,	ভবনাকে,	ভাবনাকে,	
satarkabhabey,	সাতারকাভাবে,	সতর্কভাবে,	
sooresh,	সুরেশ,	সুরেশ,	
saaeda,	সাইড,	সাইদা,	
nathibhukteer,	নথিভূক্তির,	নথিভুক্তির,	
soomee,	সুমী,	সুমি,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
prokolpow,	প্রকোলপ,	প্রকল্পও,	
sotorkokaree,	সতরকারকা,	সতর্ককারী,	
rijur,	রিজুর,	রিজুর,	
bhogirath,	ভগিরাথ,	ভগীরথ,	
leader,	লিডের,	লিডার,	
tookrokey,	তুকরকে,	টুকরোকে,	
elaakaati,	এলাকাটি,	এলাকাটি,	
shochindro,	সচিন্দ্র,	শচীন্দ্র,	
uruu,	উরু,	উরু,	
shrabosty,	শ্রব্যস্তি,	শ্রাবস্তী,	
moshzid,	মসজীদ,	মসজিদ,	
ase,	আস,	আসে,	
karadonder,	কারাদন্ডের,	কারাদণ্ডের,	
metropolitan,	মেট্রোপিটানি,	মেট্রোপলিটন,	
firozer,	ফিরোজের,	ফিরোজের,	
servere,	সারভার,	সার্ভারে,	
khalidke,	খলীদে,	খালিদকে,	
karadander,	কারাদন্ডের,	কারাদণ্ডের,	
rinattok,	ঋণাত্মক,	ঋনাত্মক,	
shomser,	শমমের,	সমশের,	
benj,	বেঞ্জ,	বেঞ্জ,	
neshhanasha,	নেশাসা,	নেশনস,	
hola,	হল,	হোল,	
hariken,	হরিকেন,	হ্যারিকেন,	
dii,	দি,	দিই,	
akritakarjo,	একৃতকার্য,	অকৃতকার্য,	
turki,	তুর্কী,	তুর্কি,	
ummool,	উমুল,	উম্মুল,	
satarkota,	সাটারকা,	সতর্কতা,	
carpetey,	কর্পেটে,	কার্পেটে,	
aswastikar,	অস্বস্তিকর,	অস্বস্তিকর,	
laicense,	লাইসেন্স,	লাইসেন্স,	
azijer,	অজিজের,	আজিজের,	
bukhari,	বুখারী,	বুখারি,	
ardasho,	অর্দাশ,	আর্দশ,	
ajimke,	অজিমকে,	আজিমকে,	
aloteo,	আলতেও,	আলোতেও,	
nothibhookto,	নথিভূক্ত,	নথিভুক্ত,	
adhyattikotar,	আধ্যাতিকতিতদর,	আধ্যাত্মিকতার,	
bhittiteow,	ভিট্টিওেও,	ভিত্তিতেও,	
sqirt,	স্ক্যার্ট,	স্কার্ট,	
niketan,	নিকেটন,	নিকেতন,	
satarkotar,	সাতারকাতার,	সতর্কতার,	
kiibord,	কিবোর্ড,	কীবোর্ড,	
klaud,	ক্লাউড,	ক্লাউড,	
bolechi,	বলেছি,	বলেছি,	
chaalabi,	চালাবি,	চালাবে,	
tenishe,	ট্যানিসে,	টেনিসে,	
prostutkarak,	প্রস্তুতকারক,	প্রস্তুতকারক,	
tafsher,	তাফসের,	তাফসীর,	
lampat,	ল্যাম্পট,	লম্পট,	
anhu,	অন্যু,	আনহু,	
rajon,	রাজন,	রাজন,	
akrup,	একরুপ,	একরূপ,	
udvabani,	উদ্ভাবনী,	উদ্ভাবনী,	
daktikit,	দাক্তিক,	ডাকটিকিট,	
steit,	স্টেইট,	স্টেইট,	
tochnoch,	তচ্চ,	তছনছ,	
bhyatikaner,	ভ্যাতিকণের,	ভ্যাটিকানের,	
shkolastic,	স্কলসাস্টিক,	স্কলাস্টিক,	
bikaargrasta,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
fatakeshto,	ফটকেশ্ট,	ফাটাকেষ্ট,	
bhageri,	ভাগেরী,	ভাগেরই,	
karmazog,	কর্মযোগ,	কর্মযোগ,	
patisapta,	পতিস্পপ্ত,	পাটিসাপটা,	
jibonnogor,	জীবনগণ,	জীবননগর,	
renoo,	রেন,	রেনো,	
rudroke,	রুদ্রকে,	রুদ্রকে,	
khodeja,	খোদেজ,	খোদেজা,	
maudelder,	ম্যাডেলের,	মডেলদের,	
zuktorastre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
byasalt,	ব্যাস্ট,	ব্যাসল্ট,	
puzita,	পুজিতা,	পূজিতা,	
dara,	ডারা,	দারা,	
samoshti,	সামস্তি,	সমষ্টি,	
pooroheetder,	পুরহিতদের,	পুরোহিতদের,	
kriita,	কৃরিত,	ক্রীট,	
iukyaliptasa,	উক্ল্যাপিস্টা,	ইউক্যালিপ্টাস,	
sanghitar,	সংঘিতর,	সংহিতার,	
durgo,	দূর্গ,	দুর্গ,	
udvaboni,	উদ্ভাবনী,	উদ্ভাবনী,	
shorsha,	সর্ষা,	সোর্স,	
gora,	গোরা,	গোর,	
bonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
charjer,	চার্যের,	চার্জার,	
mozlis,	মজলিস,	মজলিশ,	
netarao,	নেটারো,	নেতারাও,	
segulor,	সেগুলোর,	সেগুলোর,	
choudhooreer,	চৌধুরির,	চৌধুরীর,	
bikargrasta,	বিকররগ্রস্ত,	বিকারগ্রস্ত,	
ghomtaa,	ঘোমা,	ঘোমটা,	
besur,	বেশুর,	বেসুর,	
panchasjon,	পঞ্চাজজ্ঞন,	পঞ্চাশজন,	
vageri,	ভাগেরী,	ভাগেরই,	
shangsthagulo,	সংস্থাগতল,	সংস্থাগুলো,	
potochitro,	পটচিত্র,	পটচিত্র,	
mujibur,	মুজিবর,	মুজিবুর,	
jakso,	যক্ষ,	যক্ষ,	
bjp,	বিজিপি,	বিজেপি,	
nirarthak,	নিরথ্থক,	নিরর্থক,	
marryir,	মেরির,	ম্যারির,	
engineersh,	ইঞ্জির্স,	ইঞ্জিনিয়ার্স,	
juktorashtre,	যুক্তরাস্ট্রে,	যুক্তরাষ্ট্রে,	
elakashaho,	এলাকাহস,	এলাকাসহ,	
udbhabone,	উদ্ভাবনে,	উদ্ভাবনে,	
moomtajer,	মুমাজের,	মুমতাজের,	
laesensh,	লেসন্স,	লাইসেন্স,	
sampadoner,	সম্পাদনের,	সম্পাদনের,	
ancholsomuho,	অঞ্চলসমূহ,	অঞ্চলসমূহ,	
laiceensee,	লাইসেন্স,	লাইসেন্স,	
aipiela,	এ্যাপেল,	আইপিএল,	
syfy,	সিফি,	সাইফাই,	
tarasa,	তারস,	টেরেসা,	
bhortuky,	ভর্তুকি,	ভর্তুকি,	
fol,	ফল,	ফল,	
militaryte,	মিলিটারিটে,	মিলিটারিতে,	
jini,	জিনি,	যিনি,	
tennish,	টেনিশ,	টেনিস,	
agomone,	অগোমণে,	আগমনে,	
zoubankal,	যৌবনকাল,	যৌবনকাল,	
mehnotti,	মেহনট্তি,	মেহনতি,	
prabhuder,	প্রভূদের,	প্রভুদের,	
mmadhukkori,	মাধুকরি,	মাধুকরী,	
elaakaasoho,	এলাকাহস,	এলাকাসহ,	
inziniyarim,	ইনজাইনিরিয়াম,	ইঞ্জিনিয়ারিং,	
kalnir,	কলীনীর,	কালনীর,	
archimedeser,	আর্কিসেডার্সের,	আর্কিমিডিসের,	
totenhaamer,	তোটিহানের,	টটেনহামের,	
maudelti,	মেডেলটি,	মডেলটি,	
shipa,	সিপ,	শিপ,	
post,	পোস্ট,	পোষ্ট,	
tokei,	তোকেই,	ত্বকেই,	
darjeeling,	ডার্জিলিং,	দার্জিলিং,	
baarak,	বারাক,	বারাক,	
lokkhero,	লক্ষ্রে,	লক্ষেরও,	
oedipus,	ইডুপিশ,	ইডিপাস,	
vitti,	ভিতি,	ভিত্তিই,	
udvabaney,	উদ্ভাবনে,	উদ্ভাবনে,	
thyachara,	থ্যাচার,	থ্যাচার,	
zonsa,	জন্স,	জোন্স,	
harysoner,	হরিশনের,	হ্যারিসনের,	
cs,	সিস,	সিএস,	
daqop,	ডাক,	দাকোপ,	
daakteekite,	দাকিতিকে,	ডাকটিকিটে,	
fand,	ফাঁ্ড,	ফান্ড,	
rohasyati,	রহহাস্তি,	রহস্যটি,	
chainge,	চেঞ্জে,	চেঞ্জ,	
shangkalonti,	সংকলনন্তি,	সংকলনটি,	
khelafotey,	খেলাফোতে,	খেলাফতে,	
pishach,	পিশাচ,	পিশাচ,	
ekpaashe,	একপাশে,	একপাশে,	
phaqsa,	ফক্স,	ফক্স,	
artharer,	অর্থারের,	আর্থারের,	
sudhui,	সুধুই,	শুধুই,	
shilpojat,	শিল্পজত,	শিল্পজাত,	
zyakasana,	জ্যাকোশন,	জ্যাকসন,	
ranangoney,	রানঙ্গনে,	রণাঙ্গনে,	
jaandrel,	জান্ড্রেল,	জাঁদরেল,	
aanhu,	আন্যু,	আনহু,	
bisshas,	বিশ্বাস,	বিশ্বাস,	
ekok,	একক,	একক,	
akritakarja,	একৃতকার্য,	অকৃতকার্য,	
residance,	রেসিডেন্সে,	রেসিডেন্স,	
playtey,	প্লেটে,	প্লেটে,	
antorbhukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
claus,	ক্লাস,	ক্লজ,	
postar,	পোস্টার,	পোস্টের,	
bhaskar,	ভাসকর,	ভাস্কর,	
forma,	ফরমা,	ফর্মা,	
pudding,	পুডিং,	পুডিং,	
ptolemir,	প্লেমিরির,	টলেমির,	
saarbharer,	সার্ভারের,	সার্ভারের,	
ghamta,	ঘামা,	ঘোমটা,	
prokolpogulo,	প্রকোশগুলো,	প্রকল্পগুলো,	
sonmukh,	সম্মুখ,	সন্মুখ,	
ghurte,	ঘুর্তে,	ঘুরতে,	
samajikotar,	সমাজিকতার,	সামাজিকতার,	
valapuk,	ভালাপুক,	ভোলাপুক,	
elaakaatir,	এলাকাটির,	এলাকাটির,	
harbare,	হার্বারে,	হারবারে,	
kartona,	কার্টন,	করতনা,	
cheess,	চিস,	চেস,	
esoosiyetasa,	এসিসোটেস,	এসোসিয়েটস,	
volapuk,	ভললাপুক,	ভোলাপুক,	
heje,	হেজে,	হেজ,	
armenian,	আর্মেনিয়ান,	আর্মেনিয়ান,	
abarto,	আবর্ত,	আবর্ত,	
pet,	পট,	পেত,	
hossne,	হসনে,	হোসনে,	
caramics,	ক্রামেস্স,	সিরামিকস,	
chetona,	ছেতনা,	চেতনা,	
nodiike,	নদীকে,	নদীকে,	
dower,	ডওয়ার,	ডোভার,	
durgatsober,	দুর্গটসবের,	দুর্গোৎসবে,	
alexanderke,	আলেকান্দারকে,	আলেকজান্ডারকে,	
cho,	চো,	ছোঁ,	
pujit,	পুজিৎ,	পুজিত,	
tala,	তল,	তালা,	
abotaar,	অবতার,	অবতার,	
masey,	মাসে,	মাসে,	
shaannaal,	সান্যাল,	সান্যাল,	
naarsaari,	নার্সারী,	নার্সারি,	
uzobekeestaan,	উউজবেসক্তান,	উজবেকিস্তান,	
hundayi,	হান্দেই,	হুন্দাই,	
puroheetra,	পুরোহিতা,	পুরোহিতরা,	
byaboharkariderke,	ব্যবহারকারীকের,	ব্যবহারকারীদেরকে,	
sikkhaou,	শিক্ষুও,	শিক্ষাও,	
norton,	নর্তন,	নর্টন,	
internship,	ইন্টার্নশীপ,	ইন্টার্নশিপ,	
kadam,	কাদাম,	কদম,	
rudrer,	রুদ্রের,	রুদ্রের,	
shaantaa,	সান্ত,	সান্তা,	
observer,	অব্ভারের,	অবজার্ভার,	
nathivooktir,	নথিভূক্তির,	নথিভুক্তির,	
obhigomon,	অভিগমন,	অভিগমন,	
ovizojon,	অভিযোজন,	অভিযোজন,	
sulke,	সালকে,	শুল্কে,	
ancholgulote,	অঞ্চগুলোতে,	অঞ্চলগুলোতে,	
myathiou,	ম্যাথিও,	ম্যাথিউ,	
agovir,	অগভীর,	অগভীর,	
dormitoree,	ডরমিটরি,	ডরমিটরি,	
sosharire,	সসরারী,	সশরীরে,	
pyaleshtainer,	প্যাল্সটেননের,	প্যালেস্টাইনের,	
female,	ফেমলে,	ফিমেল,	
natians,	নেটনশ,	নেশনস,	
janacche,	জান্ছেছ,	জানাচ্ছে,	
kaamla,	কমলা,	কামলা,	
haitasha,	হাইটাস,	হাইটস,	
smaroker,	স্মরকের,	স্মারকের,	
otyacharita,	অত্যাচরিত,	অত্যাচারিত,	
mahey,	মহে,	মাহে,	
chhidropothe,	ছিদ্রোথপে,	ছিদ্রপথে,	
haak,	হাক,	হুক,	
mookhomandoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
laisense,	লাইসেন্স,	লাইসেন্স,	
mozlish,	মজলিস,	মজলিশ,	
diiptii,	দীপ্তি,	ডেপুটি,	
uzobekeestaaner,	উউজবিসক্তাণের,	উজবেকিস্তানের,	
ishpredshhiit,	ইস্প্রেস্ডিট,	স্প্রেডশীট,	
dhormantor,	ধর্মন্তর,	ধর্মান্তর,	
dianes,	ডিয়নেস,	ডিএনএস,	
moorali,	মোরালি,	মুরলী,	
bulan,	বুলান,	বুলান,	
akten,	এঁকেতন,	অকটেন,	
preti,	প্রেটি,	প্রিটি,	
chiranton,	চিরন্তন,	চিরন্তন,	
meghnadbodh,	মেঘনদ্ধ,	মেঘনাদবধ,	
byabostho,	ব্যবস্থা,	ব্যাবস্থা,	
messengar,	মেশনিগর,	মেসেঞ্জার,	
bikargrosto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
romancho,	রোমাঞ্চ,	রোমাঞ্চ,	
