estoonia,	এস্টুনিয়া,	এস্তোনিয়া,	
swalpo,	স্বল্প,	স্বল্প,	
nagnyo,	নাগ্য,	নগণ্য,	
paare,	পারে,	পাড়ে,	
benj,	বেঞ্জ,	বেঞ্জ,	
schalarship,	স্কলারশিপ,	স্কলারশিপ,	
afzal,	আফজাল,	আফজল,	
pratiyogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
hiragana,	হিরোগা,	হিরাগানা,	
hastantar,	হস্তান্তর,	হস্তান্তর,	
bonnopran,	বন্যপ্রণ,	বন্যপ্রাণ,	
alpokichudin,	অল্পকিকোণ্ডি,	অল্পকিছুদিন,	
fiksim,	ফিক্সিং,	ফিক্সিং,	
nilkamol,	নীলকমমল,	নীলকমল,	
patishapta,	পতিশ্পত্,	পাটিসাপটা,	
ancholti,	অ্যাঞ্চলটি,	অঞ্চলটি,	
kaner,	কানের,	কনের,	
riphleqsa,	রাইফল্কেস,	রিফ্লেক্স,	
everestey,	ইভারেস্টে,	এভারেস্টে,	
modhumotii,	মধুমতি,	মধুমতী,	
vabook,	ভবুক,	ভাবুক,	
laaisheesh,	লাইশেস,	লাইসেন্স,	
sobrakamer,	সবপরামের,	সবরকমের,	
moshion,	মশশন,	মোশন,	
taalaal,	তালাল,	তালাল,	
vageryi,	ভাগেরই,	ভাগেরই,	
prottokhobhabe,	প্রত্যাখভাবে,	প্রত্যক্ষভাবে,	
sanaktakaran,	সনাক্তকরণ,	সনাক্তকরণ,	
vogini,	ভোগিনী,	ভগিনী,	
sheramiksh,	সেরামিক্স,	সিরামিকস,	
naniir,	নানীর,	নানীর,	
shoccar,	শোক্চার,	সকার,	
jetam,	জেতাম,	যেতাম,	
pannee,	পা্নি,	পন্নী,	
ancholtitey,	অঞ্চলটিতে,	অঞ্চলটিতে,	
niranjan,	নিরঞ্জন,	নিরঞ্জন,	
bondi,	বন্দি,	বন্দী,	
shoodhooi,	সুধুই,	শুধুই,	
jonee,	জোনি,	জনি,	
kyamone,	ক্যামনে,	কেমনে,	
shikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
telaakucha,	তেলাকুচ,	তেলাকুচা,	
soras,	সরাশ,	সরস,	
bbiswash,	বিশ্বাস,	বিশ্বাস,	
lutheeran,	লুথারন,	লুথেরান,	
duplex,	ডাপল্কেস,	ডুপ্লে,	
tenish,	টেনিস,	টেনিস,	
dhormi,	ধর্মী,	ধর্মী,	
nirobota,	নিরোবতা,	নিরবতা,	
torabganj,	তরবাগঞ্জ,	তোরাবগঞ্জ,	
kool,	কুল,	কুল,	
jeshtha,	জেষ্ঠ,	জ্যেষ্ঠা,	
jibnagore,	জীবনাগরে,	জীবননগর,	
gronthotike,	গ্রন্থটিকে,	গ্রন্থটিকে,	
bisshasyi,	বিশ্বাসী,	বিশ্বাসই,	
bagdad,	বাগদদ,	বাগদাদ,	
jeellool,	জেল্লুল,	জিল্লুল,	
vittiow,	ভিট্যও,	ভিত্তিও,	
melobborne,	মেলববর্ণে,	মেলবোর্নে,	
bhogini,	ভোগিনী,	ভগিনী,	
utkhat,	উৎখাত,	উত্খাত,	
shenior,	সেনিয়ার,	সিনিয়র,	
heeja,	হেজ,	হেজ,	
shikshakbrindo,	শিক্ষাবকৃণ্দ,	শিক্ষকবৃন্দ,	
provu,	প্রভূ,	প্রভু,	
prakalpagulo,	প্রকল্পগুলো,	প্রকল্পগুলো,	
superheira,	সুপারেহিরা,	সুপারহিরো,	
institutioner,	ইন্সটিটিশনের,	ইনস্টিটিউশনের,	
siitei,	সীতেই,	শীতেই,	
harysher,	হারিসের,	হ্যারিসের,	
ganokantha,	গণকন্ঠ,	গণকণ্ঠ,	
oparogota,	অপররগতা,	অপারগতা,	
day,	দে,	ডে,	
mukhabandha,	মুখাবন্ধ,	মুখবন্ধ,	
japaanira,	জাপানীরা,	জাপানিরা,	
aidii,	আদি,	আইডিই,	
quartar,	কার্টার,	কোয়ার্টার,	
devolapar,	ডেভলপার,	ডেভলপার,	
hijrii,	হিজরী,	হিজরী,	
shakara,	সকাার,	সাকার,	
juktorashtrosaha,	যুক্তসরর্ষ্তভা,	যুক্তরাষ্ট্রসহ,	
amorendro,	অমরেন্দ্র,	অমরেন্দ্র,	
atorkitey,	অতরকিতে,	অতর্কিতে,	
procharona,	প্রচারনা,	প্রচারণা,	
chhatogolper,	ছোটগুলেপের,	ছোটগল্পের,	
elaakaate,	এলাকাতে,	এলাকাতে,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
franko,	ফ্রাঙ্ক,	ফ্রাঙ্কো,	
jeans,	জিন্স,	জিন্স,	
chutochuti,	চুটুচুটি,	ছুটোছুটি,	
chheelonaa,	ছিলনা,	ছিলনা,	
vvimsenn,	ভাইমসেন,	ভীমসেন,	
prapoker,	প্রপোকের,	প্রাপকের,	
jonsa,	জনসা,	জোন্স,	
protijogiider,	প্রতিযোগিদের,	প্রতিযোগীদের,	
scoore,	স্কোর,	স্কোর,	
jibjantu,	জীবজন্তু,	জীবজন্তু,	
sorajur,	সরাজুর,	সরযূর,	
nathibhukto,	নথিভুক্ত,	নথিভুক্ত,	
aashok,	আশকক,	আশোক,	
rajtontrey,	রাজ্তন্ত্রে,	রাজতন্ত্রে,	
kiuti,	কিউটি,	কিউটি,	
swarthe,	স্বর্থে,	স্বার্থে,	
ponthaar,	পণ্ঠার,	পন্থার,	
lambaate,	লম্বাতে,	লম্বাটে,	
lobbyte,	লোব্বতে,	লবিতে,	
guzon,	গুজন,	গুজব,	
bishshaash,	বিশ্বাস,	বিশ্বাস,	
sanaktokaraner,	সনাক্তকরণের,	সনাক্তকরণের,	
bisnukey,	বিষ্ণুকে,	বিষ্ণুকে,	
grambasio,	গ্রামবাশইয়া,	গ্রামবাসীও,	
abasare,	আবাসরে,	অবসরে,	
miley,	মিলে,	মিলে,	
sibraj,	শিবরাজ,	শিবরাজ,	
nirmol,	নির্মল,	নির্মল,	
senabahineeow,	সেনাবাহিগিও,	সেনাবাহিনীও,	
bishnu,	বিষ্ণু,	বিষ্ণু,	
granthoti,	গ্রন্থটি,	গ্রন্থটি,	
naubihar,	নৌবিহার,	নৌবিহার,	
harees,	হারিস,	হ্যারিস,	
rohosyer,	রোহস্যের,	রহস্যের,	
bifol,	বিফল,	বিফল,	
utkhater,	উৎকাতের,	উৎখাতের,	
jemser,	জেমসের,	জেমসের,	
grambaashee,	গ্রামবাসী,	গ্রামবাসী,	
bayii,	বাই,	বাঈ,	
sahopathike,	সহপাথিকে,	সহপাঠীকে,	
abheedhaaneek,	অভিধানিক,	অভিধানিক,	
baiqa,	বাইক,	বাইক,	
prokare,	প্রকারে,	প্রকারে,	
duncan,	ডানকান,	ডানকান,	
spreeadshiit,	স্প্রাডিয়িস,	স্প্রেডশীট,	
ralapha,	রলফা,	রালফ,	
aaeereshe,	আইরেষে,	আইরেসে,	
footballerra,	ফুটবালার,	ফুটবলাররা,	
pothon,	পথন,	পঠন,	
abosorer,	অবসরের,	অবসরের,	
kormozog,	কর্যযোগ,	কর্মযোগ,	
bhandar,	ভান্ডার,	ভাণ্ডার,	
mugdha,	মুগধা,	মুগ্ধ,	
chiraharit,	চিরহরিত,	চিরহরিৎ,	
totokhon,	ততক্ষণ,	ততক্ষন,	
seebiai,	সেবিই,	সিবিআই,	
lisense,	লিসেন্সে,	লাইসেন্স,	
ujbekistan,	উজবেক্স্তান,	উজবেকিস্তান,	
moddhyoshtho,	মধ্যস্থ,	মধ্যস্থ,	
shailee,	সাইলি,	শৈলী,	
soceitytey,	সোকেতিতে,	সোসাইটিতে,	
kuarter,	কোর্টার,	কোয়ার্টার,	
skalastika,	স্কলসটিক্ট,	স্কলাস্টিক,	
bagichaar,	বাজিচার,	বাগিচার,	
diznii,	দিজনি,	ডিজনী,	
hevy,	হেভি,	হেভি,	
parishromi,	পরিশ্রমী,	পরিশ্রমী,	
carlosh,	কার্লস,	কার্লোস,	
jhonkar,	ঝোকার,	ঝঙ্কার,	
baasaake,	বাসাকে,	বাসাকে,	
shansthatir,	সংস্ঠাটির,	সংস্থাটির,	
bikretader,	বিক্রেতাদের,	বিক্রেতাদের,	
purbancoler,	পূর্বন্চলের,	পূর্বাঞ্চলের,	
jommoo,	জমমু,	জম্মু,	
chhatta,	ছতত্ব,	ছোট্ট,	
bhandare,	ভান্ডারে,	ভাণ্ডারে,	
neutrino,	নিউট্রিন,	নিউট্রিনো,	
dinner,	দিন্নের,	ডিনার,	
panchashjan,	পঞ্চাশান,	পঞ্চাশজন,	
jibjontu,	জীবজন্তু,	জীবজন্তু,	
macho,	মাচো,	মাছও,	
geja,	গেজা,	গেজ,	
siramiqs,	সিরামিক্স,	সিরামিকস,	
baaraakpur,	বারাকুর,	বারাকপুর,	
bbiseshyer,	বিশেষ্যের,	বিশেষ্যের,	
aparogata,	অপররগতা,	অপারগতা,	
karlo,	কার্লো,	কার্লো,	
chaudhurir,	চৌধুরির,	চৌধুরীর,	
chalochchitrotike,	চলচ্চিত্রিকে,	চলচ্চিত্রটিকে,	
olympicer,	অলিমপিকের,	অলিম্পিকের,	
damane,	দামানে,	দমনে,	
manushder,	মানুষদের,	মানুষদের,	
besooro,	বেশুরও,	বেসুর,	
lazika,	লাজিকা,	লজিক,	
kamij,	কমিজ,	কামিজ,	
qrita,	ক্রীত,	ক্রীট,	
sthaponagulo,	স্থাপানগুলো,	স্থাপনাগুলো,	
pravuder,	প্রভূউের,	প্রভুদের,	
hajat,	হাজাত,	হজত,	
poscater,	পোশ্কাতের,	পশ্চাতের,	
teereesa,	তেরেশা,	টেরেসা,	
neeshanasa,	নিশানাস,	নেশনস,	
byabaharkareer,	ব্যবহারকারীর,	ব্যবহারকারীর,	
hena,	হেন,	হেনা,	
protijogiir,	প্রতিযোগির,	প্রতিযোগীতার,	
addhattikota,	আধ্যাতিততা,	আধ্যাত্মিকতা,	
swajaner,	স্বজনের,	স্বজনের,	
paddhatiteo,	পদ্ধতিতেও,	পদ্ধতিতেই,	
muhammad,	মুহাম্মদ,	মুহম্মদ,	
chhereche,	ছেরেছে,	ছেড়েছে,	
longghon,	লঙ্ঘন,	লংঘন,	
naagaaland,	নাগালাযান্ড,	নাগাল্যান্ড,	
bolovodro,	বলব্্র,	বলভদ্র,	
pakistanira,	পাকিস্তানীরা,	পাকিস্তানীরা,	
sikkhakbrindo,	শিক্ষাব্যীণ্দ,	শিক্ষকবৃন্দ,	
grontho,	গ্রন্থ,	গ্রন্থ,	
elaakaatir,	এলাকাটির,	এলাকাটির,	
adhit,	অধিত,	অধীত,	
roialti,	রোলটি,	রয়্যালটি,	
sachetanotamulok,	সচেতনাতমূলক,	সচেতনতামূলক,	
zubokshoho,	যুবক্ষ,	যুবকসহ,	
emarjenshi,	এমার্নেশি,	এমার্জেন্সি,	
madraser,	মাদ্রাসের,	মাদ্রাজের,	
pingnaa,	পিঙ্না,	পিংনা,	
dee,	দে,	ডে,	
eshiyatika,	এসেয়েটিক,	এশিয়াটিক,	
saqara,	সকাার,	সকার,	
faster,	ফস্্টার,	ফস্টার,	
archimedeser,	আর্চিমেদেশের,	আর্কিমিডিসের,	
prithbir,	পৃথ্বীর,	পৃথবীর,	
sarano,	সারানো,	সরানো,	
noren,	নরেন,	নরেন,	
pooroheetra,	পুরোহিত্রা,	পুরোহিতরা,	
netherlander,	নেথারল্যান্ডের,	নেদারল্যান্ডের,	
reesideencee,	রেসিডেন্সি,	রেসিডেন্স,	
patigoniter,	পতিগনিতের,	পাটিগণিতের,	
dweepgoolotey,	দ্বীপগুলোতে,	দ্বীপগুলোতে,	
koommatei,	কমমাতেই,	কমাতেই,	
karlosh,	কার্লস,	কার্লোস,	
homasha,	হোমস,	হোমস,	
tawnship,	টাউশ্িিপ,	টাউনশিপ,	
hunayn,	হাউনেন,	হুনাইন,	
grambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
sharther,	সার্থের,	স্বার্থের,	
nagalyand,	নাগলয়ান্ড,	নাগাল্যান্ড,	
mosan,	মোসন,	মোশন,	
marryir,	মারির,	ম্যারির,	
panctaar,	পাঁচার,	পাঁচটার,	
itostata,	ইতস্ততা,	ইতস্তত,	
nathivookta,	নথিযুভ্তকা,	নথিভুক্ত,	
kormoyi,	কর্মই,	কর্মই,	
moshzidke,	মস্জিদে,	মসজিদকে,	
antarvukta,	অন্তর্ভুক্ত,	অন্তর্ভুক্ত,	
hepara,	হেপার,	হাইপার,	
parswer,	পার্সবের,	পার্শ্বের,	
seekkharthirao,	শিক্ষার্থীরা,	শিক্ষার্থীরাও,	
sampadonkari,	সম্পাদনকারী,	সম্পাদনকারী,	
nariikeyi,	নারীকেই,	নারীকেই,	
haphsa,	হাফস,	হাফসা,	
drishtir,	দৃষ্টির,	দৃশ্যটির,	
jwalbe,	জ্বলবে,	জ্বলবে,	
uzbekistan,	উজবেক্স্তান,	উজবেকিস্তান,	
pachhi,	পাঁচি,	পাচ্ছি,	
karmazog,	কর্মযোগ,	কর্মযোগ,	
hepataitisa,	হেপোটিটিস,	হেপাটাইটিস,	
pustir,	পুস্টির,	পুষ্টির,	
smarak,	স্মরক,	স্মারক,	
mugdhata,	মুধধাত,	মুগ্ধতা,	
tonu,	তনু,	তনু,	
lyandim,	লান্ডিং,	ল্যান্ডিং,	
azibonoer,	অজিবনীর,	আজীবনের,	
toki,	টোকি,	তকি,	
afjal,	আফজাল,	আফজল,	
shourshe,	সৌর্ষে,	সোর্স,	
dharavahikbhabe,	ধারাহীতভবাবে,	ধারাবাহিকভাবে,	
rayyalati,	রাইয়ালটি,	রয়্যালটি,	
korkotkrantee,	করক্তর্ন্তি,	কর্কটক্রান্তি,	
tecnocrat,	টেকনোক্রট,	টেকনোক্র্যাট,	
shringgo,	শ্রীগ্ঞ,	শৃঙ্গ,	
pashaner,	পাশনের,	পাষাণের,	
jatee,	জাতি,	যাতি,	
juktarashtreo,	যুক্তরাস্ত্রে,	যুক্তরাষ্ট্রেও,	
sloker,	স্লোকের,	শ্লোকের,	
vatar,	ভাটার,	ভাতার,	
baieq,	ব্যাইক,	বাইক,	
porinoti,	পরিনটি,	পরিণতি,	
rupert,	রুপার্ট,	রুপার্ট,	
overview,	অভারভিভ,	ওভারভিউ,	
janes,	জননেস,	জোন্স,	
kanaflikta,	কনফল্পিক্ট,	কনফ্লিক্ট,	
dipei,	ডিপেই,	দ্বীপেই,	
falah,	ফোলাহ,	ফালাহ,	
udichi,	উদিখি,	উদীচী,	
saainyo,	সাইন্য,	সৈন্য,	
gononanatyo,	গণনান্ত্য,	গণনাট্য,	
fol,	ফোল,	ফল,	
chhed,	ছেদ,	ছেদ,	
mukherji,	মুখার্জি,	মুখার্জী,	
oswasteekor,	অস্বাস্থিকর,	অস্বস্তিকর,	
falkser,	ফক্াসের,	ফক্সের,	
sharthe,	সার্থে,	স্বার্থে,	
beshirbhaageyi,	বেশীরভাগেই,	বেশিরভাগেই,	
bhagerei,	ভাগেরেই,	ভাগেরই,	
sakshatkarer,	সাক্ষাকারের,	সাক্ষাৎকারের,	
arthat,	অর্থাত,	অর্থাৎ,	
bijepi,	বিজেপি,	বিজেপি,	
chiranton,	চির্নত্ন,	চিরন্তন,	
sahochorjo,	সহহর্য,	সাহচর্য,	
spreadsiit,	স্প্রাডিয়িস,	স্প্রেডশীট,	
jetei,	যেতেই,	যেতেই,	
jyaishtha,	যেষ্ঠা,	জ্যৈষ্ঠ,	
chalochchitraeeo,	চালচচিত্রেও,	চলচ্চিত্রেও,	
modhyekar,	মধ্যেকার,	মধ্যেকার,	
dharavahik,	ধারাভাহিক,	ধারাবাহিক,	
abheedhaneec,	অভিধানিক,	অভিধানিক,	
thaakeni,	থাকানি,	থাকেনি,	
mukhamandaler,	মুখমন্ডলের,	মুখমণ্ডলের,	
durvagyo,	দুর্ভাগ্য,	দূর্ভাগ্য,	
shatodha,	সতদাহা,	শতধা,	
shasheja,	সাসেজ,	সসেজ,	
ponjjikar,	পঞ্জিকার,	পঞ্জিকার,	
zzojyota,	যোজ্যতা,	যোজ্যতা,	
jilyaand,	জিল্যান্ড,	জিল্যান্ড,	
azibon,	আজীবন,	আজীবন,	
cholocchitro,	চলচিত্র,	চলচ্চিত্র,	
shomsti,	সমস্তি,	সমষ্টি,	
venkatesh,	ভেনকােটেস,	ভেঙ্কটেশ,	
qanaphliqta,	কনফলিক্ট,	কনফ্লিক্ট,	
preety,	প্রেতি,	প্রিটি,	
ashankai,	আসাঁকাই,	আশঙ্কাই,	
brekethru,	ব্রেকেরুর,	ব্রেকথ্রু,	
dembakreeti,	দিমববকৃতি,	ডিম্বাকৃতি,	
teentir,	তিনটির,	তিনটির,	
orbit,	অর্বিত,	অরবিট,	
oncholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
dristihin,	দৃষ্টিহীন,	দৃষ্টিহীন,	
ancholeo,	অঞ্চলেও,	অঞ্চলেও,	
alpai,	আল্পাই,	অল্পই,	
durgotsob,	দুর্ঘতসব,	দুর্গোৎসব,	
baarak,	বারাক,	বারাক,	
jotinke,	জোটিনকে,	যতীনকে,	
advanshd,	অড্ভান্ধ,	অ্যাডভান্সড,	
nesnosh,	নেশন্ষ,	নেশনস,	
bage,	বাগে,	বাগে,	
soinyoder,	সৈন্যদের,	সৈন্যদের,	
ivir,	এইভির,	এভার,	
shloker,	স্লোকার,	শ্লোকের,	
rohasyor,	রোহস্যর,	রহস্যর,	
shaddhii,	সাদ্ধি,	সাধ্বী,	
gunze,	গুঞজে,	গুঁজে,	
saarbhaarti,	সার্ভার্তী,	সার্ভারটি,	
tonoo,	তনু,	তনু,	
shikkhao,	শিক্ষাও,	শিক্ষাও,	
mataram,	মাতারাম,	মাতরম,	
abosare,	অবসারে,	অবসরে,	
jathartho,	যথার্থ,	যথার্থ,	
arekdal,	আরেকদল,	আরেকদল,	
konflict,	কনফিল্ক্ট,	কনফ্লিক্ট,	
sikkhakrom,	শিক্ষাক্রম,	শিক্ষাক্রম,	
pratijogitar,	প্রতিযোগিতার,	প্রতিযোগীতার,	
dharabahikti,	ধারাহিবিতিক,	ধারাবাহিকটি,	
daankan,	দানকান,	ডানকান,	
nadike,	নাদীকে,	নদীকে,	
onupater,	অনুপাতের,	অনুপাতের,	
sampadankari,	সম্পাদনকারী,	সম্পাদনকারী,	
protjogiita,	প্রত্যোগিতা,	প্রতিযোগীতা,	
suity,	সুইটি,	সুইটি,	
ottacharer,	অত্তাচারের,	অত্যাচারের,	
jeelyand,	জিল্যান্ড,	জিল্যান্ড,	
bhenna,	ভেন্ন,	ভেন্না,	
dobhara,	দোভারা,	ডোভার,	
skolarship,	স্কলারশিপ,	স্কলারশিপ,	
bites,	বিটেস,	বাইটস,	
sombhobonaow,	সম্ভাবনাও,	সম্ভবনাও,	
daebug,	দৈবুগ,	ডিবাগ,	
spredsheet,	স্প্রাডডসট,	স্প্রেডশীট,	
korecha,	করেচা,	করেছ,	
starcer,	স্ট্রার্সার,	স্টার্কের,	
sommotitey,	সম্মতিতে,	সম্মতিতে,	
janachhe,	জানাচ্ছে,	জানাচ্ছে,	
observer,	অবিসর্ভের,	অবজার্ভার,	
timoothy,	তিমুথি,	টিমোথি,	
karu,	কারু,	কারো,	
duuma,	দুমা,	দুমা,	
chaaka,	চাকা,	চাকা,	
niketan,	নিকেতন,	নিকেতন,	
chandrima,	চন্দ্রীমা,	চন্দ্রিমা,	
inamila,	ইনমিল,	এনামেল,	
nodiitir,	নদীতীর,	নদীটির,	
patenter,	প্যাটেন্টার,	পেটেন্টের,	
feemalee,	ফিমালি,	ফিমেল,	
zacksan,	জাকসন,	জ্যাকসন,	
amarendra,	অমরেন্দ্র,	অমরেন্দ্র,	
dooborira,	দুবরীরা,	ডুবুরিরা,	
mandanda,	মণ্দন্ড,	মানদণ্ড,	
kaareer,	কারির,	কারীর,	
antorbhuktimulak,	অন্তর্ভিকূতমূলক,	অন্তর্ভুক্তিমূলক,	
gatre,	গত্রে,	গাত্রে,	
