naper,	নাপের,	ন্যাপের,	
basa,	বাসা,	বাসা,	
maszid,	মাসজিদ,	মসজিদ,	
cool,	কুল,	কুল,	
prothakey,	প্রথাকে,	প্রথাকে,	
niropekkhotaar,	নিরোপক্ষতার,	নিরপেক্ষতার,	
samratder,	সম্রত্েদের,	সম্রাটদের,	
karmasansthan,	কর্মসংস্থান,	কর্মসংস্থান,	
gonohotyakey,	গণহত্যকে,	গণহত্যাকে,	
kousholgoto,	কৌসলগত,	কৌশলগত,	
kanshater,	কাঁসাতের,	কানসাটের,	
ceramicer,	কেরামিকের,	সিরামিকের,	
niropekshtar,	নিরোপেচ্তর,	নিরপেক্ষতার,	
abheedhaanik,	অভিধানিক,	অভিধানিক,	
soinyo,	সৈন্য,	সৈন্য,	
shapod,	শপপদ,	শ্বাপদ,	
neutrino,	নিউট্রিন,	নিউট্রিনো,	
dristiheen,	দৃষ্টিহীন,	দৃষ্টিহীন,	
siqh,	শিখ,	শিখ,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
anish,	অনিষ,	আনিস,	
srabosty,	স্রবস্তি,	শ্রাবস্তী,	
pragresha,	প্রগ্রেস,	প্রগ্রেস,	
raagee,	রাগী,	রাগী,	
mondope,	মন্ডপে,	মন্ডপে,	
surti,	শূর্টি,	সুরটি,	
basaalt,	বাসাল,	ব্যাসল্ট,	
anisha,	অনিষা,	আনিস,	
babylon,	বাবলিন,	ব্যাবিলন,	
progreshsh,	প্রগ্রেস,	প্রগ্রেস,	
oswasteekor,	অস্বতসককত,	অস্বস্তিকর,	
habshee,	হাবসি,	হাবশী,	
uthey,	উঠে,	উঠে,	
prabhritite,	প্রভূতিতে,	প্রভৃতিতে,	
graambaasio,	গ্রামবাসীও,	গ্রামবাসীও,	
kode,	কোড,	কোড,	
prithibir,	পৃথিবীর,	পৃথবীর,	
crete,	ক্রেটে,	ক্রীট,	
baasaa,	বাসা,	বাসা,	
annarup,	অন্যরূপ,	অন্যরূপ,	
ptolemir,	প্লোটিমীর,	টলেমির,	
ashshociatesh,	অ্যাসোসিয়েটস,	এসোসিয়েটস,	
bhaibon,	ভাইবন,	ভাইবোন,	
neermol,	নির্মল,	নির্মল,	
prokolpow,	প্রকল্প,	প্রকল্পও,	
oncolei,	অঁচলেই,	অঞ্চলেই,	
mg,	মগ,	এমজি,	
patthkromer,	পাঠ্রমের,	পাঠক্রমের,	
kutir,	কুটির,	কুটির,	
shource,	সোর্ক,	সোর্স,	
horidar,	হরিদার,	হরিদ্বার,	
lettar,	ল্যাটার,	লেটার,	
gayichhey,	গাইছে,	গাইছে,	
lokkheryo,	লক্ষেও,	লক্ষেরও,	
edhdaning,	এড্যানিং,	ইদানিং,	
window,	উইন্ডো,	উইন্ডো,	
sotorkokaree,	সতরককারী,	সতর্ককারী,	
lutheran,	লুথারেন,	লুথেরান,	
mukkho,	মুখ্,	মুখ্য,	
seector,	সিক্টর,	সেক্টর,	
superhero,	সুপেরহর,	সুপারহিরো,	
pchok,	প্যচক,	পাচক,	
meghnadbodh,	মেঘনাদ্ধবদ,	মেঘনাদবধ,	
iranayer,	ইইরানের,	ইরানের,	
deil,	দেল,	ডেইল,	
chhootite,	ছুটিতে,	ছুটিতে,	
shkolashtic,	স্কটাস্টিক,	স্কলাস্টিক,	
ekoghoore,	একঘুরে,	একঘরে,	
modelgulo,	মোদেলগুলো,	মডেলগুলো,	
nama,	নামা,	নমো,	
shomostike,	সমস্তিকে,	সমষ্টিকে,	
swajan,	স্বাজন,	স্বজন,	
drissogoolo,	দৃশ্যগুলো,	দৃশ্যগুলো,	
sniper,	স্পিপের,	স্নাইপার,	
bhangley,	ভাঙলে,	ভাঙলে,	
grambaaseeo,	গ্রাম্াাসও,	গ্রামবাসীও,	
helloin,	হেলন,	হ্যালোইন,	
ankeeta,	অংকিত,	অঙ্কিতা,	
hunine,	হুনিনে,	হুনাইন,	
lobbytey,	লবিজাতে,	লবিতে,	
ghateer,	ঘটির,	ঘাটির,	
code,	কোড,	কোড,	
bhyatikaner,	ভ্যাতিকাণের,	ভ্যাটিকানের,	
sanbadmadhyamgulote,	সংবাদ্ধমূল্যতে,	সংবাদমাধ্যমগুলোতে,	
saramiks,	সারামিক্স,	সিরামিকস,	
chinto,	চিন্ত,	চিনতো,	
tafasir,	তফসির,	তাফসীর,	
ganokantha,	গণকণ্ঠ,	গণকণ্ঠ,	
phiksim,	ফিক্সিং,	ফিক্সিং,	
hizri,	হিজরি,	হিজরী,	
jarul,	জারুল,	জারুল,	
patthon,	পাঠন,	পঠন,	
bisheshshyer,	বিশেষ্যের,	বিশেষ্যের,	
eucalyptushh,	ইউক্যালিপ্টাস,	ইউক্যালিপ্টাস,	
dharabahikvabey,	ধারাবিকভাবে,	ধারাবাহিকটি,	
browser,	ব্রাসের,	ব্রাউজার,	
muhmmoder,	মুহ্মদের,	মুহম্মদের,	
graameroi,	গ্রামারই,	গ্রামেরই,	
bagey,	ব্যাগে,	বাগে,	
jins,	জিনস,	জিন্স,	
spredasita,	স্প্রেডাসিট,	স্প্রেডশীট,	
aazan,	আজন,	আজান,	
bonyopraan,	বন্যপ্রাণ,	বন্যপ্রাণ,	
soras,	সরাস,	সরস,	
jotsna,	যৎস্ন,	জ্যোৎস্না,	
jokrito,	যকৃত,	যকৃৎ,	
badna,	বান্না,	বদনা,	
akkhunno,	অক্ষুণ্ন,	অক্ষুণ্ণ,	
goteebege,	গতিবেগে,	গতিবেগে,	
roktokhorone,	রক্তকর্ষণে,	রক্তক্ষরণে,	
masey,	মাসে,	মাসে,	
parqim,	পার্কিম,	পার্কিং,	
niranjan,	নিরঞ্জন,	নিরঞ্জন,	
sikkhokbreendo,	শিক্ষবণবৃন্ত,	শিক্ষকবৃন্দ,	
tochhnochh,	তোঁচন,	তছনছ,	
falah,	ফলা,	ফালাহ,	
sarbharer,	সর্ভারের,	সার্ভারের,	
anti,	অন্তি,	আন্টি,	
damodar,	দামোডার,	দামদর,	
gazetted,	গ্যাজেটেড,	গেজেটেড,	
scare,	স্কের,	স্কোর,	
kings,	কিংস,	কিংস,	
badei,	বাদেই,	বাদেই,	
chalochchitra,	চলচিত্র,	চলচ্চিত্র,	
teknokrat,	তেকনক্রত,	টেকনোক্র্যাট,	
associetes,	অ্যাসোসিয়েট,	এসোসিয়েটস,	
gaafeeloti,	গাফলিলি,	গাফিলতি,	
eastar,	এস্তার,	ইস্টার,	
badhadan,	বাধাান,	বাধাদান,	
bolokarok,	বলকরক,	বলকারক,	
marmara,	মার্মার,	মারমারা,	
domone,	দমনে,	দমনে,	
bisheshshyo,	বিশেষ্,	বিশেষ্য,	
armstronz,	আর্স্টোর্জ,	আর্মস্ট্রং,	
itostatah,	ইতস্তাহ,	ইতস্ততঃ,	
shaapholler,	সাফল্যের,	সাফল্যের,	
suparheiro,	সুপারেহেরও,	সুপারহিরো,	
kakhonyoba,	কখনোব,	কখনওবা,	
tolemyr,	তলেমীর,	টলেমির,	
jetam,	যেতাম,	যেতাম,	
rajotwo,	রাজত্ব,	রাজত্ব,	
kaferderkey,	কাফেরদেরকে,	কাফেরদেরকে,	
bondhuvabaponyo,	বন্ধুপূন্ব,	বন্ধুভাবাপন্ন,	
durgoto,	দুর্গত,	দূর্গত,	
sharther,	শর্থের,	স্বার্থের,	
suresh,	সুরেশ,	সুরেশ,	
remacry,	রেমক্রি,	রেমাক্রী,	
marmaraa,	মার্মার,	মারমারা,	
debdebee,	দেবদ্বী,	দেবদেবী,	
garjan,	গর্জন,	গর্জন,	
thaanobhi,	থানাবি,	থানভী,	
oshovyo,	অসভ্য,	অসভ্য,	
keengdom,	কিংগড,	কিংডম,	
dibeting,	ডিবেটিং,	ডিবেটিং,	
vogni,	ভগ্নী,	ভগ্নী,	
netherlandey,	নেথালর্যান্ডে,	নেদারল্যান্ডে,	
bonshoke,	বংশকে,	বংশকে,	
hamburge,	হাম্ববরগগ,	হামবুর্গে,	
baikalyo,	বৈকল্য,	বৈকল্য,	
dhanchey,	ধাঁছে,	ধাঁচে,	
eexpreession,	এক্সপ্রেশন,	এক্সপ্রেশন,	
zuktorastroshoho,	যুক্তরাস্থস,	যুক্তরাষ্ট্রসহ,	
mesenzarer,	মেসেন্জারের,	মেসেঞ্জারের,	
guzon,	গুজন,	গুজব,	
dharabhiko,	ধারাভিক,	ধারাবাহিকেও,	
proshadhoner,	প্রশাধনের,	প্রসাধনের,	
swatantrata,	স্বাত্ত্ররতা,	স্বতন্ত্রতা,	
rautine,	রাউটিন,	রুটিন,	
prai,	প্রাই,	প্রায়,	
jatata,	যতাতা,	যতোটা,	
nyeta,	ন্যাট,	ম্যাট,	
graambaashio,	গ্রামবাসী,	গ্রামবাসীও,	
sikkhagata,	শিক্ষাগত,	শিক্ষাগত,	
dajyo,	দাজ্য,	দাহ্য,	
vittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
homsher,	হমসের,	হোমসের,	
mutar,	মুটার,	মুতার,	
firoza,	ফিরোজা,	ফিরোজা,	
sanghorsheek,	সংঘর্ষিক,	সাংঘর্ষিক,	
leder,	লেডার,	লিডার,	
nadnodir,	নাদনদীর,	নদনদীর,	
daroda,	দারোডা,	দারদা,	
plainey,	প্লেনে,	প্লেনে,	
konflikt,	কনফ্লিক্ট,	কনফ্লিক্ট,	
dwibidh,	দ্বিবিধ,	দ্বিবিধ,	
vogno,	ভগ্ন,	ভগ্ন,	
auncholo,	অঞ্চলো,	অঞ্চলও,	
transphorm,	ট্রান্সফার্ম,	ট্রান্সফর্ম,	
proman,	প্রমান,	প্রমান,	
toroonra,	তরনুরা,	তরুণরা,	
blyaqa,	ব্লক,	ব্ল্যাক,	
idaning,	ইডনিং,	ইদানিং,	
shilver,	শিলভের,	সিলভার,	
vagno,	ভাগ্ন,	ভগ্ন,	
nepchooner,	নেপচনের,	নেপচুনের,	
damone,	দমনে,	দমনে,	
aasar,	আসার,	আসর,	
shooknaa,	শুকনা,	শুকনা,	
antarbhuktimulak,	অন্তর্ভূলিকমূক,	অন্তর্ভুক্তিমূলক,	
juktorashtrasaha,	যুক্তরাস্টাস,	যুক্তরাষ্ট্রসহ,	
amarendro,	আমরেন্দ্র,	অমরেন্দ্র,	
naditir,	নদীতির,	নদীটির,	
parqs,	পার্কস,	পার্কস,	
hukar,	হুকার,	হুকার,	
sanghorshik,	সংঘর্ষিক,	সাংঘর্ষিক,	
bauger,	বাগের,	বাগের,	
skolastic,	স্কলাস্টিক,	স্কলাস্টিক,	
kaaferder,	কাফেরদের,	কাফেরদের,	
adwanced,	অ্যাডব্যান্ডে,	অ্যাডভান্সড,	
jesha,	জেস,	জেস,	
alaul,	অলাউল,	আলাওল,	
bhagirath,	ভাগীরথ,	ভগীরথ,	
youth,	যৌথ,	ইয়ুথ,	
udichi,	উদিচি,	উদীচী,	
sheema,	সীমা,	সীমা,	
iyaka,	ইয়াক,	ইয়াক,	
bisheshyer,	বিশেষ্যের,	বিশেষ্যের,	
bosben,	বসবেন,	বসবেন,	
manush,	মানুশ,	মানুষ,	
sompadonkaree,	সম্পাদনানকারী,	সম্পাদনকারী,	
sammatitey,	সম্মাতিতে,	সম্মতিতে,	
eesa,	ইসা,	আইএএস,	
chalochchitreeo,	চলচিত্রী,	চলচ্চিত্রেও,	
nirapekkhotaar,	নিরেপক্ষতার,	নিরপেক্ষতার,	
neerbachoker,	নির্বাচকের,	নির্বাচকের,	
bhittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
apocheshta,	অপপেষ্টা,	অপচেষ্টা,	
streegon,	স্ত্রীগণ,	স্ত্রীগণ,	
lag,	লাগ,	লগ,	
pramathesh,	প্রমথেষ,	প্রমথেশ,	
pleeto,	প্লিট,	প্লেটো,	
noditir,	নদীতির,	নদীটির,	
azaan,	আজান,	আজান,	
apohoron,	অপহরণ,	অপহরন,	
chilahatee,	চিলাহতি,	চিলাহাটি,	
sommotir,	সম্মটির,	সম্মতির,	
nirvachoker,	নির্বাচকের,	নির্বাচকের,	
ranangone,	রণানগণে,	রণাঙ্গনে,	
porikhar,	পরীক্ষার,	পরিখার,	
dayna,	ডাইন,	ডায়না,	
anekeri,	অনেকরেই,	অনেকেরই,	
nederlande,	নেদারল্যান্ডে,	নেদারল্যান্ডে,	
qrisenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
kuary,	কার়ারি,	কোয়েরি,	
ddhake,	ঢাকে,	ঢেকে,	
talgach,	তালগাছ,	তালগাছ,	
categoryer,	কটেগরের,	ক্যাটাগরির,	
bachhaikrito,	বাচ্ছৃকৃত,	বাছাইকৃত,	
janoika,	জননইকা,	জনৈকা,	
jojyata,	যোয্যতা,	যোজ্যতা,	
ponni,	পন্নি,	পন্নী,	
stoona,	স্টোন,	স্টোন,	
shaswata,	শাস্বতা,	শাশ্বত,	
konishtho,	কনিষ্ঠ,	কনিষ্ঠ,	
manjurul,	মান্ুরুল,	মনজুরুল,	
janalo,	জানালো,	জানালো,	
aalaa,	আলা,	আলা,	
gaphiloti,	গাফিলোটি,	গাফিলতি,	
basano,	বাসানো,	বসানো,	
chhaani,	ছানি,	ছানি,	
gatibege,	গতিবেগে,	গতিবেগে,	
huqar,	হুকার,	হুকার,	
suparichiti,	সুপারিচিতি,	সুপরিচিতি,	
seemons,	সেমন্স,	সিমন্স,	
ispredsit,	ইস্্রেেডিস,	স্প্রেডশীট,	
choiti,	চৈতি,	চৈতি,	
spredshiit,	স্প্রেসিিট,	স্প্রেডশীট,	
sahocorrzo,	সহচরর্জ,	সাহচর্য,	
tookrotey,	তুকরেতে,	টুকরোতে,	
nabyata,	নব্যতা,	নাব্যতা,	
horidwar,	হরিদ্যার,	হরিদ্বার,	
gadhaa,	গাধা,	গাধা,	
steit,	স্টেইট,	স্টেইট,	
parinoti,	পরিনতি,	পরিণতি,	
allahabadey,	আল্লাহাদে,	এলাহাবাদে,	
doover,	ডুভের,	ডোভার,	
patengar,	পতেন্গার,	পতেঙ্গার,	
carpet,	কর্পেট,	কার্পেট,	
soccar,	সক্্র,	সকার,	
probeshon,	প্রবেশন,	প্রবেশন,	
bondhuderke,	বন্ধুদেরকে,	বন্ধুদেরকে,	
halding,	হালদিং,	হোল্ডিং,	
yuk,	ইউক,	ইয়াক,	
itastatoh,	ইতস্তাতও,	ইতস্ততঃ,	
gandharir,	গান্ধারীর,	গান্ধারীর,	
ooipokar,	অপপকার,	উইপোকার,	
neurologi,	নিউরোলোজি,	নিউরোলজি,	
venam,	ভেনাম,	ভেনম,	
chowdhuryo,	চৌধুর্য,	চৌধুরীও,	
arjara,	অর্জার,	আর্যরা,	
koontee,	কুনটি,	কুন্তী,	
bocchoner,	বক্ছনের,	বচ্চনের,	
spashtotai,	স্পষ্টতাই,	স্পষ্টতই,	
dwipgulote,	দ্বীপগুলোতে,	দ্বীপগুলোতে,	
elaaka,	এলাকা,	এলাকা,	
loukeek,	লৌকিক,	লৌকিক,	
kanshat,	কাঁসাত,	কানসাট,	
nironjan,	নিরঞ্জন,	নিরঞ্জন,	
artillery,	অর্টালিরই,	আর্টিলারি,	
ducktickete,	ডাক্িকেটে,	ডাকটিকিটে,	
antarktikar,	আন্তর্কটিকর,	অ্যান্টার্কটিকার,	
hundayi,	হান্ডেই,	হুন্দাই,	
mandope,	মান্দপে,	মন্ডপে,	
aunti,	অন্তি,	আন্টি,	
dece,	ডিসে,	ডেকে,	
durgondher,	দুর্ঘন্দের,	দুর্গন্ধের,	
onnoroop,	অন্যরূপ,	অন্যরূপ,	
rajnoitik,	রাজনৈতিক,	রাজনৈতীক,	
associatis,	অ্যাসোসিয়েটিস,	এসোসিয়েটস,	
phood,	ফুড,	ফুড,	
ganosachetanata,	গনসাচাতনতা,	গণসচেতনতা,	
benj,	বেঁজ,	বেঞ্জ,	
spredashiita,	স্প্রেডাসিস,	স্প্রেডশীট,	
par,	পার,	পাব,	
masjidke,	মাসজিদকে,	মসজিদকে,	
jack,	জ্যাক,	জ্যাক,	
poonch,	পুঁচ,	পুঞ্চ,	
sossa,	শস্য,	শশা,	
uporitol,	উপরিতল,	উপরিতল,	
eqsapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
abarte,	আবর্তে,	আবর্তে,	
marry,	মেরী,	ম্যারি,	
satjan,	সত্যান,	সাতজন,	
ovigomon,	অভিগোমণ,	অভিগমন,	
ancholtitey,	অঞ্চলতিতে,	অঞ্চলটিতে,	
pratishta,	প্রতিষ্টা,	প্রতিষ্টা,	
harano,	হারানো,	হারান,	
jolook,	জলুক,	জ্বলুক,	
torabgunj,	তরাাবঞ্জ,	তোরাবগঞ্জ,	
udvaboni,	উদ্ভবনী,	উদ্ভাবনী,	
carpeter,	কর্পেটার,	কার্পেটের,	
direectoratee,	ডিরেক্টরেট,	ডিরেক্টরেট,	
bike,	বিকে,	বাইক,	
gasthii,	গ্যাস্থী,	গোষ্ঠীই,	
istane,	ইস্তানে,	স্টোন,	
shikshakbrinda,	শিক্ষাপবৃন্ত,	শিক্ষকবৃন্দ,	
baron,	বারণ,	ব্যারন,	
jacqsan,	জ্যাকশন,	জ্যাকসন,	
songhitar,	সংঘীতার,	সংহিতার,	
dosider,	দশীদের,	দোষীদের,	
oncholo,	অঞ্চলো,	অঞ্চলও,	
ralf,	রলফ,	রালফ,	
dorji,	দরজজি,	দরজি,	
sulphate,	সুলফাতে,	সালফেট,	
buffar,	বুফফার,	বাফার,	
estaniya,	এস্টেনিয়া,	এস্তোনিয়া,	
aap,	আপ,	আপ,	
deeliveer,	ডিলিভের,	ডেলিভার,	
monir,	মনির,	মনির,	
chorchito,	চর্চিত,	চর্চিত,	
miley,	মিলে,	মাইলি,	
bosstonte,	বস্টননে,	বসন্তে,	
khalidkay,	খালিদকে,	খালিদকে,	
uposhthit,	উপস্থিত,	উপস্থিত,	
varshon,	ভার্সন,	ভারশন,	
heena,	হীনা,	হেনা,	
akik,	একীক,	আকিক,	
carlo,	কার্ল,	কার্লো,	
chenza,	চেঁচা,	চেঞ্জ,	
direektareeta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
peoples,	পাইপ্লেস,	পিপলস্,	
pachok,	পাঁচক,	পাচক,	
ponero,	পনেরো,	পনের,	
siddhantey,	সিদ্ধান্তে,	সিদ্ধান্তে,	
butha,	বুথ,	বুথ,	
mosleh,	মোসলেহ,	মোসলেহ,	
deezni,	ডিজনী,	ডিজনী,	
nafisa,	নফিস,	নাফিসা,	
byabaharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
niqela,	নিকেলা,	নিকেল,	
arekdol,	আরেকদল,	আরেকদল,	
marketing,	মার্কেইটিং,	মার্কেটিং,	
harbur,	হারবুর,	হারবার,	
dormetory,	ডরমেটরী,	ডরমিটরি,	
score,	স্কোর,	স্কোর,	
samudrotate,	সমুদ্রতাই,	সমুদ্রতটে,	
monmoth,	মনমো,	মন্মথ,	
manobsomajer,	মানসমাাাের,	মানবসমাজের,	
puncho,	পুঁচও,	পুঞ্চ,	
dera,	ডের,	ডেরা,	
teestar,	টেস্টার,	তিস্তার,	
