mukhya,	মূখ্য,	মুখ্য,	
chetanagato,	চেটনাগত,	চেতনাগত,	
tantira,	তা্তিরা,	তাঁতিরা,	
alaol,	আলাওল,	আলাওল,	
paschater,	পাশচাতের,	পশ্চাতের,	
grambasi,	গ্রামবাসী,	গ্রামবাসী,	
naazee,	নাজি,	নাত্সি,	
raia,	রাই,	রায়,	
shringey,	স্রিঞ্জে,	শৃঙ্গে,	
shadena,	সাডেন,	সাডেন,	
marjito,	মর্জিত,	মার্জিত,	
ibhila,	এভিল,	ইভিল,	
parishrami,	পরিস্রামী,	পরিশ্রমী,	
sangrahak,	সংগ্রহক,	সংগ্রাহক,	
loukikotaa,	লৌকিকতা,	লৌকিকতা,	
mousumer,	মৌসমের,	মৌসুমের,	
logicer,	লোগিকের,	লজিকের,	
beshirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
sompadon,	সম্পাদন,	সম্পাদন,	
khelaphatey,	খেলাফাতে,	খেলাফতে,	
vabatarini,	ভববাতিরণী,	ভবতারিণী,	
elakasoho,	এলাকাশহ,	এলাকাসহ,	
gajiipur,	গাজিপুর,	গাজীপুর,	
falashrutite,	ফলাসরুশিতে,	ফলশ্রুতিতে,	
sangkulan,	সংকুলন,	সংকুলান,	
ogradut,	অগ্রাদুত,	অগ্রদূত,	
niropekkhotaar,	নিরপ্েকেশতার,	নিরপেক্ষতার,	
avisongson,	অভিসংসন,	অভিশংসন,	
cetholic,	সাথলিক,	ক্যাথলিক,	
bhugole,	ভুগলে,	ভূগোলে,	
zeeland,	জিল্যান্ড,	জিল্যান্ড,	
beam,	বিম,	বীম,	
proteesthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
rakhtokkharoner,	রক্তকর্ষণের,	রক্তক্ষরণের,	
oitihya,	ঐতিহ্য,	ঐতিহ্য,	
graambaseeder,	গ্রামবাদীদের,	গ্রামবাসীদের,	
melborner,	মেলবর্নের,	মেলবোর্নের,	
brookoleen,	ব্রুকলিন,	ব্রুকলিন,	
laisensim,	লাইসসিং,	লাইসেন্সিং,	
rajatta,	রাজত্ব,	রাজত্ব,	
roktokshoroner,	রক্তক্ষণেরণ,	রক্তক্ষরণের,	
kompeeto,	কম্পিট,	কম্পিত,	
chedropothe,	চেদ্রপথে,	ছিদ্রপথে,	
barnis,	বার্নিস,	বার্নিশ,	
nathibhuktir,	নথিভুক্তির,	নথিভুক্তির,	
cal,	ক্যাল,	চাল,	
laicense,	লাইনেস,	লাইসেন্স,	
neutrino,	নিউট্রিন,	নিউট্রিনো,	
kirti,	কীর্তি,	কীর্তি,	
abosore,	অবসরে,	অবসরে,	
thaakte,	থাকতে,	থাকতে,	
phimeela,	ফিমেল,	ফিমেল,	
scoree,	স্কোরি,	স্কোরে,	
swalpo,	স্বল্প,	স্বল্প,	
siqh,	সিখ,	শিখ,	
dharavahiktite,	ধররাভিত্বিতে,	ধারাবাহিকটিতে,	
varma,	ভর্ম,	ভার্মা,	
shoccer,	শক্যের,	সকার,	
iash,	আয়াশ,	আইএএস,	
nirapattamulok,	নিরাপত্মূলক,	নিরাপত্তামূলক,	
dalu,	দালু,	ডালু,	
sorbopori,	সর্বোপরি,	সর্বোপরী,	
gitikobita,	গীতিকাবিতা,	গীতিকবিতা,	
ganoporibahoner,	গণপরিবহনের,	গণপরিবহনের,	
karmosampadan,	কর্মসম্পান,	কর্মসম্পাদন,	
breakthraugh,	ব্রেক্রাগুহ,	ব্রেকথ্রু,	
ase,	আশে,	আসে,	
taap,	টুপ,	ট্যাপ,	
salapheeta,	সালফেট,	সালফেট,	
queery,	কিউইরি,	কোয়েরি,	
heejee,	হেজি,	হেজ,	
fevarite,	ফেবারাইট,	ফেভারিট,	
naniir,	নানীর,	নানীর,	
jaygata,	জাগত,	জায়গাটা,	
siima,	সিম,	সীমা,	
sakaar,	সাকার,	সকার,	
themekey,	থেমেকে,	থিমকে,	
chutochuti,	চুটুচুটি,	ছুটোছুটি,	
niutrinoo,	নিউট্রোন,	নিউট্রিনো,	
setan,	সেটান,	শয়তান,	
gronthei,	গ্রন্থেই,	গ্রন্থেই,	
karechi,	করেছি,	করেছি,	
baju,	বাজু,	বাজু,	
poschime,	পশ্চিমে,	পশ্চিমে,	
asamonjoshyopurno,	অসমানযোস্যপ,	অসামঞ্জস্যপূর্ণ,	
ropto,	রপ্ত,	রপ্ত,	
seebiai,	সেবিয়ে,	সিবিআই,	
abheedhaneec,	অভিধানিক,	অভিধানিক,	
bohoodin,	বহুদিন,	বহুদিন,	
temanti,	টেমননটি,	তেমনটি,	
nesnos,	নেনসন,	নেশনস,	
prakalpaguli,	প্রাকলগুলি,	প্রকল্পগুলি,	
raya,	রয়,	রায়,	
uddhrito,	উদ্ধৃত,	উদ্ধৃত,	
venisey,	ভেনিসে,	ভেনিসে,	
heebhi,	হেভি,	হেভি,	
nirmankaaj,	নির্মানকা,	নির্মাণকাজ,	
antorvuktimulok,	অন্নর্ভূত্বিক,	অন্তর্ভুক্তিমূলক,	
baait,	বাইট,	বাইট,	
koilaash,	কৈলাশ,	কৈলাস,	
niqela,	নিকেলা,	নিকেল,	
paira,	পায়ার,	পাইরা,	
huge,	হুগে,	হিউজ,	
cade,	ক্যাডে,	কোড,	
isosiyitasa,	ইসিসিসেটাস,	এসোসিয়েটস,	
mukhomaundoley,	মুখমন্ডলে,	মুখমণ্ডলে,	
dhhabi,	ধাবি,	ঢাবি,	
khoja,	খোজজা,	খোজা,	
shangsthati,	সংস্থতটি,	সংস্থাটি,	
jaak,	যাঁক,	জাঁক,	
muradpur,	মুরাদপুর,	মুরাদপুর,	
jerokom,	জেরকম,	যেরকম,	
bhittiteow,	ভিটিতেও,	ভিত্তিতেও,	
jibonto,	জীবন্ত,	জীবন্ত,	
harisher,	হরিশের,	হ্যারিসের,	
sonaktokaran,	সনাক্তকাণ,	সনাক্তকরণ,	
patenter,	প্যাটেন্টের,	পেটেন্টের,	
maile,	মেইল,	মাইলি,	
shhipa,	সিপ,	শিপ,	
bede,	বেডে,	বেদে,	
qota,	কোট,	কোটা,	
jillul,	জিলুল,	জিল্লুল,	
gate,	গেট,	গ্যেটে,	
bhorodwaj,	ভররদ্যাজ,	ভরদ্বাজ,	
iviem,	এভিয়াম,	ইভিএম,	
digri,	ডিগ্রী,	ডিগ্রি,	
jerushalema,	জেরুশালাম,	জেরুসালেম,	
sangasthaner,	সংবোষ্ঠানের,	সংস্থানের,	
byasalt,	ব্যাসলট,	ব্যাসল্ট,	
ashonka,	আসনকা,	আশঙ্কা,	
hotochokeeto,	হতচোচিত,	হতচকিত,	
nisad,	নিশাদ,	নিষাদ,	
alankaran,	অলংকরণ,	অলঙ্করণ,	
windo,	উইন্ড,	উইন্ডো,	
baaraak,	বারাক,	বারাক,	
sbaajan,	স্বজন,	স্বজন,	
keuoi,	কিউই,	কেউই,	
jons,	জনস,	জোন্স,	
bidrup,	বিদ্রুপ,	বিদ্রূপ,	
asamarik,	আসামরিক,	অসামরিক,	
seramiqs,	সেরামিক্স,	সিরামিকস,	
bhaangchur,	ভাঙ্চুর,	ভাংচুর,	
shiqara,	শিক্রা,	শিকার,	
zesa,	জেস,	জেস,	
stain,	স্টেইন,	স্টেন,	
galpokar,	গল্পকার,	গল্পকার,	
estania,	এস্টেনিয়া,	এস্তোনিয়া,	
ameerika,	অমেরিকা,	আমেরিকা,	
ghese,	ঘেষে,	ঘেঁষে,	
hoteeltite,	হটিলিটে,	হোটেলটিতে,	
pitth,	পিঠ,	পীঠ,	
protizogiider,	প্রতিযোগীদের,	প্রতিযোগীদের,	
stationer,	স্টেশনের,	ষ্টেশনের,	
haak,	হাক,	হুক,	
satan,	সতন,	শয়তান,	
mashajida,	মাশাজিদা,	মসজিদ,	
nirapekkho,	নিরপ্কেষ্,	নিরপেক্ষ,	
browser,	ব্রাসের,	ব্রাউজার,	
archimedes,	আর্কিমেডেস,	আর্কিমিডিস,	
tempaleta,	টেমপিলেট,	টেম্পলেট,	
bhittiti,	ভিত্তিটি,	ভিত্তিটি,	
praman,	প্রমাণ,	প্রমান,	
jokey,	যোকে,	জকি,	
porbotmala,	পর্বতত্মালা,	পর্বতমালা,	
manob,	মানব,	মানব,	
turkmen,	তুরকমেন,	তুর্কমেন,	
kolahol,	কলাহল,	কোলাহল,	
dharavahik,	ধারাভাহিক,	ধারাবাহিক,	
vatar,	ভাটার,	ভাতার,	
jyestha,	জেষ্থা,	জ্যেষ্ঠা,	
dephineshhana,	ডেফিফেশন,	ডেফিনেশন,	
muhammadi,	মুহাম্মদী,	মুহাম্মদী,	
masterer,	মোস্টারের,	মাস্টারের,	
reno,	রেনো,	রেনো,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
kinsha,	কিংস,	কিংস,	
nartan,	নর্তন,	নর্টন,	
moushum,	মৌশুম,	মৌসুম,	
through,	থ্রুঘ,	থ্রু,	
parking,	পার্কিং,	পার্কিং,	
songasthagulo,	সংস্থাগুলো,	সংস্থাগুলো,	
stalin,	স্টাযালিন,	স্টালিন,	
teenisa,	টেনিস,	টেনিস,	
fiksim,	ফিক্সিম,	ফিক্সিং,	
onupater,	অনুপতের,	অনুপাতের,	
bongobondhu,	বংবগন্ধু,	বঙ্গবন্ধু,	
dharabahikvabe,	ধারাবাভিকভাবে,	ধারাবাহিকভাবে,	
cheettronnatyokar,	চিত্রনা্্যাক্যার,	চিত্রনাট্যকার,	
bhotarer,	ভোতরের,	ভোটারের,	
ranadeep,	রানাডিপ,	রণদীপ,	
haran,	হরণ,	হারান,	
parichchhannata,	পরিচ্ছান্যতা,	পরিচ্ছন্নতা,	
daaktikit,	দাক্তিকিত,	ডাকটিকিট,	
carzito,	চার্জিত,	চার্জিত,	
donaat,	দননত,	ডোনাট,	
iceberg,	ইইসেবর্গ,	আইসবার্গ,	
prostut,	প্রস্তুত,	প্রস্ত্তত,	
motkey,	মোটকে,	মতকে,	
bird,	বার্ড,	বার্ড,	
drissogulote,	দৃর্যুগুলোতে,	দৃশ্যগুলোতে,	
kaantojir,	কান্তজীর,	কান্তজির,	
ba,	বা,	বু,	
baireyo,	বৈরেয়,	বাইরেও,	
bike,	বিকে,	বাইক,	
danckan,	ডাকান,	ডানকান,	
oncholti,	অঞ্চলটি,	অঞ্চলটি,	
apoharon,	অপহরণ,	অপহরন,	
purbancoler,	পূর্বাঙ্চলের,	পূর্বাঞ্চলের,	
charger,	চর্যার,	চার্জার,	
ponthar,	পণ্্থার,	পন্থার,	
makhmale,	মাখমমে,	মখমলে,	
staylish,	স্টাইলিস,	স্টাইলিশ,	
vabook,	ভাবুক,	ভাবুক,	
barbadoz,	বার্বাড,	বার্বাডোজ,	
charchita,	চারচিত,	চর্চিত,	
neerbahi,	নির্বাহী,	নির্বাহি,	
tyap,	ট্যাপ,	ট্যাপ,	
armstronz,	আর্মর্ট্টোং,	আর্মস্ট্রং,	
ekooghore,	একঘরে,	একঘরে,	
obharabhiu,	অভারভভিয়ো,	ওভারভিউ,	
kyamone,	কমযাননে,	কেমনে,	
metrapalitana,	মেট্রাপোলিটান,	মেট্রোপলিটন,	
se,	সে,	সে,	
shukranoo,	শুক্রাণু,	শুক্রানু,	
mozlishpur,	মজলিসপুর,	মজলিশপুর,	
nirmankaz,	নির্মান্ক,	নির্মাণকাজ,	
pleta,	প্লট,	প্লেটো,	
maadhoori,	মধধুরী,	মাধুরী,	
abosaney,	অবসনে,	অবসানে,	
chhutee,	ছুটি,	ছুটি,	
besirbhagei,	বেশীরভাগেই,	বেশিরভাগেই,	
bima,	বিম,	বিম,	
gobeshonar,	গবেষণার,	গবেষনার,	
degreeke,	ডিগ্রীকে,	ডিগ্রিকে,	
shookna,	শুকনা,	শুকনা,	
jonogononar,	জনগণনার,	জনগণনার,	
jeevjontu,	জীবনযুক্ত,	জীবজন্তু,	
ekaatto,	একাত্ম,	একাত্ব,	
koda,	কোড,	কোড,	
societytey,	সোচিতিতে,	সোসাইটিতে,	
sanbadmadhyame,	সংবাদধ্যম্যে,	সংবাদমাধ্যমে,	
sanatoni,	স্যানটনি,	সনাতনী,	
gavaskar,	গভস্কার,	গাভাস্কার,	
bagmara,	বাগমার,	বাগমারা,	
banshite,	বাযান্সিতে,	বাঁশিতে,	
stoneeheengee,	স্টনেহিজ্ঞ,	স্টোনহেঞ্জ,	
joni,	যোনি,	জনি,	
onkeeta,	অঙ্কেট,	অঙ্কিতা,	
jansa,	জন্স,	জন্স,	
fartha,	ফার্থ,	ফার্থ,	
padarthabidder,	পদার্থবিদ্যের,	পদার্থবিদদের,	
daaktickete,	ডাক্টিকিটে,	ডাকটিকিটে,	
bikaargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
jatti,	জাতটি,	জাতটি,	
karadande,	কারাদন্ডে,	কারাদণ্ডে,	
smaroker,	স্মরাকের,	স্মারকের,	
falkati,	ফলকাতি,	ফলকটি,	
kraantikaale,	ক্রান্তিকালে,	ক্রান্তিকালে,	
crescenter,	ক্রিস্টেন্টের,	ক্রিসেন্টের,	
gor,	গর,	গোর,	
tinti,	তিনটি,	তিনটি,	
madelim,	ম্যাডেলিং,	মডেলিং,	
mousumei,	মৌশুমেই,	মৌসুমেই,	
kiandi,	ক্যান্ডি,	ক্যান্ডি,	
pujito,	পুজিত,	পুজিত,	
sotteo,	সত্যেও,	সত্ত্বেও,	
karecho,	করেছ,	করেছো,	
silwer,	শিল্বের,	সিলভার,	
ghurtey,	ঘুরতে,	ঘুরতে,	
dwibidho,	দ্বিবিধ,	দ্বিবিধ,	
thakey,	থাকে,	থাকে,	
dokaangulotey,	দকাাগুলোতে,	দোকানগুলোতে,	
satarkakaree,	সতারকারী,	সতর্ককারী,	
bhenom,	ভেনোম,	ভেনম,	
osthisandhi,	অস্থিসান্ধ্বী,	অস্থিসন্ধি,	
phood,	ফুড,	ফুড,	
shansthati,	সংস্থতি,	সংস্থাটি,	
yukeliptas,	যুকেলিপ্যাকেসা,	ইউক্যালিপ্টাস,	
gardeena,	গার্ডেন,	গার্ডেন,	
schedule,	স্কেডুলে,	শিডিউল,	
ooporostho,	উপরস্থ,	উপরস্থ,	
samajeekotar,	সমাজিকিতার,	সামাজিকতার,	
conflict,	কনফিল্ট,	কনফ্লিক্ট,	
economeeks,	ইকোনমিক্স,	ইকোনমিকস,	
shasheja,	শাসেজ,	সসেজ,	
shivraj,	শিবরাজ,	শিবরাজ,	
udbhabon,	উদ্ভবন,	উদ্ভাবন,	
hoolding,	হোলডিং,	হোল্ডিং,	
abasane,	আবাসনে,	অবসানে,	
jammu,	জাম্মু,	জম্মু,	
jathartho,	যথার্থ,	যথার্থ,	
phorex,	ফরেক্স,	ফরেক্স,	
osamanno,	অসমান্ন,	অসামান্য,	
aasif,	আসিফ,	আসিফ,	
brander,	ব্র্যান্ডের,	ব্রান্ডের,	
growth,	গ্রাথ,	গ্রোথ,	
tateo,	তাটেও,	তাতেও,	
baruklin,	বারুক্লিন,	ব্রুকলিন,	
somabesh,	সমবেবেশ,	সমাবেশ,	
bonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
jacqson,	য্যাস্ন,	জ্যাকসন,	
noitikota,	নৈতিকতা,	নৈতিকতা,	
parinati,	পরিণাটি,	পরিণতি,	
suchonakal,	সূচনাকাল,	সূচনাকাল,	
proshikkhane,	প্রশিক্ষণে,	প্রশিক্ষণে,	
alaoul,	আলাউল,	আলাওল,	
deephineeshana,	ডিফিনিশন,	ডেফিনেশন,	
sachetonbhabe,	সচেতনভাবে,	সচেতনভাবে,	
sachetanbhabe,	সচেতনভাবে,	সচেতনভাবে,	
sulfatee,	সুলফটটি,	সালফেট,	
hafej,	হাফেজ,	হাফেয,	
nyeta,	ম্যাট,	ম্যাট,	
ghumacche,	ঘুমা্্যে,	ঘুমাচ্ছে,	
dholeshwari,	ঢোলেশ্বরী,	ধলেশ্বরী,	
onshogrohoner,	অংশগ্রহণের,	অংশগ্রহনের,	
doonut,	দুনুট,	ডোনাট,	
societykey,	সোচিতিকে,	সোসাইটিকে,	
soya,	সোয়া,	সোয়া,	
ssumi,	সুমি,	সুমি,	
keo,	কিও,	কেউ,	
talgaachh,	তালগাছ,	তালগাছ,	
shatjon,	সাজন,	সাতজন,	
basano,	বাসনো,	বসানো,	
aarke,	আর্কে,	আরকে,	
samashti,	সমস্তি,	সমষ্টি,	
sangkalaner,	সংকলনের,	সংকলনের,	
bhandaare,	ভান্ডারে,	ভাণ্ডারে,	
codeti,	কোডেটি,	কোডটি,	
bhaskor,	ভাষ্কর,	ভাস্কর,	
prokalpagulo,	প্রকালগতলো,	প্রকল্পগুলো,	
durtomo,	দূর্তমতো,	দূরতম,	
garora,	গারোরা,	গারোরা,	
kattor,	কাট্ট্বোর,	কট্টর,	
soommitrar,	সমমিত্রার,	সুমিত্রার,	
prokolpotike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
bapokotor,	ব্যাপকতার,	ব্যাপকতর,	
beetlaser,	বিটলসের,	বিটলসের,	
labanaktotar,	লবনাক্ততার,	লবণাক্ততার,	
setio,	সেটিও,	সেটিও,	
shaannaal,	সান্নাল,	সান্যাল,	
abdi,	আব্দী,	অব্দি,	
kyashpar,	ক্যাস্পার,	ক্যাসপার,	
heelse,	হিলসে,	হিলসে,	
amerikar,	অমেরিকার,	আমেরিকার,	
matriroop,	মাতৃরূপ,	মাতৃরূপ,	
kumari,	কুমারী,	কুমারী,	
mukkho,	মূক্ষ,	মুখ্য,	
trenda,	ট্রেন্ড,	ট্রেন্ড,	
jotinkey,	জোতিনকে,	যতীনকে,	
the,	দে,	থাই,	
sparsher,	স্পার্সের,	স্পর্শের,	
tooku,	টুকু,	টুকু,	
residance,	রেসিডেন্সে,	রেসিডেন্স,	
booroon,	বরুন,	বোরন,	
bonduk,	বন্দুক,	বন্দুক,	
sikkhagoto,	শিক্ষাগত,	শিক্ষাগত,	
loombinee,	লম্বিনী,	লুম্বিনী,	
somraatraa,	সম্াার্রা,	সম্রাটরা,	
swalpa,	স্বল্প,	স্বল্প,	
koreemke,	করিমকে,	করিমকে,	
catholic,	চাযাথলিক,	ক্যাথলিক,	
ceema,	সিম,	সীমা,	
arthat,	আর্থাত,	অর্থাৎ,	
ganana,	গানা,	গননা,	
sansthaner,	সংস্থানের,	সংস্থানের,	
zommoo,	জম্মু,	জম্মু,	
harrisoner,	হ্যারিশনের,	হ্যারিসনের,	
chhooteer,	ছুটির,	ছুটির,	
motabolombira,	মতাবামবল্বীরা,	মতাবলম্বীরা,	
ancient,	অ্যান্টিয়েন্ট,	এনসিয়েন্ট,	
satthik,	সাত্বিক,	সঠিক,	
aieesha,	আইএস,	আইএএস,	
daalu,	দালু,	ডালু,	
riphleqsa,	রাইফেল্সা,	রিফ্লেক্স,	
sompadoner,	সম্পাদনের,	সম্পাদনের,	
schalarship,	স্কলাশরিপ,	স্কলারশিপ,	
ula,	উলা,	উল,	
graambaashio,	গ্রামবাসিও,	গ্রামবাসীও,	
turkamena,	তুরকেমান,	তুর্কমেন,	
hugh,	হুঘ,	হিউজ,	
elakatike,	এলাকাটিকে,	এলাকাটিকে,	
bbosontoke,	বসন্তকে,	বসন্তকে,	
planey,	প্লানে,	প্লেনে,	
parqim,	পার্কিং,	পার্কিং,	
reflex,	রেফলক্স,	রিফ্লেক্স,	
shikkhao,	শিক্ষু,	শিক্ষাও,	
lokeshon,	লোকেশন,	লোকেশন,	
abikol,	অবিকল,	অবিকল,	
karleo,	কারলেও,	করলেও,	
veedanta,	ভিদন্ত,	বেদান্ত,	
sausagee,	সৌসাগী,	সসেজ,	
shhkolashtic,	স্কোলাস্টিক,	স্কলাস্টিক,	
billah,	বিল্লাহ,	বিল্লাহ,	
taiwan,	টাইবান,	তাইওয়ান,	
tiunara,	টিউনার,	টিউনার,	
sorboshoktiman,	সর্বস্বাম্থিনা,	সর্বশক্তিমান,	
jamkaalo,	জামাকালো,	জমকালো,	
besharkarikarone,	বেসরকারিকরণ,	বেসরকারিকরণ,	
jaj,	জজ,	জাজ,	
sthapanagulo,	স্থাপানাগুলো,	স্থাপনাগুলো,	
naabbota,	নাববতা,	নাব্যতা,	
disni,	ডিজনি,	ডিজনী,	
dwipei,	দ্বীপেই,	দ্বীপেই,	
sahopatheeke,	সহপথিকে,	সহপাঠীকে,	
karmakandeo,	কর্মকান্ডে,	কর্মকাণ্ডেও,	
mekong,	মেকনিং,	মেকং,	
upobasee,	উপবাসী,	উপবাসী,	
homes,	হোমেস,	হোমস,	
bonshi,	বন্শী,	বংশী,	
masti,	মস্তি,	মাস্তি,	
taat,	তাঁট,	তাত,	
beetloser,	বিটলসের,	বিটলসের,	
breq,	ব্রেক,	ব্রেক,	
dharavahiker,	ধারাভাহিকের,	ধারাবাহিকের,	
satarkobhabe,	সতরর্কভাবে,	সতর্কভাবে,	
bagdad,	বাগদাদ,	বাগদাদ,	
akhaate,	আখাতে,	একহাতে,	
antorvukto,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
olimpyc,	অলিম্পিক,	অলিম্পিক,	
karima,	করিম,	করিম,	
mithener,	মিঠেনের,	মিথেনের,	
macho,	মাচ,	মাছও,	
ayantarketika,	অ্যান্টারিক্টেক,	অ্যান্টার্কটিকা,	
vaisoho,	ভাইসহ,	ভাইসহ,	
sazanor,	সাজানোর,	সাজানোর,	
ganosakkhorota,	গণস্বাক্ষরতা,	গণসাক্ষরতা,	
deep,	ডীপ,	দীপ,	
timoothy,	টিমোথি,	টিমোথি,	
minister,	মিনিস্টার,	মিনিস্টার,	
apachesta,	অপাচেষ্টা,	অপচেষ্টা,	
umedpoor,	উমেদপুর,	উমেদপুর,	
aagost,	আগাস্ট,	আগষ্ট,	
phareksha,	ফেরেক্স,	ফরেক্স,	
foreex,	ফরিক্স,	ফরেক্স,	
expose,	এক্সপোজ্টস,	এক্সপোজ,	
khaambaa,	খামবা,	খাম্বা,	
futonta,	ফুটন্ট,	ফুটন্ত,	
shreeshree,	শ্রীশ্রী,	শ্রীশ্রী,	
baraak,	বারাক,	বারাক,	
vugoley,	ভুগলে,	ভূগোলে,	
asociates,	অসযাসিসিয়েটস,	এসোসিয়েটস,	
konroop,	কন্রপ,	কোনরূপ,	
shangsthatir,	সংস্থতির,	সংস্থাটির,	
shrabastee,	শ্রববাস্তি,	শ্রাবস্তী,	
megh,	মেঘ,	মেঘ,	
kadom,	কাদম,	কদম,	
oojbekistaner,	উজবাবিক্ষাননের,	উজবেকিস্তানের,	
morathi,	মরাথী,	মরাঠি,	
oncholsomuher,	অঞ্চলসমূহের,	অঞ্চলসমূহের,	
zyakasana,	জ্যাকসন,	জ্যাকসন,	
istoon,	ইস্টুন,	স্টোন,	
gatrey,	গোত্রে,	গাত্রে,	
elaakaati,	এলাকাটি,	এলাকাটি,	
magical,	ম্যাজিক্যাল,	ম্যাজিকাল,	
plate,	প্লেট,	প্লেট,	
carzar,	চার্জার,	চার্জার,	
mase,	মাস,	মাসে,	
eidin,	এইডিং,	এইদিন,	
kartam,	করততম,	করতাম,	
muhamad,	মুহমাদ,	মুহাম্মদ,	
timur,	তিমুর,	তিমুর,	
joubankal,	যৌবনকাল,	যৌবনকাল,	
bajareo,	বাজারেও,	বাজারেও,	
sohokaree,	সহকারী,	সহকারী,	
teunar,	টিউনার,	টিউনার,	
aazadir,	আজাদির,	আজাদীর,	
iran,	ইরিন,	ইরান,	
nilkomol,	নিলকমল,	নীলকমল,	
naajii,	নাজি,	নাত্সি,	
khanankaj,	খননকাজ,	খননকাজ,	
pragresa,	প্রগ্রেস,	প্রগ্রেস,	
lotharan,	লোারান,	লুথেরান,	
seramiks,	সারামিক্স,	সিরামিকস,	
shaahaab,	সাহাব,	সাহাব,	
ministar,	মিনিস্টার,	মিনিস্টার,	
kommandar,	কমান্ডার,	কমাণ্ডার,	
shiramiksh,	সিরামিক্স,	সিরামিকস,	
parbatmala,	পার্বত্বলমা,	পর্বতমালা,	
poorbancholer,	পূর্বাঞ্চলের,	পূর্বাঞ্চলের,	
madrasar,	মদদ্রসের,	মাদ্রাসার,	
aparogata,	অপরাগত,	অপারগতা,	
lagche,	লাগেছে,	লাগছে,	
swarnali,	স্বর্ণালী,	স্বর্ণালী,	
