vushi,	ভূষি,	ভুষি,	
drishyokey,	দৃশ্যকে,	দৃশ্যকে,	
sbaajaner,	স্বজনের,	স্বজনের,	
dhhaloor,	ঢালুর,	ঢালুর,	
panni,	পা্যী,	পন্নী,	
ssumitrar,	সুমিত্রার,	সুমিত্রার,	
biswashi,	বিশ্বাসী,	বিশ্বাসই,	
reflex,	রেইফেল্স,	রিফ্লেক্স,	
atma,	আত্মা,	আত্ম,	
shangkalone,	সংকলনে,	সংকলনে,	
statione,	স্টেশনে,	ষ্টেশনে,	
ganoporibahoner,	গণপরিবাহনের,	গণপরিবহনের,	
samajeri,	সামাজেরি,	সমাজেরই,	
dosha,	দশা,	দোসা,	
jaanar,	জানার,	জানার,	
chamski,	চামকি,	চমস্কি,	
ghumato,	ঘুমাত,	ঘুমাতো,	
chhatto,	ছট্ট,	ছোট্ট,	
ekar,	একার,	একার,	
jaater,	যাটের,	জাতের,	
nondolal,	নন্দলাল,	নন্দলাল,	
madhukori,	মধুকারী,	মাধুকরী,	
jees,	জিস,	জেস,	
akatwa,	একত্ব,	একাত্ব,	
mach,	মাচ,	মাছ,	
qloud,	ক্লাউড,	ক্লাউড,	
sakshatkarer,	সাক্ষাৎকারের,	সাক্ষাত্কারের,	
masjidke,	মাসজিদকে,	মসজিদকে,	
daaktikite,	ডাক্তিকেটে,	ডাকটিকিটে,	
timothy,	তিমথি,	টিমোথি,	
sibraz,	শিবরাজ,	শিবরাজ,	
anchalgoolir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
byakhyatito,	ব্যাখ্যাতিত,	ব্যাখ্যাতীত,	
sorbopori,	সর্বোপরি,	সর্বোপরী,	
pratishthanik,	প্রতিষ্ঠানিক,	প্রাতিষ্ঠানিক,	
bhogirath,	ভগীরাথ,	ভগীরথ,	
karmokerer,	কর্মকেরের,	কর্মকারের,	
poddhotitei,	পদ্ধতিতেই,	পদ্ধতিতেই,	
mile,	মিলে,	মাইল,	
jerujalem,	জেরুল্যাম,	জেরুজালেম,	
bee,	বি,	বি,	
udvabon,	উদ্ভাবন,	উদ্ভাবন,	
nironjon,	নিরঞ্জন,	নিরঞ্জন,	
addhattikota,	অধ্যাতিকতা,	আধ্যাত্মিকতা,	
version,	ভার্সন,	ভারশন,	
pratiyogira,	প্রতিযোগীরা,	প্রতিযোগীরা,	
gaichey,	গৈছে,	গাইছে,	
sastra,	সস্ত্র,	শাস্ত্র,	
toroni,	তরণী,	তরণী,	
netherlandey,	নেদারল্যান্ডে,	নেদারল্যান্ডে,	
laaz,	লাজ,	লাজ,	
amarika,	অ্যামেরিকা,	আমেরিকা,	
aqram,	একরাম,	আকরাম,	
toroon,	তরুণ,	তরুন,	
grambaaseeder,	গ্রামবাসীদের,	গ্রামবাসীদের,	
utshahomulok,	উৎসাহমূলক,	উৎসাহমূলক,	
songasthati,	সংস্থাটি,	সংস্থাটি,	
zerusalem,	জেরুলাসেম,	জেরুজালেম,	
phartha,	ফোর্থ,	ফার্থ,	
torun,	তরুন,	তরুন,	
sthaponar,	স্থাপনার,	স্থাপনার,	
bitlaser,	বিটলসের,	বিটলসের,	
koordira,	কুর্দিরা,	কুর্দিরা,	
khur,	খুর,	ক্ষুর,	
hydra,	হাইড্রো,	হাইড্রা,	
teman,	টেমন,	তেমন,	
hastantar,	হস্তান্তর,	হস্তান্তর,	
shcholarshhip,	স্কলারশিপ,	স্কলারশিপ,	
transhform,	ট্রান্সফর্ম,	ট্রান্সফর্ম,	
konroop,	কনরুপ,	কোনরূপ,	
siddhantoi,	সিদ্ধান্তই,	সিদ্ধান্তই,	
adarsho,	আদর্শ,	আর্দশ,	
chironton,	চিরন্তন,	চিরন্তন,	
prosadhaner,	প্রসাধানের,	প্রসাধনের,	
teentir,	তিনটির,	তিনটির,	
pathachari,	পাঠাচারী,	পথচারী,	
akhandota,	আখন্দতা,	অখণ্ডতা,	
loukikata,	লৌকিকতা,	লৌকিকতা,	
mangolic,	মঙ্গোলিক,	মাঙ্গলিক,	
upcharzo,	উপ্চার্য,	উপাচার্য,	
shkalashtika,	স্কোল্সটিক,	স্কলাস্টিক,	
shomostike,	সমস্তিকে,	সমষ্টিকে,	
ganana,	গানা,	গননা,	
shomoshto,	সমস্ত,	সমস্ত,	
hertj,	হার্ট,	হার্জ,	
gor,	গর,	গোর,	
onkeeta,	অংকেত,	অঙ্কিতা,	
digri,	ডিগ্রী,	ডিগ্রি,	
rajashri,	রাজস্রী,	রাজশ্রী,	
okritokarjo,	অকৃতকার্য,	অকৃতকার্য,	
panchbar,	পাঁচবার,	পাঁচবার,	
nischitarupey,	নিশ্চাতুরূপে,	নিশ্চিতরূপে,	
aksharke,	এক্সরকে,	অক্ষরকে,	
paikar,	পাইকার,	পাইকার,	
moomtaj,	মুমাজ,	মুমতাজ,	
mataram,	মাতারাম,	মাতারাম,	
nodnadir,	নদনাদির,	নদনদীর,	
babilon,	বাবিলন,	ব্যাবিলন,	
kanagulo,	কানাগুলো,	কণাগুলো,	
istoon,	স্যান,	স্টোন,	
turqamena,	টুর্কমেন,	তুর্কমেন,	
udbhabone,	উদ্ভাবনে,	উদ্ভাবনে,	
aholar,	আহলার,	অহল্যার,	
ralph,	রলফ,	রালফ,	
alpoi,	আল্পী,	অল্পই,	
dover,	ডভের,	ডোভার,	
kompito,	কম্পিত,	কম্পিত,	
seguloi,	সেগুলোই,	সেগুলোই,	
oitijjho,	ঐতিহ্য,	ঐতিহ্য,	
bhenkates,	ভেনকেটেস,	ভেঙ্কটেশ,	
taunship,	টাউন্সিপ,	টাউনশিপ,	
mukhmondol,	মুখমন্ডল,	মুখমণ্ডল,	
ghatla,	ঘটলা,	ঘটল,	
parshwey,	পারস্বে,	পার্শ্বে,	
ashok,	অশোক,	আশোক,	
gyate,	জ্ঞাতে,	গ্যেটে,	
turbine,	তুরবীনে,	টারবাইন,	
ajija,	অজিজ,	আজিজা,	
neshnosh,	নেশনস,	নেশনস,	
lendl,	লেন্ড,	লেন্ডল,	
provritike,	প্রভীতিকে,	প্রভৃতিকে,	
sthapanatir,	স্থাপনির,	স্থাপনাটির,	
durgatsob,	দুর্গতস,	দুর্গোৎসব,	
foreex,	ফরেক্স,	ফরেক্স,	
shangsthagulo,	সংখ্যাগুলো,	সংস্থাগুলো,	
uindo,	উইন্ডো,	উইন্ডো,	
byabaharkareer,	ব্যবহারকারির,	ব্যবহারকারীর,	
reetesh,	রেটেস,	রিতেশ,	
odhuna,	অধুনা,	অধুনা,	
pooshtir,	পুস্তির,	পুষ্টির,	
ghamtaa,	ঘমতা,	ঘোমটা,	
udar,	উদার,	উদর,	
query,	কেরি,	কোয়েরি,	
karmoi,	করমই,	কর্মই,	
pachbar,	পাছবার,	পাঁচবার,	
chhereche,	ছেরেছে,	ছেড়েছে,	
swajan,	স্বজন,	স্বজন,	
jakkha,	যক্ষ্মা,	যক্ষ,	
bhejano,	ভেজানো,	ভেজানো,	
dharai,	ধারাই,	ধারাই,	
paksenaara,	পকক্সেনার,	পাকসেনারা,	
definitian,	ডেফিনিশন,	ডেফিনেশন,	
parks,	পার্কস,	পার্কস,	
jeelyand,	জিল্যান্ড,	জিল্যান্ড,	
matt,	ম্যাট,	ম্যাট,	
biplobi,	বিপ্লবি,	বিপ্লবী,	
bhumijo,	ভূমিজ,	ভূমিজ,	
dhache,	ঢাচে,	ধাঁচে,	
mosjidsoho,	মসজিদসহ,	মসজিদসহ,	
shikshakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
shoccar,	সক্চার,	সকার,	
pratijogitamulak,	প্রতিযোগিতামূলক,	প্রতিযোগীতামূলক,	
daaktikiter,	ডাক্তিকেটের,	ডাকটিকিটের,	
aboshore,	আবশরে,	অবসরে,	
jahara,	জাহারা,	যাহরা,	
grambaasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
rajatta,	রাজত্ত্ব,	রাজত্ব,	
byomkes,	ব্যামকেস,	ব্যোমকেশ,	
latimer,	লতিমের,	লাটিমের,	
probhu,	প্রভূ,	প্রভু,	
bhabnar,	ভবনার,	ভাবনার,	
jones,	জোনস,	জোন্স,	
aansaarir,	আনসারির,	আনসারীর,	
aamor,	আমর,	আমর,	
refleks,	রাইফ্লেক্স,	রিফ্লেক্স,	
sudhuyi,	সুধুই,	শুধুই,	
torunke,	তরুণকে,	তরুণকে,	
bishad,	বিষদ,	বিষদ,	
poddhotiteyi,	পদ্ধতিতেই,	পদ্ধতিতেই,	
atwobishvashi,	আত্বশ্বাভাষী,	আত্মবিশ্বাসী,	
graambaseer,	গ্রামবাসীর,	গ্রামবাসীর,	
caramiks,	কারামিক্স,	সিরামিকস,	
venush,	ভেনাস,	ভেনাস,	
benke,	বেঁকে,	বেঁকে,	
shaakaar,	সাকার,	সাকার,	
tigar,	টিগার,	টাইগার,	
antarbhuktimulak,	অন্তর্ভূতিমূলক,	অন্তর্ভুক্তিমূলক,	
koro,	কর,	করো,	
meshar,	মেশার,	মেশার,	
qoda,	কোড,	কোডা,	
tuning,	টুনিং,	টিউনিং,	
capshule,	ক্যাপুলে,	ক্যাপসুল,	
koilash,	কৈলাশ,	কৈলাস,	
zinsa,	জিন্স,	জিন্স,	
kromo,	ক্রোম,	ক্রম,	
homeske,	হোমেসকে,	হোমসকে,	
cholocchitrotike,	চলচ্চিত্রটিকে,	চলচ্চিত্রটিকে,	
ardasha,	অর্ডস,	আর্দশ,	
mekong,	মেক,	মেকং,	
keyu,	কেউ,	কেউ,	
kormokandeo,	কর্মকান্দেও,	কর্মকাণ্ডেও,	
ekbakke,	একবাকে,	একবাক্যে,	
ceramicsh,	ক্রামাক্স,	সিরামিকস,	
hepatitis,	হেপোটাটিস,	হেপাটাইটিস,	
kram,	ক্রম,	ক্রম,	
dibaag,	দিবাগ,	ডিবাগ,	
adhyattik,	আধ্যাত্তিক,	আধ্যাত্মিক,	
lutharana,	লুথারন,	লুথেরান,	
krantee,	ক্রান্তি,	ক্রান্তি,	
sosar,	সসার,	সকার,	
tookrotey,	টুকরোতে,	টুকরোতে,	
kaaferder,	কাফেরদের,	কাফেরদের,	
bulan,	বুলন,	বুলান,	
ragke,	রাগকে,	রাগকে,	
abheedhaanik,	আবিধানিক,	অভিধানিক,	
nirdesika,	নির্দেশিকা,	নির্দেশিকা,	
ayadabhansada,	অ্যাডভানসাদ,	অ্যাডভান্সড,	
debug,	দেবুগ,	ডিবাগ,	
ganachin,	গানাচীন,	গণচীন,	
baaiq,	বাইক,	বাইক,	
plater,	প্লেটের,	প্লেটের,	
lambatey,	লম্বাতে,	লম্বাটে,	
dhikrita,	ধ্কৃত,	ধিকৃত,	
dipke,	ডিপকে,	দ্বীপকে,	
jiland,	জিল্যান্ড,	জিল্যান্ড,	
jeebnagar,	জীবনগর,	জীবননগর,	
temanti,	তেমনটি,	তেমনটি,	
nazad,	নজাদ,	নজদ,	
bhaskar,	ভাস্কার,	ভাস্কর,	
vip,	ভীপ,	ভিআইপি,	
graambasir,	গ্রামবাসীর,	গ্রামবাসীর,	
loukeekotaa,	লৌকিকতা,	লৌকিকতা,	
shilpojat,	শিল্পজত,	শিল্পজাত,	
tarkarir,	তরকারির,	তরকারীর,	
bishesyo,	বিশেষ্য,	বিশেষ্য,	
sectore,	সেক্টরে,	সেক্টরে,	
leader,	লিডের,	লিডার,	
cathalic,	কথািল,	ক্যাথলিক,	
kortaam,	করতাম,	করতাম,	
hoilo,	হইল,	হইল,	
aswastikar,	অস্বস্তিকার,	অস্বস্তিকর,	
mithener,	মিঠেনের,	মিথেনের,	
jeshthaa,	জেষ্ঠ্য,	জ্যেষ্ঠা,	
jawhar,	জওহার,	জহর,	
komti,	কমটি,	কমতি,	
kiibord,	কীবর্ড,	কীবোর্ড,	
pashan,	পাশণ,	পাষাণ,	
samanwitovabe,	সমান্বিতভাবে,	সমন্বিতভাবে,	
priimoo,	প্রিমম,	প্রিমো,	
chesa,	চেষা,	চেস,	
asamanjashapurna,	অসাসম্যপূর্ণ,	অসামঞ্জস্যপূর্ণ,	
hipar,	হিপার,	হাইপার,	
poromartho,	পরমার্থ,	পরমার্থ,	
kor,	কোর,	কর,	
lyandim,	ল্যান্ডিং,	ল্যান্ডিং,	
jyoistho,	জৈষ্ঠ্য,	জ্যৈষ্ঠ,	
easter,	ইস্টের,	ইস্টার,	
dojo,	দজ,	ডোজো,	
shaarther,	সার্থের,	স্বার্থের,	
chedon,	ছেদন,	ছেদন,	
feemalee,	ফেমালি,	ফিমেল,	
mesenjjarer,	মেশেঞ্জারের,	মেসেঞ্জারের,	
eksapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
samajer,	সমাজের,	সমাজের,	
protishta,	প্রতিষ্ট,	প্রতিষ্টা,	
deeputy,	ডিপিটি,	ডেপুটি,	
asiph,	আসিফ,	আসিফ,	
porishrom,	পরিশ্রম,	পরিশ্রম,	
madrasake,	মাদ্রাসকে,	মাদ্রাসাকে,	
musalmanke,	মুসলম্যানকে,	মুসলমানকে,	
fiksa,	ফিক্স,	ফিক্স,	
vedanta,	বেদন্ত,	বেদান্ত,	
noitikbhabey,	নৈতিকভাবে,	নৈতিকভাবে,	
nagarikkey,	নগরীককে,	নাগরিককে,	
prokolpotike,	প্রকল্পটিকে,	প্রকল্পটিকে,	
pacbbar,	পাকবার,	পাঁচবার,	
peto,	পেটো,	পেত,	
gobhornorer,	গভর্নরের,	গভর্ণরের,	
cheesa,	চেষ,	চেস,	
dibidh,	দিবিধ,	দ্বিবিধ,	
zojyota,	যোজ্যতা,	যোজ্যতা,	
ronodeep,	রণনীপ,	রণদীপ,	
wishnu,	ভিষ্ণু,	বিষ্ণু,	
divya,	দিবও,	দিব্যা,	
si,	সি,	এসআই,	
taimas,	টাইমস,	টাইমস্,	
michilti,	মিচেলটি,	মিছিলটি,	
soranor,	সরাার,	সরানোর,	
silbar,	শিলবার,	সিলভার,	
golakrity,	গোলাকৃতি,	গোলাকৃতি,	
chapol,	চাপল,	চপল,	
purbanchole,	পূর্বাঞ্চলে,	পূর্বাঞ্চলে,	
mohasova,	মহাসভা,	মহাসভা,	
niketon,	নিকেটন,	নিকেতন,	
ekpaashe,	একপাশে,	একপাশে,	
shaddhii,	সাধ্ধি,	সাধ্বী,	
basake,	বাসাকে,	বাসাকে,	
korleo,	করলেও,	করলেও,	
bhangey,	ভঙ্গে,	ভাঙ্গে,	
logic,	লোগিক,	লজিক,	
fund,	ফান্ড,	ফান্ড,	
ralapha,	রলফ,	রালফ,	
samanyai,	সামা্যাই,	সামান্যই,	
oshtader,	অষ্টাদের,	ওস্তাদের,	
ganonatya,	গণনাত্য,	গণনাট্য,	
anis,	অনিস,	আনিস,	
rajoshri,	রাজস্রী,	রাজশ্রী,	
chattke,	চটটকে,	ছাতকে,	
agam,	অগা,	আগম,	
ayantarketika,	অ্যান্টরকেটিক,	অ্যান্টার্কটিকা,	
abhidhaaneeck,	আভিধানিক,	অভিধানিক,	
shikhra,	শিখ্র,	শিখরা,	
arthonitike,	অর্থনীতিকে,	অর্থনীতিকে,	
shikkhakram,	শিক্ষাক্রম,	শিক্ষাক্রম,	
bamonder,	বামন্ডের,	বামনদের,	
shangsthatikey,	সংস্থাটিকে,	সংস্থাটিকে,	
khagen,	খাগেন,	খগেন,	
bajhyo,	বাঝ্য,	বাহ্য,	
sahabah,	সাহাব,	সাহাবাহ,	
protisthan,	প্রতিষ্ঠান,	প্রতিষ্টান,	
vumij,	ভূমিজ,	ভূমিজ,	
pathanatak,	পথনাটক,	পথনাটক,	
harbore,	হারবের,	হারবারে,	
oporeeshodhito,	অপরিসোধিত,	অপরিশোধিত,	
rashider,	রাশিদের,	রশিদের,	
sift,	সিফট,	শিফট,	
iukyaliptasa,	ইউক্যাক্লটিস,	ইউক্যালিপ্টাস,	
rinatmak,	ঋণাত্মক,	ঋনাত্মক,	
awnurbor,	অনুর্বর,	অনুর্বর,	
labonaktotar,	লবনাক্ততার,	লবণাক্ততার,	
utpotti,	উৎপত্তি,	উতপত্তি,	
bikargrasto,	বিকারগ্রস্ত,	বিকারগ্রস্ত,	
gujaber,	গুজবের,	গুজবের,	
soores,	সুরেস,	সুরেশ,	
danut,	দানুট,	ডোনাট,	
eshkol,	এস্কল,	এসকল,	
akmato,	একমত,	একমত,	
zerusaleme,	জেরুলাসেম,	জেরুসালেমে,	
ghesha,	ঘেষা,	ঘেঁষা,	
muhamad,	মুহমাদ,	মুহাম্মদ,	
rohosyer,	রহস্যের,	রহস্যের,	
tiger,	টিগের,	টাইগার,	
poste,	পোস্টে,	পোষ্টে,	
amarjita,	অমর্জিত,	অমার্জিত,	
bostubad,	বস্তুবাদ,	বস্তুবাদ,	
atyacarito,	অত্যাচারিত,	অত্যাচারিত,	
answereer,	আনসারীর,	আনসারীর,	
chirokumari,	চিরকুমারি,	চিরকুমারী,	
sotorkobhabe,	সতরক্ভভাবে,	সতর্কভাবে,	
chalachchitro,	চলচিত্র,	চলচ্চিত্র,	
ohollar,	অহল্লার,	অহল্যার,	
dwibidh,	দ্বিবিধ,	দ্বিবিধ,	
bonshi,	বনশী,	বংশী,	
bhaabaaponno,	ভাবাপন্ন,	ভাবাপন্ন,	
shalsa,	সাল্স,	সালসা,	
borana,	বোরান,	বোরন,	
dayna,	ডাইন,	ডায়না,	
netherland,	নেদারল্যান্ড,	নেদারল্যান্ড,	
battery,	ব্যাটারি,	ব্যাটারী,	
rupantar,	রূপান্তর,	রুপান্তর,	
nisad,	নিশাদ,	নিষাদ,	
vishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
nabhela,	নোভেল,	নভেল,	
manushgulor,	মনুশগুলোর,	মানুষগুলোর,	
porishkaran,	পরিষ্কারণ,	পরিষ্করণ,	
chalchhee,	চলছি,	চলছে,	
advanshd,	অ্যাডভান্স,	অ্যাডভান্সড,	
puzito,	পূজিত,	পুজিত,	
idipas,	এদিপাশ,	ইডিপাস,	
pyor,	প্যার,	পিওর,	
arthanitir,	অর্থনীতির,	অর্থনীতির,	
shahoshikatar,	সহসিকতার,	সাহসিকতার,	
jacksonke,	জক্ষণকে,	জ্যাকসনকে,	
soundarjyo,	সৌন্দর্য্য,	সৌর্ন্দয্য,	
jaubankal,	যৌবনকাল,	যৌবনকাল,	
jwaluk,	জ্বালুক,	জ্বলুক,	
podarthobidder,	পদার্থবিদ্যের,	পদার্থবিদদের,	
bbonyopran,	বন্যপ্রাণ,	বন্যপ্রাণ,	
suporichiti,	সুপরিচিতি,	সুপরিচিতি,	
methaner,	মেথানের,	মিথেনের,	
phareksa,	ফরেক্স,	ফরেক্স,	
drishyoke,	দৃশ্যকে,	দৃশ্যকে,	
onucheeder,	অনুচিদের,	অনুচ্ছেদের,	
sonaktokaran,	সনাক্তকরণ,	সনাক্তকরণ,	
murader,	মুরদের,	মুরাদের,	
bhittiteo,	ভিত্তিতেও,	ভিত্তিতেও,	
jubokti,	যুবকটি,	যুবকটি,	
dorgaho,	দরগাহ,	দরগাহ,	
awatar,	আওটার,	অবতার,	
parbottyo,	পার্বত্্্ব,	পার্বত্য,	
pyatarna,	প্যাটার্ন,	প্যাটার্ন,	
seekkhokke,	শিক্ষকে,	শিক্ষককে,	
klauda,	ক্লাউড,	ক্লাউড,	
deelibhara,	ডেলিভার,	ডেলিভার,	
bhromonkale,	ভ্রমণকালে,	ভ্রমণকালে,	
harir,	হারির,	হরির,	
ghurechen,	ঘুরেছেন,	ঘুরেছেন,	
graambaasio,	গ্রামবাসী,	গ্রামবাসীও,	
abodamoner,	অবদামনের,	অবদমনের,	
abheedhaanick,	আবেধানিক,	অভিধানিক,	
antarcticar,	অন্টার্ক্টিকার,	অ্যান্টার্কটিকার,	
sporsher,	স্পর্শের,	স্পর্শের,	
rahh,	রা,	রঃ,	
abhidhaaner,	অভিধানের,	অভিধানের,	
kantojir,	কান্তির,	কান্তজির,	
kyathalika,	ক্যাথলিকা,	ক্যাথলিক,	
soholovyotar,	সহলভ্লতার,	সহজলভ্যতার,	
mumtaj,	মমতাজ,	মুমতাজ,	
beshirbhaagei,	বেশীরভাগেই,	বেশিরভাগেই,	
sooya,	সোয়া,	সোয়া,	
babna,	বানা,	বাবনা,	
kumari,	কুমারি,	কুমারী,	
ekshapreshhana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
tistaar,	টিস্টার,	তিস্তার,	
embi,	এমবি,	এমবি,	
proshtutkarok,	প্রস্তুতারকাক,	প্রস্তুতকারক,	
bhortuki,	ভর্তুকি,	ভর্তুকি,	
gandhiyo,	গন্ধিও,	গান্ধীও,	
sudrishya,	সুদৃশ্য,	সুদৃশ্য,	
teemplatee,	টিম্পলাটি,	টেম্পলেট,	
bhabnake,	ভবনাকে,	ভাবনাকে,	
scholarship,	স্কলারশিপ,	স্কলারশিপ,	
peterkay,	পেটারেকে,	পিটারকে,	
kooyartara,	কোয়ার্টার,	কোয়ার্টার,	
nishader,	নিষাদের,	নিষাদের,	
moogdal,	মুগদাল,	মুগডাল,	
rupantarer,	রূপান্তরের,	রুপান্তরের,	
parishram,	পরিশ্রাম,	পরিশ্রম,	
ooporostho,	অপরস্থ,	উপরস্থ,	
yaach,	যাচ,	ইয়াক,	
dekhbar,	দেখবার,	দেখবার,	
emarzensi,	এমারজেন্সি,	এমার্জেন্সি,	
maddhuri,	মাধুরি,	মাধুরী,	
tader,	তাদের,	তদের,	
kaferderke,	কাফেরেরকে,	কাফেরদেরকে,	
ranangone,	রণাঙ্গনে,	রণাঙ্গনে,	
jibanto,	জীবন্ত,	জীবন্ত,	
fixing,	ফিক্সিং,	ফিক্সিং,	
sahabikey,	সাহাবিকে,	সাহাবীকে,	
jati,	জাটি,	যাতি,	
antarktika,	অন্তর্কটিক,	অ্যান্টার্কটিকা,	
kaareer,	কারির,	কারীর,	
paner,	পণের,	পানের,	
korkotkraantee,	কর্কট্রান্তি,	কর্কটক্রান্তি,	
sharif,	শেরিফ,	শরিফ,	
abosorer,	অবসরের,	অবসরের,	
bronjer,	ব্রঞ্জের,	ব্রোঞ্জের,	
seector,	সিক্টর,	সেক্টর,	
prokare,	প্রকারে,	প্রকারে,	
gabeshonagar,	গবেষণাগার,	গবেষনাগার,	
asovya,	অসভ্য,	অসভ্য,	
nischitobhabe,	নিশ্চিতভাবে,	নিশ্চিতভাবে,	
tenisha,	টেনিস,	টেনিস,	
neck,	নেক,	নেক,	
croak,	ক্রোক,	ক্রোক,	
asocheton,	অস্চেতন,	অসচেতন,	
kodguli,	কোদুলি,	কোডগুলি,	
sampadankaree,	সম্পাদনকারী,	সম্পাদনকারী,	
parishrom,	পরিশ্রম,	পরিশ্রম,	
nutunotto,	নুতুনত্ব,	নতুনত্ব,	
hoteeltite,	হটিলটিতে,	হোটেলটিতে,	
rajbandi,	রাজবন্দী,	রাজবন্দী,	
bipojjanak,	বিপজ্জনক,	বিপজ্জনক,	
mittrer,	মিত্রের,	মিত্রের,	
masjidsaha,	মসজিদসহ,	মসজিদসহ,	
modeltigulo,	মুদাইলিগুলো,	মডেলগুলো,	
rakhtokkharone,	রক্তকারণে,	রক্তক্ষরণে,	
masey,	মাসে,	মাসে,	
neeshanasa,	নিশনসা,	নেশনস,	
chikitshar,	চিকিৎসার,	চিকিত্সার,	
graambaasee,	গ্রামবাসী,	গ্রামবাসী,	
macher,	মাছের,	মাছের,	
coode,	কোড,	কোড,	
ekooghore,	একুঘরে,	একঘরে,	
anupater,	অনুপতের,	অনুপাতের,	
boikolyo,	বৈকল্য,	বৈকল্য,	
jibnagore,	জীবনাগরে,	জীবননগর,	
avishangson,	অভিশানস,	অভিশংসন,	
chire,	চির়ে,	চিরে,	
jhonkar,	ঝোনকার,	ঝঙ্কার,	
phutanto,	ফুটন্ত,	ফুটন্ত,	
dharavahikeo,	ধারাহিকেও,	ধারাবাহিকেও,	
rajtantrey,	রাজতান্ত্রে,	রাজতন্ত্রে,	
arbeet,	আর্বিত,	অরবিট,	
boneo,	বনেও,	বনেও,	
sheo,	সিও,	সেও,	
sampadan,	সম্পাদন,	সম্পাদন,	
bcci,	বিচিসি,	বিসিসিআই,	
abheedhaaneec,	অভিধানিক,	অভিধানিক,	
pathanirdeshana,	পথনির্দেশন,	পথনির্দেশনা,	
antarvukta,	অন্তর্ভূক্ত,	অন্তর্ভুক্ত,	
nederlande,	নেদারল্যান্ডে,	নেদারল্যান্ডে,	
madhoori,	মাধুরি,	মাধুরী,	
sachindra,	সচিন্দ্র,	শচীন্দ্র,	
postay,	পোস্টে,	পোস্টে,	
eksathe,	একসাথে,	একসাথে,	
weelcomee,	ওয়েলমে,	ওয়েলকাম,	
longhaner,	লঙ্ঘনের,	লংঘনের,	
enginearing,	ইঞ্জিনারিং,	ইঞ্জিনিয়ারিং,	
rushad,	রুশদ,	রুশদ,	
direqtareta,	ডিরেক্টরেট,	ডিরেক্টরেট,	
elakatike,	এলাকটিকে,	এলাকাটিকে,	
pratimar,	প্রতিমার,	প্রতিমার,	
fern,	ফর্ন,	ফার্ন,	
nirmolotaa,	নির্মলতা,	নির্মলতা,	
superheiroo,	সুপারেরু,	সুপারহিরো,	
nariiderke,	নারীদেরকে,	নারীদেরকে,	
growth,	গ্রাথ,	গ্রোথ,	
taranee,	তরণী,	তরণী,	
sharoker,	শারকের,	স্মারকের,	
